title,content
BMKG: Sultra saat Idul Fitri 1441H berpotensi hujan sedang dan ringan, Kendari Badan Meteorologi Klimatologi dan Geofisika BMKG Kendari menyampaikan prakiraan cuaca untuk wilayah Sulawesi Tenggara pada Hari Raya Idul Fitri Hijriah yang jatuh pada Minggu Mei secara umum cerah berawan namun berpotensi hujan dengan intensitas sedang dan ringan Prakirawan BMKG Sultra Faizal Habibie mengatakan prakiraan cuaca pada pagi hingga siang hari berpotensi hujan ringan terjadi di wilayah Kabupaten Wakatobi Sementara siang hingga sore hari berpotensi terjadi hujan sedang di wilayah Buton Buton Utara Buton Tengah Konawe Konawe Selatan dan Konawe Kepulauan Secara umum prakiraan untuk tanggal Mei pagi hari keadaan cuaca umumnya cerah hingga berawan kecuali di Kabupaten Wakatobi hujan ringan akan tetapi pada siang hingga sore hari masih berpeluang hujan sedang hingga lebat kadang disertai guntur dan angin kencang kata Faizal saat wawancara via WhatsApp Sabtu Selain itu Faizal juga mengungkapkan bahwa pada siang hingga sore hari juga berpotensi hujan ringan di wilayah Kota Kendari Baubau dan Kabupaten Buton Selatan Wakatobi Kolaka Timur Kolaka Konawe Utara Muna dan Muna barat Malam hari berpotensi hujan ringan di wilayah Konawe Dini hari berpotensi hujan ringan di wilayah Buton Buton Selatan Baubau Konawe Kepulauan Buton Utara dan Konawe jelasnya Ia juga menyampaikan suhu udara mencapai derajat celsius dengan kelembaban udara persen dan angin bertiup dari Timur Laut menuju Tenggara dengan kecepatan kilometer per jam Peringatan dini berpotensi hujan sedang yang dapat disertai petir atau guntur dan angin kencang di wilayah Buton Utara Buton Buton Tengah Konawe Selatan Konawe Kepulauan Konawe pada pagi hingga sore hari pungkasnya Prakiraan cuaca di wilayah Sulawesi Tenggara Sultra Mei Sumber BMKG Stasiun Meteorologi Mariitm Kelas II Kendari Harianto Sementara itu Kepala Seksi Observasi dan Informasi BMKG Kendari Adi Astyono mengatakan dari pantauan pihaknya pada bulan Mei dilihat dari kondisi dinamika atmosfer wilayah Sultra terpantau kelembaban udara lapisan atas millibar mb dan mb dalam kondisi basah atau lembab kondisi ini memungkinkan terbentuknya awan awan hujan dalam skala lokal di wilayah Sultra Selain itu kata dia suhu muka laut perairan Sultra dan banda yang masih hangat memungkinkan penguapan yang tinggi hingga memungkinkan terbentuknya awan awan hujan di wilayah Sultra masih cukup signifikan Dan lanjut Adi dari pantauan angin lapisan atas sering terjadi perlambatan dan belokan angin yang berpotensi terbentuknya awan awan hujan Dari semua analisa kondisi atmosfer dan data historis bulan Mei selama tahun kondisi saat dan prakiraan cuaca untuk wilayah Sultra besok dan tiga hari ke depan masih berpotensi hujan dengan intensitas ringan sampai sedang ungkapnya Adi mengimbau agar masyarakat selalu memperhatikan kondisi lingkungan sehingga terhindar dari bencana yang diakibatkan oleh hidrometeorologi sekitar Dia juga meminta agar warga selalu memperhatikan informasi dari BMKG setempat tentang kondisi cuaca yang ada 
Palembang dihantam angin kencang berkecepatan 72 kilometer per jam, kondisi hujan ini masuk dalam kategori hujan sangat lebatPalembang Kota Palembang dilanda hujan disertai angin kencang berkecepatan knots atau kilometer per jam yang merobohkan puluhan pohon dan menerbangkan atap rumah warga Hujan disertai angin kencang mulai mengguyur Kota Palembang Jumat sekitar pukul WIB selama satu jam pertama dilaporkan belasan pohon di dua sisi jalan protokol maupun arteri tumbang dan menghalangi laju kendaraan Curah hujan pukul WIB tercatat sebesar mm di Kota Palembang kondisi hujan ini masuk dalam kategori hujan sangat lebat mm per jam kata Kepala Unit Analisis dan Prakiraan Stasiun Meteorologi SMB II Palembang Sinta Andayani Beberapa titik robohnya pohon berdiameter sedang hingga besar terjadi di Jalan Demang Lebar Daun Jalan Diponegoro Jalan Sokarno Hatta Kawasan ilir dan Jalan POM IX Selain itu angin turut merobohkan papan reklame di Jalan Radial Jalan Merdeka Jalan Jendral Sudirman Simpang Sekip dan merusak atap rumah warga di kawasan Tangga Takat Hingga pukul WIB belum ada laporan korban jiwa akibat hujan lebat dan angin kencang tersebut Sinta menjelaskan bahwa hujan sangat lebat disebabkan pengaruh tidak langsung dari pusat tekanan rendah dari siklon tropis mangga dan tumbuhnya tekanan udara rendah di Samudera Hindia arah Selatan Pulau Jawa Kondisi ini berpengaruh menarik aliran massa udara dari Sumatera bagian utara masuk ke wilayah Sumsel tambahnya Namun ketika massa udara tersebut sampai di wilayah Sumsel terjadi perlambatan gerak akibat belokan angin sehingga massa udara bertumpuk dan mengakibatkan hujan lebat angin kencang serta guntur di seluruh wilayah Kota Palembang BMKG juga memprediksi kondisi cuaca buruk masih akan berlangsung hingga tiga hari ke depan di wilayah Sumatera Selatan sebab wilayah berpenduduk delapan juta jiwa itu tengah memasuki masa transisi dari musim hujan ke musim kemarau Selama masa transisi akan sering muncul cuaca ekstrim seperti hujan lebat angin kencang puting beliung dan petir Selain itu MJO suklus hujan phase saat ini menyebabkan potensi pertumbuhan awan konvektif terus meningkat Meski merobohkan banyak pohon namun hujan kali ini masih lebih kecil dibandingkan hujan ekstrem yang melanda Kota Palembang pada Desember Saat itu BMKG menyebut kecepatan angin mencapai kilometer per jam Sementara hingga pukul WIB hujan masih mengguyur Palembang dengan intensitas ringan dan angin normal disertai sesekali petir Pewarta Aziz MunajarEditor Agus Salim 
BMKG ingatkan potensi hujan sedang di Jaktim pada Jumat sore, Jakarta Badan Meteorologi Klimatologi dan Geofisika BMKG memperingatkan potensi hujan sedang disertai kilat atau petir dan angin kencang di wilayah Jakarta Timur yang diprediksi terjadi Jumat sore Waspada potensi hujan disertai kilat petir dan angin kencang di wilayah Jaktim pada sore hari hingga malam hari bunyi peringatan dini BMKG melalui laman BMKG go id pada pukul WIB Secara umum BMKG memprediksi cuaca cerah berawan terjadi di seluruh wilayah DKI Jakarta pada Jumat pagi Namun di siang hari diperkirakan hujan ringan terjadi di Jakarta Selatan dan hujan sedang di wilayah Jakarta Timur Pada malam harinya hujan masih berpotensi terjadi di Jakarta Timur sedangkan wilayah lainnya kembali cerah berawan hingga dini hari Adapun suhu udara di DKI Jakarta secara keseluruhan berkisar antara hingga derajat Celcius dengan kelembapan udara antara sampai dengan persen Sementara itu dua hari menjelang Idul Fitri Hijriah yang terjadi di tengah pandemi COVID masyarakat diimbau untuk tetap berada di rumah mematuhi aturan Pembatasan Sosial Berskala Besar PSBB yang diperpanjang hingga Juni dengan bekerja dari rumah belajar dari rumah dan beribadah di rumah guna memutus mata rantai penyebaran virus corona tipe baru SARS CoV Pewarta Laily RahmawatyEditor Triono Subagyo 
BMKG deteksi kelahiran siklon tropis Mangga di barat daya Bengkulu, Jakarta Badan Meteorologi Klimatologi dan Geofisika mendeteksi lahirnya siklon tropis Mangga di Samudra Hindia sebelah barat daya Bengkulu pada Kamis pukul WIB Dideteksi oleh Tropical Cyclone Warning Center Jakarta siklon tersebut berada di LS dan BT atau sekitar km barat daya Kerinci demikian siaran pers BMKG Saat ini siklon tropis Mangga memiliki tekanan udara minimum di pusatnya sebesar hPa dengan kecepatan angin maksimum berkisar knot Siklon itu diprakirakan menguat dalam jam ke depan dengan pergerakan ke arah tenggara selatan menjauhi wilayah Indonesia Keberadaan siklon tropis Mangga mengakibatkan pertumbuhan awan hujan di beberapa wilayah seperti Sumatera Barat Bengkulu Lampung Jawa Timur Bali NTB Kalimantan Selatan dan Kalimantan Timur Masyarakat diimbau waspada karena diprakirakan daerah daerah tersebut berpotensi terkena dampak tidak langsung berupa hujan lebat dan angin kencang di sebagian wilayahnya kata Plt Deputi Bidang Meteorologi BMKG Herizal Selain itu gelombang laut dengan ketinggian lebih dari tiga meter berpotensi terjadi di wilayah perairan barat Kepulauan Nias hingga barat Mentawai perairan Bengkulu Pulau Enggano perairan barat Lampung Samudra Hindia di sebelah barat Sumatera Selat Sunda bagian Selatan perairan selatan Jawa dan Samudra Hindia di selatan Jawa hingga NTB Nelayan dan kapal yang melintas wilayah tersebut diimbau untuk waspada dan hati hati BMKG terus memantau perkembangan siklon tropis Mangga itu 
Angin kencang rusak tiga rumah di Kepulauan Seribu, Kemarin angin kencang terjang dua rumah di Pulau SebiraJakarta Hujan kencang dan angin deras pada Rabu petang hingga malam hari merusak tiga rumah di Kepulauan Seribu Kemarin angin kencang terjang dua rumah di Pulau Sebira ujar Lurah Pulau Harapan Adi Apandi saat dihubungi di Jakarta Kamis Di Pulau Sebira Kelurahan Pulau Harapan dilaporkan dua rumah dan satu pos gugus tugas corona virus COVID rusak karena tertimpa pohon tumbang Hal itu dibenarkan Ketua RW Pulau Sebira Muhammad Ali yang mengatakan angin kencang dan hujan deras tiba tiba datang Ia menyebut tidak ada korban jiwa dalam musibah itu tetapi rumah milik Sandrego dan Babay Samsi rusak parah Total kerugian ditaksir mencapai Rp juta Di Pulau Untung Jawa angin kencang dan hujan deras merusak satu rumah warga dan menara pemancar telekomunikasi Lurah Untung Jawa Supriyadi mengatakan rumah warga yang rusak sudah dilakukan perbaikan Ia menambahkan tidak ada korban jiwa dalam kejadian itu Sementara pemilik rumah untuk sementara waktu diungsikan ke rumah tetangga 
"Di Samudra Hindia barat daya Bengkulu, tumbuh bibit siklon tropis", Masyarakat diimbau untuk tetap berhati hati pada potensi hujan lebat yang dapat menimbulkan dampak seperti banjir tanah longsor dan banjir bandangJakarta Badan Meteorologi Klimatologi dan Geofisika BMKG melalui Tropical Cyclone Warning Centre TCWC Jakarta memantau pertumbuhan bibit siklon tropis dengan kode S yang berada di Samudra Hindia sebelah barat daya Bengkulu Berdasarkan analisis tanggal Mei pukul WIB bibit siklon tersebut berada di LS dan BT atau sekitar km barat daya Bengkulu kata Pelaksana Tugas Deputi Bidang Meteorologi BMKG Herizal dalam keterangan tertulis yang diterima di Jakarta Kamis Saat ini bibit siklon tropis S memiliki tekanan udara minimum di pusatnya hPa dengan kecepatan angin maksimum berkisar antara hingga knot Bibit siklon tropis S diprakirakan berpotensi menjadi siklon tropis dalam enam hingga jam ke depan dengan pergerakan ke arah tenggara selatan menjauhi wilayah Indonesia Keberadaan bibit siklon tropis S mengakibatkan pertumbuhan awan hujan di sekitarnya antara lain di wilayah Bengkulu Sumatera Selatan Lampung Banten DKI Jakarta dan Jawa Barat Masyarakat diimbau waspada karena diprakirakan daerah daerah tersebut berpotensi terkena dampak berupa hujan lebat dan angin kencang di sebagian wilayahnya katanya Selain itu potensi gelombang laut dengan ketinggian lebih dari tiga meter diprakirakan terjadi di wilayah perairan barat Kepulauan Nias hingga barat Mentawai Perairan Bengkulu Pulau Enggano perairan barat Lampung Samudra Hindia barat Sumatera Selat Sunda bagian selatan perairan selatan Jawa dan Samudra Hindia selatan Jawa hingga selatan NTB Nelayan dan kapal yang melintas diimbau untuk waspada dan berhati hati Masyarakat diimbau untuk tetap berhati hati pada potensi hujan lebat yang dapat menimbulkan dampak seperti banjir tanah longsor dan banjir bandang tambah dia 
BMKG: Waspadai cuaca buruk hingga 22 Mei 2020, Sampai besok di Propinsi Lampung diprediksi masih berpotensi terjadi hujan lebat disertai angin kencang kilat petirJakarta Badan Meteorologi Klimatologi dan Geofisika BMKG mengeluarkan peringatan dini untuk mewaspadai prakiraan cuaca terkait hujan lebat disertai petir dan angin kencang yang berpotensi terjadi hingga Jumat Kepala BMKG Dwikorita Karnawati dalam keterangan tertulis yang diterima di Jakarta Kamis mengatakan beberapa wilayah yang berpotensi mengalami cuaca buruk mulai dari Aceh Kepulauan Riau Bengkulu Jambi Sumatera Selatan dan Lampung Ia mengharapkan Lampung mengantisipasi dan mempersiapkan diri terkait dengan prakiraan cuaca buruk tersebut agar tidak terjadi hal yang tidak diinginkan Sampai besok di Propinsi Lampung diprediksi masih berpotensi terjadi hujan lebat disertai angin kencang kilat petir kata dia Wilayah lain yang harus waspada terhadap potensi cuaca buruk Banten Jawa Barat Jabodetabek Jawa Timur Nusa Tenggara Barat Kalimantan Barat Kalimantan Selatan dan Gorontalo Cuaca buruk juga berpotensi terjadi di wilayah Indonesia tengah dan timur seperti Gorontalo Maluku Utara Papua dan Papua Barat Berdasarkan data yang dihimpun Badan Nasional Penanggulangan Bencana BNPB beberapa bencana hidrometeorologi telah terjadi bertubi tubi di sejumlah wilayah di Indonesia sejak Selasa dini hari Bencana alam tersebut terjadi akibat pengaruh anomali cuaca dan pancaroba Adapun rentetan bencana tersebut meliputi abrasi pantai di Kabupaten Aceh Selatan Provinsi Aceh pada Selasa dengan sedikitnya KK atau jiwa terdampak dan rumah terdampak Banjir bandang menerjang empat kelurahan di tiga kecamatan di Lubuk Linggau Sumatera Selatan pada Rabu pukul WIB Menurut laporan Badan Penanggulangan Bencana Daerah BPBD Kota Lubuk Linggau tinggi muka air saat kejadian mencapai meter dan saat ini sudah berangsur surut Banjir juga merendam sedikitnya rumah empat sarana pendidikan dua rumah ibadah satu sarana kesehatan tiga perkantoran dan hektare sawah di Kabupaten Wajo Sulawesi Selatan pada Selasa pukul Wita Pada laporan yang diterima hingga Rabu pukul WIB banjir bertahan dengan tinggi lebih dari sentimeter Banjir juga dilaporkan terjadi di Kabupaten Sumba Timur Nusa Tenggara Timur di Kecamatan Pahunga Lodu pada Rabu pukul Wita Banjir menyebabkan dua rumah hanyut terbawa arus banjir lainnya tergenang dan memaksa jiwa mengungsi ke Balai Desa Kaliuda Banjir juga merendam rumah dan satu sekolah di Desa Mahanggin Kecamatan Muaradua Kabupaten Ogan Komering Ulu Selatan Provinsi Sumatera Selatan pada Rabu pukul WIB Banjir juga merendam hektare sawah sehingga terancam gagal panen Laporan lainnya datang dari tiga desa di Kecamatan Banjar Agung II dan satu desa di Kecamatan Banjar Margo Kabupaten Tulang Bawang Provinsi Lampung pada Rabu pukul WIB di mana terjadi puting beliung memorak porandakan beberapa rumah warga hingga rata tanah Peristiwa tersebut menyebabkan dua warga meninggal dunia lima luka berat satu luka ringan dan lainnya mengungsi ke tempat saudara atau tetangga Rob dengan tinggi muka air meter merendam Desa Mayangan Kecamatan Legon Kulon Kabupaten Subang Provinsi Jawa Barat pada Rabu pukul WIB Tim Reaksi Cepat Pemadam Kebakaran dan Penanggulangan Bencana Kabupaten Subang mengatakan kejadian dipicu anomali cuaca BNPB juga memberikan imbauan kepada masyarakat di wilayah berpotensi cuaca buruk agar meningkatkan kewaspadaan dan menyiapkan segala sesuatu yang dianggap perlu guna mengantisipasi kemungkinan hal terburuk 
Pohon tumbang di Jaksel timpa tiang listrik hingga rubuh, Pohon memiliki ketinggian meter dengan diameter cm tumbang disebabkan hujan serta angin kencangJakarta Pohon tumbang akibat hujan lebat disertai angin kencang terjadi di jalan Masjid Al Makmur RT RW Kelurahan PejatenTimur Jakarta Selatan menimpa tiang listrik hingga rubuh pada Rabu malam Ary Santoso Kepala Peleton Group A Sektor IX Pasar Minggu Sudin Penanggulangan Kebakaran dan Penyelamatan PKP atau Damkar Kota Administrasi Jakarta Selatan Rabu mengatakan pohon tumbang jenis Sawo Mila dilaporkan terjadi pukul WIB Pohon memiliki ketinggian meter dengan diameter cm tumbang disebabkan hujan serta angin kencang kata Ary Damkar Jakarta Selatan mengerahkan satu unit Rescue dan tiga sepeda motor dengan sembilan orang personel untuk melakukan evakuasi bangkai pohon yang tumbang Tidak ada korban jiwa dalam peristiwa tersebut demikian pula aliran listrik di pemukiman warga tetap menyala Upaya evakuasi selesai dilakukan pukul WIB Korban nihil kerugian juga nihil kata Ary Aru menambahkan setelah dilakukan evakuasi badan pohon petugas PLN akan melakukan pemadaman listrik sementara di wilayah tersebut selama prose perbaikan tiang yang rubuh Berdasarkan informasi Damkar dalam satu hari terjadi dua kejadian pohon tumbang yang disebabkan oleh hujan disertai angin kencang yang melanda wilayah Jakarta Selatan Kejadian pohon tumbang pertama dilaporkan di Jalan Brawijaya Raya Kebayoran Baru menimpa seorang penyandang tuna rungu yang sedang melintas menggunakan kendaraan roda Hujan turun di wilayah Jakarta Selatan sejak pukul WIB dengan intensitas sedang disertai angin kencang Sebelumnya Badan Meteorologi Klimatologi dan Geofisika BMKG telah mengeluarkan peringatan dini cuaca akan ada potensi hujan sedang hingga lebat disertai kilat petir dan angin kencang pada pukul WIB di wilayah Jabodetabek BMKG memperkirakan kondisi tersebut masih akan berlangsung hingga pukul WIB Pewarta Laily RahmawatyEditor Ahmad Wijaya 
Kaca gedung Pusdiklat di Jaktim nyaris lepas terempas angin, Angin kencang mengakibatkan sela penjepit di bagian bingkai sebagian terlepas dan membahayakanJakarta Kaca gedung Pusat Pendidikan dan Pelatihan Kementerian Tenaga Kerja di Kecamatan Makasar Jakarta Timur nyaris terlepas akibat empasan angin kencang Rabu malam Ukuran kaca gedung berkisar x meter persegi di atas ketinggian meter kata Kepala Seksi Operasional Damkar Jakarta Timur Gatot Sulaeman di Jakarta Kaca gedung dilaporkan terkena embusan angin kencang hingga mengakibatkan sela penjepit di bagian bingkai sebagian terlepas dan membahayakan Peristiwa itu dilaporkan oleh Wakil Camat Maksar Sudirman kepada Suku Dinas Penanggulangan Kebakaran dan Penyelamatan Jakarta Timur pukul WIB Sejumlah petugas damkar dikerahkan menuju lokasi kejadian untuk melepas kaca dan menurunkannya ke lokasi yang lebih aman Saat ini masih dalam penanganan awal proses penurunan kaca ke tempat aman katanya Pewarta Andi FirdausEditor Ganet Dirgantara 
Pohon tumbang di Jaksel timpa penyandang tuna rungu, Korban tidak mengalami luka namun kendaraan yang digunakan rusak tertimpa pohonJakarta Hujan disertai angin yang melanda wilayah DKI Jakarta menyebabkan sebuah pohon tumbang di jalan Brawijaya Raya Kebayoran Baru Jakarta Selatan menimpa seorang warga penyandang tuna rungu Rabu malam Korban diketahui bernama Aldila Natakusuma berusia tahun Saat kejadian korban sedang berjalan di jalan Brawijaya Raya Lokasi kejadian berada tak jauh dari kediaman mantan Wakil Presiden Jusuf Kalla di Kebayoran Baru Jakarta Selatan Peristiwa dilaporkan terjadi pukul WIB pohon berdiameter cm tumbang ke arah jalan hingga menutup ruas jalan Korban sedang melintas di jalan Brawijaya Raya pada saat hujan deras tiba tiba satu pohon tumbang dan mengenai kendaraan korban kata Nurul Komar Kepala Peleton Group A Sektor II Kebayoran Baru Sudin Penanggulangan Kebakaran dan Penyelamatan Damkar Kota Administrasi Jakarta Selatan Jakarta Petugas damkar mengerahkan watermist dan kuda besi sepeda motor dengan personil ke lokasi kejadian untuk mengevakuasi batang pohon yang tumbang melintang di jalan Brawijaya Raya Evakuasi batang pohon dilakukan di tengah hujan selesai pukul WIB jalan kembali bisa dilalui oleh kendaraan Korban tidak ada luka hanya body kendaraan saja tertimpa pohon Ditaksir kerugian dialami korban sekitar Rp juta kata Komar Hujan turun di wilayah Jakarta Selatan sejak pukul WIB dengan intensitas sedang disertai angin kencang Sebelumnya Badan Meteorologi Klimatologi dan Geofisika BMKG telah mengeluarkan peringatan dini cuaca akan ada potensi hujan sedang hingga lebat disertai kilat petir dan angin kencang pada pukul WIB di wilayah Jabodetabek BMKG mempekirakan kondisi tersebut masih akan berlangsung hingga pukul WIB Pewarta Laily RahmawatyEditor Ganet Dirgantara 
