title,content
"Selama 5 jam, 102 kendaraan pemudik diminta putar balik di GT Cileunyi", Bandung Satuan Lalu Lintas Polresta Bandung menindak para pemudik dengan meminta kendaraan mereka putar balik setibanya di Gerbang Tol GT Cileunyi Kabupaten Bandung Jawa Barat pada H Lebaran Jumat Perwira pengendali Exit Tol Cileunyi AKP Sumartono menyebutkan angka tersebut merupakan hasil penyekatan di GT Cileunyi sejak pukul hingga WIB Rata rata pemudik yang jarak pendek misalnya ke Garut Tasikmalaya Ciamis kamu menghalau putar balik karena tidak ada kejelasan bahkan ada yang terang terangan mengatakan akan mudik kata Sumartono di GT Cileunyi Dari seluruh kendaraan yang diputarbalikkan lanjut dia paling banyak kendaraan pribadi yang berasal dari wilayah Bandung Tercatat surat teguran dikeluarkan Selain itu polisi langsung meminta mereka untuk mutar balik kendaraan yang berpergian tanpa kepentingan Menjelang Lebaran menurut dia jumlah kendaraan yang melintas di GT Cileunyi lebih sedikit daripada jumlah kendaraan pada hari biasa Hal ini mengingat pada hari biasa banyak kendaraan pabrik atau kendaraan karyawan yang beroperasi Namun saat ini karena sejumlah pabrik dan perusahaan sudah libur ada penurunan intensitas arus lalu lintas di GT Cileunyi Lebih banyak pada hari normal sebelum H karena karyawan banyak yang bekerja Kalau pada hari ini kan sejumlah instansi masuk tetapi beberapa pabrik sudah libur katanya menjelaskan 
Pandemi virus memang goro-goro?, Mereka tidak mengingat aturan negaraMagelang Semestinya semua orang bungah melihat atau bahkan berada di tengah keramaian pasar tradisional dan toko modern setiap menjelang Lebaran Berbelanja aneka kebutuhan untuk menghadapi Hari Raya menjadi milik setiap orang kalangan mana pun Begitu tunjangan hari raya atau apalah sebutannya mungkin tali asih atau gaji ke diterima penerimanya bagaikan menjadi talang tempat aliran air Ia bergegas mengguyurkan tunjangan itu ke pasar dan toko untuk belanja macam macam kebutuhan dan keinginan seperti makanan minuman pakaian mebeler kosmetik kulkas perabotan rumah tangga Semua yang keluar pasar dan toko menenteng berbagai barang dengan senang dan lega hati Mereka bagaikan mau mengangkut semua isi pasar dan toko ke rumah Pedagang pun bersorak barang jualannya ludes Laris manis tanjung kimpul barang habis duwit ngumpul begitu ungkapan populer di masyarakat Mungkin juga gara gara tunjangan itu dibayarkan niat beli sepeda motor kreditan terwujud uang muka beli rumah baru terbayar hutang sana sini terlunasi dan tunggakan iuran sosial warga diberesi Kalau boleh ngawur bilang bahwa salah satu tanda tubuh sehat adalah berbelanja maka waktu waktu mendekati Lebaran mungkin menjadi puncak kurva kesehatan raga publik Toko obat dan apotek pun sepi pembeli Mereka yang senang atas ramainya pusat pusat perbelanjaan bukan hanya pembeli dengan aneka barang kebutuhan yang didapat tetapi juga pedagang pemilik usaha pelaku jasa Begitu juga dengan tukang parkir sopir angkot penjahit permak dan tukang sol sepatu Pemerintah pun boleh lega karena terjadi perputaran ekonomi yang bergairah pajak optimistis lancar ditunaikan dan hitung hitungan ekonomi makro positif Itu semua kalau situasi kehidupan masyarakat normal normal saja dinamika sosial relatif stabil atau setidaknya tekanan keadaan global tidak dirasakan berat berat amat dihadapi negara berkembang sebagaimana Indonesia Tetapi aneh bahkan miris dan bikin geleng geleng kalau melihat hari hari terakhir ini pasar toko atau pusat pusat perbelanjaan dan arus lalu lintas ramai Kumandang pasar dan pusat perbelanjaan serta deru kendaraan seakan tidak sedang tulus mengungkap tanda tanda gembira Masyarakat sehat menumpahkan uang kesejahteraan dengan berbelanja bersanding terkaman pandemi penularan virus Virus corona baru COVID sedang menjadi hantu yang bukan hanya menakut nakuti tetapi juga pelantar kematian Kumandang pasar bisa jadi cerita sukses virus menjerat mangsa Salah satu penjalaran penularannya kerumunan orang terlebih abai masker Pemerintah dan berbagai kalangan memang telah masif menyampaikan berbagai hal kepada masyarakat terkait dengan virus baik penyebab pencegahan maupun penanganan Segala kesempatan cara dan media dioptimalkan pemanfaatannya bukan sekadar seremonial menyampaikan informasi pandemi dimengerti masyarakat tetapi harapan kencengnya itu publik sadar kemudian bareng bareng mencegah dan mengatasi Segala protokol kesehatan COVID yang telah dibuat pemerintah dengan detail sebagai muslihat mencegah dan menghadapi pandemi virus Protokol memang sudah disosialisasikan secara masif tetapi tidak mudah menjadikan habitus publik dalam sekejap Hanya soal pemakaian masker masih dibutuhkan razia disuruh sungguh sungguh tinggal di rumah masih saja tak betah dalam sergapan jenuh Apalagi cuci tangan menggunakan sabun dengan air mengalir sesuai idealnya tujuh langkah mungkin masih sebatas pengetahuan di luar kepala kalangan medis Badan PBB untuk Kesehatan Dunia WHO menetapkan tujuh langkah mencuci tangan memakai sabun dengan waktu detik Belum lagi masih ada orang orang mengumpet tak lega hati kalau ketahuan punya riwayat kontak erat dengan pasien positif COVID Mereka kalangan yang disergap cemas bakal celaka tiga belas karena harus menjalani karantina isolasi dan tak bisa menjadi bagian kerumunan pasar untuk berbelanja kebutuhan Jika kita meninggalkan segala muslihat kita sendiri kita secara alamiah akan jatuh ke dalam suatu keadaan yang mengerikan begitu Thomas Hobes sebagaimana diuraikan James Garvey dalam buku Kisah Filsafat Terbesar Gogo goro sekarang ini bukan sebatas pandemi merebak dengan keseriusan menepakkan segala jurus menangani pasien dan mereka lainnya yang terdampak Namun kumandang pasar kali ini pun dikhawatirkan bakal membikin goro goro di dalam goro goro lakon pandemi Goro goro bertumpuk tumpuk di mana makin banyak orang terjangkit COVID dan menambah beban kalangan medis serta rumah sakit dalam menangani pasien virus Tidak Taat Serat Sabdo Palon dalam lampiran novel sejarah Sabdo Palon karya Sri Wintala Achmad mengemukakan tentang merebaknya serangan penyakit karena ketidaktaatan warga terhadap aturan negara Mereka tidak mengingat aturan negara Sebab tidak tahan menahan lapar Hal itu disusul datangnya bencana yang luar biasa Penyakit tersebar merata di Tanah Jawa Bagaikan pagi sakit sore meninggal dunia Banyak penyakit luar biasa Di sana sini banyak orang mati demikian sejumlah baris Serat Sabdo Palon Sabdo Palon identik dengan Semar yang dalam dunia pewayangan bersama anak anaknya Gareng Petruk dan Bagong sebagai titisan dewa dari kayangan turun ke bumi menjadi panakawan dengan tugas menjadi pemomong raja dan pengayom kawula Panakawan artinya kawan yang paham Dalam dunia wayang goro goro sebagai penggambaran melalui suluk sang dalang tentang suasana jagat heboh yang antara lain narasinya tentang terjadinya gempa bumi dan langit berkelabat kelebat petir sebelum adegan panakawan Konten heboh dalam suluk goro goro dimaknai dalang yang juga pemimpin Padepokan Tjipto Boedojo Tutup Ngisir di kawasan Gunung Merapi Kabupaten Magelang Sitras Anjilin sebagai narasi yang mengantar kedatangan sosok tampan berjiwa besar melintasi desa membuat orang berdebar debar karena tepesona dan membuat suasana baru Rasanya sosok tampan dalam suluk goro goro itu bertolak belakang dengan wujud Semar yang bermuka tua tambun dan berkucir Gareng bertubuh pendek dan kakinya pincang Petruk yang semampai dan berhidung mancung serta Bagong berbibir dower Itulah logika dunia pewayangan Dialog dan tingkah mereka dalam goro goro yang hadir biasanya saat tengah malam penuh humor sendau gurau dan gembira Obat penonton terjangkit virus ngantuk Goro gogo pandemi COVID sampai sekarang belum tahu siapa titisan memesona berwujud antivirus Goro goro kumandang pasar dengan kerumuman orang berbelanja barang kebutuhan tanda tanda miris akan runyamnya usaha saksama selama ini dalam mengatasi virus Panakawan dalam goro goro kumandang pasar semasa pandemi barangkali turun bukan secara wadak namun sikap arif bijaksana dan teguh setiap orang menghindari kerumunan Sikap itu lalu pemomong kepada keputusan diri untuk cukup berbelanja kebutuhan di toko kecil dari rumah sebelah Atau mungkin panakawan hadir sebagai pelayan publik dengan disiplin terhadap protokol kesehatan memerankan penghubung pasar dan pembeli Ojek daring 
Kabel optik internet di Jaksel terbakar, Jakarta Kabel optik internet di Jalan Paso Nomor RT RW Kelurahan Jagakarsa Jakarta Selatan terbakar pada Kamis diduga disebabkan arus pendek di kabel yang menumpuk Kepala Peleton Grup B Sektor Jagakarsa Sudin Penanggulangan Kebakaran dan Penyelamatan PKP Kota Administrasi Jakarta Selatan Sugiyanta mengatakan kebakaran kabel optik mengakibatkan jaringan internet di wilayah tersebut mengalami gangguan Penyebab pasti belum diketahui kemungkinan arus pendek Kemungkinan bisa saja kabel optik yang berdekatan dengan kabel listrik atau dipasang bersebelahan dengan kabel listrik lalu kabel listriknya yang korslet dan membakar kabel optik kata Sugiyanta Informasi kebakaran diketahui dari laporan petugas keamanan di Sekolah Citra Buana yang berada di sekitar lokasi kejadian Petugas keamanan tersebut mencium bau menyengat akibat kebakaran kabel data di depan sekolah dan langsung melaporkan kejadian kepada petugas Damkar sektor X Jagakarsa Satu unit mobil pompa berkapasitas liter dikerahkan ke lokasi Api membakar kabel dan menimbulkan bunga api Sebanyak delapan petugas diturunkan memadamkan api yang melalap kabel optik menggunakan alat pemadam kebakaran Apar Kita lakukan pemadaman menggunakan enam apar dan foam Pemadaman selesai pukul WIB kata Sugiyanta Tidak ada korban jiwa dalam peristiwa tersebut kebakaran kabel optik internet tersebut mengakibatkan jaringan internet di wilayah mengalami gangguan Menjelang libur Lebaran Idul Fitri Hijriah Damkar Jakarta Selatan mengimbau masyarakat untuk berhati hati terhadap terjadinya potensi kebakaran dengan memperhatikan keselamatan menggunakan listrik dan pada saat memasak di dapur Masyarakat juga diminta untuk segera melaporkan bila menemukan peristiwa kebakaran ke nomor telepon layanan darurat 
"Cegah penumpukan penumpang di Bakaunei, fungsi cek poin harus berjalan", Bandarlampung Kepala Dinas Perhubungan Provinsi Lampung Bambang Sumbogo meminta fungsi cek poin di seluruh perbatasan dapat berjalan dengan baik guna mencegah penumpukan penumpang di Pelabuhan Bakauheni Fungsi cek poin haruslah berfungsi secara maksimal terutama di perbatasan dan Pemerintah Provinsi Lampung juga telah meminta bantuan kepada pemerintah daerah se Sumatera agar dapat bekerjasama menghalau pemudik ujar Bambang Sumbogo di Bandarlampung Rabu Ia mengatakan saat ini tren mudik tidak hanya terjadi dari Jawa ke Sumatera atau daerah lain namun dari Sumatera ke Pulau Jawa Kemarin telah sempat memutar balikkan arah pemudik kali terakhir ada lima bus dan setelah di cek ternyata banyak dari pemudik ingin kembali ke tempat asal di Pulau Jawa setelah mereka bekerja keras di Sumatera salah satunya ada yang bekerja sebagai pekerja tol buruh kasar dan beragam profesi lain katanya Menurutnya dengan menjalankan kerja sama yang baik antardaerah untuk memaksimalkan fungsi cek poin akan membantu mengurangi arus pemudik yang hendak menyeberang ke Pulau Jawa Diharapkan agar kerja sama dan koordinasi untuk memaksimalkan cek poin di perbatasan daerah dapat berjalan sebab dari sisi kemanusiaan kasihan masyarakat yang sudah jauh jauh sampai ke Bakauheni dari daerah asal harus kembali berputar arah karena tidak memenuhi persyaratan akan lebih baik bila mereka dapat dikembalikan ke tempat asal dengan jarak yang lebih pendek bila cek poin berfungsi ucapnya Pemaksimalan fungsi cek poin di perbatasan merupakan salah satu poin dari empat poin yang disampaikan dalam surat Gubernur Lampung kepada seluruh Gubernur se Sumatera dengan Nomor V tentang Pencegahan Mudik dari Sumatera ke Jawa sebagai langkah penanganan penumpukan dan mencegah penelantaran penumpang di Pelabuhan Penyeberangan Bakauheni Lampung 
Sudinsos Jakbar siapkan sejumlah posko pengungsi kebakaran Gang Venus, Lokasi padat penduduk membuat pemerintah setempat tidak akan mendirikan tenda pengungsian untuk menampung korban kebakaranJakarta Suku Dinas Sosial Jakarta Barat tengah mempersiapkan sejumlah posko pengungsi kebakaran Gang Venus Jalan Jembatan Besi II Jembatan Besi Tambora Jakarta Barat Sejumlah posko pengungsi tersebut dipersiapkan untuk menampung kurang lebih orang pengungsi yang kehilangan rumah dengan mengutamakan protokol kesehatan COVID Kalau memungkinkan didirikan tenda kalau tidak di rumah ibadah di gedung gedung sekolah ujar Kasudinsos Jakarta Barat Mursidin di Jakarta Selasa Namun pihaknya masih melihat situasi dan kondisi sebelum memutuskan menampung pengungsi menggunakan tenda mengingat wilayahnya padat Sementara untuk saat ini pihaknya berkoordinasi dengan camat untuk mempersiapkan sejumlah tempat penampungan Makanan siap saji sedang disiapkan ujar dia Sebelumnya sebanyak rumah di Gang Venus Jalan Jembatan Besi II Jembatan Besi Tambora Jakarta Barat hangus dilalap api yang diduga disebabkan korsleting listrik Kasie Ops Pemadam Kebakaran Jakarta Barat Eko Sumarno mengatakan api diduga berasal dari korsleting dari salah satu rumah kontrakan Asal api diduga dari arus pendek listrik dari rumah kontrakan ujar Eko Pewarta Devi Nindy Sari RamadhanEditor Ganet Dirgantara 
Ratusan rumah di Gang Venus hangus akibat korsleting, Wilayah terparah RT Jembatan Besi rumah hangus yang dihuni KK atau jiwaJakarta Sebanyak rumah di Gang Venus Jalan Jembatan Besi II Jembatan Besi Tambora Jakarta Barat hangus dilalap api akibat korsleting listrik Kasie Ops Pemadam Kebakaran Jakarta Barat Eko Sumarno mengatakan api diduga berasal dari korsleting dari salah satu rumah kontrakan Asal api diduga akibat arus pendek listrik dari rumah kontrakan ujar Eko di Jakarta Selasa Eko menjelaskan rumah terbakar di tiga wilayah RT berbeda Di RT Jembatan Besi dua rumah hangus dan lima kepala keluarga KK atau jiwa kehilangan rumah Kemudian RT Jembatan Besi rumah hangus yang dihuni kepala keluarga KK atau jiwa Wilayah terparah RT Jembatan Besi rumah hangus yang dihuni KK atau jiwa Korban jiwa nihil kata Eko Kebakaran berhasil dipadamkan sekitar pukul WIB dan kini dalam proses pendinginan agar tak ada api lagi yang dapat menjalar ke material bangunan Total unit pemadam kebakaran diterjunkan untuk menangani kebakaran Pewarta Devi Nindy Sari RamadhanEditor Ganet Dirgantara 
ILO soroti pentingnya dukungan bagi UMKM yang tergerus dampak COVID-19, Perusahaan membutuhkan dukungan dalam mengadaptasi model dan operasi usaha setelah pandemi COVID Jakarta Organisasi Buruh Internasional ILO menyebut dua dari tiga perusahaan yang disurvei di Indonesia telah menghentikan operasional usaha baik secara sementara maupun permanen dan menegaskan pentingnya dukungan bagi usaha mikro kecil dan menengah UMKM guna dapat beradaptasi di tengah pandemi Data tersebut tertuang dalam laporan penelitian yang berjudul Ketahanan hidup perusahaan hampir habis pekerjaan semakin terancam berdasarkan survei yang dilakukan terhadap perusahaan pada bulan April lalu oleh Program ILO mengenai Kesinambungan Daya Saing dan Tanggung Jawab Perusahaan SCORE Indonesia bersama dengan para konstituen dan mitra pelaksananya Para pekerja harus menjalani cuti atau kehilangan pekerjaan pandemi telah menghilangkan pendapatan jutaan rumah tangga yang mengancam kesejahteraan mereka kata Direktur ILO untuk Indonesia Michiko Miyamoto dalam pernyataan tertulis yang diterima di Jakarta Senin ILO menyebut persen perusahaan mengalami masalah keuangan yang membutuhkan dukungan dari pemerintah dalam arus kas agar dapat bertahan Sementara itu sekitar persen perusahaan yang disurvei telah mengurangi jumlah pekerja dan banyak perusahaan lainnya yang berencana melakukan hal yang sama Oleh karena itu Michiko mengatakan perlu ada tindakan tripartit yang terkoordinasi untuk membantu mengurangi dampak pandemi terhadap perusahaan pekerja serta keluarga mereka Sementara itu manajer program SCORE ILO yang bertujuan untuk meningkatkan produktivitas dan kondisi kerja UKM Januar Rustandie menyebut sejumlah perusahaan telah melakukan diversifikasi produk dan lainnya untuk mengalihkan usaha mereka menjadi bisnis yang berbasis daring namun masih dibutuhkan adanya bantuan dari pihak lain untuk mengaplikasikan model usaha tersebut Perusahaan membutuhkan dukungan dalam mengadaptasi model dan operasi usaha setelah pandemi COVID ujarnya Mengingat perekonomian tentunya akan kembali beroperasi perlindungan pekerja menjadi hal yang mendesak Menurut laporan ILO saat ini kurang dari persen perusahaan melakukan pemeriksaan suhu tubuh sementara lebih dari persen usaha tidak dapat memastikan jarak fisik yang memadai di antara para pekerjanya Hingga pengobatan dan vaksinasi tersedia pencegahan penyebaran COVID dan perlindungan pekerja dari infeksi di tempat kerja menjadi permasalahan penting Panduan yang jelas menjadi krusial demikian laporan tersebut Laporan tersebut juga memberikan sejumlah rekomendasi kebijakan termasuk menegaskan perlunya paket stimulus ekonomi yang terfokus pada usaha kecil dan menengah akses terhadap tunai dan keuangan jangka pendek serta dukungan terhadap upaya pengusaha untuk mengadaptasi model dan operasi usaha di masa physical distancing melalui peningkatan kemampuan daring mereka Jika permintaan terus menurun perusahaan tidak mampu bertahan tanpa dukungan memadai yang membawa dampak berkelanjutan terhadap pasar kerja demikian ILO 
Lapak mebel di Klender terbakar, Jakarta Lapak produksi mebel di Kelurahan Klender Kecamatan Duren Sawit Jakarta Timur terbakar pada Senin pagi Luas area terbakar meter persegi berikut barang produksi kata Kasi Operasional Damkar Jakarta Timur Gatot Sulaeman di Jakarta Kejadian itu dilaporkan kepada petugas Suku Dinas Penanggulangan Kebakaran dan Penyelamatan Jakarta Timur pukul WIB Sepuluh unit armada pompa berikut personel evakuasi dikerahkan menuju lokasi kejadian di Jalan Buaran I RT RW Petugas melakukan penyekatan api agar tidak merambat ke sejumlah bangunan sekitarnya Lokasi kejadian dekat dengan minimarket Alfamidi katanya Proses pemadaman api yang berlangsung mulai pukul WIB berakhir pukul WIB Kendala yang dihadapi petugas adalah akses jalan yang sempit sehingga mempersulit laju kendaraan petugas Hasil penelusuran awal diduga kebakaran akibat arus pendek listrik korsleting pada meteran listrik Salah satu karyawan melihat meteran listrik api sudah membesar katanya Lapak produksi mebel yang dimiliki Eko mempekerjakan enam karyawan Korban jiwa nihil tapi kerugian materi dihitung mencapai Rp juta kata Gatot Pewarta Andi FirdausEditor Sri Muryono 
"Hyundai ""recall"" tiga model mobil karena masalah kelistrikan", Jakarta Hyundai di Australia menarik kembali recall ribu kendaraan dari tiga model mereka karena masalah arus pendek kelistrikan yang dapat menyebabkan kebakaran Penarikan itu melibatkan model Santa Fe yang diproduksi Maret hingga September sebanyak unit Hyundai Elantra sebanyak unit produksi Agustus hingga Me lalu ada i s yang dirakit November sampai Desember sebanyak unit Menurut laporan yang diterima terdapat kesalahan pada papan sirkuit kontrol elektronik dalam modul ABS yang dapat menyebabkan korsleting saat cuaca lembap Kendati demikian masalah itu tidak mempengaruhi fungsi sistem rem Hyundai dalam hal ini menyarankan pengguna agar memarkir mobol jauh dari garasi serta struktur bangunan lain yang mudah terbakar Kendaraan yang terkena dampak perlu diparkir di ruang terbuka dan jauh dari bahan dan struktur yang mudah terbakar yaitu tidak di garasi kata perwakilan Hyundai dalam sebuah pernyataan yang dikutip dari CarsCoops Kamis Perbaikan akan dilakukan gratis pada Juli Pewarta KR CHAEditor Alviansyah Pasaribu Copyright Tagshyundarecall 
SMPN 7 Pekanbaru ludes terbakar saat libur PSBB, Pekanbaru Gedung SMPN Pekanbaru luluh lantak akibat kebakaran hebat yang melanda sekolah itu saat libur Pembatasan Sosial Berskala Besar PSBB untuk mencegah penyebaran COVID di Kota Pekanbaru Provinsi Riau Kasi Keselamatan dan Evakuasi Pemadam Kebakaran Kota Pekanbaru Fahriansyah kepada wartawan di Pekanbaru Rabu mengatakan sekolah yang berlokasi di Jalan Lokomotif Kecamatan Limapuluh tersebut terbakar sekitar Selasa tengah malam Kita mendapatkan laporan kebakaran di SMP sekitar pukul WIB ujarnya Ia mengatakan nyaris seluruh bangunan beserta isinya di SMPN luluh lantak akibat kebakaran tersebut Menurut dia pada saat kejadian kondisi Pekanbaru sedang dilanda hujan deras disertai angin kencang Dugaan sementara menyebutkan sekolah tersebut tersambar petir yang menyebabkan hubungan arus pendek memicu api Dugaan sementara terkena sambaran petir yang mengakibatkan korslet listrik katanya Ia mengatakan pihaknya mengerahkan tujuh mobil pemadam kebakaran beserta personel untuk memadamkan api di SMPN Namun api terlanjur membesar dan ia mengatakan hampir tak ada barang maupun dokumen sekolah yang bisa diselamatkan Fahriansyah menambahkan penyebab pasti kebakaran masih akan diselidiki oleh kepolisian setempat Ia memastikan tidak ada korban jiwa dalam kebakaran tersebut Selama hampir sebulan terakhir sekolah tersebut diliburkan karena PSBB di Pekanbaru Untuk kerugian akibat hancurnya sekolah tersebut belum bisa dipastikan Pewarta FB AnggoroEditor M Arief Iskandar 
