title,content
"Pesawat jatuh di Karachi, tidak ada penumpang WNI", Untuk sementara ini berdasarkan daftar penumpang passenger list tidak terdapat penumpang WNIJakarta Kementerian Luar Negeri menyebut tidak ada warga negara Indonesia WNI di dalam pesawat Pakistani International Airline PIA yang jatuh tak jauh dari bandara di Karachi Pakistan Jumat Untuk sementara ini berdasarkan daftar penumpang passenger list tidak terdapat penumpang WNI kata Direktur Perlindungan WNI dan BHI Kemlu Judha Nugraha melalui pesan singkat Jumat malam Meskipun demikian KJRI Karachi saat ini sedang mencari informasi dari otoritas setempat mengenai kemungkinan adanya penumpang WNI Pesawat yang mengangkut sekitar penumpang dan kru itu jatuh di daerah permukiman menjelang mendarat di Bandara Karachi pada Jumat pukul waktu setempat Sebab kecelakaan belum diketahui tutur Judha Pihak maskapai menyebut pesawat dengan nomor penerbangan PK dengan rute penerbangan Lahore ke Karachi itu mengangkut penumpang serta delapan kru sedangkan otoritas penerbangan sipil menyebut jumlah orang di dalam pesawat itu adalah orang Informasi terakhir yang kami dengar dari pilot adalah bahwa dia mengalami kendala teknis Ini adalah kejadian yang amat tragis ujar juru bicara PIA Abdullah H Khan dalam sebuah video pernyataan resmi Pejabat senior dari otoritas penerbangan sipil mengatakan bahwa tampaknya pesawat tersebut tidak bisa membuka rodanya jelang mendarat karena kesalahan teknis namun masih terlalu dini untuk memverifikasi hal tersebut Tayangan televisi lokal menunjukkan bahwa muncul kerumunan massa di sekitar lokasi kejadian yang memang merupakan kawasan padat penduduk dengan asap hitam yang mengepul dan beberapa mobil terbakar Militer Pakistan menyatakan tim cepat tanggap dan pasukan paramiliter telah diterjunkan dan mencapai lokasi kejadian untuk upaya penyelamatan bersama dengan sejumlah badan sipil demikian dilaporkan Reuters Pewarta Yashinta Difa PramudyaniEditor Azis Kurmala 
"Pesawat PIA jatuh di Karachi, angkut sekitar 100 orang di dalamnya", Informasi terakhir yang kami dengar dari pilot adalah bahwa dia mengalami kendala teknis Ini adalah kejadian yang amat tragis Karachi Sebuah pesawat Pakistan International Airlines PIA yang mengangkut sekitar orang penumpang beserta kru jatuh di sebuah kawasan perumahan di sebelah selatan Kota Karachi pada Jumat demikian menurut keterangan resmi Pihak maskapai menyebut pesawat dengan nomor penerbangan PK itu mengangkut penumpang serta delapan kru sedangkan otoritas penerbangan sipil menyebut jumlah orang di dalam pesawat itu adalah orang Informasi terakhir yang kami dengar dari pilot adalah bahwa dia mengalami kendala teknis Ini adalah kejadian yang amat tragis ujar juru bicara PIA Abdullah H Khan dalam sebuah video pernyataan resmi Pejabat senior dari otoritas penerbangan sipil mengatakan bahwa tampaknya pesawat tersebut tidak bisa membuka rodanya jelang mendarat karena kesalahan teknis namun masih terlalu dini untuk memverifikasi hal tersebut Tayang televisi lokal menunjukkan bahwa muncul kerumunan massa di sekitar lokasi kejadian yang memang merupakan kawasan padat penduduk dengan asap hitam yang mengepul dan beberapa mobil terbakar Militer Pakistan menyatakan tim cepat tanggap dan pasukan paramiliter telah diterjunkan dan mencapai lokasi kejadian untuk upaya penyelamatan bersama dengan sejumlah badan sipil Sumber Reuters 
Kabel bawah tanah di Jalan Jatinegara terbakar, Jakarta Instalasi kabel bawah tanah di Jalan Jatinegara Barat Kampung Melayu Jakarta Timur mengeluarkan asap tebal akibat terbakar Rabu siang Saat unit merapat ke lokasi sudah tidak mengeluarkan asap lagi namum masih dalam proses pemeriksaan kata Kasi Operasional Damkar Jakarta Timur Gatot Sulaeman di Jakarta Peristiwa itu dilaporkan warga setempat bernama Dedy Junaidi pada pukul WIB Satu unit tiang listrik yang tertancap di sisi Jalan Gang Kampung Pulo RT RW Jalan Jatinegara Barat mengeluarkan asap hitam pekat dari bagian bawah Petugas Suku Dinas Penanggulangan Kebakaran dan Penyelamatan Jakarta Timur mengecek kabel bawah tanah yang terbakar di sisi Jalan Jatinegara Barat Rabu HO Damkar Jaktim Sebanyak lima personel damkar berikut satu unit armada pompa dikerahkan ke lokasi kejadian untuk antisipasi hal buruk Hasil pemeriksaan sementara kata Gatot ada jaringan kabel bawah tanah yang terbakar Kabel bawah tanah sepanjang lebih kurang meter terbakar katanya Namun Gatot dan tim belum mengetahui apa penyebab dari peristiwa itu Kita berkoordinasi dengan pihak terkait untuk penanganan lebih lanjut katanya Pewarta Andi FirdausEditor Edy Sujatmiko 
"BPPT: Operasi TMC periode pertama di Riau, hujan hampir tiap hari", hotspot turun hingga sempat titikJakarta Badan Pengkajian dan Penerapan Teknologi BPPT mengatakan operasi teknologi modifikasi cuaca TMC di Provinsi Riau dan sekitarnya pada periode pertama yakni pada Maret April mampu menurunkan hujan hampir setiap hari Pada Maret hingga awal April dilaporkan hampir setiap hari terjadi hujan hotspot turun hingga sempat titik kata Deputi Bidang Teknologi Pengembangan Sumber Daya Alam BPPT Yudi Anantasena dalam konferensi video Jakarta Rabu Selain menurunkan jumlah titik panas hotspot operasi TMC di Riau dan Jambi ditujukan untuk membasahi lahan lahan gambut di musim kemarau dengan mengisi kanal kanal embung dan kolam kolam retensi areal guna mencegah lahan gambut tersebut terbakar Data BBTMC mencatat operasi TMC Maret April menghasilkan air hujan capai juta meter kubik dan akumulasi rata rata curah hujan aktual selama periode TMC sebesar mm Memasuki musim kemarau dan menjelang puncak musik kemarau di Juli Agustus operasi TMC kembali dilakukan untuk periode hari ke depan yakni hari untuk Provinsi Riau dan sekitarnya lalu dilanjutkan dengan hari untuk Provinsi Sumatera Selatan Operasi TMC itu bertujuan untuk membasahi lahan lahan gambut agar tidak mengering dan mencegah kemunculan titik api Operasi TMC tersebut menindaklanjuti arahan atau perintah Presiden Joko Widodo untuk mengurangi atau mencegah terjadinya kebakaran hutan dan lahan Kita tahu kalau sudah terjadi kebakaran akan lebih sulit juga kita melakukan TMC karena ada asap dan sebagainya sehingga sangat ideal dilakukan seperti saat ini sebelum musim kemarau masuk ke Riau Jambi dan Sumatera Selatan ujar Yudi Kepala Balai Besar Teknologi Modifikasi Cuaca BBTMC BPPT Tri Handoko Seto mengatakan operasi TMC pada periode itu diakhiri karena saat itu sudah beberapa hari terakhir tidak ditemukan titik panas hotspot dan tinggi muka air gambut cukup baik Jadi aktivitas TMC di awal tahun itu berjalan dengan baik sebelum kita mulai cukup banyak hotspot yang termonitor dan firespot yang dilaporkan Setelah kita laksanakan maka kemudian terjadi perubahan yang cukup signifikan dan akhirnya kita hentikan periode pertama ini ujarnya 
BBTMC: Titik panas tetap muncul di tengah pandemi COVID-19, Jakarta Kepala Balai Besar Teknologi Modifikasi Cuaca BBTMC Badan Pengkajian dan Penerapan Teknologi BPPT Tri Handoko Seto mengatakan titik panas hotspot tetap muncul meskipun ada kebijakan pembatasan aktifitas di tengah pandemi COVID Apakah di masa pandemi ini kemudian orang diam di rumah tidak membakar kita tidak menjustifikasi itu tidak men judge itu tapi yang terjadi itu ternyata tetap muncul hotspot maupun firespot yang dilaporkan kata Seto dalam konferensi video Jakarta Rabu Dengan kondisi itu dia mengatakan tim penanggulangan kebakaran hutan dan lahan karhutla termasuk para Manggala Agni juga tetap bekerja di lapangan untuk memantau dan mencegah terjadinya karhutla Patroli patroli dengan menggunakan helikopter untuk memantau dari udara juga tetap dijalankan katanya Ia menjelaskan memasuki musim kemarau dan menjelang puncak musim kemarau maka operasi TMC kembali dilakukan selama periode hari ke depan dengan rincian hari pertama untuk wilayah Provinsi Riau dan sekitarnya dan hari selanjutnya untuk Provinsi Sumatera Selatan Setelah itu rencananya operasi TMC akan dilakukan untuk wilayah Kalimantan katanya Saat musim kemarau menurut dia terjadi penurunan tinggi muka air tanah TMAT gambut sehingga rentan terbakar saat dalam keadaan lahan gambut mulai mengering Untuk mengantisipasi kebakaran hutan dan lahan karhutla maka tim TMC berupaya untuk menciptakan hujan buatan sehingga dapat membasahi lahan gambut dan mencegah kemunculan titik panas Seto mengatakan karhutla di Tanah Air paling tinggi terjadi pada cukup tinggi di dan diharapkan pada akan semakin menurun Jadi sasaran dari TMC adalah daerah daerah yang memang mengalami penurunan tinggi muka air tanah gambut dan daerah yang berulang terbakar dan banyak titik panas Semoga kali ini bisa menekan terjadinya kemunculan hotspot dan firespot sebagaimana diarahkan ibu Menteri Lingkungan Hidup dan Kehutanan sebelumnya bahwa jangan sampai pandemi COVID yang mengganggu kehidupan masyarakat saat ini akan ditambah dengan bencana asap karhutla tutur Seto 
Kajian Madani temukan area moratorium hutan dan gambut masih terbakar, Area ekosistem gambut di dalam dan sekitar izin harus diperhatikanJakarta Kajian Yayasan Madani Berkelanjutan masih menemukan bagian areal moratorium hutan dan gambut dalam Peta Indikatif Penghentian Pemberian Izin Baru PIPPIB masih terbakar GIS Specialist Yayasan Madani Berkelanjutan Fadli Ahmad Naufal dalam diskusi Menelisik Karhutla dan Area Potensi Terbakar di Jakarta Rabu menyebutkan masih terjadi karhutla di areal PIPPIB dan dominan terjadi di ekosistem gambut yaitu seluas ha Dari kajian yang juga mengolah data dari geoportal Kementerian Lingkungan Hidup dan Kehutanan KLHK dan batas administrasi RBI Badan Informasi Geospasial BIG tersebut mayoritas area terbakar di areal PIPPIB tersebut persen berdekatan dengan izin dan konsesi khususnya sawit dan hutan tanaman Hutan Tanaman Industri atau Izin Usaha Pemanfaatan Hasil Hutan Kayu Hutan Tanaman IUPHHK HT bahkan ada yang tumpang tindih Dari kajian juga diketahui delapan persen karhutla ada di dalam Peta Indikatif Areal Perhutanan Sosial PIAPS Ada persen areal PIAPS berdekatan dan tumpang tindih dengan izin atau konsesi dan mayoritas atau persen areal yang terbakar di tersebut berdekatan dengan izin perkebunan sawit dan HTI Jika dilihat berdasarkan area konsensi maka Fadli mengatakan kajian tersebut menemukan karhutla juga terjadi di area berizin didominasi oleh perkebunan sawit dengan luas ha disusul IUPHHK HT dengan luas ha dan Izin Usaha Pemanfaatan Hasil Hutan Kayu Hutan Alam IUPHHK HA dengan luas ha Mengingat sentralnya keberadaan perizinan pengelolaan kebun dan hutan dalam kebakaran pengawasan terhadap kepemilikan sarana dan prasarana pencegahan dan pengendalian kebakaran di wilayah berizin harus diperkuat juga penegakan hukum terhadap pemilik izin yang arealnya terjadi kebakaran kata Direktur Eksekutif Madani Berkelanjutan Muhammad Teguh Ia juga mengatakan Rancangan Undang Undang Cipta Kerja jika dilanjutkan pembahasannya akan sangat berisiko meningkatkan kerentanan wilayah terhadap karhutla Ekosistem gambut juga memainkan peran signifikan dalam karhutla Karena persen karhutla saat itu yang mencapai ha terjadi di ekosistem gambut dan yang memprihatinkan persen terjadi di wilayah fungsi lindung Area ekosistem gambut yang berada di dalam dan sekitar izin khususnya perkebunan sawit dan HTI harus diperhatikan secara khusus karena memainkan peran penting dalam kebakaran Kebakaran ekosistem gambut sangat berbahaya karena sulit untuk dipadamkan dan menimbulkan polusi karbon yang jauh lebih besar juga menimbulkan asap yang sangat beracun dan membahayakan bagi kesehatan masyarakat ujar Teguh karhutlaPewarta Virna P SetyoriniEditor Zita Meirina 
Korban kebakaran rumah di Anambas alami kerugian Rp200 juta, Sejumlah bangunan rumah dan barang barang di dalamnya ludes dilalap si jago merahTanjungpinang Pihak kepolisian menyebut nilai kerugian materiil yang dialami Abdul Muis korban kebakaran rumah di Desa Ladan Kecamatan Palmatak Kabupaten Kepulauan Anambas Provinsi Kepulauan Riau Kepri mencapai Rp juta Sejumlah bangunan rumah dan barang barang di dalamnya ludes dilalap si jago merah pagi tadi kata Kapolsek Palmatak Iptu M Arsha Selasa Arsha menyampaikan kronologis kejadian kebakaran rumah Abdul Muis berawal ketika seorang menantunya yakni Suanda wanita berusia tahun memasak mi instan di dapur rumahnya sekitar pukul WIB Setelah memasak sekitar pukul WIB Suanda pergi ke Desa Piabung untuk menemui saudaranya Pada saat itu Bapak Abdul Muis sedang berada di depan rumah untuk berjualan ujarnya Kemudian sekitar pukul WIB salah seorang warga sekitar Yamin melihat ada gumpalan asap dan api yang membakar bagian dapur rumah korban Yang bersangkutan langsung memberitahukan hal itu kepada Abdul Muis bahwa dapur rumah korban terbakar ujarnya Lebih lanjut Kapolsek menyebut pada pukul WIB Suanda mendapat telepon bahwa rumah yang ditempatinya terbakar Wanita tersebut lantas bergegas pulang ke rumah namun kobaran api sudah membesar dan membakar bagian dapur rumah Api baru bisa dipadamkan sekitar pukul WIB oleh masyarakat setempat Dari keterangan Ibu Suanda saat beliau meninggalkan rumah kompor dalam keadaan mati ujar Arsha Setelah diselidiki lebih dalam polisi menyimpulkan kejadian kebakaran tersebut diakibatkan korsleting arus listrik di bagian dapur rumah korban Tidak ada korban dalam peristiwa tersebut Sedangkan rumah korban untuk sementara dipasangi police line oleh Polsek Palmatak Pewarta OgenEditor Budisantoso Budiman 
Petugas masih berupaya padamkan kebakaran kapal tanker di Belawan, Medan Sejumlah petugas hingga Selasa pagi masih berupaya memadamkan kebakaran di kapal tanker MT Jag Leela di Pelabuhan Belawan Provinsi Sumatera Utara Asap masih mengepul dari kapal tanker yang terbakar pada Senin tersebut Petugas pemadam kebakaran dan pekerja PT Waruna Nusa Sentana Shipyard Belawan menggunakan crane untuk menyemprotkan air ke arah kapal Satu ambulans siaga tak jauh dari tempat kapal berada Dari malam sampai pagi ini terus dilakukan penyemprotan Mungkin api masih ada dari dalam kapal kata Indra seorang penjaga dermaga di Pelabuhan Belawan Kapal tanker sepanjang meter milik MT Jag Leela yang digunakan untuk mengangkut minyak terbakar pada Senin sekitar pukul WIB ketika sedang ditambatkan di galangan kapal milik PT Waruna Nusa Sentana Shipyard di Pelabuhan Belawan Akibat kebakaran di kapal tersebut dua orang meninggal dunia serta orang terluka dan harus menjalani perawatan di Rumah Sakit PHC Belawan dan Rumah Sakit TNI AU Belawan Korban meninggal akibat kebakaran kapal di Belawan menjadi dua orang Korban luka akibat kebakaran kapal tanker di Belawan menjadi orangPewarta Nur Aprilliana Br SitorusEditor Maryati 
Minibus terbakar di Pondok Indah diduga akibat gangguan mesin, Kerugian diperkirakan sebesar Rp jutaJakarta Sebuah minibus jenis Toyota Alphard warna putih terbakar di jalan Sultan Iskandar Muda Pondok Indah Jakarta Selatan Senin sore diduga akibat gangguan mesin Petugas informasi dan komunikasi Suku Dinas Penanggulangan Kebakaran dan Penyelamatan Damkar Jakarta Selatan Suparman mengatakan kebakaran terjadi sekitar pukul WIB Dugaan sementara ada gangguan di mesin sehingga menimbulkan kebakaran kata Suparman Mobil dengan nomor polisi B ZBA dikemudikan seorang supir yang hendak menjemput pemiliknya Tapi di tengah perjalanan tepatnya di depan Masjid Pondok Indah mobil mengeluarkan asap pada bagian mesin Sebanyak satu unit mobil pemadam kebakaran dengan lima personel dikerahkan ke lokasi kejadian untuk memadamkan api yang melalap tubuh mobil Tidak ada korban jiwa dalam peristiwa tersebut pengemudi berhasil keluar dari dalam mobil ketika mesin mulai mengeluarkan asap Ditanya apakah sempat terjadi ledakan Suparman membantah soal itu Bukan ledakan ujarnya Api berhasil dipadamkan sekitar pukul WIB Akibat kebakaran tersebut kerugian ditaksir sekitar Rp juta Pewarta Laily RahmawatyEditor Ganet Dirgantara 
Walhi Sumsel: Bencana banjir sejumlah kabupaten dampak eksploitasi SDA, Palembang Aktivis Wahana Lingkungan Hidup Indonesia Walhi Sumatera Selatan menyatakan bencana banjir di Kabupaten Ogan Komering Ulu OKU OKU Selatan dan OKU Timur pada penghujung musim hujan dalam beberapa hari terakhir ini dampak dari masifnya investasi dan eksploitasi sumberdaya alam SDA Kami mencatat pada ini sejak Januari hingga Mei beberapa kabupaten dan kota di Sumsel dilanda banjir dan tanah longsir namun yang tergolong cukup parah di tiga daerah tersebut yang mengakibatkan ratusan rumah rusak dan dua jembatan roboh kata Direktur Eksekutif Walhi Sumsel M Hairul Sobri di Palembang Minggu Melihat data dan fakta tersebut masyarakat dan instansi terkait diharapkan melakukan tindakan pencegahan dan penanggulangan bencana ekologis yang selalu terjadi pada setiap musim hujan itu lebih maksimal lagi Kemudian untuk mencegah bencana ekologis tidak semakin parah pemerintah daerah di tingkat provinsi dan kabupaten kota harus mengendalikan bahkan bersikap tegas menghentikan investasi dan eksploitasi SDA katanya Menurut dia bencana ekologis karena akumulasi kerusakan akibat kesalahan pengolahan dan pemanfaatan sumber daya alam serta eksploitasi karena kepentingan industri Banyaknya korban dan kerugian yang disebabkan bencana ekologis tersebut menunjukkan telah terjadi ketidakseimbangan ekologis yang kemudian memicu perubahan iklim Perubahan iklim menimbulkan bencana ekologis dengan dampak yang sangat luas dirasakan oleh masyarakat kondisi tersebut menandakan ada sesuatu yang tidak beres dalam pengelolaan SDA di Sumsel Setelah banjir dan tanah longsor menghadapi musim kemarau pada Juni hingga beberapa bulan ke depan instansi terkait di tingkat provinsi dan kabupaten kota harus mulai melakukan pencegahan dan penanggulangan kebakaran hutan dan lahan yang dapat menimbulkan bencana kabut asap kata Sobri 
