title,content
Luhut: Pandemi COVID-19 momentum saling kuatkan persaudaraan, Saya Luhut Binsar Pandjairan dari lubuk hati yang paling dalam mengucapkan Selamat Hari Raya Idul Fittri Syawal HijriahJakarta Menteri Koordinator Bidang Kemaritiman dan Investasi Luhut Binsar Pandjaitan mengatakan pandemi COVID saat Idul Fitri Hijriah merupakan momentum yang tepat untuk menguatkan kembali rasa persaudaraan Dalam unggahan di media sosialnya yang dipantau di Jakarta Minggu Luhut mengajak segenap masyarakat terutama umat muslim yang merayakan Idul Fitri untuk saling menguatkan diri di tengah pandemi Untuk saudara saudaraku yang beragama Islam kondisi sulit yang kita semua alami saat ini adalah momentum yang tepat untuk menguatkan kembali rasa persaudaraan kita lewat saling peduli saling menjaga antarsesama anak bangsa Karena hanya dengan saling menguatkan kita mampu mengatasi badai pandemi yang melanda bumi pertiwi saat ini katanya Luhut juga mengingatkan agar masyarakat selalu menjaga jarak dan menjaga kesehatan serta memakai masker sebagai upaya melakukan pencegahan penyebaran COVID Dengan tetap selalu menjaga jarak dan terutama jaga kesehatan dan jangan lupa masker maka di hari penuh barokah ini saya Luhut Binsar Pandjairan dari lubuk hati yang paling dalam mengucapkan Selamat Hari Raya Idul Fittri Syawal Hijriah Mohon maaf lahir dan batin tutupnya 
Kuba sebut dua obat COVID-19 buatannya ampuh tekan angka kematian, Sekitar persen pasien yang kritis akhirnya sekarat Di Kuba dengan menggunakan dua obat itu persen pasien yang kritis atau dalam kondisi serius berhasil diselamatkan Havana Pemerintah Kuba pada minggu ini mengatakan dua obat yang dikembangkan oleh industri bioteknologi dalam negeri efektif mengurangi angka kematian akibat COVID karena obat itu meringankan peradangan akut hiperinflamasi pada pasien dengan gejala sakit parah Otoritas kesehatan setempat mencatat hanya dua pasien meninggal dunia dari pasien yang masih dirawat di rumah sakit dalam sembilan hari terakhir Informasi itu menunjukkan Kuba kemungkinan berhasil menanggulangi wabah Pemerintah yang berharap dapat meningkatkan ekspor produk biofarmasinya telah mencoba berbagai macam obat hasil buatannya untuk mencegah penularan virus corona jenis baru SARS CoV penyebab COVID serta gejala penyakitnya Otoritas setempat menyebut angka kematian pada pasien COVID dengan gejala sakit parah berkurang setelah dua obat buatan Kuba itu mulai digunakan pada April Dua obat itu itolizumab dan peptida diyakini dapat menenangkan badai sitokin kondisi tubuh yang terjadi saat sistem imun mulai menyerang jaringan tubuh sehat saat melawan virus Itolizumab merupakan antibodi monoklonal yang diproduksi di Kuba dan daerah lain sementara peptida telah memasuki tahap II uji klinis untuk mengobati rheumatoid arthritis Industri bioteknologi Kuba mengklaim jadi yang pertama menemukan peptida untuk pengobatan Sekitar persen pasien yang kritis akhirnya sekarat Di Kuba dengan menggunakan dua obat itu persen pasien yang kritis atau dalam kondisi serius berhasil diselamatkan kata Presiden Miguel Diaz Canel Kamis saat menghadiri pertemuan yang disiarkan oleh televisi pemerintah Sejumlah ilmuwan mengingatkan penelitian terkontrol dengan skala lebih besar dibutuhkan guna menguatkan pengetahuan mengenai keamanan dan kemanjuran obat COVID tersebut Namun pengobatan hasil uji coba Kuba itu dapat membantu menekan tingkat kematian sampai persen sementara rata rata di kawasan dan dunia masing masing sebanyak persen dan persen kata otoritas kesehatan Tingkat kematian akibat suatu penyakit dihitung dari banyak variabel di antaranya termasuk tingkat pemeriksaan kualitas sistem kesehatan usia dan kondisi kesehatan penduduk Data resmi menunjukkan Kuba negara dengan layanan kesehatan universal dan sistem perawatan yang baik berhasil menanggulangi wabah Otoritas setempat mencatat kurang dari kasus COVID baru per hari selama seminggu terakhir Angka itu menunjukkan penurunan saat Kuba mencapai lonjakan tertinggi sampai pasien per hari pada pertengahan April Sejauh ini Kuba mencatat orang dari total penduduk juta jiwa positif tertular COVID Dari jumlah pasien positif di antaranya meninggal dunia Dengan demikian kemungkinan penularan COVID di Kuba hanya mencapai orang per penduduk sementara di Amerika Serikat tingkat penyebaran lebih besar dengan orang per penduduk demikian proyeksi dari Johns Hopkins University Tindakan cepat pemerintah menanggulangi wabah membantu Kuba mengatasi krisis kesehatan tersebut Setelah menutup perbatasan sekolah dan transportasi umum pada Maret Kuba mewajibkan warga tetap berada di rumah mengenakan masker dan menggunakan sistem pelacakan yang efektif guna menekan penularan virus Sumber Reuters 
DPR ingatkan Presiden Jokowi tak salah keluarkan kebijakan, Jakarta Wakil Ketua Komisi III DPR Desmond Junaidi Mahesa mengingatkan Presiden Joko Widodo agar tak salah mengeluarkan kebijakan di tengah pandemi COVID di Tanah Air Di tengah tengah pandemi virus corona ini agaknya Presiden perlu meningkatkan kewaspadaan pada perilaku yang ditunjukkan oleh orang orang dekatnya dan para pembantunya kata Desmond dalam keterangan tertulisnya di Jakarta Sabtu Menurut dia para menteri yang suka menganulir kebijakan Presiden perlu diwaspadai motif dan tujuannya karena seringkali seorang pemimpin bisa jatuh lantaran ulah orang orang dekatnya Jangan jangan mereka itu sengaja melakukan upaya dari dalam yang berujung pada jatuhnya nama Presiden di mata rakyat kata Desmond saat menyampaikan refleksi tahun reformasi Lengsernya Presiden Soeharto pada Mei menandai berakhirnya pemerintah era orde baru Orba yang sudah berkuasa tahun lamanya Desmond mengatakan seorang presiden bisa jatuh karena kebijakan kebijakannya yang tidak sesuai dengan harapan rakyat Momentum tahun reformasi dan tumbangnya Orba mestinya bisa menjadi bahan introspeksi bagi penguasa memperbaiki kinerjanya Apalagi di tengah badai corona banyak kritik bisa diledakkan untuk menggerogoti kewibawaan pemerintah papar Politisi Partai Gerindra ini Seperti halnya keputusan Presiden menaikkan iuran BPJS yang dinilai melanggar hukum karena telah dibatalkan oleh Mahkamah Agung MA sementara para pembantunya yang merupakan ahli hukum seperti Mahfud MD atau Yasonna Laoly terkesan membiarkannya Demikian juga munculnya skandal kartu pra kerja yang diduga melibatkan staf khusus presiden Terkesan anak anak muda itu telah membohongi presiden karena menyalahgunakan kewenangannya Kasus kartu pra kerja ini sangat mungkin akan meledak menjadi skandal nantinya ucap Desmond Sementara itu di tengah pandemi virus corona lanjut Desmond ada menteri yang ngotot mendatangkan TKA asal China Padahal masalah ini sangat sensitif karena sedang diberlakukan Pembatasan Sosial Berskala Besar PSBB bagi warga negara Indonesia untuk menekan penyebaran COVID Kebijakan kebijakan yang tidak populer di mata rakyat ini kata dia tentu sangat berpengaruh pada kewibawaan pemerintah Oleh karena itu sebagai pemimpin tertinggi di republik Indonesia Presiden Jokowi perlu mewaspadainya Jadikan kompas kebangsaan yaitu Pancasila dan UUD sebagai pedoman dalam bekerja kata Desmond Sebagai Presiden hasil reformasi tentu rakyat berharap Jokowi istiqomah menjalankan amanat reformasi Sebab kalau masih terus terlena dengan kondisi bangsa maka menjadi sia sialah upaya perjuangan melengserkan Orba Sehingga menjadi tidak ada bedanya antara pemerintahan Orba yang direformasi dengan pemerintah penggantinya ucap aktivis ini 
Perantau di Ubud bantu sesama  terdampak pandemi COVID-19, Gianyar Bali Komunitas perantau di Ubud Kabupaten Gianyar Bali melakukan aksi sosial dengan membantu sesama perantau yang kurang beruntung karena kena PHK dirumahkan kehilangan banyak pendapatan dan tidak bisa pulang ke kampung halaman sebagai dampak dari pandemik COVID Kami membagikan sejumlah uang makanan dan sembako kepada mereka menjelang Hari Raya Idul Fitri Ini merupakan aksi pertama semoga bisa terus bergulir seperti bola salju yang makin membesar kata Andreas Tanesto Ketua Perantau Peduli Sesama di Ubud Kabupaten Gianyar Jumat Pada tahap pertama ini ada perantau yang menerima bantuan sosial Mereka umumnya tinggal di Ubud dan sekitar Kabupaten Gianyar Ini baru langkah pertama sebagai inspirasi yang mungkin dapat mengetuk para perantau yang beruntung di Ubud yang memiliki usaha untuk membantu para sesama yang saat ini kurang beruntung terkena dampak pandemi COVID ujar Andreas perantau asal Surabaya Menurut dia banyak perantau di Ubud yang bernasib kurang beruntung karena hotel tempat kerja mereka tutup begitu juga dengan bisnis toko kerajinan artshop restoran salon kecantikan dan SPA Sebagian besar kena PHK dan terjebak tidak bisa pulang kampung Hal ini mungkin terjadi pula di berbagai kota dan daerah lain di Bali Kami para perantau di Ubud melakukan aksi peduli sesama berharap daerah lain para perantau yang beruntung sudi membantu saudara mereka sesama perantau yang kurang beruntung Saat pandemi ini merupakan momentum para perantau di Ubud dan daerah lainnya di Bali untuk solidaritas kompak dan bersatu saling membantu melewati masa pandemi ini kata Demos Runtukahu juru bicara komunitas perantau keturunan Manado Dayak Ia menambahkan komunitas perantau ini berasal dari berbagai daerah dan agama begitu juga dengan penerima bantuan sosial itu terdiri dari berbagai daerah dan agama Indra Santoso perantau di Ubud yang sudah tahun mengatakan kepada semua perantau untuk tetap semangat terus bekerja dan jangan lupa terus berdoa kepada Tuhan Karena pengalaman tinggal di Bali telah mengalami beberapa tantangan seperti saat bom Bali Kita pasti bisa melewati badai ini apalagi kita saling membantu saling berjabatantangan dalam menghadapi pandemi ini katanya Indra adalah pemandu wisata freelance Ia banyak kehilangan pendapatan karena pariwisata di Bali bisa dikatakan mati saat ini Semua objek wisata kini ditutup sementara semua penerbangan internasional dan domestik juga dihentikan sementara Tri seorang ibu rumah tangga membagi cerita tantangan hidupnya saat pandemi ini Suami saya dulu sering dapat pekerjaan mengantar tamu wisatawan tapi kini banyak menganggur karena pariwisata di Bali terperosok Saya dan suami kini hidup dari jualan gorengan Anak kami ada yang kuliah di Universitas Udayana Anaknya sudah minta berhenti kuliah untuk bantu orang tua Tapi kami cegah tutur dia Dalam masa sulit ini kami tidak putus asa Puji syukur ada saja teman yang membantu Oleh karena itu saya mau membagi semangat kepada semua perantau untuk tidak pantang menyerah dan jangan lupa untuk terus selalu berdoa kepada Tuhan kata Tri perantau asal Jawa Tengah Pewarta Adi LazuardiEditor Masuki M Astro 
Polda Aceh larang konvoi kendaraan bermotor saat malam takbiran, Apabila ditemukan konvoi kendaraan bermotor maka akan dibubarkanBanda Aceh Kepolisian RI Daerah Polda Aceh melalui Direktorat Lalu Lintas melarang masyarakat berkonvoi kendaraan bermotor saat malam takbiran Idul Fitri Hijriah atau Masehi Kami tegaskan agar masyarakat tidak konvoi kendaraan bermotor di malam takbiran kata Direktur Lalu Lintas Polda Aceh Kombes Dicky Sondani di Banda Aceh Jumat Perwira menengah Polri itu menyebutkan konvoi kendaraan bermotor mengundang kerumunan orang Protokol kesehatan pencegahan penyebaran COVID melarang kerumunan orang Apabila ditemukan konvoi kendaraan bermotor maka akan dibubarkan Kami mengimbau masyarakat melaksanakan takbiran bersama keluarga di rumah saja saat pandemi COVID sekarang ini kata Kombes Dicky Sondani Terkait pengamanan malam Lebaran Kombes Dicky Sondani mengatakan pihaknya sudah mengecek kesiapan anggota dan kendaraan dalam mengantisipasi gangguan kamtibmas Sasaran operasi pengamanan malam Lebaran kata Kombes Dicky Sondani di antaranya balap liar konvoi kendaraan kecelakaan lalu lintas dan bencana alam Operasi pengamanan malam Lebaran melibatkan polisi lalu lintas terdiri personel Direktorat Lalu Lintas Ditlantas Polda Aceh dan personel Satuan Lalu Lintas Polresta Banda Aceh Kami juga menyiagakan personel jam untuk untuk membantu masyarakat jika ada mengalami banjir dan tanah longsor menyusul hujan disertai badai di wilayah Aceh dalam sepekan terakhir kata Kombes Dicky Sondani 
India catat lonjakan 6.000 kasus baru saat penguncian dilonggarkan, Mumbai India pada Jumat mencatat sekitar kasus baru COVID yang merupakan lonjakan terbesar di negara tersebut dalam jam terakhir Lonjakan itu terjadi saat New Delhi melonggarkan penguncian nasional serta penerbangan domestik bersiap kembali beroperasi Negara berpenduduk juta orang itu melaporkan total lebih dari kasus pada Jumat Angka itu naik lima persen dari jumlah sebelumnya Sementara itu total kematian mencapai jiwa Perdana Menteri Narendra Modi memperpanjang karantina wilayah yang dimulai pada Maret sampai Mei Namun pihaknya melonggarkan aturan di sejumlah daerah dengan jumlah kasus yang lebih rendah dan mengizinkan pemerintah negara bagian untuk mengeluarkan protokol mereka sendiri atas sejumlah aspek Maskapai India akan diizinkan kembali beroperasi dengan sekitar sepertiga penerbangan mulai Senin tetapi hanya pada rute domestik dan di bawah aturan yang termasuk paling ketat di dunia Lonjakan kasus ini terjadi setelah pergerakan masyarakat sebagian besar dilonggarkan Namun kalau kita lihat secara keseluruhan ini adalah gambaran eksponensial yang jauh lebih rendah dibandingkan negara lain kata Giridhar Babu profesor epidemiologi Yayasan Kesehatan Masyarakat India Kini satu satunya pertanyaan adalah Bagaimana kita mengurangi angka kematian Apakah kita mampu Jawabannya sepertinya ya kata Babu Zona merah penularan di India mencakup Ibu Kota New Delhi pusat bisnis Mumbai kampung halaman Modi Gujarat dan Negara Bagian Tamil Nadu di selatan Bangsal COVID penuh selama beberapa pekan belakangan dan kami meningkatkan kapasitas agar memungkinkan menerima pasien lebih banyak kata Dr Lancelot Pinto respirolog di Rumah Sakit P D Hinduha di Mumbai Sumber Reuters WNI anggota jamaah tabligh tersangkut hukum di India Penerjemah Asri Mayang SariEditor Tia Mutiasari 
"Bobobox raih pendanaan Seri A 11,5 juta dolar AS", Disiplin kami untuk mempertahankan unit ekonomi yang kuat di semua cabang adalah hal yang menjadikan ini peluang investasi yang menarikJakarta Perusahaan rintisan startup akomodasi Bobobox meraih pendanaan Seri A sebesar juta dolar AS yang dipimpin oleh Horizons Ventures dan Alpha JWC Ventures termasuk investor eksisting dan baru seperti Kakao Investments Sequoia Surge dan Mallorca Investments Dengan pendanaan tersebut startup berbasis di Bandung Jawa Barat itu berencana untuk meningkatkan fitur dan pengalaman keseluruhan pod ruang kapsul dengan mengembangkan tim teknologi dan memperkuat model manufaktur dan operasinya serta menembus pasar baru di Asia Tenggara setelah pandemi COVID Terlepas dari turbulensi akibat pandemi ini kami bersyukur masih dapat mengunci investasi dari investor global Disiplin kami untuk mempertahankan unit ekonomi yang kuat di semua cabang adalah hal yang menjadikan ini peluang investasi yang menarik Model pengoperasian ramping kami juga memungkinkan kami mempertahankan laju sehingga kami memiliki landasan pacu yang lebih lama dan lebih kuat dibandingkan dengan pemain akomodasi tradisional kata Pendiri CEO Bobobox Indra Gunawan dalam keterangan tertulis di Jakarta Jumat Indra mengklaim pihaknya berhasil beradaptasi dengan situasi pandemi yang terjadi merujuk pada tingkat keterisian pod yang hanya turun persen pada Maret lalu sementara bisnis serupa banyak yang harus tutup Co founder dan President Bobobox Antonius Bong mengatakan pandemi juga membuka peluang bagi mereka Pasalnya sejumlah orang orang memilih akomodasi kamar kapsul untuk meningkatkan pengalaman kerja dari rumah work from home mereka Beberapa orang memilih menginap dengan jarak terdekat ke tempat kerja mereka untuk menghindari perjalanan panjang ke tempat kerja serta membatasi paparan mereka pada fasilitas publik yang penuh sesak kata Antonius Ia menambahkan pihaknya juga telah memasang lebih dari kapsul di rumah sakit sebagai tempat berlindung yang nyaman bagi dokter dan petugas kesehatan sehingga mereka dapat beristirahat lebih baik sambil tetap dekat dengan pasien mereka Fitur kamar kapsul tanpa kontak dan fasilitas yang sepenuhnya terdesinfeksi dinilai menjadi kekuatan perusahaan dalam pengembangan bisnis Fitur tersebut pun dinilai akan menjadi tren baru setelah COVID Untuk sementara kami akan fokus pada fitur dan protokol baru untuk mengatasi situasi COVID seperti proses check in check out tanpa kontak serta standar kebersihan yang ketat Kami juga mengembangkan produk dan layanan bernilai tambah baru dan menarik yang akan melengkapi pengalaman menginap para tamu kami sambil memberikan bisnis dengan aliran pendapatan tambahan untuk lebih memperkuat unit ekonomi tambahnya Managing Partner di Alpha JWC Ventures Chandra Tjan mengatakan pihaknya yakin Bobobox bisa mengatasi badai COVID dengan dukungan fundamental dan model bisnis yang kuat Dengan kinerja mantap yang telah kami lihat sejak kami pertama kali berinvestasi di Bobobox pada tahun kami yakin Bobobox tidak hanya dapat mengatasi badai ini tetapi juga berusaha untuk menjadi pemimpin industri di kawasan itu Kami sangat senang untuk melanjutkan kemitraan ini katanya Sejak pengumuman pendanaan terakhirnya tahun lalu Bobobox telah menambah enam lokasi baru di tiga kota yakni Bandung Jakarta dan Semarang Perusahaan saat ini mengoperasikan delapan bangunan dengan total lebih dari pod dan tingkat hunian rata rata persen sebelum COVID Startup itu juga memiliki empat lokasi baru di tiga kota yang siap diluncurkan sesuai dengan kondisi COVID Pewarta Ade irma JunidaEditor Ahmad Wijaya 
1 ABK KM Gemilang 717 ditemukan meninggal, Tapteng Dua ABK KM Gemilang asal Kualo Pasar Tarandam Kecamatan Barus Kabupaten Tapanuli Tengah Sumatera Utara yang hilang kontak sejak Minggu berhasil ditemukan Kamis satu di antaranya ditemukan meninggal dunia Koordinator Pos Korpos SAR Sibolga Hari Susanto kepada wartawan mengatakan kedua korban ditemukan oleh kapal nelayan asal Barus dan langsung dievakuasi ke KN Nakula dengan menggunakan LCR Pol Airud Mabes didampingi LCR Kal Mansalar Korban yang meninggal dunia atas nama Fahmi ditemukan di tepi pantai sekitar Km dari Air Terjun Pulau Mursala Tapteng Sementara Nakhoda kapal Usman Harahap ditemukan selamat Kedua ABK ini adalah warga Barus Menurut keterangan Usman kapal yang dinakhodainya dihantam badai dan terdampar di sekitar air terjun Pulau Mursala dengan kondisi mesin rusak Sementara Fahmi langsung melompat ke laut berusaha menyelamatkan diri dengan cara berenang ke pantai Ia pun tidak tahu lagi bagaimana kondisi rekannya itu ujar Hari menirukan pengakuan Usman Agar bertahan hidup selama lima hari Usman makan beras mentah yang ada di kapalnya sembari menunggu pertolongan Kabar hilangnya KM Gemilang jenis kapal jaring apung dilaporkan Kepala Desa Pasar Tarandam Barus kepada Posmat Barus Selanjutnya diteruskan ke Polairud Bakamla dan Basarnas Sebelumnya juga pemilik kapal Rahmansyah Tanjung sudah berusaha menghubungi ABK kapalnya dan juga para nelayan yang melaut di sekitar pulau Mursala namun tidak ada yang mengetahui keberadaan kapal naas itu Tim Basarnas Nias dan Pos SAR Sibolga langsung turun tangan melakukan pencarian sejak beberapa hari lalu Pewarta Juraidi dan jasonEditor Chandra Hamdani Noor 
Maskapai penerbangan ini tiadakan kursi tengah, Jakarta Maskapai penerbangan bertarif rendah asal Amerika Serikat Jetblue meniadakan kursi tengah di bangku tiga deret demi mematuhi protokol kesehatan menjaga jarak physical distancing untuk mencegah penyebaran virus corona COVID Hal itu setidaknya akan diberlakukan sejak Juni hingga musim libur di AS pada Juli mendatang Forbes dikutip Kamis Kami jamin Anda tak akan duduk bersebelahan dengan orang asing Kalau Anda melihat ada tiga orang duduk berdampingan dalam satu deret bangku kami pastikan mereka adalah orang yang bepergian bersama kata perwakilan Jetblue Derek Dombrowski Protokol kesehatan lain yang diberlakukan adalah memonitor suhu tubuh para awak kabin dan fogging elektrostatik pesawat Bangku tengah akan diblok di pesawat jenis Airbus dan bangku dekat lorong akan diblok di pesawat yang lebih kecil Embraer Seiring dengan dilonggarkannya aturan lockdown di AS maka akan lebih banyak orang yang bepergian dengan pesawat dan kami ingin mereka merasa aman dengan Jetblue kata COO Jetblue Joanna Geraghty Bukan hanya Jetblue beberapa maskapai AS juga sudah berkomitmen mengurangi penumpang untuk menjaga jarak American Airlines membloking persen kabin utama baik bangku tengah maupun bangku bangku yang dekat dengan tempat duduk pramugari Namun pada praktiknya pada hari Minggu salah satu pengguna Twitter mengunggah betapa penuhnya situasi di dalam kabin pesawat American Airlines Semua baris bangku penuh mungkin cuma baris bangku yang enggak Aku tak pernah merasa sangat tak aman dalam hidupku sebelumnya cuit Tammy Gonzalez Maskapai United Airlines juga berkomitmen akan mengosongkan bangku tengah namun dengan catatan saat kondisi memungkinkan Awal bulan ini Airlines United menuai badai kritik di media sosial ketika seorang penumpang mengunggah foto selfie menunjukkan penerbangan yang penuh sesak dengan setiap kursi tengah ditempati Sepuluh hari sebelumnya penumpang yang sama telah menerima email promosi dari United yang menyatakan Kami secara otomatis memblokir kursi tengah untuk memberi Anda lebih banyak ruang di papan Tantangan bagi maskapai adalah adanya penawaran dan permintaan Pada saat yang sama semakin banyak pelancong maskapai hanya menerbangkan sebagian kecil dari volume penerbangan normal Hasilnya adalah banyak penerbangan yang lebih penuh daripada di awal pandemi Tetapi JetBlue menegaskan bahwa mereka akan melakukan hal hal yang berbeda Kami secara proaktif menambahkan penerbangan ekstra sesuai kebutuhan Jika kita harus melakukannya dalam jangka pendek maka itulah yang akan kita lakukan kata Dombrowski Kami pikir penting bagi pelanggan kami untuk menyadari bahwa mereka tidak akan duduk tepat di sebelah seseorang yang tidak mereka ajak bepergian sehingga mereka merasa lebih baik tentang penerbangan ujar dia 
Merancang ulang jadwal mudik, Pemerintah pun sudah memutuskan untuk mengubah jadwal cuti bersama Idul Fitri H menjadi hingga Desember Jakarta Kalau tanpa pandemi virus corona situasi hari hari ini adalah puncak perputaran uang dari arus mudik Idul Fitri tetapi kenyataan berkata lain Virus corona tipe baru COVID telah mengubah segalanya baik kebijakan maupun sikap warga menyikapi pandemi global ini Tradisi mudik yang selama selalu berlangsung kini harus juh berkurang Kebijakan pemerintah yang selaku memberi perhatian kepada kelancaran pergerakan jutaan orang terpaksa harus memberlakukan pembatasan pembatasan Bahkan instrumen Pembatasan Sosial Berskala Besar PSBB diberlakukan di beberapa daerah yang penyebaran virus corona masih tinggi Pemerintah Provinsi DKI Jakarta pun memperpanjang masa PSBB yang sudah diberlakukan sejak dua fase menjadi tiga fase Fase pertama selama hari pada April April fase kedua selama hari dari April hingga Mei Fase ketiga untuk hari ke depan mulai Mei hingga Juni Targetnya fase ketiga ini adalah penghabisan jika disiplin warganya terjaga dengan hasil berupa landainya grafik penularan virus corona Selain adanya beragam pembatasan seperti pada dua fase sebelumnya fase ketiga ini juga disertai larangan mudik Pedoman pembatasan itu seiring dengan surat edaran dari Gugus Tugas Percepatan Penanganan COVID Meski masih menyisakan celah untuk mudik warga tampaknya lebih memilih menunggu situasi aman Kalaupun ada yang mudik beragam persyaratan harus dipenuhi agar bisa lolos pemeriksaan oleh petugas gabungan di jalur jalur keluar Jabodetabek Petugas kepolisian memeriksa muatan truk yang melintas di tol Jakarta Cikampek di Cikarang Barat Kabupaten Bekasi Jawa Barat Sabtu Menurut data Ditlantas Polda Metro Jaya sebanyak kendaraan dipaksa putar balik menuju lokasi asal akibat terjaring razia Operasi Ketupat FOTO Fakhri Hermansyah wsj Turun Sikap menahan diri dari tidak mudik dulu saat ini terlihat dari data PT Jasa Marga Persero Tbk dalam beberapa hari terakhir Operator jalan tol ini mencatat sebanyak kendaraan meninggalkan Jakarta melalui jalan tol selama periode H sampai H Lebaran Angka itu turun persen dibandingkan periode sama ujar ACorporate Communication Community Development Group Head Jasa Marga Dwimawan Heru dalam keterangan tertulis yang diterima di Jakarta Rabu Apakah dalam beberapa hari ke depan bakal terjadi lonjakan arus mudik atau justru sebaliknya terjadi penurunan Tentu akan terlihat perkembangannya Yang pasti protokol kesehatan tetap diterapkan terutama di lokasi lokasi peristirahatan rest area Turunnya antusiasme mudik di masa wabah ini berimplikasi pada turunnya peredaran uang yang semestinya terjadi selama arus mudik Tentu saja kali ini berimplikasi terhadap pendapatan operator jalan tol penjualan bahan bakar minyak BBM kuliner hingga omzet penjaja oleh oleh Yang juga sudah diperkirakan turun adalah aliran uang dari Jakarta dan sekitarnya ke berbagai daerah tujuan arus mudik Ini karena berbagi seperti sudah menjadi kebiasaan sebagian pemudik Transfer Simak saja analisis perkiraan DPD Himpunan Pengusaha Pribumi Indonesia Hippi DKI Jakarta Intinya aliran uang ke daerah tujuan mudik pada Idul Fitri Hijriyah atau Lebaran diperkirakan turun persen akibat dampak wabah COVID yang menyebabkan banyak warga menunda mudik Yang tadinya diperkirakan aliran uang dari Jakarta ke daerah tujuan wisata di daerah sekitar Rp triliun diperkirakan akan turun persen atau hanya sekitar Rp triliun kata Ketua Umum DPD Hippi DKI Jakarta Sarman Simanjorang dalam keterangan tertulis di Jakarta Minggu Dana Rp triliun itupun hanya mengalir melalui kiriman transfer melalui bank atau Kantor Pos dari warga yang masih punya simpanan atau kelebihan untuk dibagikan kepada keluarga di kampung Karena itu Lebaran tahun ini tidak terlalu memiliki dampak yang signifikan terhadap pertumbuhan ekonomi di daerah Harapan para pelaku UKM untuk mendapat omzet dan keberuntungan saat momen Lebaran kali inipun pupus Pada kondisi normal aliran uang dari kota ke daerah tujuan mudik saat puncak mudik Idul Fitri selalu naik dari tahun ke tahun Kalau kondisi normal uang yang mengalir ke daerah tujuan mudik tahun ini diperkirakan sebesar Rp triliun naik persen dari tahun sebesar Rp triliun Asumsi Rp triliun itu dihitung dari jumlah pemudik dari tahun ke tahun yang mengalami kenaikan Jika tidak ada COVID diperkirakan jumlah pemudik dari Jabodetabek ke berbagai daerah diperkirakan mencapai jiwa atau setara keluarga Jika setiap keluarga membawa uang rata rata Rp juta per keluarga maka dana yang mengalir ke daerah tujuan mudik diperkirakan mencapai Rp triliun Aliran uang dari kota ke daerah ini dinilai mampu menggerakkan perekonomian karena para pemudik akan banyak membelanjakan uangnya di kawasan destinasi pariwisata oleh oleh khas daerah Selain itu aneka produk UKM seperti makanan kuliner dan kerajinan daerah batik dan uang Lebaran kepada keluarga atau kerabat Mudik pada Lebaran ini memang tertunda sampai penyebaran virus corona terkendali tapi diperkirakan tak sedikit warga perantauan di DKI Jakarta yang sudah memudikkan transferannya Secara fisik mudiknya belum terlaksana namun transferannya sudah sampai kampung halaman Nasabah bertransaksi di anjungan tunai mandiri ATM Bank Mandiri Jakarta Selasa PT Bank Mandiri Persero Tbk sejak Mei telah menyiapkan uang tunai Rp triliun untuk mengantisipasi kenaikan kebutuhan di bulan Ramadan dan menjelang Idul Fitri FOTO M Risyal Hidayat hp FOTO M RISYAL HIDAYAT Pindahkan Libur Kendati kondisinya berat saat Lebaran ini dunia usaha masih melihat harapan karena kebijakan pemerintah memindahkan cuti bersama Lebaran ke akhir tahun Dengan catatan bahwa kondisi ekonomi sudah mulai normal dan pendapatan masyarakat sudah mulai membaik sehingga ada kemungkinan mudik dan liburan ke kampung halaman pada akhir tahun Karena itu harapan sangat besar disandarkan kepada pemerintah untuk benar benar mampu mengendalikan penyebaran COVID secepatnya melalui regulasi dan kebijakan yang konsisten Selain itu memperkuat koordinasi dengan pemerintah daerah dan standar protokol yang jelas serta tegas Sehingga badai ini cepat berlalu dunia usaha dapat aktif dan bergairah kembali katanya Pemerintah pun sudah memutuskan untuk mengubah jadwal cuti bersama Idul Fitri H yang dimulai pada dan Mei menjadi hingga Desember Perubahan itu didasarkan pada perkiraan bahwa pada akhir tahun risiko penularan COVID sudah menurun sehingga masyarakat bisa memanfaatkan pengganti cuti bersama Lebaran Namun pemerintah masih membuka kemungkinan untuk merevisi kembali jadwal cuti Idul Fitri dari akhir tahun menjadi akhir Juli atau sekitar perayaan Idul Adha Hal itu bisa terealisasi jika tingkat penularan COVID pada Juli sudah menurun Pemerintah akan menggelar rapat kembali mengenai cuti bersama Idul Fitri H pada akhir Juni Menurut Menteri Koordinator Bidang Pembangunan Manusia dan Kebudayaan PMK Muhadjir Effendy Presiden Jokowi akan memberi catatan pada akhir Juni Akan diadakan pengkajian ulang Kalau memang COVID sudah turun dan sudah tidak lagi mengancam sangat dimungkinkan untuk memajukan cuti bersama berhimpitan dengan Idul Adha Yakni Juli bisa sebelum atau setelah itu Mengingat arus mudik bertalian erat dengan perputaran ekonomi jika akhir Juli nanti pagebluk COVID bisa diatasi agaknya diyakini bahwa pemerintah sudah menyiapkan opsi tak perlu menunggu sampai akhir tahun untuk mengganti cuti bersama Lebaran ini Oleh Sri MuryonoEditor Ganet Dirgantara 
