title,content
"Warga yang hendak Shalat Id dicek suhunya di Cileunyi, Bandung", Bandung Petugas mengecek suhu tubuh warga yang hendak menunaikan Shalat Idul Fitri di area dekat Stasiun Cimekar Desa Cibiru Hilir Kecamatan Cileunyi Kabupaten Bandung Jawa Barat Minggu pagi Petugas Palang Merah Indonesia yang berdomisili di kawasan tersebut Usep Diman mengatakan pengecekan suhu tubuh merupakan bagian dari upaya penerapan protokol kesehatan untuk mencegah penularan COVID dalam pelaksanaan Shalat Idul Fitri Jadi imbauan pemerintah juga meskipun tidak diwajibkan juga tapi kita di sini melakukan protokol yang dianjurkan pemerintah kata Usep Ia mengatakan bahwa ada setidaknya orang yang ikut Shalat Idul Fitri berjamaah di kawasan jalan di area dekat Stasiun Cimekar dan tidak ada di antara mereka yang suhunya melebihi normal Warga yang menunaikan Shalat Idul Fitri di lokasi tersebut juga diminta mengenakan masker dan menjaga jarak dengan warga yang lain Kita juga sudah menyemprotkan disinfektan Kita semprot pada malam tadi sebelum shalat terus sesudah shalat jadi tiga kali kita melakukan penyemprotan kata Usep Warga menerapkan pembatasan fisik saat melaksanakan Shalat Idul Fitri di Kecamatan Cileunyi Kabupaten Bandung Minggu Bagus Ahmad Rizaldi Selain itu ada petugas yang menyemprotkan cairan pembersih tangan kepada setiap orang sebelum dan sesudah shalat Kalau engak salah di sini zona kuning tapi saya belum tahu perkembangannya mudah mudahan sehat semuanya kata Usep Berdasarkan data Pusat Informasi dan Koordinasi COVID Kabupaten Bandung di Kecamatan Cileunyi ada empat orang dalam pemantauan ODP dan dua pasien dalam pemantauan PDP terkait penularan virus corona Hingga saat ini jumlah pasien COVID di Cileunyi total enam orang dua orang di antaranya sudah dinyatakan sembuh dan satu orang lainnya meninggal dunia Mahfud MD laksanakan shalat Id di rumah dinas Banjir tidak menghalangi warga menunaikan Shalat Id di Samarinda 
Banjir tidak menghalangi warga menunaikan Shalat Id di Samarinda, Samarinda Banjir yang menggenangi jalan dan kawasan permukiman tidak menghalangi warga Muslim di Kota Samarinda ibu kota Kalimantan Timur menunaikan Shalat Idul Fitri Hijriah pada Minggu pagi Masjid Al Khair di kawasan Pasar Segiri Samarinda penuh dengan jamaah Shalat Id meski halaman dan area sekitarnya tergenang hingga setinggi lutut orang dewasa akibat banjir Warga yang shalat di masjid itu mengenakan masker guna menghindari penularan virus corona tipe baru penyebab COVID Sebagai bagian dari upaya meminimalkan risiko penularan virus corona pengurus masjid menyediakan tempat cuci tangan di gerbang masjid dan mengatur barisan jamaah sedemikian rupa sehingga anggota jamaah tidak berdekatan satu sama lain Anggota jamaah juga tidak saling bersalaman usai Shalat Id Samsun warga kawasan Jalan dr Sutomo datang ke Masjid Al Khair yang lokasinya tergenang air karena tidak banyak masjid yang menggelar Shalat Id guna meminimalkan risiko penularan COVID Pemerintah dan majelis ulama sudah menyampaikan anjuran kepada warga untuk menunaikan Shalat Id bersama keluarga inti di rumah saja guna menghindari kerumunan yang berpotensi meningkatkan risiko penularan COVID Biasanya saya Shalat Id di Masjid Islamic Center tapi informasinya tidak menggelar Shalat Id makanya saya ibadah di sini aja kata Samsun Dia mengaku berusaha menjaga kebersihan diri dengan mengenakan masker dan membawa cairan pembersih tangah guna mencegah penularan virus corona Usai Shalat Id ini pakaian yang saya kenakan langsung lepas dan dicuci bersih katanya Sementara Rudi warga kawasan Jalan M Yamin menunaikan Shalat Id di Masjid Al Khair karena dia memang bagian dari jamaah di masjid tersebut Saya selalu aktif jamaah di sini makanya Shalat Id juga di masjid ini katanya Masjid di Medan gelar Shalat Id dengan protokol kesehatan Sebagian warga Gorontalo Shalat Idul Fitri di masjid 
Kota Samarinda dikepung banjir di malam Lebaran, Sejumlah ruas jalan serta pemukiman warga di Ibu kota Provinsi Kaltim tersebut digenangi luapan air dan kondisi terparah terjadi di kawasan Kecamatan Samarinda Utara yang sempat memutus akses jalan menuju Bandara APT Pranoto Samarinda sejak Jumat Samarinda Wilayah kota Samarinda Kalimantan Timur kembali di kepung banjir pada malam Lebaran akibat curah hujan tinggi dalam beberapa hari belakangan Sejumlah ruas jalan serta pemukiman warga di Ibu kota Provinsi Kaltim tersebut digenangi luapan air dan kondisi terparah terjadi di kawasan Kecamatan Samarinda Utara yang sempat melumpuhkan akses jalan menuju Bandara APT Pranoto Samarinda sejak Jumat Saat ini genangan meluas di sejumlah titik langganan banjir seperti di Jalan dr Sutomo Jalan Pangeran Antasari dan kawasan simpang Sempaja Samarinda Tadi pagi genangan air hanya sebatas mata kaki tapi saat ini ketinggian air sudah mencapai lutut orang dewasa kata Sudarno warga Sutomo yang ditemui Sabtu malam Di lokasi tersebut terdapat Masjid yang sebagian halamannya juga ikut terendam banjir namun terlihat masih ada aktifitas panitia pembagian zakat dan masyarakat yang mengumandangkan takbir Sejumlah warga juga mulai memindahkan barang karena khawatir air akan masuk ke rumah warga Persiapan saja karena lebaran tahun lalu rumah kami terendam dan banyak barang yang rusak makanya kami siap siap pindahkan barang kata Marzuki warga di lokasi yang sama Sementara itu Kepala Badan Metereologi Klimatologi dan Geofisika BMKG Stasiun Kota Samarinda Riza Alfian Noor memperkirakan hujan masih akan terjadi pada periode hingga Mei mendatang Kami prediksinya musim kemarau paling cepat datang akhir Juni Itu daerah Kaltim bagian utara Untuk Samarinda diprediksi di akhir Juli baru kemarau Artinya warga masih harus tetap waspada ancaman banjir ujar Riza Riza menjelaskan masih tingginya curah hujan karena pola karakteristik pada masa transisi menimbulkan anomali cuaca Di mana dalam periode yang relatif pendek cuaca berubah 
"Kemarin, imbauan shalat Idul Fitri hingga pasar malam di Jakarta", Jakarta Ragam peristiwa di wilayah Jakarta terjadi pada Jumat disiarkan Antara dan mungkin masih dapat dibaca kembali untuk informasi akhir pekan ini Muhammadiyah Jakarta Utara imbau warga Shalat Id di rumah Pengurus Muhammadiyah Kota Jakarta Utara mengimbau warga untuk melaksanakan shalat Idul Fitri Hijriah di rumah sesuai anjuran Majelis Ulama Indonesia MUI Provinsi DKI Jakarta Pimpinan Daerah Muhammadiyah Kota Jakarta Utara Sukiman Rusli mengatakan kondisi Idul Fitri berbeda dengan kondisi pada tahun tahun sebelumnya akibat adanya pandemi virus corona COVID Apa yang mereka disampaikan MUI DKI Jakarta mari kita ikuti dalam menyikapi menghadapi musibah infeksi yang menular COVID kata Sukimin di Jakarta Jumat selengkapnya baca di sini Petugas pemakaman di Jakarta Selatan kampanyekan patuhi PSBB Petugas tempat pemakaman umum TPU di Jakarta Selatan mengingatkan warga akan bahayanya pandemi COVID yang telah menyebabkan banyak korban meninggal dunia dengan mengkampanyekan agar mematuhi kebijakan Pembatasan Sosial Berskala Besar PSBB Jumat Kampanye ini dilakukan dengan menampilkan visual petugas makam berpakaian hazmat lengkap dengan alat pelindung diri seperti masker kaca mata sarung tangan helm dan sepatu boots sambil membawa peti jenazah berwarna putih Petugas membawa peti jenazah keliling makam dan berdiri di pinggir jalan depan TPU agar bisa dilihat jelas oleh masyarakat yang datang berziarah maupun yang melintas selengkapnya baca di sini Satpol PP Jakbar denda pusat belanja pakaian tak patuhi PSBB Satuan Polisi Pamong Praja Jakarta Barat menjatuhkan sanksi denda kepada salah satu pusat belanja pakaian yang terletak di Pasar Kopro atau disebut Pasar Tomang Barat Grogol Petamburan Pusat belanja tersebut nekat beroperasi dan tak mematuhi pembatasan sosial berskala besar PSBB karena bukan termasuk dalam sektor pengecualian Kamis lalu departement store itu dirazia anggota saya Pengelola diminta tutup toko dan dikenakan denda administrasi Rp juta ujar Kasatpol PP Jakarta Barat Tamo Sijabat di Jakarta Jumat selengkapnya baca di sini Polda Metro Jaya terima limpahan kasus OTT KPK di UNJ Polda Metro Jaya telah menerima pelimpahan kasus operasi tangkap tangan OTT terkait dugaan pungutan liar berupa permintaan Tunjangan Hari Raya THR di Universitas Negeri Jakarta UNJ Kepala Bidang Humas Polda Metro Jaya Komisaris Besar Polisi Yusri Yunus membenarkan perihal pelimpahan tersebut Iya benar kasus itu sudah dilimpahkan ke Polda Metro dalam hal ini Ditreskrimsus kata Yusri saat dikonfirmasi Jumat selengkapnya baca di sini Pasar Malam BKT kembali diserbu warga Pasar Malam Banjir Kanal Timur BKT Duren Sawit Jakarta Timur kembali ramai oleh pengunjung yang mencari sejumlah barang kebutuhan Idul Fitri Hijriyah Masehi Jumat malam Kebetulan rumah dekat di sini Anak anak belum pada dapat baju buat Lebaran kata salah satu konsumen di lapak penjual baju Marlina di Jakarta Marlina berburu pakaian dengan diantar suami berboncengan sepeda motor selengkapnya baca di siniPewarta FauziEditor Ganet Dirgantara 
Pasar Malam BKT kembali 'diserbu' warga, Mayoritas pedagang berjualan pakaian dengan berbagai potongan harga pada lapak yang dibuat semi permanen menggunakan bambu dan terpalJakarta Pasar Malam Banjir Kanal Timur BKT Duren Sawit Jakarta Timur kembali ramai oleh pengunjung yang mencari sejumlah barang kebutuhan Idul Fitri Hijriyah Masehi Jumat malam Kebetulan rumah dekat di sini Anak anak belum pada dapat baju buat Lebaran kata salah satu konsumen di lapak penjual baju Marlina di Jakarta Marlina berburu pakaian dengan diantar suami berboncengan sepeda motor Pasar Malam BKT yang terletak di jalan sisi selatan kanal dipenuhi ratusan pedagang yang berjajar membuka lapak di bahu jalan Mayoritas mereka berjualan pakaian dengan berbagai potongan harga pada lapak yang dibuat semi permanen menggunakan bambu dan terpal Sementara badan jalan penuh sesak dengan pejalan kaki serta pengendara motor dan sepeda Bahkan puluhan motor pengunjung diparkir hingga ke area jembatan penghubung BKT Di dekat parkiran motor tampak pedagang makanan yang sengaja menggelar terpal di trotoar jalan untuk lesehan Petugas Satpol PP juga tampak lalu lalang dengan mobil patroli mengumumkan bahaya COVID serta kebijakan Pemprov DKI memperpanjang masa PSBB hingga Juni Namun hanya petugas bersikap persuasif tanpa ada upaya tegas menertibkan pedagang serta pengunjung Sebelumnya puluhan petugas Satpol PP Duren Sawit membubarkan secara paksa pengunjung Pasar Malam BKT Kamis Pewarta Andi FirdausEditor Ganet Dirgantara 
Aceh kondusif jelang Lebaran, Keamanan dan ketertiban masyarakat menjelang Idul Fitri Hijriah di wilayah Provinsi Aceh relatif stabil dan kondusifBanda Aceh Kepolisian RI Daerah Polda Aceh menyatakan kondisi keamanan dan ketertiban masyarakat di provinsi ujung barat Indonesia tersebut kondusif menjelang Idul Fitri Hijriah atau Masehi Keamanan dan ketertiban masyarakat menjelang Idul Fitri Hijriah di wilayah Provinsi Aceh relatif stabil dan kondusif kata Kepala Bidang Humas Polda Aceh Kombes Ery Apriyono di Banda Aceh Jumat Perwira menengah Polri itu menyebutkan Polda Aceh bersama jajaran terus memantau situasi di provinsi itu serta memastikan keamanan dan ketertiban masyarakat tetap terjamin saat merayakan Idul Fitri Sedangkan kejahatan yang menonjol di masyarakat menjelang hari raya di antaranya narkotika dan obat terlarang pencurian kendaraan bermotor serta pencurian dengan pemberatan Dari semua jajaran Polda Aceh kasus kejahatan tertinggi terjadi di wilayah hukum Polresta Banda Aceh Kemudian Polres Langsa serta Polres Lhokseumawe Polda Aceh juga mengirim personel BKO ke Polres Aceh Tamiang untuk mendukung pengaman di wilayah itu kata Kombes Ery Apriyono Menyangkut pengamanan malam Lebaran Kombes Ery Apriyono menyebutkan Polda Aceh melalui Direktorat Lalu Lintas sudah menggelar apel pasukan melibatkan personel Personel tersebut terdiri dari Direktorat Lalu Lintas dan personel Satuan Lalu Lintas Polresta Banda Aceh Sasaran pengamanan malam Lebaran di antaranya konvoi kendaraan kecelakaan lalu lintas balap liar serta membantu masyarakat terdampak bencana alam seperti banjir dan tanah longsor kata Kombes Ery Apriyono 
Polda Aceh larang konvoi kendaraan bermotor saat malam takbiran, Apabila ditemukan konvoi kendaraan bermotor maka akan dibubarkanBanda Aceh Kepolisian RI Daerah Polda Aceh melalui Direktorat Lalu Lintas melarang masyarakat berkonvoi kendaraan bermotor saat malam takbiran Idul Fitri Hijriah atau Masehi Kami tegaskan agar masyarakat tidak konvoi kendaraan bermotor di malam takbiran kata Direktur Lalu Lintas Polda Aceh Kombes Dicky Sondani di Banda Aceh Jumat Perwira menengah Polri itu menyebutkan konvoi kendaraan bermotor mengundang kerumunan orang Protokol kesehatan pencegahan penyebaran COVID melarang kerumunan orang Apabila ditemukan konvoi kendaraan bermotor maka akan dibubarkan Kami mengimbau masyarakat melaksanakan takbiran bersama keluarga di rumah saja saat pandemi COVID sekarang ini kata Kombes Dicky Sondani Terkait pengamanan malam Lebaran Kombes Dicky Sondani mengatakan pihaknya sudah mengecek kesiapan anggota dan kendaraan dalam mengantisipasi gangguan kamtibmas Sasaran operasi pengamanan malam Lebaran kata Kombes Dicky Sondani di antaranya balap liar konvoi kendaraan kecelakaan lalu lintas dan bencana alam Operasi pengamanan malam Lebaran melibatkan polisi lalu lintas terdiri personel Direktorat Lalu Lintas Ditlantas Polda Aceh dan personel Satuan Lalu Lintas Polresta Banda Aceh Kami juga menyiagakan personel jam untuk untuk membantu masyarakat jika ada mengalami banjir dan tanah longsor menyusul hujan disertai badai di wilayah Aceh dalam sepekan terakhir kata Kombes Dicky Sondani 
Kota Tanjungpinang menuju zona kuning COVID-19, hari sejak Mei nihil positif COVID Tanjungpinang Plt Wali Kota Tanjungpinang Rahma menyatakan daerah pimpinannya sudah mulai bergerak dari zona merah menuju zona kuning karena dalam hari ke belakang tidak terjadi penambahan pasien positif COVID setelah laporan kasus terakhir tanggal Mei kemarin Sesuai protap Dinas Kesehatan jika dalam kurun waktu hari sejak Mei nihil positif COVID Maka Tanjungpinang bisa dikatakan sudah zona kuning kata Rahma di Tanjungpinang Kamis Lanjut Rahma jika kondisi ini mampu bertahan selama hari terhitung sejak Mei Maka Tanjungpinang akan masuk kategori zona hijau COVID Oleh sebab itu Rahma menekankan agar masyarakat tetap mengikuti protokol kesehatan yang dianjurkan pemerintah buat meminimalkan resiko penularan COVID seperti tetap berada di rumah memakai masker bila terpaksa keluar rumah mencuci tangan dengan sabun hand sanitizer menjaga jarak dan rajin berolahraga Kalau pemerintah dan masyarakat disiplin menaati protokol kesehatan yang berlaku saya optimis kita bisa menekan penyebaran COVID di Tanjungpinang ujar dia Sementara itu berdasarkan data Gugus Tugas Percepatan dan Penanganan COVID Provinsi Kepulauan Riau Kepri Hingga Kamis sore kasus positif COVID di Tanjungpinang mencapai pasien Dengan rincian pasien dinyatakan sembuh dan pasien dinyatakan meninggal dunia Sementara pasien lainnya yakni dua pasien masih dirawat di RSUD Raja Ahmad Thabib Provinsi Kepri dan satu pasien menjalani karantina mandiri Kemudian untuk ODP sebanyak orang yaitu orang dalam pemantauan dan orang selesai pemantauan PDP sebanyak orang yaitu orang selesai pengawasan dan orang dalam pengawasan Sedangkan OTG sebanyak orang Pewarta OgenEditor Budhi Santoso 
Rumah penduduk di Kebon Pala kembali terendam banjir, Sekitar jam WIB air mulai masuk dan sampai pagi tadi sudah sedada orang dewasaJakarta Ratusan rumah penduduk di RW Kebon Pala Kampung Melayu Jakarta Timur kembali diterjang banjir kiriman dari wilayah Bogor Jawa Barat Kamis pagi Selama bulan puasa ini sudah tiga kali kebanjiran Ini mengganggu sekali waktu sahur kata warga RT RW Kebon Pala Muhammad Reza di Jakarta Banjir kiriman mencapai puncaknya di Kebon Pala dengan ketinggian permukaan air meter sekitar pukul WIB hingga WIB Banjir di kawasan berpenduduk sekitar kepala keluarga KK itu dipicu luapan Kali Ciliwung yang melintas di sisi permukiman penduduk Sekitar jam WIB air mulai masuk dan sampai pagi tadi sudah sedada orang dewasa kata Reza Warga berjalan melintasi banjir di kawasan Kebon Pala Jatinegara Senin Banjir tersebut terjadi karena luapan Sungai Ciliwung FOTO Aprillio Akbar hp Warga lainnya Indra mengatakan hujan lebat di wilayah hulu mengakibatkan tinggi muka air Bendung Katulampa mengalami Siaga Kemarin malam curah hujan di Bogor dan Depok cukup tinggi Itu sudah bisa dipastikan Kebon Pala banjir katanya Sebagian warga memilih untuk mengungsi di rumah tetangga yang telah berlantai dua meskipun otoritas setempat telah menyediakan pengungsian di kantor kelurahan Pewarta Andi FirdausEditor Sri Muryono 
"Di Samudra Hindia barat daya Bengkulu, tumbuh bibit siklon tropis", Masyarakat diimbau untuk tetap berhati hati pada potensi hujan lebat yang dapat menimbulkan dampak seperti banjir tanah longsor dan banjir bandangJakarta Badan Meteorologi Klimatologi dan Geofisika BMKG melalui Tropical Cyclone Warning Centre TCWC Jakarta memantau pertumbuhan bibit siklon tropis dengan kode S yang berada di Samudra Hindia sebelah barat daya Bengkulu Berdasarkan analisis tanggal Mei pukul WIB bibit siklon tersebut berada di LS dan BT atau sekitar km barat daya Bengkulu kata Pelaksana Tugas Deputi Bidang Meteorologi BMKG Herizal dalam keterangan tertulis yang diterima di Jakarta Kamis Saat ini bibit siklon tropis S memiliki tekanan udara minimum di pusatnya hPa dengan kecepatan angin maksimum berkisar antara hingga knot Bibit siklon tropis S diprakirakan berpotensi menjadi siklon tropis dalam enam hingga jam ke depan dengan pergerakan ke arah tenggara selatan menjauhi wilayah Indonesia Keberadaan bibit siklon tropis S mengakibatkan pertumbuhan awan hujan di sekitarnya antara lain di wilayah Bengkulu Sumatera Selatan Lampung Banten DKI Jakarta dan Jawa Barat Masyarakat diimbau waspada karena diprakirakan daerah daerah tersebut berpotensi terkena dampak berupa hujan lebat dan angin kencang di sebagian wilayahnya katanya Selain itu potensi gelombang laut dengan ketinggian lebih dari tiga meter diprakirakan terjadi di wilayah perairan barat Kepulauan Nias hingga barat Mentawai Perairan Bengkulu Pulau Enggano perairan barat Lampung Samudra Hindia barat Sumatera Selat Sunda bagian selatan perairan selatan Jawa dan Samudra Hindia selatan Jawa hingga selatan NTB Nelayan dan kapal yang melintas diimbau untuk waspada dan berhati hati Masyarakat diimbau untuk tetap berhati hati pada potensi hujan lebat yang dapat menimbulkan dampak seperti banjir tanah longsor dan banjir bandang tambah dia 
