title,content
Kronologi kerusuhan di Pasar Payakumbuh, Keributan yang sempat terjadi di Pasar Kanopi Payakumbuh akhirnya bisa diselesaikan dengan baik Peritiwa yang terjadi Jumat lalu berawal dari kesalahpahaman antara pedagang dengan petugas gabungan dari Gugus Tugas Penanganan COVID Silakan simak video berikut untuk mendapatkan kronologi peristiwa tersebut Melani Friati Sandi Arizona Rinto A Navis 
BWF jadwalkan Indonesia Open 2020 berlangsung bulan November, Merupakan tugas yang sulit untuk merencanakan kembali agenda bulu tangkisJakarta Federasi Bulu Tangkis Dunia BWF secara resmi mengumumkan perubahan jadwal baru turnamen yang akan berlangsung di musim termasuk ajang Indonesia Open Super yang akan dilangsungkan pada November Melalui laman resmi BWF Jumat disebutkan bahwa terjadi perubahan jadwal secara padat akibat penundaan agenda sebelumnya sebagai dampak pandemi COVID di seluruh dunia Merupakan tugas yang sulit untuk merencanakan kembali agenda bulu tangkis Ini adalah jadwal yang padat tetapi kami yakin keputusan ini akan menyediakan kerangka kerja yang memungkinkan kami untuk memulai turnamen lagi saat kondisi sudah aman dan secara logistik pun memungkinkan kata Sekjen BWF Thomas Lund dalam pernyataannya di laman BWF Jumat Dalam perencanaan tersebut telah dilakukan konsultasi dengan tuan rumah anggota asosiasi agar bisa memberikan peluang penyelenggaraan kembali turnamen bulu tangkis Pada titik ini sulit bagi kami untuk memprediksi kapan pembatasan wilayah akan dicabut oleh masing masing negara atau wilayah Tetapi kami pastikan tidak akan melanjutkan kompetisi hingga mendapat kejelasan bahwa situasinya sudah benar benar aman untuk melakukannya pungkas Lund Kesehatan keselamatan dan kesejahteraan semua atlet rombongan mereka ofisial dan komunitas bulu tangkis tetap menjadi prioritas utama kami yang lebih besar katanya menambahkan Selain itu BWF masih membahas mekanisme yang tepat untuk membekukan pranata peringkat dunia agar terhindar dari penurunan poin ekstrem yang akan mempengaruhi struktur peringkat Aspek lain dari peraturan BWF juga sedang dipertimbangkan termasuk perubahan yang diperlukan untuk kualifikasi Olimpiade dan Paralimpiade Untuk rincian tersebut BWF akan memberikan pengumuman lebih lanjut setelah semua keadaan telah dipertimbangkan dengan cermat Lund menuturkan Berikut jadwal baru BWF World Tour yang sudah diumumkan Taipei Open Super September Korea Open Super September China Open Super September Japan Open Super September Thomas Uber Cup Oktober Denmark Open Super Oktober French Open Super Oktober New Zealand Open Super Oktober Macau Open Super Okt November China Open Super November Hong Kong Open Super November Indonesia Open Super November India International Super November Malaysia Open Super November Korea Masters Super November Thailand Open Super Desember India Open Super Desember BWF Finals DesemberPewarta Roy Rosa BachtiarEditor Junaydi Suswanto 
"Esai Morales gantikan Nicholas Hoult di ""Mission: Impossible 7""", Jakarta Esai Morales akan menggantikan Nicholas Hoult sebagai penjahat di Mission Impossible garapan Paramount Pictures dan Skydance Media Hoult yang peran pastinya dalam film itu tidak diketahui secara rinci harus meninggalkan film tersebut terkait masalah penjadwalan demikian dilansir Variety Jumat Mission Impossible menghentikan produksi pada bulan Maret karena pandemi virus corona Meskipun tidak jelas kapan syuting akan dilanjutkan penundaan tersebut membuat jadwal Hoult bentrok dengan musim kedua The Great produksi Hulu Tumpang tindih seperti ini sangat memungkinkan sebab banyak produksi film Hollywood yang sedang menunggu untuk dibuka kembali Sementara itu Tom Cruise kembali mengulangi perannya senagai agen rahasia Ethan Hunt untuk angsuran ketujuh dan kedelapan Christopher McQuarrie akan menulis dan menjadi sutradara untuk keduanya Paramout baru baru ini juga mendorong mundur tanggal rilis angsuran ketujuh menjadi November Sedangkan angsuran kedelapan tertunda hingga November Ving Rhames Henry Czerny Simon Pegg Rebecca Ferguson dan Vanessa Kirby semuanya kembali untuk Mission Impossible Hayley Atwell Pom Klementieff dan Shea Whigham juga bergabung dengan para pemain lainnya Esai Morales terkenal karena La Bamba dan perannya sebagai Letnan Tony Rodriguez di NYPD Blue dan Camino del Rio dalam serial Netflix asli Ozark Penghargaan terakhirnya diraih melalui Titans NCIS Los Angeles dan How To Get Away With Murder 
Miller semakin dekat dengan kontrak di tim Ducati, Jakarta Manajer tim Pramac Racing Francesco Guidotti mengungkapkan jika Jack Miller semakin dekat mengamankan kontrak sebagai pebalap tim pabrikan Ducati untuk musim balapan MotoGP Rumor yang beredar menyebut sang pebalap berusia asal Australia itu disiapkan untuk menggantikan pebalap Italia Danilo Petrucci musim depan kendati Guidotti menyatakan jika belum ada kontrak baru yang disepakati dengan Ducati Situasi paling logis dan normal adalah Jack akan ke tim pabrikan kata Guidotti dalam wawancara khusus dengan laman resmi MotoGP Kamis Dia mulai dengan kami dengan tujuan membalap untuk tim pabrikan Dan setelah tahun pertama yang sulit saya kira tahun lalu dia menunjukkan potensi yang sangat bagus dia membuat langkah besar Kami menunggu tahun ini untuk melihat perbaikan lagi tapi saat ini tak ada kesempatan baginya untuk memperlihatkan itu Guidotti mengungkapkan jika Ducati ingin membuat rencana jangka panjang dengan merekrut pebalap muda dan telah bernegosiasi dengan Pramac Racing soal Miller Sejauh yang saya ketahui negosiasi itu belum selesai Tapi tentunya kedua belah pihak ada niat untuk melakukan kesepakatan itu Saya rasa sudah dekat Di jeda musim panas Ducati dikabarkan mengontak Jorge Lorenzo untuk memintanya kembali memperkuat pabrikan asal Bologna Italia itu dengan kemungkinan Miller pindah ke KTM Namun Miller tahun lalu menolak pinangan KTM yang mengiming imingi gaji besar dan bertahan di Pramac Racing musim ini Pewarta Aditya Eko Sigit WicaksonoEditor Teguh Handoko 
Kejuaraan dunia renang 2020 diundur lagi ke Desember 2021, Jakarta Kejuaraan dunia renang yang sudah diundurkan ke Desember tahun ini di Abu Dhabi kembali dimundurkan ke Desember karena pandemi COVID kata badan penyelenggara renang dunia FINA seperti dikutip Reuters Kamis Kompetisi itu kini tepatnya diadakan dari sampai Desember Konvensi Akuatik Dunia juga akan diadakan di Abu Dhabi dari sampai Desember umum FINA dalam lamannya https fina org news pr new dates fina world swimming championships m abu dhabi Kami sudah bekerja dalam kerjasama yang erat selama pekan lalu dengan pihak berwenang UAE mengenai hal ini dan kami meyakini hal ini menjadi solusi paling layak untuk semua yang ambil bagian dalam kompetisi ini kata Presiden FINA President Julio Maglione FINA sebelumnya sudah memundurkan kejuaraan akuatik dunia di Fukuoka Jepang ke sampai Mei guna menghindari bentrok dengan Olimpiade Tokyo yang juga dimundurkan ke 
"Penundaan Olimpiade ganggu rencana pribadi atlet, termasuk menikah", Jakarta Penundaan Olimpiade Tokyo akibat pandemi COVID ke tahun mengganggu sejumlah rencana pribadi yang sudah dirancang para atlet termasuk di dalamnya rencana pernikahan Hal itu diakui oleh pebulu tangkis putri Indonesia Greysia Polii yang sebetulnya punya rencana menikah setelah tahun tetapi karena Olimpiade Tokyo ditunda ke tahun maka ia pun harus menunda rencananya tersebut Pasalnya Olimpiade Tokyo menjadi target utama Greysia bersama pasangannya di nomor ganda putri Apriyani Rahayu sehingga keduanya bakal disibukkan berbagai program latihan khusus yang sudah disiapkan jajaran pelatnas PBSI demi mengejar target penampilan di pesta olahraga akbar tersebut Memang setelah rencana pribadi untuk menikah ada tapi kapannya itu tunggu lagi kata Greysia dalam wawancara virtual via Instagram live bersama PB PBSI Rabu Greysia tak mengelak bahwa dia sebetulnya ingin segera menikah dan berkeluarga Apalagi dia juga sudah bertunangan dengan kekasihnya Felix Djimin pada lalu View this post on Instagram For almost years We are changed becoming a better person Trial after trial that we passed through together made us stronger I ve never been in relationship like this before it s so beautiful when we put God first in the center of our relationship We know that there is still long way to go however let s celebrate this small win I am grateful to God for who you are felixdjimin firsthingfirst ofcourseididsayYESS whynot beautifulinHistime Photo sidmohede _riop_ A post shared by Greysia Polii greyspolii on Jul at am PDT Tak hanya itu pebulu tangkis yang sudah menginjak usia kepala tiga itu juga mengungkapkan bahwa dirinya sudah sering berdiskusi dengan pelatihnya Eng Hian atau yang kerap disapa Koh Didi soal regenerasi pebulu tangkis ganda putri Aku sudah sering ngobrol sama Koh Didi bisa enggak tongkat estafet ini diteruskan ke yang lainnya Aku melihat mereka bukan hanya Apri saja tapi aku juga liat adik adik yang lain tuturnya Greysia Polii merupakan salah satu pemain senior di pelatnas Ia bergabung di tim nasional Indonesia sejak silam Pebulu tangkis tahun itu juga sudah dua kali tampil di Olimpiade pada dan dengan pasangan yang berbeda beda Sebelum dipasangkan dengan Apriyani Greysia sudah berpartner dengan tiga pemain yakni Jo Novita Meiliana Jauhari dan Nitya Krishinda Maheswari 
Belgia resmi perpanjang kontrak Roberto Martinez, Jakarta Federasi sepak bola Belgia RBFA secara resmi mengumumkan kesepakatan perpanjangan kontrak Roberto Martinez selaku pelatih kepala tim nasional mereka pada Rabu Seturut laman resmi RBFA kontrak Martinez diperpanjang selama dua tahun dan akan berlaku setidaknya hingga Piala Dunia Keterangan itu juga menyebutkan Martinez tetap memegang peranan sebagai direktur teknis RBFA untuk durasi yang sama sembari pria berpaspor Spanyol itu menyiapkan calon penggantinya untuk mengambil alih tugas tersebut setelah Piala Dunia RBFA punya proyek ambisius yang saya sambut dengan antusias baik jangka pendek maupun panjang kata Martinez mengomentari perpanjangan kontraknya Dua setengah tahun ke depan bakal menjadi masa yang intens bagi timnas Belgia ada Piala Eropa UEFA Nations League dan Kualifikasi Piala Dunia dan putaran final Piala Dunia itu sendiri Saya senang dan bangga bisa melanjutkan pekerjaan untuk menyiapkan masa depan sepak bola Belgia pungkas Martinez LIVESTREAM Follow the press conference with Roberto Martinez Peter Bossaert Mehdi Bayat and Manu Leroy https t co NPEHMsLLrF COMEONBELGIUM pic twitter com tEsv NWAT Belgian Red Devils BelRedDevils May Martinez mendampingi timnas Belgia sejak dan membantu Pasukan Setan Merah mencapai peringkat ketiga Piala Dunia lalu Belgia juga sudah lolos ke putaran final Euro dengan menyapu bersih kemenangan pertandingan fase kualifikasi Grup I kendati kejuaraan itu harus tertunda setahun karena pandemi COVID 
Penyelenggara Grand Prix MotoGP Prancis incar slot bulan Oktober, Jakarta Penyelenggara Grand Prix Prancis berharap bisa menggelar balapan MotoGP yang tertunda karena pandemi COVID pada Oktober nanti di Sirkuit Le Mans Kami melanjutkan upaya kami untuk memungkinkan menggelar Grand Prix Prancis di paruh pertama Oktober demikian Claude Michy penyelenggara GP Prancis seperti dikutip AFP Jumat Opsi ini harus dikonfirmasi dalam pekan yang akan datang dan kami harap situasi kesehatannya membaik walau ada ketidakpastian seputar ajang dengan kerumunan besar CEO Dorna Sports pemegang hak komersial MotoGP Carmelo Ezpeleta telah menyatakan rencananya untuk memulai musim yang tertunda pada Juli di Sirkuit Jerez Angel Nieto Spanyol Antara balapan akan digelar di Eropa sebelum akhir November kemudian dilanjutkan di luar daratan Eropa jika memungkinkan Sebanyak balapan awal di kalender MotoGP tak bisa digelar sesuai jadwal dan beberapa di antaranya harus dibatalkan Grand Prix Prancis sendiri seharusnya digelar pada Mei sebelum wabah virus corona 
Bos tim Petronas Yamaha jawab rumor kepindahan Rossi untuk MotoGP 2021, Paling baik baginya untuk lanjut dan kami bisa menyediakan platform ituJakarta Bos tim Petronas Yamaha SRT Razlan Razali pada Jumat menjawab rumor tentang bergabungnya Valentino Rossi ke tim satelit Yamaha itu untuk musim MotoGP Rossi juara dunia sembilan kali menjalani musim terakhirnya di tim pabrikan Yamaha tahun ini dan belum memutuskan masa depan karirnya di MotoGP sementara musim kompetisi tertunda karena pandemi virus corona Namun Yamaha menyatakan akan memberi dukungan penuh kepada Rossi jika sang pebalap asal Italia itu ingin terus membalap tahun depan dengan bertukar bangku dengan Fabio Quartararo di Petronas SRT Ide Valentino datang ke kami semakin hari semakin baik Bagi tim sangat penting bagi kami untuk menjaga kestablian dalam hal performa dan tentunya kami ingin mempertahankan Frankie Morbidelli kata Razali dalam wawancara video di laman resmi MotoGP Jumat Dengan adanya Valentino tidak hanya dia bisa memberi panduan ke tim dan juga Frankie juga stabilitas Dia juga bisa memberi kisah yang luar biasa bagi tim Razali mengungkapkan jika tahun ini adalah masa masa sulit setelah terdampak krisis kesehatan global bagi setiap tim dan pebalap Dan bagi Valentino ini tidak lah adil tidak bagus baginya untuk pensiun di skenario seperti ini Jadi paling baik baginya untuk lanjut dan kami bisa menyediakan platform itu Razali telah berdiskusi dengan Yamaha terkait aspek teknis jika Rossi jadi datang Tapi sayangnya kami belum pernah bertemu dengan Rossi sendiri kata dia Pebalap Valentino Rossi saat menjalani tes pramusim di Sirkuit Losail Qatar Minggu HO Yamaha Motor Racing Srl Prioritas Razali kali ini adalah bagaimana mempertahankan stabilitas timnya yang pada tahun lalu merebut gelar tim independen terbaik di MotoGP Apa yang kita dapati tahun lalu itu luar biasa dalam hal struktur orang orangnya dan kami ingin menjaganya seperti itu Kami tak ingin merubah seketika itu hanya karena satu orang Kami tak ingin Valentino hanya ingin menyelesaikan karirnya bersama kami tahun depan kami tak ingin ini hanya menjadi finale untuknya Kami ingin dia tampil bagus komparatif dan berjuang untuk podium saya rasa itu penting bukan sekedar datang ke sini dan OK ini tahun terakhir saya dan selesai Agustus akan menjadi deadline bagi tim Petronas Yamaha untuk mengumumkan siapa pebalap yang akan menjadi rekan Morbidelli tahun depan setelah Quartararo akan menempati bangku Rossi di tim pabrikan Yamaha Pewarta Aditya Eko Sigit WicaksonoEditor Junaydi Suswanto 
Cerita guru besar Unej tertahan di Nigeria akibat pandemi COVID-19, Jember Jawa Timur Tak pernah terlintas di pikiran Ketua Lembaga Penelitian dan Pengabdian Masyarakat LP M Universitas Jember Prof Achmad Subagio harus tertahan dan tinggal lebih lama di negara nun jauh di Benua Afrika Nigeria Sudah hampir tiga bulan lamanya guru besar Fakultas Teknologi Pertanian Universitas Jember itu berada di kota Benin kota yang terletak kurang lebih mil di timur kota Lagos bekas ibukota Nigeria sebelum pindah ke ibukota baru Abuja Awalnya pakar tepung Mocaf itu berangkat ke Nigeria pada Maret dalam rangka memberikan konsultasi terkait teknologi pangan sesuai kepakarannya namun malang tak dapat ditolak pandemi COVID yang melanda banyak negara di dunia sampai juga di Nigeria Pemerintah Nigeria menerapkan kebijakan karantina wilayah lockdown di kota kota besar semenjak Maret dan kebijakan itu otomatis menghentikan penerbangan internasional sehingga dosen yang akrab disapa Prof Bagio itu akhirnya tertahan di Nigeria hingga sekarang Ada fasilitas dari perusahaan yang siap melayani kebutuhan sehari sehari selama tinggal di Kota Benin seperti penginapan transportasi pengawalan makanan dan lainnya kata dosen yang akrab disapa Prof Bagio kepada melalui WhatsApp Menurutnya muslim di Kota Benin cukup banyak meskipun tidak mayoritas dan dari wisma yang ditempati terdapat sebuah masjid yang jaraknya cukup jauh namun saat ini masyarakat dilarang ke masjid karena pandemi COVID sehingga masyarakat beribadah di rumah saja Selama bulan Ramadhan guru besar Unej itu bersama dengan orang Indonesia yang lain yang bekerja sebagai ekspatriat sebanyak dua orang dan rekannya orang India setiap hari melakukan buka sahur dan shalat bersama sama dengan masakan yang dimasak oleh juru masak orang Nigeria dan teman teman India yang memang hobi masak Prof Bagio mengaku menikmati pengalaman yang berbeda Ramadhan tahun ini karena bisa merasakan buka puasa ala orang Tamil India yang diawali dengan sup atau bubur yang rasanya pedas dan berminyak bukan seperti menu takjil orang Indonesia yang mengawali buka puasa dengan makanan yang manis manis namun kurma juga tersedia saat buka puasa Ia mengatakan mungkin hanya dirinya yang terjebak di Nigeria dan yang ingin pulang dengan mendaftar untuk ikut program repatriasi mandiri ada orang Informasinya ada lebih orang Indonesia yang terdaftar di Nigeria namun yang bekerja di perusahaan multinasional yang ekspatriat dari Indonesia orang Guru besar Unej itu juga sempat mengikuti webinar bertema Kronik Pandemi COVID di Berbagai Benua dimulai yang digelar atas kerja sama antara LP M bersama keluarga Alumni Universitas Jember Kauje beberapa waktu lalu Dalam kesempatan itu ia juga menceritakan pihak perusahaan yang mengundangnya sudah melakukan usaha untuk memulangkan ke Indonesia namun tidak ada maskapai penerbangan yang melayani penerbangan dari Nigeria ke negara lain hingga kini Ada upaya patungan mencarter pesawat secara bersama sama agar para ekspatriat di Nigeria bisa pulang ke negara masing masing namun tidak semua ekspatriat bisa membeli tiket mengingat harganyanya melambung tinggi jika dihitung satu orang dikenai tarif sebesar Rp juta Harga tiket itu menjadi mahal karena satu pesawat hanya boleh diisi separuh dari kapasitas kursi yang ada sesuai dengan penerapan physical distancing dan semoga ada kepastian kepulangan agar saya bisa berlebaran di Tanah Air ujarnya Guru besar Program Studi Teknologi Hasil Pertanian Fakultas Teknologi Pertanian Unej itu memang sangat rindu keluarga apalagi di suasana Ramadhan seperti saat ini ditambah kondisi di Kota Benin yang kurang kondusif Situasi kurang kondusif Benin adalah kota penghasil produk pertanian di Nigeria dengan hamparan kebun dan lahan pertanian yang luas sehingga kondisi itu menarik suku nomaden penggembala ternak khususnya sapi untuk menggembalakan ternaknya di wilayah Benin Suku nomaden itu merupakan suku Fulani mereka tak mengenal batas wilayah negara dalam menggembalakan ternaknya oleh karena itu sering terlibat bentrok dengan warga lokal karena ternaknya masuk ke kebun atau lahan pertanian bahkan bentrokan sampai mengakibatkan korban jiwa Ia menceritakan dua pekan lalu ada sapi yang dibunuh oleh penduduk lokal gara gara masuk ke lahan pertaniannya sehingga Suku Fulani pun tak terima maka bentrok terjadi Polisi pun turun tangan hingga mengambil langkah tegas dua orang dari suku Fulani ditembak hingga tewas Sapi bagi suku Fulani tidak hanya sekedar ternak tapi sudah jadi kebanggaan dan harga diri mereka tak terima sapinya dibunuh hingga menyerang penduduk lokal akhirnya bentrok antara suku Fulani dengan penduduk lokal dan polisi setempat pun tak terhindarkan Setiap kali Prof Bagio ke kebun selalu dikawal oleh polisi Nigeria akibat situasi yang tidak kondusif tersebut Tidak hanya itu lanjut dia kekhawatiran akan pandemi COVID yang kini korbannya menunjukkan tren meningkat di negara negara Afrika termasuk Nigeria yang disebabkan minimnya pengetahuan warga akan pencegahan virus Corona dan masih rendahnya kesadaran dalam menerapkan gaya hidup bersih fasilitas kesehatan yang terbatas sanitasi yang buruk dan faktor lainnya Perusahaan yang mengundang pakar mocaf itu menyediakan compound atau lokasi penginapan yang baik dan menerapkan protokol kesehatan sesuai standar internasional bahkan dijaga ketat oleh personel keamanan dan polisi Nigeria sehingga tidak sembarang orang boleh lalu lalang keluar masuk compound Ia juga menceritakan pengalaman lucu saat berkunjung ke salah satu supermarket di Kota Benin untuk belanja dan banyak ibu ibu yang mengiranya orang China dan meneriakinya dengan China Corona namun ia menjelaskan kepada mereka bahwa bukan orang China namun orang Indonesia Saya ikut program repatriasi dari KBRI Afrika di Nigeria namun belum ada kejelasan sampai saat ini kapan bisa pulang ke Indonesia Saya sudah rindu dengan keluarga tuturnya Menanggapi cerita dosennya yang tertahan di Nigeria Rektor Universitas Jember berharap agar upaya perusahaan mencarter pesawat untuk memulangkan guru besar Unej itu segera membuahkan hasil atau ada maskapai penerbangan yang membuka layanan lagi seusai masa karantina wilayah di Nigeria Saya berharap Prof Bagio diberi kesehatan dan segera balik ke Indonesia agar bisa berlebaran di Jember bersama keluarga katanya Ia mengatakan biasanya ia sering bertegur sapa dengan Prof Bagio karena satu fakultas namun sementara ini hanya bisa bertemu melalui daring untuk menanyakan keadaan guru besar Unej selama di sana Oleh Zumrotun SolichahEditor Endang Sukarelawati 
