title,content
Anggota DPR minta KPU jaga keamanan data dan perkuat sistem IT, KPU sebagai penyelenggara pemilu harus menjaga keamanan data Jakarta Anggota Komisi II DPR RI dari Fraksi PKS Mardani Ali Sera meminta Komisi Pemilihan Umum KPU RI menjaga keamanan data dan memperkuat sistem teknologi informasi IT KPU sebagai penyelenggara pemilu harus menjaga keamanan data dan juga menjadikan pelajaran untuk lebih memperkuat sistem keamanan IT kata Mardani dalam keterangan tertulisnya di Jakarta Jumat terkait ada dugaan data juta data warga Indonesia dari sistem KPU diklaim diretas hacker Dia mengatakan langkah itu harus dilakukan karena sangat berkaitan erat dalam menjaga kepercayaan dan kredibilitas di masyarakat Mardani juga meminta perlunya audit sistem keamanan data dan sistem informasi teknologi KPU agar tidak terulang kejadian yang sama Saya usulkan perlu diaudit sistem keamanan data dan sistem informasi teknologi KPU seluruhnya oleh konsultan independen agar bisa jadi bahan masukan untuk perbaikan ke depannya ujarnya Dia juga meminta kejadian tersebut menjadi pelajaran bagi pemerintah agar sistem keamanan data nasional khususnya data kependudukan ditinjau ulang Ketua DPP PKS itu mengusulkan program KTP elektronik yang saat ini sifatnya sentralistis sekaligus ditinjau ulang keamanan data dan sistem IT nya agar tidak mendatangkan bencana nasional Sebelumnya masyarakat dikejutkan dengan klaim seorang yang diduga peretas dari akun Twitter underthebreach pada Kamis mengklaim telah membobol data juta warga Indonesia dari sistem KPU Dalam cuitannya dikatakan telah berhasil mendapat data termasuk nama alamat nomor ID tanggal lahir dan lainnya 
KPU pastikan DPT Pemilu 2014 aman tak diretas, Jadi data DPT di KPU tidak kena hack Jakarta Komisi Pemilihan Umum memastikan data perangkat lunak soft file dari daftar pemilih tetap DPT Pemilu aman tidak terjadi peretasan Komisioner KPU RI Viryan Aziz di Jakarta Jumat mengatakan KPU sudah melakukan pengecekan data server dari Kamis malam dan tidak menemukan terjadinya peretasan Kondisi soft file DPT Pemilu di KPU aman tidak kena hack atau bocor atau diretas KPU RI sudah melakukan pengecekan terhadap data tersebut KPU juga sudah melakukan langkah aktif dengan pihak terkait BSSN dan Cyber Crime Mabes Polri kata dia Kemudian jenis data dengan portable document format atau PDF menurut Viryan merupakan data yang diserahkan kepada pihak eksternal sesuai dengan ketentuan Undang undang tahun Hal itu menurut dia diatur dalam pasal ayat yang mengatur KPU kabupaten kota wajib memberikan salinan datar pemilih tetap kepada partai dan perwakilan partai politik peserta pemilu di tingkat kecamatan dalam bentuk salinan soft copy atau cakram padat dalam betuk format yang tidak bisa diubah Jadi data DPT di KPU tidak kena hack ucapnya menegaskan Selain itu dia juga menjelaskan DPT Pemilu tidak sampai juta jiwa seperti klaim peretas yang diunggah salah satu akun media sosial pada Kamis Mei kemarin melainkan DPT tersebut jumlahnya juta jiwa Sebelumnya pada Kamis Mei peretas mengklaim telah membobol juta data warga Indonesia dari Komisi Pemilihan Umum KPU Informasi itu datang dari akun underthebreach yang sebelumnya mengabarkan kebocoran data ecommerce Tokopedia pada awal bulan ini Aktor peretas membocorkan informasi warga Indonesia Data termasuk nama alamat nomor ID tanggal lahir dan lainnya cuit underthebreach Akun itu juga menyebutkan bahwa data tersebut tampaknya merupakan data tahun Tidak hanya itu peretas juga mengklaim akan membocorkan juta data lainnya 
Menkominfo koordinasi dengan KPU terkait dugaan kebocoran data, Jakarta Menteri Komunikasi dan Informatika Johnny G Plate mengatakan telah berkoordinasi dengan Komisi Pemilihan Umum KPU dan Badan Siber dan Sandi Negara BSSN terkait dugaan kebocoran data pemilih Saya sudah berbicara dengan Ketua KPU RI mas Arief Budiman dan akan ditindak lanjuti koordinasi antara KPU Kominfo dan BSSN untuk melalukan penyelidikan teknis untuk menjaga perlindungan data khususnya data pribadi ujar Johnny kepada Antara melalui pesan singkat Jumat Johnny mengatakan dalam melaksanakan UU Pemilihan Umum pemerintah berkewajiban menyerahkan perkiraan data penduduk yang memenuhi syarat sebagai Pemilih kepada KPU Pusat Oleh karena itu menurut Johnny mekanisme pengiriman pengolahan penyimpanan dan pengungkapan data calon pemilih perlu diperhatikan keamanannya Kemenkominfo sudah berbicara perihal dugaan kebocoran data tersebut dengan Ketua KPU Sebagai tindak lanjut Kominfo KPU bersama BSSN akan segera melakukan peningkatan keamanan dan menelusuri penyebab kejadian ini kata Johnny Lebih lanjut Johnny mengatakan tidak hanya melakukan penguatan dan pembaruan sistem keamanan namun diperlukan pula payung hukum yang memadai Untuk itu kami berharap bahwa proses politik pembahasan RUU PDP di DPR RI dapat segera dilakukan Kami meyakini DPR RI juga mempunyai pandangan yang sama dimana RUU PDP perlu segera diselesaikan ujar Johnny Johnny mengatakan saat ini Kominfo sedang menyiapkan Pusat Data Nasional Pemerintah yang akan mengintegrasikan data data pemerintah dengan sistem keamanan yang berlapis dan yang memadai sesuai standard keamanan yang berlaku Diharapkan pusat data tersebut akan mencegah terjadinya perpindahan data dari satu lembaga kepada lembaga lainnya dan akan memperkuat ketahanan data dan informasi nasional pungkas Johnny Sebelumnya pada Kamis peretas mengklaim telah membobol juta data warga Indonesia dari Komisi Pemilihan Umum KPU Informasi itu datang dari akun underthebreach yang sebelumnya mengabarkan kebocoran data ecommerce Tokopedia di awal bulan ini Aktor peretas membocorkan informasi warga Indonesia Data itu termasuk nama alamat nomor ID tanggal lahir dan lainnya cuit underthebreach Tidak hanya itu peretas juga mengklaim akan membocorkan juta data lainnya 
Jutaan data pemilu Indonesia ditawarkan gratis di Raid Forums, Jakarta Laporan dari lembaga riset embaga riset siber Indonesia CISSReC Communication Informatian System Security Research Center menyebutkan bahwa data warga Indonesia ditawarkan secara gratis di forum internet Raid Forums Bisa diakses kalau kita masuk ke darkweb Saat dicek di Raid Forums data yang disajikan plain dan bisa didownload member secara gratis ujar chairman lembaga riset siber Indonesia CISSReC Pratama Persadha kepada Antara lewat pesan instan Jumat Pratama melanjutkan terakhir kali melakukan pemantauan di Raid Forums data tersebut telah diunduh oleh sekitar akun Untuk mengunduh data diperlukan minimal kredit yang setiap kredit harus dibeli seharga euro via PayPal Adapun data yang disebar di forum internet mencakup nama jenis kelamin alamat nomor KTP dan KK tempat tanggal lahir usia status lajang atau menikah Data yang disebar pelaku adalah data setahun sebelum pemilu sebagian besar data pemilih DIY Data yang disebar tanpa enkripsi sama sekali Nomor KTP dan KK bersamaan misalnya bisa digunakan untuk mendaftarkan nomor seluler dan juga melakukan pinjaman online bila pelaku mahir melengkapi data kata Pratama Pratama menambahkan bila data ini dikombinasikan dengan data Tokopedia dan Bukalapak yang lebih dulu terekspos maka akan dihasilkan data yang cukup berbahaya dan bisa dimanfaatkan untuk kejahatan Misalnya mengkombinasikan data telepon dari marketplace dengan data KTP dan KK jelas ini sangat berbahaya jelasnya Pratama menilai peristiwa ini juga harus menjadi peringatan bagi dukcapil agar bisa mengamankan data kependudukan Perlu dipikirkan lebih jauh terkait pengamanan enkripsi pada data penduduk ujar Pratama Sebelumnya pada Kamis peretas mengklaim telah membobol juta data warga Indonesia dari Komisi Pemilihan Umum KPU Informasi itu datang dari akun underthebreach yang sebelumnya mengabarkan kebocoran data ecommerce Tokopedia di awal bulan ini Aktor peretas membocorkan informasi warga Indonesia Data itu termasuk nama alamat nomor ID tanggal lahir dan lainnya cuit underthebreach Tidak hanya itu peretas juga mengklaim akan membocorkan juta data lainnya 
"Data pemilu jadi target peretasan, ini kata pakar keamanan siber", Jakarta Pakar keamanan siber dari Kaspersky Yeo Siang Tiong mengatakan data pemilu menjadi target yang matang bagi para pelaku kejahatan siber sebab sangat penting dan kritikal bagi sebuah negara Menurut Yeo Siang Tiong pengamanan data pemilu mulai dari proses menyalurkan hingga penyimpanan menjadi tantangan bagi seluruh negara dunia Karena dua faktor pertama beragamnya sistem yang dikelola secara lokal dan kedua adalah mesin turun temurun legacy machine yang tidak dirancang untuk dunia yang terhubung ujar Yeo Siang Tiong General Manager untuk Asia Tenggara Kaspersky dalam keterangan tertulis Jumat Sebelumnya pada Kamis peretas mengklaim telah membobol juta data warga Indonesia dari Komisi Pemilihan Umum KPU Informasi itu datang dari akun underthebreach yang sebelumnya mengabarkan kebocoran data ecommerce Tokopedia di awal bulan ini Aktor peretas membocorkan informasi warga Indonesia Data itu termasuk nama alamat nomor ID tanggal lahir dan lainnya cuit underthebreach Akun underthebreach juga menyebutkan bahwa data tersebut tampaknya merupakan data tahun Tidak hanya itu peretas juga mengklaim akan membocorkan juta data lainnya Peluang peretasan Menurut Yeo Siang Tiong ruang siber yang sangat terhubung saat ini membuka peluang bagi peretasan Selain itu perangkat keras dan sistem lama juga menambah kesulitan untuk mengamankan data pemilu dari kejahatan siber Oleh karena itu menurut Yeo Siang Tiong penting bagi negara untuk membangun kepercayaan pada rakyatnya Hal terpenting yang bisa dilakukan adalah mendorong transparansi dalam sistem Ini berarti membuka kemungkinan untuk audit terbuka yang dapat disaksikan oleh masyarakat dan menunjukkan bahwa pemilu adalah sesuatu yang ditanggapi dengan serius kata Yeo Siang Tiong Selain itu menurut Yeo Siang Tiong negara juga dapat melibatkan para ahli atau pekerja di sektor keamanan untuk menyumbangkan wawasan dan pengetahuan mereka dalam menilai risiko dan menambal kemungkinan celah keamanan Untuk menjamin transparansi meningkatkan kepercayaan dan memperbarui sistem pemilihan akan membutuhkan kolaborasi terbuka di antara organisasi publik dan swasta ujar Yeo Siang Tiong Mencegah pelanggaran data dan peretas memasuki sistem pemilihan tidak diragukan lagi menjadi tantangan tetapi dengan kerja sama yang bertujuan meningkatkan keamanan pemilu setiap negara dapat menggagalkan upaya pelanggaran apa pun secara efektif di masa depan dia menambahkan Pewarta Arindra MeodiaEditor Maria Rosari Dwi Putri 
"Jutaan data diduga bocor, KPU periksa kondisi server data", Jakarta Komisi Pemilihan Umum melakukan pengecekan lebih lanjut terkait dengan keamanan server data milik penyelenggara pemilu itu sehubungan dengan dugaan jutaan data warga yang diretas Anggota Komisi Pemilihan Umum KPU RI Viryan Azis di Jakarta Jumat mengatakan bahwa KPU langsung mengecek data internal mereka sejak adanya klaim peretasan tersebut KPU RI sudah bekerja sejak tadi malam menelusuri berita tersebut lebih lanjut melakukan cek kondisi internal server data dan berkoordinasi dengan pihak pihak terkait informasi lebih lanjut akan disampaikan kemudian kata Viryan Azis Terkait dengan unggahan salah satu akun media sosial mengenai kebocoran data pemilih itu menurut Viryan data tersebut merupakan soft file dari daftar pemilih tetap Pemilu Soft file data KPU tersebut format pdf dikeluarkan sesuai dengan regulasi dan untuk memenuhi kebutuhan publik bersifat terbuka Picture ini berdasarkan meta datanya tanggal November katanya Menyinggung soal jumlah datar pemilih tetap pada Pemilu Presiden dia mengatakan bahwa data itu tidak sampai juta jiwa tetapi juta jiwa Sebelumnya pada hari Kamis peretas mengklaim telah membobol juta data warga Indonesia dari KPU Informasi itu datang dari akun underthebreach yang sebelumnya mengabarkan kebocoran data ecommerce Tokopedia di awal bulan ini Aktor peretas membocorkan informasi warga Indonesia Data itu termasuk nama alamat nomor ID tanggal lahir dan lainnya cuit underthebreach Akun itu juga menyebutkan bahwa data tersebut tampaknya merupakan data tahun Tidak hanya itu peretas juga mengklaim akan membocorkan juta data lainnya Pewarta Boyke Ledy WatraEditor D Dj Kliwantoro 
Peretas klaim bobol jutaan data warga Indonesia dari KPU, Jakarta Peretas mengklaim telah membobol juta data warga Indonesia dari Komisi Pemilihan Umum KPU Informasi itu datang dari akun underthebreach Kamis malam yang sebelumnya mengabarkan kebocoran data ecommerce Tokopedia pada awal bulan ini Aktor peretas membocorkan informasi warga Indonesia Data termasuk nama alamat nomor ID tanggal lahir dan lainnya cuit underthebreach Akun itu juga menyebutkan bahwa data tersebut tampaknya merupakan data tahun Tidak hanya itu peretas juga mengklaim akan membocorkan juta data lainnya Actor leaks information on Indonesian citizens data includes names addresses ID numbers birth dates and more Appears to date back to Actor claims he will leak additional citizens information soon pic twitter com xVWhOGOhtX Under the Breach underthebreach May Dalam cuitannya underthebreach mengunggah foto tangkapan layar di sebuah forum peretas di mana sang peretas menyebutkan bahwa data ID termasuk NIK dan NKK Sangat bermanfaat bagi yang membutuhkan untuk mendaftar nomor telepon Anda memerlukan NIK dan NKK untuk registerasi atau dapat digunakan untuk ambil data nomor telepon dari Indonesia kata peretas Peretas mengaku mendapat data dalam format pdf Dia menyebutkan data tersebut didapat dari KPU dan mengatakan mendapatkan lebih dari juta data masyarakat Indonesia yang akan dibagikan segera Akun underthebreach juga mengunggah contoh data yang didapatkan peretas nampak data merupakan data KPU lengkap dengan logo KPU di sebelah kiri dengan lampiran berjudul Daftar Pemilih Tetap Pemilihan Umum Anggota DPR DPD DPRD Provinsi dan DPRD Kabupaten Kota Tahun 
"Kemarin, data Bhinneka bobol hingga hubungan vitamin D & corona", Jakarta Simak berita kemarin yang masih laik dibaca hari ini mulai dari data pengguna Bhinneka yang dilaporkan bobol korelasi vitamin D dengan kematian COVID hingga inspirasi busana lebaran dari Kate Middleton Bhinneka investigasi laporan bobolnya data pengguna Group Head Brand Communication PR Bhinneka Astrid Warsito mengatakan Bhinneka tengah menginvestigasi kebenaran berita bobolnya data pengguna Google Duo segera dukung panggilan grup hingga orang Google mengatakan sedang mengembangkan dukungan panggilan grup hingga orang untuk layanan panggilan videonya Google Duo Prototipe Hyundai i N baru terungkap dalam uji cuaca ekstrem Hyundai mengungkap desain dan performa mobil terbarunya yang masih dalam tahap prototipe all new i N dalam pengujian di cuaca ekstrem Swedia Inspirasi gaya Idul Fitri shalwar kameez ala Kate Middleton Kate Middleton terkenal dengan pilihan tampilan elegan dan modis di setiap kesempatan yang dihadirinya Salah satu gaya ala Kate Middleton yang bisa dicontek adalah saat dia mengunjungi Pakistan pada Oktober Peneliti temukan korelasi vitamin D dan kematian COVID Setelah mempelajari data global dari pandemi coronavirus COVID para peneliti menemukan korelasi kuat antara kekurangan vitamin D yang parah dengan tingkat kematian Pewarta Nanien YuniarEditor Maria Rosari Dwi Putri 
FaceID iOS 13 beta mudahkan pengguna masker buka kunci iPhone, Jakarta Versi beta terbaru dari iOS dibekali dengan kemampuan untuk membuka kunci lewat pemindai wajah FaceID bagi pengguna yang sering menggunakan masker di tengah situasi pandemi virus corona sekarang ini Dikutip dari laman The Verge sistem operasi tersebut akan langsung memuat kode sandi manual begitu pengguna menarik layar dari bawah ke atas Pengguna tidak perlu lagi mencoba beberapa kali memakai FaceID sebelum muncul kode sandi Biasanya perlu hingga detik dan beberapa kali menggeser layar supaya muncul kode sandi Peristiwa itu umumnya terjadi pada pengguna iPhone X XS atau yang sudah tidak memiliki tombol home iOS akan meminta pengguna mencoba beberapa kali sebelum memberikan akses masuk lewat kode sandi Selain Face ID Apple juga memodifikasi panggilan video lewat FaceTime agar pengguna bisa mematikan fitur pengeras suara bertambah kencang di garis asimetris iOS akan menggantinya dengan garis statis berisi wajah saat pengguna melakukan panggilan vide ke beberapa orang 
"Bobol dinding kamar, 11 narapidana Lapas Banda Aceh dilaporkan polisi", Banda Aceh Sebanyak narapidana Lembaga Pemasyarakatan Lapas Kelas IIA Banda Aceh dilaporkan ke polisi karena merusak fasilitas negara dengan cara membobol dinding kamar di penjara tersebut Kami melaporkan mereka ke polisi karena perusakan fasilitas negara yakni membobol dinding kamar tahanan mereka kata Kepala Lapas Kelas IIA Banda Aceh Jumadi di Aceh Besar Senin Sebelum kata Jumadi narapidana Kamar yang dihuni warga binaan melakukan percobaan melarikan diri dengan membobol dinding beton Jumadi menyebutkan Kamar tersebut dihuni narapidana terlibat kasus narkoba dengan hukuman paling rendah lima tahun dan paling tinggi seumur hidup Kejadian pada Jumat pukul Upaya mereka melarikan diri gagal setelah diketahui petugas pengawas yang rutin berpatroli mengelilingi lapas kata Jumadi Petugas pengawas kemudian melaporkan kepada Jumadi selaku atasan dan seterusnya dilaporkan kepada kepolisian Setelah dilakukan penyisiran tidak ada narapidana yang melarikan Jumadi menyebutkan narapidana Kamar tersebut membobol dinding beton menggunakan gunting besi serta batu Mereka berhasil membuat lubang dengan diameter setengah meter Dari informasi hasil pemeriksaan empat narapidana berhasil keluar namun ketika mendengar ada petugas mereka masuk kembali Ketahuannya kaki seorang narapidana menjulur keluar saat kembali masuk kamar kata Jumadi Selain melaporkan ke polisi kasus percobaan melarikan diri tersebut juga dilaporkan ke Divisi Pemasyarakatan Kantor Wilayah Kementerian Hukum dan HAM Aceh Divisi Pemasyarakatan sudah memerintahkan evaluasi kepada Bapas atau Balai Pemasyarakatan Nanti Bapas yang merekomendasikan apakah mereka dibina ditempat lain atau tetap di Lapas Banda Aceh kata Jumadi 
