title,content
PVMBG : Suara dentuman di Bandung bukan dari aktivitas gunung berapi, Pusat Vulkanologi Mitigasi Bencana Geologi PVMBG Badan Geologi memastikan suara dentuman di Kota Bandung yang terjadi pada Kamis bukanlah dari aktivitas gunung berapi Kepala PVMBG menjelaskan saat dentuman terdengar tidak ada gunung berapi aktif yang mengalami erupsi Dian Hardiana Rayyan Ardi Irawan 
PVMBG pastikan suara dentuman di Bandung bukan karena vulkanik, Di sekitar Kota Bandung tidak ada laporan erupsi jadi sumber dentuman bukan berasal dari erupsi gunung apiBandung Pusat Vulkanologi dan Mitigasi Bencana Geologi PVMBG memastikan suara dentuman misterius yang terdengar di wilayah Bandung Raya bukan karena adanya aktivitas vulkanik Kepala Bidang Gunung Api PVMBG Hendra Gunawan mengatakan sejauh ini tidak ada laporan tanda tanda erupsi dari sejumlah pos pos gunung api di wilayah Bandung Di sekitar Kota Bandung tidak ada laporan erupsi jadi sumber dentuman bukan berasal dari erupsi gunung api kata Hendra saat dihubungi di Bandung Kamis Menurutnya aktivitas vulkanik biasanya berkaitan dengan erupsi Sehingga kata dia tidak ada aktivitas vulkanik lainnya yang diduga bisa menyebabkan suara dentuman misterius itu Kalau dari aktivitas vulkanik biasanya berkaitan dengan erupsi hanya gunung gunung di sekitar Bandung tidak ada yang erupsi katanya Sebelumnya masyarakat di wilayah Bandung Raya menyebut mendengar suara dentuman misterius yang berlangsung beberapa kali pada Kamis pagi Seorang warga Akbar mengatakan suara dentuman itu juga sempat terdengar beberapa kali di wilayah selatan Kota Bandung berdasarkan informasi yang dia terima Sempat kedengaran di wilayah Mohamad Toha Buahbatu Astanaanyar Kopo juga kata Akbar di Bandung Kamis Selain Akbar suara dentuman itu juga terdengar oleh Rahmat yang merupakan warga Cibiru Bandung Ia hanya mengira suara itu berasal dari PT Pindad sebagai produsen senjata Udah beberapa kali ini dari Pindad mungkin suaranya lumayan terdengar dari tadi kata Rahmat Sementara itu Kepala BMKG Stasiun Geofisika Bandung Tony Agus Wijaya mengatakan pihaknya masih memerlukan analisis untuk mengetahui sumber suara dentuman tersebut Perlu dianalisa penyebab sumber suara dari faktor selain gempa cuaca dan petir kata Tony Dia memastikan Kamis ini sejak pukul hingga WIB tidak ada kejadian gempa Kemudian ia menyampaikan di wilayah Bandung cuacanya bakal cerah berawan Tidak ada juga kejadian suara petir mulai dari WIB sampai WIB katanya Pewarta Bagus Ahmad RizaldiEditor Agus Salim 
Gubernur DIY pertimbangkan PSBB jika kasus positif COVID-19 dominan, Yogyakarta Gubernur Daerah Istimewa Yogyakarta Sri Sultan Hamengku Buwono X menyatakan akan mempertimbangkan mengajukan penerapan Pembatasan Sosial Berskala Besar PSBB jika kasus pasien positif COVID dominan dengan adanya empat klaster di wilayahnya Kalau memang kita anggap dengan klaster klaster itu pasien positifnya dominan kata Sultan di Kompleks Kepatihan Yogyakarta Jumat Seperti diwartakan di DIY saat ini terdapat empat klaster besar penyebaran COVID yakni klaster jamaah tabligh Sleman klaster Gereja GPIB Kota Yogyakarta klaster jamaah tabligh Gunungkidul serta klaster Indogrosir di Sleman Kalau pasien positifnya dominan kita punya pertimbangan mungkin juga kita lakukan PSBB biar kita lebih menertibkan mereka yang tidak disiplin kata dia Meski demikian sebelum opsi itu direalisasikan Sultan masih berharap ada peningkatan kesadaran masyarakat untuk mendisiplinkan diri melaksanakan protokol kesehatan termasuk tetap berada di rumah demi mencegah persebaran COVID Sebetulnya kita PSBB atau tidak kalau mereka patuh dan disiplin mau tinggal di rumah ya sebetulnya selesai kok masalahnya kata dia Kesulitan kita sama sama itu menahan diri untuk tidak keluar rumah kalau tidak penting kok sepertinya susah Itu karena dirinya sendiri tidak mampu mendisiplinkan diri kata dia Raja Keraton Yogyakarta ini berharap masyarakat bisa memosisikan diri sebagai subjek yang ikut berperan aktif sehingga dapat berpartisipasi seperti pada saat menghadapi bencana gempa bumi dan erupsi Gunung Merapi pada dan Kami terima kasih warga masyarakat saling membantu tapi jangan hanya saling membantu melainkan juga punya kesadaran mendisiplinkan diri kata dia Juru Bicara Pemda DIY untuk Penanganan COVID Berty Murtiningsih menyebutkan total orang dalam pemantauan ODP di DIY hingga Kamis mencapai orang pasien dalam pengawasan PDP yang sudah diperiksa terkait dengan COVID dengan tes swab tercatat orang Dari jumlah PDP tersebut orang di antaranya dinyatakan negatif corona orang positif di mana orang di antaranya sembuh dan tujuh meninggal sedangkan yang masih menunggu hasil orang dengan di antaranya telah meninggal 
"Eva Celia dan Tohpati bakal kolaborasi virtual di ""Mostly Jazz Live""", Jakarta Musikus jazz Indonesia Indra Lesmana akan kembali dalam konser kolaborasi virtual Mostly Jazz Online Live pada Jumat bersama sang putri Eva Celia dan penampilan spesial dari gitaris kenamaan Tohpati Tanggal besok akan ada Eva Celia featuring Indra Lesmana dan ada special appearance dari Tohpati kata Indra Lesmana Kamis malam di sela sela penampilannya bersama Dewa Budjana dan Eva Nantinya Eva akan membawakan beberapa lagu di EP terbarunya dan juga lagu lagu yang ditulis dan digubah oleh Indra Mostly Jazz Live Online musim episode ini nantinya akan melanjutkan acara sebelumnya yang dimulai Indra Lesmana dan Dewa Budjana ILDB Acara ini lalu direncanakan untuk digelar rutin setiap hari Jumat di layanan streaming Loket com Penampilan kolaborasi virtual ILDB menjadi konser live virtual pertama Mostly Jazz yang digelar secara daring Sebelumnya program komunitas jazz yang diinisiasi oleh Indra dan Hon Lesmana sejak ini digelar rutin di Jakarta berlanjut di Sanur Bali sejak pasangan tersebut pindah ke Pulau Dewata Sebagian hasil penjualan seluruh kategori tiket ini akan didonasikan kepada korban terdampak pandemi virus corona seperti kru musik Sementara itu Mostly Jazz Live Online episode bersama Eva Celia dan Tohpati dapat diperoleh melalui Loket dan GoTix mulai Rp ribu per tiket 
Nostalgia Indra Lesmana dan Dewa Budjana di Mostly Jazz Live Online, Jakarta Duo musisi jazz kenamaan Tanah Air Indra Lesmana dan Dewa Budjana yang tergabung dalam proyek musik ILDB berhasil tampil bersama secara jarak jauh dan virtual di siaran langsung Mostly Jazz Live Online Kamis malam Sebenarnya ide untuk melakukan duet sudah cukup lama eh malah mainnya jarak jauh Malam ini kami bawakan lagu lagu ILDB di album sampai sekarang kata Indra ILDB yang tampil perdana tepat di Hari Jazz Internasional itu membuka pertunjukan dengan lagu Greenfield salah satu lagu pertama dari proyek keduanya yang diciptakan pada tahun Penampilan keduanya kemudian dilanjutkan oleh dua lagu lainnya yakni Mountain of Light dan Distance yang ditulis oleh Indra untuk memperingati erupsi Gunung Agung di tahun yang sama Namun pertunjukan pada saat lagu Distance harus terkendala jarak dan jaringan selama beberapa menit Penonton yang bisa berinteraksi lewat ruang chat di situs Loket com pun ikut panik Maaf banget tadi sepertinya ada gangguan internet salah satu dari kita kata Budjana tak lama setelah keduanya kembali online Indra menimpali Pas banget ya trouble nya di lagu Distance Mereka pun kemudian saling berbagi cerita lama mengenai perjalanan bermusik mereka Mulai dari bagaimana keduanya mengenal masing masing hingga tergabung ke sebuah proyek musik bersama Budjana bisa dibilang adalah teman musisi terlama Sudah kenal dan main musik bareng puluhan tahun serta melihat konsistensi Budjana di dunia musik ungkap Indra Budjana bukan cuma pemain gitar tapi juga komposer yang luar biasa dan saya mengagumi karya karyanya lanjut dia Keduanya lalu ikut mengenang sejumlah seniman dan musisi yang telah berpulang seperti Glenn Fredly Andy Ayunir dan Djaduk Ferianto Beberapa waktu lalu kita kehilangan Glenn Fredly Andy Ayunir Mas Djaduk dan hari ini kita sebenarnya merasa kerinduan untuk bertemu dan bersapa berpelukan dengan teman teman kata Indra Kedua musisi itu lalu kembali tampil membawakan lagu lagu mereka selanjutnya mulai dari Somewhere Somehow Friendship dan salah satu lagu terpopuler mereka Wanita Setelah membawakan tiga lagu sekaligus solois Eva Celia kemudian bergabung dengan Budjana dan sang ayah Ketiganya berkolaborasi di lagu I ll Remember April lagu jazz yang dipopulerkan oleh Gene Paul Patricia Johnson dan Don Raye pada tahun Penampilan ILDB di episode perdana Mostly Jazz Live Online itu lalu ditutup dengan dua lagu lainnya Barong Landung dan Bulan di Atas Asia Konser virtual yang berlangsung sekira jam menit di Loket com itu juga ikut ditonton sejumlah rekan musisi lainnya seperti Tohpati Dira Sugandi hingga Saykoji 
LIPI: Perlu penguatan modal sosial dalam penanganan COVID-19, Jakarta Lembaga Ilmu Pengetahuan Indonesia LIPI menyatakan penting dan perlunya penguatan modal sosial masyarakat dalam penanganan pandemi COVID dan percepatan pemulihan bangsa akibat bencana non alam itu Modal sosial termasuk jejaring sosial dan rasa saling percaya memegang peranan yang penting dalam mitigasi maupun percepatan penanganan bencana kata Kepala Pusat Penelitian Kependudukan LIPI Herry Yogaswara dalam keterangan tertulis yang diterima di Jakarta Minggu Herry menuturkan peringatan Hari Kesiapsiagaan Bencana pada April semestinya menjadi momentum untuk menyadari perlunya pemahaman mitigasi bencana di semua aspek termasuk dengan penguatan modal sosial di Tanah Air Herry mengatakan modal sosial lahir dari situasi kebersamaan yang tidak dipaksakan sehingga anggota komunitas menjalankannya dengan kerelaan yang tinggi Kepemimpinan lokal yang menjadi teladan dan budaya saling bantu dan menghargai sebetulnya masih hidup dalam banyak komunitas masyarakat Indonesia Melalui pemberitaan kita saksikan ketika ada keluarga yang isolasi mandiri tetangga lainnya membantu Sebelum pemerintah menginisiasi Pembatasan Sosial Berskala Besar anggota masyarakat saling bantu menyediakan sembako maupun makanan tuturnya Herry menuturkan meski Indonesia pernah mengalami wabah flu burung beberapa tahun lalu tidak membuat pihak pihak yang terkait lebih sigap saat ancaman pandemi COVID Hal itu menyebabkan dampak sosial yang merupakan imbas kurang siapnya mengantisipasi pandemi ini seperti kepanikan masyarakat serta masalah masalah sosial yang kemudian muncul Padahal masyarakat Indonesia punya modal sosial yang telah terbukti mempercepat pemulihan bencana seperti saat tsunami Aceh pada gempa bumi Yogyakarta pada dan erupsi Merapi pada Berkontribusi dalam upaya percepatan penanganan COVID Laboratorium Bio Safety Level milik LIPI yang berada di Cibinong Jawa Barat melakukan Reverse Transcription Polymerase Chain Reaction untuk mendukung deteksi virus SARS CoV penyebab COVID Peneliti Pusat Penelitian Bioteknologi LIPI sekaligus Manajer Laboratorium Bio Safety Level Ratih Asmana Ningrum mengatakan laboratorium itu juga terlibat dalam beberapa kegiatan riset yang beragam terkait COVID di antaranya mulai pengembangan vaksin rekombinan pembuatan kit deteksi SARS CoV berbasis antibodi dan berbasis molekuler dengan metode Loop Mediated Isothermal Amplification atau LAMP Laboratorium itu juga melakukan penelitian untuk whole genome sequencing untuk virus SARS CoV uji klinis imunomulodulator dari herbal untuk COVID antivirus SARS CoV dan uji berbagai alat sterilizer seperti robot AUMC 
"Tantangan ""konser online"" bagi Dewa Budjana dan Indra Lesmana", Jakarta Meski telah bertahun tahun mewarnai belantika musik Indonesia duo musisi jazz Dewa Budjana dan Indra Lesmana tak menampik bahwa keduanya merasa tertantang untuk melakukan konser secara virtual atau daring menyusul adanya pandemi virus corona Salah satu tantangan terbesar bagi keduanya ketika memutuskan untuk tampil bersama secara live lewat internet adalah adanya keterlambatan pengantaran pada jaringan komunikasi data dan juga suara latency Kami menyadari adanya berbagai kendala teknis dalam bermusik bersama secara live online Salah satunya dapat dikarenakan kapasitas public internet yang mengakibatkan latency yang tidak dapat diprediksi kata Budjana melalui konferensi virtual Sabtu Lebih lanjut Budjana mengungkapkan adanya perbedaan latihan antara manggung secara daring dan sebaliknya Banyak trik yang biasa ia lakukan di panggung tidak dapat dilakukan di panggung virtual karena keterbatasan yang ada Waktu latihan pun ia nilai menjadi cukup lama karena harus memperbaiki teknis audio yang ia sebut memakan waktu hingga tiga minggu lamanya Jadi untuk konser virtual ini audio kami utamakan daripada gambar kami fokus untuk menyamakan audionya dulu Tantangan gap ketika latihan jarak jauh rasanya beda banget ungkap gitaris GIGI itu Sementara Indra berpendapat di balik banyaknya tantangan yang ada hubungan antara musisi dan teknologi saat ini bukanlah hal yang baru Banyak kolaborasi antarmusisi dunia yang dilakukan secara daring Sejak ada internet dan teknologi musisi sudah biasa kerja bersama dari kota negara lain untuk mengisi part instrumen masing masing sampai mixing Ini sebenarnya sudah common kata Indra Indra dan Budjana yang tergabung dalam proyek ILDB itu lalu menginisiasi konser virtual langsung bertajuk Mostly Jazz Live Online yang diharapkan bisa menjadi terobosan baru dan obat rindu bagi para penikmat jazz Tanah Air Kami terpacu menggarap suatu terobosan baru Melalui program Mostly Jazz Live Online ini kami harapkan bisa menjadi suatu ruang pagelaran karya musik dengan kualitas sistem teknis audio dan video yang selaras walaupun dari jarak yang berjauhan kata Indra 
"""Mostly Jazz Live Online"", konser virtual Indra Lesmana & Dewa Budjana", Jakarta Duo musisi jazz Indonesia yaitu Indra Lesmana dan Dewa Budjana akan menyelenggarakan konser virtual pertama mereka bertajuk Mostly Jazz Live Online yang diadakan tepat pada Hari Jazz Internasional International Jazz Day yang jatuh pada April Indra dan Budjana yang tergabung dalam proyek bertajuk ILDB itu memilih konser virtual untuk merayakan hari bersejarah tersebut mengingat keduanya tidak dapat tampil di atas panggung konser karena pandemi virus corona yang mewabah di dunia tak terkecuali di Indonesia Semangat dalam bermusik jazz dan adanya International Jazz Day ini menjadi inspirasi bagi kami untuk berkreasi belajar dan berimprovisasi mencari solusi terbaik kata Indra melalui konferensi virtualnya Sabtu Dengan peran Djundi Karjandi sebagai Technical Director baik Indra maupun Budjana berharap jarak bukan menjadi penghalang bagi musisi dan penikmatnya untuk menyaksikan aksi mereka dari rumah masing masing secara langsung Kami membentuk tim kerja yang sangat giat menggarap segala upaya dan perencanaan sistem sehingga memberanikan diri tampil bermusik kepada publik secara live kata Budjana Acara ini nantinya ditayangkan secara langsung dari kediaman Indra di Bali dan Budjana di Jakarta yang berperan sebagai pengisi acara maupun host Mostly Jazz Live Online dibuka dengan pertunjukan musik kemudian dilanjutkan transisi ke sketsa dialog antar musisi dan interaksi dengan penonton Selain ILDB akan hadir pula putri dari Indra yaitu Eva Celia yang akan tampil berkolaborasi bersama sebagai bintang tamu di episode perdana program tersebut Lebih lanjut Indra dan Budjana mengungkapkan bahwa Mostly Jazz Live Online ini akan berlanjut sebagai sebuah program musik dan interactive webisode mingguan Untuk menikmati penampilan dari ILDB dan juga Eva Celia dalam Mostly Jazz Live Online pecinta musik bisa mengakses tiket yang dijual secara eksklusif di Loket com dan GoTix Tersedia beberapa pilihan tiket dengan harga mulai dari Rp yang bisa didapatkan mulai April Selain itu juga terbuka ruang donasi dengan penyematan Jazz Heroes yang akan mendapatkan bentuk apresiasi khusus dari Indra Lesmana dan Dewa Budjana Mostly Jazz Live Online episode perdana akan ditayangkan langsung pada Kamis pukul WIB dan nantinya akan disiarkan mingguan melalui Loket com 
Peneliti BPPT: Calon Ibu Kota Negara rentan 'smong', Smong dari sumber longsor di Indonesia kejadiannya lebih banyak dari yang diperkirakan semula cuitnya lagi menjawab Jakarta Peneliti senior Badan Pengkajian dan Penerapan Teknologi BPPT yang merupakan ahli tsunami Widjo Kongko mengatakan bahwa sesuai hasil penelitian calon Ibu Kota Negara IKN di Kalimantan Timur rentan dilanda smong dari sumber longsor bawah laut Dengan volume juta meter kubik m bisa menimbulkan smong setinggi lebih dari meter m seperti di Papua Nugini pada Kami pernah sampaikan tahun lalu Kaji detil perlu untuk siapkan PRB nya kata Widjo Kongko dalam cuitannya soal perlunya upaya Pengurangan Risiko Bencana PRB bagi calon IKN berkaitan dengan hasil kajian tersebut Kamis Smong merupakan istilah tradisional masyarakat di Pulau Simeulue Aceh untuk menyebut sebuah gelombang laut besar yang melanda setelah sebuah gempa bumi menghantam Tsunami di Palu dan Krakatau menjadi contoh smong yang terjadi beberapa tahun lalu yang diakibatkan oleh longsor bawah laut Smong dari sumber longsor di Indonesia kejadiannya lebih banyak dari yang diperkirakan semula cuitnya lagi menjawab Meski demikian Widjo mengatakan kajian soal longsor bawah laut yang mengakibatkan smong di Indonesia tidak banyak Di wilayah barat Indonesia dari survei batimetri detil cacat parut bekas longsor bawah laut menjadi kajian kolega peneliti di Potsdam Sementara di Indonesia tengah dan timur atau Laut Banda suspek longsor bawah laut lebih banyak lagi Smong longsor bawah laut bisa sangat tinggi lebih dari m atau m ujar dia Cuitan awal Widjo terkait potensi smong di calon IKN tersebut mengomentari berita yang dilansir BBC News berjudul Tsunami risk identified near future Indonesian capital pada Rabu Tim peneliti Inggris dan Indonesia menggunakan data seismik untuk menginvestigasi sendimen dan struktur bawah Laut Makassar mereka memetakan bukti longsoran longsoran bawah laut purba di Selat Makassar antara Pulau Kalimatan dan Sulawesi Dari kajian awal memang jika ada longsoran bawah laut besar terulang saat ini itu akan memicu tsunami yang mampu menggenangi Teluk Balikpapan sebuah area dekat dengan Ibu Kota Negara yang diusulkan Namun demikian tim peneliti internasional itu sangat berhati hati terhadap reaksi yang berlebihan mereka masih harus banyak melakukan penilaian terhadap kondisinya dengan tepat Sebagai catatan ada sejumlah tsunami yang menghancurkan di Indonesia dalam tahun terkahir dipicu oleh berbagai mekanisme Gempa Megathrust dan tsunami di lepas pantai Sumatera di menelan korban jiwa di sepanjang wilayah Samudera Hindia korban tersebut ada di Sumatera menjadikan bencana alam terburuk dalam tahun terakhir Lalu mekanisme tsunami Palu pada September masih belum pasti namun kemungkinan dihasil dari kombinasi gempa bumi besar dari seafloor rupture dan longsor bawah laut Dua gelombang tercatat dengan ketinggian maksimal lebih dari m terjadi korban jiwa karena sapuan gelombang tsunami dan likuefaksi akibat goncangan sesmik Dan pada Desember bencana alam tersebut diikuti oleh tsunami Anak Krakatau di mana sayap gunung runtuh yang kemungkinan dipicu oleh erupsi gunung berapi tersebut dan menghasilkan tsunami yang menelan korban sekitar jiwa di pesisir Jawa dan Sumatera Masjid terapung yang dihantam gempa disertai tsunami September di kawasan pantai Teluk Palu Sulawesi Tengah kini menjadi tepat wisata bagi warga di kota itu Tak jarang ketika menjelang sore warga menyempatkan diri bersua foto berlatar puing masjid tersebut Jumat Moh Ridwan Potensi longsor Publikasi ilmiah spesial berjudul Indonesian Throughflow as a preconditioning mechanism for submarine landslides in the Makassar Strait milik Rachel E Brackenridge Uisdean Nicholson Benyamin Sapiie Dorrik Stow dan Dave R Tappin yang diterbitkan Geological Society pada April menjelaskan perihal peran penting Selat Makassar sebagai pintu gerbang utama Arus Laut Indonesia Indonesian Throughflow yang mengangkut air dari Samudera Pasifik ke Samudera Hindia Penelitian tersebut baru baru ini mengidentifikasi pemindahan massal sejumlah deposit dari bagian Cekungan Pleistosen Utara Makassar dari yang moderat lebih dari km sampai dengan yang raksasa lebih dari km Mayoritas longsor bawah laut yang membentuk deposit berasal dari pro delta Mahakam dengan arah condong ke selatan Brackenridge dan rekan rekannya mengatakan melihat dengan jelas bukti dari erosi arus laut terjadi transpor lateral dan deposisi kontur di sepanjang lereng bagian atas Itu menunjukkan Arus Laut Indonesia bertindak sebagai sabuk konveyor lembah yang panjang mengangkut sendimen ke selatan delta di mana laju sendimentasi menjadi cepat dan hasilnya lereng kemiringan semakin curam dari longsor bawah laut yang berulang Karena itu daerah itu berpotensi rawan tsunami yang ditimbulkan oleh tanah longsor bawah laut Kembali Brackenridge menjelaskan telah mengidentifikasi perbedaan antara fault rupture yang bersejarah memicu tsunami berlokasi sepanjang zona patahan Palu Koro dan distribusi dari deposit yang terpindahkan secara besar di bawah permukaan Jika identifikasi runtuhan besar baru tersebut tsunamigenik mereka bisa saja merepresentasikan bahaya yang sebelumnya terabaikan di wilayah tersebut Selat Makassar membentuk jalur laut dalam yang memisahkan Kalimantan dari Sulawesi Dengan lebar dari km hingga km dan panjang hingga km Sementara Cekungan Makassar Utara memiliki panjang km dan lebar km dengan kedalaman hingga m dan Cekungan Makassar Selatan menunjukkan kedalaman sama dengan panjang km dan lebar km Sedangkan dasar cekungan lincir tidak ada bukti gangguan tektonik Pemetaan seismik di lereng depan Delta Mahakam menunjukkan sejumlah besar fitur pengendapan air dalam termasuk saluran turbidit tanggul dan bentang serta deposit besar yang terpindahkan Berdasarkan studi analog deposit besar yang terpindahkan di tempat lain kemungkinan longsor bawah laut yang menghasilkan endapan yang dipetakan adalah tsunamigenik Gelombang yang dihasilkan dari longsor bawah laut yang dipetakan dalam penelitian itu dapat berdampak pada garis pantai Sulawesi dan Kalimantan di wilayah yang sebelumnya tidak terpengaruh oleh peristiwa sejarah Karena itu penting untuk memahami mekanisme pemicu peristiwa ini dan bahayanya Pekerjaan di masa depan akan bertujuan untuk membatasi penelitian pada frekuensi longsoran bawah laut yang memicu tsunami dan peran iklim dan permukaan laut sebagai pemicu longsor bawah laut Brackenridge dan rekan penelitinya mengusulkan pemodelan gelombang tsunami diperlukan untuk menguji skenario kegagalan kemiringan dan mengidentifikasi wilayah pesisir dengan risiko tertinggi Presiden konfirmasi ibu kota baru di Kalimantan Timur Oleh Virna P SetyoriniEditor Rolex Malaha 
"Yustina Neni, melawan COVID-19 dengan nasi kotak", Yogyakarta Yustina Neni fokus menata hidangan di Restoran Kedai Kebun yang terletak di Jalan Mantrijeron Kota Yogyakarta Dibantu dua karyawannya ia mengisi ratusan kotak kardus dengan nasi dan lauk pauk seragam secara berurutan Nasi kotak dengan menu mangut lele itu tampak nikmat dipadu dengan irisan mentimun serta daun singkong rebus Hidangan siap santap tersebut bukanlah pesanan para pelanggan restonya melainkan untuk dibagikan secara cuma cuma kepada warga terdampak COVID di Kota Gudeg itu Kami mampu membuat nasi kotak setiap hari kata Neni saat ditemui di restonya beberapa waktu lalu Menurut dia target kotak nasi setiap hari diukur berdasarkan perkiraan rata rata kapasitas tenaga yang dimiliki beserta empat karyawannya yang ikut membantu secara bergantian mulai pukul WIB hingga WIB Bagi perempuan kelahiran Yogyakarta Juni ini bekerja sosial di tengah pandemi COVID harus terukur dan jangan sampai terforsir atau terlalu lelah Kalau pulang terlalu capek malah bisa jadi penyakit kata dia sembari tertawa Inisiatif untuk membuka dapur umum COVID muncul setelah Restoran Kedai Kebun ia putuskan tutup sementara pada April Ini lantaran sudah tidak lagi ada pengunjung atau wisatawan yang mampir Untuk memutuskan tutup waktu itu kami masih melihat situasi pokoknya kami masih akan melayani sampai tamu terakhir kata perempuan yang pernah menjadi Direktur Yayasan Biennale Yogykarta ini Restoran Kedai Kebun Yogyakarta yang untuk sementara difungsikan sebagai dapur umum FOTO Luqman Hakim Restoran Kedai Kebun merupakan bagian dari Kedai Kebun Forum KKF yang tidak asing bagi pegiat seni di Yogyakarta Selain resto KKF juga terdiri atas galeri ruang pertunjukan dan toko buku Sebagai upaya memutus mata rantai penularan COVID seluruh agenda pameran atau pertunjukan seni pun telah ditiadakan sementara Meski lapak usahanya tutup Neni berprinsip bahwa nalar dan fisiknya tidak boleh ikut berhenti Keduanya harus terus tetap bergerak dan berkontribusi untuk sesama menghadapi COVID dengan menyiapkan makanan siap saji Kita harus tetap menjaga nalar harus berpikir dan kemudian harus memberikan sesuatu supaya seimbang kata dia Dapur umum di restoran Neni memang tak seperti dapur umum yang banyak ditemui di posko posko darurat Tak ada penanda khusus Hanya ada Neni dan dua pekerjanya yang silih berganti menyiapkan nasi kotak Aksi yang dilakukan Neni bekerja sama dengan gerakan sosial Aksi Dapur Berbagi yang diinisiasi para seniman pekerja kreatif pegiat budaya dan peneliti di Yogyakarta Saya mengajukan diri Pokoknya saya punya tenaga dan dapur kata dia Selain berperan memasok bahan bahan mentah yang diperoleh dari para donatur para sukarelawan Aksi Dapur Berbagi selanjutnya mendistribusikan nasi kotak dari Neni kepada masyarakat yang dinilai terdampak COVID Utamakan kualitas rasa Kendati tidak tahu pasti ratusan nasi kotak buatannya bakal dikonsumsi siapa saja ia memiliki prinsip bahwa menyajikan hidangan harus sepenuh hati dengan memperhatikan kualitas rasa Berbeda dengan saat memasak nasi bungkus untuk korban bencana erupsi Merapi menurut dia situasi saat ini cukup misteri karena dirinya tidak tahu bagaimana suasana hati dan selera para konsumen masakannya Ketika membuat masakan emosi dan jiwa itu harus selesai di sini karena begitu keluar kita enggak tahu untuk siapa kata dia Yustina Neni saat menyiapkan nasi kotak di Restoran Kedai Kebun Yogyakarta FOTO Luqman Hakim Ia bertekad agar menu yang ia sajikan hari ini tak akan berulang untuk hari berikutnya Sesekali Neni juga akan memilih menu menu masakan dengan cita rasa Indonesia Timur karena berdasarkan informasi yang ia terima sebagian nasi kotak darinya disalurkan untuk para mahasiswa Yogyakarta asal Indonesia bagian timur yang tak bisa mudik karena terjebak COVID Jadi supaya ada perasaan ingat kepada tanah kelahiran Misalnya untuk mahasiswa dari Nusa Tenggara Timur NTT mereka terbiasa makan jagung maka saya akan memasak dengan campuran jagung kata dia Persoalan rasa memang ia perhatikan secara mendetail karena diyakini memiliki fungsi untuk menjaga emosi dan perasaan penerima bantuan nasi kotak buatannya dalam situasi saat ini Musuh tak tampak Menurut Neni COVID merupakan musuh yang tak tampak sehingga harus dilawan dengan berbagai cara Keterbatasan ruang untuk melawan infeksi virus corona jenis baru itu harus ditempuh dengan kesungguhan termasuk dalam menyajikan hidangan bagi masyarakat terdampak Selain itu Neni yang juga pegiat seni ini memaknai kegiatan membuat nasi kotak sebagai salah satu perwujudan seni yang bersinggungan dengan aspek kemanusiaan Seni menurut dia tidak harus selalu berwujud dalam bentuk lukisan maupun membuat patung karena esensi berkesenian adalah berbagi keindahan Karena dalam berbagi ini kita sedang berbagi tentang keindahan kata dia Inisiator Aksi Dapur Berbagi Ignasius Kendal mengatakan Yustina Neni adalah satu di antara para pegiat seni dan budaya Yogyakarta yang bersedia terlibat dalam gerakan sosial ini Menurut Kendal nasi kotak sebagian didistribusikan sukarelawan Aksi Dapur Berbagi untuk para mahasiswa luar daerah di Yogyakarta yang terjebak tidak bisa mudik serta terkendala uang bulanan dari orang tua Selain itu gerakan itu juga menyasar pelaku seni yang juga terdampak pandemi Untuk makan siang dibagikan ke tenaga alih daya RSUP Sardjito RSUD Sleman kalau malam ke komunitas waria pengamen jalanan serta lansia di bantaran sungai kata Kendal Oleh Luqman HakimEditor Masuki M Astro 
