title,content
Kota Samarinda dikepung banjir di malam Lebaran, Sejumlah ruas jalan serta pemukiman warga di Ibu kota Provinsi Kaltim tersebut digenangi luapan air dan kondisi terparah terjadi di kawasan Kecamatan Samarinda Utara yang sempat memutus akses jalan menuju Bandara APT Pranoto Samarinda sejak Jumat Samarinda Wilayah kota Samarinda Kalimantan Timur kembali di kepung banjir pada malam Lebaran akibat curah hujan tinggi dalam beberapa hari belakangan Sejumlah ruas jalan serta pemukiman warga di Ibu kota Provinsi Kaltim tersebut digenangi luapan air dan kondisi terparah terjadi di kawasan Kecamatan Samarinda Utara yang sempat melumpuhkan akses jalan menuju Bandara APT Pranoto Samarinda sejak Jumat Saat ini genangan meluas di sejumlah titik langganan banjir seperti di Jalan dr Sutomo Jalan Pangeran Antasari dan kawasan simpang Sempaja Samarinda Tadi pagi genangan air hanya sebatas mata kaki tapi saat ini ketinggian air sudah mencapai lutut orang dewasa kata Sudarno warga Sutomo yang ditemui Sabtu malam Di lokasi tersebut terdapat Masjid yang sebagian halamannya juga ikut terendam banjir namun terlihat masih ada aktifitas panitia pembagian zakat dan masyarakat yang mengumandangkan takbir Sejumlah warga juga mulai memindahkan barang karena khawatir air akan masuk ke rumah warga Persiapan saja karena lebaran tahun lalu rumah kami terendam dan banyak barang yang rusak makanya kami siap siap pindahkan barang kata Marzuki warga di lokasi yang sama Sementara itu Kepala Badan Metereologi Klimatologi dan Geofisika BMKG Stasiun Kota Samarinda Riza Alfian Noor memperkirakan hujan masih akan terjadi pada periode hingga Mei mendatang Kami prediksinya musim kemarau paling cepat datang akhir Juni Itu daerah Kaltim bagian utara Untuk Samarinda diprediksi di akhir Juli baru kemarau Artinya warga masih harus tetap waspada ancaman banjir ujar Riza Riza menjelaskan masih tingginya curah hujan karena pola karakteristik pada masa transisi menimbulkan anomali cuaca Di mana dalam periode yang relatif pendek cuaca berubah 
Mentan tinjau lokasi di Kalsel untuk pengoptimalan lahan rawa, Optimasi lahan rawa kini jawaban untuk memastikan ketahanan pangan Indonesia terus terjaga di masa depanJakarta Menteri Pertanian Syahrul Yasin Limpo Sabtu meninjau dua lokasi lahan rawa di Kalimantan Selatan yang akan dilakukan pengoptimalan menjadi lahan pertanian guna meningkatkan produktivitas pangan Kedua lokasi rawa tersebut yakni di Desa Karang Indah Kecamatan Mandastana Kabupaten Barito Kuala dan Desa Manarap Baru Kecamatan Kertak Hanyak Kabupaten Banjar Diperlukan upaya optimasi lahan pertanian di lahan rawa dengan mengoptimalkan pertanian di lahan rawa menjadi lahan pertanian produktif yaitu melalui penataan sistem tata air dan penataan lahan kata Mentan Syahrul melalui keterangannya di Jakarta Sabtu Mentan menjelaskan saat ini luas baku sawah eksisting sebesar juta hektare ha telah dimanfaatkan secara maksimal Di sisi lain Indonesia memiliki potensi lahan rawa sebesar juta ha namun terdapat beberapa faktor pembatas dalam pengelolaannya Faktor pembatas dalam peningkatan indeks pertanaman dan produktivitas di lahan rawa antara lain tingkat kesuburan lahan yang rendah keasaman tanah yang tinggi dan rezim air yang fluktuatif dengan genangan air biasanya tinggi pada saat banjir pasang serta dangkal dan mengalami kekeringan pada saat musim kemarau Menurut Mentan infrastruktur lahan rawa dan air juga masih sangat terbatas dan belum berfungsi dengan optimal Biaya usaha tani di lahan rawa menjadi lebih tinggi daripada di lahan basah pada umumnya Rendahnya produktivitas tanaman di daerah rawa dapat disebabkan oleh kurangnya suplai air ke sawah dan pupuk dolomit untuk menyuburkan lahan Dengan teknologi riset pupuk yang bagus dan mekanisasi pertanian maka lahan rawa dapat dimaksimalkan Oleh karena itu kegiatan pengoptimalan lahan rawa berfokus pada perbaikan infrastruktur lahan dan air Hal itu dilakukan dengan prioritas pada kegiatan perbaikan tata air mikro rehabilitasi atau pembangunan pintu pintu air pembangunan atau pembenahan infrastruktur lainnya di lahan rawa serta peningkatan kualitas atau kesuburan lahan rawa Optimasi lahan rawa kini jawaban untuk memastikan ketahanan pangan Indonesia terus terjaga di masa depan Terutama dengan terus meningkatnya kebutuhan konsumsi masyarakat kata Syahrul Sementara itu Dirjen Prasarana dan Sarana Pertanian PSP Kementan Sarwo Edhy menjelaskan pada Provinsi Kalimantan Selatan dialokasikan kegiatan optimasi lahan rawa seluas ha di sembilan kabupaten Dengan teknologi lahan rawa mampu meningkatkan indeks pertanaman dari IP menjadi IP dan juga produktivitas manfaatnya terasa bahkan hingga dapat meningkatkan pendapatan petani Jika minimal luasan yang ditanam mencapai ha dengan provitas ton per hektare maka dapat menambah produksi mencapai ton Jika terus bisa dilakukan pertanaman kembali di musim tanam kedua program rawa ini dapat memberikan nilai tambah bagi petani kata Sarwo Ia menjelaskan lokasi lokasi yang masuk ke wilayah pengoptimalan lahan rawa akan mendapatkan bantuan sarana produksi pertanian seperti herbisida dolomit benih pupuk hayati dan bantuan lainnya dari pemerintah Program ini merupakan upaya peningkatan peran petani dan kelompok tani gabungan kelompok tani penumbuhan dan pengembangan kelompok tani untuk melaksanakan usaha tani serta pengembangan kawasan dan atau klaster berbasis korporasi petani Dengan pengelolaan air yang lebih baik harapannya sawah rawa bisa digarap sepanjang tahun baik musim kemarau maupun musim hujan Dengan begitu petani bisa tidak hanya menanam padi sekali dalam setahun tetapi dua atau tiga kali setahun jelas Sarwo 
Sebagian wilayah Jakarta diperkirakan hujan pada siang dan malam hari, Jakarta Badan Meteorologi Klimatologi dan Geofisika BMKG Selasa memprakirakan sebagian wilayah DKI Jakarta diguyur hujan dengan intensitas ringan hingga sedang pada siang dan malam hari Dikutip dari laman resmi BMKG pada pagi hari seluruh wilayah DKI Jakarta diprediksi cerah berawan Pada siang hari wilayah Jakarta Barat dan Jakarta Selatan diperkirakan akan hujan ringan sementara Jakarta Selatan akan diguyur hujan dengan intensitas sedang Sementara Jakarta Timur dan Jakarta Utara akan berawan adapun Kepulauan Seribu akan cerah berawan Pada malam hari hujan dengan intensitas ringan akan mengguyur wilayah Jakarta Barat Jakarta Selatan Jakarta Utara dan Kepulauan Seribu Sedangkan Jakarta Pusat dan Jakarta Timur diperkirakan berawan Adapun pada Rabu dinihari seluruh wilayah Jakarta diprediksi cerah berawan Suhu udara diperkirakan berkisar derajat Celsius yakni Jakarta Barat derajat Jakarta Pusat derajat Jakarta Selatan derajat Jakarta Timur derajat Jakarta Utara derajat dan Kepulauan Seribu derajat Sementara untuk perkiraan kelembaban udara di Jakarta Barat berkisar persen Jakarta Pusat persen Jakarta Selatan persen Jakarta Timur persen Jakarta Utara persen dan Kepulauan Seribu persen Pewarta Fathur RochmanEditor Sri Muryono 
Pemkot Banda Aceh perhatikan korban banjir di tenda pengungsian, Banda Aceh Pemerintah Kota Pemkot Banda Aceh tetap memperhatikan korban banjir terutama kebutuhan untuk berbuka dan sahur pada bulan suci Ramadhan di tengah wabah COVID Kita membawa sendiri bantuan bahan pokok untuk dapur umum Bantuan itu kita serahkan langsung ke Keuchik Kepala Desa Neusu Aceh Fauzi Usman kemarin ucap Wali Kota Banda Aceh Aminullah Usman di Banda Aceh Senin Bantuan tersebut terdiri dari beras air mineral telur ayam minyak makan gula sarden sambal kecap hingga roti untuk dikonsumsi bagi para korban banjir Pihaknya juga menyerahkan uang tunai sebesar Rp juta agar dapat dipergunakan untuk membeli lauk pauk dan sayur Meski dapat asupan dari dapur umum kata wali kota namun warganya korban banjir harus mengonsumsi ikan makanan bernutrisi dan kaya protein untuk menjaga imunitas tubuh di tengah pandemi COVID agar daya tahan tubuh terlindungi dari penyakit Walau di dapur umum tapi kita tidak harus makan telur dan mie instan saja Tetap makan ikan dan makanan bernutrisi agar daya tahan tubuh tetap terjaga Nanti koordinator tolong dibeli ikan agar dimasak dan dimakan bersama sama di sini kata Aminullah Terdapat kepala keluarga di Dusun Haji Nyak Syam Gampong Desa Neusu Aceh Kecamatan Baiturrahman Banda Aceh jadi korban banjir terparah akibat rumah mereka terendam genangan air karena curah hujan yang tinggi sehingga mengakibatkan sebagian wilayah Banda Aceh tergenang sejak Kamis Wali Kota sembari menyerahkan bantuan logistik juga sempat menginstruksikan agar Perusahaan Daerah Air Minum PDAM Tirta Daroy menyediakan air bersih terutama untuk kebutuhan dapur umum Tolong diantarkan segera karena habis zuhur aktifitas warga di dapur umum sudah dimulai Ratusan warga korban banjir harus bisa berbuka puasa dan sahur di sini kata wali kota kepada jajaran PDAM Tirta Daroy melalui sambungan telepon seluler Pemkot Banda Aceh juga memasangkan wastafel dan menyediakan sabun supaya warga selalu bisa mencuci tangan dengan bersih demi mencegah penularan COVID Ini saya ingatkan warga kita masih dalam kondisi pandemi COVID Tetap ikuti protokol kesehatan selalu pakai masker jaga jarak dan selalu mencuci tangan dengan sabun kata dia Wali Kota Aminullah menyemangati warganya dan meminta para korban banjir agar tetap bersabar menghadapi cobaan karena bencana bisa datang kapan saja Bencana bisa datang kapan saja tidak bisa dibendung Hanya saja kita harus selalu siaga agar bisa meminimalisir risikonya Saya harap kita semua tetap tabah sabar menghadapi ini Semoga semua ini cepat teratasi tutur Aminullah 
"Banjir Aceh Besar surut, warga mulai bersihkan rumah", masyarakat diminta untuk tetap waspadaBanda Aceh Banjir yang melanda Desa Garot Kecamatan Darul Imarah Kabupaten Aceh Besar sejak tiga hari terakhir telah mulai surut warga setempat juga kembali dari pengungsian ke rumah masing masing guna membersihkan lumpur sisa banjir Seorang warga Desa Garut M Diah Senin mengatakan debit air mulai surut sejak Minggu malam kemarin Rumah rumah warga yang sedikit lebih tinggi tidak lagi tergenang Air mulai surut sejak shalat Magrib kemarin Tapi rumah yang rendah masih berair Karena waktu pertama banjir daerah yang rendah debit airnya sampai setinggi dada dan leher orang dewasa katanya di Aceh Besar Banjir akibat intensitas hujan tinggi tersebut terjadi sejak Jumat pagi akibatnya menggenangi seribuan unit rumah warga dengan ketinggian air bervariasi mulai setengah meter hingga mencapai hampir dua meter di seluruh Aceh Besar Bahkan sekitar jiwa lebih masyarakat setempat terpaksa mengungsi di SD Negeri Garot Kabupaten Aceh Besar sebagai pusat posko pengungsian Namun ada juga warga yang mengungsi ke mushala dan rumah kerabatnya Kata Diah warga yang sempat mengungsi di SD Negeri Garot telah mulai kembali ke rumah mereka untuk membersihkan lumpur sisa banjir Ada masyarakat sudah pulang bersih bersih rumah kecuali yang rumahnya daerah rendah masih tergenang air belum dibersihkan ujarnya menjelaskan Sebelumnya Badan Penanggulangan Bencana Aceh BPBA menyatakan banjir di Aceh Besar menyebabkan rumah milik kepala keluarga terendam Kepala Pelaksana BPBA Sunawardi mengatakan genangan air di sejumlah ruas jalan wilayah Banda Aceh dan Aceh Besar disebabkan oleh guyuran hujan deras yang terjadi sejak Kamis lalu bukan karena luapan air sungai Banjir di sejumlah ruas jalan dan rumah warga dikarenakan air hujan yang turun meski begitu masyarakat diminta untuk tetap waspada katanya Pewarta Khalis SurryEditor Budhi Santoso 
Pemerintah Aceh salurkan bantuan untuk korban banjir Pidie Jaya, Kami hadir menyerahkan bantuan masa panik Pemerintah Aceh untuk disalurkan kepada warga terdampak banjirAceh Besar Pemerintah Aceh menyalurkan bantuan masa panik untuk warga yang terdampak banjir di sejumlah gampong desa di Kecamatan Meureudu Kabupaten Pidie Jaya Minggu Kepala Dinas Sosial Aceh Al Hudri mengatakan bantuan tersebut disalurkan untuk meringankan beban masyarakat yang saat ini tengah bekerja membersihkan kediaman mereka dari sisa genangan lumpur Kami hadir di sini untuk menyerahkan bantuan masa panik Pemerintah Aceh untuk disalurkan kepada warga terdampak banjir ujar Al Hudri saat menyerahkan bantuan yang diterima Wakil Bupati Pidie Jaya Said Mulyadi di Gampong Pante Beureune Kecamatan Meureudu Bantuan yang diberikan melalui Dinas Sosial Aceh tersebut terdiri dari kebutuhan dapur pakaian dan perlengkapan shalat Bantuan secara langsung dilakukan untuk Gampong Pante Beureune Sedangkan untuk sejumlah desa lainnya yang juga terdampak banjir akan disalurkan melalui Dinas Sosial Kabupaten Pidie Jaya Geuchik Gampong Pante Beureune Helmi mengatakan sejumlah desa di kawasan itu sempat tergenang banjir akibat tingginya curah hujan yang turun sepanjang Sabtu Ketinggian air di beberapa sudut desa mencapai hingga meter Dalam penyerahan bantan tersebut turut hadir Wakil Ketua I DPRA Dalimi Wakil Bupati Pidie Jaya Said Mulyadi Wakil Ketua PKK Aceh Dyah Erti Idawati Kepala Biro Humas dan Protokol Setda Aceh Muhammad Iswanto Wakil Ketua PKK Aceh Dyah Erti Idawati juga menyerahkan bantuan sembako untuk warga korban banjir di Gampong Pante Geulima Kecamatan Meureudu Bantuan yang bersumber dari donasi unaur PKK seluruh Aceh tersebut diterima Keuchik Pante Geulima Rahmadi Dalam kesempatan tersebut Pemerintah Aceh juga menyerahkan alat pelindung diri untuk Rumah Sakit Umum Daerah Pidie Jaya APD berupa perlengkapan baju dan field face atau pelindung wajah itu diserahkan oleh Dyah Erti Idawati yang juga Wakil Ketua Gugus Tugas Percepatan Penanganan Covid Aceh kepada pihak rumah sakit Pewarta M IfdhalEditor Agus Salim 
"Banjir rendam 15 desa di Pidie Jaya, satu rumah terbawa arus", Banjir akibat hujan dan angin kencang dengan intensitas tinggi melanda Kabupaten Pidie JayaBanda Aceh Sebanyak gampong desa di Kabupaten Pidie Jaya Provinsi Aceh terendam banjir dengan ketinggian hingga dua meter menyusul intensitas hujan tinggi Belum ada laporan korban jiwa atas bencana itu namun derasnya aliran air mengakibatkan satu unit rumah warga terbawa arus banjir Kepala Pelaksana Badan Penanggulangan Bencana Aceh BPBA Sunawardi Minggu mengatakan banjir mulai terjadi pada Sabtu sekitar pukul WIB ketika warga sedang menunaikan Shalat Tarawih Banjir akibat hujan dan angin kencang dengan intensitas tinggi melanda Kabupaten Pidie Jaya katanya di Banda Aceh Ia menjelaskan laporan sementara belum ada korban jiwa dalam bencana alam tersebut Namun satu unit rumah warga terbawa arus dengan ketinggian air banjir mulai centimeter hingga dua meter Beberapa desa yang terendam yakni Meunasah Lhok Mesjid Tuha dan Beurawang di Kecamatan Meureudu Serta Sesa Pohroh Babah Krueng Seunong Alue Keutapang dan Alue Blang Kuta Kecamatan Bandar Dua Selanjutnya Desa Beuringen Dayah Kruet Dayah Husen Blang Cut Pante Beureunee Meunasah Mancang dan Meunsah Raya di Kecamatan Meurah Dua Korban terdampak masih dalam pendataan Data sementara dua kepala keluarga dan selanjutnya dalam pendataan katanya Kepala Pelaksana BPBD Pidie Jaya Okta Handipa mengatakan banjir tersebut terjadi karena luapan sungai Krueng Mereudu daerah setempat Untuk kerugian warga masih masih dalam pendataan Menurutnya kondisi terakhir pada Minggu pukul dini hari air telah mulai surut BPBD Pidie Jaya dibantu SAR PMI TNI Polri serta relawan masyarakat langsung turun ke lokasi kejadian Melakukan evakuasi terhadap warga yang terjebak banjir Kita juga memberikan bantuan makanan sahur sebanyak bungkus untuk masyarakat terdampak katanya Pewarta Khalis SurryEditor Agus Salim 
Semburan diduga gas muncul dalam genangan banjir di Nagan Raya, Suka Makmue Warga di Desa Krueng Kulu Kecamatan Seunagan Timur Kabupaten Nagan Raya Sabtu petang dihebohkan dengan semburan diduga gas dalam genangan banjir di pekarangan rumah kepala desa di daerah ini Fenomena tersebut juga sempat direkam oleh sejumlah warga menggunakan kamera telepon pintar Ada dua titik semburan diduga gas jaraknya sangat berdekatan sekitar setengah meter di dalam genangan air kata Kepala Desa Krueng Kulu Kecamatan Seunagan Timur Kabupaten Nagan Raya Aceh Teuku Mahmuddin Sabtu malam Menurutnya selama ini semburan gas liar tidak pernah terjadi di desa mereka Namun pada Sabtu sore semburan yang menyebabkan gelembung air itu membuat beberapa warga kaget karena fenomena ini baru kali ini terjadi Memang saat dipegang oleh anak saya di atas semburan gelembung gas itu tidak terasa panas namun semburan gas dari dalam tanah masih terus terjadi kata Teuku Mahmuddin menambahkan Meskipun demikian ia mengaku tidak khawatir dengan fenomena alam tersebut dan berharap semburan diduga gas liar ini dapat segera berakhir Ia juga berharap fenomena gas liar ini agar dapat diselidiki oleh pihak terkait agar diketahui penyebabnya secara pasti Sampai Sabtu sore semburannya masih ada malam ini mungkin masih ada Karena sampai sekarang masih ada genangan banjir dan bisa terlihat katanya menuturkan 
1.193 rumah warga Aceh Besar terendam banjir, Banda Aceh Badan Penanggulangan Bencana Aceh BPBA menyebutkan sedikitnya unit rumah milik warga Aceh Besar terendam banjir akibat intensitas hujan tinggi yang melanda wilayah itu dan Banda Aceh sejak dua hari lalu Kepala Pelaksana BPBA Sunawardi Sabtu mengatakan genangan air di sejumlah ruas jalan wilayah Banda Aceh dan Aceh Besar disebabkan oleh guyuran hujan deras yang terjadi sejak Kamis lalu bukan karena luapan air sungai Banjir di sejumlah ruas jalan dan ribuan rumah warga yang terendam banjir dikarenakan air hujan yang turun sangat deras Namun demikian masyarakat harus tetap waspada katanya di Banda Aceh Kondisi terkini kata dia debit air sudah mulai surut Tidak ada korban jiwa dalam peristiwa itu namun ratusan warga terpaksa harus mengungsi akibat rumah mereka masih terendam air setinggi hampir satu meter Ia menambahkan data itu merupakan data sementara dan petugas BPBD Aceh Besar terus melakukan pendataan penanganan serta melakukan evakuasi terhadap warga yang terdampak banjir Saat ini korban mengungsi ada di dua titik yakni di SD Garot Kecamatan Darul Imarah sebanyak kepala keluarga atau jiwa dan di SD Makhad komplek perumahan Lampasie Eungking kepala keluarga katanya Sementara itu Ketua PKK Desa Garot Aceh Besar Cut Mutia Miranda mengatakan warganya yang telah mengungsi akibat banjir di tengah puasa Ramadhan itu sekitar jiwa lebih Tempat pengungsian warga terpusat di SD Garot namun ada juga beberapa warga yang memilih untuk mengungsi di mushalla dan tempat saudara atau rumah warga lain yang aman karena tidak mencukupi kalau semua di sekolah Insya Allah banyak pihak membantu dari dinas sosial ibu gubernur tadi pagi datang bupati berbagai macam pihak untuk meringankan beban warga Alhamdulillah sudah diserahkan kepada yang berhak menerima katanya Pewarta Khalis SurryEditor Endang Sukarelawati 
"Di saat pandemi, kelompok tani di Jakarta ternyata mampu tanam padi", Mungkin bertani padi di provinsi lain yang sawahnya masih luas adalah hal biasa namun menjadi luar biasa jika dilakukan di Kota Metropolitan JakartaJakarta Di tengah pandemi COVID serta diberlakukannya Pembatasan Sosial Berskala Besar PSBB sejumlah petani di wilayah DKI Jakarta ternyata mampu melakukan penanaman padi di areal persawahan yang masih tersisa di antara gedung gedung bertingkat Para petani yang tergabung dalam Kelompok Tani Poktan Kandang Besar tetap melakukan usaha tani baik budi daya padi ataupun hortikultura di Cakung Jakarta Timur Menurut Ketua Poktan Kandang Besar Wahono di Jakarta Sabtu semangat dan kegigihan mereka tetap menanam padi di tengah kondisi pandemik karena keinginan untuk membantu dalam melawan COVID Usaha yang dapat kami lakukan adalah dengan terus menanam padi untuk membantu menjaga stok pangan masyarakat katanya PSBB yang diterapkan oleh Gubernur Jakarta mengharuskan sebagian besar warga untuk beraktivitas dari rumah namun pengecualian bagi mereka yang bergerak di sektor pertanian yang mengharuskan tetap beraktivitas di lahan lahan untuk melakukan budi daya tanaman demi menjaga ketersediaan stok pangan masyarakat Selain untuk memenuhi stok pangan masyarakat kegiatan petani yang tetap berlangsung ini juga disebabkan karena kebutuhan keluarga mereka sendiri katanya Poktan Kandang Besar Ujung Menteng Cakung Jakarta Timur memiliki lahan garapan sawah yang berada di tengah tengah perumahan padat penduduk sekitar hektare Petani penggarapnya sebagian merupakan warga pendatang dari daerah Pantura Jawa Barat Balai Pengkajian Teknologi Pertanian BPTP Jakarta salah satu kepanjangan tangan Kementerian Pertanian Kementan yang ada di tiap provinsi turut melakukan pendampingan pada kelompok tani ini Kepala BPTP Jakarta Arifin Rivaie mengatakan pada musim tanam kali ini pihaknya mengenalkan varietas Padi Inpari dan Inpari Nutrizinc di Poktan Kandang Besar Inpari merupakan varietas turunan dari Ciherang dan memiliki keunggulan yakni potensi hasil mencapai ton hektare Gabah Kering Giling dan memiliki ketahanan terhadap penyakit hawar daun bakteri tahan blas dan agak tahan tungro katanya Sedangkan Inpari Nutrizinc merupakan padi dengan kandungan Zinc yang cukup tinggi lanjutnya yakni sebesar ppm sementara varietas lain seperti Ciherang hanya berkisar ppm Pada April lalu telah dilakukan kegiatan pindah tanam bibit padi varietas Inpari kemudian pada Mei juga dilaksanakan pindah tanam padi varietas Inpari Nutrizinc Menurut Wahono harapannya pada tiga bulan ke depan bibit bibit padi yang ditanam tersebut dapat memproduksi hasil panen sesuai dengan potensinya yaitu inpari inpari sekitar ton hektare dan Nutrizinc mencapai ton hektare Selain itu dia menambahkan bahwa wilayah Jakarta saat ini memiliki lahan garapan sawah yang semakin sedikit sehingga dengan konsistensi petani menanam maka usaha tani padi di Jakarta akan terus ada dan berjalan Mungkin bertani padi di provinsi lain yang sawahnya masih luas adalah hal biasa namun menjadi luar biasa jika dilakukan di Kota Metropolitan Jakarta katanya Pewarta SubagyoEditor Risbiani Fardaniah 
