title,content
Puncak aktivitas matahari diperkirakan 2024 picu gangguan komunikasi, Jakarta Peneliti Lembaga Penerbangan dan Antariksa Nasional Lapan Rhorom Priyatikanto mengatakan puncak aktivitas matahari diperkirakan akan terjadi pada dan berpotensi memicu gangguan komunikasi Puncak aktivitas matahari di dan diperkirakan puncaknya pun tidak terlalu tinggi hampir sama dengan dan kata peneliti astronomi dan astrofisika pada Pusat Sains Antariksa Lapan Rhorom Priyatikanto kepada Antara di Jakarta Selasa Ketika matahari berada pada fase puncak atau maksimum ketika aktivitas matahari tinggi potensi badai matahari tinggi dan cukup sering terjadi letupan di permukaan matahari Peristiwa itu akan berakibat pada gangguan komunikasi radio dan gangguan terhadap satelit Badai matahari pada fase puncak aktivitas matahari itu juga akan mengakibatkan penebalan atmosfer yang memicu satelit cepat jatuh Tetapi tidak ada dampak secara langsung pada kehidupan masyarakat awam Namun karena puncak aktivitas matahari pada diperkirakan tidak terlalu tinggi tidak ada pengaruh signifikan terhadap bencana alam di bumi Sementara pada saat ini sedang berlangsung fase minimum matahari yang merupakan kondisi periodik tahunan Dalam fase ini matahari dalam kondisi tenang Pada fase minimum matahari tidak muncul bintik matahari Fase minimum matahari itu tidak menyebabkan bencana alam di bumi Rhorom menuturkan fase minimum matahari ini tidak berkaitan dengan aktivitas vulkanik atau membuat gunung meletus Pewarta Martha Herlinawati SEditor Endang Sukarelawati 
"Peneliti Lapan: Matahari ""lockdown"" tidak sebabkan bencana", tidak ada bintik matahari yang teramati dalam beberapa hariJakarta Peneliti Lembaga Penerbangan dan Antariksa Nasional Lapan Rhorom Priyatikanto mengatakan fenomena Matahari lockdown tidak berdampak signifikan dan tidak menyebabkan bencana atau potensi bahaya tinggi di bumi Fenomena yang disebut sebut saat ini sebagai Matahari lockdown sebenarnya adalah fase minimum matahari di mana ini terjadi periodik sekitar tahunan Dampaknya terhadap bumi itu bisa dikatakan minim sekali tidak sampai menghasilkan pemanasan global atau sampai pendinginan global kata peneliti astronomi dan astrofisika pada Pusat Sains Antariksa Lapan Rhorom Priyatikanto kepada di Jakarta Selasa Rhorom menuturkan fase minimum matahari ini tidak berkaitan dengan aktivitas vulkanik atau menyebabkan gunung meletus Pada fase minimum matahari tidak muncul bintik matahari Saat ini matahari berada dalam kondisi tenang Kenampakan bintik matahari merupakan salah satu indikator yang paling utama terkait aktivitas matahari Jika semakin banyak bintik matahari maka aktivitas matahari semakin tinggi di mana potensi terjadi badai matahari dan ledakan ledakan kecil di permukaan matahari itu besar Sementara pada saat ini matahari itu berada dalam fase minimum artinya matahari dalam kondisi tenang hampir tidak ada bintik matahari yang teramati dalam beberapa hari ujar Rhorom Akan tetapi adakalanya matahari mengalami kondisi yang ekstrem atau luar biasa tenang Itu pernah terjadi pada peristiwa Maunder Minimum di awal abad ke dan Dalton Minimum di awal abad ke Pada saat itu selama beberapa siklus sekitar tahun matahari cenderung lebih tenang dibandingkan rata rata Akibatnya temperatur global mengalami penurunan derajat Celcius Pada peristiwa Dalton Minimum pada kondisi saat itu diperparah dengan kejadian letusan Gunung Tambora di Pulau Sumbawa Indonesia di mana abu dari letusan gunung itu sampai mencapai atmosfer sehingga memblokade radiasi matahari ke permukaan bumi Itu berefek pada pendinginan global yang lebih parah Bahkan tercatat dalam sejarah tahun bahwa tidak ada musim panas di beberapa daerah di Eropa Peristiwa fase matahari dengan kondisi luar biasa tenang itu juga menyebabkan terjadinya gagal panen krisis pangan dan berimbas pada resesi ekonomi saat itu Sedangkan pada saat ini Rhorom menuturkan meskipun matahari berada dalam fase minimum tapi matahari bukan pada kondisi yang ekstrem tenang sekali sehingga tidak bisa memicu penurunan suhu global sehingga tidak perlu kekhawatiran akan ada bencana seperti gagal panen dan tidak ada musim panas Fase minimum matahari itu kira kira kalau dalam catatan setahun atau dua tahun itu adalah fase minimumnya tuturnya Pada fase minimum matahari terjadi selama sekitar an hari dengan kondisi tanpa bintik matahari Pada fase minimum terjadi hampir hari tanpa bintik matahari Pada saat sekarang bintik matahari sudah mulai muncul sehingga bisa dikatakan tidak berada di titik bawah di fase minimum karena sudah mulai beranjak naik itu memang beberapa hari tidak ada bintik matahari tapi mulai muncul bintik matahari selang seling jadi secara statistik dalam catatan kita sedang terus bertambah tuturnya Meskipun saat ini tidak berada di titik terbawah fase minimum matahari akan tetapi peneliti masih menyatakan masa sekarang sebagai masa fase minimum matahari tambahnya 
"Kemarin, dentuman misterius di Jateng hingga pelonggaran PSBB", hingga Senin pukul WIB jumlah pasien sembuh dari COVID bertambah orang menjadi orangJakarta Terdapat sejumlah berita informatif dan menarik di bidang humaniora pada Senin kemarin yang masih layak disimak pada pagi hari ini mulai dari misteri suara dentuman di wilayah Jawa Tengah Juga pelonggaran aktivitas bagi penduduk di bawah usia tahun di tengah kebijakan PSBB pembaruan seputar COVID dan arahan Presiden Joko Widodo untuk percepatan penanganan COVID Berikut berita berita yang masih layak disimak Dentuman misterius di Jawa Tengah bukan dari gempa bumi Badan Meteorologi Klimatologi dan Geofisika BMKG memastikan bunyi dentuman yang terdengar di beberapa tempat di Jawa Tengah pada Senin dini hari bukan bersumber dari gempa tektonik Sebelumnya sejumlah warga di Jawa Tengah mendengar suara dentuman misterius yang entah berasal dari mana Di saat yang sama Gempa Lereng Merbabu pada Senin memiliki magnitudo magnitudo terjadi pagi hari pukul WIB Episenternya terletak pada koordinat LS dan BT dengan kedalaman tiga kilometer Warga Desa Sumogawe melaporkan gempa yang merusak beberapa rumah itu diikuti suara dentuman keras hingga membuat warga resah khawatir Gunung Merbabu akan meletus Baca penjelasan lengkap BMKG di sini Pemerintah perbolehkan penduduk dengan usia di bawah tahun lebih banyak beraktivitas Ketua Gugus Tugas Percepatan Penanganan COVID Doni Monardo menyatakan pihaknya akan memberi kesempatan kepada warga yang berusia di bawah tahun untuk beraktivitas lebih banyak dibanding sebelumnya Kebijakan tersebut diambil pemerintah dengan tujuan untuk mengurangi angka Pemutusan Hubungan Kerja PHK karena pandemi COVID Simak informasi lebih lanjutnya di sini Pasien sembuh COVID dari positif Juru Bicara Pemerintah untuk Penanganan COVID Achmad Yurianto mengatakan hingga Senin pukul WIB jumlah pasien sembuh dari COVID bertambah orang menjadi orang Data menunjukkan jumlah terkonfirmasi atau positif COVID hingga Selasa bertambah orang menjadi orang Ketahui informasi selengkapnya di sini Tiga arahan Presiden untuk percepat penanganan COVID Presiden Joko Widodo menekankan tiga hal untuk mempercepat penanganan pandemi COVID di Indonesia meliputi pengujian spesimen penanganan kepulangan tenaga migran dan percepatan produksi alat kesehatan dan obat COVID Ia mengatakan berkaitan dengan perbaikan total kecepatan pengujian spesimen PCR Presiden mendapatkan laporan bahwa kemampuan pengujian spesimen untuk PCR sekarang ini mencapai sampel perhari Simak arahan Presiden secara lengkap di sini Pewarta Aditya RamadhanEditor Agus Salim 
BMKG pastikan bunyi dentuman di Jateng bukan bersumber dari gempa, disebut sebut oleh warga muncul suara dentumanJakarta Badan Meteorologi Klimatologi dan Geofisika BMKG memastikan bunyi dentuman yang terdengar di beberapa tempat di Jawa Tengah pada Senin dini hari bukan bersumber dari gempa tektonik Perlu kami informasikan bahwa pada Senin pukul WIB sampai WIB disebut sebut oleh warga muncul suara dentuman setelah dilakukan pengecekan terhadap gelombang seismik dari seluruh sensor gempa BMKG yang tersebar di Jawa Tengah hasilnya menunjukkan tidak ada catatan aktivitas gempa yang terjadi di Jawa Tengah kata Kepala Bidang Mitigasi Gempa Bumi dan Tsunami BMKG Daryono di Jakarta Senin Dia menjelaskan jika sebuah aktivitas gempa sampai mengeluarkan bunyi ledakan artinya kedalaman hiposenter gempa tersebut sangat dangkal dekat permukaan dan jika itu terjadi maka akan tercatat oleh sensor gempa Sehingga kami memastikan sumber suara dentuman tersebut tidak berasal dari gempa tektonik jelasnya Saat ini BMKG mengoperasikan lebih dari sensor gempa dengan sebaran yang merata di Jawa Tengah Sehingga jika terjadi gempa di wilayah Jawa Tengah dan sekitarnya maka dipastikan gempa tersebut akan terekam selanjutnya diproses untuk ditentukan magnitudo dan lokasi titik episenternya guna diinformasikan kepada masyarakat Bunyi ledakan akibat gempa sangat dangkal lazimnya hanya terjadi sekali saat terjadi patahan batuan dan tidak berulang ulang seperti halnya peristiwa gempa dangkal yang mengeluarkan dentuman keras di Desa Sumogawe Kecamatan Getasan Kabupaten Semarang pada Februari Gempa Lereng Merbabu saat itu memiliki magnitudo magnitudo terjadi pagi hari pukul WIB Episenternya terletak pada koordinat LS dan BT dengan kedalaman tiga kilometer Seperti yang dilaporkan warga Desa Sumogawe gempa yang merusak beberapa rumah itu diikuti suara dentuman keras hingga membuat warga resah khawatir Gunung Merbabu akan meletus Lebih lanjut dia menjelaskan ada beberapa kemungkinan penyebab suara dentuman saat terjadi gempa Fenomena dentuman saat gempa dapat terjadi jika gempa memicu gerakan tanah berupa rayapan tiba tiba dan sangat cepat di bawah permukaan Kemungkinan lain berasosiasi dengan aktivitas sesar aktif dalam hal ini ada mekanisme dislokasi batuan yang menyebabkan pelepasan energi berlangsung secara tiba tiba dan cepat hingga menimbulkan suara ledakan Apalagi jika terjadinya patahan batuan tersebut terjadi di kawasan lembah dan ngarai atau di kawasan tersebut banyak rongga batuan sehingga memungkinkan suaranya makin keras karena resonansi Beberapa peristiwa gempa seperti gempa Bantul juga mengeluarkan bunyi dan sempat meresahkan warga saat itu Namun suara dentuman yang terjadi tadi pagi dipastikan bukan dari aktivitas gempa tektonik Pewarta Desi PurnamawatiEditor Zita Meirina 
BNPB: Terjadi 1.188 bencana hingga April 2020, Kejadian bencana yang paling banyak adalah banjirJakarta Kepala Pusat Data Informasi dan Komunikasi Kebencanaan Badan Nasional Penanggulangan Bencana BNPB Agus Wibowo mengatakan telah terjadi hingga April Kejadian bencana yang paling banyak adalah banjir diikuti angin puting beliung dan tanah longsor kata Agus saat dihubungi di Jakarta Rabu Hingga April meliputi kejadian banjir angin puting beliung dan tanah longsor Kejadian bencana yang lain adalah kebakaran hutan dan lahan empat gempa bumi tiga letusan gunung berapi dua gelombang pasang dan abrasi serta satu kejadian kekeringan Akibat kejadian bencana sebanyak orang meninggal dan delapan orang dilaporkan hilang Bencana juga menyebabkan orang mengungsi dan orang luka luka Bencana hingga April juga menyebabkan rumah rusak dengan perincian rumah rusak berat rumah rusak sedang dan rumah rusak ringan tuturnya Sedangkan fasilitas umum yang rusak mencapai unit dengan perincian fasilitas pendidikan fasilitas ibadah dan fasilitas kesehatan Selain itu bencana juga menyebabkan fasilitas perkantoran dan jembatan rusak Pewarta Dewanto SamodroEditor Zita Meirina 
Ahli sebut Gunung Slamet berpotensi meletus besar di masa mendatang, Yang penting adalah kesiapsiagaan dan kesadaran masyarakat sekitar bahwa mereka tinggal di daerah rawan bencanaJakarta Ahli vulkanologi Universitas Gadjah Mada UGM Dr Agung Harijoko mengatakan Gunung Slamet di Jawa Tengah berpotensi mengalami letusan cukup besar di masa mendatang Dari peta PVMBG Pusat Vulkanologi dan Mitigasi Bencana Geologi itu ada sampai daerah KRB Kawasan Rawan Bencana itu masuk ke arah Guci kata Agung dalam diskusi daring Memahami Aktivitas Gunungapi Busur Sunda dalam rangka ulang tahun ke Ikatan Ahli Geologi Indonesia IAGI di Jakarta Senin Namun demikian ia belum dapat memperkirakan kapan dan seberapa dahsyat letusan tersebut kemungkinan terjadi Ia mengatakan dilihat dari peta letusan yang mengarah ke Guci ia menemukan ada endapan awan panas yang cukup tebal yang secara materi disebut scoria atau dalam ilmu geologi disebut sebagai aliran scoria Di Guci sendiri saya menemukan sampai tujuh lapisan awan panas sehingga sebenarnya ada letusan yang menghasilkan awan panas yang alirannya mencapai Guci dan itu tidak hanya sekali tetapi sampai tujuh kali katanya Oleh karena itu ia menduga tentang kemungkinan adanya perulangan erupsi yang cukup besar di masa mendatang Jadi dari letusan Gunung Slamet yang terekam di Lembah Guci itu ada letusan besar Cuma kita tidak tahu perulangannya berapa lama lagi berapa tahun lagi Tapi potensi akan ada letusan besar di Slamet itu ada kalau melihat sejarah erupsi masa lalunya kata dia Untuk itu upaya mitigasi berupa monitoring seperti yang dilakukan oleh PVMBG memang sangat penting untuk dilakukan untuk tanda tanda dan tingkat kegempaan yang mengarah pada kemungkinan erupsi Namun yang lebih penting lagi menurut dia adalah bagaimana kesiapsiagaan masyarakat di sekitar gunung api tersebut Apakah masyarakat di sana cukup tahu tentang bahaya Gunung Slamet Yang penting adalah kesiapsiagaan dan kesadaran masyarakat sekitar bahwa mereka tinggal di daerah rawan bencana katanya Pewarta KatrianaEditor Agus Salim 
Mewaspadai Anak Krakatau, letusan Gunung Anak Krakatau yang terjadi sejak Jumat malam hingga April pukul WIB tidak memicu terjadinya kenaikan permukaan air lautJakarta Setelah tiga bulan hari jeda dan tak terdengar aktivitasnya Gunung Anak Krakatau di Selat Sunda kembali meletus pada Jumat malam pukul WIB hingga Sabtu pagi Letusan kali ini cukup kuat dan mengejutkan warga di beberapa provinsi Apalagi letusan ini terjadi di tengah kecemasan adanya wabah virus corona jenis baru COVID Sebelum letusan kali ini Gunung Anak Krakatau meletus dan menyemburkan kolom abu setinggi meter pada Selasa Desember pukul WIB Sejak itu vakum dan meletus lagi Jumat lalu Pusat Vulkanologi dan Mitigasi Bencana Geologi PVMBG Badan Geologi pada Kementerian Energi dan Sumber Daya Mineral ESDM mengamati adanya kolom abu tebal berwarna kelabu hingga hitam dengan tinggi meter di atas puncak atau sekitar meter di atas permukaan laut saat gunung itu meletus Kolom abu pada letusan akhir itu condong ke arah selatan Pada letusan April Anak Krakatau menyemburkan abu vulkanik sekitar meter di atas permukaan laut dpl Letusan atau erupsi tersebut terekam dalam seismograf dengan amplitudo maksimum mm Aplikasi Magma Indonesia magma vsi esdm id juga menyebutkan aktivitas seismik ditandai dengan erupsi tremor yang terjadi terus menerus Berdasarkan pantauan kamera pengawas atau CCTV pada Pos Pemantauan Gunung Anak Krakatau abu vulkanik berwarna hitam dan abu abu bergerak ke arah timur Ketinggiannya sekitar meter dari dasar kawah PVMBG menyebutkan tingkat aktivitas gunung itu berada pada Level II atau Waspada Dengan status itu masyarakat atau wisatawan tidak diperbolehkan mendekati kawah dalam radius dua kilometer dari kawah Rangkaian Ternyata letusan menjelang tengah malam tersebut merupakan awal dari rangkaian letusan berikutnya Badan Nasional Penanggulangan Bencana BNPB menyatakan berdasarkan laporan PVMBG letusan itu berlangsung hingga Sabtu pagi Letusan terus berlangsung sampai pada pukul WIB Kepala Pusat Data Informasi dan Komunikasi Kebencanaan Kapusdatinkom Badan Nasional Penanggulangan Bencana BNPB Agus Wibowo melalui keterangan pers yang diterima juga mengatakan letusan terekam di seismograf dengan amplitudo maksimum mm dan berdurasi sekitar menit detik Berdasarkan laporan Badan Penanggulangan Bencana Daerah BPBD Kabupaten Lampung Selatan tentang kondisi mutakhir di Kecamatan Rajabasa pada Sabtu April pukul WIB tidak tercium bau belerang dan debu vulkanik Hujan mulai turun dan masyarakat di sana terutama Desa Way Mulih Way Mulih Timur dan Kunjir sudah berangsur angsur kembali ke rumah masing masing Namun warga masih berjaga jaga dan ronda untuk memantau kondisi yang ada Sejumlah upaya telah dilakukan di antaranya oleh Tim Reaksi Cepat TRC BPBD Kabupaten Lampung yang telah menghubungi tim pemantau Gunung Anak Krakatau Menurut hasil pantauan tim tersebut status gunung tersebut masih Waspada Level II dengan aktivitas vulkanik yang sudah mulai mereda Sementara masyarakat diimbau untuk tidak panik Kemudian TRC BPBD Kabupaten Lampung Selatan juga menggunakan mobil pertolongan rescue untuk menyampaikan pengumuman kepada masyarakat agar tetap tenang karena aktivitas Gunung Api Krakatau sudah reda Personel TNI dan Polri masih siaga di masyarakat untuk membantu mengevakuasi warga Sedangkan aparat desa dan camat setempat sudah memberikan arahan kepada warga di wilayah daratan yang dekat dengan gunung di tengah laut itu Tsunami Letusan Anak Krakatau kali ini juga mengingatkan letusan dahsyat pada Desember Saat itu ratusan warga yang tinggal di pulau pulau terdekatnya harys dievakuasi ke Pulau Sumatera Mereka diangkut dengan kapal milik PT ASDP ke Pelabuhan Bakauheni sebelum ditampung di pengungsian di Kalianda Lampung Selatan Letusan tahun itu menimbulkan gelombang dahsyat tsunami yang menerabas permukiman di dekat pantai Saat itu tsunami dahsyat terjadi sepanjang pantai Pandeglang Provinsi Banten Tak sedikit orang meninggal dan permukiman pinggir pantai porak poranda Pada letusan kali ini menurut Badan Meteorologi Klimatologi dan Geofisika BMKG letusan Gunung Anak Krakatau yang terjadi sejak Jumat malam hingga April pukul WIB tidak memicu terjadinya kenaikan permukaan air laut Hasil monitoring muka laut menggunakan tide gauge di Pantai Kota Agung Pelabuhan Panjang Binuangen dan Marina Jambu menunjukkan tidak ada anomali perubahan muka laut Kepala Pusat Gempa Bumi dan Tsunami BMKG Rahmat Triyono menjelaskan berdasarkan hasil pemantauan monitoring muka laut menggunakan Radar Wera yang berlokasi di Kahai Lampung dan Tanjung Lesung Provinsi Banten tidak menunjukkan adanya anomali muka laut pada waktu yang sama Karena itu BMKG menyimpulkan bahwa letusan Gunung Anak Krakatau pada Jumat malam tidak memicu terjadinya tsunami Lemah Hasil monitoring kegempaan BMKG tepat pada saat terjadinya erupsi pukul WIB dan pukul WIB menunjukkan bahwa sensor BMKG tidak mencatat adanya aktivitas seismik Letusan kali ini berdasarkan catatan sensor BMKG lebih lemah dibandingkan erupsi yang terjadi pada Desember Namun demikian BMKG mencatat ada gempa di Selat Sunda berdasarkan hasil monitoring seismik pada pukul WIB hingga WIB baik eksisting maupun sensor baru yang dipasang pada Sensor seismik BMKG tersebut adalah CGJI di Cigeulis Banten WLJI di Wonosalam Banten PSSM di Pematang Sawah Lampung LLSM di Limau Lampung KASI di Kota Agung Lampung CSJI di Ciracap Jawa Barat dan KLSI di Kotabumi Lampung Hasil analisis BMKG terkait gempa tersebut menunjukkan terjadinya gempa tektonik di Selat Sunda pada pukul WIB dengan magnitudo dengan episenter terletak pada koordinat lintang selatan LS dan bujur timur BT Tepatnya di laut pada jarak kilometer km arah selatan barat daya Gunung Anak Krakatau di kedalaman km Warga Pasauran Cinangka di Kabupaten Serang hingga Carita di Kabupaten Pandeglang Provinsi Banten sempat mendengar suara dentuman saat terjadinya letusan Gunung Anak Krakatau Jumat malam Karena merasa khawatir akan terjadi tsunami seperti tahun sebagian warga mengungsi ke perbukitan Tsunami tahun itu menimbulkan trauma yang masih membekas Warga pun terus waspada karena berdasarkan pengalaman selama ini letusan Anak Krakatau berdurasi panjang Artinya frekuensinya rutin seperti rangkaian yang terus menerus meski skalanya kecil namun sekali waktu membahayakan Di tengah kecemasan akibat virus corona letusan Anak Krakatau menambah beban pikiran banyak warga Terutama mereka yang menjadi korban tsunami akibat runtuhnya Anak Krakatau pada Desember Tak berlebihan kiranya disandarkan harapan dan doa agar suasana yang sudah sulit seperti ini tidak bertambah sulit karena letusan Anak Krakatau Seperti yang sudah disampaikan jajaran pemerintah warga diharapkan untuk tetap tenang namun tetap menjaga kewaspadaan Aparat diyakini terus memantau situasi dan selalu berada di tengah masyarakat Oleh Sri MuryonoEditor Ganet Dirgantara 
"Anak Krakatau kembali meletus, warga Pandeglang di pesisir pantai panik", Gunung Anak Krakatau GAK kembali mengalami erupsi Jumat hingga Sabtu dini hari Letusan disertai luapan lahar itu membuat warga pesisir pantai di Kecamatan Sumur panik khawatir akan terjadi tsunami seperti pada tahun silam Rangga Eka Putra Rayyan Sizuka 
Merapi kembali semburkan abu vulkanik 3.000 meter, Gunung Merapi kembali meletus pada Jumat pagi pukul WIB dengan menyemburkan material vulkanik setinggi tiga ribu meter Dampak letusan itu berupa hujan abu vulkanik dengan intensitas rendah atau tipis yang mengguyur di sebagian wilayah Kabupaten Magelang dan Boyolali Firman Eko Handy Soni Namura Sizuka 
BPBD Sleman waspadai potensi runtuhnya kubah lava Merapi, Sleman Badan Penanggulangan Bencana Daerah BPBD Kabupaten Sleman Daerah Istimewa Yogyakarta mewaspadai potensi ancaman bahaya Gunung Merapi berupa luncuran awan panas dari runtuhnya kubah lava dan jatuhan material vulkanik dari letusan eksplosif karena semakin seringnya erupsi Gunung Merapi dalam beberapa waktu terakhir Hari ini Jumat kembali terjadi erupsi di Gunung Merapi pada pukul WIB Erupsi tercatat di seismogram dengan amplitudo mm dan durasi detik Teramati tinggi kolom erupsi kurang lebih meter dari puncak kata Kepala Bidang Kedaruratan dan Logistik BPBD Kabupaten Sleman Makwan di Sleman Jumat Menurut dia saat terjadi erupsi Gunung Merapi arah angin ke Barat Laut Hasil pantauan TRC BPBD Sleman hingga saat ini di wilayah Kabupaten Sleman nihil terjadi hujan abu Masyarakat tetap beraktivitas normal seperti biasa dan situasi kondusif terkendali katanya Ia mengatakan upaya yang dilakukan BPBD Sleman di antaranya melakukan pantauan situasi kondisi wilayah pascaerupsi dan antisipasi abu vulkanik Kami juga melakukan droping masker buah di pos KSM untuk warga dan petugas relawan di Kalitengah Desa Glagaharjo Cangkringan ucapnya Makwan mengatakan potensi ancaman bahaya saat ini berupa luncuran awan panas dari runtuhnya kubah lava dan jatuhan material vulkanik dari letusan eksplosif Area dalam radius tiga kilometer dari puncak Gunung Merapi agar tidak ada aktivitas manusia Kami minta masyarakat untuk mengantisipasi bahaya abu vulkanik dari kejadian awan panas maupun letusan eksplosif katanya Ia juga mengimbau masyarakat agar mewaspadai bahaya lahar terutama saat terjadi hujan di sekitar puncak Gunung Merapi Pewarta Victorianus Sat PranyotoEditor Endang Sukarelawati 
