title,content
Tim gabungan evakuasi badan pesawat milik MAF dari Danau Sentani, Jayapura Tim gabungan telah mengevakuasi badan pesawat milik Mission Aviation Fellowship MAF yang jatuh di Danau Sentani Selasa Memang benar bangkai pesawat sudah dievakuasi dari Danau Sentani Rabu kata Kabid Humas Polda Papua Kombes Ahmad Kamal di Jayapura Kamis Ia mengatakan dari laporan yang diterima terungkap badan pesawat PK MEC milik MAF yang jatuh saat terbang dari Sentani menuju Mamit Kabupaten Tolikara dievakuasi dari dalam danau Pengambilan badan pesawat dilakukan dengan cara menyelam yang berlangsung dari pukul hingga pukul WITA Badan pesawat kemudian dibawa ke kantor Yajasi di Sentani kata Kamal Pesawat PK MEC milik MAF yang dikemudikan Joice Lin mengalami kecelakaan dan jatuh ke Danau Sentani sesaat setelah take off dari bandara Sentani Jenazah pilot wanita berkebangsaan Amerika Serikat itu dimakamkan di Sentani Sabtu Pewarta EvarukdijatiEditor Endang Sukarelawati 
Pilot yang jatuh bersama Kobe tidak terpengaruh narkoba, Jakarta Hasil otopsi pilot helikopter almarhum Ara Zobayan yang membuat legenda NBA Kobe Bryant dan tujuh orang lainnya meninggal dunia karena kecelakaan dinyatakan bebas alkohol dan narkoba lapor beberapa media pada Jumat Pengujian toksikologis tidak mendeteksi keberadaan alkohol atau obat obatan terlarang Zat yang diuji meliputi benzodiazepin kokain fentanil heroin ganja opioid phencyclidine dan amfetamin kata laporan itu menurut TMZ seperti dilansir Reuters Kantor Pemeriksa Medis Wilayah Los Angeles merilis otopsi dari sembilan korban yang meninggal dalam kecelakaan Januari di Calabasas California Penyebab kematian adalah luka berat akibat trauma benda tumpul Kecelakaan di lereng bukit terjadi karena kabut tebal dan awan dan saat itu helikopter melaju mph dan mengakibatkan bagian tubuh korban terpotong Begitu juga dengan Kobe Bryant mengalami cedera di hampir seluruh tubuhnya Vanessa Bryant janda Kobe sebelumnya mengajukan gugatan terhadap Island Express Helicopters yang perusahaan yang helikopternya dioperasikan Zobayan Putrinya yang berusia tahun Gianna juga meninggal dalam kecelakaan itu Pada otopsi Kobe Bryant menunjukkan jika pada tubuh pria tahun terdapat kandungan Ritalin Obat ini biasanya mengobati hiperaktif dan narkolepsi Pada kecelakaan tersebut juga membuat dua rekan tim bola basket muda Gianna Bryant Alyssa Altobelli yang berusia tahun dan Payton Chester yang berusia tahun meninggal Begitu juga dengan orangtua Alyssa Altobelli pelatih baseball Orange Coast College John Altobelli usia dan istrinya Keri Altobelli dan ibu Payton Chester Sarah Chester Asisten pelatih basket Christina Mauser juga tewas Christopher Chester yang istri dan putrinya meninggal mengajukan gugatan terhadap perusahaan helikopter dan awal pekan ini Kobe Bryant lima kali menjadi juara NBA bersama Los Angeles Lakers selama musim kariernya Dia adalah pemain terbaik NBA pada beberapa kali masuk All Star hingga dua kali dinobatkan sebagai MVP NBA Final dan empat kali MPV All Star Pewarta Bayu KuncahyoEditor AA Ariwibowo 
Pesawat Casa CN A-2909 diduga ditembak menggunakan senjata M 16, Jayapura Pesawat Casa CN A diduga ditembak dengan senjata jenis M oleh orang tak dikenal otk sesaat hendak mendarat di bandara Oksibil ibukota Kabupaten Pegunungan Bintang Senin Komandan Lanud Silas Papare Sentani Marsekal Pertama Tri Bowo kepada Antara Senin mengatakan dari lubang yang terdapat di dinding pesawat diperkirakan karena peluru kaliber mm dari senjata api yang diduga berjenis M Namun untuk memastikannya masih perlu dilakukan penyelidikan termasuk apakah senjata api yang digunakan berasal dari helikopter MI yang jatuh dalam penerbangan Oksibil Sentani Juni lalu kata Marsekal Pertama Tri Bowo Kapendam XVII Cenderawasih Kol CPL Eko Daryanto secara terpisah mengaku belum bisa memastikan apakah senjata api yang digunakan berasal dari reruntuhan helikopter MI atau tidak Masih butuh penyelidikan intensif untuk memastikannya kata Kol CPL Eko Helikopter MI yang jatuh di wilayah Kabupaten Pegunungan Bintang membawa crew dan penumpang dengan pucuk senjata api berbagai jenis Saat evakuasi jenazah Sabtu ke pucuk senjata api tidak ditemukan di reruntuhan helikopter dan diduga sudah diambil masyarakat Pewarta EvarukdijatiEditor M Arief Iskandar 
"Positif corona, ini riwayat kegiatan terakhir Menhub Budi Karya", Menhub sempat berfoto dengan wartawan istana negara pada Maret Jakarta Menteri Perhubungan Budi Karya Sumadi dinyatakan positif terjangkit virus corona pada Sabtu Maret yang diumumkan langsung oleh Menteri Sekretaris Negara Pratikno Sebelum dinyatakan positif Menhub Budi Karya masih berkegiatan dalam dua minggu terkahir rinciannya kunjungan ke kantor Harian Rakyat Merdeka pada Februari kemudian meninjau proyek Kereta Cepat di Purwakarta dan Rancaekek Bandung Jawa Barat pada Februari Setelah itu Menhub Budi menghadiri acara diskusi Ibu Kota Negara di Hotel Sultan pada Februari Berlanjut kunjungan ke Luwu dan Toraja meninjau bandara pada Februari Pada Maret Menhub Budi menjemput awak kapal Diamond Princess yang di dalamnya terdapat penumpang positif corona dari Jepang Kemudian Menhub sempat berfoto dengan wartawan istana negara pada Maret dan terakhir pada Maret Menhub masih menghadiri rapat terbatas di Istana Negara serta bertemu perwakilan Belanda Sebelumnya Menhub Budi Karya Sumadi tengah menderita sakit tifus dan asma Beliau tengah dalam perawatan di rumah sakit karena penyakti tifus dan asma yang sudah lama diderita kata Staf Khusus Menteri Perhubungan Bidang Komunikasi Adita Irawati saat itu Mobilitas Menhub memang dikenal sangat tinggi Ia bisa melakukan kunjungan ke beberapa daerah dalam sehari seringkali menggunakan helikopter atau pesawat khusus Ia juga kerap kali bekerja tujuh hari seminggu tanpa libur untuk mengecek infrastruktur transportasi meskipun Ia memiliki riwayat sakit asma sejak lama Menhub jatuh sakit gejala tifus setelah beberapa waktu lalu melakukan rangkaian kunjungan kerja ke luar kota selama beberapa hari ke Toraja Luwuk Wakatobi Makassar Pare Pare Kertajati dan Indramayu Sementara ini tugas Menhub digantikan oleh Menteri Koordinator Bidang Kemaritiman dan Investasi Luhut Panjaitan Seperti sudah disampaikan Pak Mensesneg Menhub interim Luhut B Panjaitan Menko Maritim dan Investasi kata Adita 
"Jarang terlihat 2 minggu ini, Menhub dikabarkan sakit tifus dan asma", Beliau tengah dalam perawatan di rumah sakit Jakarta Menteri Perhubungan Menhub Budi Karya Sumadi dikabarkan sedang sakit tifus dan asma yang sudah lama diderita Beliau tengah dalam perawatan di rumah sakit karena penyakti tifus dan asma yang sudah lama diderita kata Staf Khusus Menteri Perhubungan Bidang Komunikasi Adita Irawati kepada Antara di Jakarta Sabtu Adita mengatakan saat ini Menhub Budi Karya Sumadi yang akrab disapa Pak BKS itu tengah mendapat perawatan intensif di sebuah rumah sakit Namun Ia enggan menyebutkan nama rumah sakit di mana Menhub Budi Karya dirawat Terkait isu Menhub diduga positif Corona Adita mengaku belum mendapatkan informasi tersebut hingga siang ini Sementara ini hanya informasi di atas yang saya dapat ujarnya Menhub dalam dua minggu terakhir jarang terlihat di lingkungan tempat Ia bekerja atau menghadiri agenda agenda penting di mana Ia seharusnya menjadi narasumber bersama menteri lain Agenda terakhir yang diwakilkan yakni pada Rapat Koordinasi Teknis Perhubungan Darat Senin dan menjadi pembicara pada Infrastruktur Outlook pada Senin di Kementerian Keuangan Mobilitas Menhub memang dikenal sangat tinggi Ia bisa melakukan kunjungan ke beberapa daerah dalam sehari menggunakan helikopter atau pesawat khusus Ia juga kerap kali bekerja tujuh hari seminggu tanpa libur untuk mengecek infrastruktur transportasi meskipun Ia memiliki riwayat sakit asma sejak lama Menhub Budi Karys jatuh sakit gejala tifus setelah beberapa waktu lalu melakukan rangkaian kunjungan kerja ke luar kota selama beberapa hari ke Toraja Luwuk Wakatobi Makassar Pare Pare Kertajati dan Indramayu Pewarta Juwita Trisna RahayuEditor Risbiani Fardaniah 
Deva Mahenra hingga Prabu Revolusi jatuh cinta pada TNI AU, Jakarta Sejak terlibat dalam film Serigala Langit Deva Mahenra Prabu Revolusi dan Thomas Edward Setiadi menjadi semakin cinta dengan TNI AU bahkan Deva ingin kembali ke masa lalu untuk bisa mendaftar sebagai tentara Selama proses syuting Serigala Langit para pemain berhubungan langsung dengan prajurit TNI AU dan pilot pesawat tempur Deva Thomas hingga Prabu pun takjub melihat kehidupan asli para TNI AU Sejak melihat bagaimana kegiatan mereka yang selama ini saya nggak tahu apa apa saya jadi makin cinta sama TNI AU dan sempat kepikiran andai umur saya seumuran Thomas tahun mungkin saya akan masuk AU sempat ada kepikiran ke sana kata Deva saat kunjungan media film Serigala Langit di Kantor Berita Antara Kamis Sementara itu Prabu mengaku kagum melihat penampilan para pilot pesawat tempur yang gagah Menurut Prabu pengalaman masuk ke dunia TNI AU sangat luar biasa sehingga dia tidak akan melarang jika suatu saat anaknya ingin menjadi anggota TNI Kalau anak saya nanti pengin jadi TNI AU saya enggak akan melarang Kita pinginnya begitu nonton film ini mereka akan melihat bahwa jadi pilot itu asyik jelas Prabu Serigala Langit mengambil lokasi syuting di Lanud Iswahyudi Madiun Kohanudnas TNI AU Jakarta dan Lanud Adisutjipto Yogyakarta Selain itu film juga menggunakan alat utama sistem senjata Tentara Nasional Indonesia Alutsista seperti pesawat F T i sukhoi boeing hercules helikopter caracal dan tim PASKHAS beserta perlengkapannya Film arahan sutradara Reka Wijaya ini bercerita tentang Gadhing Baskara Deva Mahenra pilot tempur di Skadron Serigala Langit Rasa percaya diri membuatnya jadi arogan Dia mendapat misi untuk mengawal sekaligus mengantarkan seorang perempuan asing bernama Helen Christina Danilla Tami Bunga Jelitha kemudian ditugaskan untuk mengantar Helen dengan pesawat Herkules dan misi tersebut haruslah berhasil Di sisi lain Gadhing mengagumi Tami dia pun bercerita pada Nadya Anya Geraldine teman masa kecilnya Film nama nama di atas film ini juga dibintangi oleh Yoshi Sudarso Dian Sidik Dede Yusuf Wanda Hamidah Damara Finch Randy Pangalila Sekar Sari Yayu Unru Cristina Surya dan Prabu Revolusi 
"Kecelakaan helikopter di Myanmar, Atase Pertahanan KBRI Yangon selamat", Jakarta Atase Pertahanan KBRI Yangon Kolonel Laut P Fajar Rusdianto dipastikan selamat setelah helikopter militer Myanmar yang ditumpanginya jatuh di bagian timur Myanmar Jumat Alhamdulillah beliau selamat Seluruh penumpang dan pilot juga selamat beberapa di antaranya mengalami luka ringan kata Direktur Perlindungan WNI dan BHI Kementerian Luar Negeri Judha Nugraha melalui pesan singkat Sabtu Helikopter yang membawa rombongan atase pertahanan kedutaan besar beberapa negara itu jatuh tidak lama setelah lepas landas dari desa Lwe Khan di utara negara bagian Shan Dua pilotnya terluka kata juru bicara militer Myanmar Zaw Min Tun kepada Reuters Para atase pertahanan sejumlah negara berada di wilayah tersebut untuk menghadiri konferensi pers di sebuah fasilitas yang diungkap oleh otoritas setempat sebagai pabrik narkoba Myanmar diketahui adalah produsen terbesar metamfetamina atau sabu sabu dan otoritas setempat sering kali memperlihatkan penangkapan atau pengungkapan berskala besar kepada media 
"Tentara Turki tewas, pasukan Suriah dan pemberontak bentrok di Idlib", Ankara Amman Pasukan pemerintah Suriah bertempur untuk merebut kembali Kota Idlib yang dikuasai pemberontak Senin dan seorang sumber dari Pemerintah Turki mengatakan Ankara akan berupaya memukul mundur tentara loyalis Presiden Bashar al Assad terlebih setelah tentaranya tewas oleh serangan udara pada pekan lalu Televisi milik pemerintah Suriah menyiarkan siaran langsung dari dalam Saraqeb wilayah timur Idlib yang diklaim telah dikuasai pemerintah Namun kelompok pemberontak menyangkal siaran tersebut karena mereka mengaku masih menguasai kota di tengah adu tembak antarkelompok Saraqeb telah mengalami pergantian kekuasaan sebanyak dua kali dalam waktu kurang satu bulan Wilayah itu merupakan titik penting karena diyakini sebagai pintu masuk menuju Kota Aleppo yang dikuasai pemerintah dan Kota Idlib di bagian barat yang berada di bawah kendali pemberontak Pihak oposisi Assad mengatakan pesawat nirawak drone milik Turki menyerang garis depan tentara Suriah di Saraqeb Serangan itu dinilai telah merusak dua peluncur rudal pemerintah Turki telah membantu pemberontak memerangi rezim Assad selama kurang lebih sembilan tahun Setelah tentaranya tewas di Idlib Turki meningkatkan intervensinya dalam konflik tersebut Militer Turki pada Minggu menembak jatuh dua pesawat milik pemerintah Suriah di Idlib serta merusak satu bandar udara militer di Aleppo Serangan Turki itu diyakini telah menggeser arena pertempuran lebih jauh ke wilayah yang dikuasai pasukan loyalis Assad Menteri Pertahanan Hulusi Askar mengatakan militer Turki juga telah merusak delapan helikopter sejumlah tank dan lima alat sistem pertahanan air Seluruh serangan Suriah telah dibalas oleh Angkatan Bersenjata Turki tanpa ada keraguan dan kami akan terus membalas kata Askar sebagaimana dikutip oleh kantor berita Anadolu Sementara itu Presiden Tayyip Erdogan dan Presiden Rusia Vladimir Putin dijadwalkan akan bertemu di Rusia Kamis untuk membuat kesepakatan terkait konflik di Idlib Rusia merupakan pendukung Presiden Assad sejak konflik Suriah berlangsung pada lima tahun lalu Ankara mengatakan pihaknya tidak ingin berkonflik dengan Moskow tetapi rangkaian serangan dari pasukan yang didukung Rusia di Idlib membuat banyak pihak khawatir akan ada konfrontasi langsung dari pihak Turki Pertemuan itu diharapkan menghasilkan jalan keluar kata seorang pejabat senior Turki Kelompok pemberontak yang didukung militer Turki mengatakan mereka telah menguasai sejumlah desa yang sempat dikendalikan pemerintah pada pekan lalu Pada awal Februari Presiden Erdogan menuntut militer Suriah menarik pasukannya dari zona de eskalasi pada akhir bulan Wilayah netral itu berada di sekitar Idlib dan telah disepakati oleh Turki Rusia dan Iran pada Jika tuntutan itu tidak dipenuhi Erdogan mengancam akan berupaya memukul mundur pasukan pemerintah Suriah dari wilayah tersebut Rezim Suriah akan dipaksa meninggalkan zona de eskalasi sebelum pertemuan antara Putin dan Erdogan tambah seorang sumber dari pihak oposisi Sumber Reuters Penerjemah Genta Tenri MawangiEditor Azis Kurmala 
Polisi rancang strategi hadapi KKB di Tembagapura, Timika Jajaran Kepolisian tengah merancang strategi untuk menghadapi ancaman Kelompok Kriminal Bersenjata KKB yang kini dilaporkan telah masuk ke area Distrik Tembagapura Kabupaten Mimika Papua Kapolda Papua Irjen Polisi Paulus Waterpauw di Timika Minggu mengatakan KKB yang terdeteksi berada di kawasan Distrik Tembagapura itu tidak saja dari kelompok Kali Kopi pimpinan Joni Botak yang sempat terlibat kontak tembak dengan pasukan Brimob pada Jumat petang tetapi juga diduga berasal dari kelompok lainnya di pedalaman Papua Ada beberapa kelompok yang sudah bergabung di sekitar Tembagapura itu Ini yang sedang kami dalami untuk bagaimana menghadapi mereka dalam kaitannya melakukan penegakan hukum kata Irjen Paulus Kapolda mengakui bergabungnya beberapa kelompok KKB ke wilayah Distrik Tembagapura itu bertujuan untuk mengganggu operasional PT Freeport Indonesia perusahaan pertambangan tembaga dan emas raksasa yang separuh sahamnya masih dimiliki oleh perusahaan Freeport McMoRan dari Amerika Serikat Dugaan kami mereka mau ganggu area pertambangan Freeport Di beberapa tempat mereka sudah mencoba mengganggu seperti di Puncak Jaya Puncak Wamena dan sekitarnya terakhir di Intan Jaya dan sekarang mereka mengarah ke Tembagapura khususnya di area PT Freeport termasuk ke wilayah Timika pada umumnya jelas Irjen Paulus Kapolda juga memastikan kelompok KKB yang sempat menyandera tiga orang guru SD Inpres Baluni Aroanop pada pertengahan Februari lalu itu juga yang terlibat kontak tembak dengan pasukan Brimob Satgas Nemangkawi pimpinan Ipda Dani Eko Setyawan hingga berujung pada gugurnya Bharatu Anumerta Doni Priyanto anggota Brimob Resimen III Jakarta pada Jumat petang Kapolda Papua menegaskan upaya penegakan hukum yang dilakukan oleh aparat kepolisian terhadap KKB di berbagai wilayah di Papua semata mata karena kelompok tersebut memiliki dan menggunakan senjata api untuk melakukan serangkaian aksi kekerasan teror dan intimidasi tidak saja kepada aparat TNI dan Polri aparat kampung atau desa tetapi juga kepada masyarakat sipil Kami akan terus melakukan penegakan hukum karena kami ialah aparat penegak hukum Kami tidak pernah menghendaki jatuh korban seperti ini baik dari pihak kami maupun dari pihak mereka Tapi ketika mereka melakukan intimidasi kekerasan menekan masyarakat dengan cara mereka kami harus menegakkan hukum karena negara ini kan harus aman termasuk di daerah kita ini jelas Irjen Paulus yang merupakan putra asli Papua itu Menurut Kapolda perburuan terhadap KKB di wilayah Tembagapura maupun daerah lain di Papua menghadapi banyak rintangan dan risiko baik karena kondisi geografis yang sulit faktor cuaca penguasaan medan dan lainnya Saat kontak tembak antara aparat Brimob dengan KKB pimpinan Jony Botak di Jipabera sekitar Kampung Aroanop Distrik Tembagapura pada Jumat petang itu tiga anggota KKB dilaporkan juga terkena tembakan oleh peluru aparat Kondisi ketiga anggota KKB tersebut hingga kini tidak diketahui nasibnya lantaran langsung dibawa lari oleh rekan rekannya Keberadaan KKB di kawasan Aroanop tepatnya di Kampung Baluni dan Jagamin baru diketahui setelah tiga orang guru yang bertugas di SD Inpres Baluni sempat disandera oleh kelompok separatis bersenjata itu sejak Februari hingga Februari Identitas tiga guru yang disandera KKB itu yakni Agustinus Sere Eustakhius Lafteuw dan Bonifantura Pakairuru Ketiganya berhasil menghirup udara bebas setelah ditolong oleh masyarakat setempat dan selanjutnya dievakuasi ke Timika awal pekan ini menggunakan helikopter milik Polri 
Pilot helikopter Kobe Bryant pernah mendapat peringatan tahun 2015, Jakarta Pilot helikopter yang terlibat dalam peristiwa tewasnya bintang basket Kobe Bryant dan delapan orang lainnya diketahui pernah mendapat peringatan dari otoritas penerbangan Amerika Serikat FAA pada sebuah insiden pelanggaran peraturan penerbangan tahun Dalam laporan yang dikeluarkan Reuters Sabtu disebutkan bahwa FAA memberikan peringatan bagi Ara Zobayan yang saat itu menggunakan helikopter bertipe AS karena melanggar peraturan penerbangan di kawasan sekitar Bandara Internasional Los Angeles Saat itu Zobayan mencoba meminta izin terbang dari bandara tersebut namun permohonan tersebut ditolak oleh pengendali lalu lintas udara ATC dengan alasan jarak pandang yang terbatas akibat cuaca buruk seperti yang ditunjukkan dalam catatan penerbangan yang dikeluarkan FAA hari Jumat Lebih lanjut laporan FAA itu menyebutkan saat komunikasi kedua pihak sedang berlangsung helikopter yang dipiloti Zobayan justru memaksa terbang di dalam ruang udara tanpa izin Laporan itu juga memberi saran apabila Zobayan secara benar merencanakan dan meninjau kondisi cuaca di Bandara Internasional LAX maka ia mampu mengantisipasi tindakan yang salah Koordinasi yang bagus seharusnya disertai inisiatif komunikasi lebih awal untuk memperoleh izin terbang tulis laporan tersebut Laporan itu juga menyebut Zobayan mengakui kesalahannya dan bertanggung jawab atas tindakan tersebut serta berkemauan untuk mengambil segala langkah yang diperlukan untuk memenuhi tanggung jawabnya Zobayan tewas bersama dengan Kobe Bryant putrinya yang berusia tahun Gianna dan enam penumpang lainnya Badan Keamanan Transportasi Amerika Serikat NTSB sebelumnya mengumumkan bahwa helikopter nahas yang ditumpangi Bryant terbang dalam kondisi berkabut di perbukitan di kawasan California bulan lalu dan tidak ditemukan permasalahan internal dari helikopter 
