title,content
Patrick Ewing ungkapkan medali emas Olimpiadenya dicuri orang, Jakarta Salah satu legenda NBA Patrick Ewing mengungkapkan bahwa dua medali emas Olimpiade serta satu cincin kejuaraan bola basket kampusnya dicuri orang dari rumahnya beberapa tahun silam Pada wawancara dengan program radio dan televisi Dan Patrick Show Ewing mengatakan medali emas yang ia menangi bersama timnas AS berjuluk The Dream Team pada Olimpiade merupakan salah satu barang yang dicuri Rumah saya di New York kecurian beberapa tahun yang lalu dan mereka mencuri medali medali saya kata Ewing seperti dikutip AFP Medali emas Olimpiade serta cincin juara NCAAnya bersama Universitas Georgetown juga dicuri Ewing yang saat ini merupakan pelatih kepala Georgetown mengatakan ia telah menemukan kembali cincin juara NCAA dengan membelinya kembali melalui transaksi di situs niaga eBay Perihal medali emas Olimpiade sosok yang lama membela New York Knicks itu mengatakan ia mendapatkan medali pengganti setelah menghubungi direktur bola basket NBA Jerry Colangelo Ia sangat baik kepada saya Ia merupakan orang hebat kata Ewing perihal Colangelo Dalam pandangan Ewing ia meyakini rumahnya telah diincar pencuri Terkadang rasanya menyebalkan untuk menjadi sosok yang dikenal banyak orang tuturnya Ewing bermain selama musim di NBA untuk Knicks Seattle Supersonics dan Orlando Magic Selain itu ia kali terpilih masuk dalam pertandingan All Star NBA Pewarta A Rauf Andar AdipatiEditor Aditya Eko Sigit Wicaksono 
Persik targetkan kemenangan atas Persiraja, Kami di kandang tentu bukan bermaksud takabur tapi ini kan target yang normalKediri Tuan rumah Persik Kediri Jawa Timur menargetkan meraih tiga poin saat menjamu Persiraja Banda Aceh dalam pertandingan Liga di Stadion Brawijaya Kediri Jawa Timur Sabtu Kami realistis mau kemenangan Kami di kandang tentu bukan bermaksud takabur tapi ini kan target yang normal kata Pelatih Persik Kediri Joko Susilo di Kediri Jumat Ia menambahkan semua pemain dalam keadaan sehat namun ada dua yang tidak bisa diturunkan yakni Andri Ibo dan Dimas Galih Pratama Untuk pemain lainnya kondisinya siap fight sehingga saat pertandingan nanti bisa tampil semaksimal mungkin Dirinya juga mengaku sudah menyiapkan strategi permainan dengan beberapa opsi Untuk itu dia meminta para pemainnya agar cepat beradaptasi situasi dan membangun kerjasama tim yang baik Kami tentu punya opsi utama dan kalau kemarin saya harus adaptasi dulu pada situasi pemain yang baru datang untuk pertandingan ini sudah tidak ada alasan lagi Tim yang kuat adalah tim yang beradaptasi dengan semua situasi Mau komplet atau tidak mau hujan atau tidak harus siap Tidak ada alasan lagi apapun situasinya harus adaptasi dengan situasi baik cara bermain maupun dengan perubahan lawan Saya sudah tekankan ini ke pemain kata Joko Soal strategi melawan Persiraja Joko mengaku sudah menyiapkannya dan menyampaikan ke semua pemain sehingga semua tinggal diimplementasikan dalam pertandingan nanti Ia juga menambahkan dalam skema permainan tidak monoton menjalankan tugasnya semisal gelandang bertahan yang hanya bertahan saja atau penyerang hanya menyerang namun semua yang bermain di Persik harus bisa menyerang dan bertahan Ady Eko Jayanto salah seorang pemain Persik mengatakan bahwa perolehan poin penuh di kandang merupakan target yang harus dicapai Kami wajib tiga poin Sebelumnya kami kecurian satu poin jadi mau tidak mau harus tiga poin untuk besok melawan Persiraja dan itu harga mati kata Ady Eko Pewarta Asmaul ChusnaEditor Junaydi Suswanto 
"Fasilitas di sejumlah huntara di Palu, Sigi dan Donggala dicuri", Palu Ada saja tindakan kriminal yang dilakukan oknum oknum tidak bertanggungjawab di hunian sementara huntara untuk pengungsi korban gempa tsunami dan likuefaksi di Kota Palu Kabupaten Sigi dan Donggala Sulawesi Tengah Baru baru ini fasilitas fasilitas huntara yang dibangun oleh Kementerian Pekerjaan Umum dan Perumahan Rakyat PUPR yang tersebar di tiga daerah terdampak bencana September hilang dicuri Yang dicuri seperti kran air lampu dan pintu Yang dicuri fasilitas huntara yang ada di Palu Sigi dan Donggala Belum lama ini ada sekitar pintu di huntara di Kabupaten Sigi kalau tidak salah di Desa Binangga yang hilang dicuri kata Pejabat Pembuat Komitmen PPK Penanganan Darurat Bencana Gempa Bumi dan Tsunami di Sulteng pada Balai Prasarana Permukiman Wilayah Sulawesi Tengah III Kementerian PUPR Zulfikar di Palu Senin Ia sangat menyesalkan kejadian tersebut Di saat para pengungsi korban bencana membutuhkan hunian untuk sementara waktu ada oknum oknum yang tega mencuri fasilitas fasilitas di sana Penyebabnya karena huntara huntara yang fasilitasnya dicuri itu masih kosong Belum dihuni Padahal huntaranya sudah selesai dibangun Kalau sudah diisi oleh pengungsi pasti tidak akan kecurian ujarnya Zulfikar mengimbau Pemerintah Kota Palu Pemerintah Kabupaten Sigi dan Donggala mengarahkan para pengungsi yang masih bertahan di tenda tenda pengungsian agar segera mengisi huntara huntara yang masih kosong Bukan hanya kecurian fasilitas saja jika huntara huntara tersebut tidak dihuni tambahnya fasilitas fasilitas di sana akan rusak karena tidak dirawat Kita sudah sampaikan kepada Pemkot Palu Pemkab Sigi dan Donggala setiap pertemuan karena itu ranahnya mereka Kami hanya sebatas membangun Faslitas fasilitas yang hilang itu sudah kami laporkan kepada Babinkamtibmas di sana jelasnya Pewarta Muhammad ArshandiEditor Ruslan Burhani COPYRIGHT 
Alat pendeteksi gempa BMKG di Sigi dicuri, Alat pendeteksi gempa sesar Palu Koro milik Badan Meteorologi Klimatologi dan Geofisika Stasiun Geofisika Klas I Palu Sulawesi Tengah yang berada di Desa Pombewe Kabupaten Sigi Sulawesi Tengah hilang dicuri orang Kehilangan itu membuat BMKG rugi ratusan juta Rupiah Rangga Musabar Dudy Yanuwardhana Gracia Simanjuntak 
"Dua pencuri rumah kosong dibekuk, salah satunya gasak uang Rp240 juta", Jakarta Subdit Resmob Direktorat Reserse Kriminal Umum Polda Metro Jaya menangkap tersangka dari dua kelompok pencuri spesialis rumah kosong di mana salah satunya berhasil menggasak uang hingga Rp juta Kabid Humas Polda Metro Jaya Kombes Argo Yuwono Rabu mengatakan dua kelompok ini sama sama beraksi di wilayah Bekasi Untuk kasus yang pertama sekitar bulan Mei ada laporan ke Polres Bekasi korban merasa rumahnya kecurian Rumahnya itu ditinggal pergi lalu dicuri kata Argo Dalam kasus tersebut tersangka yang berinisial OM dengan peran sebagai eksekutor akhirnya ditangkap di rumah kontrakannya di wilayah Jakarta Utara pada Juli lalu Saat pemeriksaan OM mengaku baru dua kali beraksi Namun tersangka lain yang berinisial S dan berperan sebagai joki masih diburu Mereka biasanya berdua naik motor berdua sore sore mencari sasaran rumah kosong Dia kan sudah pengalaman observasi rumah kosong Kalau sudah tahu rumah kosong pelaku berhenti dan mengawasi kiri dan kanan apakah ada orang atau tidak ucap Argo Dalam menjalankan aksinya OM yang berperan sebagai eksekutor mulanya mencongkel kaca jendela rumah Saat melakukan aksi di kediaman korban yang berada di wilayah Pondok Ungu Kota Bekasi OM berhasil mengambil ponsel korban dan uang dolar senilai Rp juta Dia memanfaatkan barang barang yang dicuri entah itu dijual dan ada uang ya dibagi katanya Kelompok kedua Sementara untuk kasus dari kelompok kedua Argo menjabarkan bahwa kasus pencurian rumah kosong tersebut terjadi pada bulan April lalu dan juga sama sama terjadi di Bekasi Ini sama kasus daerah Bekasi di Pulo Gede Kota Bekasi Dia ini pemain tunggal jadi pemetik dan dia joki juga Dia sama modusnya observasi dan memastikan betul rumah itu nggak ada orangnya kata Argo Tersangka DH disebut Argo sudah beraksi sebanyak kali Ia menggunakan kunci kunci untuk melancarkan aksinya Dia punya banyak kunci untuk mencoba satu satu pasti ada yang nyantol katanya kata Argo Atas aksinya DH berhasil mencuri uang senilai Rp juta dan belasan jam tangan berbagai merek hingga laptop Tersangka DH ditangkap pada Juli di rumah tersangka di kawasan Jakarta Timur Atas perbuatannya kedua tersangka yakni OM dan DH dikenakan Pasal KUHP dan terancam hukuman tujuh tahun penjara 
PSIS tak ingin kehilangan poin lawan Persela, Magelang Tim tuan rumah PSIS Semarang tidak ingin kehilangan poin saat menjamu tim Persela Lamongan dalam kompetisi Liga yang bakal digelar di Stadion Moch Soebroto Kota Magelang Sabtu malam Kami sudah sepakat dengan para pemain untuk tidak kehilangan poin pada pertandingan besok kita akan lebih kerja keras lagi sehingga bisa meraih poin kata pelatih kepala PSIS Semarang Jefri Sastra di Magelang Jumat Dalam pertandingan sebelumnya saat menjamu Barito Putera PSIS kecurian satu poin dengan bermain imbang dan pada laga perdana Liga saat menjamu Kalteng Putra PSIS dipermalukan dengan skor Kami sudah bicara dengan semua pemain jangan sampai terulang harapannya sebagai tuan rumah besok bisa meraih poin katanya Jefri mengatakan persiapan untuk menghadapi Persela telah memanfaatkan kesempatan empat hari untuk latihan sebaik mungkin guna membenahi yang masih menjadi kekurangan kemarin Persiapan hingga Jumat pagi kita kondisinya siap tempur kondisi pemain juga tidak ada masalah katanya Sementara pemain PSIS Komarudin mengatakan untuk pertandingan besok para pemain akan lebih bekerja keras lagi Untuk pertandingan besok kami optimistis bisa meraih hasil penuh katanya Ia menuturkan setiap pemain ingin mendapat poin penuh apalagi bermain di kandang sendiri setiap laga adalah final maka harus memenangi pertandingan Caretaker pelatih Persela Lamongan Ragil Sudirman mengatakan persiapan menjelang lawan PSIS tidak ada masalah Kami tekankan pada para pemain dari lini belakang tengah sampai depan supaya tetap bermain disiplin mudah mudahan bisa curi poin katanya Pewarta Heru SuyitnoEditor Atman Ahdiat COPYRIGHT 
Plafon terbaru Masjid Terapung Makassar untuk Ramadhan 1440 Hijriah, Makassar Masjid Amirul Mukminin atau lebih sering disebut Masjid Terapung Makassar semakin tampak dinamis dengan plafon baru yang menghias langit langit masjid untuk menyemarakkan Ramadhan Hijriah Bendahara Yayasan Masjid Terapung Makassar Anshari di Makassar Minggu mengungkapkan alasan renovasi plafon karena keadaan hawa laut dan rembesan air hujan yang mengenai plafon lama sehingga mengakibatkan gipsum plafon mengkristal lalu melepuh dan hancur Karena gipsumnya mengkristal melepuh dan hancur makanya diganti dengan plafon dengan bahan plastik kata dia Pengerjaan langit langit masjid dua lantai itu memakan waktu selama sebulan dengan anggaran sebesar Rp juta Hasilnya pengerjaan plafon telah rampung sepekan menjelang Ramadhan Jadi kita tidak mengganti tetapi hanya mengubah Semuanya tetap sama tetapi bahan yang kita gunakan lebih tahan dengan hawa air laut yang ada di sekitar masjid kata dia Pelaksanaan ibadah Ramadhan sepekan terakhir kata Anshari berjalan lancar Keamanan dan ketertiban selama pelaksanaan bulan penuh berkah dianggap sangat aman Pihak pengurus masjid menyiapkan CCTV sekaligus terus mengimbau jamaah untuk menjaga barang bawaannya sebelum shalat Alhamdulillah tahun kemarin tidak ada kecurian Semoga seterusnya begitu kata dia Selain itu menu buka puasa yang disiapkan panitia ramadhan masjid asuhan mantan Wali Kota Makassar Ilham Arif Sirajuddin itu bagi jamaah telah mencukupi Selain pihak hotel yang secara bergantian membawa takjil ke Masjid Terapung Makassar juga sering hadir partisipasi warga setempat yang tidak terduga Kalau majelis taklim di bawah naungan Bu Aliyah istri Ilham Arif Sirajuddin red sudah rutin tiap tahun bawa takjil ke sini kata dia 
Sekolah penyelenggara UNBK di Makassar gelar ronda malam, Makassar Sejumlah sekolah penyelenggara ujian nasional berbasis komputer UNBK di Kota Makassar Sulawesi Selatan melakukan ronda jaga malam untuk menjaga keamanan fasilitas infrastruktur pelaksanaan ujian siswa siswi sekolah menengah atas SMA terutama pada jeda waktu pelaksanaan ujian hari ketiga sampai keempat Sejumlah pihak sekolah penyelenggara UNBK di Makassar Kamis mengatakan persiapan ekstra itu dilakukan untuk mengantisipasi berbagai masalah utamanya pada pengamanan infrastruktur yang digunakan saat ujian seperti komputer laptop dan server Kepala SMAN Makassar Dra Masyita mengatakan pengamanan semakin diperketat bukan hanya pada malam hari tetapi juga siang hari dengan cara membagi tugas jaga bagi para guru di sekolah itu Tugas jaga bagi guru laki laki dilakukan setiap malam hari sedangkan guru perempuan pada waktu siang hari ujarnya Menurut dia pihak sekolah itu sudah melayangkan surat tugas kepada para guru untuk penjagaan dan ronda agar ada rasa tanggung jawab terutama bagi guru guru laki laki sedangkan guru perempuan bertanggung jawab menyiapkan konsumsi selama penjagaan Jadi siang juga tetap kita amankan karena berdasarkan pengalaman sebelum ujian kemarin ada beberapa sekolah swasta mengalami kecurian katanya Penjagaan intensif tersebut juga dibantu oleh pihak aparat keamanan dan ketertiban masyarakat setempat pihak kepolisian dan satuan pengamanan satpam sekolah Sebenarnya kami dari pihak penyelenggara merasa sedikit khawatir dengan pengamanan laptop server dan sebagainya Kan tanggung jawabnya ke kami katanya Peserta UNBK di SMA Makassar sebanyak siswa menggunakan empat ruangan yang dibagi dalam tiga sesi Suasana pelaksanaan Ujian Nasional Berbasis Kompetensi UNBK yang tengah berlangsung di SMAN Makassar Kamis FOTO HO Nur Suhra Wardyah Senada dengan itu Kepala SMA Makassar Supardin mengatakan pihaknya telah menyurati dan memperbanyak koordinasi dengan pihak kepolisian dan Koramil setempat sebagai bentuk antisipasi pengamanan selama masa jeda empat hari ujian ini Pokoknya kita tidak boleh lengah Malam hari kami juga memaksimalkan penjagaan dari guru guru dan satpam di sini dalam waktu jam ujarnya Di tempat berbeda Kepala Dinas Pendidikan Sulawesi Selatan Irman Yasin Limpo menyatakan hal inilah yang memang harus dilakukan pihak sekolah dengan berkoordinasi kepada pihak pihak terkait Ia mengatakan upaya antisipasi yang dilakukan pihak sekolah tersebut sangat penting untuk menjamin keamanan dan kelancaran pelaksanaan ujian di sekolah masing masing Pewarta Laode MasrafiEditor Arief Mujayatno COPYRIGHT 
"Lagu ""Despacito"" bertahan 100 minggu di tangga lagu Billboard", Jakarta News Penyanyi Luis Fonsi dan Daddy Yankee tengah merayakan pencapaian baru lagu Despacito yang berhasil bertahan selama minggu di tangga lagu Hot Latin Songs Billboard Lagu yang menampilkan Justin Bieber ini juga sukses berada di urutan ketiga dalam tangga lagu Hot Latin Songs selama tujuh minggu terakhir berturut turut Ketika saya menulis Despacito saya tidak akan pernah berpikir bahwa dua tahun kemudian akan tetap berada di puncak tangga lagu kata Luis Fonsi dilansir Billboard Rabu Tangga lagu Hot Latin Songs Billboard berisikan lagu lagu latin paling populer selama seminggu yang diambil berdasarkan data penjualan dan streaming Sejak Despacito memulai debutnya di urutan kedua tangga lagu Hot Latin Songs pada Februari lalu lagu ini terus meraih respon positif dengan tingkat streaming yang cukup tinggi Despacito bahkan berhasil meraih menduduki posisi puncak tangga lagu hanya dalam minggu ketiganya pada Februari Lagu ini tetap stabil di urutan besar di tangga lagu turun di posisi terendah pada posisi selama periode minggu Dari data terbaru Nielsen Music lagu Despacito menghasilkan juta klik hingga tanggal Desember Pencapaian ini membuat Despacito menempati posisi kedua sebagai lagu yang mampu bertahan diatas minggu Posisinya berada dibawah lagu Propuesta Indecente dari musisi Romeo Santo yang mampu bertahan hingga minggu di tangga lagu Hot Latin Songs Billboard 
Menjaga petani dari godaan rupiah, Makassar News Indonesia sejak dulu dikenal sebagai negara agraris karenanya mayoritas penduduk pada zamannya menggantungkan hidupnya sebagai petani Anugerah Tuhan Yang Maha Esa berupa kekayaan alam serta letak geografis Indonesia yang dinilai begitu strategis sebab berada di daerah tropis dengan intensitas curah hujan yang tinggi membuat beragam jenis tumbuhan dapat hidup dengan subur dan cepat dinikmati hasilnya sehingga menjadi alasan kuat mengapa masyarakat lebih tertarik menjadi seorang petani Namun seiring perkembangan zaman yang serba cepat dengan pembangunan yang begitu berkembang khususnya di daerah perkotaan seperti di Sulawesi Selatan memunculkan tantangan tersendiri bagi keberlangsungan hidup para petani Seperti Kota Makassar yang terus mengalami perkembangan pembangunan yang pesat memberikan berbagai dampak bagi masyarakat Masyarakat kemudian berani mulai meninggalkan profesinya sebagai petani dan mencoba mencari pekerjaan baru di perkotaan seperti menjadi tukang bangunan tukang ojek buruh hingga memilih pekerjaan jual beli Keputusan masyarakat juga bukan semata karena pemikiran ekonomi hal itu juga disebabkan semakin berkurangnya lahan yang bisa digarap akibat pembangunan khususnya di Kota Metropolitan Mamminasata Makassar Maros Sungguminasa dan Takalar Tidak sedikit sawah petani kemudian dijual ke pengusaha properti untuk selanjutnya dialih fungsikan sebagai perumahan Selain lahan yang sempit persoalan kondisi alam atau musim penghujan yang tidak menentu di Sulsel belakangan ini membuat petani sawah tadah hujan semakin kesulitan untuk menentukan kapan memulai penaman padi Sebab jika salah perhitungan atau tidak sesuai prediksi maka tanaman akan mengalami kekeringan atau menderita gagal panen yang tentu sangat merugikan para petani Sulitnya atau mahalnya harga pupuk juga menjadi salah satu persoalan yang membuat petani berfikir untuk meninggalkan profesinya dan mencari tempat pencaharian yang baru Keberadaan pupuk menjadi hal yang begitu vital dengan kondisi sekarang ini yang begitu banyak muncul jenis hama baru yang dapat merusak dan mematikan tanaman petani Begitupun dengan peternak ancaman pencurian ternak di desa desa penyakit hewan sulitnya mendapatkan pakan karena semakin menyempitnya lahan ataupun dampak bencana banjir yang mematikan hewan peliharaan juga turun menambah persoalan Hal sama juga dirasakan para nelayan yang sering kali tidak melaut karena kondisi cuaca yang tidak bersahabat dan bahkan ektrim yang tidak sedikit membahayakan nyawa para nelayan Melihat kondisi yang terjadi pemerintah melalui Kementerian Pertanian Kementan dan Kementerian Kelautan dan Perikanan KKP mengambil terobosan berupaya pemberian asuransi baik bagi para petani nelayan ataupun peternak Kementan misalnya kemudian mempercayakan kepada PT Persero Asuransi Jasa Indonesia Jasindo untuk menjalankan pemberian asuransi tersebut PT Jasindo sejak beberapa tahun terakhir sudah bergerak untuk dapat melindungi dan menjaga para petani peternak dan nelayan Berdasarkan data dari Otoritas Jasa Keuangan OJK disebutkan hingga September pihak Jasindo telah mengasuransikan seluas hektar sawah petani di Sulawesi Selatan Sulsel Sesuai data yang kami terima dari pihak Jasindo hingga September tahun ini menyebutkan seluas hektar sawah petani di Sulsel telah diasuransikan oleh pihak perusahaan tersebut kata Kepala Otoritas Jasa Keuangan OJK Wilayah VI Sulawesi Maluku Papua Sulampua Zulmi Jumlah tersebut masih kurang jika melihat total asuransi sawah petani pada yang mencapai total seluas hektar Dari total luas sawah yang telah diasuransikan hingga September klaim asuransi berjumlah sekitar Rp miliar Adapun untuk biaya premi asuransi yang harus dibayarkan itu sebesar Rp ribu di mana persen dibayar oleh Kementerian Pertanian dan sisanya dibayar oleh petani pemilik sawah Wakil Ketua Jasindo Cabang Makassar Wahyu menjelaskan pihaknya menargetkan mengasuransikan sebanyak ekor sapi di Provinsi Sulawesi Selatan sepanjang tahun PT Jasindo Persero akan terus melakukan sosiasliasi di kabupaten kota di Sulsel untuk bisa merealisasikan target hingga akhir tahun ini Kita terus rutin melakukan sosialiasi dengan para peternak di berbagai kabupaten kota di Sulsel Tentu kami lebih dulu berkoordinasi dengan pihak dinas peternakan provinsi dan kabupaten untuk memaksimalkan sosialisasi katanya Berdasarkan data Jasindo mampu merealisasikan hingga ribu sapi yang telah diasuransikan Dari puluhan ribu sapi yang berhasil diasuransikan itu merupakan kontribusi dari beberapa daerah Seperti di antaranya Kabupaten Sinjai Kabupaten Bulukumba Kabupaten Gowa dan Kabupaten Bone Bahkan kontribusi kabupaten itu memang begitu besar hingga diatas persen sehingga akan kembali menjadi target untuk realisasi tahun ini Terkait sosialisasi yang akan terus dilaksanakan dirinya mengaku cukup efektif untuk memperkenalkan apa saja yang bisa didapatkan para peternak jika mengasuransikan ternaknya di Jasindo Di antaranya biaya yang lebih murah namun sudah mendapat tanggungan premi jika terjadi sesuatu pada ternak mereka Untuk biaya asuransi ini sebenarnya Rp ribu per bulan namun karena mendapatkan jaminan subsidi dari pemerintah hingga persen membuat peternak hanya dibebankan membayar iuran sebanyak Rp ribu Jadi dengan berasuransi maka para peternak akan mendapatkan premi jika terjadi kecurian ataupun ternaknya mati Dan untuk premi yang akan bayarkan minimal Rp juta Untuk triwulan pertama Jasindo mengaku telah mengasuransikan sebanyak sapi di Sulawesi Selatan Sementara jumlah premi dari total sapi yang telah dalam tanggungan itu mencapai Rp juta Sementara untuk asuransi nelayan Jasindo telah mengasuransikan dalam kurun tahun sebanyak nelayan di Provinsi Sulawesi Selatan Namun untuk tahun ini belum memiliki data lengkap karena masih fokus dalam proses pelaksanaan karena anggarannya berasal Kementerian Kelautan dan Perikanan KKP dalam upaya melayani kebutuhan nelayan yang belum terdaftar asuransi itu Jaminan yang ditanggung dalam asuransi tersebut antara lain nelayan yang mengalami kecelakaan dan memerlukan biaya pengobatan mengalami cacat tetap meninggal dunia karena kecelakaan dalam bekerja dan nelayan meninggal yang disebabkan bukan karena aktivitas penangkapan ikan Nelayan yang memiliki asuransi mendapatkan santunan kecelakaan akibat melakukan aktivitas penangkapan ikan sebesar Rp juta apabila meninggal dunia dan sebesar Rp juta apabila mengalami cacat tetap dan untuk biaya pengobatan sebesar Rp juta Anggaran Rp Miliar Menteri Pertanian Amran Sulaiman mengatakan pihaknya menyiapkan anggaran untuk asuransi bagi para petani dan peternak di Indonesia mencapai Rp triliun pada setiap tahun Jadi kita mencover para petani dan peternak dengan asuransi untuk memberikan rasa aman melakukan produksi yang anggarannya rata rata mencapai Rp triliun setiap tahun katanya Anggaran yang disiapkan untuk asuransi petani itu bersumber dari Anggaran Pendapatan dan Belanja Negara APBN Anggaran ini juga merupakan hasil atau sumbangsi penghematan yang dilakukan Kementerian Pertanian seperti peniadakan anggaran pembelian mobil pengecekan kantor serta acara seremonial yang dianggap tidak perlu Untuk asuransi ini sendiri kata dia untuk memberikan rasa aman bagi petani atas bencana alam banjir kekeringan yang membuat tanaman puso termasuk bagi asuransi peternak yang ditanggung jika hewan peliharaannya mati Untuk anggaran tahun depan belum ditetapkan namun tetap ada Kami sebelumnya hanya fokus untuk sawah tapi kini sudah ada juga asuransi sapi Ini merupakan komitmen Presiden untuk kesejahteraan rakyat ujarnya Menurut Amran asuransi tani yang dikelola PT Asuransi Jasa Indonesia Jasindo itu merupakan wujud program Presiden Jokowi yang ingin agar pemerintah selalu hadir di sisi petani Pewarta Abdul KadirEditor Erafzon Saptiyulda AS COPYRIGHT 
