title,content
Wakil rakyat: Hindari kesan diskriminasi dan gaduh penegakan PSBB, diperlukan kebersamaan seluruh pihak kebersamaan menjadi kunci untuk melandaikan kurva pihak yang terpapar Covid Kebersamaan diwujudkan sikap pemerintah yang konsisten dalam mengeluarkan kebijakan serta ketaatan oleh warga negara Jakarta Anggota DPR dari Fraksi PPP yang juga Wakil Ketua Komisi II DPR Arwani Thomafi menyarankan agar pemerintah sebagai pembuat kebijakan dapat menghindari kesan diskriminasi dan kegaduhan yang bisa terjadi di masyarakat terkait penegakan aturan Pembatasan Sosial Berskala Besar PSBB Saat ini diperlukan kebersamaan seluruh pihak kebersamaan menjadi kunci untuk melandaikan kurva pihak yang terpapar Covid Kebersamaan diwujudkan sikap pemerintah yang konsisten dalam mengeluarkan kebijakan serta ketaatan oleh warga negara kata dia dalam pernyataan yang diterima di Jakarta Jumat Kebijakan penerapan PSBB yang berdasarkan PP Nomor menurut dia telah tepat diterapkan di sejumlah daerah di Indonesia untuk memutus mata rantai penyebaran Covid Namun belakangan menurut dia penegakan aturan PSBB di lapangan menimbulkan polemik seperti kejadian yang kemarin viral menimpa Habib Assegaf di Surabaya Hal itu publik disandingkan dengan praktik BPIP dalam kegiatan konser virtual pada Mei lalu yang tidak mengindahkan protokol kesehatan di antaranya tidak memakai masker dan tidak menjaga jarak fisik antar manusia sebagaimana terlihat saat foto bersama Kegiatan BPIP melalui Konser Virtual tersebut kata dia secara ide bagus Namun ternyata menuai polemik yang menunjukkan ketidaksiapan penyelenggara termasuk polemik terkait lelang motor listrik Saat ini Konser Virtual itu telah menjadi bahan sarkasme publik di media sosial BPIP harus melakukan evaluasi terhadap kegiatan itu katanya Terkait pelanggaran PSBB lanjut dia kita semua ingin tertib disiplin dan tegas dalam penegakan di lapangan tetapi aparat jangan hanya keras dan tegas dengan satu kelompok tapi cenderung mendiamkan terhadap pelanggaran yang dilakukan kelompok lainnya Kesan dan anggapan seperti ini semestinya tidak perlu terjadi Kami menyesalkan terjadinya ribut ribut soal pelanggaran PSBB yang berujung ketegangan antara masyarakat dan aparat ucapnya Saat ini kerumunan massa kembali dapat dilihat di sejumlah fasilitas publik seperti bandara mal pasar serta jalan raya yang kembali padat oleh kendaraan Sejauh mana penindakan oleh aparat terkait hal itu Padahal semua umat beragama telah menjalankan seruan pemerintah untuk beribadah di rumah Tapi semestinya jangan dipertontonkan hal yang justru berseberangan dengan semangat itu sehingga memunculkan anggapan dan persepsi ada praktik diskriminasi dalam penerapan PSBB ini ujarnya 
Anggota DPR serahkan APD dan alat tes cepat ke RSUD Tulungagung, Presiden red Jokowi mengatakan kita harus berdampingan dengan COVID itu bukan berarti Presiden tidak mau memberantas COVID itu karena faktualnya wabah ini tidak bisa dimusnahkan yang dilakukan adalah berkompromi dengan alamTulungagung Jatim Anggota Komisi III DPR RI Arteria Dahlan menyalurkan bantuan empat kardus berisi alat pelindung diri dan sarana tes cepat COVID untuk RSUD dr Iskak Tulungagung Jawa Timur Minggu Didampingi sejumlah pendukungnya dan legislator daerah Suharminto serta Ketua DPC PDIP Tulungagung Susilowati Arteria tiba di RSUD dr dr Iskak Tulungagung sekitar pukul WIB untuk menyerahkan secara simbolis bantuan itu kepada direktur RS setempat dr Supriyanto Dharmoredjo Sp B M Kes dan jajaran Ada tiga jenis alkes yang diserahkan Arteria ke RSUD itu yakni satu kardus masker N satu kardus isi alat tes cepat dan dua kardus besar APD untuk petugas medis Ini merupakan bantuan dari Satgas Lawan COVID DPR RI untuk RSUD dr Iskak Tulungagung kata Arteria Dahlan dalam sambutannya Dia juga berencana menyertakan obat obatan untuk pemulihan kesehatan pasien corona di Tulungagung Namun item yang disebut terakhir itu ditunda karena sejumlah industri jamu nasional berencana menyumbang sejumlah produk herbalnya untuk percepatan penanganan COVID melalui satgas yang dibentuk DPR tersebut Ia juga memuji banyak inovasi dan prestasi yang ditorehkan RSUD dr Iskak Tulungagung terlebih peran sentralnya dalam penanganan corona di daerah itu Kerja keras dan kerja cerdas yang dilakukan teman teman tenaga medis di rumah sakit ini harus kita dukung ujarnya Anggota DPR RI Arteria Dahlan kiri simbolis menyerahkan empat kardus berisi APD kepada manajemen RSUD dr Iskak dipimpin oleh dr Supriyanto Sp B M Kes di RSUD dr Iskak Tulungagung Minggu Destyan Handri Sujarwoko Ia juga mengapresiasi kemandirian RSUD dr Iskak yang dinilainya tidak pernah mengeluhkan masalah sarana maupun prasarana kesehatan sehingga saat diminta mengajukan permohonan bantuan ke Satgas Lawan COVID DPR RI pun tidak pernah dilakukan Namun begitu kami dari Satgas Lawan COVID DPR RI tetap mengapresiasi dan mendukung kinerja teman teman RSUD dengan menyalurkan bantuan sekadarnya ini untuk penanganan COVID di Tulungagung katanya Ia juga sempat menyinggung teori The New Normal Life Style gaya baru hidup normal yang banyak disuarakan Presiden Jokowi maupun Direktur RSUD dr Iskak sebagai upaya untuk membangun cara hidup berdampingan dengan COVID Menurut dia gaya baru hidup normal dengan mengubah pola keseharian misalnya yang biasanya jarang cuci tangan kini harus sering sering cuci tangan Oleh karenanya lanjut dia gaya baru hidup normal harus menjadi kerangka penanganan COVID secara nasional maupun di daerah daerah termasuk di Tulungagung dan sekitarnya Ia mengatakan COVID tidak bisa dimusnahkan namun begitu harus dikendalikan dan dikelola dengan baik Presiden red Jokowi mengatakan kita harus berdampingan dengan COVID itu bukan berarti Presiden tidak mau memberantas COVID itu karena faktualnya wabah ini tidak bisa dimusnahkan yang dilakukan adalah berkompromi dengan alam kata politikus PDI P itu Direktur RSUD dr Iskak Tulungagung yang juga anggota Gugus Tugas Percepatan Penanganan COVID Tulungagung Supriyanto mengatakan dalam penanganan COVID jangan sampai menimbulkan masalah baru Untuk penanganan COVID pihaknya telah menerapkan prinsip T test tracing dan threatmen Setelah dilakukan tes pada orang yang dicurigai terpapar COVID selanjutnya akan dilakukan pelacakan dengan siapa saja dia kontak Selanjutnya akan dilakukan perawatan kepada pasien positif COVID hingga sembuh Itulah cara cara kerja bukan dengan menimbulkan kegaduhan katanya Hingga kini pihaknya sudah melakukan sekitar tujuh ribu tes cepat dari berbagai kalangan Pihaknya akan terus melayani tes cepat terhadap siapa saja yang menginginkan 
Sahroni soroti pentingnya pembinaan Polisi muda gunakan senjata, Jakarta Wakil Ketua Komisi III DPR RI Ahmad Sahroni menyoroti pentingnya pembinaan kepada para Polisi muda agar lebih bijak dalam menggunakan senjata sehingga tidak menimbulkan kesan gagah gagahan di masyarakat Selain itu Sahroni dalam keterangannya Jumat juga menyoroti pentingnya pembinaan pada polisi polisi muda agar lebih bijak dalam menggunakan senjata Menurut dia lembaga Kepolisian harus menekankan pada jajarannya bahwa senjata adalah untuk menjaga ketertiban bukan untuk menyebabkan kegaduhan Polisi juga harus bijak dalam menggunakan senjata bukan dipakai untuk gagah gagahan di depan publik walaupun hanya bercanda Harus ada pembinaan di kalangan polisi soal ini Kan pamer pamer gitu nggak ada keren kerennya kata Sahroni Hal itu dikatakannya terkait video yang beredar di media sosial Twitter yang menunjukkan seorang polisi muda membawa senjata dengan berkata pacar mu ganteng kaya Bisa gini nggak sambil mengokang senjata tersebut Lalu video tersebut diunggah akun kapansarjana dengan dibarengi caption berbunyi Mohon untuk bpk DivHumas_Polri kasih tau anak didik njenengan pak tidak usah sombong sama rakyat anak didik juga kalian digaji oleh uang pajak rakyat Terkait kejadian ini polisi yang ada di video tersebut kemudian melaporkan akun kapansarjana ke Direktorat Reserse Kriminal Khusus Ditreskrimsus Polda Metro Jaya Sahroni sangat menyesalkan jika cuitan tersebut sampai harus dilaporkan karena hanya unggahan biasa dan seharusnya Polisi jangan anti kritik Lagipula memang senjata itu tanggungjawabnya besar bukan cuma untuk keren kerenan atau ganteng gantengan ujarnya Politisi Partai NasDem itu juga mengingatkan bahwa sebagai Polisi muda seharusnya mereka dapat menjadi teladan di masyarakat dan menghindari terciptanya kegaduhan yang tidak perlu Menurut dia Polisi muda harusnya menjadi panutan untuk masyarakat bukan malah membuat kegaduhan dengan menyalahgunakan senjata dinasnya Saya juga meminta kepada Polri agar hal seperti ini tidak terjadi lagi katanya Pewarta Imam BudilaksonoEditor M Arief Iskandar 
Kominfo catat 686 hoaks terkait COVID-19 hingga Rabu, Yang paling berbahaya ialah level ketiga yakni media yang tertutup sistemnya misal WhatsApp grupJakarta Kementerian Komunikasi dan Informatika Kominfo RI mencatat sebanyak kasus hoaks atau kabar bohong terkait COVID hingga Rabu yang berarti masih ada oknum masyarakat sengaja membuat informasi pandemi saat ini menjadi gaduh Ini berarti memang tidak serta merta masyarakat itu hanya mengonsumsi informasi namun ada oknum yang sengaja membuat informasi berbeda dan membuat gaduh Ini yang menjadi tantangan informasi publik juga kata Direktur Jenderal Informasi dan Komunikasi Publik Kementerian Kominfo Prof Dr Widodo Muktiyo saat diskusi daring terkait Dua Bulan Gugus Tugas Percepatan Penaganan COVID di Jakarta Rabu Bahkan ia mengatakan dengan mudahnya individu saat ini memproduksi dan mendistribusikan informasi sendiri tanpa harus ada izin Kementerian Kominfo hanya dapat menerapkan aturan dan sanksi berlaku melalui Undang Undang Informasi dan Transaksi Elektronik ITE Kalau ada yang menyalahi aturan maka ada sanksi Sampai hari ini sudah ada yang bermasalah dengan pidana dan hukum katanya Terkait masalah ITE ataupun hoaks ia menjelaskan terdapat tiga level informasi yang menjadi sumber kegaduhan tersebut Level pertama ialah internet Jika terdapat masalah di level pertama itu maka kementerian terkait akan mengomunikasikannya dengan pihak Internet Service Provider atau penyelenggara jasa internet Kemudian di level kedua ialah media sosial di antaranya instagram facebook dan twitter Dalam hal ini jika ditemukan masalah atau ada yang melanggar maka Kementerian Kominfo atau pihak berwenang melakukan tindakan take down atau blokir Yang paling berbahaya ialah level ketiga yakni media yang tertutup sistemnya misal WhatsApp grup ujar dia Ia mengaku ketiga level tersebut menjadi tantangan tersendiri sebab jangan sampai masyarakat mengonsumsi dan membenarkan semua informasi tersebut Apalagi saat ini isu COVID telah melebar ke ekonomi sosial bantuan sosial dan sebagainya Menurutnya hal tersebut tentunya akan memudahkan adanya persepsi yang keliru sehingga merugikan bangsa dan masyarakat bersama sama 
HNW kritisi survei Komnas HAM terkait sanksi umat Islam saat PSBB, Komnas HAM harusnya menghormati HAM umat beragama Islam berlaku adil dan tidak berlaku tendensiusJakarta Wakil Ketua MPR RI Hidayat Nur Wahid HNW mengkritisi survei Komnas HAM yang dinilai tendensius hanya ditujukan terhadap umat Islam terkait pemberian sanksi sosial dan denda kepada umat yang tetap pergi ke masjid saat kebijakan Pembatasan Sosial Berskala Besar PSBB HNW menolak adanya pemberian sanksi tersebut karena penyebaran COVID tidak membedakan latar agama dan profesi Apalagi survei itu menyertakan opsi sanksi sosial atau denda bagi umat Islam yang berjamaah di masjid pada bulan Ramadhan saat pemberlakuan PSBB kata HNW dalam keterangannya di Jakarta Selasa Hal itu dikatakannya terkait survei daring yang dilakukan Komisi Nasional Hak Asasi Manusia Komnas HAM bahwa masyarakat ingin umat Islam yang masih beribadah di tempat beribadah selama Ramadhan diberi sanksi berupa kerja sosial dan denda Menurut Hidayat survei tersebut sangat tendensius melanjutkan pola Islamophobia dan ketidakadilan terhadap umat Islam di Indonesia HNW mengingatkan bahwa fakta COVID bermula bukan dari komunitas umat Islam melainkan dari Wuhan China Sebelum akhirnya sampai ke Indonesia virus tersebut sudah menyebar di Eropa AS dan negara negara lain yang mayoritas penduduknya tidak beragama Islam ujarnya Dalam konteks Indonesia kata Hidayat penyebaran pertama COVID tidak terkait dengan komunitas umat Islam maupun masjid melainkan orang Jepang yang berada di kafe Ia mengatakan pula lalu penyebaran COVID di Indonesia tidak hanya terjadi di masjid tapi juga gereja moda transportasi pabrik pasar dan tempat keramaian lain Komnas HAM harusnya menghormati HAM umat beragama Islam berlaku adil dan tidak berlaku tendensius melanjutkan pola Islamophobia dengan hanya menyurvei umat Islam dan menanyakan sanksi bagi umat muslim yang tetap beribadah di masjid katanya lagi Namun menurut dia Komnas HAM tidak menanyakan sanksi bagi komunitas agama dan profesi lainnya kalau mereka tidak melaksanakan aturan terkait COVID HNW mengatakan seharusnya agar adil saat membuat survei Komnas HAM merujuk pada aturan PSBB dalam pasal Permenkes bahwa pembatasan sosial bukan hanya di masjid tapi harus dilakukan untuk setiap kegiatan keagamaan kegiatan di fasilitas umum kegiatan sosial budaya dan aktivitas moda transportasi Karena itu tidak adil dan tidak menjadi solusi jika Komnas HAM berlaku diskriminatif dan tendensius dengan hanya menanyakan sanksi untuk umat Islam yang masih beribadah di masjid dan tidak menanyakan umat beragama lainnya Karena faktanya kegiatan di tempat ibadah yang lain juga bisa menjadi klaster penyebaran COVID katanya Dia mencontohkan salah satu klaster awal penyebaran COVID di Jawa Barat justru datang dari kegiatan gereja yakni Persidangan Sinode Tahunan GPIB di Hotel Aston Bogor dan seminar keagamaan GBI di Lembang Bandung juga terjadi di Seminari Gereja Bethel di Jakarta juga Gereja di Surabaya Selain itu menurut dia lagi ada juga kegiatan non keagamaan yang turut berkontribusi seperti Musyawarah Daerah HIPMI Jawa Barat di Karawang dan aktivitas pabrik rokok Sampoerna di Surabaya yang terdapat orang karyawan positif COVID Yang terbaru adalah penyebaran COVID di KRL sehingga diminta berhenti beroperasi oleh Gubernur DKI dan Gubernur Jawa Barat sekali pun ditolak Menteri Perhubungan katanya pula Politisi PKS itu mengatakan kita ingin semua umat beragama profesi dan semua pihak berdisiplin laksanakan protokol COVID sehingga semuanya sehat dan selamat dari virus tersebut Bila mereka melanggar aturan maka ditegakkanlah aturan itu secara adil tidak secara tendensius tebang pilih dan diskriminatif katanya Karena itu HNW meminta untuk berhenti berlaku tidak adil membingkai atau framing umat Islam dan masjid seolah olah sebagai satu satunya pihak yang tidak taat aturan sehingga layak diberikan sanksi karena dinilai hanya mereka yang merupakan klaster penyebar COVID Menurut dia hal seperti itu selain tidak sesuai fakta dan tidak memenuhi rasa keadilan justru menghadirkan kegaduhan serta kegelisahan yang bisa menggerus imunitas umat sehingga rentan tertular COVID Sikap tendensius itu juga bisa jadi bentuk mengalihkan kita dari klaster lain penyebar COVID seperti kegiatan berkerumun lainnya yang juga terbukti menjadi pusat penyebaran COVID ujarnya pula Sebelumnya berdasarkan survei daring yang dilakukan Komnas HAM menyebutkan bahwa masyarakat ingin umat Islam yang masih beribadah di tempat beribadah selama Ramadhan diberi sanksi berupa kerja sosial dan denda Dalam survei yang dilakukan pada April Mei serta melibatkan responden yang tersebar di beberapa daerah baik yang diberlakukan pembatasan sosial berskala besar PSBB maupun tidak itu sebesar persen responden menilai perlu ada sanksi berupa kerja sosial denda maupun keduanya Berdasar survei tersebut hampir seluruh responden atau persen memiliki pengetahuan dan menyadari risiko yang dihadapi ketika melaksanakan kegiatan ibadah berjamaah di tempat ibadah yakni terpapar COVID 
MPR minta pemerintah perbaiki koordinasi antarkementerian dan pemda, Jakarta Wakil Ketua MPR RI Lestari Moerdijat meminta pemerintah memperbaiki koordinasi antarkementerian lembaga serta pemerintah daerah untuk menghilangkan hambatan birokrasi dalam setiap kebijakan Hambatan koordinasi itu makin tampak pada penanganan wabah COVID di Tanah Air akhir akhir ini Koordinasi saya lihat memang titik lemah birokrasi kita Upaya untuk memperbaikinya harus dimulai dari pimpinan negara daerah sampai pimpinan kementerian lembaga harus punya kepemimpinan yang kuat dan efektif menerapkan koordinasi kata Lestari yang akrab disapa Rerie dalam keterangannya yang diterima di Jakarta Senin Menurut Rerie masalah koordinasi dalam birokrasi sudah disadari sejak rezim Orde Baru Ketika itu ada empat konsep yang akan diterapkan dalam birokrasi yaitu koordinasi integrasi sinkronisasi dan simplikasi Namun hingga Rezim Orba selesai konsep itu tak terlaksana Hingga saat ini kata Rerie koordinasi tetap menjadi masalah kronis di tubuh birokrasi Padahal koordinasi yang baik dalam tubuh birokrasi sangat diperlukan Apalagi pada tahun ini dan tahun tahun mendatang kondisi yang dihadapi Indonesia dan negara lain di dunia penuh ketidakpastian sebagai dampak pandemi COVID Banyaknya tantangan yang dihadapi tentunya membutuhkan kecepatan dan ketepatan dalam bertindak sehingga kita membutuhkan koordinasi yang kuat dalam birokrasi agar mampu mengatasi persoalan yang ada kata Rerie Kegagapan pemerintah pada awal wabah COVID masuk ke Indonesia kata Rerie seharusnya menjadi pembelajaran bersama bagi setiap birokrasi di pemerintahan untuk segera diperbaiki Soal penanganan wabah COVID Rerie mendorong pemerintah segera melakukan tes secara masif dan dalam jumlah yang memadai sehingga penanganan wabah COVID bisa lebih efektif Tes masif dalam bentuk pengujian spesimen PCR oleh laboratorium medis Indonesia diakui Presiden Joko Widodo dalam rapat terbatas yang disiarkan secara langsung di YouTube Sekretariat Presiden RI Senin mencapai sampai sampel per hari Angka itu masih jauh dari target yakni spesimen per hari Sementara itu Worldometer mencatat per Senin rasio tes berdasarkan jumlah tes per satu juta penduduk Indonesia adalah Angka itu masih di bawah Namibia yang melakukan tes per satu juta penduduk Di Asia rasio tes di Indonesia masih jauh di bawah India yang mampu melakukan tes per satu juta penduduknya Bahkan di Asia Tenggara rasio tes Filipina jauh lebih baik yaitu tes per satu juta penduduk Rendahnya realisasi tes menurut Jokowi disebabkan belum optimalnya fungsi laboratorium yang dimiliki pemerintah Dari jaringan laboratorium rujukan hanya laboratorium yang beroperasi optimal Salah satu kendala yang dihadapi adalah kekurangan tenaga laboratorium Kendala tersebut menurut Rerie harus segera diatasi dengan langkah kolaborasi dan koordinasi sejumlah institusi yang memiliki tenaga laboratorium agar bisa diperbantukan untuk menguji sampel dalam tes masif COVID Tentu saja harus ada penyesuaian di sana sini agar para tenaga laboratorium yang diperbantukan bisa memproses sampel dalam tes masif itu Perlu koordinasi yang baik untuk merealisasikannya katanya menegaskan Menurut legislator Partai NasDem itu di tengah ketidakpastian dampak pandemi COVID tidak ada waktu lagi bagi pemerintah untuk berdebat dengan masyarakat soal makna dari sebuah kata Oleh karena itu kata Rerie pemimpin tidak boleh lagi mengeluarkan pernyataan multitafsir yang dapat menimbulkan kegaduhan Efek pandemi COVID ini multidimensi mulai dari sektor ekonomi sosial hingga budaya Jadi perlu penanganan yang komprehensif dan harus segera Jangan malah kita gaduh meluruskan pernyataan para pejabat kata Rerie Pewarta Abdu FaisalEditor D Dj Kliwantoro 
Sriwijaya FC dukung permintaan agar LIB gelar RUPS luar biasa, Jakarta Klub Liga Indonesia Sriwijaya FC mendukung permintaan tim tim Liga agar operator kompetisi PT Liga Indonesia Baru LIB menggelar rapat umum pemegang saham RUPS luar biasa Kalau RUPS luar biasa ini cara terbaik untuk menyelesaikan permasalahan kami setuju ujar Manajer Sriwijaya FC Hendri Zainuddin ketika dihubungi Antara dari Jakarta Senin Menurut pria yang juga Ketua KONI Sumatera Selatan itu ia tidak berharap muluk muluk kepada LIB Yang penting Hendri melanjutkan LIB bisa menunaikan kewajiban kewajiban mereka terhadap tim tim Liga dan Indonesia terutama soal subsidi Klub sederhana saja melihat LIB Yang penting apa yang sudah disepakati segera dijalankan tutur dia LIB Hendri menambahkan masih memiliki utang subsidi kepada Sriwijaya FC Totalnya mencapai lebih dari Rp miliar Rinciannya sekitar Rp miliar merupakan tunggakan sejak tahun meliputi hak siaran televisi kontribusi Elite Pro Academy dan subsidi Liga Dan sisanya LIB juga belum melunasi pembayaran termin pertama subsidi Liga Indonesia sebesar Rp juta Sampai Sabtu sebanyak tim Liga Indonesia musim yang juga pemegang saham PT LIB meminta perusahaan operator liga tersebut untuk menggelar RUPS luar biasa Permohonan diajukan melalui surat resmi kepada direksi PT LIB yang ditembuskan ke Ketua Umum PSSI Exco PSSI serta Dewan Komisaris PT LIB Adapun ke tim itu adalah Arema FC PSIS Persebaya Borneo FC Madura United Persija Bali United Persela Persik Barito Putera Bhayangkara FC Persiraja PSM dan Persita Dalam suratnya klub klub tersebut pada umumnya meminta RUPS luar biasa agar LIB dapat menjelaskan soal kelanjutan Liga dan Indonesia yang dihentikan sementara sejak Maret karena pandemi COVID dan subsidi kepada tim tim liga 
Anggota Exco PSSI anggap wajar surat direktur LIB soal Cucu Somantri, Jakarta Anggota Komite Eksekutif Exco PSSI Haruna Soemitro menganggap wajar surat tiga direktur PT Liga Indonesia Baru LIB kepada pemegang saham soal kepemimpinan Direktur Utama LIB Cucu Somantri Saya kira wajar para direktur ini melayangkan surat tersebut Tidak ada anak buah yang salah Kalau ada dinamika perusahaan sampai terekspos keluar artinya pimpinannya yang tidak mampu dan tidak cakap ujar Haruna dikutip dari keterangan yang diterima di Jakarta Jumat Pria yang sekaligus menjabat direktur klub Madura United itu menyebut surat yang dianggapnya sebagai mosi tidak percaya dari tiga direktur LIB terhadap atasannya tersebut menjadi cermin kegelisahan dan keresahan menghadapi sang direktur utama Itulah yang membuat Haruna melanjutkan ketiga direktur tersebut memutuskan untuk menyurati para pemegang saham LIB Pada Kamis beredar surat dari tiga anggota direksi PT Liga Indonesia Baru LIB yaitu Direktur Bisnis Rudy Kangdra Direktur Operasional Sudjarno dan Direktur Keuangan Anthony Chandra Kartawiria tentang Pengaduan Mengenai Keresahan di Internal Perusahaan Dokumen bertanggal Mei itu ditujukan kepada semua pemegang saham PT LIB Di dalam surat yang ditembuskan ke Ketua Umum PSSI Wakil Ketua Umum PSSI Exco PSSI Plt Sekjen PSSI dan Dewan Komisaris PT LIB tersebut ketiga direktur LIB menjabarkan empat poin yang intinya menyatakan bahwa Direktur Utama PT LIB Cucu Somantri yang juga menjabat wakil ketua umum PSSI kerap mengambil keputusan secara sepihak Bagaimana ada laporan arus kas perusahaan yang tanda tangan bukan direktur keuangan tapi direktur utama kata Haruna Berikut empat keresahan terkait kepemimpinan Cucu Somantri dari Direktur Operasional LIB Sudjarno Direktur Bisnis LIB Rudy Kangdra dan Direktur Keuangan LIB Anthony Chandra Kartawiria yang dituangkan dalam surat bertanggal Mei Pertama Bahwa menurut pendapat dan apa yang kami rasakan pengurusan dan pengelolaan PT Liga Indonesia Baru Perseroan tidak dilakukan dengan cara cara yang semestinya yaitu sebagaimana diatur oleh perundang undangan di bidang Perseroan Terbatas Anggaran Dasar Perseroan dan prinsip prinsip Good Corporate Governance Kedua Bahwa pengambilan keputusan keputusan Perseroan banyak dimonopoli dan diputuskan secara sepihak oleh pejabat Direktur Utama di antaranya kebijakan terkait HRD keuangan sponsor dan lain lain tanpa melalui mekanisme rapat direksi sebagaimana mestinya Ketiga Bahwa praktek monopoli dan pengambilan keputusan secara sepihak tersebut telah menimbulkan keresahan di kalangan internal Perseroan dan dikhawatirkan dapat menimbulkan demoralisasi di kalangan karyawan dan berpotensi menimbulkan permasalahan permasalahan hukum yang dapat merugikan perseroan di kemudian hari Keempat Bahwa kami sebagai anggota Dewan Direksi Perseroan dengan ini menyangkal keterlibatan dan tanggung jawab kami atas keputusan keputusan yang dibuat secara sepihak oleh pejabat Direktur Utama karena keputusan keputusan tersebut dibuat tanpa persetujuan kami dan tanpa melalui proses rapat direksi sebagaimana mestinya 
DPRD NTT dorong penyelenggara pendidikan inovatif saat wabah COVID-19, kita diuji keterpanggilan kita khususnya penyelenggara pendidikan untuk terus menemukan inovasiKupang Komisi V DPRD Provinsi Nusa Tenggara Timur NTT mendorong para penyelenggara pendidikan di NTT terus berinovasi di tengah pandemi COVID untuk memastikan pembelajaran tepat berlangsung secara baik Di masa pendemi COVID ini kita diuji keterpanggilan kita khususnya penyelenggara pendidikan untuk terus menemukan inovasi kiat kiat agar pembelajaran tetap berjalan kata Ketua Komisi V DPRD Provinsi NTT Yunus Takandewa dalam keterangan yang diterima di Kupang Jumat Ia mengatakan situasi pandemi virus corona jenis baru COVID saat ini tidak boleh melumpuhkan inovasi dan kreativitas para penyelenggara pendidikan di NTT Pihaknya mengajak semua pihak di bidang pendidikan agar tidak pasrah dengan keadaan pandemi saat ini tetapi harus termotivasi untuk menemukan kiat kiat atau inovasi agar pembelajaran tetap berlangsung secara baik Termasuk juga inovasi terkait perangkat teknologi agar negara tidak boleh kalah dari COVID ini Kita semua tidak boleh terlena dengan keadaan katanya Anggota DPRD NTT dari F PDIP itu mengatakan komisinya yang membidangi pendidikan akan terus hadir dan memberikan dukungan penuh kepada proses baik di sekolah menengah atas maupun perguruan tinggi di provinsi berbasis kepulauan itu Ia mengatakan saat ini pihaknya juga tengah mendorong Dinas Pendidikan dan Kebudayaan NTT untuk mengkonsolidasikan dana Bantuan Operasional Sekolah BOS secara baik karena adanya relaksasi pemanfaatannya sesuai arahan dalam Peraturan Menteri Pendidikan dan Kebudayaan Prinsipnya bahwa pandemi COVID ini tidak boleh melumpuhkan semangat kita agar dunia pendidikan kita tidak gelap gulita melainkan menguji daya tahan kita untuk terus bertahan katanya Pewarta Aloysius LewokedaEditor Agus Salim 
Konflik internal dinilai bisa hilangkan kepercayaan klub kepada LIB, Jakarta Direktur Madura United Haruna Soemtiro yang juga anggota Komite Eksekutif PSSI menyebut konflik internal yang terjadi di PT Liga Indonesia Baru LIB bisa menghilangkan kepercayaan klub terhadap operator Liga dan itu Ya pasti klub bisa hilang kepercayaan Itu kan artinya pemimpin atau direktur utamanya tidak bisa mengelola bawahannya kata Haruna kepada di Jakarta Kamis Haruna menyesalkan mengapa masalah internal perusahaan harus diselesaikan dengan surat menyurat padahal persoalan di LIB bisa dilaporkan kepada komisaris perusahaan Jika ada masalah di perusahaan itu kenapa tidak dilaporkan ke komisaris tutur Haruna Pada Kamis beredar surat dari tiga anggota direksi PT Liga Indonesia Baru LIB yaitu Direktur Bisnis PT Liga Indonesia Baru Rudy Kangdra Direktur Operasional Sudjarno dan Direktur Keuangan Anthony Chandra Kartawiria tentang Pengaduan Mengenai Keresahan di Internal Perusahaan Dokumen bertanggal Mei itu ditujukan kepada semua pemegang saham PT LIB Di dalam surat yang ditembuskan ke Ketua Umum PSSI Wakil Ketua Umum PSSI Exco PSSI Plt Sekjen PSSI dan Dewan Komisaris PT LIB tersebut ketiga direktur LIB menjabarkan empat poin yang intinya menyatakan bahwa Direktur Utama PT LIB Cucu Somantri yang juga menjabat wakil ketua umum PSSI kerap mengambil keputusan secara sepihak Ketika dikonfirmasi Rudy Kangdra menyebut surat tersebut hanya pemberitahuan kepada pemilik saham dalam hal ini klub Liga dan juga PSSI bukan mosi tidak percaya seperti yang banyak disebutkan Meski demikian bagi Haruna tidak ada bedanya pemberitahuan atau mosi tidak percaya dalam konteks tersebut Sama saja Itu menepuk air kena muka sendiri Jadi role model baru masalah internal perusahaan harus pakai surat menyurat begitu ya Aturan atau ketentuan mana ada direksi bisa membuat mosi tidak percaya kepada dirut kata Haruna Haruna bahkan menyebut bahwa pembuat surat tersebut tidak memiliki integritas yang baik Orang orang itu harus masuk daftar persona non grata tidak boleh terlibat di perusahaan yang berafiliasi kepada PSSI tutur dia Sementara terkait permintaan para direktur LIB yakni Rudy Sudjarno dan Anthony kepada pemegang saham untuk mengadakan rapat umum pemegang saham RUPS luar biasa agar kepengurusan perseroan bisa dievaluasi Haruna menegaskan bahwa itu terbalik Lazimnya seperti menurut Ayat Pasal Undang Undang Nomor Tahun tentang Perseroan Terbatas RUPS dilaksanakan atas permintaan pemegang saham atau Dewan Komisaris kepada Direksi Apalagi membaca suratnya seolah olah memerintahkan kepada pemegang saham untuk segera melakukan RUPS benar benar dunia dibalik balik ya kata Haruna 
