title,content
AS: Peluncuran satelit militer Iran langgar resolusi PBB, Washington Menteri Luar Negeri Amerika Serikat Mike Pompeo mengatakan peluncuran satelit militer Iran melawan resolusi dewan keamanan PBB Ia menyebut Iran harus bertanggung jawab atas peluncuran satelit militer itu Garda Revolusi Iran telah berhasil meluncurkan satelit militer pertama ke orbit di tengah peningkatan ketegangan dengan Amerika Serikat atas program nuklir dan rudal Teheran Militer AS mengatakan teknologi balistik jarak jauh yang digunakan untuk menempatkan satelit ke orbit juga dapat memungkinkan Teheran meluncurkan senjata jarak jauh termasuk hulu ledak nuklir Teheran menyangkal pernyataan AS bahwa kegiatannya itu merupakan kedok untuk pengembangan rudal balistik Iran menegaskan tidak pernah berupaya mengembangkan senjata nuklir Resolusi PBB tahun menyerukan Iran untuk menahan diri hingga delapan tahun dari pengembangan rudal balistik untuk mengirimkan senjata nuklir Resolusi itu dikeluarkan menyusul kesepakatan dengan enam kekuatan dunia untuk membatasi program nuklir Iran Beberapa negara berpendapat bahwa bahasa dalam resolusi itu tidak mewajibkan Iran untuk menghentikan program nuklirnya Setiap negara memiliki kewajiban kepada PBB dan mengevaluasi apakah peluncuran rudal ini konsisten dengan resolusi Dewan Keamanan PBB kata Pompeo kepada wartawan merujuk pada resolusi Dewan Keamanan PBB Saya pikir Iran perlu bertanggung jawab atas apa yang telah mereka lakukan tambahnya Sebagian besar sanksi PBB yang dijatuhkan pada Iran dicabut pada Januari ketika pengawas nuklir PBB mengonfirmasi bahwa Teheran memenuhi komitmennya berdasarkan perjanjian nuklir dengan Inggris Prancis Jerman China Rusia dan Amerika Serikat Namun Iran masih dikenai embargo senjata yang akan berakhir pada Oktober Sanksi dan pembatasan PBB terhadap Iran tercantum dalam resolusi yang juga mengabadikan perjanjian nuklir Iran Ketegangan antara Washington dan Teheran meningkat sejak pemerintahan Presiden AS Donald Trump pada menarik diri dari perjanjian itu dan menerapkan kembali sanksi AS terhadap Iran Sumber Reuters Pemerintah siap bangun satelit tambahan dukung pendidikan dan kesehatan Penerjemah Azis KurmalaEditor Tia Mutiasari 
Pengamat: figur pemimpin agresif cenderung tidak disukai di Jateng, Semarang Pengamat komunikasi politik dari Sekolah Tinggi Ilmu Komunikasi Gunawan Witjaksana menyebut figur pemimpin dengan gaya agresif cenderung tidak disukai di Jawa Tengah Komunikasi yang njawani yang memperhatikan etika itu lebih disukai dibandingkan tipe pemimpin yang meledak ledak apalagi yang menyerang dengan kasar itu justru tidak bisa dilakukan di Jawa Tengah katanya di Semarang Kamis Menurut dia pemimpin mesti aktif melayani dan bekerja untuk rakyat dengan bahasa yang empati sesuai dengan kultur yang ada di Jateng Kultur pemimpin di Jateng kata dia memang seperti itu kemudian di Indonesia juga beberapa tahun terakhir lebih menyukai pemimpin yang soft seperti sosok Joko Widodo yang pernah menjabat Wali Kota Surakarta Gubernur DKI Jakarta dan saat ini menjabat Presiden Republik Indonesia Gunawan menegaskan agar jangan sekali kali memainkan isu mengenai suku agama ras dan antargolongan di Jawa Tengah saat pelaksanaan pilkada karena tidak akan berhasil Sentimen agama tidak akan manjur beberapa kali muncul isu Jateng mau diputihkan tapi mana coba gak bisa Kita lihat Solo waktu pilwakot tahun atau periode kedua FX Hadi Rudyatmo Meski diterpa isu anjuran Muslim milih Muslim tapi pada akhirnya petahana ini tetap menang ujarnya Dosen sekaligus Ketua Stikom ini juga menyebut gaya pendekatan dengan tokoh tokoh masyarakat akan terus dipakai oleh bakal calon pemimpin dan hal ini memang secara ilmiah terbukti untuk menguatkan pesan pesan tertentu Sosial Judgement artinya memperkuat pesan melalui simbol simbol yang signifikan Dengan cara mendekati tokoh tokoh masyarakat atau menyandingkan diri dengan tokoh nasional seperti Soekarno atau Gus Dur untuk memperkuat pesan menggunakan sesuatu yang berasal di luar pesan itu sendiri katanya Selain itu Gunawan mengingatkan untuk tidak menyamakan pendekatan tiap generasi khususnya pemilih milenial Kalau dulu zaman Soeharto melakukannya dengan menempel poster di tiap RT saya pikir sekarang milenial nggak perlu itu ya Paling efektif saya kira dengan media sosial bisa Instagram atau bahkan Tiktok yang sekarang ini booming ujarnya Kendati demikian ia mengingatkan untuk partai politik yang menggunakan media sosial dalam kampanyenya harus jelas identitasnya Harus jelas mana yang resmi dari parpol mana yang bukan karena di media sosial ini selain kemudahannya juga rawan sekali hoaks yang bertebaran Identitas yang jelas saya pikir bisa membuat masyarakat tahu akun mana yang harus dipercaya katanya Pewarta Wisnu Adhi NugrohoEditor Bambang Sutopo Hadi 
Peneliti: Penyimpanan zat radioaktif butuh wadah khusus, Jakarta Mantan Kepala Badan Tenaga Nuklir Nasional BATAN Republik Indonesia Djarot Sulistio Wisnubroto mengatakan penyimpanan zat radioaktif membutuhkan wadah khusus untuk menghambat radiasi terpancar keluar yang dapat membahayakan masyarakat Kepemilikan ilegal tentu saja sangat berbahaya karena menyimpan saja membutuhkan wadah dan ruang khusus kata Djarot saat dihubungi Jakarta Kamis Perisai yang efektif untuk menahan radiasi keluar dari Cs adalah timbal timah dan tungsten Logam berat itu mempunyai kerapatan yang besar sehingga bisa mereduksi radiasi keluar dari sumbernya Djarot yang merupakan peneliti di BATAN menuturkan proteksi radiasi menjadi bagian penting dalam pengelolaan dan pemanfaatan bahan radioaktif Kalau misalnya tanpa suatu pelindung maka yang jelas terkena dampaknya langsung adalah keluarga itu sendiri Tetapi sekali lagi harus diketahui apakah yang di rumah tersebut terwadahi dengan timbal misalnya atau tidak ujarnya Djarot menuturkan semestinya Cesium Cs tidak mudah didapatkan karena harus ada izin impor izin pemanfaatan dan pengangkutan Izin tersebut juga tidak mudah diperoleh karena kemampuan sumber daya manusia dalam keselamatan radiasi Secara teoritis kata Djarot jika ada yang berniat buruk untuk kejahatan zat radioaktif Cs bisa dikombinasi dengan bom konvensional supaya ada daya ledak dan bisa menyebarkan radiasi yang disebut dirty bomb Bahaya radiasi dari zat radioaktif tergantung paparan radiasi jarak dan juga jangka waktu terpapar Djarot yang merupakan lulusan di bidang Nuclear Engineering dari Universitas Tokyo Jepang itu menuturkan kalau seseorang menerima radiasi miliSievert miliSv maka beberapa pekan bisa meninggal sedangkan miliSv potensi kanker naik persen Sementara radiasi dari limbah radioaktif Cesium yang ditemukan di tanah kosong di Perumahan BATAN Indah Kecamatan Setu Tangerang Selatan Provinsi Banten mencapai mikroSv sehingga jauh untuk berpotensi kanker Batas radiasi yang disepakati para ilmuwan yang berpotensi menjadi kanker adalah miliSv tuturnya Pekerja radiasi atau nuklir maksimal dalam satu tahun hanya boleh menerima radiasi sebesar miliSv dan untuk masyarakat jauh lebih rendah lagi satu miliSv dalam satu tahun Menurut Djarot pencarian pelaku yang membuang sumber Cs di dekat perumahan warga Batan Indah bisa dipersempit dengan melacak data pemegang izin pengguna Cs dan dicocokkan dengan karakteristik serpihan yang ditemukan di lokasi Cs di Batan Indah ditemukan sebagai serpihan padat sehingga jalur kontaminasi lewat air hujan ke sekitar bukan via udara Oleh karena itu tanah di dan sekitar sumber radiasi dipindahkan sebagai limbah ke BATAN Air tanah dari sumur warga di perumahan Batan Indah tidak terkontaminasi 
AS kembali tekan China untuk gabung perundingan nuklir, China selama ini menolak proposal Trump tersebut dengan alasan bahwa kekuatan nuklirnya yang lebih kecil bersifat defensif dan tidak menimbulkan ancamanWashington Amerika Serikat Jumat kembali menekan China untuk bergabung dalam perundingan pengendalian senjata nuklir bersama Washington dan Moskow AS berusaha mengatasi keengganan Beijing selama ini untuk ikut serta dalam pembicaraan tersebut China telah sekian lama mengatakan tidak akan memasuki perlombaan senjata dengan AS dan Rusia Sekarang adalah waktunya bagi China untuk menaruh kekayaannya di tempat yang tepat dan membuktikan bahwa negara itu merupakan pemain internasional yang bertanggung jawab kata seorang pejabat tinggi pemerintahan Trump Senjata nuklir Amerika Serikat dan Rusia jauh lebih besar daripada China Namun peningkatan militer Beijing di kawasan Asia Pasifik telah membuat khawatir para sekutu dan pembuat kebijakan AS Presiden Donald Trump telah berusaha membujuk China bergabung dengan Amerika Serikat dan Rusia dalam pembicaraan mengenai perjanjian pengendalian senjata pengganti perjanjian New START antara Washington dan Moskow yang akan berakhir Februari mendatang China selama ini menolak proposal Trump tersebut dengan alasan bahwa kekuatan nuklirnya yang lebih kecil bersifat defensif dan tidak menimbulkan ancaman Sikap China yang terus diam menciptakan ketidakpastian tentang niat mereka dan menimbulkan kepentingan untuk membuat fokus baru pada pencegahan dan kesiapan militer bagi Amerika Serikat kata seorang pejabat pemerintah New START mempertahankan satu satunya batasan yang tersisa pada pengerahan nuklir AS dan Rusia Beberapa ahli dan anggota parlemen menyebut proposal Trump untuk memasukkan Beijing dalam perjanjian baru sebagai strategi pil racun dengan tujuan untuk membunuh START Baru dan mengakhiri pembatasan pada pengerahan nuklir AS New START melarang Amerika Serikat dan Rusia mengerahkan lebih dari hulu ledak nuklir jumlah terendah dalam beberapa dasawarsa terakhir ini Perjanjian itu juga membatasi rudal berbasis darat dan kapal selam serta perangkat bom yang mengirimnya Perjanjian tersebut dapat diperpanjang hingga lima tahun jika kedua belah pihak setuju Moskow telah menawarkan untuk segera memperpanjang perjanjian itu tapi Washington belum memutuskan Sumber Reuters 
Murid SMA Negeri 12 Bekasi kecam aksi anarkis guru, Bekasi Sejumlah murid SMA Negeri Bekasi Jawa Barat mengecam aksi anarkis oknum guru yang memukili teman sekolahnya secara bertubi tubi itu Salah salah satu murid SMA Negeri Bekasi yang enggan disebutkan namanya mengatakan Idayanto terkenal sebagai guru killer atau menyebalkan di kalangan siswa setempat Menurut dia kekerasan Idayanto terhadap siswa bukan kali pertama sejak videonya viral pada Selasa lalu Pak Iday memang begitu suka marah marah guru nyebelin seram juga Banyak siswa yang takut kata pelajar berkelamin laki laki itu Kamis Ia mengatakan di kelas Idayanto menerangkan pelajaran layaknya guru biasa namun jika murid di kelas melakukan kesalahan bukan saja ditegur melalui bimbingan namun bisa sampai tahap kekerasan Misalnya lempar pulpen ya intinya tidak pakai mulut ada saja barang yang dilempar katanya Ketua OSIS SMA Negeri Bekasi Muhamad Altafrafif membenarkan Idayanto terkenal dengan sikap temperamental terhadap siswa namun sikap emosional yang meledak ledak itu terjadi karena ada pemicunya Memang si guru itu salah cuma karena pemicunya dari siswanya itu sendiri misalnya contoh terlambat dan tidak pakai atribut lengkap kata Rafif Rafif berharap agar kejadian tersebut tidak terjadi lagi di SMA Negeri Bekasi Ia juga tidak menginginkan para siswa untuk tidak terlarut jauh membahas Idayanto Saya berharap ke depan tidak ada apa apa lagi Tidak ada kekerasan lagi kasus itu sudah diurus pihak berwenang Tugas kami belajar dan mengikuti proses belajar di sekolah katanya Wakil Kepala SMA Negeri Bekasi Ade Bahri mengatakan Idayanto saat ini telah dirumahkan sementara Hal itu sebagai upaya merelaksasi diri antara Idayanto dengan para siswa Untuk sementara oleh Bu Kepsek sudah dirumahkan dulu Jabatannya juga telah dibebastugaskan di sekolah Ini sekarang masih berjalan dan kami masih berdiskusi dengan perwakilan Kementerian Pendidikan dan Kebudayaan dan Dinas Pendidikan Bekasi katanya Pewarta Pradita Kurniawan SyahEditor Ade P Marboen 
Taiwan terbangkan jet tempur saat AU China patroli kitari pulau, Taipei Angkatan udara Taiwan memerintahkan jet jet tumpur mengudara pada Minggu untuk mencegat jet jet China yang terbang mengitari pulau yang diklaim Beijing sebagai miliknya itu Aksi China itu dikutuk Menteri Pertahanan Taiwan sebagai ancaman bagi perdamaian dan stabilitas wilayah China melakukan penerbangan yang disebutnya sebagai latihan pengepungan pulau secara sporadis sejak saat pemimpin Taiwan Tsai Ing wen menjabat untuk pertama kalinya Beijing yakin Tsai yang terpilih kembali bulan lalu berhasrat mendesakkan kemerdekaan formal pulau itu Dia bilang Taiwan adalah negara merdeka yang bernama resmi Republik China Dalam sebuah pernyataan Menteri Pertahanan Taiwan mengatakan jet tempur J dan pesawat pembom H China terbang menuju Teluk Bashi menuju selatan Taiwan lalu keluar memasuki lautan Pasifik sebelum kembali ke pangkalan lewat Selat Miyako yang terletak antara Pulau Miyako dan Okinawa Jepang menuju timur laut Taiwan Selama masa ini militer nasional Taiwan menggunakan secara wajar pesawat pengintai dan kekuatan pertahanan udara yang sejalan dengan regulasi kesiagaan tempur katanya Pernyataan itu dilengkapi gambar pesawat F Taiwan membayangi salah satu dari pesawat pembom H China Kantor Berita Pusat resmi Taiwan menyebutkan F yang diterbangkan itu membawa roket koret siap ledak Misi berjangkauan jauh melampaui laut dari Komunis China itu memengaruhi keamanan dan stabilitas regional dan membahayakan perdamaian dan kesejahteraan yang dimiliki bersama oleh semua pihak di kawasan itu kementerian itu mengatakan Komando Teater Timur China dalam pernyataan pada Minggu malam yang disiarkan Harian Tentara Pembebasan Rakyat menyebutkan pesawat itu menjalankan latihan berorientasi tempur yang nyata Taiwan dan pulaunya adalah bagian yang suci dan tak terpisahkan dari China Patroli siap tempur militer China adalah aksi yang sepenuhnya sah an perlu untuk situasi kini di Selat Taiwan dan bertujuan menjaga kedaulatan nasional Reuters Penerjemah Mulyo SunyotoEditor Atman Ahdiat 
"Iran akan luncurkan satelit, yang dianggap AS kedok pengembangan rudal", Satelit Zafar akan diluncurkan ke orbit hari ini dari Semnan pada kecepatan kilometer Dubai Iran pada Minggu akan meluncurkan satelit yang menjadi bagian dari program pemula miliknya menurut salah satu menteri Amerika Serikat menganggap program tersebut sebagai kedok untuk menutupi pengembangan rudal balistik Iran Satelit Zafar akan diluncurkan ke orbit hari ini dari Semnan pada kecepatan kilometer kata Menteri Teknologi Komunikasi dan Infromasi Iran Mohammad Javad Azari Jahromi seperti dilansir Kantor Berita IRIB Iran meluncurkan sedikitnya dua satelit tahun lalu namun gagal Amerika Serikat mengatakan pihaknya merasa khawatir bahwa teknologi balistik jarak jauh yang digunakan untuk menempatkan satelit ke dalam orbit dapat digunakan untuk meluncurkan hulu ledak nuklir Teheran membantah aktivitas satelit sebagai kedok untuk pengembangan rudal dan mengatakan Iran tidak pernah mengejar pengembangan senjata nuklir Pemerintah Presiden Donald Trump kembali memberlakukan sanksi terhadap Iran setelah pada Washingon hengkang dari perjanjian internasional yang dirancang untuk mengekang program nuklir Iran Menurutnya perjanjian nuklir tersebut sangat lemah dan tidak mencakup pembatasan terhadap program rudal Teheran Ketegangan antara Iran dan Amerika Serikat yang sudah meningkat atas isu nuklir mencapai puncaknya dalam puluhan tahun setelah jenderal besar Iran Qassem Soleimani tewas dalam serangan pesawat nirawak AS di Baghdad pada Januari Iran pun membalas serangan tersebut dengan menargetkan pangkalan AS di Irak Begitu satelit berada di orbit gambar pertama yang akan dikirim yakni foto Soleimani kata Menteri Azari Jahromi Minggu Iran meluncurkan satelit pertama mereka Omid Hope pada dan satelit Rasad Observation dilepaskan ke orbit pada Juni Teheran menyebutkan bahwa pada pihaknya berhasil menempatkan satelit buatan sendiri ketiga Navid Promise ke orbit Sumber Reuters 
Suwardi dan Jeka Saragih buka pertarungan One Pride 2020, Jakarta Dua laga utama tarung bebas akan mengawali kejuaraan tarung bebas MMA One Pride di Tennis Indoor Senayan Jakarta Sabtu yang mempertemukan Suwardi melawan Rama Supandhi dan Jeka Saragih melawan Angga Suwardi yang dikenal memiliki keahlian bela diri pencak silat itu naik oktagon dengan penuh percaya diri karena sudah menjalani pelatihan yang matang termasuk mempelajari bela diri lain yaitu Brazilian Jiu Jitsu Petarung asal Magetan Jawa Timur itu juga dikenal sebagai seorang grappler handal Persiapan sangat matang ngga ada cedera berat badan juga aman Kalau soal Rama memang dari usia lebih muda tarungnya juga bagus tapi untuk fight night nanti nggak ada yang dikhawatirkan Pesan saya mempertahankan gelar juara itu memang berat tapi lebih berat lagi ketika bertanding dengan sang juara kata juara kelas Flyweight One Pride Suwardi dalam keterangan resminya Rabu Selama di One Pride MMA Suwardi sudah delapan kali menghentikan lawannya dengan berbagai kuncian sendi yang unik Namun kepiawaiannya dalam Brazilian Jiu Jitsu akan diuji melawan Rama Supandhi grappler terbaik yang akan dihadapi Suwardi Penantang sabuk kelas flyweight kali ini Rama Supandhi pertama dijadwalkan melawan Suwardi pada Agustus namun harus mundur karena cedera pada saat latihan Kini petarung kelahiran Los Angeles Amerika Serikat ini akan kembali menantang sabuk kelas flyweight milik Suwardi Februari ini akan menjadi pertarungan Teknik vs teknik yang terbesar di One Pride Kedua petarung ini sangat baik dalam strategi sangat baik dalam submission terutama dalam Brazilian Jiu Jitsu kata Ketua Dewan Juri One Pride MMA Max Metino Si Tendangan Maut Sementara itu di laga lainnya ada title fight kelas lightweight antara Jeka Saragih dan Angga Jeka Saragih fighter kelahiran Simalungun Sumatera Utara ini tampil sebagai juara paling dominan di One Pride MMA sebagai fighter pertama yang memegang sabuk juara selama hari dan pertahanan gelar berturut turut Si Tendangan Maut terkenal dengan gaya bertarungnya yang meledak ledak dan sudah meraih kemenangan tanpa kalah sejak bulan Oktober Setelah mengalahkan Mhar John Manahan dari Filipina pada bulan September silam kini Jeka akan kembali mempertahankan gelar melawan Angga Lawannya yaitu Angga berlatih Bersama HAN Academy asuhan Johan Mulia Legowo yang sudah mencetak banyak petarung handal di One Pride MMA Pertarungan Angga melawan Jeka pertama dijadwalkan pada bulan Desember namun harus tertunda karena cedera pada saat persiapan Kini dengan total kemenangan di kelas lightweight dan lebih dari tahun bertarung di One Pride Angga siap untuk merebut sabuk juara kelas lightweight Pewarta Bayu KuncahyoEditor AA Ariwibowo 
"Liverpool redam Wolverhampton 2-1, restorasi keunggulan 16 poin", Jakarta Liverpool meredam tuan rumah Wolverhampton dengan skor dalam laga pekan ke Liga Inggris di Stadion Molineux Kamis waktu setempat Jumat WIB Wolverhampton yang tertinggal lebih dulu akibat tandukan Jordan Henderson sempat bangkit menyamakan kedudukan melalui Raul Jimenez tetapi Roberto Firmino naik ke atas panggung jadi penentu kemenangan Liverpool Kemenangan itu praktis membuat Liverpool kini mengumpulkan poin di puncak klasemen dan merestorasi keunggulan poin atas Manchester City di posisi kedua Sedangkan Wolverhampton gagal beranjak dari urutan ketujuh klasemen setelah dilompati Tottenham Hotspur sehari sebelumnya demikian catatan laman resmi Liga Inggris Wolverhampton tampil begitu meledak ledak hingga menit pertama pertandingan tapi justru Liverpool yang lebih dulu unggul berkat tandukan Henderson menyambut situasi tendangan sudut pada delapan menit setelah sepak mula Tuan rumah berkesempatan membalas lewat trik sepak pojok unik tapi Matt Doherty menyundul bola melenceng dari sasaran meski tanpa kawalan pemain lawan Sedangkan Mohamed Salah mengambil keputusan keliru ketika menerima umpan matang dari Sadio Mane dan jalur tembakannya terlanjur ditutup oleh para pemain Wolverhampton Setelah an menit pertandingan berjalan Mane terlihat kesakitan dan meminta ditarik keluar Klopp mengabulkannya dan mengirim Takumi Minamino masuk melakoni debutnya untuk Liverpool di Liga Inggris pada menit ke Tempo pertandingan cenderung melambat dengan Liverpool memilih bermain sabar dan Wolverhampton tampak kesulitan mencari celah pertahanan tamunya dan skor tak berubah hingga waktunya turun minum termasuk ketika lagi lagi peluang Salah dihalau Doherty sebelum mudah dijinakkan kiper Rui Patricio Selanjutnya babak kedua Tampilkan SemuaPewarta Gilang GaliarthaEditor Junaydi Suswanto 
Mentalitas Burnley diyakini jadi pembeda atas Leicester, Jakarta Mentalitas yang diperlihatkan para pemain Burnley diyakini sang manajer Sean Dyche jadi pembeda ketika mereka menang atas Leicester City dalam laga pekan ke Liga Inggris di Turf Moor Minggu Kami memperlihatkan mentalitas fantastis di pertandingan tadi setelah banyak pertanyaan menghujani penampilan kami dan saya memahami itu kata Dyche selepas pertandingan dilansir laman resmi Burnley Burnley tertinggal lebih dulu akibat gol Harvey Barnes sebelum Chris Wood menyamakan kedudukan disusul aksi gemilang kiper Nick Pope menggagalkan eksekusi penalti Jamie Vardy Kebangkitan itu dilengkapi dengan gol Ashley Westwood pada menit ke untuk membalikkan keadaan dan memenangi pertandingan atas Leicester Menurut Dyche hal itu tak lebih dari buah kerja keras dan mentalitas yang dipupuk para pemain Burnley sejak di markas latihan Para pemain luar biasa sepanjang pekan dengan keberhasilan membawa mentalitas positif dari sesi latihan ke lapangan pertandingan katanya Kami menyamakan kedudukan dengan pantas kemudian setelah penyelamatan penalti itu Anda bisa merasakan atmosfer di stadion meledak ledak dan para pemain membalas suporter dengan kemenangan manis pungkas Dyche Hasil itu menyudahi kekalahan beruntun yang diderita Burnley dalam empat pertandingan sebelumnya dan kini pasukan Dyche naik ke posisi ke klasemen dengan koleksi poin Kemenangan itu jelas jadi modal positif bagi Burnley yang selanjutnya akan bertandang ke Old Trafford menantang Manchester United pada Kamis dini hari WIB 
