title,content
"Peneliti Lapan: Matahari ""lockdown"" tidak sebabkan bencana", tidak ada bintik matahari yang teramati dalam beberapa hariJakarta Peneliti Lembaga Penerbangan dan Antariksa Nasional Lapan Rhorom Priyatikanto mengatakan fenomena Matahari lockdown tidak berdampak signifikan dan tidak menyebabkan bencana atau potensi bahaya tinggi di bumi Fenomena yang disebut sebut saat ini sebagai Matahari lockdown sebenarnya adalah fase minimum matahari di mana ini terjadi periodik sekitar tahunan Dampaknya terhadap bumi itu bisa dikatakan minim sekali tidak sampai menghasilkan pemanasan global atau sampai pendinginan global kata peneliti astronomi dan astrofisika pada Pusat Sains Antariksa Lapan Rhorom Priyatikanto kepada di Jakarta Selasa Rhorom menuturkan fase minimum matahari ini tidak berkaitan dengan aktivitas vulkanik atau menyebabkan gunung meletus Pada fase minimum matahari tidak muncul bintik matahari Saat ini matahari berada dalam kondisi tenang Kenampakan bintik matahari merupakan salah satu indikator yang paling utama terkait aktivitas matahari Jika semakin banyak bintik matahari maka aktivitas matahari semakin tinggi di mana potensi terjadi badai matahari dan ledakan ledakan kecil di permukaan matahari itu besar Sementara pada saat ini matahari itu berada dalam fase minimum artinya matahari dalam kondisi tenang hampir tidak ada bintik matahari yang teramati dalam beberapa hari ujar Rhorom Akan tetapi adakalanya matahari mengalami kondisi yang ekstrem atau luar biasa tenang Itu pernah terjadi pada peristiwa Maunder Minimum di awal abad ke dan Dalton Minimum di awal abad ke Pada saat itu selama beberapa siklus sekitar tahun matahari cenderung lebih tenang dibandingkan rata rata Akibatnya temperatur global mengalami penurunan derajat Celcius Pada peristiwa Dalton Minimum pada kondisi saat itu diperparah dengan kejadian letusan Gunung Tambora di Pulau Sumbawa Indonesia di mana abu dari letusan gunung itu sampai mencapai atmosfer sehingga memblokade radiasi matahari ke permukaan bumi Itu berefek pada pendinginan global yang lebih parah Bahkan tercatat dalam sejarah tahun bahwa tidak ada musim panas di beberapa daerah di Eropa Peristiwa fase matahari dengan kondisi luar biasa tenang itu juga menyebabkan terjadinya gagal panen krisis pangan dan berimbas pada resesi ekonomi saat itu Sedangkan pada saat ini Rhorom menuturkan meskipun matahari berada dalam fase minimum tapi matahari bukan pada kondisi yang ekstrem tenang sekali sehingga tidak bisa memicu penurunan suhu global sehingga tidak perlu kekhawatiran akan ada bencana seperti gagal panen dan tidak ada musim panas Fase minimum matahari itu kira kira kalau dalam catatan setahun atau dua tahun itu adalah fase minimumnya tuturnya Pada fase minimum matahari terjadi selama sekitar an hari dengan kondisi tanpa bintik matahari Pada fase minimum terjadi hampir hari tanpa bintik matahari Pada saat sekarang bintik matahari sudah mulai muncul sehingga bisa dikatakan tidak berada di titik bawah di fase minimum karena sudah mulai beranjak naik itu memang beberapa hari tidak ada bintik matahari tapi mulai muncul bintik matahari selang seling jadi secara statistik dalam catatan kita sedang terus bertambah tuturnya Meskipun saat ini tidak berada di titik terbawah fase minimum matahari akan tetapi peneliti masih menyatakan masa sekarang sebagai masa fase minimum matahari tambahnya 
BNPB: Terjadi 1.188 bencana hingga April 2020, Kejadian bencana yang paling banyak adalah banjirJakarta Kepala Pusat Data Informasi dan Komunikasi Kebencanaan Badan Nasional Penanggulangan Bencana BNPB Agus Wibowo mengatakan telah terjadi hingga April Kejadian bencana yang paling banyak adalah banjir diikuti angin puting beliung dan tanah longsor kata Agus saat dihubungi di Jakarta Rabu Hingga April meliputi kejadian banjir angin puting beliung dan tanah longsor Kejadian bencana yang lain adalah kebakaran hutan dan lahan empat gempa bumi tiga letusan gunung berapi dua gelombang pasang dan abrasi serta satu kejadian kekeringan Akibat kejadian bencana sebanyak orang meninggal dan delapan orang dilaporkan hilang Bencana juga menyebabkan orang mengungsi dan orang luka luka Bencana hingga April juga menyebabkan rumah rusak dengan perincian rumah rusak berat rumah rusak sedang dan rumah rusak ringan tuturnya Sedangkan fasilitas umum yang rusak mencapai unit dengan perincian fasilitas pendidikan fasilitas ibadah dan fasilitas kesehatan Selain itu bencana juga menyebabkan fasilitas perkantoran dan jembatan rusak Pewarta Dewanto SamodroEditor Zita Meirina 
"Aktivitas Gunung Semeru meningkat, warga sekitar diminta waspada", Malang Jawa Timur Pejabat Balai Besar Taman Nasional Bromo Tengger Semeru meminta warga di sekitar Gunung Semeru mewaspadai peningkatan aktivitas gunung api tersebut Kepala Sub Bagian Data Evaluasi Pelaporan dan Humas Taman Nasional Bromo Tengger Semeru Sarif Hidayat mengatakan pengelola taman nasional intensif berkoordinasi dengan petugas Pos Pengamatan Gunung Api PGA Sawur berkenaan dengan antisipasi peningkatan aktivitas gunung tertinggi di Pulau Jawa itu Kami sudah melaporkan kondisi peningkatan aktivitas Semeru ke petugas lapangan agar masyarakat waspada dan meminimalisir potensi kata Sarif di Kota Malang Jawa Timur Jumat Menurut informasi dari Pusat Vulkanologi dan Mitigasi Bencana Geologi PVMBG pada April pukul WIB ada luncuran awan panas sejauh meter yang mengarah ke Besuk Bang dari pusat guguran Gunung Semeru Berdasarkan pengamatan visual periode sampai April aktivitas Gunung Semeru didominasi guguran lava dan erupsi tidak menerus Erupsi gunung setinggi meter di atas permukaan laut tersebut menimbulkan kolom berwarna kelabu setinggi sampai meter di atas puncak Selama periode sampai April aktivitas kegempaan di Gunung Semeru tercatat masih tinggi dengan gempa letusan terekam rata rata kejadian per hari gempa hembusan kejadian per hari dan gempa guguran enam kejadian per hari Menurut PVMBG ada potensi erupsi menerus dengan sebaran material berupa aliran lava hujan abu dan lontaran batu pijar di sekitar kawah dalam radius satu kilometer dari pusat erupsi serta awan panas dengan guguran sejauh empat kilometer di sekitar lereng tenggara dan selatan Penumpukan material erupsi di sekitar puncak lereng dan hulu Besuk Bang Besuk Kembar dan Besuk Kobokan berpotensi menjadi aliran lahar jika ada hujan deras Saat ini Gunung Semeru statusnya waspada Level II Penutupan Taman Nasional Bromo Tengger Semeru diperpanjang Gunung Semeru keluarkan awan panas sejauh tiga kilometerPewarta Vicki FebriantoEditor Maryati 
Polda Sumbar beri polwan pelatihan jahit masker saat COVID-19, Membantu kebutuhan masker masyarakat maupun petugas saat pandemi COVID Padang Kepolisian Daerah Polda Sumatera Barat Sumbar memberikan belasan personel polisi wanita polwan pelatihan menjahit masker di Balai Latihan Kerja BLK Padang untuk membuat masker nonmedis membantu persediaan masker saat pandemi COVID Kapolda Sumbar Irjen Toni Harmanto di Padang Rabu mengatakan ada personel polwan yang dilatih mulai dari bintara maupun perwira untuk membuat masker nonmedis itu Hal ini tentu diperlukan membantu kebutuhan masker masyarakat maupun petugas saat pandemi COVID kata dia Dia mengatakan telah datang ke Balai Latihan Kerja BLK Padang melihat perkembangan pelatihan yang diikuti personel polwan Polda Sumbar dalam membuat masker Semoga ilmu yang mereka dapatkan nanti bisa diterapkan di kesatuan katanya pula Ia mengatakan keterampilan yang didapatkan oleh para personel akan sangat berguna ketika bencana terjadi Menurut dia masker tidak hanya berguna saat pandemi COVID saja akan tetapi peristiwa kabut asap letusan Gunung Merapi dan lainnya membuat warga akan membutuhkan masker sebagai pelindung diri Kita berharap ilmu yang mereka dapat bisa dibagi juga dengan personel lain dan berguna bagi masyarakat ujarnya lagi Kepala BLK Padang Syamsi Hari mengapresiasi Polda Sumbar yang cepat tanggap terhadap kondisi darurat saat ini Menurut dia langkah menugaskan personelnya untuk pelatihan menjahit masker nonmedis sebagai alat pelindung diri yang sangat dibutuhkan saat ini selama pandemi COVID Kita sangat terbuka dengan kegiatan ini Semoga ilmu yang didapat di BLK bisa diaplikasikan untuk masyarakat kata dia pula Pewarta Mario Sofia NasutionEditor Budisantoso Budiman 
Ahli sebut Gunung Slamet berpotensi meletus besar di masa mendatang, Yang penting adalah kesiapsiagaan dan kesadaran masyarakat sekitar bahwa mereka tinggal di daerah rawan bencanaJakarta Ahli vulkanologi Universitas Gadjah Mada UGM Dr Agung Harijoko mengatakan Gunung Slamet di Jawa Tengah berpotensi mengalami letusan cukup besar di masa mendatang Dari peta PVMBG Pusat Vulkanologi dan Mitigasi Bencana Geologi itu ada sampai daerah KRB Kawasan Rawan Bencana itu masuk ke arah Guci kata Agung dalam diskusi daring Memahami Aktivitas Gunungapi Busur Sunda dalam rangka ulang tahun ke Ikatan Ahli Geologi Indonesia IAGI di Jakarta Senin Namun demikian ia belum dapat memperkirakan kapan dan seberapa dahsyat letusan tersebut kemungkinan terjadi Ia mengatakan dilihat dari peta letusan yang mengarah ke Guci ia menemukan ada endapan awan panas yang cukup tebal yang secara materi disebut scoria atau dalam ilmu geologi disebut sebagai aliran scoria Di Guci sendiri saya menemukan sampai tujuh lapisan awan panas sehingga sebenarnya ada letusan yang menghasilkan awan panas yang alirannya mencapai Guci dan itu tidak hanya sekali tetapi sampai tujuh kali katanya Oleh karena itu ia menduga tentang kemungkinan adanya perulangan erupsi yang cukup besar di masa mendatang Jadi dari letusan Gunung Slamet yang terekam di Lembah Guci itu ada letusan besar Cuma kita tidak tahu perulangannya berapa lama lagi berapa tahun lagi Tapi potensi akan ada letusan besar di Slamet itu ada kalau melihat sejarah erupsi masa lalunya kata dia Untuk itu upaya mitigasi berupa monitoring seperti yang dilakukan oleh PVMBG memang sangat penting untuk dilakukan untuk tanda tanda dan tingkat kegempaan yang mengarah pada kemungkinan erupsi Namun yang lebih penting lagi menurut dia adalah bagaimana kesiapsiagaan masyarakat di sekitar gunung api tersebut Apakah masyarakat di sana cukup tahu tentang bahaya Gunung Slamet Yang penting adalah kesiapsiagaan dan kesadaran masyarakat sekitar bahwa mereka tinggal di daerah rawan bencana katanya Pewarta KatrianaEditor Agus Salim 
Ini penjelasan Volkanolog ITB tentang suara dentuman, Bandung Volkanolog Institut Teknologi Bandung ITB Dr Eng Mirzam Abdurrachman ST MT memberikan penjelasan terkait suara dentuman yang terjadi di DKI Jakarta Bogor dan Depok pada April Mirzam Abdurrachman dalam siaran pers Humas ITB Minggu menjelaskan sampai saat ini belum diketahui secara pasti sumber asal suara dentuman tersebut Namun menurutnya suara dentuman bisa terjadi salah satunya karena aktivitas magma dari suatu gunung api akibat perpindahan magma secara tiba tiba dari dapur magma ke lokasi yang lebih dangkal Menurut dia kejadian ini mengakibatkan terjadinya kekosongan dan ambruknya dapur magma dalam sehingga menghasilkan dentuman dan getaran di daerah sekitarnya Fenomena yang sering juga disebut underground explosion ini bisa dan tidak selalu diikuti oleh suatu erupsi gunung api Namun hal tersebut masih perlu mendapat dikaji terlebih dahulu dengan data kegempaan serta perubahan temperatur dan pelepasan gas dari gunung gunung di sekitar Jabodetabek dan juga Gunung Anak Krakatau ujarnya Dia mengatakan hipotesis tersebut didasarkan pada peristiwa serupa yang terjadi di tiga gunung api di tiga negara yaitu Gunung Api Miyakejima Jepang tahun Gunung Piton de La Fournaise Pulau Reunion tahun dan gunung di Kepulauan Mayotte Prancis tahun Dosen Program Studi Teknik Geologi Fakultas Ilmu dan Teknologi Kebumian ITB tersebut memastikan bahwa hipotesis atau dugaan tersebut masih perlu dikaji dan dibuktikan apakah dentuman keras misterius tersebut mempunyai hubungan dengan erupsi Gunung Anak Krakatau pada Jumat lalu Terletak di Selat Sunda Provinsi Lampung Gunung Anak Krakatau berada di antara Pulau Panjang Sertung dan Pulau Rakata Dijelaskannya letusan Gunung Anak Krakatau termasuk tipe strombolian dan vulkanian yang memiliki energi letusan tergolong rendah hingga sedang Berdasarkan data Volcanic Explosivity Index VEI Gunung Anak Krakatau miliki nilai VEI artinya tergolong rendah hingga sedang Dr Mirzam Abdurrachman mengatakan Gunung Anak Krakatau baru muncul ke permukaan sejak tahun Sejak tahun tersebut Gunung Anak Krakatau tumbuh besar dan mempesona ujar Mirzam Gunung Anak Krakatau adalah sisa sejarah panjang letusan Krakatau Purba yang berlangsung sejak abad ke hingga letusan di tahun yang hanya menyisakan Rakata Panjang dan Sertung Hampir setiap tahun Gunung Anak Krakatau memperlihatkan aktivitas vulkanisme Pola letusannya pun kini tercatat semakin teratur sejak tahun Letusan eksplosif dan efusi tersebut datang silih berganti setiap dua tahun sekali dan membentuk sebuah pola Sampai saat ini tingkat aktivitas vulkanik Gunung Anak Krakatau masih tetap pada Level II Waspada 
Mewaspadai Anak Krakatau, letusan Gunung Anak Krakatau yang terjadi sejak Jumat malam hingga April pukul WIB tidak memicu terjadinya kenaikan permukaan air lautJakarta Setelah tiga bulan hari jeda dan tak terdengar aktivitasnya Gunung Anak Krakatau di Selat Sunda kembali meletus pada Jumat malam pukul WIB hingga Sabtu pagi Letusan kali ini cukup kuat dan mengejutkan warga di beberapa provinsi Apalagi letusan ini terjadi di tengah kecemasan adanya wabah virus corona jenis baru COVID Sebelum letusan kali ini Gunung Anak Krakatau meletus dan menyemburkan kolom abu setinggi meter pada Selasa Desember pukul WIB Sejak itu vakum dan meletus lagi Jumat lalu Pusat Vulkanologi dan Mitigasi Bencana Geologi PVMBG Badan Geologi pada Kementerian Energi dan Sumber Daya Mineral ESDM mengamati adanya kolom abu tebal berwarna kelabu hingga hitam dengan tinggi meter di atas puncak atau sekitar meter di atas permukaan laut saat gunung itu meletus Kolom abu pada letusan akhir itu condong ke arah selatan Pada letusan April Anak Krakatau menyemburkan abu vulkanik sekitar meter di atas permukaan laut dpl Letusan atau erupsi tersebut terekam dalam seismograf dengan amplitudo maksimum mm Aplikasi Magma Indonesia magma vsi esdm id juga menyebutkan aktivitas seismik ditandai dengan erupsi tremor yang terjadi terus menerus Berdasarkan pantauan kamera pengawas atau CCTV pada Pos Pemantauan Gunung Anak Krakatau abu vulkanik berwarna hitam dan abu abu bergerak ke arah timur Ketinggiannya sekitar meter dari dasar kawah PVMBG menyebutkan tingkat aktivitas gunung itu berada pada Level II atau Waspada Dengan status itu masyarakat atau wisatawan tidak diperbolehkan mendekati kawah dalam radius dua kilometer dari kawah Rangkaian Ternyata letusan menjelang tengah malam tersebut merupakan awal dari rangkaian letusan berikutnya Badan Nasional Penanggulangan Bencana BNPB menyatakan berdasarkan laporan PVMBG letusan itu berlangsung hingga Sabtu pagi Letusan terus berlangsung sampai pada pukul WIB Kepala Pusat Data Informasi dan Komunikasi Kebencanaan Kapusdatinkom Badan Nasional Penanggulangan Bencana BNPB Agus Wibowo melalui keterangan pers yang diterima juga mengatakan letusan terekam di seismograf dengan amplitudo maksimum mm dan berdurasi sekitar menit detik Berdasarkan laporan Badan Penanggulangan Bencana Daerah BPBD Kabupaten Lampung Selatan tentang kondisi mutakhir di Kecamatan Rajabasa pada Sabtu April pukul WIB tidak tercium bau belerang dan debu vulkanik Hujan mulai turun dan masyarakat di sana terutama Desa Way Mulih Way Mulih Timur dan Kunjir sudah berangsur angsur kembali ke rumah masing masing Namun warga masih berjaga jaga dan ronda untuk memantau kondisi yang ada Sejumlah upaya telah dilakukan di antaranya oleh Tim Reaksi Cepat TRC BPBD Kabupaten Lampung yang telah menghubungi tim pemantau Gunung Anak Krakatau Menurut hasil pantauan tim tersebut status gunung tersebut masih Waspada Level II dengan aktivitas vulkanik yang sudah mulai mereda Sementara masyarakat diimbau untuk tidak panik Kemudian TRC BPBD Kabupaten Lampung Selatan juga menggunakan mobil pertolongan rescue untuk menyampaikan pengumuman kepada masyarakat agar tetap tenang karena aktivitas Gunung Api Krakatau sudah reda Personel TNI dan Polri masih siaga di masyarakat untuk membantu mengevakuasi warga Sedangkan aparat desa dan camat setempat sudah memberikan arahan kepada warga di wilayah daratan yang dekat dengan gunung di tengah laut itu Tsunami Letusan Anak Krakatau kali ini juga mengingatkan letusan dahsyat pada Desember Saat itu ratusan warga yang tinggal di pulau pulau terdekatnya harys dievakuasi ke Pulau Sumatera Mereka diangkut dengan kapal milik PT ASDP ke Pelabuhan Bakauheni sebelum ditampung di pengungsian di Kalianda Lampung Selatan Letusan tahun itu menimbulkan gelombang dahsyat tsunami yang menerabas permukiman di dekat pantai Saat itu tsunami dahsyat terjadi sepanjang pantai Pandeglang Provinsi Banten Tak sedikit orang meninggal dan permukiman pinggir pantai porak poranda Pada letusan kali ini menurut Badan Meteorologi Klimatologi dan Geofisika BMKG letusan Gunung Anak Krakatau yang terjadi sejak Jumat malam hingga April pukul WIB tidak memicu terjadinya kenaikan permukaan air laut Hasil monitoring muka laut menggunakan tide gauge di Pantai Kota Agung Pelabuhan Panjang Binuangen dan Marina Jambu menunjukkan tidak ada anomali perubahan muka laut Kepala Pusat Gempa Bumi dan Tsunami BMKG Rahmat Triyono menjelaskan berdasarkan hasil pemantauan monitoring muka laut menggunakan Radar Wera yang berlokasi di Kahai Lampung dan Tanjung Lesung Provinsi Banten tidak menunjukkan adanya anomali muka laut pada waktu yang sama Karena itu BMKG menyimpulkan bahwa letusan Gunung Anak Krakatau pada Jumat malam tidak memicu terjadinya tsunami Lemah Hasil monitoring kegempaan BMKG tepat pada saat terjadinya erupsi pukul WIB dan pukul WIB menunjukkan bahwa sensor BMKG tidak mencatat adanya aktivitas seismik Letusan kali ini berdasarkan catatan sensor BMKG lebih lemah dibandingkan erupsi yang terjadi pada Desember Namun demikian BMKG mencatat ada gempa di Selat Sunda berdasarkan hasil monitoring seismik pada pukul WIB hingga WIB baik eksisting maupun sensor baru yang dipasang pada Sensor seismik BMKG tersebut adalah CGJI di Cigeulis Banten WLJI di Wonosalam Banten PSSM di Pematang Sawah Lampung LLSM di Limau Lampung KASI di Kota Agung Lampung CSJI di Ciracap Jawa Barat dan KLSI di Kotabumi Lampung Hasil analisis BMKG terkait gempa tersebut menunjukkan terjadinya gempa tektonik di Selat Sunda pada pukul WIB dengan magnitudo dengan episenter terletak pada koordinat lintang selatan LS dan bujur timur BT Tepatnya di laut pada jarak kilometer km arah selatan barat daya Gunung Anak Krakatau di kedalaman km Warga Pasauran Cinangka di Kabupaten Serang hingga Carita di Kabupaten Pandeglang Provinsi Banten sempat mendengar suara dentuman saat terjadinya letusan Gunung Anak Krakatau Jumat malam Karena merasa khawatir akan terjadi tsunami seperti tahun sebagian warga mengungsi ke perbukitan Tsunami tahun itu menimbulkan trauma yang masih membekas Warga pun terus waspada karena berdasarkan pengalaman selama ini letusan Anak Krakatau berdurasi panjang Artinya frekuensinya rutin seperti rangkaian yang terus menerus meski skalanya kecil namun sekali waktu membahayakan Di tengah kecemasan akibat virus corona letusan Anak Krakatau menambah beban pikiran banyak warga Terutama mereka yang menjadi korban tsunami akibat runtuhnya Anak Krakatau pada Desember Tak berlebihan kiranya disandarkan harapan dan doa agar suasana yang sudah sulit seperti ini tidak bertambah sulit karena letusan Anak Krakatau Seperti yang sudah disampaikan jajaran pemerintah warga diharapkan untuk tetap tenang namun tetap menjaga kewaspadaan Aparat diyakini terus memantau situasi dan selalu berada di tengah masyarakat Oleh Sri MuryonoEditor Ganet Dirgantara 
"Anak Krakatau kembali meletus, warga Pandeglang di pesisir pantai panik", Gunung Anak Krakatau GAK kembali mengalami erupsi Jumat hingga Sabtu dini hari Letusan disertai luapan lahar itu membuat warga pesisir pantai di Kecamatan Sumur panik khawatir akan terjadi tsunami seperti pada tahun silam Rangga Eka Putra Rayyan Sizuka 
Erupsi Gunung Anak Krakatau berlangsung sampai Sabtu pagi, Jakarta Badan Nasional Penanggulangan Bencana BNPB menyatakan erupsi Gunung Anak Krakatau di Lampung berlangsung hingga Sabtu pagi berdasarkan laporan Pusat Vulkanologi dan Mitigasi Bencana Geologi PVMBG Letusan terus berlangsung sampai Sabtu pagi pada pukul WIB kata Kepala Pusat Data Informasi dan Komunikasi Kebencanaan Kapusdatinkom BNPB Agus Wibowo melalui keterangan pers yang diterima di Jakarta Sabtu Ia mengatakan berdasarkan laporan PVMB Gunung Anak Krakatau mengalami erupsi pada April pukul WIB dengan ketinggian kolom abu sekitar meter m di atas permukaan laut Kolom abu yang diamati kata dia berwarna kelabu dengan intensitas sedang hingga tebal condong ke arah utara Berdasarkan laporan itu juga Agus menyebutkan erupsi terekam di seismogram dengan amplitudo maksimum mm dengan durasi sekitar menit detik Sementara itu berdasarkan laporan Badan Penanggulangan Bencana Daerah BPBD Kabupaten Lampung Selatan tentang kondisi mutakhir di Kecamatan Rajabasa Lampung Selatan pada Sabtu April Pukul WIB tidak tercium bau belerang dan debu vulkanik sementara hujan mulai turun dan masyarakat di sana terutama Desa Way Mulih Way Mulih Timur dan Kunjir sudah berangsur angsur kembali ke rumah masing masing Namun warga masih berjaga jaga dan ronda untuk memantau kondisi yang ada katanya Sejumlah upaya telah dilakukan di antaranya oleh TRC BPBD Kabupaten Lampung yang telah menghubungi tim pemantau Gunung Api Krakatau Menurut hasil pantauan tim tersebut status gunung tersebut masih waspada pada level dengan aktivitas vulkanik yang sudah mulai mereda Sementara masyarakat diimbau untuk tidak panik Kemudian TRC BPBD Kabupaten Lampung Selatan juga menggunakan mobil rescue untuk memberi pengumuman kepada masyarakat agar tetap tenang karena aktivitas Gunung Api Krakatau sudah reda Sementara itu TNI dan Polri saat ini masih siaga di lokasi kejadian untuk membantu mengevakuasi warga Sedangkan aparat desa dan camat setempat sudah berada di lokasi kejadian untuk memberikan arahan kepada warga Sampai pagi ini belum ada laporan kerusakan Sementara petugas BPBD dan aparat setempat akan terus memantau dan melaporkannya Pewarta KatrianaEditor Arief Mujayatno 
PVMBG sebut suara dentuman bukan karena erupsi Anak Krakatau, Saya sudah konfirmasi petugas pos pengamatan mereka tidak mendengar karena letusannya juga kecilJakarta Pusat Vulkanologi Mitigasi dan Bencana Geologi PVMBG menyebut suara dentuman yang ramai dibahas di media sosial bukan berasal dari erupsi Gunung Anak Krakatau di Selat Sunda Saya sudah konfirmasi petugas pos pengamatan mereka tidak mendengar karena letusannya juga kecil kata Kepala Bidang Mitigasi Gunung Api Hendra Gunawan dihubungi di Jakarta Sabtu Menurut dia erupsi gunung yang terletak di Selat Sunda dalam wilayah Kabupaten Lampung Selatan Provinsi Lampung itu hanya mengeluarkan semburan ketinggian berkisar meter Ia menyebut letusan yang terjadi pada Jumat malam juga bukan merupakan letusan eksplosif dan hanya semburan Biasanya dalam jarak dua kilometer kedengaran hanya suara desis saja ujarnya pula Sebelumnya setelah Gunung Anak Krakatau erupsi warganet ramai membahas suara dentuman di media sosial yang mereka duga ada hubungannya dengan erupsi tersebut Suara erupsi Anak Krakatau kedengeran sampai Tanah Kusir kata sutradara film Joko Anwar melalui akun twitternya di Jakarta Sabtu Cuitan Joko Anwar itu kemudian mendapat tanggapan ratusan warganet lainnya Joko mengira awalnya suara dentuman tersebut karena ada orang yang sedang bermain drum Pesinetron Enzy Storia juga menuliskan cuitan di akun twitternya karena mendengar suara dentuman Ini rumah gue dari tadi kayak kedengeran suara dentuman ya Allah ada apa lagi ujarnya pula Warganet lain juga membahas terkait suara dentuman tersebut Hingga Sabtu pagi tagar dentuman dicuitkan ribuan kali oleh warganet dan menduduki trending Indonesia nomor dua di twitter Pewarta Dewa Ketut Sudiarta WigunaEditor Budisantoso Budiman 
