title,content
"Buron setahun, polisi Kotawaringin Timur tangkap tersangka pembunuh", Setelah kabur selama satu tahun lebih tersangka berhasil ditangkap Jumat Sampit Seorang pria berinisial Sub ditangkap Polres Kotawaringin Timur Kalimantan Tengah setelah buron setahun lebih karena menjadi tersangka pembunuhan terhadap Sumbrani di Desa Telaga Baru Kecamatan Mentawa Baru Ketapang pada Maret lalu Setelah kabur selama satu tahun lebih tersangka berhasil ditangkap Jumat Dia ditangkap di kawasan Batu Kapal Desa Kapuk Kecamatan Mentaya Hulu dan langsung dibawa ke sini untuk menjalani proses hukum kata Kapolres Kotawaringin Timur Kotim AKBP Abdoel Harris Jakin diwakili Kapolsek Ketapang Kompol Yosef Thomas Tortet di Sampit Sabtu Pembunuhan itu bermula ketika sepeda motor tersangka ditabrak oleh dua anak anak yang mengendarai sepeda motor Tidak terima tersangka yang berbekal sebilah senjata tajam hendak menyerang kedua anak tersebut Korban yang melihat dari kejauhan berusaha mencegah dengan cara melintas menggunakan sepeda motor sehingga langkah tersangka mengejar kedua anak itu sempat terhambat Korban kemudian turun dari sepeda motornya dan berusaha melerai Ternyata tindakan korban itu membuat tersangka naik pitam hingga menyerang korban secara membabi buta Korban mengembuskan napas terakhirnya saat dilarikan ke rumah sakit akibat luka parah pada kedua lengan muka dada dan punggung Saat kejadian tersangka diketahui baru saja minum minuman keras namun belum dipastikan apakah saat itu dia mabuk atau tidak Tersangka menyerang korban menggunakan parang tanpa gagang hingga korban menderita luka parah dan meninggal dunia Usai melakukan tindakan keji itu tersangka kabur ke Pangkalan Bun Kabupaten Kotawaringin Barat Selama enam bulan lebih tersangka menghindari polisi dengan berpindah pindah tempat Duda ini kemudian pindah ke Batu Kapal Desa Kapuk Kecamatan Mentaya Hulu Di tempat persembunyian yang jauh dari kota tersangka bekerja menjadi penambang tradisional untuk memenuhi kebutuhan hidupnya Tersangka dijerat dengan pasal KUHP subsider ke Pasal ayat dengan ancaman hukumannya maksimal tahun penjara kata Tortet Tersangka Sub mengakui perbuatannya itu Dia mengaku melakukan perbuatan kejam itu karena tersulut emosi terhadap korban Dia korban menghalangi saya Dia juga menyuruh orang yang menabrak saya itu lari makanya saya emosi demikian Sub Pewarta Kasriadi NorjaniEditor Budisantoso Budiman 
Lapan: Asteroid 1997 BQ melintas dekat bumi jelang Idul Fitri, Jakarta Lembaga Penerbangan dan Antariksa Nasional Lapan mengatakan asteroid BQ melintas dekat Bumi menjelang Idul Fitri H atau Lebaran Jarak papasan dekatnnya mencapai kali jarak Bumi Bulan jadi masih dapat dikatakan aman tidak akan berdampak kata peneliti dari Pusat Sains Antariksa Lapan Emanuel Sungging Mumpuni kepada Jakarta Kamis Asteroid itu tidak akan berdampak pada Bumi saat melintas dekat Bumi karena jarak lintasan terdekatnya ke Bumi masih tergolong aman Asteroid itu akan melintas dekat Bumi pada Jumat pukul WIB pada jarak juta kilometer Asteroid itu berukuran kilometer dan dikategorikan sebagai Asteroid Apollo dengan kelas spektral S siliceous serta Asteroid Berpotensi Berbahaya Emanuel menuturkan sebetulnya peristiwa asteroid melintas dekat Bumi senantiasa terjadi Oleh karena itu harus selalu diawasi besar arahnya serta lintasannya yang mendekat Bumi Perlu diketahui besaran dampak yang ditimbulkan asteroid jika menabrak Bumi sangat bergantung pada ukuran besar asteroid Emanuel mengatakan jika ada asteroid yang begitu besar menabrak Bumi maka dampaknya bisa sampai menyebabkan kepunahan dinosaurus 
Puncak aktivitas matahari diperkirakan 2024 picu gangguan komunikasi, Jakarta Peneliti Lembaga Penerbangan dan Antariksa Nasional Lapan Rhorom Priyatikanto mengatakan puncak aktivitas matahari diperkirakan akan terjadi pada dan berpotensi memicu gangguan komunikasi Puncak aktivitas matahari di dan diperkirakan puncaknya pun tidak terlalu tinggi hampir sama dengan dan kata peneliti astronomi dan astrofisika pada Pusat Sains Antariksa Lapan Rhorom Priyatikanto kepada Antara di Jakarta Selasa Ketika matahari berada pada fase puncak atau maksimum ketika aktivitas matahari tinggi potensi badai matahari tinggi dan cukup sering terjadi letupan di permukaan matahari Peristiwa itu akan berakibat pada gangguan komunikasi radio dan gangguan terhadap satelit Badai matahari pada fase puncak aktivitas matahari itu juga akan mengakibatkan penebalan atmosfer yang memicu satelit cepat jatuh Tetapi tidak ada dampak secara langsung pada kehidupan masyarakat awam Namun karena puncak aktivitas matahari pada diperkirakan tidak terlalu tinggi tidak ada pengaruh signifikan terhadap bencana alam di bumi Sementara pada saat ini sedang berlangsung fase minimum matahari yang merupakan kondisi periodik tahunan Dalam fase ini matahari dalam kondisi tenang Pada fase minimum matahari tidak muncul bintik matahari Fase minimum matahari itu tidak menyebabkan bencana alam di bumi Rhorom menuturkan fase minimum matahari ini tidak berkaitan dengan aktivitas vulkanik atau membuat gunung meletus Pewarta Martha Herlinawati SEditor Endang Sukarelawati 
"Aktor ""Twilight"" Gregory Tyree Boyce meninggal dunia", Jakarta Aktor Gregory Tyree Boyce yang berperan sebagai Tyler Crowley di film Twilight pertama meninggal dunia di usia ke tahun pada Rabu dilansir Variety hari ini Boyce ditemukan meninggal bersama dengan kekasihnya Natalie Adepoju di kediamannya di Las Vegas penyebab kematian masing masing belum diungkap Pada tahun Boyce tenar lewat perannya sebagai Tyler Crowley di film Twilight pertama Tyler Crowley adalah salah satu pelajar di SMA Forks Dia nyaris menabrak Bella Swan sang tokoh utama yang diperankan oleh Kristen Stewart dengan mobil Adegan ikonik yang paling dikenang para fans adalah saat Edward Cullen yang diperankan oleh Robert Pattinson menghentikan mobil Tyler Crowley hanya dengan satu tangan Sejak itulah kecurigaan Bella bahwa Edward adalah seorang vampir semakin kuat Karier Boyce sebagai aktor setelah itu tak begitu moncer Dia hanya tercatat pernah main di sebuah video pendek Apocalypse sebagai Cowboy Menurut ibunya Boyce sedang mulai menggeluti bisnis restoran ayam West Wings Dia menamai menu menu hidangan sayap ayam goreng seperti nama nama para rappers seperti Snoop Dog Kendrick Lamar Roddy Ricch The Game dan lain lain Uniknya sayap ayam di restoran Boyce memiliki beragam rasa mulai dari Tequila Lime Agave hingga Hennessy Maple Boyce memiliki seorang putri Alaya sementara Adepoju memiliki seorang bayi laki laki Egypt 
"Rumah Sakit Hewan Unud beri layanan gratis untuk anjing, kucing lokal", Denpasar Rumah Sakit Hewan Pendidikan RSHP Fakultas Kedokteran Hewan Universitas Udayana Unud Bali memberikan layanan kesehatan gratis untuk anjing dan kucing lokal Semua gratis tapi khusus untuk anjing dan kucing lokal Kenapa lokal saja karena biasanya jarang disukai atau dipelihara Biasanya yang memelihara hanya dari pihak yang benar benar pecinta hewan anjing atau kucing lokal yang tugasnya menampung kucing dan anjing lokal kata Direktur RSHP Unud Prof Ni Ketut Suwiti di Denpasar Senin Pelayanan kesehatan gratis yang diberikan untuk anjing dan kucing lokal menurut dia meliputi vaksinasi sterilisasi kastrasi dan histerektomi dan pengobatan penyakit infeksi dan non infeksi Ia menambahkan layanan kesehatan gratis untuk anjing dan kucing lokal diberikan mulai pekan kedua setiap bulan selama Mei Juni dan Juli Pengelola rumah sakit menerapkan protokol kesehatan untuk mencegah penularan COVID dalam memberikan pelayanan kesehatan hewan serta mengatur jadwal pemeriksaan Selain memberikan pelayanan untuk anjing dan kucing lokal juga ada untuk kasus emergency seperti ada anjing dan kucing yang tertabrak kendaraan Sebelum COVID melanda yang menabrak itu berbaik hati antar ke rumah sakit dan membiayai semua biaya kesehatannya kalau sekarang masih ada juga yang baik bawa ke RS awalnya membayar DP setelah itu ditinggal begitu saja di sini kata Ni Ketut Suwiti Kelinci jadi hiburan orang Nigeria saat karantina wilayah Di Wuhan pencinta binatang dobrak rumah demi selamatkan peliharaan Pewarta Ayu Khania PranishitaEditor Maryati 
Perwira polisi ditabrak saat bubarkan komunitas motor di Bundaran HI, AKP Revi Mingga mengalami luka di pelipis kiri kondisinya sudah membaikJakarta Wakil Kepala Satuan Sabhara Polres Metro Jakarta Pusat AKP Revi Mingga terluka akibat ditabrak sepeda motor salah seorang anggota komunitas motor yang hilang kendali di Bundaran HI Jakarta Pusat Minggu dini hari Kapolres Metro Jakarta Pusat Kombes Pol Heru Novianto membenarkan hal tersebut yang mengakibatkan luka di tubuh perwiranya itu Kondisi luka pelipis kiri Masih dirawat dan sudah membaik ujar Heru di Jakarta Minggu Peristiwa tersebut terjadi saat anggota komunitas motor tersebut nekat menabrak iring iringan patroli kepolisian Saat itu anggota Polri dan TNI tengah melakukan operasi rutin di wilayah Jakarta Pusat dalam rangka pengamanan bulan Ramadhan dan penanganan COVID Ketika melintas di kawasan Menteng terdapat sekelompok remaja yang diduga tengah melakukan balap liar Petugas pun langsung membubarkan para remaja tanggung itu hingga mereka kabur Namun saat tengah dibubarkan salah satu anggota komunitas motor hilang kendali hingga menabrak salah satu perwira yang sedang bertugas Sementara ada lima orang yang ditangkap atas peristiwa tersebut Satu orang yang menabrak perwira dibawa ke Polda untuk diperiksa oleh anggota laka lantas Sementara yang empat dibawa ke Satlantas Jakarta Pusat untuk diperiksa soal kendaraannya Mereka diminta tuk melengkapi kelengkapan motornya ujar Heru Pihaknya kini masih menyelidiki kemungkinan anggota geng motor tersebut menggunakan minuman keras dan obat terlarang lainnya Pewarta Devi Nindy Sari Ramadhan dan Livia KristiantiEditor Ganet Dirgantara 
Badan Penyelenggara Produk Halal tegaskan sudah bekerja sesuai UU, Yang menggugat kan tidak tahu bahwa kami juga berkoordinasi Rapat kan bentuk koordinasiJakarta Badan Penyelenggara Jaminan Produk Halal BPJPH menegaskan bahwa pihaknya bekerja sudah sesuai dengan peraturan perundangan berlaku menyusul gugatan Indonesia Halal Watch IHW pada lembaga pemerintah itu di Pengadilan Negeri Jakarta Pusat karena dugaan kesalahan koordinasi peresmian sebuah Lembaga Pemeriksa Halal LPH Kami ini bekerja berdasarkan undang undang kan BPJPH itu adalah lembaga pemerintah kata Kepala BPJPH Sukoso dalam pesan singkatnya pada Antara di Jakarta Minggu IHW menggugat BPJPH dengan alasan karena badan tersebut meresmikan PT Sucofindo dan pusat pemeriksa halal Universitas Hasanudin sebagai LPH tanpa melalui kerja sama dengan Majelis Ulama Indonesia MUI Namun demikian BPJPH menolak tuduhan tersebut dan menyatakan bahwa pihaknya memiliki bukti bukti berupa dokumen dan surat bahwa mereka melibatkan MUI dalam proses menjadikan Sucofindo dan UNHAS sebagai LPH Yang menggugat kan tidak tahu bahwa kami juga berkoordinasi Rapat kan bentuk koordinasi Bikin surat dan kirim surat juga bentuk koordinasi katanya Sukoso juga memastikan tidak ada yang dilanggar dalam menjadikan PT Sucofindo dan UNHAS sebagai LPH Karena secara administratif dua lembaga itu sudah memenuhi syarat sebagai LPH seperti memiliki kantor sendiri auditor halal dan laboratorium Sucofindo itu sudah memenuhi syarat administrasi sebagai LPH demikian juga UNHAS kata Sukoso Kendati demikian Sukoso mengatakan dirinya tidak bisa berbicara lebih jauh mengenai kasus tersebut dan mempercayakan seluruhnya pada biro hukum lembaga tersebut Biar diurus biro hukum saja untuk langkah selanjutnya ucap Sukoso menambahkan Sebelumnya Indonesia Halal Watch IHW menggugat Badan Penyelenggara Jaminan Produk Halal BPJPH ke Pengadilan Negeri Jakarta Pusat karena menilai adanya perbuatan melawan hukum dengan tak berkoordinasi dengan MUI Menurut Direktur eksekutif IHW Ikhsan Abdullah Jumat gugatan tersebut telah terdaftar di Pengadilan Negeri Jakarta pusat pada Kamis dengan nomor perkara Pdt G PN JKT PST Kesalahan fatal yang dilakukan Sukoso selaku Kepala BPJPH kata Ikhsan Abdullah adalah dengan meresmikan PT Sucofindo dan pusat pemeriksa halal Universitas Hasanudin sebagai LPH tanpa melalui kerja sama dengan MUI sesuai dengan yang diberitakan pada berbagai media Bagi IHW apa yang dilakukan oleh LPH PT Sucofindo dan LPH Unhas berpotensi cacat hukum mengingat tidak sesuai Undang Undang dan menabrak UU JPH PP Nomor tahun mengenai peraturan pelaksanaan UU Nomor tahun mengenai Jaminan Produk Halal PP Nomor tahun dan turunannya yang seharusnya dijadikan acuan dalam melaksanakan sistem jaminan halal Pewarta Ricky PrayogaEditor Edy Sujatmiko 
Badan Penjamin Halal digugat di PN Jakarta Pusat, kami dengan sangat terpaksa mengambil sikap atas tindakan BPJPH melanggar UU berkali kaliJakarta Indonesia Halal Watch IHW menggugat Badan Penyelenggara Jaminan Produk Halal BPJPH ke Pengadilan Negeri PN Jakarta Pusat karena menilai adanya perbuatan melawan hukum dengan tak berkoordinasi dengan Majelis Ulama Indonesia MUI Menurut Direktur eksekutif IHW Ikhsan Abdullah di Jakarta Jumat gugatan tersebut telah terdaftar di Pengadilan Negeri Jakarta pusat pada Kamis dengan nomor perkara Pdt G PN JKT PST Setelah memperingatkan berkali kali baik melalui surat resmi maupun melalui berbagai forum diskusi dan seminar akhirnya kami dengan sangat terpaksa mengambil sikap atas tindakan BPJPH yang telah melakukan pelanggaran dan menabrak undang undang berkali kali kata Ikhsan Abdullah Kesalahan fatal yang dilakukan Sukoso selaku Kepala BPJPH kata Ikhsan Abdullah adalah dengan meresmikan PT Sucofindo dan pusat pemeriksa halal Universitas Hasanudin sebagai Lembaga Pemeriksa Halal LPH tanpa melalui kerja sama dengan Majelis Ulama Indonesia MUI sesuai dengan yang diberitakan pada berbagai media Perbuatan BPJPH yang melakukan peresmian PT Sucofindo dan Pusat Pemeriksa Halal Universitas sebagai LPH dengan tanpa melibatkan dan tanpa bekerjasama dengan MUI sebagaimana yang telah diamanatkan UU Jaminan Produk Halal JPH dan peraturan pelaksanaannya merupakan perbuatan yang bertentangan dan melawan hukum yang dapat merugikan masyarakat khususnya dunia usaha Bagi IHW apa yang dilakukan oleh LPH PT Sucofindo dan LPH Unhas berpotensi cacat hukum mengingat tidak sesuai Undang Undang dan menabrak UU JPH PP Nomor tahun mengenai peraturan pelaksanaan UU Nomor tahun mengenai Jaminan Produk Halal PP Nomor tahun dan turunannya yang seharusnya dijadikan acuan dalam melaksanakan sistem jaminan halal Sebelum melayangkan gugatan di PN Jakpus Ikhsan Abdullah mengatakan pihaknya terlebih dahulu melayangkan permintaan klarifikasi dan meminta BPJPH menarik kembali pernyataannya Namun surat IHW dengan nomor IHW III tertanggal Maret tidak pernah mendapatkan tanggapan dari Badan Penyelenggara Jaminan Produk Halal BPJPH Hingga berita ini ditulis belum ada klarifikasi dari Kepala BPJPH Sukoso yang saat dihubungi dan dikontak melalui pesan singkat belum bisa memberikan tanggapan 
Kecelakaan tewaskan pendorong gerobak sampah di Jaktim, Jakarta Kecelakaan lalu lintas menewaskan seorang warga yang mendorong gerobak sampah setelah ditabrak pengendara sepeda motor di j Jalan Radjiman Jakarta Timur Jumat pagi Berdasarkan informasi dari twitter TMC Polda Metro Jaya kecelakaan dilaporkan terjadi pukul WIB atau ba da Subuh Pengendara sepeda motor merek Suzuki Satria warna merah dengan nomor polisi B BSY menabrak warga yang sedang mendorong gerobak di Jalan Radjiman perempatab Rawa Badung Cakung Korban tutup usia dan sudah ditangani oleh Laka Lantas Jaktim kata Admin twitter Polda Metro Jaya Belum diketahui identitas korban maupun pengendara sepeda motor yang menabrak Sementara itu kecelakaan tunggal dialami sebuah kontrainer dengan nomor polisi B UIZ di jalan Prof Dr Latumente Angke Jakarta Barat Truk kontainer mengalami lepas kendali hingga menabrak saparator bus way dekat Season City arah Grogol Hingga kini kecelakaan dalam penanganan Laka Lantas Jakarta Barat sementara di lalu lintas di lokasi masih bisa dilalui dua lajur oleh kendaraan lainnya Pewarta Laily RahmawatyEditor Sri Muryono 
Kecelakaan di Indarung Padang tewaskan seorang sopir truk, Peristiwa ini sedang dalam penyelidikan dan kami telah mengamankan tempat kejadian perkara TKP Padang Kecelakaan truk Nissan yang terjadi di Jalan Raya Padang Solok tepatnya di Simpang Indarung Lubuk Kilangan Kota Padang pada Rabu menewaskan seorang sopir atas nama Trio Naldi Peristiwa ini sedang dalam penyelidikan dan kami telah mengamankan tempat kejadian perkara TKP serta sejumlah kendaraan yang terlibat kecelakaan kata Kepala Satuan Lalu Lintas Polresta Padang Kompol AKP Sukur Hendri Saputra di Padang Rabu Kecelakaan yang terjadi sekitar pukul WIB itu berawal ketika truk Nissan datang dari arah Panorama I menuju arah Simpang Cubadak Sesampainya di lokasi kejadian mobil naas bermuatan cangkang kelapa sawit tersebut diduga mengalami rem blong sehingga laju kendaraan tidak terkendali Akibatnya mobil menabrak jembatan lalu terguling kemudian mengenai mobil sedan truk empat unit sepeda motor yang sedang terparkir di pinggir jalan dan warung milik warga Peristiwa itu akhirnya menewaskan sopir truk Nissan Trio Naldi yang merupakan warga Komplek Cimpago Permai Koto Lua Kecamatan Pauh Padang Sementara pengemudi truk Colt Diesel atas nama Rio Putra dan kernetnya Aprianto yang merupakan warga Solok mengalami luka di bagian tangan Empat unit motor warung milik warga yang diseruduk oleh truk tersebut juga mengalami rusak parah Muatan truk berupa cangkang kelapa juga sempat berserakan di jalan namun tidak sampai menimbulkan kemacetan parah karena lalu lintas sedang sepi Kerugian materiil dari peristiwa tersebut ditaksir mencapai Rp juta Saat ini polisi telah memeriksa lokasi kejadian mengamanakan kendaraan dan akan melanjutkan penyelidikan peristiwa tersebut Pewarta Laila SyafarudEditor Agus Salim 
