title,content
WHO sebut Amerika Selatan episentrum baru virus corona, Jenewa Amerika Selatan telah menjadi episentrum baru pandemi COVID dengan Brazil yang paling terpukul sementara kasus terus meningkat di beberapa negara Afrika yang sejauh ini memiliki angka kematian relatif rendah Menurut pakar kedaruratan utama Organisasi Kesehatan Dunia WHO Dr Mike Ryan situasi di Amerika Selatan tampak lebih suram Dalam arti tertentu Amerika Selatan telah menjadi pusat baru untuk penyakit ini kata Dr Ryan dalam konferensi pers di Jenewa Jumat Brazil adalah yang paling terpengaruh dan pihak berwenang di sana telah menyetujui penggunaan luas obat anti malaria hidroksiklorokuin untuk pengobatan COVID kata dia Dr Mike Ryan menegaskan bahwa bukti klinis tidak mendukung penggunaan obat secara luas terhadap penyakit mengingat risikonya Sementara itu pandemi COVID telah mencapai tonggak sejarah di Afrika dengan lebih dari kasus dikonfirmasi Dalam sebuah pernyataan WHO mencatat bahwa virus tersebut telah menyebar ke setiap negara di Afrika sejak kasus pertama dikonfirmasi di benua itu minggu lalu Tercatat kematian dikonfirmasi di Afrika akibat COVID Menurut direktur regional WHO untuk Afrika Dr Matshidiso Moeti saat ini COVID telah tiba di Afrika dan benua itu telah dihindarkan dari tingginya jumlah kematian yang telah menghancurkan wilayah lain di dunia Meskipun begitu kita tidak boleh dibuai dengan rasa puas diri karena sistem kesehatan kita rapuh dan kurang mampu mengatasi peningkatan kasus yang tiba tiba kata dokter yang berasal dari Botswana itu Sekitar setengah dari negara negara Afrika mengalami penularan virus dari masyarakatnya Jumlah kasus COVID meningkat hingga persen di sembilan negara Afrika dalam sepekan terakhir sementara kasus di negara lain menurun atau berada pada angka stabil Tingkat kematian yang rendah mungkin disebabkan separuh populasi benua tersebut adalah tahun atau lebih muda Namun Dr Mike Ryan mengungkapkan kekhawatiran penyakit ini akan menyebar di benua dengan kesenjangan yang signifikan dalam layanan perawatan intensif oksigen medis dan ventilator Sumber Reuters 
"Jepang dominasi sektor ganda putri, begini analisis Greysia Polii", Jakarta Pebulu tangkis Indonesia Greysia Polii menyodorkan hasil analisisnya atas dominasi Jepang di sektor ganda putri dunia dalam beberapa tahun terakhir Menurut Greysia sejak peta persaingan ganda putri dunia mengalami perubahan signifikan dari tangan China ke Jepang Dulu Greyia mengaku kerap terintimidasi bahkan sampai gemetaran ketika memasuki lapangan dan menghadapi lawan lawan asal China tetapi itu berubah sejak Sejak Jepang mengambil alih tampuk dominasi sektor ganda putri dari tangan China yang menurut Greysiaa tidak lepas dari buah ketekunan dan kerja keras atlet atlet Negeri Matahari Terbit itu Ketekunan dan gaya hidup mereka Background mereka pekerja keras dan nurut Itu sudah jadi image mereka kata Greysia dalam wawancara virtual via Instagram live bersama PB PBSI Rabu Kekuatan tim Jepang memang kerap beberapa kali menggagalkan upaya Greysia Polii dan pasangannya Apriyani Rahayu untuk naik ke podium berbagai kejuaraan Pada misalnya langkah Greysia Apriyani dihentikan oleh pasangan Mayu Wakana di babak penyisihan grup Sudirman Cup Nasib apes lagi lagi menimpa mereka pada babak semifinal BWF World Championship oleh pasangan yang sama Kegagalan juga dialami di China Open Mereka takluk oleh Misaki Ayaka di perempat final Langkah Greysia Apriyani juga harus terhenti di babak penyisihan BWF World Tour Finals oleh pasangan Yuki Sayaka Kegagalan terus berlanjut di saat tampil di Kejuaraan Bulu Tangkis Beregu Asia di Manila Filipina Greysia Apriyani dipaksa menyerah dua gim langsung oleh Yuki Fukushima Sayaka Hirota Greysia pun tak menampik bahwa salah satu senjata tim Jepang memang berada pada kegigihan mereka saat latihan Satu satunya cara menghancurkan dominasi Jepang di ganda putri hanya dengan mengubah pola pikir Menurut aku mereka gigih banget dalam latihan dan keseharian mereka dan itu yang membuat mereka berbeda Tergantung mindset kita gimana pungkas atlet yang sudah dua kali tampil di Olimpiade pada dan tersebut 
Persija luncurkan dua perangkat lunak pererat hubungan dengan suporter, Dengan adanya aplikasi ini para pendukung Persija dapat berinteraksi dengan pemain dari rumahJakarta Klub Persija Jakarta meluncurkan dua aplikasi berupa program virtual tiga dimensi dan gim untuk mempererat hubungan dengan para penggemar dan suporter setia mereka The Jakmania Bagi Persija ini menjadi upaya untuk mendekatkan diri dengan suporter khususnya The Jakmania Mereka selalu menjadi pemain ke kami Semoga bisa bermanfaat untuk semuanya ujar Direktur Utama Persija Ambono Janurianto dalam konferensi virtual di Jakarta Selasa Dua aplikasi tersebut dihadirkan Persija berkat kerja sama dengan Juara serta AR Co dan Minar Perangkat lunak pertama bernama Persija AR Dengan program ini suporter Persija dapat melihat rupa pemain Persija dalam bentuk tiga dimensi Suporter dapat menambahkan fotonya bersama pemain itu dan menyebarkannya melalui media sosial Kemudian aplikasi kedua adalah perangkat gim bernama Minar yang menggunakan penanda lokasi Geo Location Di dalamnya pengguna mendapatkan misi untuk menghancurkan bebatuan yang berisi tiket Tiket ini dapat ditukar dengan voucher untuk berbelanja di toko daring klub berjuluk Macan Kemayoran tersebut persijastore id Ini merupakan sebuah langkah baru yang menarik bagi kami Para pendukung Persija dapat tetap di rumah dengan bermain game dan berkesempatan mendapat voucher Ini juga membuktikan kami membuka kesempatan bekerja sama dengan pihak pihak lain di bidang digital kata Ambono Co founder dan CEO Wir Group yang membuat aplikasi tersebut Michael Budi menambahkan bahwa aplikasi itu dapat menemani penggemar Persija selama berada di rumah Dia pun mengapresiasi pemanfaatan teknologi oleh Persija Pemanfaatan teknologi semakin melekat dan nyata dalam kehidupan sehari hari Dengan adanya aplikasi ini para pendukung Persija dapat berinteraksi dengan pemain dari rumah walau melalui tiga dimensi tutur Michael 
"Ridwan Kamil ajak ""Bobotoh"" lawan COVID-19 dengan taat aturan PSBB", penanganan COVID yang sudah baik ini bisa dipertahankanBandung Gubernur Jawa Barat sekaligus Ketua Gugus Tugas Percepatan Penanggulangan COVID Jabar M Ridwan Kamil mengajak para pendukung Persib yang dijuluki Bobotoh itu untuk disiplin menaati aturan pemerintah terkait PSBB agar penanggulangan COVID semakin cepat dan optimal Hari ini sangat membahagiakan kami karena keluarga besar Persib sedang melakukan bela negara Kita sedang perang melawan COVID yang menghancurkan banyak dimensi kehidupan kata Kang Emil di Gedung Negara Pakuan Kota Bandung Selasa Maka kalau cinta kepada Persib cinta kepada sepak bola taati aturan pemerintah jauhi kerumunan jangan mudik semoga penanganan COVID yang sudah baik ini bisa dipertahankan itu pesannya salam Bobotoh dari saya lanjut Kang Emil Hari ini Pemerintah Provinsi Jawa Barat Jabar melalui Gugus Tugas Percepatan Penanggulangan COVID Jabar menerima bantuan dari PT Persib Bandung Bermartabat berupa satu unit ventilator hazmat suit dan masker Selain itu Kang Emil melaporkan bahwa pada Rabu pihaknya akan mengumumkan hasil evaluasi Pembatasan Sosial Berskala Besar PSBB Tingkat Provinsi Jabar Sejak diterapkan pada Rabu Mei jumlah pasien di rumah sakit menurun angka kematian menurun serta tingkat kesembuhan naik dua kali lipat Sebelum PSBB Jabar kasus satu bulanan per harinya bisa sampai sekitar kasus setelah PSBB turun setengahnya kata Kang Emil Pasien di rumah sakit sebelum PSBB sampai orang yang harus dirawat sekarang malah turun sampai an Dan dari persen ruangan isolasi yang dipakai per hari ini turun jadi persen tambahnya Sementara itu Komisaris PT Persib Bandung Bermartabat Umuh Muchtar mengatakan bantuan yang disumbangkan Persib adalah hasil penjualan jersey dan pernak pernik Persib Umuh berharap bantuan yang diberikan pihaknya bisa bermanfaat bagi warga Jabar Semua dijual kepada Bobotoh dan disumbangkan ke masyarakat di Jawa Barat Dari Bobotoh untuk Bobotoh ucap Umuh Senada dengan Kang Emil Umuh pun berpesan agar para Bobotoh turut bela negara dengan menerapkan protokol kesehatan diam di rumah social distancing mematuhi anjuran pemerintah untuk tidak mudik maupun berdonasi bagi yang mampu Para Bobotoh kalau tidak penting sekali tolong tinggal di rumah saja jangan ada yang mudik Jangan sampai lonjakan kasus COVID di Jabar naik lagi kata Umuh Intinya kalau pandemi COVID selesai harapan kita bersama Persib bisa main lagi itu akan segera terwujud kata dia Pewarta Ajat SudrajatEditor Zita Meirina 
"Puluhan ribu warga India, Bangladesh dievakuasi hindari Badai Amphan", Kami hanya punya waktu sampai enam jam untuk mengevakuasi warga dari rumah dan kami juga harus mematuhi aturan jaga jarak badai ini dapat menghancurkan ribuan rumah dan perkebunan Kolkata Dhaka Otoritas di India dan Bangladesh mengevakuasi puluhan ribu warga yang tinggal di pesisir laut Selasa demi menghindari angin topan yang dapat merusak banyak bangunan saat dua negara itu masih berjuang menghadapi ancaman COVID Tenda tenda karantina di India untuk COVID penyakit yang disebabkan virus corona jenis baru SARS CoV dialihkan untuk para pengungsi Petugas pun berupaya memastikan pengungsi tetap menjaga jarak satu sama lain guna mencegah penularan penyakit Sementara itu di negara tetangga Bangladesh petugas mengevakuasi warga ke dataran lebih tinggi dan meminta mereka menjaga jarak serta mengenakan masker Pemerintah Bangladesh mencatat lebih dari orang tertular virus dan di antaranya meninggal dunia Kantor urusan cuaca di India mengatakan Badai Amphan memilki pusaran angin yang berputar sampai lebih dari kilometer per jam kmh atau mil per jam mph disertai hembusan angin bergerak sekitar kph atau mph Angin diperkirakan berputar di Teluk Bengal pada Senin malam dan akan tiba di darat pada Rabu Menurut beberapa pejabat terkait angin dengan kecepatan demikian menjadikan Amphan sebagai badai terbesar di India dalam tahun terakhir Bencana alam itu terjadi saat India telah melonggarkan aturan karantina yang diberlakukan pada April guna mengendalikan penyebaran COVID Penyakit menular itu telah menjangkiti lebih dari jiwa di India dan menewaskan orang Negara bagian Odisha dan West Bengal di India telah mengevakuasi warga ke lebih dari tenda pengungsi yang berada di kantor kantor pemerintah dan pusat pendidikan Otoritas setempat juga masih berupaya mengalihkan tempat isolasi pasien COVID menjadi tenda darurat Kami hanya punya waktu sampai enam jam untuk mengevakuasi warga dari rumah dan kami juga harus mematuhi aturan jaga jarak badai ini dapat menghancurkan ribuan rumah dan perkebunan kata S G Rai pejabat kantor penanganan bencana federal di India Selasa Sementara itu perjalanan kereta api yang mengangkut ribuan pekerja migran dari ibu kota India New Delhi ke negara bagian di wilayah timur dialihkan untuk menghindari badai Para pekerja mulai berpergian menggunakan kereta api setelah pemerintah melonggarkan aturan karantina wilayah India negara dengan garis pantai sepanjang kilometer mil rentan diterjang sepersepuluh dari seluruh badai dunia Sebagian besar angin topan bertiup di pesisir timur Di Bangladesh petugas meningkatkan operasi penyelamatan karena angin topan dapat menyebabkan badai terburuk dalam tahun terakhir di negara dataran rendah itu Distrik distrik di wilayah pesisir Bangladesh terancam kena banjir rob dari laut disertai hujan deras dan angin kencang sampai kph kph selama badai berlangsung Kami telah menyiapkan pusat penanggulangan siklon yang dapat menampung lebih dari lima juta jiwa Kami juga telah memberlakukan sejumlah aturan sehingga warga dapat menjaga jarak dan tetap memakai masker kata utusan Kementerian Penanggulangan Bencana Enamur Rahman di Dhaka Wilayah pesisir di Bangladesh rumah bagi juta jiwa sering diterjang badai sehingga raturan ribu orang tewas akibat bencana itu dalam puluhan tahun terakhir Sumber Reuters 
Wapres Sudan Selatan dan istri positif virus corona, Kami sangat prihatin dengan temuan dua kasus positif di sini di luar Juba Terdapat puluhan ribu orang yang terlantar secara internal tinggal di tempat tersebut sehingga mereka hidup dalam kondisi yang cukup sempit Juba Wakil Presiden Sudan Selatan Riek Machar beserta istrinya Angelina Teny yang menjabat sebagai menteri pertahanan terbukti positif virus corona menurut kantor wapres pada Senin Disebutkan bahwa sejumlah staf kantor dan pengawalnya juga dinyatakan positif COVID Machar mengatakan melalui stasiun TV pemerintah bahwa ia akan menjalani karantina mandiri selama hari di kediamannya Sejauh ini Sudan Selatan mencatat kasus COVID dengan kematian Pekan lalu otoritas melaporkan dua kasus COVID di sebuah kemah di luar Ibu Kota Juba sehingga menimbulkan kekhawatiran bahwa infeksi dapat menghancurkan permukiman yang penuh sesak Kami sangat prihatin dengan temuan dua kasus positif di sini di luar Juba Terdapat puluhan ribu orang yang terlantar secara internal tinggal di tempat tersebut sehingga mereka hidup dalam kondisi yang cukup sempit kata James Reynolds Komite Palang Merah Internasional di Sudan Selatan melalui pernyataan Ia menambahkan bahwa langkah seperti menjaga jarak sosial dan rajin mencuci tangan tidak mudah untuk diterapkan di kemah tersebut Sumber Reuters 
"Lalu lintas di Thailand kembali macet pascapelonggaran ""lockdown""", Saya sudah berhenti bekerja sejak Maret sudah dua bulan Saya senang bisa melakukan pekerjaan yang saya cintai lagiBangkok Mobil truk dan sepeda motor tampak berdesak desakan pada Senin sebagai bukti kembalinya kemacetan yang populer di ibu kota Thailand saat para komuter kembali bekerja di fase kedua pelonggaran pembatasan virus corona Fase kedua ini dimaksudkan untuk memulihkan kegiatan perekonomian negara tersebut yang terhenti akibat pembatasan pergerakan untuk mengendalikan penyebaran virus Ketika kemacetan tercipta di jalan jalan Bangkok yang terkenal padat para pelancong menuju terminal bis di utara guna melakukan perjalanan ke provinsi untuk pertama kalinya sejak Maret sebagian besar penumpang duduk di samping kursi kosong sejalan dengan aturan jarak sosial Saya sudah menunggu untuk pulang selama berbulan bulan Saya senang akhirnya bisa melakukannya kata Ratchari Maneenop yang sedang menuju ke provinsi asalnya Loei di timur laut Thailand melaporkan tiga infeksi baru corona pada Senin yang menjadikan total kasus terkonfirmasi adalah sejak Januari dengan kematian Tetapi pembatasan perdagangan dan transportasi telah menghancurkan pariwisata pengeluaran rumah tangga dan investasi swasta yang menyebabkan penurunan perekonomian Thailand yang mengalami kontraksi paling tajam dalam delapan tahun terakhir pada kuartal pertama dan mendorongnya ke dalam resesi lebih cepat dari yang diperkirakan Sopir bus Boonsong Misa mengatakan dia senang bisa kembali ke jalan Saya sudah berhenti bekerja sejak Maret sudah dua bulan katanya di terminal bus Saya senang bisa melakukan pekerjaan yang saya cintai lagi Antrean tampak pada Minggu saat mal Thailand kembali dibuka di mana beberapa operator menggunakan lift otomatis dan menggunakan robot untuk mengukur suhu pelanggan Meskipun Thailand telah melaporkan lebih sedikit kasus virus corona dalam beberapa pekan terakhir pemerintah tetap menutup sejumlah tempat yang biasanya menarik banyak orang seperti bioskop Penerbangan penumpang telah dihentikan hingga akhir Juni Rambu rambu Jangan duduk telah dipasang di banyak kursi di jaringan kereta api yang ditinggikan di Bangkok untuk memberi jarak yang cukup antara penumpang dan penanda lantai untuk mengontrol jalur Kemacetan serupa juga tampak di Filipina dengan truk dan kendaraan pribadi mengalir ke ibu kota Manila yang mulai menerapkan karantina wilayah yang dimodifikasi Beberapa bisnis dan kantor diizinkan untuk dibuka kembali tetapi transportasi umum tetap ditangguhkan meninggalkan banyak pekerja dalam kesulitan Saya sudah menunggu lebih dari menit berharap mendapat tumpangan kata komuter Rolan Obani Pekerjaan saya sangat penting bagi saya Reuters 
Pemimpin Iran: warga AS akan diusir dari Iran dan Suriah, Teheran Orang orang Amerika Serikat akan diusir dari Irak dan Suriah kata pemimpin utama Iran Ayatullah Ali Khamenei pada Minggu seraya mengulangi tuntutan Iran atas penarikan pasukan AS dari Timur Tengah Iran nyaris terjerumus ke dalam konflik menyeluruh dengan AS ketika sebuah serangan pesawat nirawak negara di bawah Presiden Donald Trump itu membunuh komandan militer penting Iran Qassem Soleiman di Baghdad pada Januari yang memicu Teheran membalas dengan serangan rudal ke pangkalan AS di Irak beberapa hari kemudian Khamenei mengatakan tindakan tindakan Amerika di Afghanistan Irak dan Suriah membuat mereka dibenci menurut transkrip pidato di depan mahasiswa yang diterbitkan pada lamannya Orang orang Amerika tak akan tinggal di Irak dan Suriah dan akan diusir kata Khamenei Bulan lalu Trump mengatakan dia memerintahkan Angkatan Laut AS menembak setiap kapal Iran yang mengganggunya di laut namun kemudian mengatakan dia tak akan mengubah aturan keterlibatan militer Setelah pernyataan Trump kepala Garda Revolusi Iran Mayor Jenderal Hossein Salami mengatakan bahwa Republik Islam akan menghancurkan kapal perang AS jika keamanannya terancam di Teluk Reuters 
Wisata Pantai Ujung Pandaran Kalteng terancam hancur akibat abrasi, Abrasi membawa dampak parah di Ujung Pandaran Kini abrasi sudah mencapai tangga betang rumah khas suku Dayak Sampit Abrasi yang menghantam Pantai Ujung Pandaran Kabupaten Kotawaringin Timur Kalimantan Tengah dalam beberapa tahun terakhir telah menghancurkan satu per satu fasilitas di kawasan wisata itu bahkan rumah betang yang menjadi ikon kini juga terancam tergerus Begitulah kondisinya sekarang ini Abrasi membawa dampak parah di Ujung Pandaran Kini abrasi sudah mencapai tangga betang rumah khas suku Dayak dan terus terjadi kata Kepala Dinas Kebudayaan dan Pariwisata Kotawaringin Timur Kotim Fajrurrahman di Sampit Minggu Menurut dia abrasi terjadi akibat kuatnya gelombang menghantam pantai yang menghadap Laut Jawa tersebut Puluhan rumah nelayan di kawasan itu sudah direlokasi ke lokasi yang sudah disiapkan pemerintah Kawasan yang terkena abrasi adalah areal pantai yang selama ini dikelola pemerintah Beberapa tahun terakhir satu per satu beberapa aset wisata yang dibangun pemerintah seperti gazebo bundaran dan pohon pohon yang ditanam kini hancur akibat tergerus abrasi Dulunya rumah betang dibangun dengan jarak sekitar meter dari bibir pantai dengan sejumlah gazebo di bagian depan dekat pantai Kini abrasi membuat kerusakan parah Badan jalan di depan betang sudah tergerus bahkan kini sudah mencapai tangga bangunan yang biasanya digunakan untuk tamu daerah tersebut Fajrurrahman mengatakan pembangunan tanggul penahan gelombang yang dibangun pemerintah pusat cukup membantu mengurangi dampak abrasi Sayangnya terbatasnya dana membuat belum semua titik kawasan pantai dibangun atau dilindungi tanggul penahan gelombang Untuk titik yang sudah ada penahan gelombang seperti di sekitar pintu gerbang sudah cukup aman Yang masih digerus abrasi ini yaitu sekitar betang ini kan memang belum terjangkau penahan gelombang tersebut tambah Fajrurrahman Sebagai langkah darurat pihaknya berencana memanfaatkan sejumlah pohon cemara yang tumbang akibat abrasi untuk dipotong dan dipasang di depan betang Cara itu diharapkan setidaknya bisa memperlambat abrasi sambil menunggu langkah diambil pemerintah menangani abrasi tersebut Dinas Kebudayaan dan Pariwisata juga mengantisipasi kemungkinan terburuk jika abrasi berlangsung cepat dan menggerus betang serta fasilitas lainnya Selain betang di kawasan itu ada beberapa fasilitas lain seperti beberapa pondok untuk menginap dan kamar mandi umum Menurut Fajrurrahman masalah ini sedang dikonsultasikan dengan pimpinan untuk diputuskan Diakuinya untuk membangun pemecah gelombang akan membutuhkan waktu karena harus menunggu usulan dikabulkan pemerintah pusat sementara abrasi terus terjadi Kami menunggu apakah nanti betang itu akan dibongkar atau seperti apa Dalam waktu dekat kami bersama BPKAD akan ke sana lagi karena fasilitas yang ada itu kan aset daerah sehingga ada prosedur yang harus dijalankan jika ingin membongkarnya kata Fajrurrahman Terkait kemungkinan masih banyaknya pengunjung yang berwisata saat libur Lebaran nanti meski pandemi COVID masih terjadi Fajrurrahman mengimbau pengunjung lebih waspada karena gelombang yang mencapai pantai cukup kuat Perlu kewaspadaan agar tidak terjadi hal tidak diinginkan katanya Pewarta Kasriadi NorjaniEditor Risbiani Fardaniah 
ILO sebut krisis COVID-19 soroti kesenjangan perlindungan sosial, Kendati virus tidak membedakan antara yang kaya dan miskin pengaruhnya sangat tidak merata Jakarta Organisasi Buruh Internasional ILO menyebut krisis COVID telah menyoroti kesenjangan dalam perlindungan sosial di negara negara berkembang sebagaimana ditunjukkan dalam dua laporan yang dikeluarkan oleh badan Perserikatan Bangsa Bangsa itu Menurut pernyataan tertulis ILO yang diterima di Jakarta Jumat dua laporan yang dikeluarkan oleh organisasi itu menyebut bahwa kesenjangan dalam perlindungan sosial saat ini dapat mengancam rencana pemulihan membuat jutaan orang jatuh miskin dan memengaruhi kesiapan global untuk menghadapi krisis serupa pada masa yang akan datang Krisis ini telah menunjukkan bahwa lemahnya sistem perlindungan sosial tidak hanya berdampak pada kelompok miskin tetapi juga memperlihatkan kerentanan mereka yang sudah berada dalam keadaan relatif baik karena besarnya biaya medis dan hilangnya pendapatan dapat dengan mudah menghancurkan usaha keluarga dan tabungan selama puluhan tahun kata Direktur Departemen Perlindungan Sosial ILO Shahra Razavi Laporan singkat tentang Respons Perlindungan Sosial terhadap Pandemi COVID di Negara negara Berkembang menggambarkan perlindungan sosial sebagai mekanisme yang sangat diperlukan untuk memberikan dukungan kepada individu selama krisis Dalam laporan tersebut ILO mengkaji langkah langkah yang telah diambil beberapa negara untuk mengeliminasi hambatan keuangan untuk mendapatkan layanan kesehatan yang berkualitas meningkatkan keamanan pendapatan menjangkau pekerja di perekonomian informal melindungi pendapatan dan pekerjaan serta meningkatkan layanan perlindungan sosial ketenagakerjaan dan intervensi lainnya Kendati virus tidak membedakan antara yang kaya dan miskin pengaruhnya sangat tidak merata menurut laporan ILO Kemampuan untuk mengakses layanan kesehatan yang terjangkau dan berkualitas juga telah menjadi masalah hidup dan mati Menurut data yang terdapat dalam laporan tersebut sebanyak persen populasi dunia atau sekitar empat miliar orang tidak ditanggung oleh asuransi sosial maupun bantuan sosial Secara global hanya persen dari pengangguran yang dilindungi oleh tunjangan pengangguran dan di beberapa wilayah cakupan perlindungan tersebut jauh lebih rendah Oleh karena itu ILO memperingatkan para pembuat kebijakan untuk tidak hanya fokus pada COVID karena dianggap dapat mengurangi ketersediaan sistem layanan kesehatan untuk merespon kondisi lain yang mengancam jiwa masyarakat setiap hari Dapat diambil contoh saat penanganan epidemi Ebola Fokus pada virus ini memperburuk kematian akibat malaria TBC dan HIV AIDS demikian ILO Sementara itu laporan terkait respons perlindungan sosial lainnya membahas tentang Tunjangan Sakit Selama Cuti Sakit dan Masa Karantina Respons Negara dan Pertimbangan Kebijakan dalam Konteks COVID yang menunjukkan krisis kesehatan dalam pandemi virus corona telah menimbulkan dua dampak buruk dari kesenjangan cakupan tunjangan sakit Pertama kesenjangan perlindungan semacam itu dapat memaksa orang untuk pergi bekerja ketika mereka sakit atau ketika seharusnya melakukan karantina mandiri sehingga meningkatkan risiko menulari orang lain Kedua hilangnya pendapatan yang dapat meningkatkan risiko kemiskinan bagi pekerja dan keluarga mereka dan mungkin bisa berdampak lama Laporan singkat tersebut mengajak negara negara untuk mengambil langkah langkah darurat dan jangka pendek guna menutup kesenjangan cakupan dan kelayakan tunjangan sakit ILO mengusulkan sejumlah langkah yang dapat diambil termasuk memperluas cakupan tunjangan sakit untuk semua orang dengan perhatian khusus diberikan kepada perempuan dan laki laki yang bekerja di pekerjaan nonstandar dan informal wirausaha pekerja migran dan kelompok rentan Contoh contoh dari seluruh dunia sekali lagi telah secara jelas menunjukkan bahwa negara negara dengan sistem perlindungan sosial yang kuat dan komprehensif berada dalam posisi yang jauh lebih kuat untuk merespons dan pulih dari krisis kata Shahra Razavi Pemerintah targetkan akhir Mei juta KPM terima bansos Pewarta Aria CindyaraEditor Tia Mutiasari 
