title,content
Iran hiraukan ancaman AS soal sanksi PBB, Klaim bodoh oleh pejabat AS bukan sesuatu yang baru Dubai Menteri Luar Negeri Iran Mohammad Zarif pada Kamis menghiraukan klaim bodoh Amerika Serikat berisi ancaman akan mendorong kembali diberlakukannya seluruh sanksi Perserikatan Bangsa Bangsa apabila Dewan Keamanan PBB tidak memperpanjang embargo senjata ke Teheran demikian laporan berita setempat Utusan khusus AS untuk Iran Brian Hook pada Rabu membenarkan secara terbuka strategi itu dua minggu setelah seorang pejabat yang tidak ingin diketahui identitasnya mengatakan Washington telah menyampaikan rencana itu ke Inggris Prancis dan Jerman Embargo senjata PBB akan berakhir pada Oktober tahun ini setelah Iran menandatangani kesepakatan nuklir dengan AS pada Akan tetapi perjanjian itu dibatalkan secara sepihak oleh Presiden AS Donald Trump pada Washington berpendapat pihaknya dapat mendorong PBB kembali menjatuhkan sanksi ke Teheran karena resolusi Dewan Keamanan yang menjadi dasar kesepakatan masih menyebut AS sebagai anggota Klaim bodoh oleh pejabat AS bukan sesuatu yang baru kata Menteri Luar Negeri Iran Mohammad Zarif ke wartawan Tidak mengejutkan klaim semacam itu didengar dari orang yang menyarankan warganya meminum disinfektan sampai meremehkan virus corona SARS CoV dan pernyataan itu disampaikan untuk menunjukkan mereka merupakan bagian dari perjanjian yang telah mereka tinggalkan secara resmi kata Zarif Pernyataan Zarif tampaknya merujuk pada saran Trump ke para peneliti Trump sempat menyampaikan ke publik COVID kemungkinan dapat disembuhkan dengan menyuntikkan cairan disinfektan ke tubuh pasien Sementara itu juru bicara Kementerian Luar Negeri Iran menyindir laporan Departemen Luar Negeri AS pada yang disiarkan Rabu Isi laporan itu menyebutkan Iran dan empat negara lainnya tidak bekerja sama penuh dengan AS melawan terorisme Dengan sejarah membentuk mendanai dan mempersenjatai beberapa kelompok teroris yang berbeda ditambah catatan terorisme negara dan dukungan penuhnya terhadap rezim teroris AS bukan contoh yang baik untuk mengukur upaya melawan terorisme kata juru bicara Kementerian Luar Negeri Iran Abbas Mousavi lewat unggahannya di Twitter Sumber Reuters 
Rusia kecam AS karena menyatakan masih anggota perjanjian nuklir Iran, New York Duta Besar Rusia untuk PBB Vassily Nebenzia pada Selasa mengecam Amerika Serikat yang dianggap konyol karena berpendapat bahwa mereka masih anggota perjanjian nuklir Iran dua tahun setelah keluar sehingga Washington dapat memicu kembalinya semua sanksi PBB terhadap Teheran Amerika Serikat Rusia China Jerman Inggris dan Prancis pada menyepakati perjanjian dengan Iran yang mencegah Teheran mengembangkan senjata nuklir dengan imbalan pembebasan sanksi Dewan Keamanan PBB mengabadikan perjanjian tersebut dalam resolusi yang masih menyebut Amerika Serikat sebagai partisipan meski sudah angkat kaki Presiden AS Donald Trump keluar dari perjanjian tersebut pada dan menganggap perjanjian dari kepresidenan Barack Obama sebagai kesepakatan paling buruk yang pernah ada Namun Menteri Luar Negeri AS Mike Pompeo bulan lalu mengatakan bahwa bahasa dalam resolusi itu jelas dan hak hak yang diperoleh partisipan dalam resolusi Dewan Keamanan PBB sepenuhnya tersedia untuk semua partisipan Dia mengacu pada kemampuan satu partisipan perjanjian nuklir yang dikenal sebagai JCPOA untuk memicu apa yang disebut kembalinya semua sanksi PBB terhadap Iran Ini konyol kata Vassily Nebenzia kepada wartawan Mereka bukan anggota mereka tak punya hak untuk memicu itu katanya Para diplomat mengatakan Amerika Serikat akan menghadapi pertempuran kotor jika negara itu berusaha memicu kembalinya sanksi yang mencakup embargo senjata terhadap Iran Tidak diketahui pasti bagaimana atau apakah seorang anggota Dewan Keamanan dapat menghentikan langkah seperti itu Nebenzia mengatakan Amerika Serikat harus mempertimbangkan apakah itu akan pantas Snapback pasti akan menjadi akhir dari JCPOA Inspeksi yang paling mengganggu dari satu negara oleh IAEA Badan Energi Atom Internasional akan dihentikan katanya memperingatkan Apakah demi kepentingan AS itu terjadi Amerika Serikat telah mengajukan bersama pihak pihak Eropa dalam perjanjian kemungkinan mengembalikan sanksi jika mereka tidak dapat meminta Dewan Keamanan beranggotakan negara itu memperpanjang embargo senjata terhadap Iran yang berakhir pada Oktober Sebuah resolusi untuk melakukan itu membutuhkan sembilan suara dukungan dan tidak ada veto dari Rusia China Amerika Serikat Prancis atau Inggris Ditanya apakah Rusia akan memveto resolusi semacam itu Nebenzia mengatakan Saya tidak pernah menjawab pertanyaan sebelum waktu yang tepat datang tetapi Anda dapat membuat tebakan liar Saya tidak melihat alasan apa pun mengapa embargo senjata harus diberlakukan terhadap Iran Sumber Reuters 
Indonesia terima bantuan RT-PCR untuk deteksi COVID-19 dari IAEA, Jakarta Paket perdana bantuan Badan Tenaga Atom Internasional International Atomic Energy Agency IAEA berupa peralatan pendeteksi virus dengan teknik data seketika reverse transcription polymerase chain reaction RT PCR untuk Indonesia tiba di Jakarta Senin RT PCR merupakan alat uji swab pada pasien yang diduga terinfeksi COVID dan dapat memberikan hasil yang presisi untuk pencegahan penyebaran penyakit Atase Ilmu Pengetahuan PTRI Wina Dimas Irawan dalam keterangan tertulisnya diterima di Jakarta Senin menjelaskan bantuan peralatan RT PCR beserta kelengkapannya itu dikirim secara bertahap menjadi enam paket pengiriman Selama ini IAEA memberikan bantuan pemanfaatan alat RT PCR kepada negara anggotanya yang terjangkit wabah virus Ebola Zika MERS dan sekarang digunakan untuk COVID Hibah ini sendiri dalam bentuk peralatan RT PCR yang kita banyak kenal untuk deteksi virus Corona selain Ebola yang selama ini digunakan IAEA membantu negara anggota yang terkena wabah Ebola Zika MERS dan sekarang COVID kata Dimas Irawan Serta pengembangan SDM dalam bentuk pelatihan teknis ke depan untuk meningkatkan kesiapan para pekerja medis dan teknis dalam menghadapi tantangan persebaran penyakit menular di masa depan ujar dia Pada mulanya menurut Dimas RT PCR dikembangkan dengan menggunakan teknik senyawa bertanda radioaktif namun saat ini sudah digantikan dengan zat kimia fluoresens Hal ini dilakukan dengan pertimbangan kemudahan transportasi dan penggunaannya oleh operator Indonesia melalui Badan Tenaga Nuklir Nasional BATAN menjadi salah satu dari lebih negara yang menerima bantuan serupa Dengan bertambahnya peralatan RT PCR di Indonesia diharapkan dapat meningkatkan jumlah pemeriksaan terhadap masyarakat yang terindikasi terjangkit COVID Selain peralatan RT PCR IAEA juga memberikan bantuan kepada Indonesia berupa perlengkapan alat pelindung diri APD untuk pekerja laboratorium dan beberapa bantuan lainnya Bantuan ini merupakan wujud dari kerja sama teknik antara Indonesia dengan IAEA yang manfaatnya dapat dirasakan langsung masyarakat di tengah pandemi COVID Berdasarkan koordinasi yang dipimpin Gugus Tugas Percepatan Penanganan COVID yang melibatkan Kementerian Kesehatan BNPB Kementerian Luar Negeri dan BATAN peralatan RT PCR itu akan ditempatkan di Unit Pengujian Terpadu UPT Laboratorium Kesehatan Provinsi Kalimantan Barat di Pontianak Pemilihan UPT Laboratorium Kesehatan di Pontianak ini mempertimbangkan perlunya meningkatkan kapasitas pengujian secara merata di seluruh provinsi sebagai bagian upaya nasional untuk mempercepat proses penanganan pandemi COVID Harapannya dengan tambahan peralatan ini dapat mempercepat dan memperbanyak pelaksanaan hasil pemeriksaan untuk mengantisipasi penyebaran COVID Pewarta Virna P SetyoriniEditor Endang Sukarelawati 
"Gempa bermagnitudo 5,5 guncang Jepang timur", Tokyo Gempa dengan magnitudo awal mengguncang lepas pantai Jepang timur pada Senin Tak ada peringatan tsunami maupun laporan langsung mengenai kerusakan Menurut Badan Meteorologi Jepang gempa berpusat di lepas pantai Prefektur Ibaraki utara Tokyo dengan kedalaman kilometer Sumber Reuters Jepang Kembangkan Teknologi Rumah Tahan Gempa Penerjemah Asri Mayang SariEditor Tia Mutiasari 
Kemristek loloskan 17 ide dan inovasi anak bangsa tangani COVID-19, Jakarta Kementerian Riset dan Teknologi Kemristek Badan Riset dan Inovasi Nasional BRIN meloloskan ide dan inovasi anak bangsa untuk menangani pandemik COVID dan dampaknya bagi kehidupan masyarakat Indonesia Kita ingin mengumpulkan sebanyak mungkin ide di berbagai bidang untuk memecahkan masalah baik sifatnya lokal global dan bersifat kolektif kata Menteri Riset dan Teknologi Kepala BRIN Bambang PS Brodjonegoro dalam konferensi video Jakarta Jumat Sejumlah proposal itu terpilih dari proposal yang berisi ide ide terkait penanganan COVID dan dampaknya yang dikirim dalam program IDEAthon Indonesia Kemristek melalui website ristekbrin go id Ide tersebut didaftarkan pada periode April sampai April Proposal proposal ide tersebut diseleksi oleh administrator pakar reviewer bersertifikat dan lima panelis ahli yang meninjau ulang Menristek Bambang menuturkan pemilik ide akan mendapat insentif dan dana pendampingan dan kemitraan untuk implementasi idenya Salah satu bentuk insentif bagi para pemenang adalah dukungan pembiayaan agar ide tersebut benar benar bisa direalisasikan tentunya dalam jangka waktu tertentu ujarnya Pengaju ide terbaik itu juga mendapatkan piagam penghargaan sebagai pengakuan pencipta ide dari Kemristek Ide ide atau pemikiran yang disampaikan peserta tidak terbatas pada tema pencegahan virus pengendalian virus manajemen pelayanan dan perawatan pasien mitigasi masyarakat keberlanjutan bisnis dan metode pembelajaran jarak jauh Adapun kriteria penilaian proposal ide tersebut adalah relevansi dengan tema tingkat inovasi kreativitas dan orisinalitas dampak sosial kelayakan teknis dan implementasi Melalui IDEAthon Indonesia Kemristek mendorong pegiat ilmu pengetahuan dan teknologi mahasiswa pakar industri dan masyarakat umum untuk berinovasi melalui ide solusi produk sistem platform dan aplikasi mobile web untuk menangani COVID di Tanah Air Menristek mengumumkan proposal ide dan inovasi yang lolos seleksi yakni Hybrid quadplane UAV to help prevent coronavirus spreadness yang dibuat oleh tim dari Universitas Indonesia Kios cukur rambut portable dari Institut Teknologi dan Kesehatan Jakarta Implementasi teknologi Multi Input Multi Output MIMO relay system sebagai inovasi internet of things untuk mendukung proses pembelajaran jarak jauh di area T dalam situasi COVID di Indonesia dari Universitas Kristen Indonesia Paulus Makasar Sulawesi Selatan Proposal ide lain adalah Sistem pemantauan tingkat pernapasan dan saturasi oksigen dan sistem kendali regulator oksigen terintegrasi dengan teknologi internet of things untuk perawatan pasien COVID dari Sekolah Tinggi Teknologi Nuklir Badan Tenaga Nuklir Nasional Perancangan aplikasi mobile berbasis android curhatin layanan konsultasi psikologi online guna pencegahan gangguan mental di tengah wabah COVID dari Institut Teknologi Sepuluh Nopember Kemudian Alat deteksi awal infeksi virus COVID berbasis hybrid sensor suhu database dan kamera menggunakan face recognition yang diajukan tim dari Universitas Sriwijaya Deteksi COVID pada paru paru secara otomatis berbasis artificial intelligence dari PT Alfabeta Solusi Nusantara Databasedonasi sistem agregasi informasi aksi galang dana lintas platform berbasis web dari Institut Teknologi Sepuluh Nopember Ide selanjutnya adalah Oleifera stimulan bisnis skala kecil berkelanjutan pada era pandemi COVID dari Universitas Mataram ODP tracker dari Universitas Amikom Purwokerto Monitoring tanda tanda vital pasien rawat inap ruang isolasi pasien positif COVID dari RSUPN Dr Cipto Mangunkusumo Berikutnya SIMCOVID reengineering website covid go id ke dalam aplikasi smart client berbasis mobile dari Universitas Muhammadiyah Malang Desain instruksi pembuatan alat pelindung diri sederhana APDS dan kampanye bikinsendiri melalui platform website aplikasi dan media sosial dari Institut Teknologi Bandung GIG economy vs COVID dari Universitas Teknologi Sumbawa Kemudian proposal lain adalah Hidupkan Kaki Lima Dari Online Hilarion Hadir Untuk Bangsa yang diajukan peserta dari Kementerian Komunikasi dan Informatika Crane pemulasaraan jenazah COVID dari Institut Teknologi Telkom Surabaya Juling APPS aplikasi jualan keliling dari Universitas Telkom 
Rouhani: Trump buat 'kesalahan bodoh' keluar dari perjanjian nuklir, Trump membuat kesalahan bodoh dengan keluar dari perjanjian nuklirDubai Presiden Iran Hassan Rouhani pada Rabu mengatakan Presiden Amerika Serikat Donald Trump telah melakukan kesalahan bodoh dengan mundur dari perjanjian nuklir Teheran dengan sejumlah negara besar Rouhani juga meminta Washington agar mencabut sanksinya terhadap Teheran Trump menarik Amerika Serikat dari perjanjian nuklir dengan dalih bahwa perjanjian itu tidak cukup jauh untuk membatasi program rudal dan pengaruh Teheran di kawasan tersebut Trump membuat kesalahan bodoh dengan keluar dari perjanjian nuklir kata Rouhani Jika Amerika ingin kembali ke perjanjian tersebut pihaknya harus mencabut semua sanksi terhadap Teheran dan memberi ganti rugi atas penambahan sanksi Iran akan memberikan respons yang menghancurkan jika embargo senjata terhadap Teheran diperpanjang tambah Rouhani Sebelumnya pada Januari Rouhani mengatakan bahwa Iran tak akan mengembangkan nuklir baik dengan atau tanpa perjanjian nuklir dengan AS Namun pada Januari Rouhani kepada wartawan mengatakan bahwa Iran melakukan pengayaan uranium pada tingkat yang lebih banyak dari yang dilakukannya sebelum mundurnya AS dari perjanjian nuklir pada Sumber Reuters 
Indonesia mendapat alat deteksi COVID-19 dari IAEA, London Badan Tenaga Atom Internasional International Atomic Energy Agency IAEA mengirim bantuan ke sekitar negara termasuk Indonesia berupa alat dengan teknik nuklir untuk mendeteksi virus corona COVID guna mencegah penyebaran virus tersebut Indonesia termasuk negara yang menerima bantuan yang dikirim secara bertahap mulai akhir April hingga awal Mei tersebut demikian keterangan KBRI Wina yang diterima Antara London Selasa Duta Besar Indonesia untuk Austria dan PBB di Vienna Dr Djumala atas nama Pemerintah Indonesia menyampaikan terima kasih dan apresiasi kepada IAEA atas bantuan dan kerja sama dalam penanganan COVID Peralatan baru itu akan dapat meningkatkan jumlah tes yang dilakukan Bantuan ini merefleksikan hubungan erat antara Pemerintah RI dengan organisasi internasional terutama IAEA dan menghasilkan kerja sama yang hasilnya dapat secara konkret dirasakan dan bermanfaat bagi masyarakat Bantuan IAEA berupa peralatan pendeteksi virus dengan teknik data seketika real time RT PCR reverse transcription polymerase chain reaction bahan pereaksi kimia untuk melakukan uji swab pasien yang diduga terinfeksi COVID perlengkapan pelindung diri APD untuk pekerja laboratorium dan beberapa bantuan lainnya Bantuan tersebut diproduksi di dua perusahaan di Jerman tiga perusahaan di Austria dan satu perusahaan di Singapura Salah satu barang bantuan telah dikirimkan pada tanggal April dari Austria Seluruh bantuan ini akan dikirimkan ke Unit Pengujian Terpadu UPT Laboratorium Kesehatan di Pontianak Kalimantan Barat Bantuan ini dikoordinasikan IAEA dengan KBRI Wina dan Badan Tenaga Atom Nasional BATAN dengan melibatkan Gugus Tugas Percepatan Penanganan COVID Tambahan peralatan ini diharapkan dapat mempercepat dan memperbanyak pelaksanaan testing yang sangat penting dalam mencegah penyebaran virus Bermarkas di Wina Austria IAEA adalah organisasi internasional di bidang nuklir yang memajukan penggunaan teknologi nuklir yang aman serta mengatur penggunaannya untuk keperluan damai 
LSI Denny JA: Indonesia akan normal virus Corona pada Juni 2020, Jakarta Lingkaran Survei Indonesia LSI Denny JA memprediksi Indonesia akan memasuki era hampir normal virus Corona COVID pada Juni Pendiri LSI Denny JA dalam siaran persnya di Jakarta Rabu mengatakan hal itu terjadi dengan asumsi aneka protokol kesehatan yang digariskan WHO dan pemerintah RI dipatuhi antara lain menjaga jarak seseorang social distancing bekerja dari rumah work from home memakai masker mencuci tangan larangan mudik dan sebagainya Di era itu yang terpapar virus Corona tentu tetap ada Namun jumlah kasus baru terpapar grafiknya menurun signifikan Puncak pandemik pada Mei sudah dilewati katanya Data nasional hingga April menyebutkan sebanyak orang terinfeksi COVID orang sembuh dan orang meninggal dunia Denny mengatakan sebanyak persen kasus virus Corona COVID selesai sebelum vaksin untuk virus itu ditemukan Bulan Juli September adalah rentang waktu dimana virus Corona tak lagi menjadi masalah bagi dunia Selanjutnya persen Indonesia dan dunia bebas dari virus Corona ketika vaksin atas virus itu ditemukan Rentang waktu penemuan virus sekitar Mei Juli Ketika vaksin ditemukan virus Corona berubah efeknya hanya seperti penyakit biasa yang tak lagi mematikan tambah Denny Berbeda dengan umumnya riset LSI Denny JA riset atas Corona ini bertujuan mengolah data sekunder Hal ini bukan survei opini publik Yang digali bukanlah persepsi publik atas virus Corona katanya Kali ini riset LSI Denny JA ingin membaca trend data dunia dan Indonesia atas kasus Corona Riset ini ingin menjawab apakah dan kapan kah puncak pandemik terlampaui Kesimpulan untuk pertanyaan itu diolah LSI Denny JA dari sumber data dan informasi yaitu pertama dari Worldometer data dunia virus Corona kedua dari Singapore University of Technology and Design serta ketiga dari berbagai hasil riset lainnya Berbeda dengan University of Singapore LSI Denny JA mendasarkan persen tuntas dari virus itu pada penemuan vaksin Khusus persen tuntas virus itu tidak dikembangkan dari model proyeksi data LSI Denny JA mengelaborasi banyak negara dan perusahaan besar yang berlomba menemukan vaksin untuk virus Corona yang diprediksi vaksin pertama yang bisa dipakai luas terjadi sekitar Mei Juli Saat itulah persen virus Corona tidak menjadi masalah bagi manusia kata Denny Menurut Denny tes bagi peradaban modern secara sempurna diuji oleh datangnya virus Corona COVID Sangatlah nyata Betapa kita sudah mampu terbang ke planet lain Senjata nuklir kita bisa memusnahkan bumi berkali kali Artificial inteligence bisa mengalahkan otak manusia Namun ternyata peradaban tak siap dengan serangan virus yang sangat kecil katanya Denny menambahkan kesimpulan untuk Indonesia seminggu dua minggu setelah Lebaran jika protokol kesehatan yang ditetapkan pemerintah dipatuhi di bulan Juni kehidupan kembali hampir normal Pewarta Ruslan BurhaniEditor Kunto Wibisono 
BATAN sterilisasi anti-serum untuk COVID-19 dengan iradiasi gamma, Jakarta Badan Tenaga Nuklir Nasional BATAN akan menggunakan iradiasi gamma untuk sterilisasi serum atau plasma konvaselen dan anti serum IgY untuk penanganan COVID BATAN berada dalam task force satuan tugas riset pengembangan obat dan vaksin Termasuk dalam task force tersebut adalah pengembangan anti serum kata Kepala BATAN Anhar Riza Antariksawan kepada di Jakarta Rabu Serum atau plasma konvaselen dan anti serum IgY akan digunakan untuk imunisasi pasif pasien positif COVID guna mempercepat proses penyembuhan pasien IgY yang hanya ada pada unggas seperti ayam adalah imunoglobulin Y yang sama fungsinya dengan imunoglobulin G IgG pada mamalia Konsorsium COVID bentukan Kementerian Riset dan Teknologi Badan Riset dan Inovasi Nasional mengembangkan serum dan anti serum IgY untuk penanganan pasien COVID BATAN merupakan bagian dari konsorsium yang utamanya bertugas melakukan sterilisasi produk seperti anti serum Sterilisasi sekitar akhir bulan Mei jika semua berjalan lancar karena ada beberapa langkah yang berurutan misalnya untuk pemberian antigen virus COVID ke ayam perlu teknik tersendiri apa perlu adanya booster atau pengulangan suntikan kemunculan IgY di telur ayam isolasi dan seterusnya kata Peneliti Pusat Teknologi Keselamatan dan Metrologi Radiasi BATAN Mukh Syaifudin BATAN saat ini berada pada tahap merancang penjajakan optimalisasi dosis sinar gamma yang efektif untuk menonaktifkan virus tanpa mempengaruhi komponen antigen Konsorsium COVID kembangkan serum dan anti serum imunisasi pasif rumah sakit siap uji empat obat untuk COVID Pewarta Martha Herlinawati SEditor Maryati 
Konsorsium COVID-19 kembangkan serum dan anti-serum imunisasi pasif, Jakarta Konsorsium COVID yang dibentuk Kementerian Riset dan Teknologi Badan Riset dan Inovasi Nasional BRIN akan mengembangkan serum dan anti serum untuk imunisasi pasif kepada pasien positif COVID agar mempercepat proses penyembuhan pasien Ada dua rencana Konsorsium COVID ini yang bertujuan memberikan imunisasi pasif pada pasien kata Peneliti Pusat Teknologi Keselamatan dan Metrologi Radiasi PTKMR Badan Tenaga Nuklir Nasional Batan Mukh Syaifudin kepada Jakarta Rabu Dua rencana terkait imunisasi pasif itu adalah memberikan serum atau plasma konvaselen dari pasien COVID yang sudah sembuh yang mengandung antibodi dan anti serum IgY yang diproduksi di ayam Dua produk ini akan disterilisasi dengan iradiasi gamma IgY hanya ada di unggas seperti ayam yaitu imunoglobulin Y yang sama fungsinya dengan imunoglobulin G IgG di mamalia Rencana anti serum IgY ini merupakan kelanjutan dari program vaksin terdahulu yakni di flu burung atau SARS ujar Syaifudin Batan memiliki ide untuk uji coba iradiasi IgY komersial yang ada di pasaran Saat ini serum atau plasma konvalesen yang mengandung anti bodi atau imunoglobulin G IgG dari pasien manusia yang sembuh dari Covid sedang dibuat oleh Lembaga Biologi Molekuler Eijkman bekerja sama dengan Palang Merah Indonesia PMI untuk mengobati pasien pasien positif COVID di rumah sakit rumah sakit rujukan di Indonesia Untuk penelitian dan pengembangan anti serum IgY diprakarsai oleh Prof Kamaludin dari Institut Pertanian Bogor IPB dan tim Syaifudin menuturkan tim penelitian dan pengembangan anti serum IgY sepakat segera bertindak tapi kegiatan bergantung pada proses awal yang meliputi pengkulturan COVID di Lembaga Eijkman perolehan ayam yang diperlukan hingga sekitar ekor di IPB penyuntikan virus di ayam Lalu perlu tidaknya booster atau penyuntikan kedua dilakukan Kemudian perolehan telurnya ekstraksi dan pemurnian IgY dari kuning telur dan kegiatan terkait lain dilakukan di PT Biofarma Selanjutnya ditentukan faktor faktor yang berpengaruh seperti bioburden atau kandungan mikroorganisme di dalam produk dosis radiasi suhu saat radiasi kemudian diuji keutuhan atau karakteristik antigennya pasca iradiasi dengan teknik SDS PAGE atau spektrofotometer 
