title,content
Lantamal IV tangkap 4 pelaku perampokan di perairan Batam, Ternyata keduanya adalah pemain lama khusus perompakanTanjungpinang Tim F QR Pangkalan Utama TNI Angkatan Laut Lantamal IV Tanjungpinang berhasil menangkap empat orang pelaku perampokan di Perairan Batam Kepulauan Riau Kepri Penangkapan berawal dari laporan adanya orang tak dikenal OTK yang naik ke kapal MT Ocean Leader yang sedang lego jangkar di perairan Tanjung Uban Bintan pada tanggal Mei pukul WIB untuk melakukan perompakan pencurian Berikutnya pada tanggal Mei pukul WIB adanya percobaan perompakan pencurian terhadap kapal sedang berlayar di Utara Nongsa Batam yaitu kapal SV Winposh Resolve yang sedang ditunda oleh TB SMS Dengan adanya dua kejadian tersebut saya memerintahkan Tim F QR Lantamal IV untuk bergerak menyelidiki dan menangkap para pelaku percobaan perompakan pencurian itu kata Komandan Lantamal IV Tanjungpinang Laksamana Pertama TNI Arsyad Abdullah melalui siaran pers tertulis di terima di Tanjungpinang Sabtu Menurut Danlantamal dari hasil penyelidikan Tim F QR Lantamal IV diperoleh informasi adanya sarana boat pancung bermesin tempel PK merek Yamaha yang dicurigai sering melakukan tindak kriminal pencurian barang barang dari kapal Setelah itu Tim F QR Lantamal IV menindaklanjuti dengan pembagian tugas l yaitu tim darat untuk penyelidikan di darat dan tim laut untuk melaksanakan patroli di perairan Sekupang Tanjung Uncang Sagulung dan Dapur Batam Lanjutnya pada hari Jumat tanggal Mei sekira pukul WIB pada saat Sea Rider Tim F QR Lantamal IV sedang berpatroli di perairan Selat Bulan Batam kemudian sebuah boat pancung yang mencurigakan bergerak dari arah Tanjung Uncang Batam menuju Pulau Buluh Sagulung Batam lalu Sea Rider Tim F QR Lantamal IV mencoba mengejar dari arah berlawanan boat pancung tersebut Karena merasa dikejar oleh Sea Rider F QR Lantamal IV sehingga boat pancung tersebut bergerak cepat mengarahkan haluannya ke kedangkalan di Pulau Melintang pada koordinat LU BT kemudian mengandaskan boat pancungnya dan selanjutnya melarikan diri ke arah hutan bakau diperkirakan isi penumpang berjumlah sampai dengan orang ungkapnya Berdasarkan pengembangan di lapangan kata Arsyad pada hari Jumat tanggal Mei sekira pukul WIB Tim F QR telah berhasil mengamankan dua orang pelaku tersebut yaitu inisial SB alias D dan inisial H masing masing di Dapur dan Pulau Labuh Batam Selanjutnya pada pukul WIB berdasarkan keterangan dari kedua pelaku tersebut lalu dikembangkan dengan teknologi melalui trace nomor telepon selular pelaku Tim F QR Lantamal IV kembali berhasil mengamankan dua orang pelaku lainnya yaitu berinisial SE di BTS Sagulung dan JS pada pukul WIB di rumahnya di Kavling Melati Sei Pelunggut Sagulung Batam Ternyata keduanya adalah pemain lama khusus perompakan ucapnya menegaskan Dari hasil pendalaman Tim F QR Lantmal IV keterangan sementara dari para pelaku mengakui pernah merompak di kapal tanker MT Medan yang berlabuh di perairan Batu Ampar Batam dan di kapal MT Ocean Leader pada tanggal Mei Saat ini para pelaku telah diamankan Tim F QR Lantamal IV di sel kantor Pomal Lanal Batam berikut beberapa barang bukti di antaranya buah boat pancung kayu ukuran panjang meter lebar meter berikut satu unit mesin motor tempel merek Yamaha PK dan bilah pisau badik panjang cm sama dengan sajam yang tertinggal di kapal MT Ocean Leader sedangkan sejumlah pelaku lainnya yang belum tertangkap masih dalam pengejaran Tim F QR Lantamal IV 
"2 kapal ikan Malaysia ditangkap saat ""illegal fishing"" di Selat Malaka", Kami sudah perintahkan jajaran di lapangan agar bergerak cepat sesuai dengan koridor yang sudah diatur melalui hukum acaraJakarta Kementerian Kelautan dan Perikanan KKP menerima limpahan dan akan segera memproses hukum kasus dua kapal ikan asing berbendera Malaysia yang ditangkap oleh Direktorat Kepolisian Perairan dan Udara Polda Sumatera Utara Dirjen Pengawasan Sumber Daya Kelautan dan Perikanan PSDKP KKP Tb Haeru Rahayu dalam siaran pers di Jakarta Sabtu menyatakan kepastian pelimpahan penanganan kasus tersebut diperoleh setelah dilakukan gelar perkara yang diikuti oleh Penyidik Pegawai Negeri Sipil PPNS Perikanan Stasiun PSDKP Belawan dan Direktorat Polairud Polda Sumut pada Sabtu Ini bentuk koordinasi dan kerja sama yang baik antar aparat penegak hukum di lapangan Hari ini kami menerima limpahan kasus dari Direktorat Polairud Polda Sumatera Utara yang melakukan penangkapan terhadap dua kapal ikan asing ilegal di Wilayah Pengelolaan Perikanan Negara Republik Indonesia Selat Malaka kata Tb Haeru Berdasarkan hasil gelar perkara kata dia dua kapal ikan asing tersebut ditangkap oleh KP Antareja yang melakukan patroli di ZEEI Selat Malaka pada Jumat KM PKFB ditangkap pada posisi koordinat LU BT sedangkan KM PKFB dilumpuhkan pada posisi koordinat LU BT Kedua kapal yang mengoperasikan alat tangkap trawl tersebut diawaki oleh sembilan orang awak kapal berkewarganegaraan Myanmar dan Thailand Mengingat locus delicti pencurian ikan tersebut berada di ZEEI maka sesuai dengan UU Nomor tahun tentang Perikanan sebagaimana diubah dengan UU tahun bahwa terkait dengan kewenangan penyidikan tindak pidana perikanan ini kami akan memproses hukum lebih lanjut urainya Sementara itu Plt Direktur Penanganan Pelanggaran KKP Drama Panca Putra menjelaskan bahwa dia telah menginstruksikan PPNS Perikanan pada Stasiun PSDKP Belawan di bawah komando Andri Fahrulsyah untuk segera mengambil langkah langkah cepat dalam penanganan kasus tersebut Sejumlah langkah cepat itu kata dia termasuk kaitannya dengan penanganan barang bukti maupun awak kapal yang semuanya merupakan warga negara asing Kami sudah perintahkan jajaran di lapangan agar bergerak cepat sesuai dengan koridor yang sudah diatur melalui hukum acara untuk memastikan bahwa penanganan lebih lanjut kasus ini sesuai dengan ketentuan yang berlaku ucap Drama Selama periode kepemimpinan Menteri Kelautan dan Perikanan Edhy Prabowo sebanyak kapal ikan asing ilegal telah ditangkap dan diproses hukum yang terdiri dari kapal berbendera Vietnam sembilan kapal berbendera Filipina delapan kapal berbendera Malaysia dan satu kapal berbendera Taiwan 
Polisi putar balik arah kendaraan sebanyak 68.946 unit, Jakarta Pihak Kepolisian berhasil memutar balik arah kendaraan sebanyak unit selama hari operasi ketupat yang digelar Selama hari operasi ketupat kita sudah berhasil membuat sebanyak kendaraan putar balik ujar Kadiv Humas Polri Irjen Argo Yuwono dalam konferensi pers Gugus Tugas Percepatan Penanganan COVID di Jakarta Sabtu Dia menambahkan pihak Kepolisian terus mengedepankan tindakan pencegahan dan penyuluhan Pihak Kepolisian bersama dengan TNI telah melakukan giat imbauan dan penyuluhan sebanyak kali dan tindak pencegahan kali Dalam operasi ketupat tersebut terdapat sebanyak pelanggaran lalu lintas tindakan peneguran sebanyak perkara Keseluruhannya menjadi perkara jelas dia Sementara itu kecelakaan lalu lintas sebanyak kejadian dengan meninggal dunia sebanyak orang luka berat sebanyak orang dan luka ringan orang Sejumlah kasus yang menonjol selama pelaksanaan operasi ketupat yakni pencurian dan penjambretan sebanyak kasus dan juga narkoba sebanyak kasus Selanjutnya ada kasus pencurian kendaraan bermotor Dia menghimbau masyarakat untuk tetap disiplin dan patuh untuk menerapkan aturan larangan mudik Pihak Kepolisian juga melakukan penyekatan arus mudik dan arus balik antar provinsi Pemerintah sudah mengumumkan besok Hari Raya Idul Fitri namun kami bersama dengan TNI tetap bertugas untuk mengamankan pelaksanaan Hari Raya Idul Fitri terang dia 
Polres Bogor sita belasan ribu botol miras selama Ramadhan, Cibinong Bogor Polres Bogor Polda Jawa Barat menyita sebanyak belasan ribu botol minuman keras miras selama bulan Ramadhan Hijriah atau sejak April hingga Mei Polres Bogor berhasil menyita dan memusnahkan botol miras berbagai merk Sebanyak kemasan miras tuak dan kemasan miras ciu kata Kapolres Bogor AKBP Roland Ronaldy usai pemusnahan barang sitaan tersebut di halaman kantor Polres Bogor Cibinong Kabupaten Bogor Jumat Pada Operasi Pekat Lodaya ini Polres Bogor juga menyita barang bukti berupa narkotika jenis sabu sabu seberat gram dan sediaan farmasi illegal sebanyak butir Operasi Pekat ini bertujuan untuk menjaga keamanan dan ketertiban di masyarakat dalam menyambut peringatan hari raya Idul Fitri ujar mantan penyidik di Komisi Pemberantasan Korupsi KPK itu Roland mengatakan pihaknya juga membongkar sejumlah kasus kriminal pada periode yang bersamaan seperti kasus tindak pidana perdagangan orang TPPO berkedok panti pijat Polres Bogor mengungkap tiga titik prostitusi berkedok panti pijat yaitu di Cibinong Cileungsi dan Ciawi Dari tiga titik didapat tiga orang tersangka dan enam korban yang usianya masih remaja Terhadap para tersangka kami kenakan pasal tindak pidana perdagangan orang dengan ancaman hukuman pidana penjara di atas lima tahun Pada kasus TPPO ini kami menyita barang bukti berupa buah kondom beber Roland Di samping itu pihaknya juga membongkar aksi kriminal pidana umum seperti kasus pencurian kendaraan bermotor curanmor dengan barang bukti empat unit mobil unit sepeda motor unit kunci letter T serta dua pucuk senjata tajam Kegiatan yang kami lakukan ini tidak akan berhenti sampai di sini saja dan terus dilakukan untuk menjaga keamanan dan ketertiban masyarakat di wilayah hukum Pores Bogor tuturnya Pewarta M Fikri SetiawanEditor Kunto Wibisono 
Aceh kondusif jelang Lebaran, Keamanan dan ketertiban masyarakat menjelang Idul Fitri Hijriah di wilayah Provinsi Aceh relatif stabil dan kondusifBanda Aceh Kepolisian RI Daerah Polda Aceh menyatakan kondisi keamanan dan ketertiban masyarakat di provinsi ujung barat Indonesia tersebut kondusif menjelang Idul Fitri Hijriah atau Masehi Keamanan dan ketertiban masyarakat menjelang Idul Fitri Hijriah di wilayah Provinsi Aceh relatif stabil dan kondusif kata Kepala Bidang Humas Polda Aceh Kombes Ery Apriyono di Banda Aceh Jumat Perwira menengah Polri itu menyebutkan Polda Aceh bersama jajaran terus memantau situasi di provinsi itu serta memastikan keamanan dan ketertiban masyarakat tetap terjamin saat merayakan Idul Fitri Sedangkan kejahatan yang menonjol di masyarakat menjelang hari raya di antaranya narkotika dan obat terlarang pencurian kendaraan bermotor serta pencurian dengan pemberatan Dari semua jajaran Polda Aceh kasus kejahatan tertinggi terjadi di wilayah hukum Polresta Banda Aceh Kemudian Polres Langsa serta Polres Lhokseumawe Polda Aceh juga mengirim personel BKO ke Polres Aceh Tamiang untuk mendukung pengaman di wilayah itu kata Kombes Ery Apriyono Menyangkut pengamanan malam Lebaran Kombes Ery Apriyono menyebutkan Polda Aceh melalui Direktorat Lalu Lintas sudah menggelar apel pasukan melibatkan personel Personel tersebut terdiri dari Direktorat Lalu Lintas dan personel Satuan Lalu Lintas Polresta Banda Aceh Sasaran pengamanan malam Lebaran di antaranya konvoi kendaraan kecelakaan lalu lintas balap liar serta membantu masyarakat terdampak bencana alam seperti banjir dan tanah longsor kata Kombes Ery Apriyono 
Polisi kawal penyaluran BLT dana desa di Rejang Lebong, Rejang Lebong Petugas Kepolisian Resor Rejang Lebong Polda Bengkulu melakukan pengawalan penyaluran bantuan langsung tunai BLT yang bersumber dari dana desa DD di wilayah itu Kapolres Rejang Lebong AKBP Dheny Budhiono melalui Kasubag Humas Iptu Jumipan Azhari dalam keterangan tertulisnya Kamis menyebutkan penyaluran BLT yang bersumber dari dana desa di Kabupaten Rejang Lebong tersebut mulai dibagikan pada hari ini setelah masing masing desa mencairkannya dari bank yang ditunjuk Penyaluran BLT yang bersumber dari dana desa di Kabupaten Rejang Lebong mulai hari ini dalam penyaluran petugas Bhabinkamtibmas bersama dengan anggota TNI melakukan pengawalan agar penyaluran tidak mengalami hal hal yang tidak diinginkan kata dia Ia mengatakan penyaluran BLT dana desa di Kabupaten Rejang Lebong ini rencananya akan dibagikan oleh desa tersebar dalam kecamatan di mana besaran BLT yang diberikan kepada setiap kepala keluarga yang dinilai layak menerimanya sebesar Rp Pada penyaluran BLT ini petugas kepolisian dan anggota TNI selain melakukan pengawalan serta monitoring juga menyosialisasikan pencegahan penyebaran virus corona baru atau COVID kepada masyarakat masing masing desa seperti menggunakan masker menjaga jarak cuci tangan pakai sabun tidak berkerumun dan tidak mudik Selain itu petugas juga meminta masyarakat masing masing desa untuk meningkatkan pengamanan lingkungan dengan jalan membentuk siskamling guna mencegah tindak kejahatan terutama pencurian ternak mendekati lebaran Pantauan di Desa Air Merah Kecamatan Curup Tengah kata dia BLT dana desa diterima oleh kepala keluarga KK Penyaluran BLT dana desa ini dilakukan kepala desa berserta perangkat dengan dikawal petugas Bhabinkamtibmas dan anggota Babinsa yang mendatangi rumah penerima satu per satu katanya Pewarta Nur MuhamadEditor Bambang Sutopo Hadi 
Menteri Edhy pastikan perkuat Satgas Pemberantasan Pencurian Ikan, Jakarta Menteri Kelautan dan Perikanan Edhy Prabowo memastikan akan tetap melanjutkan dan bahkan terus memperkuat Satgas dalam rangka melakukan perang pemberantasan terhadap aktivitas illegal fishing atau pencurian ikan di perairan RI Menteri Edhy dalam siaran pers di Jakarta Kamis menginstruksikan agar pelaku illegal fishing yang berasal dari negara lain harus ditangani tanpa kompromi meskipun tetap memperhatikan norma norma yang berlaku di dunia internasional Sebelumnya keberadaan dan keberlangsungan Satgas telah dievaluasi oleh Kemenkopolhukam Hasilnya Rakortas setingkat menteri yang dipimpin Menko Polhukam Januari sepakat bahwa Satgas telah menunjukkan kinerja yang sangat positif Selain itu Menteri Kelautan dan Perikanan juga memastikan bahwa Presiden juga memberikan arahan agar Satgas diperkuat Presiden telah memberikan arahan agar Satgas ini diperkuat dan menjadi bagian penting dalam upaya pemberantasan illegal fishing di Indonesia baik yang berskala nasional maupun melibatkan jaringan internasional kata Menteri Edhy Kendati melanjutkan Menteri Edhy menekankan paradigma baru Satgas Pertama Satgas didorong melaksanakan fungsi koordinasi dan sinergi dalam pemberantasan penangkapan ikan ilegal Dia berharap agar jangan sampai kehadiran Satgas mengurangi atau bahkan menghilangkan kinerja lembaga yang telah ada sebelumnya Perkuat dengan SOP dalam tataran operasionalnya tegasnya Semangat kedua ialah penguatan fungsi masing masing instansi dalam pemberantasan penangkapan ikan ilegal Melalui semangat ini Menteri Edhy meminta segenap unsur Satgas agar melihat potensi dan mengintegrasikan kekuatan yang dimiliki masing masing sehingga menjadi sebuah keterpaduan langkah yang akan menjadi kekuatan luar biasa dalam pemberantasan pencurian ikan Ke depan saya mengharapkan Satgas dapat membuat teroboson terobosan baru dalam penanganan illegal fishing Manfaatkan teknologi terkini agar dapat berjalan efektif dan efisien mampu menimbulkan efek jera bagi pelaku illegal fishing serta mampu mengembalikan kerugian negara yang diakibatkan oleh illegal fishing ucapnya Satuan Tugas Pemberantasan Penangkapan Ikan Secara Ilegal illegal fishing atau yang lebih dikenal dengan Satgas merupakan satuan tugas yang dibentuk berdasarkan Peraturan Presiden Nomor Tahun Pembentukan Satgas ini merupakan perwujudan komitmen Indonesia dalam melakukan pemberantasan illegal fishing Pewarta M Razi RahmanEditor Budi Suyanto 
Rapalan peronda di tengah pandemi COVID-19, Magelang Dalang muda wayang kontemporer dari Kecamatan Grabag Kabupaten Magelang Jawa Tengah Sih Agung Prasetyo tetap tinggal di rumah selama pandemi virus corona jenis baru COVID Order pementasan menjadi terhenti karena pandemi ia menyibukkan diri dengan menggarap pekarangan di samping rumahnya di Dusun Sudimoro Desa Baleagung dengan ditanami hortikultura Tentu saja sambil momong anak semata wayangnya yang masih balita Entah karena disergap bosan karena lama tinggal di rumah atau sedang mengisi asyik saat ronda bersama warga setempat sebagaimana desa desa lainnya di kawasan dekat Gunung Andong itu ia membuat rapalan antimaling Rapalan dari kata rapal yang artinya mengucap atau membaca yang disiratkan sebagai mantra Isu aksi maling dan kecu memang gencar menimpa warga terutama berseliweran melalui jejaring media sosial di tengah pandemi virus itu sehingga mereka ronda Ia menciptakan rapal kontemporer antimaling lalu merekam dengan telepon pintarnya suara rapalan itu Hasil rekaman berdurasi detik itu dikirim ke grup percakapan tertutup medsos Kawan kawannya di kalangan seniman petani Komunitas Lima Gunung Kabupaten Magelang Merapi Merbabu Andong Sumbing dan Menoreh yang menyimak rekamanan lalu merespons dengan aneka emotikon dan ungkapan tanda tawa lainnya Mereka menganggap rapalan antimaling tersaji di grup percakapan itu sebagai gojekan segar sang dalang di tengah pandemi Sring sring sring cublak cublak suweng cublak e wong andheng andheng mlaku ngalor ketemu kucing gering Rasido mbalik ngidul meneh tekan kidul ono ing jagat kidul kono ono macan tutul ditembak mumbul mumbul Bali jagat wetan jagat wetan opo to isine jagat wetan Ing kono ono manuk gagak ora sido meneh Ketemu ono ing jagat kulon Isine opo to isine jagat kulon isine jagat kulon ono wong ngobong bata mubyar mubyar mbenem telo njogo maling begitu rapalan itu Sing Agung kondang di jagat pedalangan karena pementasan wayang kontemporer berupa dunia serangga yang diciptakan sahabatnya seniman kawasan Gunung Merapi Merbabu di Dusun Keron Desa Krogowanan Kecamatan Sawangan Kabupaten Magelang Sujono Terjemahan bebas rapalan itu kira kira ada sosok dengan tahi lalat berjalan ke utara bertemu kucing gering ke selatan bertemu macan tutul melanting karena ditembak Ia ke arah timur bertemu manuk gagak sehingga urung lalu ke barat bertemu orang orang membakar batu bata dengan api berkobar kobar dipakai juga untuk membakar singkong sambil ronda maling Belakangan diketahui bahwa sang dalang sejak lebih tiga bulan terakhir tak keluar rumah karena mata kanannya timbilen hordeolum tak kunjung sembuh Hingga pemeriksaan terakhir oleh dokter beberapa hari lalu akhirnya pulih Ketika sudah pulih itulah ia telah terjerat kepatuhan terhadap imbauan pemerintah untuk mencegah penularan COVID dengan tinggal di rumah Di sejumlah grup percakapan Whatsapp rapalan antimaling dalang Sih Agung juga beredar termasuk di sekelompok warga dusun di kawasan Pantai Selatan Kabupaten Bantul Daerah Istimewa Yogyakarta Penguatan isu ancaman gangguan keamanan dan ketertiban masyarakat terjadi beberapa waktu terakhir Publik beranggapan isu itu merebak setelah pemerintah mengumumkan asimiliasi narapidana di berbagai lembaga pemasyarakatan dan ruman tahanan negara karena pandemi COVID Program asimiliasi sejak pertengahan April lalu semestinya bisa dipahami secara positif untuk mencegah timbulnya klaster napi dalam penularan virus yang menjadi pandemi global tersebut Dikhawatirkan terjadi penularan virus karena mereka tinggal bersama sama dalam tembok jeruji tahanan Penularan virus tidak jelas datangnya dari mana kepada siapa dan menimpa lewat apa sebelum ada yang terpapar atau menjadi korban Namun stigma terhadap kalangan mereka membuat isu merebak atas ancaman gangguan kamtibmas di berbagai tempat desa kota permukiman jalanan dan kompleks perumahan Bahkan kabar yang beredar terjadi drop dropan operasi maling antarwilayah Kemanusiaan Menteri Hukum dan HAM Yasonna H Laoly telah menjelaskan termasuk melalui tayangan televisi soal program asimilasi bagi napi dengan berbagai pertimbangan ketentuan dan persyaratan yang terutama untuk melindungi kepentingan kemanusiaan karena pandemi virus Data Kementerian Hukum dan Hak Asasi Manusia hingga Minggu tercatat napi menjalani asimilasi sedangkan pihak Polri menangani napi asimilasi yang berulah melakukan tindak pidana kembali Kepala Bagian Penerangan Umum Polri Kombes Pol Ahmad Ramadhan menyebut kasus napi asimilasi berulah lagi waktu itu tersebar di polda di mana yang terbesar di Jawa Tengah dan Sumatera Utara masing masing napi serta Jawa Barat napi Sejumlah wujud kejahatan mereka antara lain kekerasan pencurian penganiayaan penyalahgunaan narkoba dan pencabulan Mereka yang berulah lagi itu pun harus berhadapan dengan persoalan hukum kembali di tengah pandemi Catatan napi berulah tersebut relatif kecil angkanya persen tetapi kabar tentang kalangan mereka membuat masyarakat kebanyakan dihinggapi resah tidak keruan karena viral di media sosial Sejumlah warga Dusun Sudimoro Desa Baleagung Kecamatan Grabag Kabupaten Magelang ronda untuk mencegah kejahatan dampak pandemi COVID HO Komunitas Lima Gunung Kabupaten Magelang Ronda pun diselenggarakan Setiap malam warga berkumpul di pemukiman masing masing untuk ronda antisipasi ulah maling sebagaimana kabar diperoleh melalui medsos Tentu saja ronda jadi titik blunder tersendiri warga terkait dengan kebijakan jaga jarak sebagai salah satu cara penting mencegah penularan COVID karena kegiatan itu identik orang berkumpul Masyarakat di perumahan kecil di Secang Kabupaten Magelang memutuskan memasang sejumlah kamera pemantau di sejumlah tempat untuk memantau situasi lingkungan terutama malam hari sedangkan ketua rukun tetangga di perumahan lain berkonsultasi dengan para pemuka warga tentang usulan pentingnya ronda Kalau toh diselenggarakan ronda sebaiknya bukan karena takut dan khawatir atas kabar viral maling beraksi di tengah pandemi tetapi memang karena kesadaran menjaga kambtimas di lingkungan masing masing Belum lagi pertimbangan taat jaga jarak tidak boleh kendor Di salah satu dusun di kawasan Gunung Andong Kecamatan Ngablak Kabupaten Magelang bahkan sejak beberapa bulan terakhir warga menghidupkan ronda lagi Selain berkerumuman sambil menghalau dingin udara kawasan gunung mereka juga ada yang bersiaga di bubung rumah untuk memantau keadaan kampung dari atas Kalau tiba tiba ada anjing lewat kami tidak mau terjebak ke situ Kami anggap itu pancingan dari maling red supaya kami terkecoh Kami waspada kata seorang warga setempat Giyanto Hingga saat ini pun sebagian besar mereka belum memperoleh hasil menangkap maling Tetapi hantu gangguan kamtibmas tetap menyergap batin menjadi khawatir bersama yang berkelanjutan Khawatir kalau maling sukses menggondol harta warga sehingga mereka harus ronda sedangkan si maling sendiri mereka nalar sedang menghadapi kesulitan setelah keluar hotel prodeo tak memiliki penghidupan butuh makan lalu berbuat jahat Kira kira bayang bayang demikian menggayut publik Nyaris tak mengemuka ke publik kisah sukses maling beraksi kecuali sudah tertangkap massa dan aparat Hanya maling konyol berani cerita sukses aksinya meskipun di media sosial Begitu pula media massa arus utama kalau memberitakan sukses tindak jahat mereka tentu melukai nalar dan nurani publik Buku karya Ratih Sarwiyono Ki Ageng Suryomentaram Sang Plato dari Jawa mengemukakan tentang jiwa manusia yang diliputi khawatir sebagai ketakutan akan pengalaman yang belum dialami dan sesal sebagai ketakutan terhadap pengalaman masa lampau yang telah dilalui Baik sesal maupun khawatir keduanya membuat manusia bersedih dilingkupi penderitaan dan merasa celaka sebagai bagian dari kelebatan suasana jiwa manusia yang sebentar senang dan sebentar susah Kalau sekarang merebak ronda warga untuk mencegah maling termasuk dalang Sih Agung pun mendapat jatah semata mata untuk membuat lingkungan aman dan mereka tidak kemalingan harta benda termasuk tanaman sayuran di pekarangannya Mereka merespons kekhawatiran bersumber dari seliweran kabar napi berulah lagi melalui perangkat digitalnya dengan cara ronda Ronda bersama untuk mempertahankan kepemilikan karena harta milik bisa seketika beralih ke tangan maling ketika berhasil mencuri Andarbeni punika tegesipun kenging sakajeng kajengipun Mangka raos ndarbeni punika wonten ing sedaya pihak Kepemilikan itu bisa semaunya Padahal rasa memiliki ada di semua pihak demikian Buku Kawruh Jiwa Wejanganipun Ki Ageng Suryomentaram Jilid III disusun Grangsang Suryomentaram Ihwal menyangkut kepemilikan yang tidak langgeng itu kalau didekatkan menjadi klaim kedua pihak dalam kepedulian kemanusiaan kebersamaan dan solidaritas maka boleh dipikirkan saat pandemi ini menjadi wujud ronda bersama sama warga dan maling Ketuklah nurani napi asimilasi bahwa mereka kembali ke lingkungan masyarakat dan menjadi bagian ronda bersama Supaya virus maling dan khawatir bareng bareng tak mendapatkan inang Alhasil barisan rapalan sang dalang ono wong ngobong bata mubyar mubyar mbenem telo bukan lagi untuk suguhan peronda maling Singkong bakarnya dimakan bersama sama napi asimilasi saja 
Tekab Polsek Medan Area tembak pelaku pencurian dengan kekerasan, RS berusaha menyerang petugas dan melarikan diriMedan Personel Unit Reskrim Tekab Polsek Medan Area menembak pelaku pencurian handphone dengan kekerasan terhadap korban Elsa Ria Sialoho di Jalan Elang Ujung Parkit XVIII Kelurahan TSM I Kecamatan Medan Denai Kota Medan Sumatera Utara Kapolsek Medan Area Kompol Faidir di Medan Selasa mengatakan pelaku yang ditangkap itu RS penduduk Jalan Perumnas Mandala Sriti Kelurahan Kenangan Lama Kecamatan Percut Sei Tuan Kabupaten Deli Serdang Ia menyebutkan peristiwa pencurian tersebut pada Senin sekitar pukul WIB Saat itu Tekab Polsek Medan Area mendapat informasi bahwa korban pencurian terseret di aspal akibat ulah pelaku dan Elsa Ria mengalami luka luka di lutut paha serta kaki bagian bawah Kemudian petugas langsung turun ke tempat kejadian perkara TKP untuk mencari pelaku jambret dan mengamankan RS dari tempat persembunyiannya beserta barang bukti Saat dilakukan pengembangan untuk mencari rekan pelaku yang menjadi joki dalam melakukan aksinya RS berusaha menyerang petugas dan melarikan diri Tekab memberikan tembakan peringatan dua kali namun tidak diindahkan dan akhirnya diberikan tindakan tegas terukur dengan menembak kaki pelaku ujarnya pula Kemudian pelaku dibawa ke Rumah Sakit RS Bhayangkara Medan untuk dilakukan pengobatan dan setelah itu diboyong ke Polsek Medan Area untuk proses hukum lebih lanjut katanya lagi Ia menambahkan barang bukti yang diamankan yakni satu unit sepeda motor Jupiter BK ACB milik pelaku yang digunakan saat merampas paksa handphone korban satu unit handphone android milik korban dan satu paket sabu sabu milik pelaku 
125 napi asimilasi ditangkap kembali karena berulah lagi, Jakarta Kepala Bagian Penerangan Umum Divhumas Kepolisian Indonesia Komisaris Besar Polisi Ahmad Ramadhan mengatakan hingga Selasa polisi telah menangkap narapidana asimilasi karena mereka kembali berulah padahal mereka telah menerima asimilasi Berdasarkan data Bareskrim Polri sampai dengan hari ini ada narapidana asimilasi yang kembali melakukan kejahatan dan telah diamankan ditangkap kata Kombes Ramadhan di Kantor Badan Reserse Kepolisian Indonesia Jakarta Selasa Ramadhan menjelaskan napi asimilasi ini ditangkap dan diproses hukum di Polda Lima Polda yang paling banyak menangkap para narapidana asimilasi kambuhan itu yakni Polda Jawa Tengah menangani kasus Polda Sumatera Utara menangani kasus Kemudian Polda Jawa Barat menangani kasus Polda Riau menangani kasus dan Polda Kalimantan Barat menangani kasus Sebelumnya pada Kamis Kepolisian Indonesia telah menangkap sebanyak napi asimilasi kambuhan Proses hukum ratusan napi ini ditangani Polda Jumlah penangkapan napi asimilasi terus meningkat di setiap hari Ramadhan memaparkan jenis kejahatan yang dominan dilakukan para napi asimilasi tersebut adalah kejahatan pencurian dengan pemberatan pencurian kendaraan bermotor dan pencurian dengan kekerasan narkoba penganiayaan dan pengeroyokan pemerkosaan dan pencabulan Ada juga kasus penipuan dan penggelapan perjudian dan pembunuhan katanya Motif napi asimilasi yang kembali melakukan kejahatan umumnya karena faktor ekonomi terutama pada kejahatan terhadap properti seperti curat curas dan curanmor Selain itu motif lainnya kata Ramadhan ada yang didorong karena rasa sakit hati dan dendam sehingga melakukan tindakan pengeroyokan dan penganiayaan bahkan sampai pembunuhan 
