title,content
Prof Zainal: Idul Fitri momen bangkitkan persaudaraan sesama manusia, Palu Ketua Majelis Ulama Indonesia MUI Kota Palu Sulawesi Tengah di Palu Ahad mengemukakan Idul Fitri Hijriah Tahun idealnya menjadi momentum yang tepat untuk memupuk membangkitkan kembali persaudaraan antarsesama manusia tanpa melihat latar belakang apapun Sebab inti dari ajaran Islam setelah beriman kepada Allah adalah kesempurnaan moral atau akhlak ucap Prof Dr H Zainal Abidin MAg Pernyataan itu sesuai dengan Rasulullah SAW yang menegaskan dalam sabdanya Sesungguhnya aku diutus hanya untuk menyempurnakan keluhuran akhlak Artinya kata Prof Zainal iman dan akhlak adalah dua hal yang tak terpisahkan Akhlak mulia adalah manifestasi yang terpancar dari iman yang kokoh Prof Zainal yang merupakan Guru Besar sekaligus Rektor Pertama IAIN Palu mengemukakan Islam sangat menganjurkan umatnya untuk membangun kehidupan yang harmoni melalui toleransi sosial dengan memperbaiki hubungan bertetangga Ketua FKUB Sulteng ini menyebut Nabi SAW memberi teladan tentang hubungan bertetangga antar iman bahkan begitu istimewanya para tetangga sampai sampai para sahabat Nabi mengkhawatirkan jangan jangan para tetangga itu akan mendapatkan warisan dari tetangganya yang meninggal Bertetangga adalah menjalin hubungan sosial kemasyarakatan dan itu ada prinsip prinsip universalnya yaitu tolong menolong tanpa pamrih dan tidak saling mengganggu Tidak dapat disangkal ditolak apalagi dinafikan bahwa Kebhinekaan dalam segala hal di dunia ini adalah fakta yang tak terbantahkan Bahkan merupakan sunnatullah dan bagian dari tanda tanda Kemahakuasaan Tuhan katanya Harmoni kehidupan bertetangga adalah modal sosial yang perlu dipupuk dan ditumbuhkembangkan Kearifan universal bertemu dengan kearifan lokal Tak ada keberhasilan pembangunan tanpa didukung oleh keharmonisan para pelakunya yang lintas etnis RAS agama profesi dan seterusnya Prof Zainal yang juga Rois Syuria NU Sulteng menilai jika setiap pemeluk agama masing masing menjalankan ajaran agamanya dengan baik benar dan utuh pasti akan melahirkan sikap toleran saling menghormati hak hak orang lain tolong menolong sesama manusia dan menghargai kebebasan beragama Inilah yang disebut oleh pakar agama dengan sebutan mewujudkan tata dunia baru agama agama yaitu agama yang datang bukan untuk peperangan atau permusuhan tetapi perdamaian dan kemaslahatan serta kesejahteraan umat manusia ungkapnya Sebagaimana salah satu sifat yang dicontohkan Nabi Muhammad SAW sebagai pengejawantahan dari misi kerahmatan yang diemban oleh beliau adalah sikap toleransi dan sebagai Umat Muhammad kita adalah penerus pengemban misi tersebut Sikap saling menghormati dan menghargai sesama warga masyarakat serta tidak saling mencurigai adalah cerminan dari seorang Muslim sejati Sikap ini pun diteladankan oleh Nabi Muhammad SAW Bulan Ramadhan menurut dia adalah bulan untuk mengasah kepekaan sosial memupuk kesadaran akan kepedulian terhadap sesama dan berempati terhadap kaum dhu afa Setelah merasakan lapar dahaga sebulan penuh Ramadhan ditutup dengan kewajiban menunaikan zakat fitrah Ada pesan tegas yang tersirat bahwa dil uar sana banyak orang yang saban hari merasakan lapar dahaga maka santunilah mereka Bila kita memberikan sebahagian kesenangan itu kepada mereka janganlah dianggap sebagai anugerah karena memang itu adalah haknya Sebaliknya bila kita tidak peduli terhadap derita mereka apalagi merebut peluang mereka untuk hidup layak berarti kita telah berbuat zalim ucap Prof Zainal yang juga Dewan Pakar Pengurus Besar Alkhairaat Pewarta Muhammad HajijiEditor Erafzon Saptiyulda AS 
Polda Bali tangkap seorang pelaku dugaan kasus ujaran kebencian, dengan alasan yang bersangkutan benci terhadap Polri karena dilarang mudik LebaranDenpasar Ditreskrimsus Polda Bali menangkap seorang pelaku bernama Jumadi karena diduga melakukan tindak pidana pengancaman dan menyebarkan informasi yang ditujukan untuk menimbulkan rasa kebencian atau permusuhan individu dan atau kelompok masyarakat tertentu berdasarkan atas suku agama ras dan antargolongan SARA melalui postingan komentar di media sosial Adapun motif pelaku mengakui telah memposting informasi tersebut di atas dengan alasan yang bersangkutan benci terhadap Polri karena dilarang mudik Lebaran kata Kepala Sub Direktorat V Ditreskrimsus Polda Bali AKBP I Gusti Putu Ayu Suinaci saat dikonfirmasi di Denpasar Jumat Ia menjelaskan pelaku membuat komentar pada postingan seseorang di media sosial facebook dengan nama akun Jun Bintang dan kalimat Pasti bisa ke Bali lg tenang saja klok di larang masuk Bali iya boom saja kyk dulu biyar mampus wkwkw Kemudian pelaku mengubah nama akunnya untuk menghilangkan jejak Setelah melalui proses penyelidikan petugas menemukan bahwa pelaku telah mengubah nama akunnya dan memberikan komentar pada postingan facebook seseorang yang berisi muatan untuk menimbulkan rasa kebencian atau permusuhan individu dan atau kelompok masyarakat tertentu berdasarkan SARA Adapun isi status yang yang dikomentari pelaku berkenaan tentang larangan mudik Setelah melalui pemeriksaan pelaku mengakui benci terhadap Polri karena dilarang mudik Lebaran sehingga memberikan komentar pada postingan tersebut Saat ini terhadap pelaku telah dilakukan penahanan di Rutan Mapolda Bali katanya lagi Atas perbuatannya pelaku disangkakan dengan Pasal ayat jo Pasal ayat Undang Undang Republik Indonesia Nomor Tahun tentang perubahan atas Undang Undang Nomor Tahun tentang Informasi dan Transaksi Elektronik dengan ancaman hukuman pidana penjara paling lama enam tahun dan atau denda paling banyak Rp miliar 
Bahar Smith dipindahkan ke Lapas Nusakambangan, Jakarta Terpidana kasus penganiayaan remaja Bahar Smith dipindahkan ke Lembaga Pemasyarakatan Lapas Klas I Batu Nusakambangan Cilacap Jawa Tengah pada Selasa malam Pemindahan tersebut dilakukan setelah simpatisan pendukung Smith melakukan gangguan keamanan dan ketertiban saat menggeruduk Lapas Klas IIa Gunung Sindur Bogor Merujuk pada kondisi tersebut Kalapas Khusus Gunung Sindur telah berkoordinasi dengan Kakanwil Jawa Barat yang selanjutnya disetujui oleh Direktur Jenderal Pemasyarakatan untuk Habib Bahar Bin Smith ditempatkan sementara waktu di Lapas Klas I Batu Nusakambangan ujar Kepala Bagian Humas Ditjen Pemasyarakatan Kemenkumham Rika Aprianti dalam keterangan di Jakarta Rabu Diketahui sejak Selasa siang puluhan simpatisan pendukung Smith menyatroni Lapas Gunung Sindur berusaha menemui pimpinan mereka yang kembali ditangkap usai pencabutan izin asimilasi Rika mengatakan selama berkumpul dan berkerumun para simpatisan pendukung Smith tersebut melakukan tindakan yang mengganggu keamanan dan ketertiban seperti berteriak teriak dan melakukan tindakan provokatif yang mengakibatkan rusaknya pagar lapas Aksi tersebut dinilai dapat mengganggu kondusifitas Lapas Gunung Sindur yang banyak dihuni narapidana terorisme dan narkotika Lapas Gunung Sindur juga dihuni oleh narapidana kasus teroris dan Bandar narkoba akan menjadikan kondisi yang tidak kondusif dan dapat mengganggu keamanan ketertiban apabila terjadi kerumunan massa ucap Rika Selain itu kerumunan massa simpatisan dalam jumlah besar tersebut juga telah melanggar protokol kesehatan penanganan COVID Berdasarkan hal tersebut Bahar Smith akhirnya dipindahkan ke Lapas Nusakambangan Habib Bahar Bin Smith ditempatkan sementara waktu di Lapas Klas I Batu Nusakambangan dengan pertimbangan untuk kepentingan keamanan ketertiban dan pembinaan bagi yang bersangkutan kata Rika Sebelumnya Bahar Smith kembali dimasukkan ke dalam lapas setelah surat keputusan SK asimilasi yang sebelumnya diberikan kepada dirinya dicabut Pencabutan tersebut dilakukan karena Bahar Smith dinilai tidak mengindahkan dan mengikuti bimbingan yang dilakukan Pembimbing Kemasyarakatan Balai Pemasyarakatan Bogor serta melakukan pelanggaran khusus selama menjalani masa asimiliasi di rumah Selama menjalani masa asimilasi Smith dinilai telah melakukan sejumlah tindakan yang dianggap menimbulkan keresahan di masyarakat yakni menghadiri kegiatan dan memberikan ceramah yang provokatif dan menyebarkan rasa permusuhan dan kebencian kepada pemerintah Selain itu Smith juga dinilai melanggar aturan Pembatasan Sosial Berskala Besar PSBB di tengah kondisi darurat COVID dengan mengumpulkan massa dalam pelaksanaan ceramahnya Pada Selasa dini hari Bahar Smith dijemput oleh tim penegak hukum di kediamannya dan dibawa ke Lapas Klas IIa Gunung Sindur Bogor untuk kembali menjalani sisa pidana 
"Asimilasi dicabut, Bahar Smith baru akan bebas November 2021", Jakarta Direktorat Jenderal Pemasyarakatan Ditjenpas Kementerian Hukum dan HAM menyatakan terpidana kasus penganiayaan remaja Bahar Smith baru akan dibebaskan pada November menyusul pencabutan izin asimilasi yang sebelumnya diberikan kepada yang bersangkutan Bahar Smith dipenjara sampai November ujar Kepala Bagian Humas Ditjen Pemasyarakatan Kemenkumham Rika Aprianti melalui pesan singkat di Jakarta Selasa Sebelumnya Bahar Smith memperoleh izin asimilasi di rumah dari Kepala Lembaga Pemasyarakatan Klas IIA Cibinong pada Sabtu Izin tersebut diberikan karena Smith telah menjalani setengah masa pidana dan dianggap berkelakuan baik selama di penjara Namun pada Selasa pemberian izin asimilasi tersebut dicabut setelah Smith dinilai tidak mengindahkan dan mengikuti bimbingan yang dilakukan Pembimbing Kemasyarakatan Balai Pemasyarakatan Bogor serta melakukan pelanggaran khusus selama menjalani masa asimilasi di rumah Direktur Jenderal Pemasyarakatan Dirjenpas Reynhard Silitonga menjelaskan selama menjalani masa asimilasi Smith dinilai telah melakukan sejumlah tindakan yang dianggap menimbulkan keresahan di masyarakat yakni menghadiri kegiatan dan memberikan ceramah yang provokatif dan menyebarkan rasa permusuhan dan kebencian kepada pemerintah Selain itu Smith juga dinilai melanggar aturan Pembatasan Sosial Berskala Besar PSBB di tengah kondisi darurat COVID dengan mengumpulkan massa dalam pelaksanaan ceramahnya Atas perbuatan tersebut maka kepada yang bersangkutan dinyatakan telah melanggar syarat khusus asimilasi sebagaimana diatur dalam pasal ayat huruf e Permenkumham Nomor Tahun dan kepadanya dicabut asimilasinya dan selanjutnya diperintahkan untuk dimasukkan kembali ke dalam lembaga pemasyarakatan untuk menjalani sisa pidananya dan sanksi lainnya sesuai ketentuan ujar Reynhard Rika mengatakan Smith tidak dikenai pidana baru atas pelanggaran yang dilakukan selama asimilasi Dia hanya harus menjalani sisa pidana di balik jeruji besi hingga November Tidak ada pidana baru karena pelanggaran yang dilakukan pelanggaran khusus jadi yang bersangkutan menjalankan sisa pidananya saja ucap Rika Saat ini Bahar Smith berada di sel pengasingan Lapas Klas IIA Gunung Sindur Bogor untuk menjalani sisa pidana tersebut Pada Juli Bahar Smith dijatuhi vonis tahun penjara dan denda Rp juta subsider bulan masa tahanan oleh majelis hakim karena dinilai terbukti melakukan tindak penganiayaan terhadap dua remaja Dalam sidang yang digelar Pengadilan Negeri PN Bandung Smith dijerat Pasal ayat KUHP juncto Pasal ayat ke KUHP dan dakwaan kedua primer Pasal ayat ke KUHP dan dakwaan ketiga Pasal ayat juncto Pasal C Undang Undang Nomor Tahun tentang Perubahan atas Undang Undang Nomor Tahun tentang Perlindungan Anak Pewarta Fathur RochmanEditor Bambang Sutopo Hadi 
Bahar Smith ditempatkan di sel pengasingan LP Gunung Sindur, kepada yang bersangkutan dinyatakan telah melanggar syarat khusus asimilasi sebagaimana diatur dalam pasal ayat huruf e Permenkumham Nomor dan kepadanya dicabut asimilasinya Jakarta Terpidana kasus penganiayaan remaja Bahar Smith ditempatkan di sel pengasingan one man one cell straf cell Lembaga Pemasyarakatan Gunung Sindur Bogor Jawa Barat Bahar Smith ditempatkan di one man on cell atau straf cell di Blok A Antasena kamar LP Gunung Sindur ujar Direktur Jenderal Pemasyarakatan Kementerian Hukum dan HAM Reynhard Silitonga dalam keterangan tertulis di Jakarta Selasa Smith kembali dimasukkan ke dalam LP setelah surat keputusan SK asimilasi yang sebelumnya diberikan kepada laki laki terpidana berambut panjang itu dicabut Pencabutan itu terjadi karena dia dinilai tidak mengindahkan dan mengikuti bimbingan oleh Pembimbing Kemasyarakatan Balai Pemasyarakatan Bogor serta melakukan pelanggaran khusus selama menjalani masa asimiliasi di rumah Silitonga menjelaskan selama menjalani masa asimilasi Smith dinilai telah melakukan sejumlah tindakan yang dianggap meresahkan masyarakat yakni menghadiri kegiatan dan memberikan ceramah yang provokatif dan menyebarkan rasa permusuhan dan kebencian kepada pemerintah Video ceramah Smith yang telah menjadi viral itu dianggap dapat meresahkan di masyarakat Selain itu Smith juga dinilai melanggar aturan Pembatasan Sosial Berskala Besar di tengah kondisi darurat Covid dengan mengumpulkan massa dalam pelaksanaan ceramahnya Atas perbuatan tersebut maka kepada yang bersangkutan dinyatakan telah melanggar syarat khusus asimilasi sebagaimana diatur dalam pasal ayat huruf e Permenkumham Nomor dan kepadanya dicabut asimilasinya dan selanjutnya diperintahkan untuk dimasukkan kembali ke dalam lembaga pemasayarakatan untuk menjalani sisa pidananya dan sanksi lainnya sesuai ketentuan ujar Silitonga Terpidana dijemput di rumahnya p pukul WIB Selasa oleh tim gabungan penegak hukum Saat tiba di rumah Smith kepala LP Cibinong membacakan SK pencabutan asimilasi bernomor W PAS PAS PK Terpidana itu lalu dieksekusi ke LP Gunung Sindur Bogor dan tiba di sana pada pukul WIB kemudian diperiksa kesehatannya sebelum akhirnya ditempatkan di sel pengasingan 
Ditjenpas jelaskan pencabutan pemberian asimilasi Bahar Smith, Jakarta Direktorat Jenderal Pemasyarakatan Ditjenpas Kementerian Hukum dan HAM menjelaskan alasan pencabutan pemberian izin asimilasi di rumah terhadap terpidana kasus penganiayaan remaja Bahar Smith Pencabutan tersebut dilakukan karena Bahar Smith dinilai tidak mengindahkan dan mengikuti bimbingan yang dilakukan Pembimbing Kemasyarakatan PK Balai Pemasyarakatan Bapas Bogor serta melakukan pelanggaran khusus selama menjalani masa asimilasi di rumah Pencabutan SK surat keputusan asimilasi dilakukan berdasarkan hasil penilaian PK Bapas Bogor yang melakukan pembimbingan dan pengawasan terhadap yang bersangkutan ujar Direktur Jenderal Pemasyarakatan Dirjenpas Reynhard Silitonga dalam keterangan tertulis di Jakarta Selasa Reynhard menjelaskan selama menjalani masa asimilasi Bahar Smith dinilai telah melakukan sejumlah tindakan yang dianggap menimbulkan keresahan di masyarakat yakni menghadiri kegiatan dan memberikan ceramah yang provokatif serta menyebarkan rasa permusuhan dan kebencian kepada pemerintah Reynhard mengatakan video ceramah Bahar Smith yang telah menjadi viral itu dianggap dapat menimbulkan keresahan di masyarakat Selain itu Bahar Smith juga dinilai melanggar aturan Pembatasan Sosial Berskala Besar PSBB di tengah kondisi darurat COVID dengan mengumpulkan massa dalam pelaksanaan ceramahnya Atas perbuatan tersebut maka kepada yang bersangkutan dinyatakan telah melanggar syarat khusus asimilasi sebagaimana diatur dalam pasal ayat huruf e Permenkumham nomor tahun dan kepadanya dicabut asimilasinya dan selanjutnya diperintahkan untuk dimasukkan kembali ke dalam lembaga pemasyarakatan untuk menjalani sisa pidananya dan sanksi lainnya sesuai ketentuan ujar Reynhard Adapun pencabutan SK asimiliasi Bahar Smith bernomor W PAS PAS PK Tahun dilakukan oleh Kepala Lapas Cibinong Reynhard mengatakan saat ini Bahar Smith telah berada di Lapas Klas IIA Gunung Sindur Bogor untuk menjalani sisa pidana Sebelumnya Bahar Smith bebas bersyarat dari Lembaga Pemasyarakatan Klas IIA Cibinong Jawa Barat lewat program asimilasi pada Sabtu Kepala Divisi Pemasyarakatan Kementerian Hukum dan HAM Jawa Barat Abdul Aris mengatakan Smith masuk dalam program asimilasi karena pentolan salah satu ormas Islam itu sudah menjalani setengah masa tahanan sejak ia ditetapkan sebagai tersangka Pewarta Fathur RochmanEditor Bambang Sutopo Hadi 
"Harga emas naik, investor cari aset aman di saat ketegangan AS-China", Chicago Harga emas naik pada akhir perdagangan Senin Selasa pagi WIB memperpanjang keuntungan akhir pekan lalu karena ketegangan antara Amerika Serikat dan China atas wabah COVID memicu kekhawatiran akan perang dagang baru dan mendorong investor mencari aset aset safe havens Kontrak emas paling aktif untuk pengiriman Juni di divisi COMEX New York Mercantile Exchange naik dolar AS atau persen menjadi ditutup pada dolar AS per ounce Emas berjangka menguat dolar AS atau persen menjadi menetap di dolar AS pada perdagangan Jumat setelah jatuh dolar AS atau persen menjadi dolar AS sehari sebelumnya Ada pelarian ke tempat yang aman karena ekuitas terlihat lemah sehingga tidak diketahui bagaimana ini akan terjadi kata Bob Haberkorn ahli strategi pasar senior di RJO Futures Mungkin akan ada banyak masalah yang muncul selama beberapa bulan ke depan dengan China dan seluruh dunia karena virus ini Pasar saham global jatuh karena kekhawatiran pertengkaran AS China tentang asal usul wabah virus corona akan memicu perang perdagangan baru Inggris mengatakan pada Senin bahwa China memiliki pertanyaan pertanyaan untuk dijawab atas informasi yang dibagikan tentang wabah tersebut Menteri luar negeri AS Mike Pompeo mengatakan pada Minggu ada bukti penyakit muncul dari laboratorium China tetapi tidak membantah kesimpulan badan intelijen AS bahwa itu bukan buatan manusia Mengingat stabilitas relatif dari kasus global COVID di seluruh dunia dan pembukaan kembali ekonomi secara bertahap emas membutuhkan dorongan baru untuk reli lebih tinggi kata OCBC Bank dalam sebuah catatan Permusuhan perdagangan AS China yang dihidupkan kembali mungkin terbukti menjadi katalisator tetapi jika itu tidak terwujud kami melihatnya tantangan bagi emas untuk reli dari sini Aset aman emas telah meningkat persen tahun ini didorong langkah langkah stimulus besar besaran yang dikeluarkan oleh bank bank sentral global untuk meringankan pukulan ekonomi dari pandemi Dalam bukti terbaru dari korban ekonomi sebuah laporan menunjukkan pesanan baru untuk barang barang buatan AS turun lebih besar dari yang diperkirakan pada Maret dan bisa tenggelam lebih jauh Mengurangi kekhawatiran tentang rantai pasokan emas batangan global yang tegang yang membantu mendorong harga di New York dan London lebih jauh daripada beberapa dasawarsa terakhir dua penyuling emas terbesar dunia Valcambi dan Argor Heraeus mengatakan mereka memulihkan operasi penuh Logam mulia lainnya perak untuk pengiriman Juli turun sen atau persen menjadi ditutup pada dolar per ounce Platinum untuk pengiriman Juli naik dolar AS atau persen menjadi menetap pada dolar AS per ounce 
Dokter di Kolombia terusir dari apartemennya karena stigma COVID-19, Bogota Seorang dokter di Kota Cali Kolombia pekan ini mengatakan ia terusir dari apartemennya yang baru delapan hari mulai ia tinggali karena tetangganya khawatir dia akan menularkan jenis baru virus corona SARS CoV penyebab COVID Insiden itu merupakan salah satu contoh diskriminasi yang dihadapi para tenaga medis di kawasan Amerika Latin Tidak hanya itu beberapa dari tenaga kesehatan juga kerap diserang sejumlah oknum yang khawatir mereka akan tertular virus Christian Botache dokter berusia tahun pindah dari rumah keluarganya ke apartemen saat kasus COVID mulai ditemukan di Kolombia Ia pindah demi melindungi anggota keluarganya yang berusia lanjut dan berisiko terserang penyakit kronis Walaupun demikian para tetangga barunya di apartemen memprotes kedatangan Botache dan meminta pemilik apartemen mengusir dia Pemilik gedung memberi tahu bahwa penghuni lain takut dan mereka akan pindah jika saya tidak pergi kata Botache saat dihubungi via sambungan telepon video Pengelola apartemen meminta dia pergi dokter itu menambahkan Sampai saat ini pemilik gedung dan penghuni apartemen belum dapat dihubungi untuk diminta tanggapan mengenai insiden pengusiran Pemerintah Kolombia melaporkan lebih dari orang telah positif tertular virus dan di antaranya meninggal dunia Sementara itu lebih dari tenaga kesehatan ikut terjangkit COVID dan empat di antaranya meninggal menurut keterangan Institut Kesehatan Nasional Kolombia Kasus diskriminasi terhadap tenaga medis di Kolombia juga dialami seorang ahli anestesi di Bogota Ia dilarang memasuki area bersama di tempat tinggalnya Sejumlah media lokal memberitakan grafiti bernada ancaman ditemukan di salah satu dinding apartemen tenaga medis itu Lewat grafiti itu seseorang yang tidak diketahui jati dirinya mengancam akan membunuh keluarga ahli anestesi itu apabila dia tidak ke luar dari tempat tinggalnya Bagi para tenaga kesehatan yang berjuang melawan penyakit sikap permusuhan itu jadi cukup menyedihkan Saya kehilangan kendali dan mulai menangis kata Botache Lewat telepon keluarga meminta saya tenang saya tidak mendengar apa yang mereka katakan saya tidak bisa bicara karena menangis ujar dia Botache saat ini telah pindah ke apartemen lain Saya sangat kecewa tidak hanya dengan tetangga tetapi saya kecewa melihat bagaimana kemanusiaan menyikapi rasa takut dan khawatir terhadap sesuatu yang tidak diketahui dan ketidakpedulian yang saat ini jadi karakter banyak orang kata Botache Sumber Reuters Polisi tangkap provokator tolak jenazah terpapar COVID Penerjemah Genta Tenri MawangiEditor Tia Mutiasari 
Rusia: Keputusan Trump soal dana WHO egois, Moskow Rusia pada mengecam Presiden Amerika Serikat Donald Trump lantaran menghentikan pendanaan untuk Organisasi Kesehatan Dunia WHO Rusia menyebut keputusan Trump itu egois sekaligus membahayakan sebuah badan dunia yang sedang ingin dijadikan acuan oleh banyak negara dalam menghadapi krisis virus corona Trump yang menghadapi kritikan pedas terkait respons pemerintahannya terhadap epidemi virus corona mengibarkan bendera permusuhan dengan WHO dan pada Selasa menghentikan pendanaan kepada badan tersebut terkait penanganan pendemi COVIID Amerika Serikat secara keseluruhan merupakan donor terbesar bagi WHO Wakil Menteri Luar Negeri Rusia Sergei Ryabkov pada Rabu mengatakan bahwa pengumuman AS sangat mengkhawatirkan Ini contoh sebuah prosedur yang sangat egois oleh otoritas AS dengan apa yang sedang terjadi di dunia terkait pandemi kata Ryabkov seperti dikutip Kantor Berita TASS Hantaman seperti itu terhadap organisasi ini pada saat mata masyarakat dunia dalam banyak hal sedang mengarah padanya merupakan langkah yang patut di kecam dan dikritik katanya Sumber Reuters Presiden Tegur Ratusan Daerah Yang Belum Anggarkan untuk Covid Penerjemah Asri Mayang SariEditor Tia Mutiasari 
Polda Kepri ungkap kasus ujaran kebencian terhadap Presiden, aksud dan tujuan pelaku adalah untuk membuat lelucon dengan menyindir kinerja Presiden Republik Indonesia dan menurut keterangan awal pelaku bahwa ada ketidaksukaan terhadap Presiden Republik IndonesiaBatam Kepolisian Daerah Kepulauan Riau mengungkap kasus dugaan ujaran kebencian terhadap Presiden Joko Widodo oleh seorang warga Kota Tanjungpinang Rabu Kabid Humas Polda Kepri Kombes Pol Harry Goldenhardt menyatakan Tim Teknis Subdit V Dittipidsiber Ditrekskrimsus Polda Kepri mengamankan warga WP atas dugaan melakukan ujaran kebencian dan penghinaan terhadap Presiden Republik Indonesia WP disangka menyebarkan meme atau gambar yang dinilai menghina Presiden melalui media sosial Facebook milik akun Agus Ramhdah alias Abd Karim Berdasarkan LP A IV Spkt Kepri pada Sabtu sekitar pukul WIB ditemukan posting an meme yang dinilai dapat menimbulkan permusuhan individu atau kelompok berdasarkan antargolongan Dari hasil penelusuran jejak digital yang dilakukan oleh tim Siber Ditreskrimsus Polda Kepri meme itu di posting WP laki laki tahun Maksud dan tujuan pelaku adalah untuk membuat lelucon dengan menyindir kinerja Presiden Republik Indonesia dan menurut keterangan awal pelaku bahwa ada ketidaksukaan terhadap Presiden Republik Indonesia kata Kabid Humas Polda Kepri Aparat mengamankan barang bukti satu unit telepon selular kartu selular kartu micro SD KTP dan lembar kertas hasil cetakan isi media sosial Atas perbuatannya pelaku dijerat Pasal a ayat jo pasal ayat UU nomor tahun tentang Informasi dan Transaksi Elektronik sebagaimana yang telah diubah dengan UU nomor tahun tentang perubahan atas UU nomor tahun tentang Informasi dan Transaksi Elektronik dan atau pasal ayat K U H Pidana dengan ancaman hukuman pidana penjara paling lama tahun dan atau denda paling banyak Rp 
