title,content
"Pesawat jatuh di Karachi, tidak ada penumpang WNI", Untuk sementara ini berdasarkan daftar penumpang passenger list tidak terdapat penumpang WNIJakarta Kementerian Luar Negeri menyebut tidak ada warga negara Indonesia WNI di dalam pesawat Pakistani International Airline PIA yang jatuh tak jauh dari bandara di Karachi Pakistan Jumat Untuk sementara ini berdasarkan daftar penumpang passenger list tidak terdapat penumpang WNI kata Direktur Perlindungan WNI dan BHI Kemlu Judha Nugraha melalui pesan singkat Jumat malam Meskipun demikian KJRI Karachi saat ini sedang mencari informasi dari otoritas setempat mengenai kemungkinan adanya penumpang WNI Pesawat yang mengangkut sekitar penumpang dan kru itu jatuh di daerah permukiman menjelang mendarat di Bandara Karachi pada Jumat pukul waktu setempat Sebab kecelakaan belum diketahui tutur Judha Pihak maskapai menyebut pesawat dengan nomor penerbangan PK dengan rute penerbangan Lahore ke Karachi itu mengangkut penumpang serta delapan kru sedangkan otoritas penerbangan sipil menyebut jumlah orang di dalam pesawat itu adalah orang Informasi terakhir yang kami dengar dari pilot adalah bahwa dia mengalami kendala teknis Ini adalah kejadian yang amat tragis ujar juru bicara PIA Abdullah H Khan dalam sebuah video pernyataan resmi Pejabat senior dari otoritas penerbangan sipil mengatakan bahwa tampaknya pesawat tersebut tidak bisa membuka rodanya jelang mendarat karena kesalahan teknis namun masih terlalu dini untuk memverifikasi hal tersebut Tayangan televisi lokal menunjukkan bahwa muncul kerumunan massa di sekitar lokasi kejadian yang memang merupakan kawasan padat penduduk dengan asap hitam yang mengepul dan beberapa mobil terbakar Militer Pakistan menyatakan tim cepat tanggap dan pasukan paramiliter telah diterjunkan dan mencapai lokasi kejadian untuk upaya penyelamatan bersama dengan sejumlah badan sipil demikian dilaporkan Reuters Pewarta Yashinta Difa PramudyaniEditor Azis Kurmala 
"Pesawat PIA jatuh di Karachi, angkut sekitar 100 orang di dalamnya", Informasi terakhir yang kami dengar dari pilot adalah bahwa dia mengalami kendala teknis Ini adalah kejadian yang amat tragis Karachi Sebuah pesawat Pakistan International Airlines PIA yang mengangkut sekitar orang penumpang beserta kru jatuh di sebuah kawasan perumahan di sebelah selatan Kota Karachi pada Jumat demikian menurut keterangan resmi Pihak maskapai menyebut pesawat dengan nomor penerbangan PK itu mengangkut penumpang serta delapan kru sedangkan otoritas penerbangan sipil menyebut jumlah orang di dalam pesawat itu adalah orang Informasi terakhir yang kami dengar dari pilot adalah bahwa dia mengalami kendala teknis Ini adalah kejadian yang amat tragis ujar juru bicara PIA Abdullah H Khan dalam sebuah video pernyataan resmi Pejabat senior dari otoritas penerbangan sipil mengatakan bahwa tampaknya pesawat tersebut tidak bisa membuka rodanya jelang mendarat karena kesalahan teknis namun masih terlalu dini untuk memverifikasi hal tersebut Tayang televisi lokal menunjukkan bahwa muncul kerumunan massa di sekitar lokasi kejadian yang memang merupakan kawasan padat penduduk dengan asap hitam yang mengepul dan beberapa mobil terbakar Militer Pakistan menyatakan tim cepat tanggap dan pasukan paramiliter telah diterjunkan dan mencapai lokasi kejadian untuk upaya penyelamatan bersama dengan sejumlah badan sipil Sumber Reuters 
Tim gabungan evakuasi badan pesawat milik MAF dari Danau Sentani, Jayapura Tim gabungan telah mengevakuasi badan pesawat milik Mission Aviation Fellowship MAF yang jatuh di Danau Sentani Selasa Memang benar bangkai pesawat sudah dievakuasi dari Danau Sentani Rabu kata Kabid Humas Polda Papua Kombes Ahmad Kamal di Jayapura Kamis Ia mengatakan dari laporan yang diterima terungkap badan pesawat PK MEC milik MAF yang jatuh saat terbang dari Sentani menuju Mamit Kabupaten Tolikara dievakuasi dari dalam danau Pengambilan badan pesawat dilakukan dengan cara menyelam yang berlangsung dari pukul hingga pukul WITA Badan pesawat kemudian dibawa ke kantor Yajasi di Sentani kata Kamal Pesawat PK MEC milik MAF yang dikemudikan Joice Lin mengalami kecelakaan dan jatuh ke Danau Sentani sesaat setelah take off dari bandara Sentani Jenazah pilot wanita berkebangsaan Amerika Serikat itu dimakamkan di Sentani Sabtu Pewarta EvarukdijatiEditor Endang Sukarelawati 
"Saham Jerman melonjak dengan indeks DAX 30 melesat 5,67 persen", Frankfurt Saham saham Jerman melonjak pada perdagangan Senin melanjutkan kenaikan akhir pekan lalu dengan indeks acuan DAX di Bursa Efek Frankfurt melesat persen atau poin menjadi berakhir di poin Indeks DAX terkerek persen atau poin menjadi menetap di poin pada perdagangan Jumat setelah menderita kerugian selama empat hari berturut turut Dari saham perusahaan besar pilihan yang tergabung dalam komponen indeks DAX seluruhnya berakhir di wilayah positif Perusahaan produsen mesin pesawat terbang MTU Aero meraih keuntungan paling banyak top gainer di antara saham saham unggulan atau blue chips dengan harga sahamnya melambung persen Disusul oleh saham perusahaan pabrikan otomotif terkemuka Jerman Daimler yang terangkat persen serta perusahaan jasa keuangan dan perbankan Deutsche Bank melonjak persen Penyedia teknologi internet dan jasa keuangan global Wirecard adalah saham yang paling banyak diperdagangkan sepanjang hari dengan nilai transaksi mencapai juta euro juta dolar AS 
"Seluruh saham unggulan Prancis naik, indeks CAC melambung 5,16 persen", Paris Saham saham di bursa Prancis naik tajam pada perdagangan Senin memperpanjang keuntungan akhir pekan lalu dengan indeks acuan CAC di Bursa Efek Paris melambung persen atau poin menjadi ditutup di poin Indeks CAC menguat persen atau poin menjadi ditutup di poin pada perdagangan Jumat menghentikan kemerosotan selama empat hari berturut turut Seluruh saham perusahaan perusahaan besar pilihan yang tergabung dalam komponen indeks CAC berhasil membukukan keuntungan Perusahaan real estat komersial Eropa Unibail Rodamco Westfield SE melesat persen menjadi peraih keuntungan terbesar top gianer di antara saham saham unggulan atau blue chips Diikuti oleh saham kelompok perusahaan produsen pesawat komersial Eropa Airbus yang melambung persen serta kelompok perusahaan jasa keuangan dan perbankan Prancis Societe Generale terangkat persen 
Sektor sumber daya angkat pasar saham Australia berakhir lebih tinggi, Indeks acuan S P ASX naik poin atau persen menjadi poinSydney Saham saham sumber daya mengangkat pasar saham Australia ke penutupan yang lebih tinggi pada Senin karena harga harga komoditas berbalik naik dan kepercayaan investor meningkat Pada penutupan pasar indeks acuan S P ASX naik poin atau persen menjadi poin sedangkan indeks All Ordinaries yang lebih luas bertambah poin atau persen pada poin Saham saham sumber daya melonjak dengan penambang meningkat paling banyak dan saham saham energi juga menyelesaikan hari di depan sektor lainnya Ini mengikuti kenaikan persen pada harga minyak di tengah optimisme bahwa pelonggaran pembatasan lockdown dapat berarti lebih banyak permintaan untuk bahan bakar kata analis Pasar Commsec Steven Daghlian dikutip dari Xinhua Dengan pesawat pesawat yang dikandangkan dalam beberapa bulan terakhir dan mobil mobil terparkir di garasi transportasi jalan menyumbang persen dari permintaan minyak harga harga tetap lemah Keuntungan cukup untuk mengimbangi kerugian dari bank bank yang merosot serta komunikasi dan utilitas yang berakhir sedikit lebih rendah Di sektor keuangan bank bank besar Australia jatuh dengan Commonwealth Bank turun persen Westpac Bank turun persen ANZ turun persen dan National Australia Bank turun persen Saham saham pertambangan melonjak dengan Rio Tinto naik persen BHP naik persen Fortescue Metals naik persen dan penambang emas Newcrest naik persen Produsen produsen minyak dan gas melambung dengan Oil Search naik persen Santos naik persen dan Woodside Petroleum naik persen Supermarket terbesar Australia melemah dengan Coles turun persen dan Woolworths turun persen Sementara raksasa telekomunikasi Telstra turun persen maskapai nasional Qantas bertambah persen dan perusahaan biomedis CSL menguat persen 
Gema Indonesia saat Ramadhan di Jalur Gaza, Jakarta Indonesia tetap akan selalu di belakang Palestina dalam memperjuangkan kemerdekaannya tidak ada kata mundur demikian pernyataan Presiden Joko Widodo Kepala Negara menegaskan pernyataan itu pada Minggu Oktober setelah melepas Jalan Sehat Santri Sahabat Rakyat di Pendopo Kabupaten Sidoarjo Jawa Timur ketika menanggapi serangan militer zionis Israel atas Rumah Sakit Indonesia RSI di Jalur Gaza Palestina Akibat serangan pada Sabtu itu beberapa bagian RSI yang pembangunannya digagas organisasi kegawatdaruratan kesehatan Medical Emergency Rescue Committee MER C Indonesia di Jalur Gaza itu mengalami kerusakan juga daerah sekitarnya Seorang sukarelawan MER C Indonesia yang berada di Jalur Gaza Reza Aldilla Kurniawan memberikan kesaksian pada sejak Jumat malam hingga Sabtu itu militer zionis Israel masih menggempur sejumlah wilayah di Jalur Gaza Pesawat tempur Israel mengirim tidak kurang dari lima roket yang jatuh tidak jauh dari lokasi RS Indonesia yang berada di Bayt Lahiya Gaza Utara Hantaman roket tersebut menyebabkan guncangan keras di area sekitarnya dan menimbulkan kerusakan di beberapa bagian Rumah Sakit Indonesia termasuk kantor administrasi toilet koridor dan ruang perawatan intensif Hingga Ramadhan Hijriah ini ada sebanyak sukarelawan MER C Indonesia yang masih bertahan di Jalur Gaza untuk program pembangunan tahap II RSI di kawasan yang dilanda konflik itu Mereka yang sebagian besar dari divisi konstruksi diberangkatkan secara bertahap mulai Jumat malam pada Febuari Ketua Presidium MER C dr Sarbini Abdul Murad menjelaskan bahwa puluhan sukarelawan itu sudah menunggu setahun untuk bisa masuk Jalur Gaza hingga akhirnya setelah bertemu Menlu Retno Marsudi dan jajarannya maka hasilnya tim bisa berangkat Indonesia sebut Presiden mengecam keras serangan Israel itu karena tidak hanya merusak rumah sakit namun juga wilayah sekitarnya sehingga warga setempat juga terdampak Presiden pun menegaskan bahwa Indonesia tetap dan akan selalu di belakang bangsa Palestina dalam memperjuangkan kemerdekaannya Sukarelawan MER C Indonesia Cabang Jalur Gaza Palestina memberikan bantuan sembako donasi masyarakat Indonesia kepada warga Gaza yang masih hidup dalam blokade dalam Program Bantuan Ramadhan yang bersamaan dengan suasana pandemi COVID di Gaza Sabtu FOTO HO MER C Indonesia Sikap tegas Hubungan Indonesia Palestina jika dirunut pada sejarah selalu dalam posisi yang harmonis dan menguatkan Dalam periode masa pemerintahan di Indonesia sejak era Presiden Soekarno hingga saat ini sikap tegas selalu ditunjukkan dalam perjuangan untuk mencapai kemerdekaan bangsa Palestina Jika merujuk pada buku Diplomasi Revolusi Indonesia di Luar Negeri yang ditulis oleh M Zein Hassan Lc Ketua Panitia Pusat Perkumpulan Kemerdekaan Indonesia dan ada pula dalam buku Ziarah Sejarah Mereka yang Dilupakan karya Hamid Nabhan hubungan panjang Indonesia Palestina tergambar jelas Di dalam halaman buku Diplomasi Revolusi Indonesia di Luar Negeri M Zein Hassan menyebutkan pengakuan Mufti Besar Palestina Syekh Muhammad Amin Al Husaini yang diumumkan melalui Radio Berlin Jerman berbahasa Arab yang menyatakan dukungan pertama atas kemerdekaan bangsa Indonesia Dalam buku tersebut dinyatakan Palestina mengakui kemerdekaan Indonesia di saat negara negara lain belum memutuskan sikap Secara de facto Indonesia memproklamasikan kemerdekaan pada Agustus sehingga untuk menjadi negara yang berdiri utuh de jure butuh pengakuan dari negara lain Pengakuan Palestina itu sebenarnya dilontarkan saat Indonesia masih dijajah tentara Jepang di mana pada September Mufti Besar Palestina Syekh Muhammad Amin Al Husaini mengakui dan mendukung kemerdekaan Indonesia sebelum negara Arab yang lain Pada berita yang disiarkan melalui radio tersebut kemudian disebarluaskan selama dua hari berturut turut termasuk buletin harian Al Ahram yang terkenal juga menyiarkan berita itu Syekh Muhammad Amin Al Husaini sendiri kala itu sedang bersembunyi di Jerman pada permulaan Perang Dunia II dalam upaya berjuang melawan imperialis Inggris dan zionis Israel yang ingin menguasai Kota Al Quds Palestina namun mengumumkan dukungannya atas kemerdekaan Indonesia di tengah situasi sulit itu Belakangan pengakuan Palestina atas kemerdekaan Indonesia itu kemudian diikuti sejumlah negara di kawasan Afrika dan Timur Tengah lainnya dimulai dari Mesir Dalam sejarah juga tercatat negara pertama yang menyatakan dukungan terhadap kemerdekaan Republik Indonesia adalah negara negara Islam di kawasan Afrika dan Timur Tengah Setelah Palestina negara lainnya yang memberikan pengakuan adalah Palestina Mesir Libanon Suriah Irak Arab Saudi Yaman Afganistan Iran dan Turki Yang menarik di luar negara Afrika dan Timur Tengah ternyata Vatikan menjadi negara kelima yang pertama tama mengakui kemerdekaan Indonesia Sukarelawan MER C Indonesia Cabang Jalur Gaza Palestina memberikan bantuan sembako donasi masyarakat Indonesia kepada warga Gaza yang masih hidup dalam blokade dalam Program Bantuan Ramadhan yang bersamaan dengan suasana pandemi COVID di Gaza Sabtu FOTO HO MER C Indonesia Masih tertanam kuat Saling peduli dan membantu antara Indonesia Palestina masih terus tertanam kuat bahkan dalam masa sulit saat ini di saat pelaksanaan puasa Ramadhan Hijriah yang berbarengan dengan pandemi global COVID Meski antara bangsa Palestina dan Indonesia juga mengalami kondisi pandemi namun kebersamaan masih terus terjaga dan itu juga terjadi pada tingkatan people to people antaramasyarakat Hal itu ditunjukkan dengan Program Bantuan Ramadhan yang dilakukan sukarelawan MER C Indonesia yang ada di Gaza saat ini Menurut Ketua Presidium MER C Indonesia Sarbini Abdul Murad seperti tahun tahun sebelumnya pada Ramadhan Hijriah ini melalui cabangnya di Jalur Gaza pihahknya kembali mengadakan program bantuan Ramadhan Bantuan yang akan disalurkan berupa sembako sebanyak paket dan bantuan makanan berbuka puasa sebanyak paket yang disalurkan bertahap pada pekan terakhir Ramadhan Program rutin setiap tahun itu dilakukan melalui Cabang MER C di Jalur Gaza untuk membantu saudara saudara warga Gaza yang masih hidup dalam blokade selama bertahun tahun di mana kali ini ditambah adanya pandemi COVID Bantuan yang diberikan berupa paket sembako dan paket ifthar yang berasal dari donasi masyarakat Indonesia untuk program Kemanusiaan Gaza Meski Indonesia juga sedang mengalami berbagai masalah dan kesulitan ditambah adanya wabah corona namun MER C mengupayakan tetap berbagi di tengah keterbatasan yang ada sebagai bentuk dukungan dan perhatian kepada rakyat di Gaza yang masih hidup dalam berbagai keterbatasan akibat blokade dan penjajahan zionis Israel Bantuan disiapkan dan disitribusikan oleh sukarelawan Indonesia yang sedang bertugas di sana kepada warga Gaza yang membutuhkan Ada sebanyak sukarelawan yang saat ini masih bertugas di Jalur Gaza yang sedang menjalankan pembangunan tahap II RS Indonesia Cabang MER C di Jalur Gaza sendiri telah resmi berdiri dan diakui oleh pemerintah setempat sejak tahun silam tepatnya sejak Agustus Anggotanya terdiri atas surelawan Indonesia yang tengah bertugas di Jalur Gaza Palestina untuk pembangunan tahap II RSI dibantu beberapa sukarelawan lokal Cabang MER C di Gaza masih aktif dan menjembatani komunikasi antara MER C Pusat di Jakarta dengan pemerintah dan warga Palestina di Gaza dan menjalankan baik program pembangunan RSI maupun program kemanusiaan lainnya yang disesuaikan dengan kebutuhan warga setempat seperti bantuan Ramadhan bantuan musim dingin dan lainnya MER C Indonesia mengharapkan sedikit bantuan tersebut dapat turut menguatkan dan meringankan beban rakyat Gaza yang masih terus ditimpa masalah berat Spirit saling menguatkan dukungan dan rasa kebersamaan yang menggema antara Palestina dan Indonesia meski dalam suasana berat menghadapi COVID menjadi saksi betapa indahnya Ramadhan yang penuh dengan keberkahan 
"Sepekan, bantuan peserta JKN-KIS hingga panduan shalat Idul Fitri", Jakarta Sejumlah berita bidang humaniora menjadi perhatian banyak pembaca selama sepekan mulai dari bantuan iuran peserta Jaminan Kesehatan Nasional Kartu Indonesia Sehat JKN KIS melalui Peraturan Presiden Nomor Tahun tentang Perubahan Kedua atas Peraturan Presiden Nomor Tahun tentang Jaminan Kesehatan hingga panduan shalat Idul Fitri saat pandemi COVID yang dikeluarkan Majelis Ulama Indonesia MUI Pemerintah beri bantuan iuran peserta JKN KIS lewat Perpres Pemerintah memberikan bantuan subsidi iuran kepada peserta Jaminan Kesehatan Nasional Kartu Indonesia Sehat JKN KIS kelas III kategori pekerja bukan penerima upah dan bukan pekerja melalui Peraturan Presiden Nomor Tahun tentang Perubahan Kedua atas Peraturan Presiden Nomor Tahun tentang Jaminan Kesehatan Kepala Hubungan Masyarakat Badan Penyelenggara Jaminan Sosial BPJS Kesehatan M Iqbal Anas Ma ruf dalam keterangan tertulisnya yang diterima di Jakarta Rabu menjelaskan bahwa Peraturan Presiden Nomor Tahun sudah menjalankan putusan Mahkamah Agung terkait uji materi Peraturan Presiden Nomor Tahun sekaligus mengakomodasi aspirasi masyarakat sebagaimana disampaikan DPR Pesawat milik MAF diduga jatuh di sekitar Danau Sentani Pesawat terbang milik Mission Aviation Fellowship MAF Selasa pagi diduga jatuh di sekitar Danau Sentani yang terbentang di antara Kota Jayapura dan Kabupaten Jayapura Provinsi Papua Komandan Pangkalan Udara Danlanud Silas Papare Marsekal Pertama TNI Tri Bowo saat dihubungi di Jayapura Selasa membenarkan insiden tersebut Banjir bandang dan longsor terjang Aceh Tengah Hujan dengan intensitas tinggi mengakibatkan longsor dan banjir bandang di Gampong Paya Tumpi Kecamatan Kebayakan Kabupaten Aceh Tengah Musibah tersebut terjadi pada Rabu sekitar pukul WIB Banjir bandang dan longsor mengakibatkan sejumlah rumah dan mobil ikut terbawa arus MUI keluarkan fatwa panduan shalat Idul Fitri Majelis Ulama Indonesia MUI telah mengeluarkan fatwa tentang panduan takbir dan shalat Idul Fitri saat pandemi COVID Fatwa ini dibahas mulai Rabu atas pertanyaan dari masyarakat kata Sekretaris Komisi Fatwa MUI Asrorun Niam Sholeh kepada wartawan di Jakarta Rabu Jenazah pilot pesawat milik MAF ditemukan di Danau Sentani Perwakilan Komite Nasional Keselamatan Transportasi KNKT Papua Norbert Tunyanan menyatakan jenazah Joice Lin pilot pesawat MAF yang jatuh di Danau Sentani Selasa pagi sudah ditemukan Saya sudah terima laporan yang menyatakan tim SAR sudah menemukan jenazah pilot pesawat MAF dengan kode penerbangan PK MEC setelah menyelam di Danau Sentani kata Tunyanan dihubungi di Jayapura Selasa pagi 
KSP: Siapkan pemulihan sektor pariwisata pascapandemi COVID-19, Presiden memperkirakan tahun depan terjadi booming di sektor pariwisata sehingga industri pariwisata dan ekonomi kreatif harus siap Jakarta Kepala Staf Kepresidenan Moeldoko meminta sektor pariwisata senantiasa bersiap untuk melakukan pemulihan pascapandemi COVID Presiden memperkirakan tahun depan terjadi booming di sektor pariwisata sehingga industri pariwisata dan ekonomi kreatif harus siap ujar Kepala Staf Kepresidenan Moeldoko pada acara webinar dengan tema Reopening Ekonomi Indonesia Berdamai dengan COVID Menyongsong Protokol New Normal di daerah Pariwisata se Indonesia di Jakarta Kamis Moeldoko mengatakan sejauh ini pemerintah telah menyiapkan berbagai langkah penting agar sektor pariwisata bisa bangkit kembali Moeldoko menjelaskan ada tiga langkah penting yang dilakukan pemerintah sebagai upaya pemulihan sektor pariwisata Pertama program perlindungan sosial bagi para pekerja di sektor pariwisata dan ekonomi kreatif yang tepat sasaran Kedua realokasi anggaran Kementerian Pariwisata dan Ekonomi Kreatif yang diarahkan pada program padat karya bagi pekerja di sektor pariwisata dan ekonomi kreatif Ketiga menyiapkan stimulus ekonomi bagi para pelaku usaha di sektor pariwisata dan ekonomi kreatif Setelah penerapan Pembatasan Sosial Berskala Besar berakhir lanjut Moeldoko ada berbagai aktivitas yang dilakukan masyarakat Di antaranya adalah berkumpul dengan teman pergi ke tempat wisata rekreasi tempat makan pusat perbelanjaan bepergian ke luar kota dan lain lain Kita lihat ini sebagai peluang harus dicermati sehingga sektor pariwisata bangkit dan tumbuh kembali ujar Moeldoko Selain itu hasil survei Mckinsey menyebutkan persen masyarakat Indonesia sangat peduli terhadap kesehatan publik Dengan demikian aspek keselamatan dan kesehatan menjadi faktor penting dalam melakukan perjalanan wisata Di sisi lain penerapan kebijakan social physical distancing mempengaruhi kebiasaan berwisata masyarakat Wisatawan akan tetap berhati hati dan lebih suka menghindari tempat wisata yang ramai Menurut Moeldoko tempat wisata luar ruangan outdoor dan yang berhubungan dengan alam akan menjadi tujuan paling populer untuk perjalanan di masa mendatang Paket wisata grup akan berkurang popularitasnya dan akan berganti dengan perjalanan mandiri Wisatawan yang berusia muda akan melakukan perjalanan wisata terlebih dahulu Wisatawan akan lebih memilih untuk melakukan perjalanan dengan jarak yang relatif dekat atau menempuh waktu lebih singkat Demografi wisatawan yang berubah dan situasi ekonomi secara keseluruhan akan menentukan pola pengeluaran wisatawan ujarnya Para pelaku di sektor pariwisata dan ekonomi kreatif menurutnya juga harus mengubah pendekatan dan strategi optimalisasi sumber daya sesuai dengan potensi pasar baik domestik dan regional penerapan protokol keamanan dan kebersihan pelayanan yang bisa memberi kepercayaan higienitas proses dan fitur produk yang perlu dimodifikasi komunikasi dan saluran penjualan juga harus menyesuaikan dengan pelanggan yang berubah Milenial dan Gen Z akan menggantikan generasi baby boomer Kita harus siap menghadapi itu tegas Moeldoko Pada kesempatan yang sama Wakil Gubernur Bali Tjokorda Oka Artha Ardana mengatakan bahwa Bali merupakan destinasi utama para wisatawan lokal dan mancanegara Sejak dua tahun lalu Bali Utara sudah menyiapkan bandara baru di Singaraja Bali sudah siap juta wisatawan setiap tahun ini angka persen dari kapasitas yang ada papar Tjokorda Namun pandemi COVID telah mengakibatkan Bali sebagai lokomotif utama pariwisata jatuh kolaps pertumbuhan ekonomi sampai minus Sebanyak persen pendapatan asli daerah Bali berasal dari pariwisata sehingga banyak pelaku wisata yang dirumahkan Mengutip data Wagub Bali warga yang terinfeksi COVID mencapai orang dan yang sembuh orang atau persen lebih Menurut Tjokorda dari data itu kondisi di Bali sangat baik artinya sudah masuk fase landai Menurutnya memasuki new normal ini harus diperhatikan kesehatan destinasi kesiapan protokol kesehatan pariwisata Bali pasca COVID Kamis ini sebut Bali Era Baru Selain kesehatan keamanan dan pelayanan wisata Strategi yang dikembangkan adalah membuka secara bertahap per kluster paparnya Webinar yang diselenggarakan oleh MASATA Masyarakat Sadar Wisata tersebut dihadiri pula oleh perwakilan Kementerian Pariwisata dan Ekonomi Kreatif Wakil Gubernur Bengkulu Dedy Ermansyah Bupati Toraja Utara Kalatiku Paembanan Walikota Tegal M Jumadi Wakil Bupati Belitung Isyak Meirobie Tenaga Ahli Utama Deputi I KSP Helson Siagian dan Tito Loho dari Masyarakat Sadar Wisata Pewarta Rangga Pandu Asmara JinggaEditor Nusarina Yuliastuti 
"Humaniora kemarin, pesawat MAF jatuh hingga Kediri dilanda banjir", Jakarta Sejumlah berita Humaniora kemarin menjadi terbanyak disimak pembaca News mulai dari soal pesawat MAF yang jatuh di Danau Sentani Papua hingga perumahan Asabri di Kediri yang digenangi banjir Berikut ini berita top Humaniora kemarin Pesawat milik MAF diduga jatuh di sekitar Danau Sentani Pesawat terbang milik Mission Aviation Fellowship MAF Selasa pagi diduga jatuh di sekitar Danau Sentani yang terbentang di antara Kota Jayapura dan Kabupaten Jayapura Provinsi Papua Selengkapnya di sini hari wafatnya Gus Sholah diperingati daring Pesantren Tebuireng Pondok Pesantren Tebuireng Kabupaten Jombang Jawa Timur menggelar hari wafatnya pengasuh Pondok Pesantren Tebuireng KH Sholahudin Gus Sholah Wahid dengan sederhana yang dilakukan secara dalam jaringan daring di tengah pandemi COVID Simak di sini orang karantina mandiri cegah penyebaran COVID Pasar Simo Sebanyak orang melalukan karantina mandiri untuk mencegah penyebaran virus Corona COVID dari klaster atau penularan yang berasal dari Pasar Simo Surabaya Lebih lanjut di sini Presiden hati hati melonggarkan PSBB Presiden Joko Widodo mengingatkan pemerintah daerah agar berhati hati dalam melonggarkan pembatasan sosial berskala besar PSBB untuk mengendalikan penularan COVID Lebih lengkap di sini Puluhan rumah di perumahan Asabri Kabupaten Kediri terendam banjir Puluhan rumah di Perumahan Asabri Desa Ngablak Kabupaten Kediri Jawa Timur terendam banjir setelah hujan sangat deras melanda Kediri selama beberapa jam Selanjutnya di sini Pewarta Anom PrihantoroEditor Triono Subagyo 
