title,content
Tim gabungan evakuasi badan pesawat milik MAF dari Danau Sentani, Jayapura Tim gabungan telah mengevakuasi badan pesawat milik Mission Aviation Fellowship MAF yang jatuh di Danau Sentani Selasa Memang benar bangkai pesawat sudah dievakuasi dari Danau Sentani Rabu kata Kabid Humas Polda Papua Kombes Ahmad Kamal di Jayapura Kamis Ia mengatakan dari laporan yang diterima terungkap badan pesawat PK MEC milik MAF yang jatuh saat terbang dari Sentani menuju Mamit Kabupaten Tolikara dievakuasi dari dalam danau Pengambilan badan pesawat dilakukan dengan cara menyelam yang berlangsung dari pukul hingga pukul WITA Badan pesawat kemudian dibawa ke kantor Yajasi di Sentani kata Kamal Pesawat PK MEC milik MAF yang dikemudikan Joice Lin mengalami kecelakaan dan jatuh ke Danau Sentani sesaat setelah take off dari bandara Sentani Jenazah pilot wanita berkebangsaan Amerika Serikat itu dimakamkan di Sentani Sabtu Pewarta EvarukdijatiEditor Endang Sukarelawati 
"Saham Jerman melonjak dengan indeks DAX 30 melesat 5,67 persen", Frankfurt Saham saham Jerman melonjak pada perdagangan Senin melanjutkan kenaikan akhir pekan lalu dengan indeks acuan DAX di Bursa Efek Frankfurt melesat persen atau poin menjadi berakhir di poin Indeks DAX terkerek persen atau poin menjadi menetap di poin pada perdagangan Jumat setelah menderita kerugian selama empat hari berturut turut Dari saham perusahaan besar pilihan yang tergabung dalam komponen indeks DAX seluruhnya berakhir di wilayah positif Perusahaan produsen mesin pesawat terbang MTU Aero meraih keuntungan paling banyak top gainer di antara saham saham unggulan atau blue chips dengan harga sahamnya melambung persen Disusul oleh saham perusahaan pabrikan otomotif terkemuka Jerman Daimler yang terangkat persen serta perusahaan jasa keuangan dan perbankan Deutsche Bank melonjak persen Penyedia teknologi internet dan jasa keuangan global Wirecard adalah saham yang paling banyak diperdagangkan sepanjang hari dengan nilai transaksi mencapai juta euro juta dolar AS 
"Sepekan, bantuan peserta JKN-KIS hingga panduan shalat Idul Fitri", Jakarta Sejumlah berita bidang humaniora menjadi perhatian banyak pembaca selama sepekan mulai dari bantuan iuran peserta Jaminan Kesehatan Nasional Kartu Indonesia Sehat JKN KIS melalui Peraturan Presiden Nomor Tahun tentang Perubahan Kedua atas Peraturan Presiden Nomor Tahun tentang Jaminan Kesehatan hingga panduan shalat Idul Fitri saat pandemi COVID yang dikeluarkan Majelis Ulama Indonesia MUI Pemerintah beri bantuan iuran peserta JKN KIS lewat Perpres Pemerintah memberikan bantuan subsidi iuran kepada peserta Jaminan Kesehatan Nasional Kartu Indonesia Sehat JKN KIS kelas III kategori pekerja bukan penerima upah dan bukan pekerja melalui Peraturan Presiden Nomor Tahun tentang Perubahan Kedua atas Peraturan Presiden Nomor Tahun tentang Jaminan Kesehatan Kepala Hubungan Masyarakat Badan Penyelenggara Jaminan Sosial BPJS Kesehatan M Iqbal Anas Ma ruf dalam keterangan tertulisnya yang diterima di Jakarta Rabu menjelaskan bahwa Peraturan Presiden Nomor Tahun sudah menjalankan putusan Mahkamah Agung terkait uji materi Peraturan Presiden Nomor Tahun sekaligus mengakomodasi aspirasi masyarakat sebagaimana disampaikan DPR Pesawat milik MAF diduga jatuh di sekitar Danau Sentani Pesawat terbang milik Mission Aviation Fellowship MAF Selasa pagi diduga jatuh di sekitar Danau Sentani yang terbentang di antara Kota Jayapura dan Kabupaten Jayapura Provinsi Papua Komandan Pangkalan Udara Danlanud Silas Papare Marsekal Pertama TNI Tri Bowo saat dihubungi di Jayapura Selasa membenarkan insiden tersebut Banjir bandang dan longsor terjang Aceh Tengah Hujan dengan intensitas tinggi mengakibatkan longsor dan banjir bandang di Gampong Paya Tumpi Kecamatan Kebayakan Kabupaten Aceh Tengah Musibah tersebut terjadi pada Rabu sekitar pukul WIB Banjir bandang dan longsor mengakibatkan sejumlah rumah dan mobil ikut terbawa arus MUI keluarkan fatwa panduan shalat Idul Fitri Majelis Ulama Indonesia MUI telah mengeluarkan fatwa tentang panduan takbir dan shalat Idul Fitri saat pandemi COVID Fatwa ini dibahas mulai Rabu atas pertanyaan dari masyarakat kata Sekretaris Komisi Fatwa MUI Asrorun Niam Sholeh kepada wartawan di Jakarta Rabu Jenazah pilot pesawat milik MAF ditemukan di Danau Sentani Perwakilan Komite Nasional Keselamatan Transportasi KNKT Papua Norbert Tunyanan menyatakan jenazah Joice Lin pilot pesawat MAF yang jatuh di Danau Sentani Selasa pagi sudah ditemukan Saya sudah terima laporan yang menyatakan tim SAR sudah menemukan jenazah pilot pesawat MAF dengan kode penerbangan PK MEC setelah menyelam di Danau Sentani kata Tunyanan dihubungi di Jayapura Selasa pagi 
"Humaniora kemarin, pesawat MAF jatuh hingga Kediri dilanda banjir", Jakarta Sejumlah berita Humaniora kemarin menjadi terbanyak disimak pembaca News mulai dari soal pesawat MAF yang jatuh di Danau Sentani Papua hingga perumahan Asabri di Kediri yang digenangi banjir Berikut ini berita top Humaniora kemarin Pesawat milik MAF diduga jatuh di sekitar Danau Sentani Pesawat terbang milik Mission Aviation Fellowship MAF Selasa pagi diduga jatuh di sekitar Danau Sentani yang terbentang di antara Kota Jayapura dan Kabupaten Jayapura Provinsi Papua Selengkapnya di sini hari wafatnya Gus Sholah diperingati daring Pesantren Tebuireng Pondok Pesantren Tebuireng Kabupaten Jombang Jawa Timur menggelar hari wafatnya pengasuh Pondok Pesantren Tebuireng KH Sholahudin Gus Sholah Wahid dengan sederhana yang dilakukan secara dalam jaringan daring di tengah pandemi COVID Simak di sini orang karantina mandiri cegah penyebaran COVID Pasar Simo Sebanyak orang melalukan karantina mandiri untuk mencegah penyebaran virus Corona COVID dari klaster atau penularan yang berasal dari Pasar Simo Surabaya Lebih lanjut di sini Presiden hati hati melonggarkan PSBB Presiden Joko Widodo mengingatkan pemerintah daerah agar berhati hati dalam melonggarkan pembatasan sosial berskala besar PSBB untuk mengendalikan penularan COVID Lebih lengkap di sini Puluhan rumah di perumahan Asabri Kabupaten Kediri terendam banjir Puluhan rumah di Perumahan Asabri Desa Ngablak Kabupaten Kediri Jawa Timur terendam banjir setelah hujan sangat deras melanda Kediri selama beberapa jam Selanjutnya di sini Pewarta Anom PrihantoroEditor Triono Subagyo 
Polisi: Kecelakaan pesawat tidak berdampak penerbangan di Sentani, Jayapura Pejabat Polda Papua menyebutkan kecelakaan pesawat milik maskapai MAF jenis Kodial PK MEC yang jatuh di Danau Sentani Kabupaten Jayapura Papua pada Selasa pagi sekitar pukul WIT tidak berdampak pada arus penerbangan di Bandar Udara Sentani Adapun dalam kecelakaan penerbangan ini tidak berdampak terhadap arus penerbangan di Bandara Sentani Kabupaten Jayapura Karena penerbangan ini merupakan penerbangan dukungan logistik dan tidak berpenumpang kata Kabid Humas Polda Papua Kombes Pol AM Kamal di Kota Jayapura Selasa malam Ia menjelaskan bahwa pesawat milik Mission Aviation Fellowship MAF jatuh di Danau Sentani tak jauh dari Kampung Yoboi Kabupaten Jayapura dengan pilot Joyce Chaisin Lin perempuan warga negara Amerika Serikat Pesawat itu terbang memiliki rute terbang dari Bandara Sentani Kabupaten Jayapura menuju Distrik Mamit Kabupaten Tolikara katanya Namun setelah lepas landas sekitar pukul WIT dari Bandara Sentani tujuan Distrik Mamit Kabupaten Tolikara dua menit kemudian atau sekitar pukul WIT pilot memanggil tower Mayday dan meminta RBT atau mendarat darurat Selanjutnya petugas Tower memanggil namun tidak ada jawaban dari pilot atau diduga pesawat hilang kontak katanya Pesawat itu direncanakan terbang ke Distrik Mamit Kabupaten Tolikara membawa bahan sembako dan tidak berpenumpang Saat pesawat berada di atas Danau Sentani pesawat secara tiba tiba langsung jatuh ke Danau Sentani Sementara untuk penyebab jatuhnya pesawat masih dilakukan penyelidikan oleh tim gabungan katanya Kini jenazah pilot dengan nomor paspor alamat Kompleks MAF jalan AMA Sentani RT RW Kel Sentani Kota Distrik Sentani Kabupaten Jayapura berada di RS Bhayangkara Kota Jayapura Tim SAR gabungan telah mengevakuasi korban ke RS Bhayangkara untuk dilakukan tindakan medis Sementara itu untuk badan pesawat telah berhasil dievakuasi dari dasar danau kata Kamal Sementara itu Kapenrem PWY Mayor Chk Eka Yudah ketika dihubungi mengaku proses evakuasi jenazah pilot dan bangkai pesawat melibatkan personel TNI dari Koramil Sentani dan Polres Sentani membantu Basarnas Pesawat tersebut rencananya akan menuju Mamit Kabupaten Tolikara untuk membawa sembako dan obat obatan serta tidak membawa penumpang katanya Setelah mendapat informasi tentang insiden tersebut personel dari Koramil Sentani digerakkan bersama masyarakat di sekitar Danau Sentani membantu mencari korban ditempat yang diperkirakan lokasi jatuhnya pesawat Pada pukul WIT pilot dapat dievakuasi oleh tim SAR dalam keadaan meninggal dunia dan dilarikan ke RS Bhayangkara di Kota Jayapura Berdasarkan keterangan warga sekitar sempat mendengar bunyi keras ketika pesawat jatuh ke danau tentunya hal ini akan diselidiki oleh pihak berwenang dan kami siap membantu katanya 
PMI bantu evakuasi pesawat jatuh di Danau Sentani Papua, Jayapura Papua Palang Merah Indonesia PMI Kabupaten Jayapura Papua mengerahkan personelnya untuk membantu evakuasi pesawat milik Mission Aviation Fellowship MAF jenis cessna dengan nomor register K Pk Me yang Jatuh di Danau Sentani Kampung Yoboi PMI sudah menerjunkan sejumlah sukarelawan untuk membantu evakuasi dan pelayanan pertolongan pertama dalam merespon insiden tersebut kata Ketua Harian PMI Provinsi Papua Zakius Degei melalui sambungan telepon Selasa Menurut dia untuk membantu evakuasi itu PMI saat ini menerjunkan delapan personel terlatih dan satu armada ambulans Berdasarkan informasi yang dihimpun insiden jatuhnya pesawat tersebut terjadi pada hari Selasa sekitar pukul WIT Pesawat tersebut membawa kebutuhan pokok masyarakat berupa sembako dan tidak berpenumpang Burung besi dengan nomor register PK MEC direncanakan terbang dari Bandara Sentani Kabupaten Jayapura menuju Distrik Mamit Kabupaten Tolikara dengan membawa kebutuhan pokok Operasi SAR yang dilakukan petugas gabungan tidak banyak kendala karena kondisi cuaca mendukung dan air danau pun relatih tenag Hingga saat ini untuk dugaan penyebab jatuhnya pesawat masih dalam penyelidikan instansi terkait 
"AP I: Operasi Bandara Sentani tak terganggu, meski ada pesawat jatuh", Secara keseluruhan kejadian ini tidak menggangu operasional penerbangan di Bandara SentaniJakarta PT Angkasa Pura I menyatakan adanya Pesawat Cessna K yang jatuh di Danau Sentani tidak mengganggu operasional penerbangan di Bandara Sentani Jayapura Angkasa Pura I prihatin atas terjadinya kecelakaan ini Secara keseluruhan kejadian ini tidak menggangu operasional penerbangan di Bandara Sentani kata General Manager Bandara Sentani Antonius Widyo Praptono dalam keterangannya di Jakarta Selasa Pesawat milik Mission Aviation Fellowship MAF dengan kode registrasi PK MEC jatuh di wilayah Danau Sentani pada pukul WIT dua menit setelah lepas landas dari Bandara Sentani Jayapura Kronologinya yakni pada pukul WIT pilot melakukan kontak ke Petugas ATC dan memberikan kode Mayday serta meminta Return to Base RTB Menangkap sinyal darurat dan melihat secara langsung pesawat jatuh di kawasan danau petugas Pertolongan Kecelakaan Penerbangan dan Pemadam Kebakaran PKPPK Angkasa Pura I dengan sigap langsung berkoordinasi dengan Tim SAR yang segera menuju lokasi jatuhnya pesawat Pada pukul WIT bersama tim gabungan dari Polair dan Basarnas berhasil menemukan titik lokasi jatuhnya pesawat dan berhasil mengevakuasi korban yang merupakan pilot dalam keadaan meninggal dunia berserta puing puing pesawat Pesawat jenis Cessna yang diterbangi oleh korban rencananya akan terbang menuju Distrik Mamit Kabupaten Tolikara untuk mengangkut bahan bahan kebutuhan pokok 
Pesawat PK-MEC milik MAF jatuh di kawasan Danau Sentani, Saat ini pencaharian masih dilakukan tim SAR di kawasan Danau Sentani dan sekitarnyaJayapura Pesawat dengan kode penerbangan PK MEC milik Mission Aviation Fellowship MAF dilaporkan jatuh pada Selasa sekitar pukul WIT di kawasan Danau Sentani dalam penerbangan Sentani Mamit Kabupaten Tolikara Komandan Pangkalan Udara Silas Papare Marsekal Pertama TNI Tri Bowo di Jayapura mengakui dari laporan yang diterima pesawat naas itu mengalami kecelakaan setelah sekitar dua menit terbang Sudah ada laporan dari salah satu pesawat yang melihat pesawat naas jenis Codiac itu jatuh di dua notical mille selatan radar Bandara Sentani Saat ini anggota Lanud Silas Papare sudah berada di sekitar lokasi namun dari laporan yang diterima tidak terlihat puing pesawat Ketika ditanya apakah pesawat sudah tenggelam ke dasar Danau Sentani Danlanud Silas Papare mengaku belum dapat memastikan Sementara itu Perwakilan KNKT Papua Norbert Tunyanan secara terpisah mengaku pesawat naas itu dikemudikan Joice Lin berkebangsaan Amerika Serikat Saat ini pencaharian masih dilakukan tim SAR di kawasan Danau Sentani dan sekitarnya tambah Tunyanan 
Pesawat milik MAF diduga jatuh di sekitar Danau Sentani, Memang benar ada insiden yang dialami pesawat milik MAF saat terbang menuju Distrik Mamit Kabupaten Tolikara PapuaJayapura Pesawat terbang milik Miision Aviation Fellowship MAF Selasa pagi diduga jatuh di sekitar Danau Sentani yang terbentang di antara Kota Jayapura dan Kabupaten Jayapura Provinsi Papua Komandan Pangkalan Udara Danlanud Silas Papare Marsekal Pertama TNI Tri Bowo dihubungi di Jayapura Selasa membenarkan insiden tersebut Memang benar ada insiden yang dialami pesawat milik MAF saat terbang menuju Distrik Mamit Kabupaten Tolikara Papua katanya 
"Indeks DAX 30 melonjak 2,51 persen setelah anjlok", Indeks acuan DAX di Bursa Efek Frankfurt melonjak persenFrankfurt Saham saham Jerman melonjak pada perdagangan Selasa setelah sehari sebelumnya anjlok dengan indeks acuan DAX di Bursa Efek Frankfurt melonjak persen atau poin menjadi berakhir di poin Indeks acuan DAX jatuh persen atau poin menjadi berakhir di poin pada perdagangan Senin melanjutkan penurunan tajam akhir pekan lalu Sebanyak saham dari saham perusahaan perusahaan besar pilihan yang menjadi komponen indeks DAX berhasil membukukan keuntungan dan hanya tiga saham yang mengalami kerugian Perusahaan produsen mesin pesawat terbang MTU Aero memenangkan paling banyak keuntungan top gainers di antara saham saham unggulan atau blue chips dengan harga sahamnya melambung persen Disusul oleh saham perusahaan asosiasi pengembang perumahan Vonovia yang melonjak persen dan perusahaan produsen semikonduktor Infineon Technologies melompat persen Di sisi lain perusahaan perawatan pribadi Beiersdorf mencatat kerugian terbesar top losers di antara saham saham unggulan dengan nilai sahamnya jatuh persen Diikuti oleh saham perusahaan penyedia teknologi internet dan jasa keuangan global Wirecard yang berkurang persen serta perusahaan reasuransi Munich Re melemah persen Perusahaan asuransi dan jasa keuangan Jerman Allianz adalah saham yang paling banyak diperdagangkan sepanjang hari dengan nilai transaksi mencapai juta euro juta dolar AS 
