title,content
"Sepekan, bayi gajah bernama Covid hingga suara dentuman di Bandung", Jakarta Sejumlah berita bidang humaniora mendapat banyak perhatian pembaca antaranews com selama sepekan ini mulai dari seekor bayi gajah pejantan yang diberi nama COVID hingga suara dentuman di Bandung Gajah lahir di tengah pandemi diberi nama Covid Seekor bayi gajah pejantan di Taman Safari Indonesia TSI Kawasan Puncak Kecamatan Cisarua Kabupaten Bogor Jawa Barat diberi nama Covid karena lahir di tengah pandemi virus corona jenis baru penyebab COVID Gajah yang diberi nama Covid ini lahir dari induk betina bernama Nina berusia tahun sedangkan gajah pejantannya bernama Kodir diperkirakan usianya tahun Keduanya berasal dari Riau ujar salah seorang keeper di TSI Bogor Sodik di Bogor Minggu Cek fakta Paru paru pasien COVID akan tetap rusak Salah satu unggahan akun Instagram pengacara kondang Tanah Air Hotman Paris menjadi pembahasan warganet terkait benar atau tidaknya obat khusus COVID hanya menjadi penyambung nyawa Dalam unggahan itu tercatut nama Kepala Tim Dokter COVID asal China Prof Dr Zhong Nan Shan yang pernah menanggulangi wabah SARS pada Cek fakta Sekeluarga terinfeksi corona setelah pesta ulang tahun Sebuah potret yang memperlihatkan orang sedang berswafoto tersebar di aplikasi pesan instan WhatsApp serta jejaring media sosial sejak akhir April dengan narasi mereka terinfeksi virus corona penyebab COVID Dalam foto itu salah satu orang terlihat memegang kue ulang tahun berwarna kuning sembari tersenyum ke arah kamera ditemani anggota lain keluarga itu Dentuman di Bandung bukan gempa atau petir Badan Meteorologi Klimatologi dan Geofisika BMKG memastikan suara dentuman yang dilaporkan terdengar oleh beberapa warga di Bandung dan sekitarnya pada Kamis pagi bukan disebabkan gempa bumi maupun petir Hasil monitoring BMKG tidak ada aktivitas gempa bumi signifikan yang terjadi di Bandung dan sekitarnya sejak pukul hingga WIB kata Kepala Bidang Mitigasi Gempa Bumi dan Tsunami BMKG Daryono yang dihubungi di Jakarta Kamis orang reaktif COVID dalam tes cepat massal di pasar Banjarmasin Sebanyak dari orang dinyatakan reaktif COVID usai dilakukan tes cepat oleh Tim Gugus Tugas Percepatan Penanganan COVID Kota Banjarmasin Tes cepat massal di enam pasar dilakukan guna mencegah penyebaran COVID yang jumlah kasusnya terus meningkat di daerah ini T D Pewarta Dewanto SamodroEditor Andi Jauhary 
Pulau Bintan diperkirakan diguyur hujan pada Lebaran hari pertama, Tanjungpinang Stasiun BMKG Kota Tanjungpinang memperkirakan Pulau Bintan Kepulauan Riau diguyur hujan lokal dengan intensitas ringan hingga lebat disertai petir pada hari pertama lebaran Idul Fitri Hijriah Minggu Prakirawan BMKG Tanjungpinang Khalid Fikri menyebut hujan lokal diprediksi terjadi sejak pagi hingga siang hari sementara untuk malam menjelang dini hari cuaca akan kembali cerah berawan Diprediksi selama sepekan ke depan wilayah Pulau Bintan berpotensi ada hujan kata dia Menurut dia potensi curah hujan diakibatkan terjadinya pembelokan pola angin di wilayah Kepulauan Riau sehingga menyebabkan angin melambat dan membentuk awan hujan yang lebih banyak Semakin banyak awan yang terbentuk maka potensi terjadinya hujan makin tinggi jelasnya Ia juga memaparkan untuk kecepatan angin saat ini masih dalam kondisi normal yaitu berkisar antara lima sampai kilometer per jam Pun untuk tinggi gelombang lanjutnya selama sepekan ke depan diprediksi masih di batas normal yaitu berkisar antara sampai meter Pewarta OgenEditor Ade P Marboen 
BMKG: Sultra saat Idul Fitri 1441H berpotensi hujan sedang dan ringan, Kendari Badan Meteorologi Klimatologi dan Geofisika BMKG Kendari menyampaikan prakiraan cuaca untuk wilayah Sulawesi Tenggara pada Hari Raya Idul Fitri Hijriah yang jatuh pada Minggu Mei secara umum cerah berawan namun berpotensi hujan dengan intensitas sedang dan ringan Prakirawan BMKG Sultra Faizal Habibie mengatakan prakiraan cuaca pada pagi hingga siang hari berpotensi hujan ringan terjadi di wilayah Kabupaten Wakatobi Sementara siang hingga sore hari berpotensi terjadi hujan sedang di wilayah Buton Buton Utara Buton Tengah Konawe Konawe Selatan dan Konawe Kepulauan Secara umum prakiraan untuk tanggal Mei pagi hari keadaan cuaca umumnya cerah hingga berawan kecuali di Kabupaten Wakatobi hujan ringan akan tetapi pada siang hingga sore hari masih berpeluang hujan sedang hingga lebat kadang disertai guntur dan angin kencang kata Faizal saat wawancara via WhatsApp Sabtu Selain itu Faizal juga mengungkapkan bahwa pada siang hingga sore hari juga berpotensi hujan ringan di wilayah Kota Kendari Baubau dan Kabupaten Buton Selatan Wakatobi Kolaka Timur Kolaka Konawe Utara Muna dan Muna barat Malam hari berpotensi hujan ringan di wilayah Konawe Dini hari berpotensi hujan ringan di wilayah Buton Buton Selatan Baubau Konawe Kepulauan Buton Utara dan Konawe jelasnya Ia juga menyampaikan suhu udara mencapai derajat celsius dengan kelembaban udara persen dan angin bertiup dari Timur Laut menuju Tenggara dengan kecepatan kilometer per jam Peringatan dini berpotensi hujan sedang yang dapat disertai petir atau guntur dan angin kencang di wilayah Buton Utara Buton Buton Tengah Konawe Selatan Konawe Kepulauan Konawe pada pagi hingga sore hari pungkasnya Prakiraan cuaca di wilayah Sulawesi Tenggara Sultra Mei Sumber BMKG Stasiun Meteorologi Mariitm Kelas II Kendari Harianto Sementara itu Kepala Seksi Observasi dan Informasi BMKG Kendari Adi Astyono mengatakan dari pantauan pihaknya pada bulan Mei dilihat dari kondisi dinamika atmosfer wilayah Sultra terpantau kelembaban udara lapisan atas millibar mb dan mb dalam kondisi basah atau lembab kondisi ini memungkinkan terbentuknya awan awan hujan dalam skala lokal di wilayah Sultra Selain itu kata dia suhu muka laut perairan Sultra dan banda yang masih hangat memungkinkan penguapan yang tinggi hingga memungkinkan terbentuknya awan awan hujan di wilayah Sultra masih cukup signifikan Dan lanjut Adi dari pantauan angin lapisan atas sering terjadi perlambatan dan belokan angin yang berpotensi terbentuknya awan awan hujan Dari semua analisa kondisi atmosfer dan data historis bulan Mei selama tahun kondisi saat dan prakiraan cuaca untuk wilayah Sultra besok dan tiga hari ke depan masih berpotensi hujan dengan intensitas ringan sampai sedang ungkapnya Adi mengimbau agar masyarakat selalu memperhatikan kondisi lingkungan sehingga terhindar dari bencana yang diakibatkan oleh hidrometeorologi sekitar Dia juga meminta agar warga selalu memperhatikan informasi dari BMKG setempat tentang kondisi cuaca yang ada 
Nayz donasi sembako ringankan beban COVID-19, Jakarta Nayz produsen bubur bayi dari beras organik menggelar kegiatan donasi berupa sembako yang disalurkan kepada masyarakat di wilayah Tangerang Selatan Banten guna meringankan beban dari dampak pandemi COVID Konsep dari kegiatan amal ini adalah setiap karyawan memberikan dua paket bantuan yang berisi beras organik Ladang Hijau dengan ukuran kg per paket Acara ini juga merupakan cerminan sifat dari perusahaan dimana kita berbagi di kala lapang ataupun sempit kata Founder CEO PT Hassana Boga Sejahtera Nayz Lutfiel Hakim dalam keterangan pers di Jakarta pada Sabtu Program yang dinamakan Bersama Nayz Berbagi Berkah itu digelar pada Selasa dan menyasar masyarakat yang berada di sekitar wilayah Tangerang Selatan tepatnya di wilayah Serpong Setu dan Pondok Petir Program ini kami tujukan kepada masyarakat di sekitar kami khususnya orang tua dan janda janda yang terkena dampak dari situasi pandemi COVID yang berlangsung saat ini kata Lutfiel Sebelumnya Nayz menyalurkan donasi kepada masyarakat yang mengalami gizi buruk di daerah Kefamenanu Nusa Tenggara Barat NTB Kami membagikan Nayz bubur Makanan Pendamping Air Susu Ibu MPASI organik kepada masyarakat yang terkena gizi buruk di sana katanya 
Palembang dihantam angin kencang berkecepatan 72 kilometer per jam, kondisi hujan ini masuk dalam kategori hujan sangat lebatPalembang Kota Palembang dilanda hujan disertai angin kencang berkecepatan knots atau kilometer per jam yang merobohkan puluhan pohon dan menerbangkan atap rumah warga Hujan disertai angin kencang mulai mengguyur Kota Palembang Jumat sekitar pukul WIB selama satu jam pertama dilaporkan belasan pohon di dua sisi jalan protokol maupun arteri tumbang dan menghalangi laju kendaraan Curah hujan pukul WIB tercatat sebesar mm di Kota Palembang kondisi hujan ini masuk dalam kategori hujan sangat lebat mm per jam kata Kepala Unit Analisis dan Prakiraan Stasiun Meteorologi SMB II Palembang Sinta Andayani Beberapa titik robohnya pohon berdiameter sedang hingga besar terjadi di Jalan Demang Lebar Daun Jalan Diponegoro Jalan Sokarno Hatta Kawasan ilir dan Jalan POM IX Selain itu angin turut merobohkan papan reklame di Jalan Radial Jalan Merdeka Jalan Jendral Sudirman Simpang Sekip dan merusak atap rumah warga di kawasan Tangga Takat Hingga pukul WIB belum ada laporan korban jiwa akibat hujan lebat dan angin kencang tersebut Sinta menjelaskan bahwa hujan sangat lebat disebabkan pengaruh tidak langsung dari pusat tekanan rendah dari siklon tropis mangga dan tumbuhnya tekanan udara rendah di Samudera Hindia arah Selatan Pulau Jawa Kondisi ini berpengaruh menarik aliran massa udara dari Sumatera bagian utara masuk ke wilayah Sumsel tambahnya Namun ketika massa udara tersebut sampai di wilayah Sumsel terjadi perlambatan gerak akibat belokan angin sehingga massa udara bertumpuk dan mengakibatkan hujan lebat angin kencang serta guntur di seluruh wilayah Kota Palembang BMKG juga memprediksi kondisi cuaca buruk masih akan berlangsung hingga tiga hari ke depan di wilayah Sumatera Selatan sebab wilayah berpenduduk delapan juta jiwa itu tengah memasuki masa transisi dari musim hujan ke musim kemarau Selama masa transisi akan sering muncul cuaca ekstrim seperti hujan lebat angin kencang puting beliung dan petir Selain itu MJO suklus hujan phase saat ini menyebabkan potensi pertumbuhan awan konvektif terus meningkat Meski merobohkan banyak pohon namun hujan kali ini masih lebih kecil dibandingkan hujan ekstrem yang melanda Kota Palembang pada Desember Saat itu BMKG menyebut kecepatan angin mencapai kilometer per jam Sementara hingga pukul WIB hujan masih mengguyur Palembang dengan intensitas ringan dan angin normal disertai sesekali petir Pewarta Aziz MunajarEditor Agus Salim 
Pandemi virus memang goro-goro?, Mereka tidak mengingat aturan negaraMagelang Semestinya semua orang bungah melihat atau bahkan berada di tengah keramaian pasar tradisional dan toko modern setiap menjelang Lebaran Berbelanja aneka kebutuhan untuk menghadapi Hari Raya menjadi milik setiap orang kalangan mana pun Begitu tunjangan hari raya atau apalah sebutannya mungkin tali asih atau gaji ke diterima penerimanya bagaikan menjadi talang tempat aliran air Ia bergegas mengguyurkan tunjangan itu ke pasar dan toko untuk belanja macam macam kebutuhan dan keinginan seperti makanan minuman pakaian mebeler kosmetik kulkas perabotan rumah tangga Semua yang keluar pasar dan toko menenteng berbagai barang dengan senang dan lega hati Mereka bagaikan mau mengangkut semua isi pasar dan toko ke rumah Pedagang pun bersorak barang jualannya ludes Laris manis tanjung kimpul barang habis duwit ngumpul begitu ungkapan populer di masyarakat Mungkin juga gara gara tunjangan itu dibayarkan niat beli sepeda motor kreditan terwujud uang muka beli rumah baru terbayar hutang sana sini terlunasi dan tunggakan iuran sosial warga diberesi Kalau boleh ngawur bilang bahwa salah satu tanda tubuh sehat adalah berbelanja maka waktu waktu mendekati Lebaran mungkin menjadi puncak kurva kesehatan raga publik Toko obat dan apotek pun sepi pembeli Mereka yang senang atas ramainya pusat pusat perbelanjaan bukan hanya pembeli dengan aneka barang kebutuhan yang didapat tetapi juga pedagang pemilik usaha pelaku jasa Begitu juga dengan tukang parkir sopir angkot penjahit permak dan tukang sol sepatu Pemerintah pun boleh lega karena terjadi perputaran ekonomi yang bergairah pajak optimistis lancar ditunaikan dan hitung hitungan ekonomi makro positif Itu semua kalau situasi kehidupan masyarakat normal normal saja dinamika sosial relatif stabil atau setidaknya tekanan keadaan global tidak dirasakan berat berat amat dihadapi negara berkembang sebagaimana Indonesia Tetapi aneh bahkan miris dan bikin geleng geleng kalau melihat hari hari terakhir ini pasar toko atau pusat pusat perbelanjaan dan arus lalu lintas ramai Kumandang pasar dan pusat perbelanjaan serta deru kendaraan seakan tidak sedang tulus mengungkap tanda tanda gembira Masyarakat sehat menumpahkan uang kesejahteraan dengan berbelanja bersanding terkaman pandemi penularan virus Virus corona baru COVID sedang menjadi hantu yang bukan hanya menakut nakuti tetapi juga pelantar kematian Kumandang pasar bisa jadi cerita sukses virus menjerat mangsa Salah satu penjalaran penularannya kerumunan orang terlebih abai masker Pemerintah dan berbagai kalangan memang telah masif menyampaikan berbagai hal kepada masyarakat terkait dengan virus baik penyebab pencegahan maupun penanganan Segala kesempatan cara dan media dioptimalkan pemanfaatannya bukan sekadar seremonial menyampaikan informasi pandemi dimengerti masyarakat tetapi harapan kencengnya itu publik sadar kemudian bareng bareng mencegah dan mengatasi Segala protokol kesehatan COVID yang telah dibuat pemerintah dengan detail sebagai muslihat mencegah dan menghadapi pandemi virus Protokol memang sudah disosialisasikan secara masif tetapi tidak mudah menjadikan habitus publik dalam sekejap Hanya soal pemakaian masker masih dibutuhkan razia disuruh sungguh sungguh tinggal di rumah masih saja tak betah dalam sergapan jenuh Apalagi cuci tangan menggunakan sabun dengan air mengalir sesuai idealnya tujuh langkah mungkin masih sebatas pengetahuan di luar kepala kalangan medis Badan PBB untuk Kesehatan Dunia WHO menetapkan tujuh langkah mencuci tangan memakai sabun dengan waktu detik Belum lagi masih ada orang orang mengumpet tak lega hati kalau ketahuan punya riwayat kontak erat dengan pasien positif COVID Mereka kalangan yang disergap cemas bakal celaka tiga belas karena harus menjalani karantina isolasi dan tak bisa menjadi bagian kerumunan pasar untuk berbelanja kebutuhan Jika kita meninggalkan segala muslihat kita sendiri kita secara alamiah akan jatuh ke dalam suatu keadaan yang mengerikan begitu Thomas Hobes sebagaimana diuraikan James Garvey dalam buku Kisah Filsafat Terbesar Gogo goro sekarang ini bukan sebatas pandemi merebak dengan keseriusan menepakkan segala jurus menangani pasien dan mereka lainnya yang terdampak Namun kumandang pasar kali ini pun dikhawatirkan bakal membikin goro goro di dalam goro goro lakon pandemi Goro goro bertumpuk tumpuk di mana makin banyak orang terjangkit COVID dan menambah beban kalangan medis serta rumah sakit dalam menangani pasien virus Tidak Taat Serat Sabdo Palon dalam lampiran novel sejarah Sabdo Palon karya Sri Wintala Achmad mengemukakan tentang merebaknya serangan penyakit karena ketidaktaatan warga terhadap aturan negara Mereka tidak mengingat aturan negara Sebab tidak tahan menahan lapar Hal itu disusul datangnya bencana yang luar biasa Penyakit tersebar merata di Tanah Jawa Bagaikan pagi sakit sore meninggal dunia Banyak penyakit luar biasa Di sana sini banyak orang mati demikian sejumlah baris Serat Sabdo Palon Sabdo Palon identik dengan Semar yang dalam dunia pewayangan bersama anak anaknya Gareng Petruk dan Bagong sebagai titisan dewa dari kayangan turun ke bumi menjadi panakawan dengan tugas menjadi pemomong raja dan pengayom kawula Panakawan artinya kawan yang paham Dalam dunia wayang goro goro sebagai penggambaran melalui suluk sang dalang tentang suasana jagat heboh yang antara lain narasinya tentang terjadinya gempa bumi dan langit berkelabat kelebat petir sebelum adegan panakawan Konten heboh dalam suluk goro goro dimaknai dalang yang juga pemimpin Padepokan Tjipto Boedojo Tutup Ngisir di kawasan Gunung Merapi Kabupaten Magelang Sitras Anjilin sebagai narasi yang mengantar kedatangan sosok tampan berjiwa besar melintasi desa membuat orang berdebar debar karena tepesona dan membuat suasana baru Rasanya sosok tampan dalam suluk goro goro itu bertolak belakang dengan wujud Semar yang bermuka tua tambun dan berkucir Gareng bertubuh pendek dan kakinya pincang Petruk yang semampai dan berhidung mancung serta Bagong berbibir dower Itulah logika dunia pewayangan Dialog dan tingkah mereka dalam goro goro yang hadir biasanya saat tengah malam penuh humor sendau gurau dan gembira Obat penonton terjangkit virus ngantuk Goro gogo pandemi COVID sampai sekarang belum tahu siapa titisan memesona berwujud antivirus Goro goro kumandang pasar dengan kerumuman orang berbelanja barang kebutuhan tanda tanda miris akan runyamnya usaha saksama selama ini dalam mengatasi virus Panakawan dalam goro goro kumandang pasar semasa pandemi barangkali turun bukan secara wadak namun sikap arif bijaksana dan teguh setiap orang menghindari kerumunan Sikap itu lalu pemomong kepada keputusan diri untuk cukup berbelanja kebutuhan di toko kecil dari rumah sebelah Atau mungkin panakawan hadir sebagai pelayan publik dengan disiplin terhadap protokol kesehatan memerankan penghubung pasar dan pembeli Ojek daring 
BMKG ingatkan potensi hujan sedang di Jaktim pada Jumat sore, Jakarta Badan Meteorologi Klimatologi dan Geofisika BMKG memperingatkan potensi hujan sedang disertai kilat atau petir dan angin kencang di wilayah Jakarta Timur yang diprediksi terjadi Jumat sore Waspada potensi hujan disertai kilat petir dan angin kencang di wilayah Jaktim pada sore hari hingga malam hari bunyi peringatan dini BMKG melalui laman BMKG go id pada pukul WIB Secara umum BMKG memprediksi cuaca cerah berawan terjadi di seluruh wilayah DKI Jakarta pada Jumat pagi Namun di siang hari diperkirakan hujan ringan terjadi di Jakarta Selatan dan hujan sedang di wilayah Jakarta Timur Pada malam harinya hujan masih berpotensi terjadi di Jakarta Timur sedangkan wilayah lainnya kembali cerah berawan hingga dini hari Adapun suhu udara di DKI Jakarta secara keseluruhan berkisar antara hingga derajat Celcius dengan kelembapan udara antara sampai dengan persen Sementara itu dua hari menjelang Idul Fitri Hijriah yang terjadi di tengah pandemi COVID masyarakat diimbau untuk tetap berada di rumah mematuhi aturan Pembatasan Sosial Berskala Besar PSBB yang diperpanjang hingga Juni dengan bekerja dari rumah belajar dari rumah dan beribadah di rumah guna memutus mata rantai penyebaran virus corona tipe baru SARS CoV Pewarta Laily RahmawatyEditor Triono Subagyo 
PVMBG pastikan suara dentuman di Bandung bukan karena vulkanik, Di sekitar Kota Bandung tidak ada laporan erupsi jadi sumber dentuman bukan berasal dari erupsi gunung apiBandung Pusat Vulkanologi dan Mitigasi Bencana Geologi PVMBG memastikan suara dentuman misterius yang terdengar di wilayah Bandung Raya bukan karena adanya aktivitas vulkanik Kepala Bidang Gunung Api PVMBG Hendra Gunawan mengatakan sejauh ini tidak ada laporan tanda tanda erupsi dari sejumlah pos pos gunung api di wilayah Bandung Di sekitar Kota Bandung tidak ada laporan erupsi jadi sumber dentuman bukan berasal dari erupsi gunung api kata Hendra saat dihubungi di Bandung Kamis Menurutnya aktivitas vulkanik biasanya berkaitan dengan erupsi Sehingga kata dia tidak ada aktivitas vulkanik lainnya yang diduga bisa menyebabkan suara dentuman misterius itu Kalau dari aktivitas vulkanik biasanya berkaitan dengan erupsi hanya gunung gunung di sekitar Bandung tidak ada yang erupsi katanya Sebelumnya masyarakat di wilayah Bandung Raya menyebut mendengar suara dentuman misterius yang berlangsung beberapa kali pada Kamis pagi Seorang warga Akbar mengatakan suara dentuman itu juga sempat terdengar beberapa kali di wilayah selatan Kota Bandung berdasarkan informasi yang dia terima Sempat kedengaran di wilayah Mohamad Toha Buahbatu Astanaanyar Kopo juga kata Akbar di Bandung Kamis Selain Akbar suara dentuman itu juga terdengar oleh Rahmat yang merupakan warga Cibiru Bandung Ia hanya mengira suara itu berasal dari PT Pindad sebagai produsen senjata Udah beberapa kali ini dari Pindad mungkin suaranya lumayan terdengar dari tadi kata Rahmat Sementara itu Kepala BMKG Stasiun Geofisika Bandung Tony Agus Wijaya mengatakan pihaknya masih memerlukan analisis untuk mengetahui sumber suara dentuman tersebut Perlu dianalisa penyebab sumber suara dari faktor selain gempa cuaca dan petir kata Tony Dia memastikan Kamis ini sejak pukul hingga WIB tidak ada kejadian gempa Kemudian ia menyampaikan di wilayah Bandung cuacanya bakal cerah berawan Tidak ada juga kejadian suara petir mulai dari WIB sampai WIB katanya Pewarta Bagus Ahmad RizaldiEditor Agus Salim 
BMKG pastikan dentuman di Bandung bukan akibat gempa maupun petir, Awalnya teman saya nge WA jam delapanan pagi Dia ngasih tahu ada suara dentuman Eh pas ke sini sini saya dengar sendiri suaranyaJakarta Badan Meteorologi Klimatologi dan Geofisika BMKG memastikan suara dentuman yang dilaporkan terdengar oleh beberapa warga di Bandung dan sekitarnya pada Kamis pagi bukan disebabkan gempa bumi maupun petir Hasil monitoring BMKG tidak ada aktivitas gempa bumi signifikan yang terjadi di Bandung dan sekitarnya sejak pukul hingga WIB kata Kepala Bidang Mitigasi Gempa Bumi dan Tsunami BMKG Daryono yang dihubungi di Jakarta Kamis Begitu pula dengan hasil monitoring petir menggunakan peralatan lightning detector menunjukkan tidak ada kejadian petir di Bandung dan sekitarnya antara pukul sampai dengan WIB Cuaca di Bandung dan sekitarnya sejak Kamis pagi hingga pukul WIB dalam kondisi cerah dan berawan serta tidak terjadi hujan Sehingga berdasarkan data tersebut suara dentuman tidak bersumber dari peristiwa gempa bumi petir atau cuaca di Bandung dan sekitarnya jelasnya Warga mendengar suara dentumam di atas langit Kabupaten Bandung Jawa Barat pada Kamis Salah seorang warga Kabupaten Bandung Nuruliah menyebut suara dentuman di atas langit terdengar olehnya sekitar pukul WIB Awalnya teman saya nge WA jam delapanan pagi Dia ngasih tahu ada suara dentuman Eh pas ke sini sini saya dengar sendiri suaranya kata dia Warga lainnya Hidayat menuturkan suara dentuman terdengar beberapa kali olehnya sekitar pukul WIB Warga Desa Bojongkunci Kecamatan Pameungpeuk Kabupaten Bandung itu mengaku mendengar suara dentuman hingga enam kali 
Tiga wilayah di Jakarta diguyur hujan pada siang ini, Jakarta Badan Meteorologi Klimatologi dan Geofisika BMKG memperkirakan hujan mengguyur Jakarta bagian barat selatan dan timur pada Kamis siang ini dengan intensitas ringan hingga sedang Sedangkan untuk wilayah lainnya yaitu Jakarta Pusat Jakarta Utara dan Kepulauan Seribu diperkirakan berawan Waspada potensi hujan disertai kilat dan petir dengan durasi singkat di wilayah Jaktim dan Jaksel pada sore hari kata BMKG dalam peringatan dini yang ada di situsnya Di malam hari hujan di kawasan Jakarta Barat terus berlanjut dengan intensitas ringan Hujan juga diperkirakan turun di Kepulauan Seribu pada malam hari Sementara itu untuk wilayah Jakarta Selatan Jakarta Timur dan Jakarta Utara diperkirakan berawan Berbeda dengan wilayah lainnya Jakarta Pusat pada malam hari diperkirakan akan cerah berawan Pada dini hari diperkirakan tidak ada wilayah yang diguyur hujan dan di enam wilayah di DKI Jakarta cerah berawan Suhu rata rata sepanjang hari ini di ibu kota diperkirakan berada di kisaran Celsius Jakarta Barat Celsius Jakarta Pusat Celsius Jakarta Selatan Jakarta Timur Jakarta Utara Celsius dan Kepulauan Seribu Celsius Sedangkan untuk tingkat kelembaban berada di kisaran persen Jakarta Barat memiliki kelembaban sebesar persen dan Jakarta Pusat persen Jakarta Selatan persen Jakarta Timur persen Jakarta Utara persen dan Kepulauan Seribu persen Pewarta Livia KristiantiEditor Sri Muryono 
