title,content
Indonesia terima bantuan RT-PCR untuk deteksi COVID-19 dari IAEA, Jakarta Paket perdana bantuan Badan Tenaga Atom Internasional International Atomic Energy Agency IAEA berupa peralatan pendeteksi virus dengan teknik data seketika reverse transcription polymerase chain reaction RT PCR untuk Indonesia tiba di Jakarta Senin RT PCR merupakan alat uji swab pada pasien yang diduga terinfeksi COVID dan dapat memberikan hasil yang presisi untuk pencegahan penyebaran penyakit Atase Ilmu Pengetahuan PTRI Wina Dimas Irawan dalam keterangan tertulisnya diterima di Jakarta Senin menjelaskan bantuan peralatan RT PCR beserta kelengkapannya itu dikirim secara bertahap menjadi enam paket pengiriman Selama ini IAEA memberikan bantuan pemanfaatan alat RT PCR kepada negara anggotanya yang terjangkit wabah virus Ebola Zika MERS dan sekarang digunakan untuk COVID Hibah ini sendiri dalam bentuk peralatan RT PCR yang kita banyak kenal untuk deteksi virus Corona selain Ebola yang selama ini digunakan IAEA membantu negara anggota yang terkena wabah Ebola Zika MERS dan sekarang COVID kata Dimas Irawan Serta pengembangan SDM dalam bentuk pelatihan teknis ke depan untuk meningkatkan kesiapan para pekerja medis dan teknis dalam menghadapi tantangan persebaran penyakit menular di masa depan ujar dia Pada mulanya menurut Dimas RT PCR dikembangkan dengan menggunakan teknik senyawa bertanda radioaktif namun saat ini sudah digantikan dengan zat kimia fluoresens Hal ini dilakukan dengan pertimbangan kemudahan transportasi dan penggunaannya oleh operator Indonesia melalui Badan Tenaga Nuklir Nasional BATAN menjadi salah satu dari lebih negara yang menerima bantuan serupa Dengan bertambahnya peralatan RT PCR di Indonesia diharapkan dapat meningkatkan jumlah pemeriksaan terhadap masyarakat yang terindikasi terjangkit COVID Selain peralatan RT PCR IAEA juga memberikan bantuan kepada Indonesia berupa perlengkapan alat pelindung diri APD untuk pekerja laboratorium dan beberapa bantuan lainnya Bantuan ini merupakan wujud dari kerja sama teknik antara Indonesia dengan IAEA yang manfaatnya dapat dirasakan langsung masyarakat di tengah pandemi COVID Berdasarkan koordinasi yang dipimpin Gugus Tugas Percepatan Penanganan COVID yang melibatkan Kementerian Kesehatan BNPB Kementerian Luar Negeri dan BATAN peralatan RT PCR itu akan ditempatkan di Unit Pengujian Terpadu UPT Laboratorium Kesehatan Provinsi Kalimantan Barat di Pontianak Pemilihan UPT Laboratorium Kesehatan di Pontianak ini mempertimbangkan perlunya meningkatkan kapasitas pengujian secara merata di seluruh provinsi sebagai bagian upaya nasional untuk mempercepat proses penanganan pandemi COVID Harapannya dengan tambahan peralatan ini dapat mempercepat dan memperbanyak pelaksanaan hasil pemeriksaan untuk mengantisipasi penyebaran COVID Pewarta Virna P SetyoriniEditor Endang Sukarelawati 
Batan: PLTN miliki pertahanan berlapis prioritaskan keselamatan, Jakarta Kepala Pusat Teknologi dan Keselamatan Reaktor Nuklir PTKRN Badan Tenaga Nuklir Nasional Batan Dhandhang Purwadi mengatakan pembangkit listrik tenaga nuklir PLTN generasi sekarang memiliki pertahanan berlapis yang memprioritaskan prinsip keselamatan PLTN generasi sekarang telah dirancang dengan mengedepankan kaidah keselamatan yang lebih baik dan lebih ketat Selain itu dalam perancangannya menganut filosofi pertahanan berlapis defense in depth dan untuk menjaga penyebaran zat radioaktif ke lingkungan dirancang sistem fisik penghalang ganda multiple barriers kata Dhandhang dalam keterangan tertulis yang diterima di Jakarta Minggu Setelah kecelakaan pada PLTN Chernobyl di Ukraina Dhandhang menuturkan prinsip keselamatan nuklir menjadi yang utama Pertahanan berlapis itu di antaranya reaktor nuklir sekarang mampu melakukan shutdown atau berhenti beroperasi secara otomatis apabila terjadi kecelakaan Selain itu tekanan di ruangan dimana reaktor dibangun juga dikondisikan lebih kecil dari lingkungan sekitarnya sehingga apabila ada kecelakaan diharapkan udara tersedot ke dalam Dhandhang menuturkan penerapan sistem keselamatan pengoperasian reaktor dengan pertahanan berlapis dan sistem fisik penghalang ganda juga berlaku pada reaktor riset di Indonesia Tiga reaktor riset yang ada di Indonesia yakni Reaktor Triga di Bandung Kartini di Yogyakarta dan GA Siwabessy di Serpong Reaktor nuklir untuk tujuan riset ini telah menerapkan kaidah fail safe gagal selamat pertahanan berlapis defense in depth dan sistem fisik penghalang berganda multiple barriers yang memadai Menurut Dhandhang saat ini teknologi reaktor telah berkembang pesat yang mana keselamatan reaktor yang didesain pada akhir akhir ini telah mengedepankan prinsip desain keselamatan melekat inherent safety dan sistem keselamatan pasif pasive safety system yang tinggi Penelitian tentang inherent safety dan pasive safety terus berkembang dan dilakukan di Batan ujar Dhandhang Kecelakaan nuklir yakni meledaknya PLTN Chernobyl terjadi pada April di Ukraina yang pada saat itu masih bergabung dengan Rusia Saat itu tepatnya pukul dini hari salah satu dari modul reaktor Chernobyl meledak sekitar pekerja meninggal seketika akibat ledakan reaktor tersebut Peristiwa itu meninggalkan trauma yang besar bagi seluruh masyarakat dunia khususnya para ilmuwan yang berkecimpung di bidang teknologi nuklir Dhandhang mengatakan kecelakaan pada reaktor Chernobyl murni karena keteledoran manusia Kecelakaan itu disebabkan oleh kesalahan manusia dalam hal ini operator yang melakukan suatu eksperimen pada daya tingkat rendah atau di bawah daya nominal sebelum reaktor dimatikan tutur Dhandhang Reaktor chernobyl saat itu sesungguhnya sudah dilengkapi dengan sistem otomatisasi yang mampu melakukan shutdown jika terjadi kecelakaan Namun untuk kepentingan eksperimen sistem otomatisasi yang menghambat penurunan daya dimatikan Dengan matinya sistem otomatisasi akhirnya dalam penurunan daya yang dilakukan secara manual tersebut melampaui batas keselamatan yang dipersyaratkan Tidak lama kemudian terjadi lonjakan energi secara tiba tiba yang tak terduga Ketika operator mencoba mematikan secara darurat terjadi lonjakan daya yang sangat tinggi yang menyebabkan tangki reaktor pecah dan diikuti serangkaian ledakan uap Ledakan itu menyebabkan kebakaran hebat yang berlangsung selama sepekan penuh dan melepaskan debu partikel radioaktif ke udara Ledakan ini membahayakan bagi operator di sekitar reaktor karena radiasi alpha beta dan gamma yang memancar langsung dari pusat reaktor yang perisai radiasinya sudah rusak tuturnya Zat radioaktif yang terdapat di dalam teras reaktor dapat berupa gas bahan yang mudah menguap volatil dan bahan yang tidak menguap non volatil Zat radioaktif yang berbentuk gas maupun volatil akan mudah terbawa oleh angin dan kalau sampai masuk ke dalam tubuh manusia akan sangat membahayakan Pewarta Martha Herlinawati SEditor Endang Sukarelawati 
Tepco Jepang pertimbangkan ancaman tsunami pada PLTN Fukushima, Tokyo Perusahaan induk utilitas listrik Jepang Tokyo Electric Power Company Tepco mempertimbangkan laporan pemerintah yang menyoroti kemungkinan ancaman tsunami lainnya melanda stasiun nuklir Fukushima yang hancur milik perusahaan itu Tepco pada Rabu menyampaikan bahwa pihaknya sedang berusaha membersihkan situs pembangkit listrik tenaga nuklir PLTN Fukushima Daiichi miliknya yang dilanda gempa bumi dan tsunami besar besaran pada Upaya pembersihan situs PLTN Fukushima Daiichi itu diperkirakan akan berlangsung selama beberapa dekade terakhir karena Tepco berupaya membangun pertahanan PLTN untuk menghadapi bencana lainnya Proyeksi terbaru pemerintah Jepang menunjukkan bahwa tembok laut setinggi meter yang direncanakan oleh para insinyur Tepco dapat kewalahan jika harus menahan gelombang tsunami yang lebih tinggi dari meter yang disebabkan oleh gempa berkekuatan skala Richter SR atau lebih kata stasiun televisi NHK Tepco akan memeriksa proyeksi terbaru dari pemerintah dan menganalisis dampaknya pada tindakan pencegahan berkelanjutan yang telah diambil perusahaan untuk menghadapi tsunami kata seorang juru bicara Tepco kepada Reuters melalui telepon Gempa bumi yang melanda pantai timur Jepang pada Maret memiliki kekuatan SR hingga memicu tsunami yang menyebabkan kehancuran tiga reaktor nuklir di Fukushima tempat Tepco terus berjuang untuk menahan pelepasan bahan radioaktif Sumber Reuters Sudah waktunya Indonesia melirik nuklir sebagai pembangkit listrik Penerjemah Yuni Arisandy SinagaEditor Tia Mutiasari 
BMKG: Kemunculan ratusan cacing di Solo belum tentu pertanda gempa, Jakarta Kepala Bidang Mitigasi Gempa Bumi dan Tsunami Badan Meteorologi Klimatologi dan Geofisika BMKG Daryono mengatakan kemunculan ratusan cacing ke permukaan tanah di sejumlah tempat di Solo Jawa Tengah belum dapat dipastikan sebagai pertanda akan terjadi gempa Munculnya cacing di beberapa tempat di Solo akhir akhir ini tampaknya belum dapat dikatakan sebagai petunjuk akan terjadi gempa Fenomena cacing di daerah tersebut berdiri sendiri tidak didukung bukti bukti alamiah lain beserta data anomali prekursornya kata Daryono melalui pesan tertulis yang diterima di Jakarta Minggu Namun dia mengatakan isu kemunculan cacing yang dikaitkan dengan akan terjadinya gempa bukan tak berdasar Menurut dia beberapa peristiwa gempa merusak di dunia di antaranya memang diawali adanya gejala alamiah berupa kemunculan cacing tanah secara massal Di Taiwan kemunculan cacing tanah dilaporkan pada hari menjelang terjadinya gempa Chi Chi Pada peristiwa gempa Haicheng China beberapa hari sebelumnya juga dilaporkan adanya kemunculan cacing tanah yang sangat banyak ke permukaan tanah Beberapa sumber pustaka lain juga mengungkap fenomena kemunculan cacing tanah menjelang gempa seperti kajian Chen dan kawan kawan Rikitake Whitehead dan Ulusoy dan Liso dan Fidani Menurut Grant dan Conlan kemunculan cacing tanah di permukaan menjelang gempa terkait dengan anomali gelombang elektromagnetik frekuensi rendah Munculnya anomali ini dilaporkan terjadi beberapa hari sebelum gempa bumi Dalam sebuah penelitian yang mengkaji hubungan antara aktivitas cacing tanah dan kelistrikan Ikeya dkk menempatkan beberapa elektroda yang dialiri arus listrik pada permukaan tanah yang banyak terdapat cacing tanah Sejumlah cacing ternyata merespons anomali kelistrikan itu dengan keluar dari dalam tanah secara hampir bersamaan Namun demikian kata Daryono berdasarkan laporan kemunculan cacing yang terjadi di berbagai tempat di dunia menjelang gempa besar ternyata selalu didukung data perilaku gejala alamiah tak lazim lainnya seperti kemunculan ular di beberapa tempat anjing yang terus menggonggong bersahutan dan ikan yang melompat lompat di kolam Selain perilaku aneh binatang menjelang gempa para ilmuwan juga menandai adanya anomali prekursor gempa Prekursor gempa adalah sebuah anomali kondisi lingkungan fisis yang menjadi petunjuk akan terjadinya gempa Prekursor dapat berupa anomali permukaan tanah elevasi muka air tanah dan emisi radon yang terjadi berbarengan Radon merupakan unsur radioaktif gas radon dipercaya akan keluar ketika batuan akan melepaskan stressnya sehingga radon menjadi parameter penting dalam prekursor gempa bumi Jika tidak ada data dukung penguat lainnya maka munculnya cacing secara massal ke permukaan diduga diakibatkan perubahan kondisi cuaca iklim dan lingkungan yang mendadak termasuk kemungkinan terpapar bahan kimia seperti disinfektan dan lain lain kata Daryono Namun demikian karena wilayah Indonesia memang rawan gempa sebaiknya masyarakat harus selalu waspada mengingat peristiwa gempa kuat dapat terjadi kapan saja dimana saja dan belum dapat diprediksi ujar Daryono Sebelumnya warganet dihebohkan dengan munculnya banyak cacing ke permukaan tanah di Solo yang dipercaya sebagai pertanda akan terjadi gempa Pewarta Desi PurnamawatiEditor Masuki M Astro 
Kebakaran hutan dekat area Chernobyl berhasil dipadamkan, Masyarakat harus mengetahui kebenarannya dan harus pula selamat Kiev Kobaran api yang melalap hutan di sekitar area pembangkit tenaga nuklir Chernobyl yang tak berfungsi berhasil dipadamkan oleh ratusan petugas yang menggunakan pesawat dan helikopter menurut pernyataan pemerintah Ukraina pada Selasa Tidak ada kobaran api kata kementerian dalam negeri dalam sebuah pernyataan meskipun tidak membantah bahwa sempat ada asap pembakaran tipis di tanah hutan Aktivis pemerhati lingkungan pada Senin kemarin memperingatkan bahwa kebakaran di dekat kawasan bencana nuklir terbesar di dunia yang terjadi pada itu memunculkan risiko paparan radiasi Operator tur Chernobyl Yaroslav Yemelianenko dalam unggahan di Facebook menggambarkan situasi kebakaran di lapangan sangat parah dan menyebut api hampir mencapai kota mati Pripyat dua kilometer dari zona dengan paparan tertinggi radiasi aktif Chernobyl Namun pemerintah Ukraina mencatat lonjakan jangka pendek pada partikel radioaktif Cesium di wilayah ibu kota Kiev ke bagian selatan dari Chernobyl dengan tingkat radiasinya masih dalam batasan normal dan tidak memerlukan langkah perlindungan tambahan Presiden Volodymyr Zelenskiy menjanjikan transparansi dalam penanganan masalah tersebut dan akan menemui kepala penanganan kedaruratan Masyarakat harus mengetahui kebenarannya dan harus pula selamat kata Zelenskiy dalam pernyataan yang dikeluarkan Senin malam Kebakaran yang mungkin disebabkan oleh cuaca kering itu muncul pertama kali pada April di bagian barat zona eksklusif Chernobyl yang kemudian merembet hingga ke wilayah hutan terdekat Namun polisi menyebut pihaknya telah mengidentifikasi seorang warga lokal berusia tahun yang mereka duga memicu kebakaran itu secara sengaja Belum ada penjelasan lebih lanjut apakah orang tersebut bertanggung jawab sebagian atau secara penuh Terduga dilaporkan telah memberi pengakuan bahwa dirinya memunculkan sejumlah kobaran api untuk kesenangan belaka Sumber Reuters 
Tim KBR Polda NTB semprot disinfektan di kawasan rumah PDP, Mataram Tim Kimia Biologi dan Radioaktif KBR dari Satuan Brimob Kepolisian Daerah Nusa Tenggara Barat melakukan penyemprotan cairan disinfektan di sekitar kawasan rumah pasien dalam pengawasan PDP yang dikabarkan meninggal pada Jumat lalu Wilayah itu kawasan rumah PDP memang jadi sasaran penyemprotan kami hari ini kata Direktur Samapta Polda NTB Kombes Pol Subandi di Mataram Selasa Dari pantauan sekitar pukul Wita dua kendaraan dinas milik Polri yang salah satunya dari Tim KBR Satbrimobda NTB masuk ke jalan lingkungan di wilayah Dasan Agung Kota Mataram Penyemprotan cairan disinfektan dimulai dari Jalan Gunung Siu berlanjut ke Jalan Gunung Pengsong sampai ke Jalan Aneka yang tembus ke jalur perkotaan di Jalan Udayana Deretan rumah dan toko kelontong milik warga yang berada di kanan kiri jalan lingkungan menjadi sasaran penyemprotan tim KBR Selain melakukan penyemprotan pihak kepolisian juga mengimbau warga untuk tetap berada di rumah dan tetap menjaga kesehatan diri keluarga dan juga lingkungan Pada intinya kita all out melawan virus corona Dengan kegiatan ini kita harap apa yang jadi pandemi itu bisa kita cegah ujarnya Berdasarkan data perkembangan kasus COVID di Kota Mataram dari Tim Gugus Tugas Percepatan Penanganan COVID Kota Mataram tertanggal Maret pukul Wita tercatat status PDP sebanyak orang Dari orang tersebut delapan orang sudah selesai pengawasan dan orang masih pengawasan sedangkan status orang dalam pemantauan ODP tercatat orang dengan rincian selesai pemantauan dan masih dalam pemantauan Pewarta Dhimas Budi PratamaEditor M Arief Iskandar 
BATAN punya fasilitas uji praklinis untuk diagnosis dan terapi, Jakarta Pusat Sains dan Teknologi Nuklir Terapan Badan Tenaga Nuklir Nasional BATAN memiliki fasilitas laboratorium untuk uji praklinis penggunaan senyawa radioaktif menggunakan hewan percobaan untuk keperluan diagnosis dan terapi penyakit Pada perkembangannya laboratorium ini digunakan untuk uji praklinis terhadap penelitian senyawa bertanda untuk diagnosis dan terapi kanker dan penyakit infeksi lainnya kata Kepala Pusat Sains dan Teknologi Nuklir Terapan BATAN Jupiter Sitorus Pane dalam keterangan tertulis lembaga yang diterima di Jakarta Jumat Laboratorium uji radioaktif yang sejak digunakan untuk penelitian dan pengembangan senyawa bertanda menggunakan hewan percobaan itu menurut dia belum dilengkapi dengan fasilitas pengujian yang sesuai dengan standar sehingga pemanfaatannya belum maksimal Pada awalnya laboratorium itu hanya digunakan untuk melakukan kontrol terhadap produk radioisotop dan senyawa bertanda yang dihasilkan reaktor TRIGA guna mengetahui karakteristik radioisotop dan senyawa bertanda melalui percobaan pada hewan dan beberapa uji praklinis sederhana Mulai tahun dilakukan perbaikan tahap awal pada fasilitas laboratorium Pada Februari perbaikan fasilitas tersebut sudah selesai Peneliti BATAN bidang kedokteran hewan Ahmad Kurniawan mengatakan laboratorium itu penggunaannya difokuskan pada penelitian dasar pengembangan senyawa bertanda mulai dari uji biodistribusi dan farmakokinetik pada hewan uji normal dan hewan dengan kanker serta infeksi Fasilitas laboratorium yang kami miliki saat ini meliputi ruang isolasi untuk mencit dan tikus ruang breeding pembiakan ruang bedah dan tempat penyimpanan alat bahan Setiap ruangan diisi kandang standar khusus rodent katanya Laboratorium itu dilengkapi peralatan pengujian berupa meja bedah alat bedah mesin sterilisasi alat mesin anastesi inhalasi khusus rodensia dengan ruang khusus restrainer khusus rodensia metabolic cage timbangan analitik Automatic Gamma Counter Wizard dan freezer kadaver Dalam praktiknya penelitian di laboratorium itu menggunakan hewan pengerat seperti mencit dan tikus untuk pengembangan radiofarmaka ataupun riset biomedis lainnya Kegiatan di laboratorium antara lain meliputi pembuatan hewan model kanker cell line dan karsinogen hewan model infeksi implan tulang dengan material hasil iradiasi dan model osteoporosis Laboratorium hewan uji radioaktif itu diawasi dua dokter hewan yang memang fokus melakukan penelitian dan pengembangan in vitro dan in vivo terkait hewan uji untuk riset biomedis Dengan adanya laboratorium ini ke depannya semoga semakin banyak kolaborasi riset baik di dalam ataupun luar negeri Fasilitas masih belum sempurna tetapi seiring berjalannya waktu dan komitmen pimpinan semoga menjadi salah satu lab hewan uji radioaktif yang terkemuka di Indonesia tutur Ahmad Laboratorium tersebut menurut Ahmad diharapkan dapat digunakan untuk preclinical imaging menggunakan preclinical SPECT PET CT khusus rodensia yang sampai saat ini belum dimiliki Indonesia serta terhubung dengan fasilitas laboratorium uji in vitro Laboratorium itu dapat juga dimanfaatkan oleh peneliti di luar BATAN baik dari perguruan tinggi atau lembaga penelitian dan pengembangan lainnya Saat ini BATAN sedang mengeksplorasi kerja sama dengan Universitas Padjadjaran Universitas Gadjah Mada Lembaga Ilmu Pengetahuan Indonesia Institut Teknologi Bandung ITB Balai Besar Penelitian Veteriner Bogor dan Kementerian Kesehatan untuk kegiatan penelitian dan pengembangan yang membutuhkan fasilitas pemeliharaan dan penelitian terkait riset biomedis memanfaatkan teknologi nuklir BATAN Tsing University lakukan penelitian laboratorium bersama BATAN koordinator tiga program prioritas riset nasional Pewarta Martha Herlinawati SEditor Maryati 
Kapolri perintahkan penyemprotan disinfektan serentak pada Selasa, Jakarta Kapolri Jenderal Polisi Idham Azis memerintahkan kepada seluruh kasatker kasatwil dan jajaran Polri untuk melaksanakan penyemprotan disinfektan secara serentak dan masif pada Selasa pukul WIB Perintah tersebut tertuang dalam Surat Telegram Nomor ST III KES tertanggal Maret yang ditandatangani oleh Wakapolri Komjen Pol Gatot Eddy Pramono mewakili Kapolri Surat telegram ini terbit dalam rangka mendukung keselamatan masyarakat sehingga diperlukan gerakan preventif secara masif dan serentak untuk meminimalisasi penyebaran Coronavirus Disease COVID Dalam rangka mendukung keselamatan masyarakat diperlukan gerakan preventif secara masif dan serentak untuk meminimalisasi tingkat penyebaran COVID kata Komjen Pol Gatot melalui siaran pers Ahad Langkah ini menindaklanjuti Maklumat Kapolri tentang Kepatuhan terhadap Kebijakan Pemerintah dalam Penanganan Penyebaran Virus Corona COVID dan Telegram Kapolri bernomor ST III KEP tentang Antisipasi Perkembangan Pandemik Virus Corona Penyemprotan disinfektan memanfaatkan kendaraan dinas Polri atau kendaraan dinas instansi lain seperti kendaraan watercanon mobil pemadam kebakaran dan mobil KBR kimia biologi radioaktif sebagai sarana untuk melakukan penyemprotan Terkait titik yang akan dilakukan penyemprotan para kasatwil diminta untuk berkoordinasi dengan jajaran TNI dan pemangku kepentingan setempat Gatot juga mengingatkan agar semua pihak tetap mengutamakan keselamatan diri dan keselamatan umum Pewarta Anita Permata DewiEditor D Dj Kliwantoro 
Bapeten terbitkan Protokol Keamanan Zat Radioaktif, Protokol Keamanan Zat Radioaktif diterbitkan untuk mencegah terulangnya insiden yang melibatkan zat radioaktif di Perumahan Batan Indah Jakarta Badan Pengawas Tenaga Nuklir Bapeten menerbitkan Protokol Keamanan Nomor K III tentang Protokol Keamanan Zat Radioaktif dengan tujuan menumbuhkan budaya keamanan di pemegang izin pemanfaatan ketenaganukliran dan memastikan penggunaan zat radioaktif sesuai dengan ketentuan peraturan perundang undangan Setiap pelanggaran terhadap ketentuan Peraturan Perundang undangan Ketenaganukliran akan dilakukan tindakan penegakan hukum secara tegas dan Bapeten memberikan dukungan penuh terhadap pihak kepolisian untuk mengungkap kasus yang terjadi di Perumahan Batan Indah kata Kepala Biro Hukum Kerja Sama dan Komunikasi Publik Bapeten Indra Gunawan dalam keterangan tertulis yang diterima Jakarta Selasa Protokol Keamanan Zat Radioaktif diterbitkan dalam rangka mencegah terulangnya insiden yang melibatkan zat radioaktif di Perumahan Batan Indah di masa mendatang Protokol itu juga dikeluarkan dalam rangka mengantisipasi potensi pelanggaran ketentuan keamanan zat radioaktif berupa akses tidak sah perusakan kehilangan pencurian dan atau pemindahan tidak sah sumber radioaktif yang dapat membahayakan pekerja masyarakat dan lingkungan Protokol Keamanan Zat Radioaktif juga ditujukan untuk menjaga keselamatan dan keamanan pekerja masyarakat dan lingkungan Dalam surat edaran itu para pemergang izin pemanfaatan ketenaganukliran wajib memperhatikan dan melaksanakan enam poin yakni pertama memeriksa secara berkala dan sewaktu waktu terhadap kesesuaian inventaris zat radioaktif antara pembukuan dan di lokasi pemanfaatan untuk seluruh kegiatan termasuk selama pengangkutan Kedua melaporkan secara lisan dalam waktu x jam setelah mengetahui ketidaksesuaian inventaris zat radioaktif berkurang atau bertambah kepada Bapeten untuk perbaikan proses perizinan Ketiga memperkuat sistem keamanan zat radioaktif sesuai dengan peraturan perundang undangan yang berlaku misalnya pemenuhan jumlah dan kualifikasi sumber daya manusia pengembangan dan revisi standar operasional prosedur dan penambahan peralatan keamanan Keempat menyampaikan kepada Bapeten setiap upaya penguatan sistem keamanan zat radioaktif Kelima dalam hal menggunakan jasa pihak ketiga dalam kegiatan terkait ketenaganukliran agar memastikan ketaatan hukum pihak ketiga dan bahwa pengunaan jasa pihak lain ini tidak mengalihkan tanggung jawab hukum bagi pemegang izin Keenam menyampaikan bahwa setiap pelanggaran terhadap persyaratan keamanan zat radioaktif dikenakan sanksi sesuai dengan peraturam perundang undangan yang berlaku Bapeten telah menemukan zat radioaktif di lahan kosong di Perumahan Batan Indah Kecamatan Setu Tangerang Selatan yang mengakibatkan adanya kontaminasi pada tanah dan vegetasi di lahan tersebut Untuk itu tim gabungan Badan Tenaga Nuklir Nasional Batan dan Bapeten melakukan dekontaminasi melalui proses pembersihan atau clean up berupa pengerukan tanah maupun penebangan vegetasi yang terkontaminasi Proses clean up di area terkontaminasi zat radioaktif di Perumahan Batan Indah telah dilakukan selama kurang lebih hari dan telah mendekati tahap akhir dengan upaya terakhir melakukan remediasi dengan cara pengurukan dan pembetonan Data nilai paparan radiasi terukur per Maret sekitar mikroSievert per jam di area itu Setelah proses remediasi selesai dilaksanakan dan hasil pengukuran menunjukkan bahwa paparan radiasi sudah kembali mencapai nilai normal maka Bapeten akan menyatakan bahwa lahan tersebut telah dapat digunakan kembali oleh masyarakat untuk beraktivitas sebagaimana sebelumnya 
Polda Riau kerahkan jajarannya semprot disinfektan di area publik, Jakarta Polda Riau mengerahkan anggotanya untuk melakukan sterilisasi dengan cara menyemprotkan disinfektan di sejumlah area publik pusat keramaian dan perkantoran di seluruh kabupaten kota se Provinsi Riau Penyemprotan disinfektan ini dilakukan bersama para personel tim Gugus Tugas Penanganan Corona Virus Disease COVID Riau kata Kapolda Riau Irjen Pol Agung Setya saat dihubungi di Jakarta Sabtu Upaya ini dilakukan dalam rangka melaksanakan operasi kontingensi Aman Nusa II untuk menangani penyebaran COVID Polda Riau melakukan langkah konkret di lapangan dengan menyiapkan petugas yang sudah dilatih teknik penyemprotan disinfektan untuk menangani penyebaran COVID Menyiapkan mobil KBR kimia biologi dan radioaktif untuk menangani itu Sterilisasi juga dilakukan di pasar pasar pelabuhan bandar udara dan sekolah sekolah Selain itu pihaknya mengecek ketersediaan stok hand sanitizer di sejumlah perkantoran di Riau Kalau ada kantor yang tidak menyiapkan hand sanitizer kami minta untuk menyediakannya sebagai upaya pencegahan kata Kapolda Untuk meningkatkan kesadaran masyarakat terhadap keberadaan COVID Agung menyebut anggota polisi di polres dan polsek di Riau dikerahkan untuk mengimbau masyarakat agar mengikuti arahan Pemerintah dalam rangka mencegah penularan virus corona Anggota dari polres polsek Brimob Sabhara Polair dan Lantas diterjunkan untuk mengimbau masyarakat agar tidak panik kemudian mengikuti arahan Pemerintah untuk memutus rantai penyebaran COVID katanya Mantan Direktur Tindak Pidana Ekonomi dan Khusus Bareskrim Polri ini menambahkan bahwa jajarannya telah memberikan imbauan di sejumlah desa pasar pasar dan perkantoran di Riau Polri menggelar operasi kontingensi Aman Nusa II di seluruh polda selama hari ke depan untuk menangani penyebaran COVID yang saat ini tengah merebak di Tanah Air Jumlah pasien yang terinfeksi COVID di Indonesia mencapai orang per Maret Dari jumlah tersebut orang meninggal dunia dan orang dinyatakan sembuh Pewarta Anita Permata DewiEditor D Dj Kliwantoro 
