title,content
Kapolda & Pangdam tinjau Pospol 99 Paniai pasca penyerangan polisi, Kepala Kepolisian Daerah Papua Irjen Pol Paulus Waterpauw bersama Panglima Kodam XVII Cenderawasih Mayjen TNI Herman Asaribab Senin siang meninjau Pospol Paniai dan bertatap muka bersama kepala suku dan tokoh agama setempat Di Pospol itu Jumat malam lalu terjadi penyerangan oleh Orang Tak Dikenal OTK yang menyebabkan seorang polisi kritis dan pucuk senjata mereka rampas Laksa Mahendra Chairul Fajri Sizuka 
"Seorang polisi dianiya, 3 senjata api dirampas di Paniai", Seorang anggota Pospol Paniai Briptu Christian Paliling dianiya sekelompok Orang Tidak Dikenal OTK hingga kritis Para OTK merampas pucuk senjata api milik kepolisian Atas insiden itu Briptu Christian Paliling dievakuasi mengunakan heli ke Nabire Papua guna mendapatkan perawatan tim medis Laksa Mahendra Chairul Fajri Sizuka 
Polisi tembak tersangka perampasan uang ratusan juta di Banda Aceh, Petugas melakukan tindakan tegas terukur melumpuhkan tersangka karena melawan petugas ketika ditangkapBanda Aceh Personel Kepolisian Resor Kota Polresta Banda Aceh menembak seorang tersangka perampasan uang ratusan juta rupiah karena melawan ketika ditangkap Kapolresta Banda Aceh Kombes Trisno Riyanto didampingi Kepala Satuan Reserse Kriminal AKP M Taufiq di Banda Aceh Senin menyebutkan tersangka berinisial HUS alias MI Tersangka ditangkap pada April dini hari Petugas melakukan tindakan tegas terukur melumpuhkan tersangka karena melawan petugas ketika ditangkap Tersangka dibawa ke Rumah Sakit Bhayangkara untuk penanganan medis kata Kombes Trisno Riyanto Selain HUS alias MI polisi juga menangkap MM alias Amar yang ikut melakukan perampasan serta EL istri tersangka HUS alias MI yang mengetahui tindak pidana suaminya serta menikmati hasil kejahatan Penangkapan tersangka perampasan tersebut berawal dari laporan Zulmaidi pedagang di Kecamatan Darul Imarah Aceh Besar Korban melaporkan perampasan uang Rp juta dan sepeda motor miliknya Tersangka HUS pernah bekerja dengan korban Dugaan perampasan terjadi ketika korban dari toko menuju rumah membawa uang hasil penjualan Tiba tiba dua pelaku menghadang korban kata Kombes Trisno Riyanto Korban Zulmaidi sempat memberi perlawanan sehingga seorang pelaku mengalami luka di bagian telinga Namun pelaku berhasil melarikan sepeda motor dan uang ratusan juta rupiah dalam bagasi kendaraan roda dua tersebut Berdasarkan laporan korban sejumlah saksi diperiksa Polisi juga melakukan olah tempat kejadian perkara atau TKP Hasil penyelidikan polisi menangkap tersangka MM alias Amar warga Aceh Besar Dari keterangan tersangka MM polisi menangkap tersangka HUS alias MI bersama El istrinya di sebuah rumah di Kompleks Perumahan Arab Saudi di Gampong Miruk Kecamatan Darussalam Aceh Besar kata Kapolresta pula Bersama tersangka HUS turut diamankan barang bukti uang Rp juta empat unit sepeda motor lima mayam emas telepon genggam serta sejumlah peralatan rumah tangga Kini ketiganya diamankan di sel tahanan Polresta Banda Aceh Tersangka HUS dan MM dijerat Pasal KUHP dengan ancaman hukuman tahun penjara Sedangkan EL dijerat Pasal KUHP dengan ancaman hukuman empat tahun penjara kata Kombes Trisno Riyanto 
Polisi tangkap komplotan pelaku gendam di Palangka Raya, Palangka Raya Kepolisian Sektor Pahandut Kota Palangka Raya Kalimantan Tengah meringkus tiga pelaku gendam yang beraksi di kawasan pasar tradisional di kota tersebut Dari tangan pelaku kami menyita dua unit sepeda motor merk Yamaha Mio dengan nomor polisi GT KH WE Honda Revo bernopol DA JK untuk sarana mereka beraksi Kemudian barang bukti satu unit hp dan vape hasil mereka rampas dari tangan korbannya kata Kapolsek Pahandut Kompol Edia Sutaata di Palangka Raya Jumat Ketiga pelaku yaitu berinisial A warga Kota Pontianak Kalimantan Barat B warga Kotawaringin Timur Kalteng dan C warga Kutai Kartanegara Kalimantan Timur kini mendekam di sel Mapolsek Pahandut untuk mempertanggungjawabkan perbuatannya Menurut Edia penangkapan para pelaku gendam tersebut berawal dari laporan korban Awalnya pada Kamis sekitar pukul WIB tiga pelaku ini mendatangi korban yang sedang mengantarkan ibu tirinya ke pasar malam di Palangka Raya Saat korban berada di dalam mobil menunggu sang ibu tidak lama kemudian datang salah satu pelaku dan menepuk pundak korban sebanyak tiga kali Pelaku mengajak mengobrol serta menanyakan alamat korban Setelah tidak lama mengobrol satu pelaku lain juga datang dan mengajak korban untuk turun dari dalam mobil Saat itu korban diduga sudah terkena gendam atau hipnotis sehingga menuruti permintaan pelaku Pelaku membawa korban ke sebuah gang tidak jauh dari lokasi Pelaku berdalih menawarkan sebuah batu yang dibungkus dalam kain batik Saat itu para pelaku langsung beraksi dan meminta semua barang yang ada di badan korban baik itu uang tunai dan barang berharga untuk diserahkan kepada mereka setelah itu korban ditingalkan begitu saja kata dia Setelah korban sadar bahwa dirinya terkena gendam oleh para pelaku dia langsung melaporkan kejadian tersebut ke Polsek Pahandut Setelah melaporkan kejadian itu Resmob Polsek Pahandut langsung menyisir lokasi tersebut Tidak lama kemudian ketiga pelaku berhasil ditangkap petugas di tiga lokasi yang berbeda Polisi menangkap pelaku di Jalan Darmosugondo Jalan Seth Adji dan Jalan Meranti Kelurahan Panarung Kota Palangka Raya Tiga pelaku ini kami jerat dengan Pasal KUHP yang ancaman hukumannya di atas lima tahun penjara kata Edia Pewarta Kasriadi Adi WibowoEditor M Arief Iskandar 
Pejabat Jerman tuding AS rebut pesanan 200 ribu masker miliknya, Kami menganggap ini sebagai tindakan pembajakan modern Berlin Pejabat senior Jerman menuding pemerintahan Donald Trump melakukan pembajakan modern setelah hampir masker wajah yang dipesan oleh Jerman direbut oleh otoritas AS Menteri Dalam Negeri Negara Bagian Berlin Andreas Geisel mengonfirmasi laporan media bahwa sekitar masker FFP yang dibeli untuk Kepolisian Berlin disita di bandara Ibu Kota Bangkok Thailand menyusul campur tangan otoritas AS Kami menganggap ini sebagai tindakan pembajakan modern katanya melalui pernyataan tertulis yang menekankan bahwa tindakan sesama mitra transatlantik semacam itu tak dapat diterima Bahkan saat terjadi krisis global seharusnya tidak ada cara liar Saya meminta pemerintah federal Jerman mendesak AS agar menghormati aturan internasional tambahnya Menurut lembaga penyiar Jerman RBB Berlin telah membeli masker dari perusahaan AS M yang beroperasi di China Pengiriman tujuan Jerman dihentikan di bandara Bangkok menyusul intervensi otoritas Amerika dan dialihkan ke AS seperti dilansir media Pemerintahan Trump dituding secara gegabah mengejar kebijakan semua orang untuk dirinya terhadap peralatan yang dibutuhkan untuk menangani pandemi Penyebaran cepat virus corona menyebabkan dunia mengelola penjualan masker wajah saat banyak negara menghadapi krisis alat tersebut Jerman berada di urutan ketiga yang mengalami dampak paling parah virus corona di Eropa setelah Italia dan Spanyol Hingga Jumat tercatat kematian di Jerman dengan jumlah kasus lebih dari Data yang dihimpun oleh Johns Hopkins University yang berbasis di AS menunjukkan infeksi di seluruh dunia telah menembus angka juta lebih dengan kematian lebih dari Sementara lebih pasien corona dinyatakan sembuh Sumber Anadolu 
OJK minta kreditur tidak gunakan debt collector dampak COVID-19, Kami imbau sementara jangan gunakan debt collector berhenti duluJakarta Otoritas Jasa Keuangan OJK meminta kreditur atau lembaga keuangan yang memberikan pinjaman untuk tidak menggunakan debt collector atau penagih utang kepada debitur yang saat ini cicilannya terganggu karena terdampak COVID Kami imbau sementara jangan gunakan debt collector berhenti dulu kata Ketua Dewan Komisioner OJK Wimboh Santoso dalam konferensi video di Jakarta Rabu Ia meminta agar kreditur memanfaatkan teknologi digital untuk menjalankan proses restrukturisasi atau kesepakatan antara pemberi pinjaman dan penerima pinjaman Dia melanjutkan teknologi tersebut sudah disiapkan oleh kreditur sehingga komunikasi bisa dilakukan secara digital kepada debitur tanpa perlu bertemu secara fisik Kalau dilakukan dengan konfirmasi dokumen silahkan dikirim online ini dilakukan bagaimana untuk memberikan ruang kepada peminjam dan memberikan ruang lebih leluasa bagi perbankan dan lembaga pembiayaan katanya Lebih lanjut Wimboh mengatakan bahwa pembayaran kredit untuk UMKM kredit usaha rakyat KUR hingga debitur pengemudi ojek daring termasuk pekerja sektor informal sementara ini bisa ditangguhkan penagihannya selama satu tahun Bahkan kata dia mereka bisa diberikan keringanan pembayaran pokok atau bunga dari kredit Ini penting karena faktanya usaha mereka tidak ada pendapatan lagi dan dalam skema restrukturisasi itu bisa menjadi lancar imbuh Wimboh Pewarta Dewa Ketut Sudiarta WigunaEditor Ahmad Wijaya 
Polisi tangkap dua orang bawa lima kilogram sabu-sabu di Bengkalis, Bengkalis Jajaran Kepolisian Sektor Polsek Bengkalis Provinsi Riau berhasil mengamankan dua orang yang diduga sebagai kurir beserta barang bukti narkotika jenis sabu sabu sebanyak lima kilogram Kapolres Bengkalis AKBP Sigit Adiwuryanto melalui Kapolsek Bengkalis AKP Maitertika di Bengkalis Rabu mengatakan kedua tersangka tersebut diringkus di Jalan Panglima Minal Gang Syahbandar II Pelabuhan BUMD Desa Air Putih Kecamatan Bengkalis Kabupaten Bengkalis pada Selasa Dua tersangka yang diamankan YH bekerja sebagai sopir mobil tangki air bersih PDAM Bengkalis dan In Keduanya tertangkap tangan membawa barang haram sebanyak kg untuk diseberangkan ke Sungai Pakning Kecamatan Bukitbatu ujar Kapolsek Dijelaskan Kapolsek terungkapnya kasus ini setelah petugas melakukan penyelidikan di Pelabuhan BUMD dan melihat dua orang tersangka ini sedang menaiki sepeda motor membawa tas dan dengan gelagat yang mencurigakan Pengungkapan berawal dari informasi masyarakat yang mengaku resah di pelabuhan tersebut sering terjadi transaksi narkoba kata Kapolsek Setelah diberhentikan polisi melakukan penggeledahan dan sempat disaksikan oleh seorang pegawai Dishub yang sedang melintas Ternyata isi dalam tas milik tersangka itu adalah diduga sabu sabu Kemudian dua orang tersangka ini berikut barang bukti diamankan ke Polsek Bengkalis guna pengembangan serta penyelidikan lebih lanjut Tersangka mengaku barang bukti sabu sabu itu akan dibawa menyeberang ke Sungai Pakning dan milik A yang kini masih buron Selain bukti diduga sabu sabu petugas juga mengamankan satu unit sepeda motor yang digunakan tiga unit ponsel serta uang tunai Rp ribu kata Kapolsek Sementara itu Direktur Perusahaan Umum Daerah Perumda Air Minum Tirta Terubuk Kabupaten Bengkalis Jufrizal SE melalui Kepala Bagian Kabag Hubungan Langganan Hubla Mulyadi membenarkan bahwa inisial YH merupakan pekerja lepas mengemudikan mobil tangki milik Perumda Air Minum Tirta Terubuk Kabupaten Bengkalis YH bukan pegawai PDAM ia hanya diperbantukan mengemudikan mobil tangki saat ada pesanan air bersih kata Mulyadi 
Dandem 172: TMMD tetap dilaksanakan di Arso Timur, Jayapura Komandan Korem PWY Kolonel Infantri Binsar Sianipar menegaskan pelaksanaan TMMD tetap dilaksanakan di Kampung Kibay Arso Timur Kabupaten Keerom Papua Tidak ada perubahan walaupun anggota Kodim Jayapura dihadang dan ditembaki sepulangnya mengantar logistik untuk membangun gereja dalam rangka TMMD hingga menyebabkan dua anggota terluka TMMD dijadwalkan mulai berlangsung Senin kata Sianipar kepada Minggu Diakui penghadangan disertai penembakan sudah dua kali dilakukan kelompok sipil bersenjata di lokasi yang sama Bahkan saat penghadangan pertama akhir Desember lalu menyebabkan satu anggota Yonif ST meninggal akibat luka tembak kata Sianipar seraya menambahkan dalam kasus penghadangan kedua yang menyebabkan kaca depan truk militer pecah juga mengakibatkan dua personil terluka akibat terkena serpihan peluru Dalam kontak senjata itu sempat terjadi perlawanan karena anggota Satuan Tugas Pengamanan Perbatasan Negara yang berada di wilayah itu langsung datang membantu personil Kodim Jayapura Dari kontak tembak itu personel TNI AD mengambil satu pucuk senjata api jenis double loop dan dua parang Sedangkan kelompok sipil bersenjata yang diduga dipimpin Jefri Pegawak melarikan diri ke perbatasan RI PNG kata Sianipar Pewarta EvarukdijatiEditor Ade P Marboen 
Mantan simpatisan OPM serahkan senpi kepada prajurit TNI, Kota Jayapura Mantan simpatisan kelompok TPN OPM berinisial YK warga Kampung Toray Distrik Sota Kabupaten Merauke menyerah senjata api senpi jenis CIS dan dua butir amunisi kaliber kepada Satgas Pamtas RI PNG Yonif MR PDW Kostrad di Pos Toray Demikian keterangan tertulis yang diterima di Kota Jayapura Papua Rabu dari Dansatgas Pamtas RI PNG Yonif MR PDW Kostrad Mayor Inf Rizky Aditya melalui Pendam XVII Cenderawasih Menurut rilis itu usai acara KKR yang dilaksanakan oleh Satgas Yonif MR PDW Kostrad di Kampung Sipias pada warga Kampung Toray berinisial YK menyampaikan kepada anak piara atau anak angkatnya yakni Praka Andri E Ginting anggota Pos Toray bahwa dia memiliki senjata api yang disimpannya di hutan Berdasarkan informasi tersebut kemudian ditindaklanjuti oleh Danpos Toray yang memberikan perintah kepada personelnya untuk lebih giat lagi dalam melaksanakan kegiatan teritorial dan merebut hati rakyat khususnya kepada warga yang memiliki senjata tersebut Tepatnya pada Sabtu pukul WIT telah datang ke Pos Toray warga Kampung Toray bernisial YK yang secara sukarela menyerahkan satu pucuk senpi jenis CIS dan butir amunisi kaliber dan diterima secara langsung oleh Danpos Toray Letda Inf Wesly Baslius Tanaem katanya YK mengaku merupakan mantan simpatisan TPN OPM sedangkan senpi tersebut adalah pemberian dari saudaranya berinisial APG warga Kampung Toray yang telah meninggal dunia Saat penyerahan senjata yang bersangkutan mengatakan bahwa kedekatan anggota Pos Toray dengan warga Kampung Toray terkhusus dirinya sangat berbeda dengan Satgas satgas sebelumnya sehingga membuatnya simpati dan berkeinginan menyerahkan senjata api tersebut katanya Senjata api jenis CIS dan butir amunisi kaliber telah dilaporkan dan akan segera diserahkan ke Kolaksops Korem ATW Secara terpisah Wakapendam XVII Cenderawasih Letkol Inf Dax mengatakan bahwa penyerahan senpi oleh warga kepada prajurit TNI merupakan bagian dari pendekatan yang baik Tentunya kami imbau agar warga yang masih memiliki senjata api secara ilegal harus menyerahkan kepada aparat keamanan karena jika memiliki atau menguasai bisa kena hukuman sebagai undang undang yang berlaku katanya Pewarta Alfian RumagitEditor Yuniardi Ferdinand 
"Warga Mewuluk, Papua, rampas senjata api SS 1 milik TNI AD", Memang benar ada laporan senjata api dirampas warga dari anggota yang nantinya akan bertugas di Koramil persiapan Mewuluk Jayapura Warga Mewuluk Kabupaten Puncak Jaya Puja Papua Jumat sekitar pukul WIT merampas senjata organik milik TNI AD jenis SS yang dibawa anggota satgas apter yang sedang membangun Koramil persiapan Memang benar ada laporan senjata api dirampas warga dari anggota yang nantinya akan bertugas di Koramil persiapan Mewuluk kata Kapendam XVII Cenderawasih Kol CPL Eko Daryanto kepada Jumat malam Dikatakan dari laporan yang diterima perampasan itu terjadi saat anggota sedang mengangkat barang untuk koramil persiapan Mewuluk namun tiba tiba senjatanya dirampas dan dibawa lari Ketika ditanya apakah warga yang merampas adalah anggota kelompok kriminal bersenjata KKB Eko mengaku belum dapat memastikan Belum dapat dipastikan yang mengambil apakah tergabung dalam KKB atau hanya simpatisan Namun Bupati Puncak Jaya sudah menyatakan akan berupaya membantu mengembalikan senjata api tersebut ujar Kol CPL Eko seraya berharap senjata api dapat segera dikembalikan karena itu milik TNI AD Mudah mudahan upaya yang dilakukan Bupati Puncak Jaya dapat segera terealisasi sehingga senjata api tersebut kembali ucap Kol CPL Eko Daryanto berharap 
