title,content
Tips hindari pencurian dengan modus pecah kaca mobil, Jakarta Polda Metro Jaya memberikan tips untuk mengantisipasi pencurian dengan modus memecahkan kaca untuk mengincar barang berharga di dalam mobil Di manapun kendaraan diparkir Anda harus tetap selalu waspada kata Kepala Bidang Humas Polda Metro Jaya Komisaris Besar Polisi Yusri Yunus dalam keterangan tertulis Rabu Polda Metro Jaya punya lima tips yang bisa dilakukan agar terhindar dari pencurian modus pecah kaca mobil Parkir di tempat aman Saat parkir di tempat umum sebaiknya mobil diparkirkan di tempat yang cukup ramai dan mudah dipantau oleh pemilik mobil Memang sebaiknya hindari parkir di tempat yang jauh dari keramaian atau sepi Khusus di malam hari hindari parkir di tempat gelap Jangan menutup kaca secara penuh saat parkir Hal ini dilakukan untuk mengantisipasi tindak kejahatan pencurian yang tidak diinginkan Misalnya parkir di siang hari kaca mobil harus dibuka paling tidak cm sebagai jalur sirkulasi udara Dengan begitu pelaku pencurian pecah kaca mobil diyakini akan kesulitan memecahkan kaca dengan pecahan busi Pasang alarm mobil Sangat penting untuk pasang alat pengaman seperti sensor tambahan alarm ganda atau electrical cut off Hal ini perlu dilakukan untuk mobil yang belum disematkan fitur Immobilizer dalam mencegah mobil dibawa kabur juga oleh para pelaku kejahatan Pakai kaca film Cara lain mencegah pencurian modus pecah kaca mobil adalah memasang kaca film Seperti diketahui persen bagian dari mobil merupakan kaca mobil Untuk itu disarankan bagi para pemilik mobil untuk memilih kaca film yang sulit terlihat dari luar namun tidak mengganggu visibilitas Simpan barang di tempat aman Untuk menjamin keamanan barang di dalam mobil Anda bisa menyimpan barang berharga di tempat tertutup dalam mobil Manfaatkan kompartemen tertutup seperti glove box laci atau bagasi serta juga bisa manfaatkan tray penutup di bagasi bagi pemilik mobil SUV Sport Utility Vehicle atau hatchback Jika tidak tersedia tempat atau kompartemen tertutup yang memadai barang berharga bisa disimpan di kolong jok mobil atau ditutupi dengan benda gelap agar dari luar mobil terlihat samar Seperti diketahui ada dua kasus pencurian dengan modus memecahkan kaca mobil yang menyita perhatian publik dalam dua hari terakhir Yang pertama ada peristiwa pencurian yang dialami oleh dokter muda dan influencer dr Tirta Mandira Hudhi atau akrab disapa dr Tirta pada Senin malam Pencurian dengan memecahkan kaca mobil tersebut terjadi di Jalan Artowijoyo Kencana Loka Blok B Nomor BSD City Serpong Tangerang Selatan Kejadian ini dibagikan Tirta dalam akun Instagram resminya dr tirta Tirta telah melaporkan kejadian tersebut ke Polda Metro Jaya dengan nomor laporan LP V YAN SPKT PMJ Tanggal Mei Tangkap layar rekaman kamera CCTV perampokan dengan modus pecah kaca yang berupaya merampok seorang pengusaha wanita berinisial IR di Jalan Raya Muchtar Bojongsari Kota Depok pada Selasa pagi Polda Metro Jaya Sedangkan kasus kedua adalah perampokan terhadap seorang pengusaha wanita berinisial IR di Jalan Raya Muchtar Bojongsari Kota Depok Jawa Barat Selasa pagi Peristiwa perampokan yang viral di media sosial itu berawal ketika korban baru mengambil uang sejumlah Rp juta di salah satu bank di Bojongsari pada Selasa pagi sekitar pukul WIB Kemudian di Jalan Raya Muhtar RT Bojong Sari Kota Depok di seberang McDonald Bojong Sari sekitar pukul WIB mobil korban dipepet oleh empat laki laki tidak dikenal yang kemudian memecahkan kaca belakang kanan mobil korban Selanjutnya pelaku menodongkan senjata tajam jenis badik dan merampas tas korban yang berisi uang sejumlah Rp juta Meski pelaku mengacungkan senjata tajam dan berhasil membawa uang korban sopir korban tetap nekat dan mengejar pelaku Warga setempat yang melihat kejadian itu akhirnya ikut mengejar dan mengeroyok pelaku Akibat perlawanan sopir korban dan warga pelaku terjatuh sehingga uang korban di dalam tas berserakan di jalan Pelaku akhirnya kabur tanpa membawa uang korban Pewarta Fianda Sjofjan RassatEditor Sri Muryono 
Polda Riau lumpuhkan komplotan bandit rampok lintas provinsi, tersangka selalu membawa senjata tajam bahkan tidak segan melukai korbannyaPekanbaru Direktorat Reserse Kriminal Umum Polda Riau melumpuhkan tiga bandit rampok sadis anggota komplotan penjahat yang telah beraksi di sejumlah provinsi seperti Sumatera Utara Sumatera Barat Riau hingga Kalimantan Kepala Bidang Humas Polda Riau Kombes Sunarto di Pekanbaru Kamis mengatakan tiga bandit rampok yang ditangkap di Riau dan Sumatera Utara itu masing masing berinisial HMP HKS dan MWM Pada saat melakukan aksinya tersangka selalu membawa senjata tajam bahkan tidak segan melukai korbannya kata Sunarto Direktur Reserse Kriminal Umum Polda Riau Kombes Zaim Dwi Nugroho mengatakan tersangka pertama yang berhasil ditangkap adalah HMP Dia dibekuk di Tapanuli Tengah Sumatera Utara pada medio April kemarin HMP diketahui merupakan residivis kasus yang sama dan belum lama menghirup udara bebas Dari penangkapan HMP polisi langsung melakukan pengembangan dan berhasil menangkap dua pelaku lainnya HKS dan MWM di Kota Pekanbaru Ketiganya terpaksa dihadiahi timah panas pada bagian kaki karena mencoba melawan petugas saat akan dilakukan penangkapan Zain menjelaskan bahwa para tersangka tercatat memiliki catatan yang cukup banyak dalam sindikat perampokan di Tanah Air Sindikat yang dipimpin oleh HMP residivis kasus perampokan brankas di Medan pada dan sempat ditahan di Lapas Medan pernah pula beraksi di Kota Banjarmasin Dalam aksinya itu mereka menggondol brankas berisi duit Rp juta Lalu tersangka bersama sindikatnya juga beraksi di Padang Sumatera Barat Kota Pekanbaru Riau dan Medan Sumatera Utara Sasaran mereka adalah perusahaan perusahaan yang berada di jalan lintas dengan kondisi sepi ujarnya pula Dalam pengungkapan itu polisi turut menyita sejumlah barang bukti seperti mobil minibus linggis gergaji parang alat bor dan lainnya Polisi masih terus mengembangkan kasus ini untuk menangkap para pelaku komplotan lainnya yang telah dimasukkan dalam daftar pencarian orang Para tersangka yang ditangkap ini dijerat dengan Pasal KUHP dengan ancaman hukuman sembilan tahun penjara Kemudian ada beberapa pelaku yang belum tertangkap masih dilakukan pengejaran dan dimasukkan dalam Daftar Pencarian Orang DPO katanya pula 
Polisi Inhu Riau kejar perampok bersenpi gasak Rp100 juta, Indragiri Hulu Jajaran Kepolisian Resor Indragiri Hulu Inhu Riau mengejar kawanan perampok bersenjata api yang menggasak uang sekitar Rp juta di sebuah pergudangan pada Rabu malam Kepala Polres Indragiri Hulu AKBP Efrizal di Rengat Kamis mengatakan pihaknya juga mendalami kejadian tersebut dan menggali informasi dari karyawan gudang Indomarco di Jalan Lintas Timur yang sempat diikat dan dibekap mulutnya Para perampok itu menggunakan mobil minibus untuk beraksi pada malam hari sekitar pukul WIB itu Usai merampok mereka kabur ke arah Kota Pekanbaru Efrizal menuturkan selain membawa uang seratusan juta rupiah perampok yang berjumlah lebih dari dua orang itu turut membawa tiga handphone dan mengikat pemilik gudang setelah ditodong dengan senjata api Kawanan rampok masuk dengan cara mendobrak pintu gudang Indomarco di lantai dasar Setelah berhasil masuk mereka langsung menodongkan senjata api kepada karyawan yang ada Tanpa ada perlawanan karena takut diancam tiga orang pegawai yang ada diikat perampok Mereka mengancam akan menembak mati karyawan yang lagi bertugas jika melawan Ketiga korban yakni Ramadhan Romi dan Frengki Usai kejadian itu para korban melepaskan diri dari ikatan dan meminta tolong kepada warga sekitar hingga akhirnya aparat polisi datang ke lokasi kejadian Lebih lanjut Kapolres mengimbau kepada masyarakat atau pemilik usaha untuk lebih hati hati dalam kondisi ekonomi sulit seperti saat ini akibat dampak pandemi COVID Mari tingkatkan kewaspadaan dan jaga keamanan lingkungan untuk mengurangi tindak kejahatan katanya Pewarta AsripilyadiEditor Kunto Wibisono 
Polisi selidiki pelaku perampokan bersenjata api di Bali, Tim sementara sedang turun dan ciri ciri fisik pelaku sudah dikenali untuk didalamiDenpasar Polresta Denpasar sedang menyelidiki seorang pelaku perampokan atau pencurian menggunakan senjata api yang terjadi di sebuah swalayan di Sunset Road Seminyak Kuta Kabupaten Badung Bali Saat ini tim sementara sedang turun dan ciri ciri fisik pelaku sudah dikenali untuk didalami karena ada beberapa lokasi dengan kasus serupa yang menurut masyarakat juga ciri fisik yang sama dengan pelaku Mudah mudahan hasil pengembangan kami dalam waktu dekat bisa ditindaklanjuti kata Kapolresta Denpasar AKBP Jansen Avitus Panjaitan saat dikonfirmasi di Polresta Denpasar Kamis Ia mengatakan bahwa pihak kepolisian juga sedang memastikan pelaku merupakan residivis atau bukan Dari keterangan masyarakat terkait ciri fisik sama dengan pelaku juga pernah melakukan di tempat yang lain yang juga dilihat oleh saksi mata di wilayah Kuta ujarnya pula Selain itu pihaknya juga akan memastikan senjata api yang digunakan pelaku asli atau mainan Kita belum bisa memastikan asli atau tidak karena itu senjatanya kan ditutup pake semacam sapu tangan gitu ujarnya lagi Sebelumnya pada Rabu sekitar pukul WITA terekam pada kamera CCTV ada seorang pria yang tidak dikenal dengan ciri ciri perawakan tinggi besar dan menggunakan jaket sweater warna abu abu sudah agak luntur celana jin biru helm warna hitam kaca diturunkan kemudian menodongkan senjata api ke arah kasir swalayan tersebut Ia menjelaskan saat itu kasir di swalayan itu sendirian Selanjutnya karena kasir tersebut merasa takut saat pelaku menodongkan senjata maka pelaku langsung mengambil semua uang yang ada di dalam laci kasir tersebut dan setelah itu pelaku langsung pergi Adapun barang yang diambil adalah uang tunai sebesar Rp Pewarta Ayu Khania PranishitaEditor Budisantoso Budiman 
Kawanan perampok di minimarket Pamijahan Bogor masih berkeliaran, Belum kalau udah ketangkep pasti sudah diinfoinPamijahan Bogor Kapolsek Cibungbulang Polres Bogor Kompol Ade Yusuf menyatakan bahwa kawanan perampok yang beraksi di minimarket Desa Pasarean Kecamatan Pamijahan Kabupaten Bogor Jawa Barat pada Selasa malam masih berkeliaran Belum kalau udah ketangkep pasti sudah diinfoin ujarnya ketika dihubungi Rabu siang Meski begitu pihaknya sudah melakukan pemeriksaan terhadap saksi saksi yang ada di tempat kejadian perkara TKP saat peristiwa perampokan berlangsung Sudah diperiksa saksi saki yang ada di ruangan itu kita periksa udah Ada empat saksi kata mantan Kapolsek Kemang Polres Bogor itu pula Menurutnya pencurian dengan kekerasan itu terjadi sekitar pukul WIB dengan jumlah pelaku yang diperkirakan sebanyak empat orang Saat itu kepala minimarket Dimas Setyadi dan Rita yang bertugas sebagai kasir tengah membuat laporan keuangan jelang tutup toko dengan kondisi pintu sedikit terbuka Kemudian datang para pelaku dengan menodongkan senjata tajam sejenis parang kepada Rita Pelaku langsung mengambil paksa uang yang berada di dalam laci meja kasir Kemudian memaksa Dimas dan Rita untuk membuka kunci brankas yang terletak di ruangan kantor di dalam toko Selain mengambil uang para pelaku juga menggasak beberapa slop rokok Kerugian materi mencapai Rp juta Tak ada korban jiwa dalam kejadian tersebut Namun korban syok ujarnya pula Pewarta M Fikri SetiawanEditor Budisantoso Budiman 
Kelompok Wetonan terlibat perampokan toko emas di Pasar Kemiri, Jakarta Perampok toko emas di Pasar Kemiri Kembangan Jakarta Barat merupakan penjahat sadis yang menamakan diri kelompok Wetonan Para pelaku menamakan kelompok Wetonan dan telah berapa kali lakukan perampokan di beberapa tempat lintas provinsi ujar Kabid Humas Polda Metro Jaya Kombes Polisi Yusri Yunus di Jakarta Senin Para pelaku yang terlibat kasus perampokan toko emas di Pasar Kemiri beranggota lima orang Fakta itu berdasarkan pantauan CCTV yang didapatkan Tersangka yang diringkus yakni T alias D AH alias Riski ADA AA dan P Satu tersangka berinisial T alias D adalah kaptennya sekaligus eksekutor dan pengatur dari segala bentuk kejahatan dan perampokan kelompok ini Kenapa Wetonan Karena ini kepercayaan mereka Misal mereka akan lakukan kejahatan setiap tanggal inilah yang dipelajari Reserse Jakbar jadi sifatnya seperti ajaran kejawen ujar Yusri Yusri mengatakan ada keterlibatan mereka dengan sejumlah kasus perampokan lintas provinsi Yang pertama di Banjarmasin Kalimantan Selatan pada Pada Desember kelompok ini melakukan perampokan Toko Emas Eropa di Kemayoran Jakarta Pusat menggunakan senjata api rakitan Korban mengalami kerugian emas senilai Rp Selanjutnya April kelompok iniini melakukan perampokan Toko Emas Pelita di Kembangan Jakarta Barat menggunakan senjata api rakitan Korban mengalami kerugian emas senilai Rp Setiap selesai lakukan kejahatan mereka harus berangkat ke Jateng dimanapun mereka rampok itu harus masuk Jawa Tengah agar buang sial dan tidak tertangkap ujar Yusri Pada kasus perampokan toko emas terakhir Satuan Reserse Kriminal Polres Metro Jakarta Barat bergerak cepat mengusut kasus dan menelusuri mereka melalui CCTV di sekitar toko Hasilnya pergerakan mereka diketahui di kawasan Sawangan Depok Jawa Barat dan teryangkap pada Minggu Seluruh tersangka terlibat baku tembak dengan petugas saat penangkapan Kemudian T alias D AH alias Riski ADA dilumpuhkan petugas dan tewas saat dilarikan ke RS Polri Kramat Jati Sedangkan dua tersangka lainnya ditembak kaki dan mengalami patah tulang kemudian mendapat pertolongan medis Para tersangka melanggar Pasal KUHPidana dengan ancaman hukuman maksimal sembilan tahun penjara Pewarta Devi Nindy Sari RamadhanEditor Sri Muryono 
Polisi ringkus tiga penjual emas palsu di Solok Selatan, Padang Aro Sumatera Barat Polisi dan warga berhasil meringkus tiga orang yang diduga menipu dengan cara menjual emas palsu di tiga toko emas di Nagari Pasar Muara Labuh Kecamatan Sungai Pagu Kabupaten Solok Selatan Sumatera Barat Sabtu Kepala Polsek Sungai Pagu AKP Harry Putra di Padang Aro Minggu mengatakan adalah warga setempat yang pertama kali menangkap Arif dan Zal di Pasar Muara Labuh setelah mereka menjual emas palsu yang terbuat dari tembaga yang dilapisi emas Penangkapan dua tersangka itu berawal saat mereka ketahuan menjual emas palsu di Toko Emas Nirwana milik Irwan di Pasar Muara Labuh pada sekitar pukul WIB Setelah transaksi jual beli emas senilai Rp juta selesai Irwan melebur emas itu Saat melebur emas Irwan menemukan kejanggalan karena emas yang baru dibeli dari warga Padang itu ternyata palsu Setelah mengetahui emas itu palsu Irwan mengejar mereka yang ternyata masih berada di sekitar tokonya Mereka ditangkap dan diserahkan ke polisi Dalam penangkapan kedua tersangka polisi menyita barang bukti emas palsu itu dan uang hasil penjualan emas Menurut keterangan tersangka kata Putra mereka berjumlah empat orang dengan mengendarai mobil dari Padang Dua orang kabur dan dikejar polisi Setelah dikejar satu tersangka bernama Ade ditangkap di Jorong Bariang Nagari Lubuk Gadang Kecamatan Sangir sekitar pukul WIB Dari penangkapan Ade polisi berhasil menyita uang Rp juta yang diduga hasil penjual emas palsu Satu lagi kini masih buron Kami masih mengembangkan kasus ini ujar Putra Ia menambahkan selain menjual emas di Toko Emas Nirwana para tersangka juga menjual di dua toko emas yakni di Toko Emas Tamzir dengan nilai jual Rp juta dan toko emas milik Dedi berjumlah sepuluh emas dengan nilai Rp juta Semua barang bukti berhasil diamankan Penangkapan ini kita lakukan kurang dari jam ujarnya Atas kejadian tersebut dirinya mengimbau masyarakat agar waspada mengingat dengan mahalnya harga emas saat ini akan dimanfaatkan orang orang tak bertanggung jawab untuk menipu Jangan langsung percaya jika ada orang tak dikenal ingin menjual emas atau apapun dengan alasan terdesak keadaan ujarnya Pewarta Mario Nasution Joko NugrohoEditor Ade P Marboen 
Polisi Jambi tangkap perampok pecah kaca mobil di rumah ibadah, Mereka ke Jambi hanya untuk melakukan perampokan dan setelah berhasil langsung pulang lagi ke Sumatera SelatanJambi Anggota Reskrim Polsek Pasar Jambi menangkap satu dari tiga pelaku perampokan pecah kaca mobil korban dengan kerugian uang sebesar Rp juta yang terjadi di salah satu rumah ibadah di Kota Jambi beberapa waktu lalu Salah satu pelaku bernama Bobi Handoko warga Jalan Juanda RT Kelurahan Simpang III Sipin Kecamatan Kota Baru Jambi diamankan Unit Reskrim Polsek Pasar Jambi kata Kapolsek Pasar AKP Indar Wahyu Dwi Setiawan di Jambi Kamis Pelaku Bobi diamankan Unit Reskrim Polsek Pasar Jambi bersama Reskrim Polresta Jambi setelah nekat melakukan perampokan dengan modus pecah kaca mobil pada Rabu pekan lalu sekitar pukul WIB di Klenteng Siuw San Teng yang berada di kawasan Kampung Manggis Kecamatan Pasar Jambi Saat melakukan perampokan pecah kaca mobil tersebut pelaku beraksi bersama dengan dua rekan lainnya dan saat ini mereka masih diburu polisi serta masuk dalam Daftar Pencarian Orang DPO Dalam kasus ini ada tiga orang pelakunya dalam menjalankan aksinya memiliki peran yang berbeda pelaku Bobi yang kami amankan ini perannya sebagai pengintai situasi dengan menggunakan mobil Toyota Avanza warna silver nomor polisi B USD dan dua pelaku lainnya perannya sebagai pemecah kaca dan mengambil uang korban menggunakan sepeda motor Megapro kata AKP Indar Wahyu Dwi Setiawan Ketiga pelaku tersebut menurutnya bisa dikatakan merupakan jaringan komplotan perampokan pecah kaca mobil antarprovinsi karena dua pelaku lainnya masih DPO itu adalah warga Sumatera Selatan Mereka ke Jambi hanya untuk melakukan perampokan dan setelah berhasil mereka langsung pulang lagi ke Sumatera Selatan Saat melakukan aksinya ketiga pelaku tersebut berhasil membawa uang korban berjumlah Rp juta Uang hasil perampokan tersebut dibagi bertiga oleh pelaku Pelaku Bobi ini mendapatkan jatah bagian uang dari hasil perampokan sebesar Rp juta dan sisanya di bagi dua pelaku yang masih DPO Pengakuan pelaku Bobi mengatakan bahwa dirinya mendapatkan bagian uang berjumlah Rp juta dan uang yang baru digunakan pelaku Rp juta Uang Rp juta saya gunakan untuk biaya keperluan sehari hari katanya pula Pewarta Nanang MairiadiEditor Budisantoso Budiman 
Polres Tarakan ringkus perampok tambak bersenjata rakitan, Polairud bersama warga sekitar berhasil menangkap Yus saat naik speedboat loncat ke parit kata Kapolres Tarakan AKBP Fillol Praja Arthadira di Tarakan Senin Tarakan Jajaran Polairud Polres Tarakan Kalimantan Utara berhasil meringkus Yus seorang tersangka kasus perampokan tambak menggunakan senjata rakitan di kawasan pertambakan Tanjung Tiram Bulungan Senin Polairud bersama warga sekitar berhasil menangkap Yus saat naik speedboat loncat ke parit kata Kapolres Tarakan AKBP Fillol Praja Arthadira di Tarakan Senin Sedangkan tiga orang temannya kabur menggunakan speedboat Ketiganya berinisial Sar Par dan Bas Tersangka Yus adalah warga Kelurahan Karang Rejo Tarakan yang merupakan residivis spesialis perampokan di tambak Kejadiannya pada hari Senin pada pukul WITA saat itu Yus mengetuk pintu pondok korban berinisial Mn dan mengucapkan salam namun korban tidak membukanya kata Fillol Kemudian pintu pondok terbuka karena ditendang dari luar Tersangka Yus bersama Sar Par dan Bas menggunakan topeng dan senjata rakitan laras panjang menodongkannya ke arah Mn lantas menyuruhnya berjongkok Korban dipukul dengan menggunakan senjata rakitan dan benda tumpul Kemudian korban melawan dengan mengambil parang yang ditaruh di dinding pondok kata Kapolres pula Korban Mn kemudian menggunakan parang tersebut untuk melawan pelaku yang memegang senjata laras panjang rakitan Kemudian para tersangka melarikan diri Saat ini tiga tersangka lainnya masuk dalam DPO dan kami masih melakukan pengejaran kata Fillol Pewarta Susylo AsmalyahEditor Budisantoso Budiman 
"Jadi komplotan perampok, oknum sekdes ditangkap Polres Bogor", Cibinong Bogor Polres Bogor menangkap oknum Sekretaris Desa Sekdes Sobang Kabupaten Lebak Banten lantaran menjadi salah satu anggota komplotan perampok yang beraksi di Kampung Bakan Haruman Desa Cibalung Kecamatan Cijeruk Kabupaten Bogor Dari delapan pelaku enam ditangkap termasuk dilakukan tindakan tegas karena di TKP yang berbeda melakukan perlawanan Satu di antaranya adalah oknum Sekdes Sobang Lebak Banten ujar Kapolres Bogor AKBP Muhammad Joni saat konferensi pers di halaman Mako Polres Bogor Cibinong Kabupaten Bogor Kamis Oknum sekdes berinisial S alias I sedangkan lima lainnya yaitu AH L S alias E MW dan R Mereka melakukan aksinya pada pada Rabu sekitar pukul WIB Saat itu kawanan rampok ini masuk ke rumah dengan mencungkil pintu utama Berbekal senjata tajam komplotan perampok ini melakukan penyekapan terhadap korban pasangan suami istri kemudian menggasak seisi rumah Karena istri pemilik rumah berteriak dan melakukan perlawanan maka dilakukan penganiayaan oleh para pelaku Dia dan suaminya disekap dalam kamar Salah satu yang mengancam ini oknum sekdes di Lebak Banten kata Joni Beberapa barang milik korban yang diangkut yaitu dua unit mobil jenis Toyota Rush dan jenis pick up mitsubishi satu unut sepeda motor seperangkat perhiasan emas gram surat berharga tiga ponsel sembako hingga uang tunai senilai Rp juta Jadi para pelaku mengikat kaki dan tangan pemilik rumah menggunakan lakban alat perekat lalu menodongkan golok serta memukul korban pada bagian kepada dan pundak Total kerugian yang dialami korban Rp juta katanya Enam anggota komplotan perampok ini berhasil ditangkap oleh personel Polsek Cijeruk dan Sat Reskrim Polres Bogor pada Januari di wilayah Banten Sukabumi Cianjur dan Bogor Joni mengatakan dari para pelaku didapati sejumlah barang bukti berupa benda yang digunakan ketika mencuri serta barang lainnya milik korban yaitu sebuah dus telepon seluler sebuah golok sebuah cincin emas beserta suratnya satu unit telepon seluler STNK mobil Pick Up merk Mitsubishi dan sebuah buku KIR Para pelaku dijerat dengan Pasal KUHP karena melakukan tindak pidana pencurian dengan kekerasan serta ancaman hukuman tahun penjara KR MFS Pewarta M Fikri SetiawanEditor Joko Susilo 
