title,content
Satbrimob Polda Metro serahkan 1.000 paket sembako ke 17 RT di Jaktim, Jakarta Satbrimob Polda Metro Jaya menggelar bakti sosial Polri TNI dengan menyerahkan paket sembako kepada masyarakat di RT di Kelurahan Cipinang Kecamatan Pulo Gadung Jakarta Timur Kegiatan bakti sosial ini dilaksanakan secara serentak oleh jajaran Kepolisian dalam rangka percepatan penanganan COVID yaitu dengan membagikan sembako kepada warga sekitar Mako Batalyon B Pelopor kata Komandan Batalyon B Pelopor Satbrimob Polda Metro Jaya Kompol Jerrold H Y Kumontoy melalui siaran pers di Jakarta Jumat Pembagian sembako ini melibatkan koramil kecamatan dan Polsek Pulo Gadung Jerrold menegaskan pembagian sembako tersebut dilaksanakan sesuai standar protokol kesehatan pencegahan COVID yang dianjurkan oleh pemerintah seperti penerapan jaga jarak fisik dan mewajibkan pemakaian masker Selain itu pemberian sembako itu juga dilakukan secara door to door atau langsung ke rumah warga yang paling terdampak COVID tersebut Gerakan Bakti Sosial Satbrimob Polda Metro Jaya TNI dalam rangka Percepatan Penanganan COVID itu menindaklanjuti perintah Kapolri Jenderal Pol Idham Azis yang tertuang dalam Surat Telegram ST bernomor ST V KEP tertanggal Mei dan ditandatangani oleh As SDM Kapolri Irjen Pol Eko Indra Heri Pewarta Anita Permata DewiEditor Kunto Wibisono 
Kasatpol PP Jaksel bantah ada kericuhan penertiban Pasar Pondok Labu, Jakarta Kepala Satpol PP Jakarta Selatan Ujang Harmawan membantah ada kericuhan saat penertiban pedagang kaki lima di Pasar Pondok Labu Sebuah video penertiban pedagang kaki lima di Pasar Pondok Labu oleh petugas Satpol PP Jakarta Selatan berlangsung ricuh viral di media sosial Ahad Video berdurasi detik viral di media sosial itu menampil regu Satpol PP berpakaian coklat dan oranye terlibat tarik menarik dengan dua orang yang sedang ribut Petugas hendak melerai dua orang yang terlibat keributan pada saat dilakukan penertiban lapak pedagang Ujang Harmawan mengatakan penertiban tersebut bagian dari upaya menciptakan ketertiban umum dan penegakan aturan Bukan gimana mana namanya juga penertiban Kita mengamankan supaya orang enggak ribut aja kata Ujang Ujang menyebutkan penertiban tersebut benar dilakukan dalam rangka penegakan aturan Pembatasan Sosial Berskala Besar PSBB sekaligus ketertiban umum Pedagang yang ditertibkan adalah pedagang yang menjual barang di luar sektor yang dibolehkan seperti makanan dan alat kesehatan Penertiban dalam rangka PSBB dan perapihan pasar jadi kita tidak ada buat anarkis kata Ujang Ujang juga membantah penertiban yang dilakukan oleh petugasnya secara arogan seperti yang terekam dalam video tersebut Tidak ada arogan itu karena mengamankan keamanan dan ketertiban di sekitar lingkungan pasar mereka pedagang tidak terima kata Ujang Pewarta Laily RahmawatyEditor Sri Muryono 
Pendiri PAN: Persiapan Amien Rais bentuk parpol baru sudah 70 persen, Jakarta Salah satu pendiri PAN Putra Jaya Husein mengatakan tokoh senior PAN Amien Rais sangat serius mendirikan partai baru bahkan saat ini prosesnya sudah persen Menurut dia mundurnya Hanafi Rais dalam kepengurusan DPP PAN dan Fraksi PAN DPR RI mempengaruhi percepatan pembentukan partai baru tersebut Ya persen proses pembentukan parpol baru namun kemunduran Hanafi ini mempengaruhi percepatan pembentukan partai baru Jadi jangan dibalik bukan Hanafi itu bersikap karena ingin membuat partai baru sikap Hanafi itu yang mendorong keras kami berpikir untuk mendirikan partai baru kata Putra Jaya kepada para wartawan di Jakarta Rabu Dia menjelaskan Amien ketika mendirikan PAN bersama kawan kawannya memiliki tujuan idealisme namun saat ini partai tersebut sudah lari dari tujuan tersebut Menurut dia PAN dibangun untuk memperjuangkan kepentingan rakyat dan bangsa bukan untuk kepentingan sekelompok orang yang ingin mendapatkan manfaat dari pengelolaan sebuah partai Sekarang saya sebagai salah satu pendiri PAN masih bertanya tanya apa sih yang dilakukan PAN saat ini untuk bangsa negara dan rakyat PAN selalu mengekor kepada siapapun yang berkuasa kalau sekarang PAN sudah tidak bisa lagi menjadi tempat memperjuangkan kepentingan rakyat maka butuh kendaraan baru ujarnya Menurut dia apabila PAN kembali kepada tujuan awal para pendiri partai maka kemungkinan besar Amien Rais tidak akan mendirikan sebuah partai baru Selain itu dia menilai langkah mundurnya Hanafi jelas menandakan ada sesuatu yang salah dan masalah besar dalam internal PAN Artinya ada yang sangat prinsip membuat dia Hanafi melepaskan semua jabatannya itu padahal masih muda baru satu periode di DPR dan baru delapan bulan periode kedua semua itu dia tanggalkan katanya 
TNI-Polri bagikan bahan kebutuhan pokok untuk buruh, Semarang Polda Jawa Tengah dan Kodam IV Diponegoro membagikan paket bahan kebutuhan pokok bagi para buruh di Kota Semarang dalam peringatan Hari Buruh yang jatuh pada Mei Dalam kegiatan yang digelar di kawasan Simpanglima Semarang Jumat Kapolda Irjen Pol Rycko Amelza Dahniel dan Pangdam Mayjen Moch Effendi menyerahkan secara simbolis paket bahan kebutuhan pokok bagi perwakilan dari serikat buruh yang hadir dalam kegiatan itu Menurut kapolda bakti sosial ini sebagai bentuk dukungan kepada buruh yang terdampak pandemi COVID Semua buruh di dunia merasakan dampak pandemi COVID katanya Dalam situasi yang penuh keprihatinan ini ia menyampaikan terima kasih atas dukungan buruh yang terus menjaga kondusivitas keamanan Mengikuti anjuran pemerintah bersatu melawan Corona tambahnya Sementara itu Ketua Konfederasi Serikat Pekerja Nasional KSPN Jawa Tengah Nanang Setyono menyampaikan apresiasi kepada TNI Polri dan terima kasih atas bakti sosial yang digelar dalam memeringati Hari Buruh ini Menurut dia para buruh tetap mengikuti protokol kesehatan dalam mengikuti kegiatan ini Meski dilaksanakan di tengah keprihatinan pandemo COVID ia mengatakan buruh akan tetap menyuarakan harapannya kepada pemerintah 
JPU tuntut lima mahasiswa di Cianjur 15 dan 13 tahun penjara, Cianjur Jaksa Penuntut Umum Kejaksaan Negeri Cianjur Jawa Barat mengajukan tuntutan dan tahun penjara terhadap lima orang mahasiwa yang menyebabkan nyawa seorang anggota Polres Cianjur Jawa Barat meninggal dunia saat mengamankan aksi unjuk rasa pada Agustus lalu Dua orang di antaranya dituntut tahun penjara dan tiga orang lainnya tahun penjara karena dinilai saling berkaitan sehingga menyebabkan nyawa Ipda Erwin meninggal dunia dengan luka bakar di sekujur tubuhnya saat mengamankan aksi unjuk rasa yang berujung ricuh Ada beberapa pertimbangan terkait tuntutan yang kami ajukan terdakwa dua dan empat dituntut tahun sedangkan terdakwa satu tiga dan lima dituntut tahun penjara karena berbagai pertimbangan dan pelanggaran berunjuk rasa kata JPU Kejari Cianjur Slamet Santoso usai persidangan Ia menjelaskan akibat perbuatan terdakwa tersebut seorang petugas meninggal dunia dan tiga orang lainnya mengalami luka bakar yang hingga saat ini masih menjalani perawatan medis Sehingga atas dasar tersebut pihaknya mengajukan tuntutan yang dinilai setimpal dengan pelanggaran yang dilakukan saat menggelar aksi unjuk rasa Terlebih larangan saat berunjuk rasa tidak membawa bahan bakar dan menyebabkan terganggunya ketertiban umum Berdasarkan fakta di persidangan kordinator aksi mengetahui anggotanya membawa bahan mudah terbakar katanya Kuasa hukum kelima mahasiswa Iwan Permana mengatakan tuntutan yang dijatuhkan JPU tidak mendasar karena kliennya bukan teroris atau pembunuh yang sengaja melakukan pembunuhan Mereka tidak berencana melakukan pembakaran namun kejadian tersebut di luar dugaan siapapun termasuk kelima orang kliennya Sehingga pihaknya akan mengajukan keberatan pada sidang lanjutan dengan agenda pledoi atau pembelaan dari kuasa hukum yang akan dipersiapkan dalam waktu sepekan ke depan Bahkan pihaknya akan meminta hakim untuk membatalkan tuntutan yang terlalu tinggi karena masa depan kelima kliennya masih panjang Kami akan mengajukan keberatan atas tuntutan tersebut karena klien kami tidak memiliki niat untuk melakukan pembunuhan atau menjadikan unjuk rasa damai menjadi ricuh katanya Sidang berjalan secara online yang dipimpin Hakim Ketua Glorious Anggundoro Pewarta Ahmad FikriEditor M Arief Iskandar 
DPRD Jabar wanti-wanti Pemprov antisipasi gejolak sosial dari bansos, Fenomena penolakan untuk menerima bantuan yang terjadi di hampir seluruh pelosok Jawa Barat ini meskipun sifatnya belum masif namun bagaimana pun harus diantisipasi sedini mungkinBogor Seorang anggota Komisi V DPRD Jawa Barat mewanti wanti Pemprov Jabar agar dapat mengantisipasi adanya gejolak di masyarakat dari pembagian bantuan sosial bansos terdampak pandemik COVID seperti kericuhan yang sudah terjadi di beberapa wilayah Fenomena penolakan untuk menerima bantuan yang terjadi di hampir seluruh pelosok Jawa Barat ini meskipun sifatnya belum masif namun bagaimana pun harus diantisipasi sedini mungkin ujar Anggota Komisi V DPRD Jawa Barat Asep Wahyuwijaya alias AW saat dihubungi dari Bogor Selasa Ketua Fraksi Partai Demokrat DPRD Jawa Barat itu mengaku sudah melihat sejak awal adanya potensi kericuhan warga jika jumlah bansos yang didistribusikan dianggap tidak proporsional DPRD Jawa Barat pun menurutnya sudah mengingatkan hal itu pada Pemprov Jabar Secara ekstrem saya pernah juga sampaikan pada saat forum rapat pimpinan DPRD Jabar beserta jajaran Satgas COVID Jabar hati hati dengan skenario pemberian bansos kepada warga jika tak matang perencanaannya maka bisa menjadi pemicu terjadinya gejolak sosial di akar rumput kata AW Namun ia memaklumi jika saran dari para legislator dianggap angin lalu oleh Pemprov Jabar Pasalnya pada Perppu No tahun tentang Kebijakan Keuangan Negara dan Stabilitas Sistem Keuangan Untuk Penanganan Pandemik COVID tanggal Maret keterlibatan parlemen dalam urusan penganggaran sudah tidak ada Sebagai akibat dari telah diamputasinya hak anggaran parlemen dalam hal penanganan wabah COVID protokol penanganan termasuk anggaran yang diperlukannya pun menjadi eksekutif sentris tuturnya Padahal menurutnya permasalahan utama terjadinya kericuhan ada pada seberapa banyak pemerintah memiliki dana bantuan bukan seberapa banyak pintu bantuan sosial yang disediakan Ia juga memberikan gambaran krisis ekonomi dampak pandemik COVID yang menurutnya akan lebih buruk dari krisis moneter pada tahun silam Kondisi itu menurut AW harus diwaspadai oleh semua tingkatan pemerintah ketika akan meluncurkan program bansos Kalau pada tahun meskipun para konglomerat hancur bisnisnya namun ekonomi rakyat dengan kekuatan sektor informalnya masih mampu menggerakan ekonomi warga di arus bawah Nah kalau sekarang perputaran ekonomi formal di tingkat atas dan kekuatan ekonomi di sektor informal yang di arus bawah itu sama sama hancurnya ujar AW Seperti diketahui bantuan sosial dari pemerintah untuk masyarakat terdampak pendemik COVID banyak menimbulkan gejolak sosial Terbaru warga menyegel Kantor Kelurahan Sukahati Kecamatan Cibinong Kabupaten Bogor pada Senin karena menuntut kejelasan pendataan penerima bantuan terdampak pandemik COVID 
"Hukum kemarin, hak jawab Mola TV hingga putar balik kendaraan mudik", Jakarta Ragam berita hukum terpopuler kemarin Minggu mulai dari soal Mola TV beri hak jawab terkait pernyataan Sekjen GO TVKI hingga soal kebijakan putar balik kendaraan mudik agar kembali ke daerah asal Berita hukum kemarin tersebut masih dapat dibaca kembali untuk mengawali informasi Anda pada pekan ini di antaranya Mola TV beri hak jawab atas pernyataan Sekjen GO TVKI MOLA TV menjawab pernyataan Sekretaris Jenderal Gabungan Operator TV Kabel Indonesia GO TVKI Candi Sinaga melalui pernyataan tertulis yang diterima di Jakarta Sabtu malam Mola TV adalah pemilik dan atau penerima atau pemegang lisensi tunggal eksklusif atas setiap konten tayangan pada platform Over the Top OTT MOLA TV Lisensi Tunggal yang mana perjanjian lisensi terkait konten tayangan tersebut di atas telah terdaftar serta tercatat secara sah pada Direktorat Jenderal Kekayaan Intelektual Kementerian Hukum dan Hak Asasi Manusia Republik Indonesia DJKI Kemenkumham RI ujar Operations Lead Mola TV Fery Wiraatmadja dalam Hak Jawabnya kepada Antara Baca selengkapnya Polri Penyelidikan terhadap Ravio tindak lanjuti laporan masyarakat Polri menegaskan bahwa penyelidikan terhadap aktivis Ravio Patra Asri RPA dilakukan untuk menindaklanjuti laporan masyarakat yang menerima pesan WhatsApp berisi ajakan berbuat ricuh Bahkan penerima pesan tidak hanya di Jakarta beberapa warga di daerah juga mengaku menerima pesan serupa Penyidik melakukan penyelidikan berdasarkan laporan masyarakat yang resah Tidak hanya di Jakarta tapi di berbagai daerah juga mendapatkan kiriman pesan tersebut dan banyak lagi saksi yang dikirimkan pesan kata Kepala Biro Penerangan Masyarakat Polri Brigjen Pol Raden Prabowo Argo Yuwono saat dihubungi di Jakarta Sabtu malam Baca selengkapnya Danlantamal I TNI AL tingkatkan pengawasan jalur ilegal Komandan Pangkalan Utama TNI Angkatan Laut Danlantamal I Belawan Laksamana Pertama TNI Abdul Rasyid mengatakan TNI AL dalam hal ini Lantamal I Koarmada I terus memperkuat dan meningkatkan pengawasan terhadap jalur jalur masuk secara ilegal dari laut Patroli rutin patroli intelijen tetap kita lakukan dan intensitasnya dinaikkan kita tidak akan mengambil risiko besar pada waktu seperti saat ini ujar Rasyid dalam keterangannya di Belawan Medan Minggu Baca selengkapnya Polres Mesuji pulangkan kendaraan ke daerah asal Anggota Satlantas Polres Mesuji Brigpol Frans Olsen mengatakan bahwa pihaknya sampai dengan Minggu sudah memaksa seratusan kendaraan putar balik di gerbang tol Simpang Pematang KM Mesuji Lampung Kita sudah lakukan sejak kemarin sampai hari ini Ini untuk mengantisipasi adanya pemudik asal Sumatera Selatan atau dari Lampung yang akan melakukan mudik kata Frans Olsen di Mesuji Minggu Baca selengkapnya Polisi minta kendaraan pemudik masuk Jateng untuk putar balik Kepolisian telah meminta pemudik yang menggunakan kendaraan untuk putar balik saat akan masuk ke wilayah Jawa Tengah selama dua hari terakhir pelaksanaan Operasi Ketupat Candi Kabid Humas Polda Jawa Tengah Kombes Pol Iskandar F Sutisna di Semarang Minggu mengatakan ratusan kendaraan yang diminta kembali ke daerah asal keberangkatannya itu melintas di pos check point yang tersebar di berbagai titik Baca selengkapnyaPewarta Abdu FaisalEditor Joko Susilo 
Polri: Penyelidikan terhadap Ravio tindak lanjuti laporan masyarakat, Semua langkah penyidik untuk membuat jelas berdasarkan kejadian dan saksi bukan karena mencari cari kesalahan Jakarta Polri menegaskan bahwa penyelidikan terhadap aktivis Ravio Patra Asri RPA dilakukan untuk menindaklanjuti laporan masyarakat yang menerima pesan WhatsApp berisi ajakan berbuat ricuh Bahkan penerima pesan tidak hanya di Jakarta beberapa warga di daerah juga mengaku menerima pesan serupa Penyidik melakukan penyelidikan berdasarkan laporan masyarakat yang resah Tidak hanya di Jakarta tapi di berbagai daerah juga mendapatkan kiriman pesan tersebut dan banyak lagi saksi yang dikirimkan pesan kata Kepala Biro Penerangan Masyarakat Polri Brigjen Pol Raden Prabowo Argo Yuwono saat dihubungi di Jakarta Sabtu malam Pihaknya pun membantah penangkapan terhadap RPA adalah tindakan mencari cari kesalahan Semua langkah penyidik untuk membuat jelas berdasarkan kejadian dan saksi bukan karena mencari cari kesalahan ujarnya Jenderal bintang satu ini pun menegaskan penyelidikan kasus ini berjalan sesuai prosedur hukum yang berlaku Sebelumnya Polda Metro Jaya menangkap aktivis Ravio Patra Asri di Jalan Blora Kelurahan Menteng Jakarta Pusat pada Rabu malam Saat hendak ditangkap RPA sempat melawan petugas dengan dibantu temannya yang membawa kendaraan dinas diplomat Penyidik menangkap RPA lantaran diduga menyebarkan pesan WhatsApp berisi hasutan dan ujaran kebencian Setelah menjalani serangkaian pemeriksaan di Polda Metro Jaya RPA yang masih berstatus saksi akhirnya dipulangkan Kendati demikian penyelidikan kasus ini masih terus berjalan Hingga saat ini penyidik Polda Metro Jaya telah memeriksa empat saksi dan dua ahli dalam kasus ini Terkait indikasi pembajakan akun aplikasi pesan WhatsApp milik RPA yang diduga digunakan untuk menyebarkan pesan ujaran kebencian tersebut Argo mengatakan penyidik masih mendalami dugaan tersebut Untuk alibi akun WA WhatsApp RPA diretas ini sedang didalami Karena ada beberapa keterangan yang memerlukan waktu seperti keterangan dari server WhatsApp saksi ahli analisis dan lain lain kata mantan Kabid Humas Polda Jatim ini Pewarta Anita Permata DewiEditor Heru Dwi Suryatmojo 
"Lapas Sorong dibakar, ratusan napi tuntut hak asimilasi", Kerusuhan yang berujung pembakaran ruangan lapas terjadi di Lembaga Pemasyarakatan Kelas II B Sorong Papua Barat Rabu Malam Para napi menuntut diberikan hak asimilasi sebagaimana diterima oleh napi lainnya yang telah dikeluarkan dari dalam lapas Laksa Mahendra Gatot Arioso Edwar Mukti Laksana 
Kasus positif COVID-19 melonjak drastis di Kabupaten Bogor saat PSBB, Cibinong Bogor Jumlah pasien positif terpapar virus corona COVID di Kabupaten Bogor Jawa Barat melonjak drastis pada Rabu yakni kasus meski pemerintah setempat tengah menerapkan Pembatasan Sosial Berskala Besar PSBB Hari ini jumlah yang terkonfirmasi positif bertambah sangat banyak yaitu orang kata Juru Bicara Gugus Tugas COVID Kabupaten Bogor Syarifah Sofiah Perempuan yang akrab disapa Ipah itu mengatakan sebagian besar pasien baru positif COVID itu bekerja dan dirawat inap di DKI Jakarta Sebagian besar yaitu orang tercatat bekerja dan dirawat di RS di Jakarta sedangkan tiga orang lagi adalah ibu dan dua anaknya juga dirawat di Jakarta kata Kepala Badan Perencanaan Pembangunan Penelitian dan Pengembangan Daeran Bappedalitbang Kabupaten Bogor itu Dari pasien positif COVID baru itu empat di antaranya berdomisili di Kecamatan Bojonggede dan sembilan pasien dari Gunung Putri serta sepuluh pasien dari Cileungsi Dua pasien dari Gunung Sindur dan empat pasien dari Cibinong Kemudian masing masing satu pasien dari Babakan Madang dan Kemang Hingga Rabu malam Pemerintah Kabupaten Bogor mencatat jumlah positif terinfeksi virus corona COVID di Kabupaten Bogor sebanyak pasien Total ada kasus positif COVID tujuh di antaranya sudah sembuh dan lima meninggal dunia tuturnya Di samping itu Pemkab Bogor juga mencatat ada sebanyak orang dalam pemantauan ODP di antaranya sudah selesai dipantau dan pasien dalam pengawasan PDP di antaranya sudah selesai diawasi Ia mengatakan dari PDP yang sudah selesai diawasi ada sebanyak pasien yang meninggal sebelum dinyatakan positif ataupun negatif COVID melalui hasil swap Sebelumnya Bupati Bogor Ade Yasin menyayangkan masih banyaknya warga Kabupaten Bogor yang diwajibkan ngantor ke wilayah Jakarta meski dalam kondisi PSBB Kondisi itu dia ketahui ketika melakukan kunjungan ke stasiun stasiun kereta rel listrik KRL di Kabupaten Bogor pada Senin dan menanyakan langsung ke beberapa penumpang KRL 
