title,content
Densus 88 tangkap warga Tanah Datar diduga terlibat aksi teror., Padang Detasemen Khusus Anti Teror Kepolisian Indonesia menangkap seorang pria asal Kabupaten Tanah Datar berinisial REP alias Abu Yusuf yang diduga terlibat aksi teror jaringan Jamaah Ansharut Daulah Kepala Bidang Humas Polda Sumatera Barat Komisaris Besar Polisi Stefanus Setianto di Padang Sabtu mengatakan REP ditangkap di Solo Jawa Tengah Menurut dia REP itu warga Lima Kaum Tanah Datar dan polisi menggeledah rumah REP di Tanah Datar sekitar pukul WIB hingga WIB Kamis Dari rumah pelaku ditemukan beberapa barang bukti berupa buku jihad dan dan lainnya kata dia Ia mengatakan REP ini ditangkap sekitar pukul WIB Kamis Penggeledahan di lantai atas kamar indekos REP di Solo namun kamar itu kosong Saat ini pelaku diperiksa di Markas Komando Brimob Polda Jawa Tengah kata dia Pewarta Mario Sofia NasutionEditor Ade P Marboen 
Satgas Nemangkawi buru KKB penembak anggota Gugus Tugas COVID-19, Kita membutuhkan waktu sekitar lima jam untuk dapat tiba di TKP tempat kejadian perkara Jakarta Satuan Tugas Operasi Nemangkawi terus memburu kelompok kriminal bersenjata KKB yang menembak dua anggota Gugus Tugas COVID di Papua yang mengakibatkan satu korban meninggal dunia Siaran pers Satgas Humas Operasi Nemangkawi diterima di Jakarta Sabtu malam menyebutkan KKB menembak dua tenaga medis yang tergabung Gugus Tugas COVID di Distrik Wandai Kabupaten Intan Jaya Papua Jumat sekitar pukul WIT Dua orang tenaga medis itu yakni Amalek Bagau dan Eniko Somou ditembak oleh KKB saat hendak mengantarkan obat obatan untuk mencegah penyebaran COVID di Kabupaten Intan Jaya Setelah melewati medan jalan yang terjal personel Satgas Operasi Nemangkawi dan Polres Intan Jaya kemudian berhasil mencapai lokasi kedua korban Namun korban bernama Eniko Somou dinyatakan meninggal dunia karena luka tembak Personel Satgas Operasi Nemangkawi bersama Polres Intan Jaya mengevakuasi korban ke Nabire menggunakan pesawat Smart Air dari Bandara Sugapa Kabupaten Intan Jaya Pesawat mendarat di Bandara Douw Aturure Nabire pada hari Sabtu tanggal Mei pukul WIT kemudian pukul WIT korban luka langsung dibawa menggunakan ambulans ke RSUD Nabire untuk mendapatkan pemeriksaan lebih lanjut Kepala Bidang Humas Polda Papua Kombes Pol AM Kamal menyebutkan dari informasi yang diterima bahwa satu korban dinyatakan meninggal dunia sementara satu lagi masih dirawat dalam keadaan kritis Perlu diketahui kata dia lokasi kejadian sangat jauh dengan kondisi medan yang sulit yang menjadi salah satu hambatan yang dihadapi anggota di lapangan untuk menuju ke lokasi tersebut Kita membutuhkan waktu sekitar lima jam untuk dapat tiba di TKP tempat kejadian perkara ungkapnya Kedua korban merupakan tenaga medis yang mempunyai tugas mulia untuk membantu masyarakat dalam bidang kesehatan sehingga teror KKB saat ini sudah semakin meresahkan seperti ingin diakui sebagai teroris Apalagi saat ini pemerintah sedang berjuang menghadapi pandemik COVID ujar Kabid Humas Polda Papua Pewarta Zuhdiar LaeisEditor Chandra Hamdani Noor 
Belasan napi di Aceh bebas setelah dapat remisi hari raya, Banda Aceh Sebanyak narapidana napi di Aceh langsung bebas setelah mendapat remisi atau pengurangan masa hukuman hari raya Idul Fitri Hijriah Masehi Mereka langsung dibebaskan pada hari raya nanti karena masa hukumannya telah berakhir setelah mendapat remisi kata Kepala Divisi Pemasyarakatan Kantor Wilayah Kementerian Hukum dan HAM Provinsi Aceh Meurah Budiman di Banda Aceh Sabtu Meurah Budiman menyebutkan dari napi yang bebas tersebut di antaranya napi biasa dan tiga lainnya napi yang mendapat remisi berdasarkan PP Nomor Tahun Napi terkait PP Nomor Tahun tentang perubahan kedua atas Peraturan Pemerintah Nomor Tahun tentang syarat dan tata cara pelaksanaan hak warga binaan pemasyarakatan adalah mereka yang dihukum melakukan tindak pidana narkotika korupsi dan teroris Meurah Budiman menyebutkan napi yang bebas tersebut di antaranya dari Lembaga Pemasyarakatan Lapas Kelas IIB Narkotika Langsa sebanyak lima orang Lapas Kelas IIA Banda Aceh tiga orang Kemudian Lapas Kelas IIB Meulaboh Aceh Barat dua orang serta Lapas Kelas IIA Lhokseumawe Lapas Kelas IIB Langsa Lapas Kelas IIB Kota Bakti Pidie Lapas Kelas III Lhoknga Aceh Besar dan Rumah Tahanan Negara Rutan Kelas IIB Sigli Pidie masing masing satu napi Sedangkan napi yang bebas setelah mendapat remisi terkait PP Tahun sebanyak tiga orang yakni dari Lapas Kelas IIB Kuala Simpang Aceh Tamiang dan Lapas Kelas IIB Kota Bakti Pidie satu orang Terkait keseluruhan napi yang mendapat remisi di Aceh Meurah Budiman menyebutkan jumlahnya mencapai napi dari orang yang diusulkan mendapat pengurangan hukuman hari raya Idul Fitri Sisanya napi belum keluar surat keputusan remisinya karena masih dalam proses verifikasi dokumen di Direktorat Jenderal Pemasyarakatan Kementerian Hukum dan HAM RI di Jakarta kata Meurah Budiman pula 
Bahar Smith dipindahkan ke Lapas Nusakambangan, Jakarta Terpidana kasus penganiayaan remaja Bahar Smith dipindahkan ke Lembaga Pemasyarakatan Lapas Klas I Batu Nusakambangan Cilacap Jawa Tengah pada Selasa malam Pemindahan tersebut dilakukan setelah simpatisan pendukung Smith melakukan gangguan keamanan dan ketertiban saat menggeruduk Lapas Klas IIa Gunung Sindur Bogor Merujuk pada kondisi tersebut Kalapas Khusus Gunung Sindur telah berkoordinasi dengan Kakanwil Jawa Barat yang selanjutnya disetujui oleh Direktur Jenderal Pemasyarakatan untuk Habib Bahar Bin Smith ditempatkan sementara waktu di Lapas Klas I Batu Nusakambangan ujar Kepala Bagian Humas Ditjen Pemasyarakatan Kemenkumham Rika Aprianti dalam keterangan di Jakarta Rabu Diketahui sejak Selasa siang puluhan simpatisan pendukung Smith menyatroni Lapas Gunung Sindur berusaha menemui pimpinan mereka yang kembali ditangkap usai pencabutan izin asimilasi Rika mengatakan selama berkumpul dan berkerumun para simpatisan pendukung Smith tersebut melakukan tindakan yang mengganggu keamanan dan ketertiban seperti berteriak teriak dan melakukan tindakan provokatif yang mengakibatkan rusaknya pagar lapas Aksi tersebut dinilai dapat mengganggu kondusifitas Lapas Gunung Sindur yang banyak dihuni narapidana terorisme dan narkotika Lapas Gunung Sindur juga dihuni oleh narapidana kasus teroris dan Bandar narkoba akan menjadikan kondisi yang tidak kondusif dan dapat mengganggu keamanan ketertiban apabila terjadi kerumunan massa ucap Rika Selain itu kerumunan massa simpatisan dalam jumlah besar tersebut juga telah melanggar protokol kesehatan penanganan COVID Berdasarkan hal tersebut Bahar Smith akhirnya dipindahkan ke Lapas Nusakambangan Habib Bahar Bin Smith ditempatkan sementara waktu di Lapas Klas I Batu Nusakambangan dengan pertimbangan untuk kepentingan keamanan ketertiban dan pembinaan bagi yang bersangkutan kata Rika Sebelumnya Bahar Smith kembali dimasukkan ke dalam lapas setelah surat keputusan SK asimilasi yang sebelumnya diberikan kepada dirinya dicabut Pencabutan tersebut dilakukan karena Bahar Smith dinilai tidak mengindahkan dan mengikuti bimbingan yang dilakukan Pembimbing Kemasyarakatan Balai Pemasyarakatan Bogor serta melakukan pelanggaran khusus selama menjalani masa asimiliasi di rumah Selama menjalani masa asimilasi Smith dinilai telah melakukan sejumlah tindakan yang dianggap menimbulkan keresahan di masyarakat yakni menghadiri kegiatan dan memberikan ceramah yang provokatif dan menyebarkan rasa permusuhan dan kebencian kepada pemerintah Selain itu Smith juga dinilai melanggar aturan Pembatasan Sosial Berskala Besar PSBB di tengah kondisi darurat COVID dengan mengumpulkan massa dalam pelaksanaan ceramahnya Pada Selasa dini hari Bahar Smith dijemput oleh tim penegak hukum di kediamannya dan dibawa ke Lapas Klas IIa Gunung Sindur Bogor untuk kembali menjalani sisa pidana 
Jamaah Habib Bahar Smith datangi Lapas Gunung Sindur, Gunungsindur Bogor Puluhan jamaah Habib Bahar Smith mendatangi Lembaga Pemasyarakatan Gunung Sindur Kabupaten Bogor Jawa Barat Selasa pascapencabutan program asimilasi terpidana kasus penganiayaan remaja itu Mereka ingin Habib Bahar dibebaskan kata pengacara Bahar Smith Aziz Yanuar saat dihubungi Menurutnya hingga kini belum ada perwakilan dari keluarga dan kuasa hukum yang dibolehkan menjenguk Bahar Smith Tapi menurut Aziz para jamaah akan tetap menanti di depan gerbang lapas Massa hanya ingin Habib Bahar bisa ditemui pengacara dan keluarga Mereka tetap di pos aja kata Aziz Seperti diketahui Bahar Smith hingga kini tidak bisa dijenguk siapa pun karena menempati sel isolasi yang biasa dihuni narapidana teroris di Lembaga Pemasyarakatan Gunung Sindur Kabupaten Bogor Jawa Barat Ya belum boleh dijenguk karena masih di isolasi Sel isolasi ada teroris narkoba dan lain lain sebagainya ujar Kepala Lembaga Pemasyarakatan Kalapas Khusus Kelas llA Gunung Sindur Mulyadi saat dihubungi Antara di Bogor Selasa Sebelumnya Bahar Smith dijemput oleh petugas pemasyarakatan dan kembali ditahan karena program asimilasinya dicabut Bahar sempat diperingatkan oleh petugas pemasyarakatan karena langsung kembali berdakwah di pondok pesantrennya Dakwah itu dinilai mengundang massa sehingga melanggar Pembatasan Sosial Berskala Besar PSBB Bahar Smith sempat dinyatakan bebas bersyarat dari Lembaga Pemasyarakatan Lapas Cibinong lewat program asimilasi pada Sabtu Pewarta M Fikri SetiawanEditor M Arief Iskandar 
Kemenkumham Jabar: Ada 10 napi langgar asimilasi termasuk Bahar Smith, Yang sudah melakukan pelanggaran itu adalah sebanyak orang termasuk Habib Bahar bin Smith Bandung Kantor Wilayah Kanwil Kementerian Hukum dan HAM Kemenkumham Jawa Barat menyatakan sejauh ini sudah ada narapidana asimilasi yang melanggar aturan dan ketentuan setelah dibebaskan termasuk Bahar Smith Kepala Kanwil Kemenkumham Jawa Barat Liberti Sitinjak mengatakan narapidana tersebut sebagian ada yang langsung dimasukkan ke sel tahanan dan ada juga yang masih dalam proses kepolisian Yang sudah melakukan pelanggaran itu adalah sebanyak orang termasuk Habib Bahar bin Smith ungkap Liberti di Bandung Selasa Di wilayahnya kata dia terdapat narapidana yang mendapat hak asimilasi dan integritas hingga Senin Dia berharap para narapidana yang telah dibebaskan tersebut tidak melalukan perbuatan yang dapat melanggar aturan dan ketentuan asimilasi Apabila ada yang melakukan pelanggaran maka pihak kemenkumham melalui petugas pemasyarakatan akan langsung menjemput dan menjebloskan kembali ke dalam sel tahanan Termasuk yang dialami oleh Bahar Smith yang baru saja menghirup udara bebas Ini adalah sebuah ketentuan yang harus tetap kami lakukan dan kami berlakukan kepada narapidana yang saat ini sudah berada di luar sebagai tindak lanjut dari Permenkumham tahun tutur dia Sebelumnya Bahar Smith yang dibebaskan melalui program asimilasi pada Sabtu harus rela kembali mendekam di penjara Pasalnya Direktorat Jenderal Pemasyarakatan Kemenkumham menilai Bahar telah melanggar ketentuan asimilasi karena melakukan dakwah yang berbau provokasi kebencian kepada pemerintah Hingga kini pentolan Front Pembela Islam FPI tidak bisa dijenguk siapa pun karena menempati sel isolasi yang biasa dihuni narapidana teroris di Lembaga Pemasyarakatan Gunung Sindur Kabupaten Bogor Jawa Barat 
"Tempati sel teroris, Bahar Smith tidak bisa dijenguk", Gunungsindur Bogor Terpidana kasus penganiayaan remaja Bahar Smith hingga kini tidak bisa dijenguk siapa pun karena menempati sel isolasi yang biasa dihuni narapidana teroris di Lembaga Pemasyarakatan Gunung Sindur Kabupaten Bogor Jawa Barat Ya belum boleh dijenguk karena masih di isolasi Sel isolasi ada teroris narkoba dan lain lain sebagainya ujar Kepala Lembaga Pemasyarakatan Gunung Sindur Mulyadi saat dihubungi di Bogor Selasa Namun ketika ditanya alasannya ia mengaku tak tahu kenapa Smith harus menempati sel isolasi Penempatan Smith di sel isolasi yang biasa dihuni narapidana itu kata dia atas perintah kepala Kantor Wilayah Kementerian Hukum dan HAM Jawa Barat Karena perintah dari Kanwil kita hanya dititipi saja Awalnya kan beliau Bahar Smith dari LP Cibinong tuturnya Mulyadi menyebutkan Smith mulai menempati blok A kamar di LP Gunung Sindur sekitar pukul WIB setelah diantar sejumlah personel Polres Bogor Ia mengaku tak tahu hingga berapa lama Smith akan ditempatkan di sel isolasi melainkan tergantung pada perintah Kantor Wilayah Kementerian Hukum HAM Jawa Barat Sebelumnya Smith dijemput petugas pemasyarakatan dan kembali ditahan karena program asimilasinya dicabut Ia sempat diperingatkan petugas pemasyarakatan karena langsung kembali berdakwah di pondok pesantrennya Dakwah itu dinilai mengundang massa sehingga melanggar Pembatasan Sosial Berskala Besar Bahar Smith sempat dinyatakan bebas bersyarat dari Lembaga Pemasyarakatan Lapas Cibinong lewat program asimilasi pada Sabtu 
Pengamat: Waspadai ancaman keamanan di tengah pandemi COVID-19, Jakarta Pengamat intelijen dan keamanan Stanislaus Riyanta mengingatkan aparat keamanan untuk tidak lengah menghadapi potensi ancaman terorisme kriminalitas dan konflik sosial di tengah pandemi virus corona jenis baru atau COVID Terorisme kriminalitas dan konflik massa berpotensi terjadi dengan memanfaatkan pandemi COVID katanya saat diskusi publik virtual bertajuk Implikasi Pandemi COVID dalam Perspektif Sosial Ekonomi Politik Hukum dan Keamanan di Jakarta Senin malam Menurut dia kesibukan pemerintah dalam penanganan COVID bisa menjadi celah bagi datangnya ancaman ancaman termasuk gangguan keamanan nasional Terkait terorisme kata dia ada beberapa penangkapan yang dilakukan oleh Densus Polri yang menunjukkan adanya gerakan signifikan dari kelompok teroris terutama Jemaah Anshar Daulah JAD dan Mujahidin Indonesia Timur MIT yang memanfaatkan situasi pandemi COVID Ia mencontohkan penangkapan pada masa pandemi COVID antara lain penangkapan empat orang jaringan JAD di Batang Jawa Tengah Maret satu orang di Kemayoran Jakarta Pusat April dua orang jaringan JAD ditangkap di Sidoarjo Jawa Timur pada April Penangkapan juga dilakukan terhadap empat orang jaringan JAD di Muna Sulawesi Tenggara April tiga orang terduga teroris AS AMA CM di Serang pada April dan seorang terduga teroris MH di Sidoarjo pada April Selain itu aksi teror juga telah terjadi di Poso berupa penembakan terhadap anggota Polri Briptu Ilham Suhayar yang berjaga di Bank Mandiri Syariah Poso oleh dua anggota kelompok MIT Poso pimpinan Ali Kalora Tingkat kriminalitas pada masa pandemi COVID mengalami kenaikan Polri menyatakan tingkat kriminalitas meningkat sebesar persen selama pandemi corona katanya Disebutkan Stanislaus potensi konflik massa juga bisa terjadi pada massa pandemi COVID karena adanya kelompok yang mencoba melakukan provokasi untuk konflik massa seperti kelompok Anarko Kelompok Anarko ini menentang kapitalisme dan pemerintah Selain ini provokasi provokasi dari kelompok tertentu yang mengarah kepada perlawanan terhadap pemerintah juga terjadi katanya Untuk menekan terorisme kriminalitas dan mencegah terjadinya konflik di masyarakat kata dia perlu dilakukan upaya upaya tertentu oleh pemerintah secara berjenjang yang sangat perlu untuk memenuhi kebutuhan dasar seperti sembako bagi warga di daerah PSBB dan tidak memperoleh pendapatan Masalah pangan sangat sensitif dan jika tidak terpenuhi dampaknya bisa berbahaya ujarnya Meskipun demikian Stanislaus meminta Polri perlu hati hati dan bijak dalam menangani pelaku kriminal yang didorong karena terdesak kebutuhan pangan Hubungan yang erat antara masyarakat dengan aparat keamanan akan menjadi benteng untuk mencegah gangguan keamanan Kolaborasi antara aparat keamanan dan masyarakat harus terus dilakukan agar pada masa pandemi COVID ini kriminalitas terorisme dapat dicegah dan konflik massa tidak terjadi katanya Sementara itu penasehat Ahli Kapolri Prof Muradi meyakini Indonesia akan berada pada situasi normal kembali atau new normal dalam beberapa minggu ke depan meskipun pasien virus corona terus mengalami peningkatan setiap harinya Muradi mengatakan diperlukan instrumen lain untuk memperkuat aparat keamanan dalam mengantisipasi situasi keamanan nasional agar aparat keamanan tidak mengalami degradasi dalam menegakkan aturan di tengah ketatnya pemberlakuan PSBB di masa pandemi COVID Pewarta Zuhdiar LaeisEditor Masuki M Astro 
"Dokumen kontrak selebritas dibobol ""hacker"", ancam dijual ke dark web", Jakarta Firma hukum yang memiliki klien para selebritas papan atas diretas dan pihak hacker mengancam akan membuka kontrak bisnis klien mereka ke situs gelap dark web Kesepakatan kontrak bisnis kakap terancam bocor di internet antara lain Lady Gaga Bruce Springsteen dan Sean Diddy Combs Agen Rahasia AS dan FBI masih menyelidiki kelompok hacker REvil yang menyerang server pengacara Allen Grubman di NYC dan mencuri gigabyte dokumen rahasia yang berkaitan dengan klien perusahaannya termasuk Lady Gaga Madonna Mariah Carey Priyanka Chopra dan Bette Midler Peretas mengancam akan menggandakan tuntutan uang tebusan dan mengancam akan mempublikasikan satu ton rahasia kotor Presiden Donald Trump jika pihak firma tidak memberikan uang tebusan Trump bukanlah klien firma hukum itu dan belum jelas apakah para peretas benar benar memiliki rahasia kotor Trump Seorang sumber dengan pengetahuan peretasan mengatakan kepada Page Six yang dilansir Jumat bahwa Grubman tidak akan membayar satu sen pun kepada teroris cyber ini jadi kemungkinan semua file nya akan dirilis oleh para peretas Detail menarik di sana dapat mencakup kesepakatan penerbitan U yang menguntungkan dengan Universal senilai sekitar juta dolar AS serta kesepakatan Springsteen dengan Netflix diperkirakan bernilai juta dolar AS serta kesepakatan Diddy dengan Ciroc vodka kata dia Sumber itu menambahkan Seringkali rincian yang paling merusak ada di email pribadi para bintang dan eksekutif yang merupakan apa yang terjadi dengan peretasan Sony Tetapi tidak diketahui berapa banyak email pribadi yang dicuri dari peretas Grubman Pada Kamis pekan ini REvil mengunggah dokumen berkaitan Lady Gaga tetapi sebagian besar tampaknya merupakan kontrak standar industri Penerjemah Ida NurcahyaniEditor Alviansyah Pasaribu 
Turki tangkap 38 orang terkait serangan bersenjata, Istanbul Otoritas Turki menangkap orang termasuk ketua Partai Demokrat Rakyat HDP proKurdi setempat sehubungan dengan serangan bersenjata yang menewaskan dua orang di Provinsi Van menurut kantor gubernur pada Jumat Serangan pada Kamis menargetkan dua personel pemerintah kota dan seorang warga sipil yang baru pulang mendistribusikan bantuan ke lingkungan yang menerapkan karantina wilayah sebagai bagian dari langkah pencegahan penyebaran virus corona Direktur komunikasi Turki Fahrettin Altun dan sejumlah pejabat lainnya menuding Partai Pekerja Kurdi PKK menjadi dalang serangan tersebut PKK yang melancarkan pemberontakan terhadap negara Turki sejak dianggap sebagai organisasi teroris oleh Turki Amerika Serikat dan Uni Eropa Lebih dari orang tewas dalam konflik tersebut Sumber Reuters 
