title,content
Terjangan tornado Mississippi tewaskan enam orang, Washington Sedikitnya enam orang tewas setelah tornado dahsyat menerjang negara bagian Amerika Serikat Mississippi pada Minggu otoritas melaporkan Mereka yang tewas berada di Walthall County Lawrence County dan Jefferson Davis County demikian serangkaian cuitan Badan Manajemen Darurat Mississippi di akun Twitter Ketiga daerah tersebut berada di selatan Jackson ibu kota Mississippi dekat garis negara bagian Louisiana Tornado juga merusak rumah warga menumbangkan pohon dan memutus aliran listrik menurut otoritas setempat Gubernur Mississippi Tate Reeves menyatakan status darurat pada Minggu malam dalam menanggapi tornado dan badai Sumber Xinhua 
Taylor Swift bayari gaji karyawan toko kaset di Nashville, Jakarta Taylor Swift telah menawarkan untuk membayar gaji para karyawan di sebuah toko kaset Nashville Tennessee yang terpaksa ditutup selama karantina virus corona Pelantun Shake It Off itu telah berjanji memberi dana pada pimpinan di Grimey s New Preloved Music untuk membayar upah dan perlindungan medis kepada tiga pekerja selama tiga bulan ke depan Taylor dengan murah hati menawarkan bantuan langsung kepada staf saya dan untuk menutupi biaya perawatan kesehatan kami selama tiga bulan serta rencana asuransi kami ujar salah satu pemilik Grimey s Doyle Davis dilansir Rolling Stone Kamis Ini adalah masalah besar bagi kami dan sekarang saya dapat berpikir dengan tenang saat kami mengajukan pinjaman Asosiasi Usaha Kecil untuk membayar sewa vendor dan pengeluaran lainnya Bantuan dari nona Swift ini membantu memberikan kesempatan nyata bagi kami untuk bisa hadir kembali dengan hal yang berbeda lanjutnya Swift juga memberikan bantuan kepada para penggemarnya yang menganggur akibat virus corona pada Maret Sebelumnya salah satu penggemar Taylor Holly Tuner menerima cek senilai ribu dolar Amerika setelah mengaku khawatir kehilangan rumahnya di New York Ia kemudian menunjukkan hasil tangkapan layar yang memberitahu jika dirinya menerima ribu dolar dari Taylor Nation dengan pesan berbunyi Holly kamu selalu ada di sana untuk saya Saya ingin berada untuk Anda sekarang Saya harap ini dapat membantu Love Taylor 
Fenomena Sengkayan landa perairan Donggala, Palu Fenomena sengkayan atau waterspout melanda perairan Kabupaten Donggala Sulawesi Tengah Sabtu sore namun tidak menimbulkan korban jiwa Kepala Badan Meteorologi Klimatologi dan Geofisika BMKG Stasiun Meteorologi Kelas II Mutiara Sis Al Jufri Palu Nur Alim di Palu Sabtu malam membenarkan fenomena itu terjadi di perairan Donggala atau laut Sulawesi berlangsung selama menit pada pukul WITA hingga WITA Ke depannya tidak dapat dipastikan apakah akan terjadi dan di mana letak lokasinya sebab ini fenomena alam ungkap Alim Dia menjelaskan fenomena waterspout biasanya disebabkan oleh adanya awan cumulonimbus di atas perairan Awan kumulonimbus dapat tumbuh dikarenakan kondisi perairan lebih hangat dari biasanya Seperti kondisi labilitas atmosfer melebihi ambang batas tertentu yang mengindikasikan udara sangat tidak stabil dan kondisi angin di sekitarnya Menurut dia waterspout kecil kemungkinan masuk ke wilayah daratan karena fenomena tersebut hanya terjadi di wilayah perairan berbeda dengan angin puting beliung pada umumnya yang biasa merusak bangunan atau rumah penduduk Olehnya masyarakat khususnya nelayan di Provinsi itu diimbau agar tetap waspada tiga hingga tujuh hari ke depan karena kondisi cuaca tidak menentu Tetapi tidak semua awan cumulonimbus dapat menimbulkan fenomena serupa ada kondisi tertentu lain yang menyebabkan terjadinya fenomena sengkayan kata Alim menambahkan Awan yang berbetuk corong akibat gerakan angin yang berputar merupakan sebuah tornado non supersel di atas air terpantau terjadi di tiga titik perairan Donggala Dia memaparkan fenomena angin puting beliung umumnya terjadi pada periode masa transisi atau peralihan musim namun pada beberapa kasus dapat terjadi di luar periode tersebut tergantung pada kondisi atmosfer setempat kebanyakan terjadi di wilayah tropis dan subtropis dan angin ini sering terjadi di atas perairan dan fenomena serupa juga pernah terjadi di Sulawesi Tengah katanya Pewarta Muhammad Hajiji Moh RidwanEditor Rolex Malaha 
Taylor Swift donasikan 1 juta dolar AS untuk korban tornado Nashville, Jakarta Taylor Swift menyatakan menyatakan dukungan dan bantuan donasi sebesar juta dolar AS untuk para korban yang terkena dampak tornado di dan sekitar Nashville AS Kamis Nashville adalah rumah saya dan kenyataan bahwa begitu banyak orang telah kehilangan rumah mereka sungguh menghancurkan saya tulis Taylor di Instagram Stories dikutip dari E News Jumat Aku sudah menyumbang ke Middle Tennessee Emergency Response Fund Jika kamu ingin melakukan hal yang sama silahkan lakukan ujarnya lebih lanjut Sebelumnya pada Selasa tornado dahsyat melanda Tennessee Tengah Nashville Menurut NBC News peristiwa itu menewaskan sedikitnya orang sehingga menjadikannya peristiwa tornado paling mematikan kedua dalam sejarah AS Sejak berita itu beredar banyak artis musik country yang menyatakan dukungan mereka untuk mereka yang terkena dampak Selain Swift duo Dan Shay juga memberikan bantuan berupa konser amal dan donasi bagi korban terdampak tornado yang merupakan kampung halaman mereka tersebut Sejalan dengan tur kami yang dimulai besok di Nashville di Bridgestone Arena pada Jumat dan Sabtu melalui kekuatan musik kita semua akan bersatu untuk merayakan semangat kota kita yang luar biasa kata Dan Shay dalam sebuah pernyataan Atas nama Dan Shay kita juga akan memberikan donasi ribu dolar AS kepada The Community Foundation of Middle Tennessee Kami menantikan dua pertunjukan yang tak terlupakan di kota yang paling kami sayangi pungkasnya Pewarta Arnidhya Nur ZhafiraEditor Ida Nurcahyani 
Serangan udara di Yaman diklaim tewaskan 31 warga sipil, Sebanyak warga sipil terbunuh dan lainnya mengalami luka dalam serangan di area Al Hayjah Dubai Kelompok Al Houthi menuduh pasukan koalisi pimpinan Arab Saudi telah melakukan serangan udara balasan di Yaman pada Sabtu waktu setempat sehingga mengakibatkan jatuhnya puluhan korban tewas Kantor Perserikatan Bangsa bangsa PBB di Yaman berdasarkan laporan awalan di lapangan menyebut sebanyak warga sipil terbunuh dan lainnya mengalami luka dalam serangan di area Al Hayjah di provinsi Al Jawf yang dikuasai kelompok Al Houthi Sementara itu Kantor Kementerian Kesehatan di Al Jawf menyatakan bahwa perempuan dan anak anak termasuk dalam korban tewas tersebut seperti dilaporkan oleh Al Masirah TV yang dikelola oleh Al Houthi Peristiwa itu menyusul klaim Al Houthi sebelumnya pada Jumat yang menyebut bahwa kelompok yang beraliansi dengan Iran itu telah menembak jatuh pesawat perang Tornado milik musuh di area yang sama Namun juru bicara koalisi Arab Saudi Kolonel Turki al Maliki mengatakan bahwa pesawat jet Tornado itu mengalami kecelakaan di Al Jawf dikutip dari laporan Kantor Berita Negara Arab Saudi SPA sehari setelah klaim Al Houthi Maliki kemudian menyebut operasi penyelamatan telah dijalankan dan kemungkinan kerusakan tambahan telah dilaporkan tanpa menjelaskan rincian lebih lanjut Ia juga menambahkan bahwa dua kru telah dikeluarkan dari pesawat sebelum terjadi kecelakaan namun Al Houthi tetap melemparkan tembakan Sejauh ini tidak ada verifikasi independen mengenai serangan udara atau penembakan pesawat jet Tornado tersebut Menurut koordinator perwakilan PBB di Yaman dalam pernyataan tertulis kolega untuk urusan kemanusiaan sudah mengirimkan tim cepat tanggap untuk menolong para korban yang kebanyakan dipindahkan ke sejumlah rumah sakit di Al Jawf dan Sanaa demi perawatan lebih lanjut Gejolak konflik itu merupakan yang paling baru dalam perang yang telah berlangsung selama lima tahun Koalisi militer Islam Sunni pimpinan Arab Saudi mengintervensi Yaman sejak setelah Al Houthi menggulingkan pemerintahan yang diakui resmi secara internasional dari kekuasaan di ibu kota Sanaa pada Konflik kemudian meluas menjadi perang proksi antara Arab Saudi dan musuhnya di kawasan yaitu kelompok Muslim Syiah Iran Sumber Reuters Penerjemah SuwantiEditor Atman Ahdiat 
Al Houthi Yaman tembak jatuh pesawat tempur 'pasukan musuh', Kairo Juru bicara militer al Houthi Yaman Yahya Saria menyebutkan bahwa kelompok al Houthi menembak jatuh pesawat tempur tornado milik pasukan musuh di Al Jawf Kabar itu disampaikan oleh Al Masirah TV yang mengutip pernyataan juru bicara pada Jumat Ia mengatakan pesawat tempur itu jatuh ditembak peluru kendali udara ke darat yang canggih Tidak ada informasi langsung apakah kru pesawat itu tewas Sementara itu belum ada konfirmasi dari pasukan koalisi pimpinan Arab Saudi yang kini memerangi al Houthi dukungan Iran Sumber Reuters Indonesia Sampaikan Pesan Politik Soal Yaman Penerjemah Asri Mayang SariEditor Tia Mutiasari 
NTT alami 78 kali gangguan listrik karena pohon tumbang, Kupang PT PLN Persero Unit Induk Wilayah Provinsi Nusa Tenggara Timur mencatat sekitar kali peristiwa gangguan listrik terjadi akibat pohon tumbang selama kondisi cuaca buruk yang melanda wilayah provinsi setempat Gangguan pohon ini terjadi selama masa cuaca buruk yaitu pada Desember sebanyak kali dan pada Januari sudah kali kata Manager Komunikasi PT PLN Persero UIW NTT Margaretha Yupukoni di Kupang Kamis Dia menjelaskan gangguan listrik terjadi akibat pohon tumbang maupun ranting pohon yang patah akibat hujan dan angin kencang kemudian menimpa jaringan listrik di berbagai wilayah provinsi berbasiskan kepulauan itu Meski demikian gangguan yang berdampak pada padamnya listrik tidak berlangsung lama karena para petugas PLN di lapangan langsung dikerahkan melakukan pembersihan dan perbaikan jaringan yang rusak Selama masa cuaca buruk akhir akhir ini memang kami juga terus siaga dan sesegera mungkin melakukan pemulihan ketika terjadi gangguan listrik katanya Dia mengatakan dalam fenomena gangguan listrik seperti ini pihaknya mengimbau masyarakat setempat agar merelakan pohon miliknya yang berada di sekitar jaringan listrik akan dipangkas petugas PLN Masyarakat jangan melakukan penebangan sendiri tetapi melaporkan ke PLN setempat agar pemangkasan pohon dapat diawasi sehingga tidak terjadi hal hal yang tidak diinginkan Prinsipnya kami berharap pengertian dan kerja sama baik dari masyarakat sehingga sebisa mungkin mengurangi penyebab gangguan listrik selama masa cuaca buruk katanya 
Badai di AS selatan tewaskan 11 orang, Houston Sedikitnya orang kehilangan nyawa ketika badai hebat menyapu wilayah selatan di Amerika Serikat dengan membawa angin kencang tornado dan banjir Di antara korban jiwa tersebut satu polisi dan satu petugas pemadam kebakaran tewas di Lubbock Texas pada Sabtu pagi sementara satu orang berada dalam kondisi kritis setelah mereka tertabrak mobil ketika menangani kecelakaan lalu lintas menurut beberapa pejabat setempat Seorang pria tenggelam di Oklahoma setelah hanyut ke dalam arus banjir ketika ia mencoba keluar dari truknya yang terjebak banjir kata lembaga Patroli Jalan Raya Oklahoma Sabtu Satu pasangan manula ditemukan tak bernyawa pada Sabtu di dekat trailer mereka yang hancur di Lousiana sementara satu orang lainnya tewas di jalan raya yang menjadi es setelah truk yang dikendarai terbalik demikian dilaporkan media Ratusan ribu orang dari Texas hingga Ohio tidak mendapatkan layanan llistrik Beberapa jalan raya ditutup di Oklahoma dan Arkansas karena banjir Lebih dari penerbangan di dua bandara internasional Chicago dibatalkan menurut laman pelacak penerbangan Departemen Penerbangan Chicago Sumber Xinhua OANAPenerjemah Tia MutiasariEditor Mulyo Sunyoto 
Kecepatan angin di wilayah NTT capai 56 km/perjam, Kupang Badan Meteorologi Klimatologi dan Geofisika BMKG mencatat kecepatan angin di wilayah Nusa Tenggara Timur NTT mencapai kilometer per jam Kondisi ini menyebabkan terjadinya hujan disertai angin kencang dan gelombang tinggi melanda hampir seluruh wilayah perairan laut NTT kata Kepala BMKG Stasiun Meteorologi El Tari Agung Sudiono Abadi di Kupang Senin Menurut dia kondisi tersebut berdampak terhadap operasional armada pelayaran seperti kapal nelayan kapal motor penyeberangan dan kapal cepat yang melayani pulau pulau di provinsi berbasis kepulauan itu Cuaca buruk masih akan berlangsung beberapa hari ke depan terutama di wilayah Kabupaten Manggarai Manggarai Barat Manggarai Timur Ende Sikka Alor Sabu Rote Ndao Timor Tengah Selatan Sumba Timur dan Sumba Barat Daya Mengenai pemicu dia mengatakan angin kencang dipicu tekanan rendah di Samudera Hindia sebelah barat daya Pulau Sumba milibar Kapal fery lego jangkar akibat cuaca buruk Bernadus Tokan Kondisi ini diperkirakan akan semakin rendah menyebabkan terjadi pertemuan angin konvergensi serta belokan angin di atas wilayah NTT Anomali suhu muka laut di wilayah Samudera Hindia selatan NTT berkisar derajat celcius hingga derajat celcius yang meningkatkan pertumbuhan awan hujan dan angin kencang Karena itu masyarakat diimbau agar waspada dan berhati hati terhadap dampak yang dapat ditimbulkan seperti banjir tanah longsor genangan pohon tumbang sambaran petir dan jalan licin Sementara itu tinggi gelombang dilaporkan berkisar antara hingga meter Kondisi ini diprakirakan akan berlangsung hingga Januari pukul WITA 
Sembilan rumah rusak akibat puting beliung di Hadakewa Lembata, Kupang Sebanyak sembilan unit rumah warga rusak akibat diterjang angin puting beliung yang melanda Desa Hadakewa Kecamatan Lebatukan Kabupaten Lembata Provinsi Nusa Tenggara Timur Selain sembilan rumah warga aset pemerintah desa seperti balai maupun lapangan futsal juga rusak akibat puting beliung kata Kepala Desa Hadakewa Klemens Kwaman ketika dihubungi Antara dari Kupang Senin Angin puting beliung menerjang wilayah setempat pada Ahad sekitar pukul WITA Klemens menjelaskan angin puting beliung datang dengan cepat dan langsung menghantam pemukiman penduduk setelah sebelumnya hujan lebat melanda desa setempat Angin berlalu dengan cepat tapi sangat kencang sehingga membuat pohon pohon tumbang menimpa rumah warga hingga ada yang rata dengan tanah atapnya terangkat semua dan ada yang rusak sebagian katanya Bencana puting beliung tersebut tidak menelan korban jiwa hanya merusak rumah warga dan fasilitas umum Warga yang mengalami kerusakan berat untuk sementara mengungsi ke rumah sanak keluarganya Pemerintah desa bersama warga dibantu aparat TNI Polri telah melakukan penanganan awal dengan membersihkan puing puing bangunan yang rusak Mengenai bantuan Klemens mengatakan belum disalurkan dari pemerintah kabupaten namun informasi yang diperolehnya bahwa bantuan sedang dipersiapkan Kami di pemerintah desa juga segera mengadakan musyawarah bersama warga untuk menentukan langka penanganan atau bantuan selanjutnya katanya 
