title,content
Soal Planet Wasp-76b yang Memiliki Temperatur 2.400 Derajat Celsius, Jenewa Gambaran di Planet Wasp b disebut seperti dalam film fiksi ilmiah karena di planet ini terjadi hujan besi Bayangkan bukan butiran air namun butiran besi turun dari langit kata Dr David Ehrenreich dari Universitas Jenewa Swiss kepada wartawan sains BBC News Jonathan Amos Ia dan timnya melakukan pengamatan mendalam terhadap Planet Wasp b dan hasilnya diterbitkan di jurnal ilmiah Nature Suhu maksimal bisa mencapai derajat Celsius cukup untuk melelehkan logam Tingginya temperatur di Wasp b karena posisi planet ini yang sangat dekat dengan bintang yang ia kelilingi Bintang ini seperti Matahari kita Bumi berubah menjadi Planet Plastik Planet raksasa yang seharusnya tidak ada ditemukanIlmuwan temukan atmosfer di planet mirip BumiSementara di bagian lain suhunya derajat lebih rendah menyebabkan logam mengalami kondensasi dan menjadi hujan Fitur Wasp b mirip dengan Bulan kita Dari Bumi kita selalu menatap sisi Bulan yang sama tak berubah Kita tak pernah melihat sisi lainnya Demikian juga Wasp b Sisi yang menghadap bintang yang dikelilinginya tak berubah Pada sisi ini selalu siang hari sementara sisi lainnya yang memunggungi bintang selalu malam hari Akibatnya sisi Wasp b yang selalu menghadap bintang seakan terpapar panas yang luar biasa Sebegitu panasnya awan akan langsung menguap dan semua molekul di atmosfer langsung terpecah menjadi atom atom Tim dari Universitas Jenewa Swiss menjelaskan kondensasi atau pengembunan terjadi di bagian planet yang tidak terpapar sinar Dalam gambar Ketika planet Venus begitu cemerlangAir untuk pertama kalinya ditemukan di sebuah planet yang layak huni Penemuan tujuh planet seukuran bumi adakah makhluk di sana Di bagian yang tidak terpapar sinar meski suhunya tetap saja panas yaitu sekitar derajat Celsius masih tergolong cukup dingin untuk mengubah besi menjadi awan kemudian menjadi hujan dan diperkirakan turun ke bawah layaknya butiran air Sejauh ini karena keterbatasan alat tim pakar belum bisa memastikan apa yang terjadi ketika hujan besi ini memasuki lapisan atmosfer Wasp b yang lebih rendah Planet ini berada tahun cahaya dari Bumi dan hanya perlu waktu jam untuk mengitari bintangnya Hasil pengamatan lain yang didapat tim pimpinan Dr Ehrenreich adalah perbedaan yang ekstrem antara suhu di bagian Wasp b yang terpapar dan yang tidak terpapar matahari sehingga menyebabkan angin berhembus kencang dengan kecepatan hingga km jam Para ahli mengatakan Wasp b adalah planet gas raksasa lebih besar dari Jupiter planet terbesar di system Tata Surya kita Wasp b ditemukan empat tahun lalu dan hasil kajian atas planet tersebut diterbitkan di jurnal ilmiah belum lama ini Profesor Don Pollacco dari Universitas Warwick Inggris yang ikut menemukan Wasp b mengatakan sulit membayangkan dunia eksotik di permukaan Planet Wasp b Wasp b mengorbit dengan sangat dekat ke bintangnya Sebegitu dekat ia berada di atmosfer bintang tersebut ujar Pollacco Akibatnya hukum hukum fisika di permukaan Wasp b tak bisa kita pahami tambahnya Mungkin kata Pollacco Wasp b akan dimakan oleh bintang yang ia kelilingi atau radiasi dari bintang akan menghilangkan atmosfer planet sehingga yang tersisa hanya inti planet yang membara Dr Ehrenreich mengatakan ia adalah penyuka novel bergambar dan meminta ilustrator Swiss Frederik Peeters menginterpretasi seperti apa rupa dan permukaan Wasp b Hasilnya gambar gambar yang punya unsur jenaka sesuatu yang memang disengaja Dr Ehrenreich mengatakan langkah ini diambil karena ketika ada penemuan planet baru orang kadang sulit membedakan foto asli dan gambar hasil olahan dengan menggunakan komputer nvc nvc bbc magazine bbc planet wasp b 
"Kapal Angkut Pemudik Tenggelam di Maluku: 10 Selamat, 6 Tewas, dan 3 Hilang", Ambon Kapal motor KM Selgbadan Kamar Jaya yang mengangkut pemudik tenggelam akibat dihantam gelombang tinggi disertai angin kencang di sekitar Perairan Pulau Trangan Kabupaten Kepulauan Aru Maluku Sebanyak orang ditemukan selamat orang meninggal dunia dan orang masih dicari tim SAR gabungan Kapal yang memiliki panjang meter dan lebar meter berangkat pada Kamis dengan rute dari Dobo Kabupaten Kepulauan Aru ke Batu Goyang Kabupaten Kepulauan Aru Maluku Kapal tersebut terbalik sekitar perairan Pulau Trangan Kabupaten Kepulauan Aru pada Jumat sekitar pukul WIT Sebanyak orang berangkat dari Dobo tujuan Desa Batugoyang dan mengalami kecelakaan dihantam gelombang disertai angin kencang yang mengakibatkan kapal tersebut terbalik di perairan Pulau Trangan kata Kapala SAR Ambon Muslimin saat dihubungi Sabtu idh idh biromakassar ambon maluku kapal terbalik 
BMKG Prediksi Medan dan Sekitarnya Diguyur Hujan Malam Ini, Medan Badan Meteorologi Klimatologi dan Geofisika BMKG memprediksi Kota Medan dan sekitarnya diguyur hujan nanti malam atau bertepatan dengan malam takbiran Idul Fitri H Hujan diperkirakan turun dengan intensitas sedang Berdasarkan data dari situs BMKG Sabtu hujan diperkirakan mengguyur Medan pada malam hingga dini hari nanti Suhu di Medan diperkirakan derajat Celsius Waspada hujan sedang hingga lebat yang disertai petir dan angin kencang di sebagian wilayah pegunungan lereng timur dan pantai timur Sumatera Utara yang dapat menyebabkan banjir longsor dan angin kencang tulis BMKG Sementara itu BMKG memperkirakan cuaca cerah bakal terjadi di seluruh wilayah Sumatera Utara pada Minggu pagi atau bertepatan dengan Idul Fitri H Namun hujan diperkirakan turun pada siang hingga malam hari haf haf biromedan prakiraan cuaca takbiran idul fitri idul fitri bmkg medan 
Atap SPBU di Cilegon Ambruk Usai Diterjang Angin Kencang, Cilegon Atap SPBU di Jalan Lingkar Selatan JLS Cilegon Banten ambruk usai diterpa angin kencang disertai hujan deras Sejumlah pohon juga dilaporkan tumbang Hujan dan angin kencang terjadi sekitar pukul WIB Atap SPBU di Cilegon ambruk dan menimpa sebuah mobil yang sedang mengisi bahan bakar minyak Betul sementara laporan atap SPBU roboh kata salah seorang anggota polisi Iptu Sigit Darmawan Jumat isa isa cilegon ambruk atap spbu ambruk angin kencang 
"Sungai Saddang Meluap Rendam Permukiman Warga di Pinrang, Sulsel", Pinrang Bencana banjir melanda satu dusun di Kabupaten Pinrang Banjir itu sempat membuat jalanan hingga masjid tergenang Banjir itu terletak di Dusun Cilallang Desa Bababinanga Kecamatan Duampanua Kabupaten Pinrang Sulawesi Selatan Banjir setinggi lebih dari meter menggenangi sekita rumah yang berada di pinggir Sungai Saddang Jumat Banjir di satu desa di Pinrang Sulsel Hasrul Nawir detikcom Andi Irwan menjelaskan lokasi tersebut memang telah menjadi langganan banjir sejak dahulu dnu dnu banjir sulawesi selatan sungai meluap 
"Diguyur Hujan Deras-Angin Kencang, Baliho hingga Pohon di Palembang Tumbang", Palembang Hujan deras disertai angin kencang melanda Kota Palembang Sumatera Selatan Sejumlah baliho dan pohon pun tumbang Hujan deras dan angin kencang hari ini banyak pengaduan Langsung kami cek dan tinjau ke lapangan ujar Sekda Kota Palembang Ratu Dewa Jumat Foto Pohon dan baliho tumbang di Palembang akibat diterjang hujan angin kencang Raja Adil detikcom Tercatat ada lebih pohon tumbang Ada juga baliho banner dan tiang listrik Semua sudah ditangani tim di lapangan kata Ratu Dewa ras haf biromedan palembang hujan deras 
"Hujan Deras Disertai Angin, 11 Pohon di Surabaya Bertumbangan", Surabaya Hujan deras disertai angin kencang melanda Kota Surabaya siang hari ini Akibat hujan disertai angin beberapa pohon di Surabaya tumbang Pantauan detikcom di Jalan Tidar Surabaya pohon waru tumbang menutup setengah bagian jalan Beruntung petugas dari DKRTH Surabaya dan BPB Linmas Surabaya cepat datang dan memotong pohon yang berukuran sekitar meter tersebut Salah satu warga Marcus mengatakan pohon tumbang terjadi sesaat sebelum hujan turun Kejadian itu menurutnya terjadi pada pukul WIB iwd iwd pohon tumbang hujan deras hujan angin pohon tumbang di surabaya birojatim 
"Perahu Terbalik, 2 Nelayan 4 Jam Terombang-ambing di Lautan Sulsel", Bantaeng Tim SAR Gabungan berhasil menyelamatkan orang nelayan yang jam terombang ambing di lautan usai perahunya dihantam ombak Insiden tersebut terjadi di wilayah perairan Bantaeng Sulawesi Selatan Sulsel Korban selamat Sementara perahu korban sedang kita tarik ke pesisir ujar Koordinator Basarnas Bantaeng Arman Amiruddin kepada detikcom Jumat Korban yang diketahui bernama Immank dan Aspar itu disebut pergi melaut usai sahur sekitar pukul WITA dini hari tadi Namun berselang satu jam kemudian sekitar pukul WITA perahu kecil berkapasitas orang yang ditumpangi korban terbalik akibat dihantam ombak Memang cuaca buruk tadi angin kencang sehingga perahu korban dihantam ombak Cuma perahunya bahan fiber kan pas terbalik masih mengapung jadi mereka naik di atas perahu Dia bertahan di situ selama jam sampai kami datang evakuasi katanya Selanjutnya Halaman biromakassar bantaeng sulawesi selatan nelayan ombak 
"Gempa M 3,8 Terjadi di Lombok Barat NTB", Jakarta Gempa magnitudo M terjadi di Lombok Barat Nusa Tenggara Barat NTB Pusat gempa berada di darat Badan Meteorologi Klimatologi dan Geofisika BMKG melalui laman resminya menginformasikan gempa terjadi pada Jumat sekitar pukul WIB Gempa berada di Kilometer barat daya lombok barat Pusat gempa berada di darat km barat daya Lombok Barat tulis BMKG lir lir bmkg gempa lombok ntb gempa terkini 
Polisi Selidiki Video Pemulung Dipukuli-Dituduh Maling di Tuntungan Sumut, Jakarta Sebuah video yang memperlihatkan aksi pemukulan terhadap pemulung oleh sejumlah orang viral di media sosial Polisi pun turun tangan untuk menyelidiki kasus tersebut Kasat Reskrim Polrestabes Medan AKBP Ronny Nicolas Sidabutar mengatakan bakal mengecek kejadian tersebut Dia mengatakan bakal menyelidiki lokasi kejadian tersebut Kami selidiki dulu lokasi kejadiannya sebut Ronny Kamis fas fas pemukulan biromedan deli serdang polisi 
