title,content
"Topan Amphan Hantam Bangladesh-India di Masa Corona, Terkuat Dalam 20 Tahun", Bangladesh Topan amphan paling kuat telah menghantam Bangladesh dan India timur Bencana topan ini melanda ketika warga sedang menghindari wabah virus Corona Seperti dilansir AFP Kamis topan ini adalah yang terkuat dalam tahun terakhir ini Angin merobohkan rumah rumah dan membawa mobil menyusuri jalan jalan banjir Setidaknya lebih dari selusin orang tewas dalam musibah ini Selanjutnya Halaman bangladesh india topan topan amphan corona covid 
Lebih dari 140 Ribu Warga Filipina Mengungsi karena Topan di Tengah Corona, Samar Puluhan ribu warga Filipina berdesakan di pusat pusat tempat evakuasi dan pengungsian usai dilanda Topan Vongfong pada Mei Padahal mereka harus menjaga protokol jarak sosial untuk mencegah penularan virus Corona COVID Seperti dilansir dari AFP Jumat Topan Vongfong telah menumpahkan hujan lebat dan merusak atap rumah warga sejak terjadi di pulau Samar tengah pada Kamis Badai melanda ketika puluhan juta orang Filipina berdiam diri di rumah untuk mencegah penyebaran virus corona Pejabat bencana setempat mengatakan setidaknya ada orang harus mengungsi karena topan yang ganas Kita harus mengenakan masker dan menerapkan social distancing setiap saat kata pejabat polisi setempat Carlito Abriz aturan jarak sosial sulit untuk ditegakkan karena mereka para pengungsi tertekan Tetapi kami melakukan yang terbaik lanjutnya Pihak berwenang mengatakan mereka akan menjalankan tempat penampungan dengan setengah kapasitas memberikan masker kepada orang orang dan mencoba mengelompokkannya bersama keluarga masing masing Namun banyak ruang yang biasanya digunakan sebagai tempat berlindung dari badai telah dikonversi menjadi tempat karantina bagi orang yang diduga terinfeksi Corona Tantangannya benar benar terletak pada jarak fisik kata pejabat bencana Junie Castillo Selanjutnya Halaman topan vongfong angin topan bencana angin topan filipina angin topan filipina corona covid virus corona di filipina 
Topan Ambo Hantam Timur Laut Filipina, Manila Topan yang membawa angin berkecepatan hingga kilometer per jam saat ini melanda provinsi Samar di timur laut Filipina Angin kencang yang disertai hujan deras memaksa warga mengungsikan diri lapor pemerintah lokal Angin yang menerjang daerah San Policarpo Topan Ambo tercatat disertai hembusan berkecepatan km jam Amukan topan diyakini akan berdampak pada setidaknya provinsi termasuk ibukota Manila yang sudah menerbitkan alarm bencana Topan Ambo adalah bencana pertama yang melanda Filipina sejak wabah Corona merajalela Ini akan memperburuk situasi darurat yang sedang kita alami tutur juru bicara Kepresidenan Harry Roque Namun begitu dia memastikan sejumlah kawasan yang berada di jalur lintasan topan tidak terlalu terdampak oleh COVID Kami sudah membuat panduan terkait Saat ini angka penyebaran virus Corona di Filipina masih merangkak ke atas Tercatat lebih dari warga tertular dan setidaknya orang meninggal dunia Dampak Topan Ambo dikhawatirkan bakal memicu gelombang pengungsi yang membeludak di rumah dan tenda penampungan Kondisi ini berpotensi mempercepat penyebaran virus di kalangan penduduk Sebab itu pemerintah lokal kebingungan melindungi warga dari ancaman berganda Situasinya sangat rumit kata Benjamin Ver Walikota Jipapad di timur provinsi Samar Kota berpenduduk orang itu dibentengi pegunungan dan dua sungai yang selalu meluap saat hujan deras Saat Topan Ambo tiba satu satunya tempat berlindung bagi warga adalah gedung sekolah dan kantor wali kota Pembatasan sosial di kamp penampunganWalikota Ver yang juga satu satunya dokter di kota itu memastikan pihaknya sudah memiliki jumlah masker wajah yang cukup buat melindungi warga di gedung evakuasi Menaati aturan pembatasan sosial hampir mustahil di kamp pengungsi kata Ver Beruntung Jipapad dan kawasan timur provinsi Samar sejauh ini terbebas dari virus Corona klaim Gubernur Samar Timur Ben Evardone Dia mengatakan semua kamp penampungan darurat saat ini sudah dilengkapi fasilitas karantina dan isolasi lengkap dengan perlengkapan medis Hal serupa dilakukan di provinsi Jiran Gubernur Samar Utara Edwin Ongchuan mengklaim dia sudah meminta agar jumlah gedung sekolah yang diubah menjadi kamp pengungsi dilipatgandakan Tujuannya adalah untuk menampung penduduk yang dievakuasi dari desa desa di pesisir Jika sebelumnya kita cuma memakai gedung sekolah sekarang kita butuh untuk mengakomodasi pengungsi dengan aturan pembatasan sosial ujar Ongchuan Badan Meteorologi Filipina Pagasa mewanti wanti topan akan menyebabkan banjir mematikan di kawasan pesisir termasuk luapan air serta menganjurkan warga menghindari perjalanan laut Topan Ambo adalah istilah lokal untuk Vongfong kata dalam bahasa Vietnam untuk tawon yang diambil sebagai nama buat topan teranyar di Filipina itu Pemerintah memastikan ibu kota Manila tidak akan terdampak langsung oleh badai namun akan tetap mengalami angin kencang Semua tenda tenda medis yang dibangun untuk menangani pasien COVID diminta agar segera dipindahkan Setiap tahun Filipina rata rata dilanda sebanyak siklon tropis yang memicu banjir tanah longsor dan berbagai jenis bencana lain Terakhir jiran di timur laut mengalami bencana topan terhebat pada tahun ketika badai Haiyan menewaskan orang dan memaksa empat juta penduduk mengungsi rzn ml dpa rtr nvc nvc dw filipina topan ambo 
"Lagi Keliling Dunia, Pria Ini Terjebak di Hong Kong karena Corona", Hong Kong Seorang pria memiliki misi untuk mengunjungi setiap negara di dunia dalam satu perjalanan Namun gara gara COVID perjalanannya terhenti Seperti dilansir CNN Travel Jumat pria berusia tahun telah menjalani misi mengelilingi negara dengan backpacker TorbjÃ rn Thor Pedersen telah melakukan perjalanan selama setengah tahun dan sampai sekarang telah mencapai negara Satu masalah yang dihadapi adalah ketika COVID mulai mewabah ketika dia berada di Hong Kong Berbagai pembatasan perjalanan yang dilakukan membuat perjalanannya tersendat selama puluhan hari Selama di Hong Kong dia menghabiskan hari harinya dengan melewati berbagai jalur pendakian bekerja dengan masyarakat palang merah setempat dan juga memberikan motivasi Tak hanya itu pria ini juga mencatat perjalanannya di sebuah blog Once Upon a Saga Gambas Instagram Selanjutnya Halaman pelancong keliling dunia covid hong kong 
7 Alasan Bersyukur Tinggal di Planet Bumi, Jakarta Hari ini April adalah hari Bumi planet yang sungguh sempurna untuk makhluk hidup termasuk manusia NASA pun menyebutkan beberapa alasan kenapa manusia harus tak henti bersyukur tinggal di planet ini Dihimpun detikInet Rabu berikut daftarnya Bisa Bernapas Leluasa Bernapas dengan oksigen di Bumi tampak seperti peristiwa biasa saja Akan tetapi planet ini satu satunya yang memungkinkan makhluk hidup menghirup udara bersih dengan bebas Coba lihat seperti apa kondisinya di Planet Mars Tanpa kostum antariksa yang menyediakan dukungan untuk hidup manusia harus menghirup karbondioksida di sana gas beracun yang biasanya kita keluarkan sebagai buangan Selain itu atmosfer tipis di Mars kali lebih tipis dari Bumi dan tiadanya medan magnet global akan membuat kita rentan terhadap radiasi berbahaya yang merusak sel dan DNA gravitasi rendahnya pun akan memperlemah tulang kita tulis Stacy Tiedeken dari Goddard Space Flight Center Planet Mars Foto NASA Tanah Solid untuk BerpijakBumi diberkati dengan permukaan solid Ilmuwan NASA pun membandingkan dengan Matahari Jika mencoba berdiri di permukaan Matahari yang terlihat disebut sebagai photosphere Anda akan langsung jatuh ribu kilometer menuju lapisan plasma sangat terkompresi Belum lagi tekanan di sana juta kali lebih kuat dari titik terdalam samudera di Bumi Selanjutnya Halaman planet bumi hari bumi nasa 
Deretan Tempat Tidur Kardus di Bandara Narita Imbas Virus Corona, Jakarta Area pengambilan bagasi di Bandara Narita disulap menjadi penampungan penumpang dengan tempat tidur kardus dari penerbangan internasional Buat apa Tempat tidur dari kardus yang dilengkapi dengan kasur tipis bantal dan selimut itu berjejer di sepanjang area klaim bagasi Jumlahnya puluhan Penampakan kasur kasur dengan dinding kardus itu menjadi viral di Twitter Tempat tidur kardus itu berupa ranjang terbuka dengan partisi dan satu bagian berupa pintu Di samping tempat tidur kardus disediakan troli untuk tempat minuman dan makanan ringan termasuk bola nasi Fasilitas itu disediakan oleh Bandara Narita Rupanya tempat tidur kardus itu menjadi tempat tinggal sementara bagi mereka yang baru saja traveling dari wilayah yang dianggap epincentrum virus Corona di antaranya Eropa dan Amerika Tempat tidur itu diperuntukkan bagi penumpang yang sedang menunggu hasil rapid test virus Corona Setelah hasil tes keluar barulah penumpang bisa meninggalkan bandara asalkan menggunakan kendaraan pribadi atau dijemput Gambas Video detik fem fem bandara narita wisata jepang jepang kasur kardus jepang 
Doa-doa Ketika Turun Hujan yang Bisa Diamalkan, Jakarta Rasulullah Shallallahu alaihi wa sallam seperti diriwayatkan dalam sejumlah hadits memberikan tuntutan tentang doa doa ketika turun hujan Ada sejarahnya sehingga umat Islam dianjurkan membaca doa saat hujan turun hujan disertai petir juga ketika hujan sedang berhenti Suatu hari ketika terjadi hujan lebat wajah Rasulullah Shallallahu alaihi wa sallam yang biasanya cerah bersinar mendadak berubah Wajah sang penghulu rasul yang lemah lembut itu mendadak pucat Wajah putra Abdullah bin Abdul Muthalib itu akan kembali cerah bersinar setelah hujan reda Aisyah radhiyallahu anha sang istri pun bertanya kepada Rasulullah Ya Rasulullah apabila terlihat awan mendung semua orang merasa gembira karena menandakan hujan akan turun tetapi mengapa engkau justru terlihat ketakutan Kepada Aisyah binti Abu Bakar Rasulullah SAW pun menjawab Wahai Aisyah bagaimana saya dapat meyakini bahwa angin kencang dan awan mendung itu bukan mendatangkan adzab dari Allah Kaum Ad telah dibinasakan oleh angin topan Ketika mereka melihat awan mendung mereka gembira karena mengira akan segera turun hujan Padahal bukan hujan melainkan adzab Allah untuk membinasakan mereka erd pay doa hujan doa hujan lebat doa petir doa hujan turun hikmah detik muslim berita islam 
"Jarang Terjadi, Kyoto Kini Sepi Turis", Kyoto Jepang menjadi destinasi favorit untuk liburan Karena wabah virus Corona Jepang mulai surut turis Salah satu kota yang terdampak adalah Kyoto Kyoto menjadi salah satu destinasi primadona di Negeri Sakura Bekas ibukota Jepang ini memang menyimpan segudang atraksi budaya dan alam yang jadi favorit turis khususnya wisatawan Indonesia Namun penyebaran virus Corona juga memberikan dampak pada pariwisata Jepang Diintip detikcom dari CNN Kota Kyoto mulai terlihat sepi turis Hal ini sangatlah jarang terjadi Untuk kembali menarik turis sekelompok pelaku pariwisata di Kyoto meluncurkan kampanye Empty Tourism Kampanye ini berisikan foto dan informasi bahwa sederet tempat wisata di Arashiyama kosong melompong Gambas Twitter Kampanye ini disebarkan melalui akun Twitter sagaarashiyamao Dalam postingan tersebut disebutkan ada destinasi favorit yang bisa dinikmati tanpa ada gangguan turis Sebut saja Togetsukyo Bridge yang kini sepi dari turis millennial Biasanya tempat ini selalu ramai untuk foto foto Instagrammable Foto JNTO Kalau bicara Kyoto pasti tak bisa lepas dari pesona Sagano Bamboo Forest Tempat wisata alam yang menghadirkan keindahan bambu bambu ini menjadi lokasi favorit untuk berfoto Gambas Video detik bnl ddn jepang kyoto virus corona 
"Drama 'Crash Landing on You' Populer, Kenali 5 Makanan Khas Korea Utara!", Jakarta Kepopuleran drama Korea Crash Landing on You menyita perhatian banyak orang Selain penasaran dengan kisah romantisnya yuk kenali makanan khas Korea Utara Crash Landing on You merupakan drama televisi asal Korea Selatan yang menarik perhatian banyak pencinta drama Mengisahkan tentara asal Korea Utara yang jatuh cinta dengan perempuan pewaris generasi ketiga yang memiliki perusahaan fashion di Korea Selatan Kisah cinta mereka dimulai saat Tentara asal Korea Utara yaitu Ri Jeong Hyeok Hyun Bin menolong Yoon Se Ri Son Ye Jin Yoon Se Ri saat itu terdampar di sebuah pohon di salah satu hutan Korea Utara karena angin topan saat ia sedang bermain paralayang Drama tersebut kini sudah berakhir dengan total episode Pada episode terakhir rating drama Korea ini bahkan mencapai angka dan disebut mengalahkan drama Korea Goblin yang sempat populer saat itu Para penikmat drama ini tak hanya menikmati setiap alur cerita yang dihadirkan pada drama Crash Landing on You tapi juga soal budaya Korea Utara yang sangat misterius Karena memang negara ini merupakan salah satu negara yang disebut sebagai rezim paling otoriter Tak hanya budaya Korea Utara yang membuat banyak orang penasaran namun juga makanan khasnya Apakah sama seperti Korea Selatan Yuk kenali makanan khas Korea Utara berikut ini Baca Juga Paling Hobi Makan Kim Jong Un Pernah Takut Kelaparan hingga Obesitas yms adr crash landing on you drama crash landing on you makanan khas korea utara makanan korea utara crash landing on you raih rating tertinggi 
Begini Dampak Badai Sabine yang Porak-porandakan Eropa, Berlin Minggu pagi waktu setempat badai besar telah menerjang Eropa utara dan kemudian bergerak menuju selatan Badai musim dingin ekstrem yang dikenal dengan sebutan Ciara atau Sabine itu telah membuat sejumlah kegiatan publik dan layanan perjalanan berhenti beroperasi Berikut dampaknya bagi sejumlah negara Eropa Jerman Jerman telah mengeluarkan peringatan badai terkuat kedua yang menerjang sebagian besar wilayahnya Di beberapa bagian Black Forest peringatan akibat badai telah dinaikkan statusnya ke tingkat tertinggi Senin dini hari dua orang mengalami luka serius akibat tertimpa pohon tumbang di kota SaarbrÃ¼cken Badai Sabine yang memiliki kecepatan angin km per jam telah mengakibatkan sejumlah pohon tumbang dan menyebabkan gangguan lalu lintas Pada Minggu sore kecepatan angin mencapai km per jam dan menghantam pegunungan Harz di Jerman tengah Sementara di Kiel kecepatan angin di angka km per jam Minggu siang Bandara DÃ¼sseldorf membatalkan penerbangan atau mengalihkan sebanyak penerbangan Kebijakan serupa juga dilakukan pihak Bandara Colonge Bonn Kedua bandara memberi pengumuman kepada para penumpang untuk melanjutkan penerbangannya pada Senin Juru bicara operator Bandara Frankfurt mengatakan sekitar keberangkatan dan kedatangan yakni sekitar persennya dari penerbangan yang terjadwal juga telah dibatalkan Ia juga menambahkan penerbangan yang telah dijadwalkan pada Senin juga dibatalkan Sementara operator maskapai nasional Lufthansa mengatakan penerbangan jarak dekat dan jarak jauh dari Bandara MÃ¼nchen juga telah dihentikan sementara hingga Senin siang Operator kereta Deutsche Bahn DB mengatakan akan menghentikan perjalanan kereta jarak jauh sebagai akibat adanya badai Sabine Karena perkembangan saat ini dan angin yang sangat kuat kami telah memutuskan untuk menghentikan sementara semua lalu lintas jarak jauh secara progresif di Jerman mulai dari waktu setempat ujar DB Kereta dibatalkan hingga setidaknya Senin pukul pagi Pertandingan Bundesliga antara Borussia MÃ nchengladbach dan Cologne yang tiketnya telah habis terjual juga dibatalkan Piala Dunia Ski Jumping di Willingen di negara bagian Hesse juga telah dibatalkan sejak Sabtu InggrisBadai Sabine juga menerjang Inggris dan disebut sebagai yang terkuat sejak tahun Badan Meteorologi Inggris mengeluarkan lebih dari peringatan banjir setelah terjadi hujan lebat yang menyebabkan beberapa sungai meluap Curah hujan yang turun di kawasan taman nasional Lake District Inggris dalam periode jam berada di angka lebih dari milimeter Cuaca buruk juga menyebabkan pohon tumbang dan menyebabkan sekitar ribu rumah mengalami pemadaman listrik Badan Meteorologi Inggris menyebutkan kekuatan angin tercatat km per jam di Aberdaron Wales utara Puluhan jadwal penerbangan dibatalkan dan perjalanan kereta api dihentikan sementara Maskapai British Airways menawarkan pemesanan ulang bagi penumpang yang penerbangannya dibatalkan Perusahaan kereta api nasional Inggris menyarankan penumpang untuk tidak melakukan perjalanan menggunakan kereta api hingga waktu yang ditentukan Sejumlah kapal feri di pelabuhan Dover Inggris terpaksa menghentikan kegiatan berlayar mereka akibat gelombang besar Puluhan acara olahraga dibatalkan termasuk pertandingan Liga Premier antara Manchester City dan West Ham derbi sepak bola Liga Super Wanita dan dua pertandingan rugby Liga Super Di Skotlandia tiga orang dilaporkan terluka akibat tertimpa atap pub yang ambruk BelgiaSementara pada Minggu pukul pagi waktu setempat Badai Sabine telah menerjang kawasan Belgia dengan kecepatan angin sekitar km jam atau lebih Sekitar penerbangan di Bandara Brussels telah dibatalkan termasuk penerbangan maskapai Lufthansa dan Eurowings Sementara pertandingan kejuaraan liga sepak bola Belgia pada Minggu harus ditunda PrancisPihak berwenang telah memperingatkan adanya sejumlah kerusakan akibat banjir dan badai di barat laut Prancis Di pegunungan Vosges kecepatan angin diperkirakan mencapai km per jam Pihak berwenang memperingatkan warga agar tidak pergi ke hutan dan memarkir mobil di bawah pohon Pelabuhan Calais ditutup karena gelombang yang berbahaya BelandaBadai dengan kecepatan angin km per jam terjadi pada Minggu siang Otoritas setempat memperingatkan warga untuk meninggalkan karavan mereka Sementara asosiasi sepak bola nasional membatalkan semua pertandingan liga profesionalnya Maskapai KLM menghentikan membatalkan puluhan penerbangan dari dan ke bandara Schiphol Amsterdam Namun sejumlah pengendara olahraga sepeda ekstrem tetap berkompetisi di Kejuaraan Bersepeda Headwind Belanda dan mengabaikan peringatan pihak berwenang Mereka mengendarai sepeda sepanjang kilometer di pantai Zeeland Acara ini disebut sebagai kegiatan bersepeda gunung versi Belanda IrlandiaBadan cuaca nasional Irlandia memperingatkan bahwa wilayah pantai di utara dan barat laut mungkin akan terkena banjir sebagai akibat dari naiknya air laut Akibat badai sebuah acara di Galway yang bertajuk Ibu Kota Kebudayaan Eropa telah dibatalkan pada Sabtu malam Dalam siaran media Irlandia RTE menyebutkan sekitar ribu rumah mati listrik DenmarkSebelumnya ramalan cuaca telah memperingatkan bahwa kekuatan angin topan bisa menghantam Denmark pada Minggu malam Surat kabar Denmark Jyllands Posten melaporkan seorang wanita dan seorang anak hanyut ke laut dari sebuah dermaga namun keduanya berhasil diselamatkan Setelahnya banyak warga juga melaporkan beberapa kecelakaan lalu lintas Pengemudi motor dilarang menggunakan jembatan besar seperti Great Belt Bridge yang menghubungkan bagian timur dan barat Denmark NorwegiaInstitut Meteorologi Norwegia mengeluarkan peringatan kepada warga di bagian selatan dan timur hingga Minggu malam Beberapa layanan feri menuju Swedia dan Denmark dihentikan dan beberapa jalan ditutup Angin kencang mencegah kapal penumpang Denmark berlabuh di Oslo pkp rap Reuters AFP AP dpa ita ita dw news badai sabine eropa 
