title,content
"Gudang di Koja Jakut Terbakar, Diduga Akibat Korsleting Listrik", Jakarta Sebuah gudang di Jakarta Utara Jakut terbakar Kebakaran diduga terjadi karena korsleting listrik Dugaan kebakaran sebab arus pendek listrik kata Kepala Suku Dinas Penanggulangan Kebakaran dan Penyelamatan Jakarta Utara Rahmat Kristantio dalam keterangannya Minggu Rahmat mengatakan sebanyak unit mobil damkar diturunkan untuk memadamkan api Api pun berhasil dipadamkan sekitar pukul WIB elz elz kebakaran kebakaran gudang jakarta utara 
Sanksi Buat Travel Gelap yang Angkut Pemudik: Dikandangkan!, Jakarta Kementerian Perhubungan Kemenhub menyatakan pemerintah melarang aktivitas mudik Untuk itu Kemenhub akan memperketat pengawasan transportasi Sesuai dengan kebijakan pemerintah yang sudah dengan tegas melarang mudik Kemenhub bersama stakeholder terkait fokus untuk melakukan pengetatan pengawasan transportasi mulai masa menjelang Idul Fitri arus mudik hingga masa setelah Idul Fitri arus balik kata Juru Bicara Kemenhub Adita Irawati dalam keterangannya Jumat Secara umum pengawasan ini terbagi menjadi tiga fase Fase pertama fase jelang Idul Fitri yang dimulai sejak ditetapkannya Permenhub pada April sampai dengan Mei Kedua fase pada saat Idul Fitri pada sampai Mei Ketiga pasca Idul Fitri pada sampai dengan Juni Simak Video Innalillahi Pejabat Kehutanan Wafat Saat Presentasi di Depan Menhub Gambas Video detik acd dna mudik kemenhub budi karya sumadi jokowi larang mudik larangan mudik 
Cara Aman Simpan Hand Sanitizer Agar Tak Jadi Pemicu Kebakaran di Mobil, Jakarta Cairan pembersih tangan atau hand sanitizer bisa menjadi pemicu terjadinya kebakaran mobil Ini terjadi karena cairan hand sanitizer terbuat dari alkohol yang mudah terbakar Dijelaskan Service Manager Auto Cilandak Suparna ada cara aman menyimpan hand sanitizer dalam mobil agar tak jadi pemicu kebakaran Yang terpenting botol tertutup rapat dan tidak bocor Kalau kita menyimpan hand sanitizer dalam kondisi tertutup rapat dan isinya tidak terlalu penuh itu pasti sangat sangat aman kata Suparna melalui pesan singkat kepada detikOto Jumat Gambas Video detik lua din hand sanitizer kebakaran mobil tips mobil 
Mudik Dilarang! Pengawasannya Diperketat Jelang Lebaran, Jakarta Perayaan Lebaran di Indonesia identik dengan tradisi mudik ke kampung halaman Namun di tahun ini tradisi tersebut tidak akan bisa dilakukan karena adanya larangan mudik demi mencegah penyebaran virus Corona Bahkan akan ada pengetatan antisipasi arus mudik Lebaran tahun Kementerian Perhubungan mengatakan pengetatan akan dilakukan pada penjagaan di titik titik checkpoint di ujung ujung perbatasan Jabodetabek Hal ini dilakukan agar mendekati Lebaran masyarakat tidak ada yang mudik Ada tiga fase yang dilakukan pertama adalah pengetatan checkpoint dimulai dari sekarang hingga Mei Kami akan lakukan pengetatan jelang Lebaran Ada tiga fase antisipasi arus transportasi yang akan dikendalikan fase pertama itu sampai Mei akan ada penguatan tim posko di jalan tol dan non tol jelas Juru Bicara Kemenhub Adita Irawati dalam video conference bersama wartawan Selasa Selanjutnya Halaman Simak Video Cegah Pemudik Bandel Pemeriksaan Truk di Tol Cikarang Barat Diperketat Gambas Video detik mudik dilarang larangan mudik kementerian perhubungan 
"Antisipasi Arus Mudik Diperketat Jelang Lebaran, Begini Skemanya", Jakarta Pemerintah akan melakukan pengetatan antisipasi mudik Lebaran tahun Kementerian Perhubungan mengatakan pengetatan akan dilakukan pada penjagaan di titik titik checkpoint di ujung ujung perbatasan Jabodetabek Hal ini dilakukan agar mendekati Lebaran masyarakat tidak ada yang melakukan mudik Ada tiga fase yang dilakukan pertama adalah pengetatan checkpoint dimulai dari sekarang hingga Mei Kami akan lakukan pengetatan jelang Lebaran Ada fase antisipasi arus transportasi yang akan dikendalikan fase pertama itu sampai Mei akan ada penguatan tim posko di jalan tol dan non tol jelas Juru Bicara Kemenhub Adita Irawati dalam video conference bersama wartawan Selasa Adita menjelaskan pihaknya akan berkoordinasi dengan pihak TNI Polri hingga Satpol PP dalam menambah personel pada checkpoint di perbatasan Di checkpoint semua kendaraan akan dicek oleh petugas Dia menjelaskan bagi yang masih nekat mudik akan tetap diputar balikkan ke daerah asal Jadi ada penambahan personel TNI Polri Dishub Pol PP di setiap posko checkpoint Aturannya tetap tegas masyarakat yang bandel akan diputar balikkan ke daerah asal ujar Adita Gambas Video detik eds eds mudik mudik dilarang kemenhub ramadhan 
"Gudang Mebel di Gorontalo Terbakar, Warga Panik", Gorontalo Gudang toko mebel di pusat pertokoan yang ada di jalan tengah Kecamatan Kota Selatan Kota Gorontalo hangus terbakar siang tadi Butuh dua jam api bisa dipadamkan oleh mobil damkar Pemerintah Kota dan Provinsi Gorontalo Menurut sejumlah saksi api terlihat dari belakang gudang toko mebel tersebut Beberapa warga dan konsumen yang berbelanja di samping toko kemudian berteriak ada api Toko di samping ada terbuka hanya gudang di sebelah yang tertutup Api dari dalam gudang asalnya tidak jelas Yang pasti ada yang berteriak ada api ada kebakaran Saya langsung lari ke dalam toko memastikan sekring Semua panel listrik ada di gudang kata karyawan toko mebel Global Wawan kepada detikcom Minggu gbr gbr gorontalo kebakaran biromakassar 
Menunggu Polisi Investigasi Kebakaran Kapal Tanker di Belawan, Medan Kebakaran kapal tanker di area Pelabuhan Belawan Medan menyebabkan tujuh orang tewas Penyebab pasti kebakaran saat ini belum diketahui karena masih menunggu investigasi polisi Kapal tanker MT JAG LEELA itu terbakar saat sedang menjalani perawatan atau docking di galangan kapal milik PT Waruna Nusa Sentana Shipyard Belawan Medan Kebakaran itu disebut terjadi sejak sekitar pukul WIB Senin Hingga Selasa malam polisi belum bisa masuk ke kapal untuk melakukan investigasi karena kondisi kapal yang masih panas Penyelidikan rencananya dilakukan setelah kondisi memungkinkan Tim Labfor cabang Medan belum bisa masuk ke lokasi karena kondisi kapal yang belum memungkinkan masih panas di dalam Sehingga kita tim yang akan memeriksa penyebab kebakaran belum bisa masuk hingga hari ini kata Kapolda Sumut Irjen Martuani Sormin Mudah mudahan dalam waktu jam kondisi kapal sudah mendingin maka tim kita bisa masuk sambungnya Selanjutnya Halaman biromedan round up kebakaran kapal kapal tanker terbakar medan kebakaran kapal tanker 
Kebakaran Tanker di Belawan Medan Diduga Dipicu Hubungan Pendek Arus Listrik, Medan Tanker terbakar hingga menewaskan tujuh pekerja di Pelabuhan Belawan Sumatera Utara Sumut Kebakaran itu diduga dipicu terjadinya hubungan pendek arus listrik Dugaannya hubungan pendek arus listrik kata General Affair PT Waruna Ardiansyah kepada wartawan Selasa malam Ardiansyah menyebutkan sewaktu kejadian pada kapal tersebut sedang dilakukan pengelasan di bagian dek kapal Selanjutnya Halaman kapal tanker terbakar kebakaran kapal medan pelabuhan belawan biromedan 
Jabar Hari Ini: Belasan Jenazah Menjuntai-Dokter di Cianjur Positif Corona, Bandung Beragam peristiwa terjadi di Jawa Barat hari Ini Sabtu Dari mulai kejadian TPU Cikutra diterjang longsor hingga penetapan PSBB di Jawa Barat yang akan berlaku Tanggal Mei mendatang di kabupaten kota di Jawa Barat TPU Cikutra Bandung Tergerus LongsorHujan deras yang mengguyur Bandung semalaman membuat makam TPU Cikutra Kota Bandung longsor Belasan terbawa hanyut longsoran Jenazah terlihat munjuntai di tebing yang longsor Pantauan detikcom Sabtu puluhan warga RT RW Kelurahan Neglasari Kecamatan Cibeunying Kaler bersama petugas TPI Cikutra melakukan evakuasi nisan yang masuk ke aliran Sungai Cidurian Kejadiannya kemarin malam hujan besar sekitar Pukul WIB kata Ketua RW Entus Heriana kepada detikcom di lokasi kejadian Dalam kejadian ini warga dan petugas berhasil mengevakuasi jenazah sementara satu jenazah hanyut terbawa arus sungai Pertama di bawah ada empat jenazah kata Petugas TPU Cikutra Benny di lokasi kejadian Sedangkan yang menjuntai di atas tebing ada tujuh jenazah Di atas ada tujuh Jadi sebelas ujarnya Ditambah satu jenazah yang terbawa aliran Sungai Cidurian jadi total jenazah akibat longsor itu ada Tidak berselang lama satu jenazah yang terbawa aliran Sungai Cidurian ditemukan sekitar dua kilometer dari TKP longsor Kapolsek Cibeunying Kidul Kompol Anton mengatakan jenazah tersebut ditemukan di aliran sungai Ditemukan mayat yang terbawa aliran sungai yang diduga sudah dikubur kata Anton Identitas belum diketahui karena mayat tersebut mayat yang sudah dikubur ujarnya Ia menambahkan jenazah tersebut ditemukan dalam kondisi tinggal tulang belulang Ciri cirinya tinggal tulang kepalanya tidak terlihat karena kondisinya telungkup tambahnya Dari jenazah yang ditemukan hanya empat jenazah yang diketahui identitasnya di antaranya Ajir Taman dimakamkan tahun Ibu Enok dimakamkan tahun Tohir dimakamkan tahun dan Shintia Mardiana dimakamkan tahun jenazah yang tergerus longsor itu kembali dimakamkan di TPU Cikutra di lokasi lebih aman dan jauh dari lokasi tebing longsor tersebut Selanjutnya Halaman jabar hari ini 
Covid-19 dan Birokrasi Digital di Taiwan, Jakarta Covid telah membuka tabir state of the art reformasi birokrasi di banyak negara termasuk di Taiwan Terlepas dari masih adanya sengketa politik antara Tiongkok dan Taiwan harus diakui banyak lessons learned dari pengendalian wabah yang secara teknis berada di bawah Centers for Disease Control CDC Kementerian Kesehatan dan Sosial MOHW Taiwan itu Sampai dengan April wabah Covid di Taiwan sangat terkendali dengan jumlah positif Covid mencapai orang dengan orang sembuh dan orang meninggal Tantangan dan RintanganKinerja pengendalian Covid di Taiwan tak lain adalah bagian dari hasil reformasi birokrasi yang cukup panjang bahkan sejak tahun Analisis historical institutionalism oleh Shih et al menyebut bahwa reformasi birokrasi di Taiwan khususnya dari sampai dengan masih dikategorikan sebagai New Public Management NPM Yakni reformasi ke arah penerapan prinsip dan teknik manajemen organisasi privat oleh organisasi sektor publik Prinsip NPM a leaner and businesslike government dengan tiga komponen utama disaggregation competition dan incentivization dilakukan dari masa ke masa sampai terbentuknya struktur dan kultur organisasi MOHW Taiwan saat ini Shih dkk juga menyebut bahwa reformasi birokrasi di Taiwan bukanlah proses yang mudah tapi seperti juga di banyak negara melewati tantangan dan rintangan Pertama reformasi birokrasi merupakan proses politik dan ASN harus menghadapinya serta mengatasi berbagai konflik nilai Kedua profesionalisme dan netralitas politik adalah nilai yang paling penting sebagai acuan proses reformasi Ketiga fokus pada personel ASN memang penting tapi jauh lebih penting lagi adalah fokus pada nilai demokratis dan pelayanan publik Walaupun sampai dengan masih dikategorikan sebagai era NPM tapi dalam praktik khususnya manajemen pengendalian Covid birokrasi Taiwan saat ini dapat dikatakan sudah memasuki era post NPM Pertama birokrasi pasca NPM sering diberi label DEG digital era governance dengan ciri reintegration needs based holism dan digitization Artinya dalam mewujudkan DEG perlu reintegrasi penyelenggaraan urusan pemerintahan susun ulang struktur organisasi publik dengan prinsip holistic and needs oriented serta digitalisasi menyeluruh proses administrasi Kedua birokrasi pasca NPM juga sering dikategorikan sebagai digital weberianism bureaucracy DWB di mana berbagai rupa files dokumen dan arsip terkait regulasi dan prosedur administrasi telah menjadi usang dan diubah ke dalam bentuk digital Birokrasi digital adalah dunia berbasis data bergerak dengan arah yang jelas yang ditentukan berdasar infrastruktur digital yang baru serta diawaki oleh tipe personel yang juga baru yakni data scientists Tiga aspek utama dalam cakupan DWB yaitu intelligent efficiency sizing up objectivity dan remotely rational Pengalaman BurukBirokrasi digital dalam pengendalian wabah Covid di Taiwan tergambar dari sebuah video pendek bertajuk Taiwan s aggresive efforts are paying off in fight against Covid Dr Steve Kuo mantan Direktur CDC menjelaskan kesiapsiagaan Taiwan dalam menghadapi wabah Covid yakni dimulai saat pengalaman buruk SARS yang merenggut korban jiwa orang Taiwan pada Sejak saat itu UU baru ditetapkan untuk menyiapkan infrastruktur lengkap pengendalian wabah termasuk mewajibkan setiap rumah sakit memiliki cadangan semua bentuk medical supplies untuk kebutuhan minimal hari Segera setelah mengetahui dari media sosial tentang merebaknya wabah virus di Wuhan pada akhir Desember CDC mengirim dua orang dokternya ke Wuhan untuk mempelajari secara langsung dan lebih memahami karakter wabah tersebut Segera setelah Tim Dokter kembali ke Taiwan pada medio Januari Pemerintah Taiwan memutuskan menghidupkan Pusat Komando Pengendali Wabah pada Januari termasuk mengaktifkan seluruh infrastruktur digitalnya Mulai saat itu setiap penduduk Taiwan dapat mengakses informasi detil tentang Covid melalui ponsel masing masing termasuk lokasi apotek yang masih menyediakan masker dan persebaran positif Covid serta informasi penting lainnya Taiwan juga termasuk yang paling awal melakukan kontrol ketat seluruh pintu masuk internasionalnya Setiap pelintas batas dari negara pandemi langsung berstatus ODP dan harus melalui proses masuk yang ketat Pada saat tiba di bandara tahap pertama ODP harus mengisi formulir ceklis kesehatan termasuk isian cek suhu tubuh untuk hari ke depan dan melakukan pendaftaran online ke Sistem Informasi Covid Tahap kedua pemeriksaan suhu tubuh oleh petugas dan pencatatan riwayat gejala sakit dilanjutkan dengan penjelasan peraturan kesehatan yang harus diikuti dalam rangka isolasi mandiri serta dilakukan swap test di tempat Data primer kesehatan individual ini di input langsung oleh petugas ke dalam Sistem Informasi Covid Segera setelah mendaftar secara online itu ODP menerima notifikasi berupa SMS Hanya bila dengan menunjukkan SMS notifikasi inilah seorang pelintas batas ODP baru boleh keluar bandara Perjalanan dari bandara ke kediaman pun ODP hanya boleh naik kendaraan khusus yang disediakan pemerintah dan dilarang naik kendaraan umum Berbagai notifikasi berupa petunjuk isolasi mandiri terus diterima ODP termasuk harus mematuhi kewajiban stay at home Seorang ODP bercerita bahwa kurang dari satu jam setelah tiba di kediaman ia memperoleh notifikasi pertanyaan dan pemberitahuan dengan dialog kurang lebih seperti ini Apakah Anda sudah tiba dan sedang di kediaman Setelah dijawab Iya saya sedang di tempat tinggal maka Sekitar lima menit lagi seorang petugas CDC akan datang ke rumah Anda Ternyata hanya dalam waktu menit seorang petugas CDC sudah tiba di kediaman ODP itu Kedatangan petugas CDC itu dimaksudkan untuk menyerahkan masker sebanyak lembar sambil memberikan penjelasan tambahan dan tentu saja di atas semua itu adalah untuk memastikan bahwa ODP mematuhi ketentuan isolasi mandiri stay at home Jalan di TempatBerkaca pada proses reformasi birokrasi di Taiwan juga Jepang dan Selandia Baru sulit dikatakan kalau kita sudah pada fase akhir era NPM Atas nama kompromi politik tata ulang organisasi kabinet berbasis UU berjalan di tempat dalam arti tak ada kehendak untuk perampingan kementerian lembaga K L dan tiada tata ulang penempatan penyelenggaraan urusan pemerintahan Proliferasi organisasi K L utamanya setelah terbitnya UU UU UU dan terakhir UU justru mengarah pada tumpang tindih penyelenggaraan urusan pemerintahan di pusat di tingkat Menko dan K L yang pada gilirannya membingungkan dan atau tambahan beban anggaran pada pemda provinsi dan kabupaten kota Alih alih memasuki birokrasi DEG UU justru cenderung mendorong birokratisasi reformasi birokrasi dan fokus kesibukan pada panitia seleksi pejabat Digitalisasi birokrasi kebencanaan dan kekarantinaan kesehatan juga jalan di tempat kalah jauh dibanding digitalisasi birokrasi perpajakan Riset Meilani dan Hardjosoekarto under review tentang DWB dan Disaster Risk Reduction pada wilayah bencana tsunami volkanik Selat Sunda menemukan bahwa digitalisasi birokrasi terkait pemasangan early warning system EWS misalnya diketahui masih belum saling terintegrasi antara K L bidang kebencanaan Rencana penggunaan teknologi canggih dan digitalisasi birokrasi kebencanaan yang sudah menjadi arus utama K L masih belum mendapat tempat pada birokrasi lokal Daerah masih bekerja secara manual tradisional termasuk dalam validasi data dan informasi korban bencana terkait skema bantuan Digitalisasi BirokrasiBila dikonstruksikan penanggulangan wabah sebagai arena organisasional organizational fields maka secara sosiologis trajektori memasuki birokrasi kebencanaan dan kekarantinaan kesehatan pasca NPM artinya membangun birokrasi DEG atau DWB haruslah ditempuh dengan destabilisasi arena organisasional itu melalui intervensi inter relasi social macrostructures yaitu kerangka kognisi dan kultural institusi dan jaringan sosial Digitalisasi birokrasi dimulai dengan upgrading kerangka kognisi dan kultural champions of the top dan jajarannya dengan tema penanggulangan bencana dan wabah adalah kewajiban publik prioritas tinggi sepanjang masa Tidak boleh ada sikap denial cengengesan menganggap remeh dan apalagi menyalahkan orang miskin Tata ulang kelembagaan kebencanaan dan kekarantinaan kesehatan secara menyeluruh sampai dengan implementasi di akar rumput dilakukan di bawah payung social macrostructures institusi dan jaringan sosial dengan desain baru untuk memastikan digitalisasi birokrasi berbasis pengetahuan Bukan hal yang tak mungkin untuk segera dilakukan digitalisasi birokrasi mengingat banyak sekali talenta di bidang infrastruktur digital dan data scientists di berbagai K L dan perguruan tinggi Sudarsono Hardjosoekarto guru besar FISIP UI mmu mmu covid taiwan reformasi birokrasi digitalisasi 
