title,content
Pesawat Berpenumpang Seratusan Orang Jatuh di Permukiman Pakistan, Karachi Pesawat penumpang jatuh di di Pakistan Pesawat itu membawa lebih dari orang mengalami kecelakaan di kawasan selatan Karachi Dilansir AFP Jumat pesawat itu jatuh di permukiman asap hitam tebal dnu dhn pakistan kecelakaan pesawat karachi pesawat jatuh pesawat jatuh di pakistan kecelakaan pesawat di pakistan 
Merasa Emosional Kala Pandemi Corona? Jangan 'Malu' Menangis, Jakarta Untuk sebagian orang menangis dianggap memalukan atau lemah Namun di situasi seperti ini setetes dua tetes air mata bisa saja timbul tanpa sadar Ini bukan hal yang buruk Sebaliknya ini adalah hal yang wajar Menangis bisa membantu Anda menghadapi situasi krisis akibat pandemi virus Corona COVID Kirsty Lilley spesialis kesehatan mental menuturkan menangis adalah respon alami terhadap emosi yang membludak Menurutnya menangis memiliki efek menyembuhkan yang unik pada emosi dan mental Jadi saat air mata akan keluar jangan ditahan apalagi dilawan Saat Anda merasa kesal akhir akhir ini ingat menangis itu normal Terlebih menangis kadang bisa melepas stres Air mata memiliki fungsi sedatif sehingga bisa menurunkan emosi kata Lilley mengutip dari Metro Jumat Manusia memiliki tiga jenis air mata berbeda yakni basal refleks dan emosional Basal berarti air mata yang terus dikeluarkan saluran air mata ini merupakan cairan antibakteri plus protein yang membantu mata tetap lembab tiap kali berkedip Refleks artinya air mata keluar karena dipicu penyebab iritasi seperti angin asap atau irisan bawang air mata ini keluar sebagai bentuk perlindungan Kemudian emosional adalah saat manusia menangis karena respons kondisi emosi Air mata dari tangisan seperti ini mengandung banyak hormon stres Gambas Video detik fds fds menangis air mata emosi kesehatan jiwa pandemi corona virus corona 
Ninoni: Seger Banget! Buka Puasa Pakai Coffee Jelly dan Almond Pudding, Jakarta Kalau mau buka puasa dengan dessert segar coffee jelly hingga Thai tea jelly di sini bisa jadi pilihan Ada juga camilan gurih beef risoles plus cocolan sambal kacang Menu buka puasa setiap orang bisa jadi berbeda Ada yang suka langsung makan nasi namun ada juga yang lebih memilih makan camilan dulu Bagi kamu yang mau ngemil manis ringan dan menyegarkan coffee jelly bisa jadi pilihan pas Sesuai namanya coffee jelly berupa jelly kenyal yang dibuat dari kopi Kemudian dipadukan susu hingga jadi minuman menyegarkan Coffee jelly sedang jadi minuman trendy saat ini Coffee jelly mudah dipesan online salah satunya di Ninoni Kemasan jelly dari Ninoni yang rapi dan antitumpah Foto dok detikFoodPenasaran dengan kreasinya kami memesan Signature Coffee Jelly Rp Minimal pemesanan buah agar bisa dikemas dalam boks dari Ninoni Variannya bisa dicampur dengan harga sedikit berbeda Kami juga tertarik mencoba Dark Coco Cacao Jelly Rp Thai Tea Jelly Rp dan Almond Pudding with Longan Rp Sebenarnya Ninoni juga punya Dolfee alias cendol dengan coffee jelly namun sayang saat kami memesannya sedang habis Oh ya Ninoni membuat menunya berdasarkan pesanan sehingga pesanan baru dikirim sekitar sehari setelahnya bergantung slot Beruntung kami hanya perlu menunggu sehari Nampak enam wadah jelly mungil dikirimi dalam kotak putih cantik berbentuk rumah Tampilannya nyaris serupa antara jelly kopi cokelat dan Thai Tea Hanya saja semua bisa dibedakan berdasarkan warnanya Coffee jelly bisa jadi menu buka puasa menyegarkan Foto dok detikFoodSignature Coffee Jelly mengeluarkan sedikit aroma kopi yang wangi nikmat Nampak warna jellynya cokelat muda Ukuran potongannya lumayan besar dengan jumlah yang banyak Slurpp Sensasi creamy susu full cream langsung terasa saat kami mencicipnya Rasa manisnya pas tak terlampau samar atau kuat Untuk jellynya terasa kopi namun cenderung lembut Sayang karena jumlah coffee jellynya banyak jelly ini masih tersisa saat susu sudah habis kami minum Baca Juga Sweet and Tasty Dishes Kenyal Dessert Puding Kekinian Bertabur Bunga Cantik Dark Coco Cacao Jelly cocok untuk pencinta cokelat Foto dok detikFoodDark Coco Cacao Jelly berwarna lebih gelap Aroma cokelat tercium enak Sementara rasa dark chocolate nya lumayan intens Paduan sempurna bagi pencinta cokelat yang tidak terlalu suka rasa manis Apalagi ketika dicampur susu segar Jadi minuman favorit semua orang Thai tea jelly versi Ninoni juga patut dicoba Perpaduan teh hitam dan susunya begitu wangi dengan konsistensi kenyal Warna jellynya cantik oranye muda Kekurangannya sama seperti coffee jelly dan dark coco cacao jelly kami sudah kehabisan susunya saat jellynya masih cukup banyak Almond Pudding nikmat dengan tambahan longan yang juicy Ninoni Foto dok detikFoodAlmond Pudding with Longan jadi varian yang paling beda Bahan dasarnya puding yang agak padat Penambahan esens almond memberi wangi dan manis yang khas Berpadu sempurna dengan buah longan segar yang manis dan juicy Nikmat sekali disantap untuk buka puasa apalagi saat dingin Selain jelly dan puding Ninoni juga menawarkan kudapan klasik Mulai dari chiffon cake aneka rasa beef risoles dan pastel Pemesanan camilan tak bisa digabung antar jenisnya Minimal jumlahnya juga lagi lagi karena menyesuaikan boks Baca Juga Bittersweet by Najla Manis Creamy Dessert Box Dalgona yang Kekinian Tamplain beef risoles ala Ninoni yang padat isian Foto dok detikFoodBeef Risoles jadi pilihan kami Harganya Rp untuk buah risoles berukuran sedang Terlihat permukaannya berwarna cokelat agak gelap dengan lumuran tepung panir Saat digigit teksturnya empuk dengan isian padat Kami langsung mencecap keberadaan daging asap dan mayonnaise yang gurih creamy Tambahan keju dan telur membuat beef risoles ini makin mantap dan mengenyangkan Jadi risoles ini mirip risoles Amerika Ninoni juga memberi cocolan saus kacang untuk risoles ini Rasanya enak dan cukup pedas Beef Risoles dicocol sambal kacang Foto dok detikFoodKalau tertarik mencobanya kamu bisa langsung memesan menu Ninoni via WhatsApp Pengiriman akan dilakukan via ojek online dari kawasan Central Park untuk pengiriman pagi dan dari Senopati untuk pengiriman siang jelang sore NinoniInstagram ninonininoniWhatsApp Simak Video Menu Sahur Simple Masak Tomato Scramble Egg Gambas Video detik adr odi ramadhan lebaran di rumah aja ninoni coffee jelly beef risoles 
Kabel Listrik Bawah Tanah Terbakar di Jalan Jatinegara Jaktim, Jakarta Kabel listrik bawah tanah yang terdapat di Jalan Jatinegara Jakarta Timur terbakar Api saat ini sudah padam Kasi Operasional Damkar Jakarta Timur Gatot Sulaeman mengatakan kebakaran terjadi pada pukul WIB Awalnya seorang warga Dedy Junaidi melaporkan adanya kepulan asap di dekat tiang listrik di Jalan Jatinegara Barat Gang Kampung Pulo RT RW Kampung Melayu Jatinegara Jakarta Timur Objek yang terbakar berupa kabel bawah tanah sepanjang meter kata Gatot saat dihubungi Rabu mea mea kebakaran kabel terbakar damkar jaktim 
Astronom Abadikan 2 Bayi Planet Baru Lahir, Jakarta Ilmuwan dan astronom melaporkan sebuah bukti yang menunjukkan kelahiran sepasang planet yang mengorbit bintang PDS Dua planet ini dapat dikategorikan sebagai planet berukuran raksasa Dalam penelitiannya tim astronom menggunakan sensor gelombang depan piramida inframerah baru untuk koreksi optik adaptif AO di WM Keck Observatory di Maunakea Hawaii Tim yang dipimpin Caltech ini menerapkan metode baru dalam mengambil foto keluarga planet bayi atau protoplanet dan mengkonfirmasi keberadaan mereka Dalam laporan mereka di jurnal ilmiah The Astronomical Journal dijelaskan bahwa PDS adalah sistem multi keuangan pertama yang dikenal dan menjadi tempat para astronom bisa menyaksikan pembentukan planet Simak Video Eksoplanet Ditemukan Salah Satunya Layak Huni Gambas Video detik rns afr sains planet planet baru exoplanet 
5 Tips Bikin Sayur Gurih yang Sedap Untuk Lauk Ketupat, Jakarta Sayur gurih jodohnya ketupat Meski hanya berisi sayuran tetapi tanpa siraman kuah santan berbumbu gurih pedas ketupat lebaran kurang lengkap Seporsi ketupat lebaran biasanya dilengkapi dengan sayur gurih Sayur berkuah santan dengan bumbu pedas gurih menjadi kuah ketupat Ditambah opor ayam rendang sambal goreng hati dan taburan bawang merah goreng plus kerupuk kanji Kenikmatan seporsi ketupat lebaran ini jadi ikon hari raya Idul Fitri Uniknya di setiap daerah di Indonesia puanya racikan ketupat yang berbeda Ada yang dipadukan dengan sayur gurih berbumbu tauco sayur gurih rebung atau sayur gurih terubuk hingga pepaya muda Ditambah lauk pauk yang beragam ketupat Lebaran tetap jadi incaran di hari Idul Fitri Terlihat sederhana merebus santan ditambah bumbu dan sayuran Tetapi nyatanya banyak yang gagal bikin sayur gurih yang sedap Kuahnya terlalu encer atau kental aromanya kurang gurih dan rasanya sedikit asam Jangan kecil hati meski masih pemula sayur gurih teman ketupat tetap bisa kamu bikin Coba saja perhatikan beberapa tips penting berikut ini Resep Sayur Gurih Labu Siam Foto detikcom SayuranJenis sayuran yang biasa diolah menjadi sayur gurih sangat beragam tergantung pada sayuran favorit dan daerah masing masing Rebung dan pakis merupakan sayuran yang biasa dimasak sebagai gulai atau sayur gurih versi Sumatera Barat Sementara orang Betawi senang membuat sayur gurih dari terubuk atau bunga tebu Rasa renyah terubuk bikin sayur gurih makin nikmat Orang Jawa Tengah sering membuat sayur gurih dari labu siam dan pepaya muda Sayuran lain yang dipakai sebagai isian adalah daun melinjo kacang panjang buncis atau kulit melinjo Pilih saja sayuran yang sesuai selera Sebaiknya iris atau potong potong sayuran dengan ukuran yang sama supaya bisa matang dan lunak dalam waktu bersamaan Khusus untuk labu siam dan pepaya muda sebaiknya remas remas sayuran dengan sedikit garam agar getahnya hilang Kemudian bilas dengan air bersih dan tiriskan Sayuran siap direbus bersama santan dan bumbu Tips Membuat Sayur Gurih Foto iStock SantanManakah yang lebih enak memakai santan segar atau santan instan Keduanya bisa dipakai Tetapi untuk mendapatkan rasa gurih manis kelapa yang enak gunakan santan segar Santan instan umumnya diberi bahan pengental dan aroma sehingga terasa kurang sedap Berapa banyak perbandingan santan dan sayuran Karena sayur gurih dinikmati dengan kuahnya Sebaiknya gunakan perbandingan untuk sayuran dan kuah santannya Jika terlalu kental dan sedikit kuahnya kurang nikmat dimakan bersama ketupat Untuk santan segar ambillah santan kental lebih dahulu baru kemudian peras kelapa parut untuk santan encernya Santan encer dipakai untuk merebus sayuran Setelah sayuran hampir lunak tambahkan santan kental dan masak hingga sayuran dan bumbu matang Resep Sayur Gurih Labu Siam Foto detikcom BumbuBumbu sayur gurih umumnya terdiri dari bawang merah bawang putih cabe merah cabe rawit sedikit terasi gula dan garam Ditambah rempah segar berupa daun salam serai dan lengkuas Bumbu ini boleh saja disesuaikan dengan selera Misalnya ditambahkan kunyit untuk mendapatkan warna kuning pada kuahnya Tumis bumbu halus dengan minyak secukupnya tergantung banyaknya bumbu hingga aromanya harum dan bumbu bergumpal kecil Jika memakai tambahan ebi atau udang tumis bersama bumbu hingga matang lalu masukkan ke dalam santan encer dan masak hingga mendidih Untuk penambah rasa dan aroma sayur gurih bisa ditambahkan udang segar ukuran kecil atau ebi Sebaiknya rendam ebi hingga lunak lalu tumbuk kasar agar rasa dan aromanya lebih meresap ke dalam kuah santan ikan asin jambal roti Foto Detikfood IsianSelain udang dan ebi di Sumatera biasanya digunakan ikan asap Aroma asap yang harum menambah lezat kuah sayur gurih sayuran Ikan pari ikan lele atau ikan cakalang dan ikan selais bsa dipilih Tambahkan ikan asap sedikit saja agar aroma sayur gurih makin enak Beberapa orang menambahkan tetelan daging sapi atau iga sapi dalam sayur gurih Bisa menambah gurih kuahnya Hanya saja jangan terlalu banyak dan hindari daging berlemak agar sayur gurih tidak gurih berlebihan Buat penggemar ikan asin juga bisa menambahkan ikan asin dalam sayur gurih Sebaiknya pilih ikan asin yang dagingnya tebal dan tidak terlalu asin Ikan teri tawar teri medan tawar ikan gabus atau ikan jambar roti sering dijadikan campuran sayur gurih Jika memakai tambahan ikan asin kurangi jumlah garam dalam bumbu Resep Sayur Gurih Labu Siam Foto detikcom Menghangatkan kembaliJika tak habis disantap dalam sekali sajian sayur gurih biasanya disimpan Sebaiknya panaskan kembali sayur gurih hingga mendidih Dinginkan dan simpan di dalam kulkas atau biarkan di dalam pancinya dengan suhu ruangan Setelah dipanaskan kembali sebaiknya jangan diaduk aduk lagi karena sayur akan mudah basi Jika dipanaskan berulang biasanya sayuran menjadi sangat lunak dan kurang enak dimakan Karena itu usahakan untuk membuat sayur gurih sekali atau dua kali disajikan saja Kuah sayur gurih masih bersisa banyak Jangan dibuang Tambahkan saja sayuran lagi dan sedikit ebi kemudian masak kembali hingga sayuran lunak Sayur gurih mudah sekali asam karena memakai santan Karenanya pastikan kuahnya mendidih bergolak beberapa saat ketika memanaskan ulang Simak Video Bikin Ngiler Mie Sarden Keju Cocok untuk Berbuka Gambas Video detik odi odi ramadhan resep ramadhan lezat resep ramadhan resep sayur gurih tips membuat sayur gurih 
"Diklaim Berhantu Oleh Paranormal, Restoran Meksiko Ini Jadi Tempat Uji Nyali", Jakarta Diklaim berhantu oleh paranormal restoran yang menyajikan makanan Meksiko ini malah semakin ramai dan jadi tempat uji nyali banyak orang Belakangan ini tempat angker atau tempat yang menyeramkan justru menarik perhatian orang yang lebih banyak dari sebelumnya Restoran yang dikabarkan berhantu pun malah ramai pengunjung bahkan jadi tempat uji nyali Seperti restoran Meksiko bernama XOCO yang ada di Raleigh restoran ini bahkan dikonfirmasi berhantu oleh sekelompok paranormal dari organisasi Association of Paranormal Study ASAP di Amerika Berikut lima fakta menarik tentang restoran XOCO yang dilansir dari ABC Baca Juga Jadi Gerbang Para Arwah Restoran Italia Ini Dipenuhi Hantu sob odi dyouthizen restoran berhantu parnormal restoran meksiko berhantu 
"Toko Rokok di Los Angeles Meledak, 11 Pemadam Kebakaran Terluka", Los Angeles Sebuah toko rokok komersial di kota Los Angeles California Amerika Serikat AS terbakar dan meledak pada Sabtu Sebelas petugas pemadam kebakaran yang berusaha memadamkan api terluka tiga di antaranya kritis Seperti dilansir AFP Minggu kepala Departemen Pemadam Kebakaran Los Angeles Ralph Terrazas mengatakan bahwa para petugas pemadam kebakaran berusaha memasuki gedung untuk melawan apa yang awalnya dianggap sebagai kobaran api kecil Ketika mereka memperhatikan bahwa tekanan asap meningkat mereka mengungsi Selanjutnya Halaman los angeles california kebakaran amerika serikat kebakaran as california fires 
Pohon di Lukisan Bapak, Jakarta Sebentar lagi yang kamu lihat barusan kelak menjadi judul berita utama di media cetak maupun daring Ponselmu akan terus berdering Surel segera bermunculan Undangan wawancara Dari majalah koran tabloid teve perguruan tinggi serta komunitas seni dan budaya baik dalam maupun luar negri Ditambah pesan jalur pribadi dari kolektor dan kritikus Sementara dunia mengeroyok susah payah kamu mencoba tegap berdiri Semua ini telak membuatmu keok Tujuh hari lalu kamu temukan surat yang dititipkan bapak melalui suamimu di samping bantal Pagi itu kamu tersenyum saat membukanya sehingga parasmu tampil jauh lebih elok Marya yang manis begitu bapak selalu mengawali pesan Setelah ibu menganggap bapak gila gara gara bicara dengan pohon jati beliau berkemas lalu melarikan diri Beliau tidak tewas di ruang persalinan saat melahirkanmu seperti yang bapak ceritakan selama ini Maaf bapak tidak berani mengatakan yang sesungguhnya karena bapak khawatir kamu ikutan minggat Senyummu tamat Kamu sebetulnya hapal kebiasaan bapak meninggalkan surat sebelum hengkang selama beberapa minggu lalu pulang menenteng karya baru Tetapi surat surat bapak sebelumnya tidak pernah hadir dengan kejutan Berita bapak kali ini meluncur setajam belati menikam dadamu berkali kali Meski demikian bapak senang karena kepergian ibu membuat kita kompak belajar cara menggenggam lebih baik Ketika hidup merenggut semua darimu Marya yang tersisa menjadi tak ternilai harganya Suaramu yang lembut bapak selipkan di antara gaung jantung Mustahil bapak abaikan kecuali kelak jantung bapak berhenti berdegup Selain suaramu bapak juga mengagumi suara pohon Tahu kan kamu ketika angin membuat daun daunnya bergemerisik Belum ada yang berhasil memecahkan misteri bapak dengan pohon Selain ditanam di rumah pohon bapak juga tidak pernah absen melengkapi lukisannya Kadang di antara gedung ia menjulang Atau dibentuk oleh asap rokok yang diembuskan pemuda perlente Sekali waktu digoreskan sebagai refleksi pada bola mata seorang wanita Pernah ada seorang wartawan menyusun jejak pohon di tiap lukisan bapak dan mengasumsikannya sebagai simbol yang mewakili cerita bersambung Bapak tidak mengerti kenapa hubungan bapak dengan pohon dianggap ganjil bahkan sampai perlu diadili Orang orang membicarakannya seolah ia wabah Bapak selalu menolak menceritakan relasi bapak dengan pohon karena bagi bapak itu sifatnya pribadi Sama seperti yang kamu rasakan ketika dulu kamu jejalkan rok merahmu dengan bercak darah di lemari Setengah mati bapak mengutuk diri sendiri mempertanyakan alasanmu merahasiakan pengalaman pertama datang bulan Saat itu di atas meja makan kita hanya berjarak sepasang jengkal orang dewasa Tetapi untuk dapat meraihmu bapak selalu gagal Kamu duduk macam artefak dalam museum dilengkapi kaca yang mustahil bapak tembus Melalui kamu bapak kemudian mengerti bahwa tidak semua hal wajib dibagi Termasuk rencana rencana Kali ini bapak berencana meluncurkan lukisan perdana tanpa pohon Marya Kamu menelan ludah Bapak membayangkan pamerannya diadakan di Semarang di rumah eyang Di halaman belakang ada pohon jati yang bapak tanam sejak remaja Itu artinya usianya kini sudah puluhan tahun Pada pohon itulah nanti lukisannya bapak pajang Bapak ingin lukisan itu disaksikan duluan olehmu seorang Lalu kamu bisa menghubungi media dan sebarkan press release sekaligus undangan pameran Dalam amplop bersama surat ini bapak selipkan kunci rumah eyang Bapak tahu selama ini bapak belum pernah mengajakmu ke sana Alamat lengkapnya bapak tulis di bagian belakang amplop ya Datanglah pekan depan tepat pada hari ulang tahunmu Bapak pastikan lukisan bapak telah selesai Apakah mungkin sejenak meninggalkan suami serta puterimu di Bandung Bilang kamu ada seminar Atau pelatihan Bapak ingin merayakan momen sakral ini berdua denganmu sekalian mengenang hidup kita di masa lalu Mas kapan bapak kemari Kamu bergabung dengan suami dan anakmu yang sedang sarapan Kamu yang terima suratnya kan Suamimu mengangguk Tanpa mengalihkan pandangan dari layar pc dia menjawab Kemarin sore Pas kamu ngajar Bapak titip pesan lain Beliau mengundangku ke pameran lukisannya di Semarang Jadwalnya masih belum pasti Katanya beliau masih perlu berdiskusi denganmu Semula kamu hendak menelepon bapak untuk memprotes suratnya yang sukses mengacak acak hidupmu dalam belasan menit Tetapi kamu urungkan Kamu mahfum Saat melukis bapak butuh konsentrasi penuh Sama seperti saat beliau merawat pohon Sebetulnya bapak bisa mengumpulkan benih bunga jati yang jatuh dari pohon Tetapi saat itu bapak dapat bibitnya dari kenalan tukang kebun eyang Diajarinya pula bapak mempersiapkan lahan sampai pemeliharaan Bapak taburkan pupuk kandang selama sebulan sebelum pengolahan lahan Setelah itu bapak gemburkan tanah dengan membajaknya Setelah tumbuh bapak pangkas batang cabang secara berkala Supaya batang utama tumbuh lurus Tukang kebun eyang heran mengapa tiba tiba bapak menanam pohon jati Saat itu bapak berbohong Bapak bilang bapak hanya tertarik bercocok tanam Ingat Marya jangan beberkan rencanamu pada siapa pun sampai kamu selesai mewujudkannya Pohon itu bapak tanam sebagai penanda waktu untuk menghitung sudah berapa lama eyang pergi Terakhir bersamanya kami hendak berlibur ke negeri paman Sam Tidak banyak yang mampu bapak ingat dari perjalanan itu selain hangat tangan eyang yang gemetar mengelus pipi bapak Bapak tidak paham mengapa hanya eyang yang diloloskan melewati imigrasi Sementara bapak dipulangkan kembali ke Tanah Air ditemani pramugari Sejak itu bapak melanjutkan hidup sendirian Berlatih melukis berjualan pisang plenet buatan bibi untuk membiayai hidup Mengandalkan sisa uang eyang saja tidak cukup Setahun dua tahun bapak rutin menyiram benih pohon jati demi menjaga kelembaban sekaligus menantikan eyang kembali Tetapi tidak ada berita Tidak ada penjelasan dari sanak saudara Sampai dua puluh tahun usia pohon jati bapak memekar raksasa eyang tidak pernah pulang Tetapi saat itu ibumu datang Ibumu tidak hanya pandai bercakap segalanya sukses ia sulap Perlahan ia berhasil membuat bapak kembali mencintai hidup di dalamnya termasuk mencintai pohon jati Tetapi Marya cinta yang terlampau besar rupanya berakhir membebani Oleh pohon jati yang sempat dicintainya ibumu merasa dikhianati Bapak diteriakinya sinting kemudian ia lari pontang panting Firasat bapak memperkuat motif kepergian ibu karena penjualan lukisan bapak dari waktu ke waktu kian merosot sehingga ibu tidak bisa menikmati hidup semewah biasanya Kamu tidak terima duniamu dijungkirbalikkan Sepekan kemudian sesuai permintaan bapak kamu berangkat menyusulnya Mengemudi sendiri Kamu pilih jam malam Alih alih berdusta sebagaimana saran bapak kamu sampaikan niatmu menjumpai bapak pada suamimu Selama ini kamu dan suamimu berhubungan dengan apik Pernikahan kalian begitu bening Bila sesekali kelokan dalam perjalanan membuat kalian cedera kalian lekas saling membalut Tidak ada luka yang disembunyikan demi merias keadaan Kalian percaya justru kejujuran satu satunya kunci untuk membuka pintu hati Suamimu tidak akan sempat berbisik mengucapkan selamat ulang tahun tepat tengah malam nanti Biasanya disematkannya pula sebait doa Setelah itu dia akan mengecupmu di bibir kening hidung sebagaimana tahun tahun sebelumnya Bukan masalah pikirmu Besok pagi kamu akan melihatnya di layar ponsel bersinggungan pipi dengan puterimu meniup lilin untukmu sama sama Usai mengisi bahan bakar kamu tepikan mobil di kedai kopi dua puluh empat jam Sambil menyerang kantuk kamu lanjutkan membaca surat bapak Bapak takut entah bagaimana kamu juga meninggalkan bapak Seperti ibumu dan eyang Maka bapak pikir bapak harus segera merealisasikan rencana bapak Selagi kamu masih ada Ditinggalkan itu rasanya seperti hilang raga Marya Dunia tetap bergerak dan bersuara tetapi kamu tidak ikut serta Memori hadir bagai asap yang menyelubungi mayatmu ketika kamu dikremasi Dalam keremangan itu sejarah diputar kembali dengan jelas Hanya saja ia datang dengan jarak yang tak tergapai realitas Kamu akan berusaha memungut apa saja yang tertinggal keatasan di mesin cuci seprai yang urung kamu ganti sampai bentuk terakhir sabun mandi Ibu meninggalkanmu saat kamu masih nenen jadi arsip ingatanmu masih nol persen Kamu aman Manusia baru benar benar tumbang dihajar kenangan Marya Melalui spion kamu melirik sebungkus bakmie goreng Kong Hu kesukaan bapak di jok belakang Selepas maghrib tadi kamu sempat membelinya dari rumah makan China di trotoar Pasirkoja Bakmie Kong Hu adalah satu dari sekian banyak kenanganmu bersama bapak yang senantiasa kamu jaga Bapak akui selama ini begitu banyak kebohongan yang bapak berikan padamu Hanya itu cara yang bapak tahu untuk membuat hidup lebih mudah Berbohong merupakan pilihan paling enteng untuk memperbaiki situasi Bapak lupa setiap kebohongan tumbuh seperti bibit pohon jati yang suatu saat mustahil ditutup tutupi Kalimat bapak bergema selama kamu mengemudi dalam kecepatan di atas rata rata Ketika peta digital pada ponsel memberitahu dirimu akan tiba dalam beberapa menit kamu memutuskan berhenti mengemudi Kamu tidak yakin dirimu siap menemui bapak Semua ini terasa tidak adil bagimu Tetapi apa yang bapak tulis selanjutnya membuatmu kembali menginjak gas Sebagai pembohong ulung bapak tetap berupaya membahagiakanmu Di sekolah dasar bapak belajar mengepang supaya seperti kawanmu yang lain kamu juga dapat memamerkan rambutmu yang legam terbentuk sempurna Ingat saat bapak hadir dengan rok span blouse dan rambut tiruan pada perayaan hari ibu Bapak ditertawai oleh setengah dari isi kelasmu tetapi selama itu membuatmu bahagia bapak tidak peduli Indah betul hidup ini Marya ketika kita mampu mengabaikan tanggapan buruk orang di sekitar Pada hari lainnya telunjuk bapak memar karena terjepit mesin jahit saat kita sama sama menyelesaikan pekerjaan rumah kerajinan tangan Bapak juga menikmati eksperimen kita memasak resep babat gongso biar pada akhirnya kita menyerah lalu menelepon restoran cepat saji Kamu sudah di depan pintu Memutar kenop lalu masuk dengan gagu Ruang ruang gelap menyambutmu dalam senyap Tanpa memerhatikan sekeliling kamu bergegas menuju halaman belakang Saat melewati dapur kamu dapati pohon jati bapak berdiri gagah dari balik jendela Kamu tersenyum Sinar matahari pagi menerobos menghangatkan tubuhmu yang diserang gigil Pohon jati di rumah eyang itu memiliki lima cabang disebut pendhawa Merepresentasikan kekuatan dan dipercaya mampu menjadi kerangka pendopo utama Di bawah pohon tergeletak surat kabar lawas menyuguhkan judul berita Selundupkan Narkoba WNI Ditahan di Bandara Amerika Setelah kamu periksa ia terbit beberapa dekade silam Kamu menoleh ke hamparan rumput di sampingmu Di sana tercetak bayang bayang bapak yang menggantung kaku dari salah satu cabang Tepat di atas kepalamu Seperti dekorasi Tali yang melingkari lehernya juga mengikat serta kanvas yang selesai dilukis Tetapi kamu tidak berani menengadah Itu adalah bagian yang kamu hindari sejak kamu tiba tadi Marya dunia memiliki banyak cara untuk membuatmu sengsara Tetapi pilihanmu merespons akan menentukan segalanya Sengaja bapak tanam pohon ini untuk bapak jadikan jalan keluar Ini pilihan bapak supaya tidak ditinggalkan oleh siapa siapa lagi Selamat ulang tahun ya Marya yang manis Bapak sayang Sayang sekali bapak tidak sempat menyantap bakmie goreng Kong Hu yang kamu belikan Diilhami oleh Adhitya Korsa Redaksi menerima kiriman naskah cerpen tema bebas disesuaikan dengan karakter detikcom sebagai media massa umum yang dibaca semua kalangan Panjang naskah sebaiknya tidak lebih dari karakter karya orisinal dan belum pernah diterbitkan di media lain Kirim ke email mumu detik com Simak Video Gerakan Relaksasi Beragama ala Penulis Feby Indirani Gambas Video detik mmu mmu cerpen 
"Dipergoki Mangsa Ayam, Ular 3 Meter di Bogor Kabur ke Sela Tembok Warga", Kabupaten Bogor Seekor ular sanca berada di sela sela dinding rumah warga Petugas pemadam kebakaran damkar yang melakukan evakuasi terpaksa menjebol dinding Iya karena kan kalau kita lewat dari sela dinding untuk angkat pakai kayu dikorek pakai kayu nggak bisa Kita bikin asap kita kasih asap dia juga nggak mau keluar ularnya Akhirnya kita minta izin sama yang punya rumah kita ukur kita jebol tembok gitu kata Danru Rescue Regu Damkar Kabupaten Bogor Alan Bastyan ketika dihubungi Rabu Nah ayamnya sudah dililit sama dia ular sudah sempat mau dimakan namun ketahuan sama yang punya rumah gitu Nah ayamnya dilepas lagi ularnya kabur yang punya rumah tidak berani nangkepnya gitu jelas Alan jbr idh ular sanca evakuasi ular kabupaten bogor 
