title,content
Senyuman dan Kegetiran di Unit Perawatan Pasien Virus Corona, Jakarta Rasanya seperti video yang Anda lihat tentang apa yang terjadi sesaat sebelum tsunami melanda ketika air laut surut dan semuanya menjadi sangat sunyi Kata kata itu terlontar dari seorang konsultan Dr Ami Jones saat dia menggambarkan ketenangan sebelum badai virus corona menghadang di Unit Terapi Intensif ITU di Rumah Sakit Nevill Hall di Abergavenny Monmouthshire Inggris Virus corona dan lockdown Kisah fotografer yang menemukan keintiman dengan para tetangganya saat pandemi Covid Melawan pandemi Flu Spanyol tahun Kisah orang menghadapi wabah dengan menyantap bubur hangat mengenakan masker dan menghirup udara segarVirus corona Hari hari janggal di London timur kisah fotografer yang mengabadikan situasi lockdownDan ketika dihantam wabah Covid rekannya yang sesama staf layanan kesehatan Inggris NHS Glenn Dene berada di sana untuk mengabadikan semua momentum dengan kamera Foto foto yang dia abadikan mengungkap momen momen kelembutan keakraban tantangan profesional dan berbagai kecemasan yang dialami setiap orang ketika tim medis berjuang melawan pandemi Foto foto Dene akan disajikan dalam sebuah buku yang dia dan Dr Jones terbitkan berjudul Behind the Mask Buku tersebut berisi sekitar foto mengungkap berbagai momen seperti ketegangan momen yang menyentuh dan terkadang menakutkan di dalam ruang ITU di rumah sakit Abergavenny Dr Jones mengatakan pandemi itu semoga merupakan pengalaman sekali kalinya dalam satu generasi yang perlu didokumentasikan Kecuali kamu berada di balik pintu tertutup itu kamu tidak akan pernah melihat seperti apa rasanya katanya Saya tahu ada beberapa film dokumenter di televisi namun saya pikir bagi orang orang yang tinggal di rumah yang mereka lihat hanyalah potongan potongan tayangan di televisi serta angka dan jumlah kematian tambahnya Jadi saya pikir untuk benar benar menunjukkan kepada mereka apa yang sedang terjadi dan apa yang dialami staf tetapi yang lebih penting kemalangan yang dialami para pasien serta keluarganya itu hal yang sulit untuk diabadikan Meninggal sendirian adalah hal yang mengenaskan Kisah perawat yang menangani pasien virus corona di rumah sakit Italia Kami harus memilih pasien mana yang dirawat atau tidak rawat layaknya ketika perang Kisah lima perawat di empat benua yang memerangi Covid Saya bangga dengan pekerjaan saya Sebagai salah seorang prajurit cadangan Dr Jones sudah dua kali pergi ke medan perang di Afghanistan Dia mengatakan banyak kesamaan antara tekanan selama bekerja di zona perang dan melawan Covid di garis depan Persahabatan dan sikap yang bisa dilakukan staf mengingatkan pada apa yang biasa saya lakukan dengan rekan rekan militer saya katanya Dia mengatakan Dene yang merupakan seorang dokter di unit bedah memiliki mata yang tajam dan dia mengabadikan beberapa momen yang sangat manis Dr Jones berharap foto foto itu akan membuat orang merasakan mengapa mereka harus tinggal di rumah selama beberapa minggu terakhir Bagi Dene salah satu foto yang paling mengesankan adalah saat salah satu rekannya masuk ke dalam unit perawatan ketika seorang pasien menulis kata ketakutan di papan tulis Itu cukup sulit untuk ditangani katanya seraya menambahkan bahwa dia telah melihat hal hal yang telah menghancurkan dirinya Fotografer paruh waktu itu mengatakan ada kalanya dia merasa ingin meninggalkan unit perawatan Saya bisa meninggalkan ruang perawatan sedangkan perawat yang berjaga ada di sana selama jam dan itu akan menjadi sangat sulit bagi mereka berhadapan dengan sisi emosional dari virus corona untuk para pasien dan keluarga pasien katanya Dene menambahkan Kami akan berbicara tentang virus corona untuk tahun tahun mendatang dan saya pikir penting untuk mendokumentasikannya untuk generasi mendatang dan untuk staf juga Kita semua terlibat dalam hal ini NHS para garda terdepan dan semua yang ada di negara ini Buku yang dibuat atas izin dan dukungan dari Nevill Hall akan digunakan untuk membantu mengumpulkan dana bagi kegiatan amal NHS termasuk layanan ambulans Wales Air Ambulance Semua foto dilindungi hak cipta ita ita bbc magazine virus corona covid 
"Internet Pusat Data Google Sempat Tumbang, Penyebabnya Tak Terduga", Jakarta Belum lama ini sistem kabel Google mengalami masalah yang mempengaruhi pusat data perusahaan Tapi luar biasanya adalah penyebab insiden ini Bukan manusia atau pun alat berat yang kerap memutus koneksi kabel fiber optic Tapi satu kawanan sapi kok bisa Kabel tersebut digantung di samping kabel listrik bertegangan tinggi Biasanya jika terjadi kendala disebabkan karena badai pohon tumbang es dan pemburu yang kerap merusak kabel Gambas Twitter Tapi setelah diselidiki tidak ada satu pun dari skenario tadi yang terjadi Setelah investigasi lebih lanjut ternyata terganggunya koneksi karena sapi yang sedang merumput menginjak dan menekuk kabel yang jatuh HÃ lzle tidak menyebutkan apakah masalah ini cukup serius Sehingga berkontribusi pada tumbangnya layanan Google di pengguna Untuk diketahui pusat data Google di The Dalles Oregon menjalankan Gmail Drive dan lainnya Saat ini Google punya pusat data berada di AS tersebar di Amerika Selatan Eropa dan Asia Simak Video Karyawan Google Akan Ngantor Lagi pada Juni Gambas Video detik afr fyk google fiber optic gmail 
"Ucapkan Selamat Idul Fitri, Luhut Ingatkan Badai Pandemi Melanda RI", Jakarta Menteri Koordinator Menko Kemaritiman dan Investasi Luhut Binsar Pandjaitan menyampaikan ucapan Selamat Idul Fitri kepada seluruh umat Islam Mantan Menko Polhukam ini juga mengajak menomorsatukan kesehatan keluarga dan sanak keluarga di tengah pandemi COVID Saya memahami bahwa tidaklah mudah memang bagi saudara saudara saya yang Muslim merayakan hari kemenangan di saat saat sulit seperti ini Namun yang perlu kita semua ingat adalah keselamatan dan kesehatan keluarga serta sanak saudara kita harus dinomorsatukan ujar Luhut dalam postingan di akun Instagram luhut pandjaitan dikutip Minggu Berikut petikan pernyataan lengkap Luhut yang dikutip dari video dalam akun resmi Instagram nya Untuk saudara saudaraku yang beragama Islam kondisi sulit yang kita semua alami saat ini adalah momentum yang tepat untuk menguatkan kembali rasa persaudaraan kita lewat saling peduli saling menjaga antar sesama anak bangsa karena dengan saling menguatkan kita mampu mengatasi badai pandemi yang melanda bumi pertiwi saat ini dengan tetap menjaga jarak dan terutama menjaga kesehatan dan jangan lupa memakai masker Maka dari itu di hari yang penuh barokah ini saya Luhut Binsar Pandjaitan dari lubuk hati yang paling dalam mengucapkan selamat Hari Raya Idul Fitri Syawal Hijriyah Mohon maaf lahir dan batin Gambas Instagram Simak Video Demi Keselamatan Bersama Luhut Ajak Masyarakat Jangan Mudik Gambas Video detik kil hns luhut luhut binsar pandjaitan idul fitri 
"Badai PHK Terjang Pabrik Sepatu Nike, Korban Nyaris 5.000 Orang", Jakarta Pabrik sepatu yang berlokasi di Kabupaten Tangerang Banten melakukan pemutusan hubungan kerja PHK karena dampak penyebaran virus Corona COVID Menurut data Dinas Tenaga Kerja Kabupaten Tangerang PHK ini dilakukan terhadap karyawan Informasi PHK tersebut beredar di media sosial lewat akun Twitter AboutTNG Dalam akun tersebut tertera cuitan yang dilampirkan foto menunjukkan aksi dan ekspresi karyawan usai kena PHK Berikut cuitannya Karyawan PT Victory Chingluh Indonesia yang terletak di Pasar Kemis Kabupaten Tangerang melakukan kelulusan pabrik angkatan COVID tulis akun tersebut dan sudah disukai oleh warganet serta di cuit ulang sebanyak kali Gambas Video detik hns hns phk badai phk pabrik sepatu tangerang corona virus corona 
(Masih) Soal Indira Kalistha dan Sarah Salsabila yang Bikin Heboh, Jakarta Pemberitaan dunia hiburan Tanah Air masih seputar dengan berita datang dari Indira Kalistha dan Sarah Salsabila Indira Kalistha mengubah lirik lagu Aku Cuma Punya Hati ciptaan Badai Pemilik nama lengkap Doadibadai Hollo tersebut merasa karyanya diubah tanpa izinnya dan meminta Indira Kalistha untuk segera menemuinya Jadi buat mbak Indira Kalistha dan timnya mungkin bisa lebih memperhatikan lagi imbauan saya untuk segera menemui saya sebagai pencipta lagu yang lagunya Anda bawakan dalam feeds Anda ujar Badai dalam Instagram miliknya Simak Video Indira Kalistha dan Suami Kini Bantu dr Tirta Jadi Relawan Gambas Video detik wes dal indira kalistha sarah salsabila sarah salsabila lelang keperawanan indira kalistha remehkan corona Photo Gallery celeb Ini Sarah Salsabila Selebgram yang Lelang Keperawanan celeb Ini Sarah Salsabila Selebgram yang Lelang Keperawanan celeb Ini Sarah Salsabila Selebgram yang Lelang Keperawanan celeb Ini Sarah Salsabila Selebgram yang Lelang Keperawanan celeb Ini Sarah Salsabila Selebgram yang Lelang Keperawanan celeb Ini Sarah Salsabila Selebgram yang Lelang Keperawanan celeb Ini Sarah Salsabila Selebgram yang Lelang Keperawanan 
Khofifah: Tahun Ini Kami Tak Gelar Open House, Jakarta Pemerintah Provinsi Jawa Timur menyediakan panduan melaksanakan ibadah salat Idul Fitri lengkap dengan format naskah khotbah guna memudahkan masyarakat melakukan ibadah salat Idul Fitri H di rumah Panduan melaksanakan ibadah salat Idul Fitri tersebut bisa diakses melalui website resmi Pemprov Jawa Timur Di sana terdapat panduan melaksanakan ibadah salat Idul Fitri lengkap dengan naskah khotbah untuk dibaca sebagai rukun salat Idul Fitri Gubernur Jawa Timur Khofifah Indar Parawansa menyebutkan sebagaimana dianjurkan oleh Wakil Presiden RI dan juga dari MUI serta Kemenag masing masing daerah yang sudah masuk dalam kategori zona merah atau yang sudah ada di antara warganya yang terinfeksi covid maka dianjurkan untuk salat Idul Fitri di rumah saja Daerah yang sudah ada warganya yang terkonfirmasi positif maka diharapkan salat Idul Fitri di rumah masing masing Dan kita siapkan format naskah khotbah di website Pemprov Jatim tutur Gubernur Khofifah Sabtu ega mpr khofifah indar parawansa 
"Indira Kalistha Berulah Lagi, Kali Ini Ditegur Badai Eks Kerispatih", Jakarta Nama Indira Kalistha belum hilang dari perbincangan masyarakat Indira Kalistha kali ini kembali membuat ulah Ditegur Badai eks Kerispatih Indira Kalistha ketahuan mengubah lirik lagu yang diciptakan Badai Indira Kalistha mengubah lirik lagu Aku Cuma Punya Hati ciptaan Badai Pemilik nama lengkap Doadibadai Hollo tersebut merasa karyanya diubah tanpa izinnya dan meminta Indira Kalistha untuk segera menemuinya Jadi buat mbak Indira Kalistha dan timnya mungkin bisa lebih memperhatikan lagi imbauan saya untuk segera menemui saya sebagai pencipta lagu yang lagunya Anda bawakan dalam feeds Anda ujar Badai dalam Instagram miliknya Simak Video Indira Kalistha Buka Suara soal Video yang Dianggap Remehkan Corona Gambas Video detik wes dal indira kalistha indira kalistha minta maaf indira kalistha remehkan corona selebgram indira kalistha 
"Ada Corona, Bagaimana Nasib THR Pegawai Klinik Gigi?", Jakarta Adanya pandemi virus Corona atau COVID membuat industri pelayanan kesehatan yaitu klinik menjadi terhambat Salah satunya terdampak bagi klinik gigi HRGA Manager MHDC Group Kireina Velayati menjelaskan meluasnya virus ini menyebabkan MHDC Group yang biasa dikenal dengan MHDC dan Medikids Clinic harus menutup pelayanan klinik sementara MHDC Group adalah one stop clinic yang memberikan pelayanan gigi untuk anak dan dewasa pelayanan kecantikan pelayanan vaksin dan pelayanan tumbuh kembang anak Kami pada awalnya terpaksa memberhentikan operasional klinik demi mendukung pemerintah dalam rangka pencegahan penularan COVID terutama pada pelayanan gigi yang sangat memungkinkan proses penularan dapat dengan mudah terjadi karena penularan utama virus ini melalui droplet ujar Kireina Sabtu Gambas Video detik kil ara virus corona corona thr klinik gigi 
Amber-Lee Friis Finalis Miss Universe Selandia Baru Meninggal Bunuh Diri, Jakarta Kabar duka terdengar dari dunia modeling Amber Lee Friis salah satu finalis Miss Universe Selandia Baru dikabarkan meninggal dunia di usia tahun Dikutip dari Daily Mail pihak kepolisian menyebut mendapatkan laporan kematian tiba tiba pada Mei Pihak manajemen The Talent Tree pun merilis pernyataan atas kabar kematian Amber Lee Friis karena bunuh diri Dengan sangat bersedih kami membenarkan kabar kepergian Wahine Amber Lee Friis yang meninggal dunia secara tiba tiba tulis manajemen melalui akun Facebook Simak Video Awal Mula Kedekatan Dian Sastro dan Dita Karang Secret Number Gambas Video detik dal wes amber lee friis amber lee friis meninggal bunuh diri 
Saat Bencana Alam Terjadi Bersamaan dengan Pandemi Corona, New Delhi Jutaan warga Bangladesh dan India bagian timur yang selamat dari Badai Amphan melihat dampak kehancuran akibat badai dengan kecepatan kilometer per jam di desa desa mereka Sebanyak orang meninggal dunia sesudah badai menghancurkan rumah rumah dan listrik padam Jutaan orang diungsikan di kedua negara Perdana Menteri India Narendra Modi tiba di negara bagian Bengal Barat untuk melakukan pemantauan dari udara Pandemi COVID dan aturan pembatasan sosial membuat proses evakuasi berjalan sulit dan tempat penampungan tak bisa digunakan karena penuh Memprotes minimnya alat pelindung diri untuk lawan Covid dokter dimasukkan ke rumah sakit jiwaKaum miskin India takut kelaparan akan membunuh kami lebih dulu sebelum virus corona Lockdown di India berubah menjadi tragedi kemanusiaanPihak berwenang mengatakan warga takut dan enggan pindah ke penampungan karena takut terpapar virus Amphan merupakan badai super pertama yang menghantam Teluk Benggala sejak tahun Sekalipun ketika mencapai daratan sudah jinak tetap digolongkan badai yang berbahaya Bendungan jebol di Bangladesh akibat badai Amphan AFP Tiga distrik di India terpengaruh sementara di Bangladesh dilaporkan puluhan ribu rumah rusak dan hancur serta desa desa terendam air di kawasan pantai di Khulna dan Satkhira Ikut terdampak adalah daerah Sunderbans daerah mangrove seluas lebih dari km persegi terbentang dari India ke Bangladesh Daerah rawa rawa ini menjadi tempat tinggal sekitar empat juga orang yang bisa digolongkan termiskin di dunia Ibukota negara bagian Bengal Barat Kolkata juga rusak Jalan jalan kebanjiran dan listrik padam lebih dari jam Pejabat negara bagian Mamata Banerjee mengatakan kehancuran Kolkata lebih parah daripada COVID Bencana dan pandemiJalan jalan tertutup pohon tumbang di Bangladesh Reuters Warga yang harus mengungsi karena cuaca buruk terjadi di banyak tempat di seluruh dunia Banyak dari mereka yang terpaksa melanggar panduan penanganan COVID Penjarakan sosial tidak dimungkinkan lagi ketika para pengungsi memenuhi tempat penampungan kata Marshal Makavure dari International Federation of Red Cross IFRC kepada BBC Orang terpaksa melanggar protokol dan panduan COVID di bawah kondisi seperti itu BBC bicara dengan beberapa orang yang harus menjalani situasi sulit ini IndiaKeluarga Subrat petani di India BBC Subrat Kumar Padhihary petani berusia tahun dari negara bagian Odisha khawatir Pejabat India telah mengingatkan akan badai Amphan di Bengal Barat dan Odisha yang merupakan badai yang sangat buruk Desa Subrat terletak kilometer dari laut Di rumahnya ia tinggal bersama istri dan tiga anak perempuannya Rumah itu rusak akibat Badai Fani tahun lalu jadi ia tak yakin rumah itu bisa bertahan menghadapi Badai Amphan Jika rumahnya selamat ia khawatir kalau harus meninggalkan desanya karena pejabat setempat telah memerintahkan pengungsian Subrat merasa pengungsian lebih berbahaya Ketakutan saya adalah apabila dibawa ke gedung sekolah yang sudah diubah jadi penampungan karantina penderita COVID Apa yang terjadi pada tubuh jika terinfeksi virus corona Virus corona Kalau terkena berapa lama kita akan sakit dan pertanyaan yang paling sering diajukan soal Covid Berapa lama virus corona bisa bertahan pada permukaan Tak banyak gedung di desa saya dan ini berarti kami harus berbagi ruang dengan orang yang mungkin tertular COVID Bengal Barat susah payah menghadapi COVID dan ini menjadi sumber kekhawatiran seiring dengan ancaman badai ini kata Siddarth Srinivas dari Oxfam Asia Di masa lalu beberapa negara bagian di India menampung korban badai di sekolah dan gedung pemerintahan tapi kini langkah itu tak ideal karena pandemi UgandaDistrik Kasese di Uganda menjadi yang terdampak paling buruk dari banjir dan ratusan orang harus mengungsi Joseline Kabugho tengah hamil enam bulan Perempuan berusia tahun ini terpaksa mengungsi bersama dua orang anaknya di gedung sekolah yang diubah jadi kamp Kehamilannya menempatkan Joseline berisiko tinggi terkait infeksi COVID Ada orang bersamanya tinggal di kamp itu Kami rentan sekali katanya dari dalam ruang kelas yang ia tinggali bersama tiga keluarga lain Saya tak bisa menjaga jarak dengan orang lain karena ruangnya terbatas Saya khawatir terinfeksi virus dan saya khawatir akan anak anak dan bayi di kandungan saya katanya kepada BBC Joseline tidur di samping dua anaknya malam tanggal Mei ketika ia dengar penduduk desanya berteriak Saya sadar itu suara tetangga menyuruh kami menyelamatkan diri Desa kami terlanda banjir besar Saya tarik kedua anak saya dan kabur Tak ada waktu untuk membawa apa apa Ia sempat membeli pakaian bayi sebelum banjir datang Saya tak sempat menyelamatkan pakaian bayi itu Semua tersapu banjir Suaminya bekerja di kota lain dan tak bisa menghampiri mereka karena larangan bepergian akibat COVID Tak ada tempat pergi dan tak tahu apa yang harus saya lakukan kata Joseline Pekerja kemanusiaan dan palang merah mengatakan ribuan orang ditampung di gereja dan sekolah di Afrika Timur yang terlanda banjir nyaris tanpa akses ke air dan sabun Ribuan lain meninggal dunia dan puluhan ribu mengungsi akibat banjir melanda di sejumlah negara Lebih dari korban meninggal dunia akibat COVID dan hampir kasus tercatat di negara negara Afrika menurut John Hopkins University Salah satu negara terdampak banjir Somalia memiliki angka kematian tertinggi dengan diikuti oleh Kenya dam Tanzania Kepulauan Pasifik Badai tropis Harold menghantam Kepulauan Pasifik lebih dari sebulan lalu Beberapa negara yang terlanda harus mencabut aturan terkait COVID agar warga bisa mengungsi di tempat penampungan Banyak warga yang kini masih di pusat pengungsian karena pandemi mempengaruhi upaya pemberian bantuan Negara yang paling terkena dampak badai Vanuatu telah memperpanjang kondisi darurat lantaran orang menjadi korban menurut UNICEF Di Fiji sebanyak pusat penampungan dioperasikan karena proses pemulihan berjalan lambat dan banyak rumah belum dibangun kembali Akses kepada air masih merupakan persoalan besar karena badai telah menghancurkan infrastruktur pasokan air kata Vani Catanasiga Direktur Dewan Kesejahteraan Sosial Fiji Tanpa pasokan air mengikuti panduan kesehatan COVID sangat sulit sekalipun pemerintah Fiji telah berhasil menekan kurva infeksi Lembaga kemanusiaan mengatakan mereka ikut mendorong dipatuhinya panduan COVID Kepala palang merah Irene Nakasiits mendistribusikan air dan sabun kepada warga yang mengungsi di Uganda barat Sekalipun ini sulit dilakukan kami mengingatkan warga yang terlanda bencana untuk tetap patuh pada panduan kata Marshal Mukuvare dari IFRC Kita bisa menuliskan pesan di makanan atau barang bantuan lain yang kami distribusikan Pandemi dan bencana seperti ini merupakan sesuatu yang belum pernah terjadi sebelumnya kata Siddarth Srinivas dari Oxfam Asia nvc nvc bbc world bbc india virus corona covid 
