title,content
Cerita Pasien Corona Sembuh Usai 38 Hari Karantina: Selalu Ingat Keluarga, Banjarnegara Kabar baik dari Banjarnegara tujuh pasien positif virus Corona COVID dinyatakan sembuh Salah satu pasien sembuh pun berbagi pengalamannya usai hari menjalani isolasi Kepada masyarakat saya berharap untuk mentaati anjuran pemerintah dengan melakukan sesuai protap kesehatan Sehingga pendemi ini bisa segera berakhir dan kita semua dapat beraktivitas seperti semula kata salah satu pasien sembuh COVID Rofik sebelum diantar pulang Minggu malam Kalau jenuh itu pasti saya berada di ruang isolasi sekitar hari Setiap hari selalu ingat keluarga apalagi hari ini tidak bisa merayakan Idul Fitri bersama keluarga terangnya Selanjutnya Halaman banjarnegara karantina pasien corona sembuh birojatengdiy corona di jateng virus corona 
"Kasus Corona di Kudus Tambah 3 Jadi 51 Orang, Ini Datanya", Kudus Kasus virus Corona atau COVID di Kudus hari ini mengalami penambahan tiga kasus menjadi orang Dua di antaranya merupakan warga dari luar Kudus Tambah kasus positif Corona tiga orang Kemarin satu orang dan hari ini dua penambahan kasus kata Juru Bicara Gugus Tugas Percepatan Penanganan COVID Kabupaten Kudus dr Andini Aridewi saat dimintai konfirmasi detikcom pada Minggu Andini mengatakan penambahan kasus dari dalam wilayah Kudus yakni seorang laki laki berusia tahun dari Kecamatan Kota Kudus Pasien ini dirawat di RSUD Kudus sejak Kamis tapi ada kontak penderita maupun riwayat perjalanan Kemudian dua kasus baru dari luar Kudus berasal dari Demak dan Karangnyar Pasien asal Demak diketahui laki laki berusia tahun dan dirawat di RSUD Kudus sejak Sabtu kemarin Hasil swab positif dari RSWN Semarang diterima tadi pagi jelasnya Selanjutnya Halaman kudus corona di jateng virus corona birojatengdiy 
Pria Uring-uringan Bongkar Barikade di Wonosobo Diamankan Polisi, Wonosobo Pria yang viral di media sosial setelah uring uringan sambil membongkar barikade jalan di Wonosobo sudah diamankan polisi Warga Sarwodadi Tawangsari Kecamatan Wonosobo itu bekerja sebagai penjahit Jadi tadi dari lokasi kejadian di Jalan A Yani pria itu kami amankan Kemudian dijemput keluarga dan pihak RT kata Kapolres Wonosobo AKBP Fannky Ani Sugiharto saat dihubungi detikcom Minggu Fannky juga menyebut bahwa pria yang ada di dalam video itu sebelumnya juga sempat ramai di media sosial Warga Sarwodadi ini menolak saat diingatkan untuk memakai masker Video ini ada kaitannya dengan video sebelumnya Sebelum ini kan pernah ramai juga ada orang yang tidak mau disuruh memakai masker Nah orangnya itu sama dengan yang ini katanya Selanjutnya Halaman wonosobo pria bongkar barikade jalan polres wonosobo birojatengdiy viral 
"4 dari 5 Anggota Sebuah Keluarga di Ponorogo Positif Corona, Ini Penyebabnya", Ponorogo Ada satu kasus positif Corona baru di Ponorogo Kini totalnya menjadi kasus Dari warga tersebut ada pasien yang sudah sembuh Kemudian satu orang meninggal dunia dan pasien masih dirawat di rumah sakit Hari ini diberitahukan ada tambahan satu pasien positif COVID ini pasien nomor tutur Bupati Ponorogo Ipong Muchlissoni kepada detikcom Minggu Selanjutnya Halaman birojatim virus corona corona ponorogo pasien positif corona corona di jatim 
"Ikut Open House Virtual, Warga ke Ganjar: Alhamdulilah THR yang Mudik", Semarang Gubernur Jawa Tengah Ganjar Pranowo menggelar open house virtual di hari raya Idul Fitri Open house kali ini digelar via Zoom dengan ratusan peserta Open house virtual di rumah dinasnya itu berlangsung dua jam dengan dibagi beberapa sesi Satu sesi diikuti orang dari berbagai tempat tidak hanya Jawa Tengah bahkan mancanegara Para peserta sudah lebih dulu mendaftar dan menunggu antrean Tidak hanya Ganjar dia juga ditemani istri dan anaknya yaitu Siti Atikoh dan Zinedine Alam Ganjar juga menyelipkan hiburan berupa video dari panggung kahanan Rasanya aneh juga buat saya karena baru yang pertama Tapi asyik juga ada dari mancanegara ternyata yang ikut kata Ganjar dalam keterangan tertulisnya Minggu Selanjutnya Halaman ganjar pranowo semarang birojatengdiy ramadhan idul fitri corona di jateng 
Viral Pria Uring-uringan Bongkar Barikade Jalan di Wonosobo, Wonosobo Video warga membongkar barikade jalan di Wonosobo sambil uring uringan viral di media sosial Pria itu menggeser barikade jalan sambil terus menggerutu karena penutupan jalan saat Idul Fitri Video itu diunggah akun lambe_turah dilihat detikcom Minggu pukul WIB video itu sudah ditonton juta kali Di video berdurasi menit itu tampak seorang pria berpeci dan memakai kemeja maupun celana warga gelap Hari raya Idul Fitri hari kebebasan hari kemenangan ora carane kaya ngene bukan begini caranya Iki jenenge ini namanya kelakuan iblis kelakukan setan kata pria dalam video tersebut sambil membongkar barikade seperti dikutip detikcom Selanjutnya Halaman wonosobo viral birojatengdiy polres wonosobo pria bongkar barikade jalan 
"Benda Misterius Jatuh di Sragen, Apakah Itu Balon Udara dari Ponorogo?", Ponorogo Tradisi menerbangkan balon udara ternyata masih ada di Ponorogo Warga masih memanfaatkan momen Lebaran untuk menerbangkan balon Bahkan ada salah satu balon yang diduga dari Ponorogo yang terbang hingga ke langit Solo dan jatuh di Sragen Jawa Tengah Itu balon udara yang jatuh di Sragen belum bisa dipastikan dari Ponorogo tutur Kapolres Ponorogo AKBP Arief Fitrianto kepada detikcom Minggu Selanjutnya Halaman birojatim balon udara lebaran benda misterius di langit solo balon udara di ponorogo 
"Buntut Heboh Banyak Balon Udara di Langit, Airnav Terbitkan Notam", Solo Airnav Indonesia akhirnya menerbitkan peringatan atau notice to airmen Notam terkait kemunculan benda misterius di langit yang ternyata balon udara Pesawat diminta berhati hati saat melintas di beberapa kawasan di Jawa Tengah Tadi siang setelah ramai ada sesuatu di langit Solo kita keluarkan Notam agar pilot juga berhati hati saat melintas di Pekalongan dan Wonosobo kata General Manager Airnav Indonesia cabang Solo Dheny Purbo Hariyanto saat dihubungi detikcom Minggu Dia mengaku tidak dapat mengecek secara langsung benda apa yang terbang di langit Solo Namun berdasarkan laporan masyarakat diduga benda itu adalah balon udara Soalnya kebetulan ini sedang tidak ada pesawat yang terbang jadi tidak ada laporan ke kami Daripada ambil risiko kita keluarkan Notam saja ujarnya Selanjutnya Halaman solo benda misterius di langit solo airnav indonesia birojatengdiy viral 
Cerita Warga Gunungkidul Soal Benda Misterius di Langit Ternyata Balon Udara, Gunungkidul Benda misterius di langit yang bikin heboh warga Soloraya juga terjatuh di Gunung Kidul Warga Gunungkidul menyebut benda itu ternyata berbahan plastik Jatuh di lapangan siang tadi Terus waktu mendarat masih mirip seperti bola balon udara kata Kepala Desa Ngloro Kecamatan Saptosari Heri Yulianto saat dihubungi wartawan Minggu Temuan benda itu juga menjadi perhatian warga Desa Ngloro Agar tidak menimbulkan polemik benda menyerupai balon itu juga sudah dibakar Tadi langsung diamankan sama petugas dan setelah diamankan balon itu dibakar ucapnya Selanjutnya Halaman gunungkidul benda misterius di langit solo birojatengdiy viral video viral 
"Video Heboh Benda Misterius di Langit Solo, Ternyata Balon Udara", Jakarta Warga Solo dikagetkan oleh penampakan benda misterius di langit Rupanya benda itu adalah balon udara Gambas Video detik trw trw solo misterius balon udara 
