title,content
Sedihnya Warga Samarinda Kebanjiran Saat Lebaran, Samarinda Ribuan warga Samarinda Kalimantan Timur merayakan hari raya Idul Fitri H di tengah banjir Sebagian ada yang merayakan Lebaran di tempat pengungsian akibat banjir yang melanda sejak Jumat malam Seorang warga Bengkuring Samarinda Aspian mengungkapkan kesedihannya di tengah banjir Ini menurutnya menambah duka setelah ada larangan mudik Lebaran akibat pandemi virus Corona COVID Kami hanya bisa pasrah COVID membuat kami tidak bisa keluar dari rumah karena tidak adanya posko dan adanya larangan berkumpul saat ini mungkin kami sekeluarga akan mengungsi ke rumah orang tua kata Aspian Minggu Aspian mengaku genangan air sudah masuk ke rumahnya sejak Sabtu sore Namun air sudah menggenangi jalan sejak Jumat malam elz elz lebaran hikmah ramadhan banjir virus corona samarinda biromakassar 
"Bayern Vs Eintracht Frankfurt: Sengit, Die Roten Menang 5-2", Munich Banjir gol terjadi antara Bayern Munich vs Eintracht Frankfurt Die Roten menuntaskan laga sengit tersebut dengan kemenangan Bayern bertanding menghadapi Frankfurt dalam lanjutan Liga Jerman yang berlangsung di Allianz Arena Sabtu malam WIB Limpahan gol tercipta di laga dua tim papan atas Bundesliga tersebut dan disiarkan Mola TV di link ini Pada babak pertama Bayern unggul via gol yang diciptakan Leon Goretzka dan Thomas Mueller Keunggulan tim tuan rumah bertahan hingga memasuki waktu jeda Selepas turun minum Bayern menambah keunggulan menjadi lewat gol Robert Lewandowski Frankfurt sempat memperkecil kedudukan menjadi melalui dwigol Martin Hinteregger tetapi gol Alphonso Davies dan bunuh diri Hinteregger membuat Die Roten menyelesaikan laga dengan kemenangan Hasil ini membuat Bayern kukuh di puncak klasemen sementara dengan poin Kekalahan membuat Frankfurt belum beranjak di peringkat ketiga dengan poin unggul satu angka dari posisi keempat Borussia Monchengladbach yang di laga sebelumnya keok dari Bayer Leverkusen Gambas Video detik bay krs bayern munich eintracht frankfurt bayern munich vs eintracht frankfurt liga jerman bundesliga 
"Usai Kebanjiran, Gen Halilintar Pindah ke Rumah Baru", Jakarta Usai beres beres rumahnya yang terkena banjir keluarga Gen Halilintar pun mencari rumah baru untuk mereka tinggali selama di Malaysia Di awal video yang diunggahnya di YouTube channel mereka nampak karpet karpet mobil yang terkena lumpur akibat mobilnya terendam banjir Selain itu mereka juga mengeluhkan soal sendal mereka yang hanyut terbawa banjir Kita musti pindah pindah lagi guys Kita menuju rumah lagi baru pindah pindah lagi dilanda banjir guys Ini Kak Sohwa semangat guys tutur sang ayah Halilintar Asmid Simak Video Dear Gen Halilintar Nagaswara Mau Maafin Nih Asalkan Gambas Video detik ass wes gen halilintar gen halilintar banjir rumah gen halilintar banjir rumah gen halilintar di malaysia Photo Gallery celeb Pembelaan Gen Halilintar soal Cover Lagi Syantik celeb Pembelaan Gen Halilintar soal Cover Lagi Syantik celeb Pembelaan Gen Halilintar soal Cover Lagi Syantik celeb Pembelaan Gen Halilintar soal Cover Lagi Syantik celeb Pembelaan Gen Halilintar soal Cover Lagi Syantik celeb Pembelaan Gen Halilintar soal Cover Lagi Syantik celeb Pembelaan Gen Halilintar soal Cover Lagi Syantik celeb Seleb Seleb yang Dituding Pakai Produk KW celeb Seleb Seleb yang Dituding Pakai Produk KW celeb Seleb Seleb yang Dituding Pakai Produk KW celeb Seleb Seleb yang Dituding Pakai Produk KW celeb Seleb Seleb yang Dituding Pakai Produk KW celeb Seleb Seleb yang Dituding Pakai Produk KW celeb Seleb Seleb yang Dituding Pakai Produk KW 
"Usai Kebanjiran, Gen Halilintar Beres-beres Rumah Isolasi di Malaysia", Jakarta Usai banjir yang menerjang rumah isolasi di Malaysia surut Keluarga Gen Halilintar mulai berbenah dan mengumpulkan barang barang yang masih bisa diselamatkan dari bencana tersebut Dalam video yang diunggahnya di YouTube channel mereka keluarga tersebut terlihat kompak membersihkan rumah tersebut dari sisa sisa lumpur dan mengumpulkan barang barang yang masih bisa diselamatkan Simak Video Dear Gen Halilintar Nagaswara Mau Maafin Nih Asalkan Gambas Video detik ass wes gen halilintar rumah gen halilintar banjir rumah gen halilintar di malaysia Photo Gallery celeb Pembelaan Gen Halilintar soal Cover Lagi Syantik celeb Pembelaan Gen Halilintar soal Cover Lagi Syantik celeb Pembelaan Gen Halilintar soal Cover Lagi Syantik celeb Pembelaan Gen Halilintar soal Cover Lagi Syantik celeb Pembelaan Gen Halilintar soal Cover Lagi Syantik celeb Pembelaan Gen Halilintar soal Cover Lagi Syantik celeb Pembelaan Gen Halilintar soal Cover Lagi Syantik celeb Seleb Seleb yang Dituding Pakai Produk KW celeb Seleb Seleb yang Dituding Pakai Produk KW celeb Seleb Seleb yang Dituding Pakai Produk KW celeb Seleb Seleb yang Dituding Pakai Produk KW celeb Seleb Seleb yang Dituding Pakai Produk KW celeb Seleb Seleb yang Dituding Pakai Produk KW celeb Seleb Seleb yang Dituding Pakai Produk KW 
2 Daerah di Samarinda Kaltim Terendam Banjir Jelang Idul Fitri, Samarinda Rumah rumah warga di dua daerah di Samarinda Kalimantan Timur Kaltim terendam banjir Banjir disebabkan olah luapan Daerah Aliran Sungai DAS Karang Mumus Banjir terparah melanda lima RT di Perumnas Bengkuring Sempaja Utara Ketinggian air mencapai meter yang terjadi sejak Jumat malam hingga hari ini Meluapnya DAS Karang Mumus disebabkan tingginya debit tinggi muka air TMA Bendungan Benanga Lempake yang berada di level waspada Selain itu tingginya pasang air sungai Mahakam yang mencapai meter jadi faktor pendukung Selanjutnya Halaman banjir biromakassar samarinda kaltim kalimantan timur 
"Sawah di Polman Masih Terendam Banjir, Warga Ramai-ramai Tangkap Ikan", Polewali Mandar Sudah dua hari ratusan hektar area persawahan dan tambak ikan milik warga di Desa Tonro Lima Kecamatan Matakali Kabupaten Polewali Mandar terendam banjir akibat luapan sungai Warga pun beramai ramai menangkap ikan di persawahan Berbekal alat tangkap tradisional bandrong warga bisa membawa pulang sekarung aneka jenis ikan air tawar dan juga udang Warga mengaku ikan dan udang yang mereka tangkap terlepas dari tambak yang terendam banjir Warga bersyukur lantaran tangkapan ikan bisa dimanfaatkan untuk memenuhi kebutuhan hari raya Idul Fitri Ikan yang tertangkap berasal dari tambak warga yang terlepas sejak dua hari terakhir akibat banjir Ikan yang tertangkap akan kami manfaatkan untuk kebutuhan lebaran kata salah seorang warga Adi kepada wartawan Sabtu idn idn polewali mandar biromakassar banjir 
Ini Peran Pemilik Sabu 821 Kg yang Dikirim dari Iran ke Serang, Serang Bareskrim Polri menangkap dua warga negara asing BA asal Pakistan dan AS asal Yaman pemilik sabu kilo yang dikirim dari Iran melalui perairan Tanjung Lesung wilayah Banten selatan Selama di Banten pelaku menyamar sebagai penjual rempah Kabareskrim Komjen Listyo Sigit Prabowo mengatakan kedua pelaku awal bertemu di Yaman tahun dan di Dubai pada Pelaku AS sejak sering masuk ke Indonesia sambil berjualan rempah rempah Lalu pada keduanya masuk ke Jakarta secara bersamaan dan sering pindah apartemen Jejaknya juga sampai ke daerah Surabaya bri bbn sabu narkoba di banten narkoba bareskrim serang banten 
BMKG Prediksi Medan dan Sekitarnya Diguyur Hujan Malam Ini, Medan Badan Meteorologi Klimatologi dan Geofisika BMKG memprediksi Kota Medan dan sekitarnya diguyur hujan nanti malam atau bertepatan dengan malam takbiran Idul Fitri H Hujan diperkirakan turun dengan intensitas sedang Berdasarkan data dari situs BMKG Sabtu hujan diperkirakan mengguyur Medan pada malam hingga dini hari nanti Suhu di Medan diperkirakan derajat Celsius Waspada hujan sedang hingga lebat yang disertai petir dan angin kencang di sebagian wilayah pegunungan lereng timur dan pantai timur Sumatera Utara yang dapat menyebabkan banjir longsor dan angin kencang tulis BMKG Sementara itu BMKG memperkirakan cuaca cerah bakal terjadi di seluruh wilayah Sumatera Utara pada Minggu pagi atau bertepatan dengan Idul Fitri H Namun hujan diperkirakan turun pada siang hingga malam hari haf haf biromedan prakiraan cuaca takbiran idul fitri idul fitri bmkg medan 
Saat Bencana Alam Terjadi Bersamaan dengan Pandemi Corona, New Delhi Jutaan warga Bangladesh dan India bagian timur yang selamat dari Badai Amphan melihat dampak kehancuran akibat badai dengan kecepatan kilometer per jam di desa desa mereka Sebanyak orang meninggal dunia sesudah badai menghancurkan rumah rumah dan listrik padam Jutaan orang diungsikan di kedua negara Perdana Menteri India Narendra Modi tiba di negara bagian Bengal Barat untuk melakukan pemantauan dari udara Pandemi COVID dan aturan pembatasan sosial membuat proses evakuasi berjalan sulit dan tempat penampungan tak bisa digunakan karena penuh Memprotes minimnya alat pelindung diri untuk lawan Covid dokter dimasukkan ke rumah sakit jiwaKaum miskin India takut kelaparan akan membunuh kami lebih dulu sebelum virus corona Lockdown di India berubah menjadi tragedi kemanusiaanPihak berwenang mengatakan warga takut dan enggan pindah ke penampungan karena takut terpapar virus Amphan merupakan badai super pertama yang menghantam Teluk Benggala sejak tahun Sekalipun ketika mencapai daratan sudah jinak tetap digolongkan badai yang berbahaya Bendungan jebol di Bangladesh akibat badai Amphan AFP Tiga distrik di India terpengaruh sementara di Bangladesh dilaporkan puluhan ribu rumah rusak dan hancur serta desa desa terendam air di kawasan pantai di Khulna dan Satkhira Ikut terdampak adalah daerah Sunderbans daerah mangrove seluas lebih dari km persegi terbentang dari India ke Bangladesh Daerah rawa rawa ini menjadi tempat tinggal sekitar empat juga orang yang bisa digolongkan termiskin di dunia Ibukota negara bagian Bengal Barat Kolkata juga rusak Jalan jalan kebanjiran dan listrik padam lebih dari jam Pejabat negara bagian Mamata Banerjee mengatakan kehancuran Kolkata lebih parah daripada COVID Bencana dan pandemiJalan jalan tertutup pohon tumbang di Bangladesh Reuters Warga yang harus mengungsi karena cuaca buruk terjadi di banyak tempat di seluruh dunia Banyak dari mereka yang terpaksa melanggar panduan penanganan COVID Penjarakan sosial tidak dimungkinkan lagi ketika para pengungsi memenuhi tempat penampungan kata Marshal Makavure dari International Federation of Red Cross IFRC kepada BBC Orang terpaksa melanggar protokol dan panduan COVID di bawah kondisi seperti itu BBC bicara dengan beberapa orang yang harus menjalani situasi sulit ini IndiaKeluarga Subrat petani di India BBC Subrat Kumar Padhihary petani berusia tahun dari negara bagian Odisha khawatir Pejabat India telah mengingatkan akan badai Amphan di Bengal Barat dan Odisha yang merupakan badai yang sangat buruk Desa Subrat terletak kilometer dari laut Di rumahnya ia tinggal bersama istri dan tiga anak perempuannya Rumah itu rusak akibat Badai Fani tahun lalu jadi ia tak yakin rumah itu bisa bertahan menghadapi Badai Amphan Jika rumahnya selamat ia khawatir kalau harus meninggalkan desanya karena pejabat setempat telah memerintahkan pengungsian Subrat merasa pengungsian lebih berbahaya Ketakutan saya adalah apabila dibawa ke gedung sekolah yang sudah diubah jadi penampungan karantina penderita COVID Apa yang terjadi pada tubuh jika terinfeksi virus corona Virus corona Kalau terkena berapa lama kita akan sakit dan pertanyaan yang paling sering diajukan soal Covid Berapa lama virus corona bisa bertahan pada permukaan Tak banyak gedung di desa saya dan ini berarti kami harus berbagi ruang dengan orang yang mungkin tertular COVID Bengal Barat susah payah menghadapi COVID dan ini menjadi sumber kekhawatiran seiring dengan ancaman badai ini kata Siddarth Srinivas dari Oxfam Asia Di masa lalu beberapa negara bagian di India menampung korban badai di sekolah dan gedung pemerintahan tapi kini langkah itu tak ideal karena pandemi UgandaDistrik Kasese di Uganda menjadi yang terdampak paling buruk dari banjir dan ratusan orang harus mengungsi Joseline Kabugho tengah hamil enam bulan Perempuan berusia tahun ini terpaksa mengungsi bersama dua orang anaknya di gedung sekolah yang diubah jadi kamp Kehamilannya menempatkan Joseline berisiko tinggi terkait infeksi COVID Ada orang bersamanya tinggal di kamp itu Kami rentan sekali katanya dari dalam ruang kelas yang ia tinggali bersama tiga keluarga lain Saya tak bisa menjaga jarak dengan orang lain karena ruangnya terbatas Saya khawatir terinfeksi virus dan saya khawatir akan anak anak dan bayi di kandungan saya katanya kepada BBC Joseline tidur di samping dua anaknya malam tanggal Mei ketika ia dengar penduduk desanya berteriak Saya sadar itu suara tetangga menyuruh kami menyelamatkan diri Desa kami terlanda banjir besar Saya tarik kedua anak saya dan kabur Tak ada waktu untuk membawa apa apa Ia sempat membeli pakaian bayi sebelum banjir datang Saya tak sempat menyelamatkan pakaian bayi itu Semua tersapu banjir Suaminya bekerja di kota lain dan tak bisa menghampiri mereka karena larangan bepergian akibat COVID Tak ada tempat pergi dan tak tahu apa yang harus saya lakukan kata Joseline Pekerja kemanusiaan dan palang merah mengatakan ribuan orang ditampung di gereja dan sekolah di Afrika Timur yang terlanda banjir nyaris tanpa akses ke air dan sabun Ribuan lain meninggal dunia dan puluhan ribu mengungsi akibat banjir melanda di sejumlah negara Lebih dari korban meninggal dunia akibat COVID dan hampir kasus tercatat di negara negara Afrika menurut John Hopkins University Salah satu negara terdampak banjir Somalia memiliki angka kematian tertinggi dengan diikuti oleh Kenya dam Tanzania Kepulauan Pasifik Badai tropis Harold menghantam Kepulauan Pasifik lebih dari sebulan lalu Beberapa negara yang terlanda harus mencabut aturan terkait COVID agar warga bisa mengungsi di tempat penampungan Banyak warga yang kini masih di pusat pengungsian karena pandemi mempengaruhi upaya pemberian bantuan Negara yang paling terkena dampak badai Vanuatu telah memperpanjang kondisi darurat lantaran orang menjadi korban menurut UNICEF Di Fiji sebanyak pusat penampungan dioperasikan karena proses pemulihan berjalan lambat dan banyak rumah belum dibangun kembali Akses kepada air masih merupakan persoalan besar karena badai telah menghancurkan infrastruktur pasokan air kata Vani Catanasiga Direktur Dewan Kesejahteraan Sosial Fiji Tanpa pasokan air mengikuti panduan kesehatan COVID sangat sulit sekalipun pemerintah Fiji telah berhasil menekan kurva infeksi Lembaga kemanusiaan mengatakan mereka ikut mendorong dipatuhinya panduan COVID Kepala palang merah Irene Nakasiits mendistribusikan air dan sabun kepada warga yang mengungsi di Uganda barat Sekalipun ini sulit dilakukan kami mengingatkan warga yang terlanda bencana untuk tetap patuh pada panduan kata Marshal Mukuvare dari IFRC Kita bisa menuliskan pesan di makanan atau barang bantuan lain yang kami distribusikan Pandemi dan bencana seperti ini merupakan sesuatu yang belum pernah terjadi sebelumnya kata Siddarth Srinivas dari Oxfam Asia nvc nvc bbc world bbc india virus corona covid 
"Sungai Saddang Meluap Rendam Permukiman Warga di Pinrang, Sulsel", Pinrang Bencana banjir melanda satu dusun di Kabupaten Pinrang Banjir itu sempat membuat jalanan hingga masjid tergenang Banjir itu terletak di Dusun Cilallang Desa Bababinanga Kecamatan Duampanua Kabupaten Pinrang Sulawesi Selatan Banjir setinggi lebih dari meter menggenangi sekita rumah yang berada di pinggir Sungai Saddang Jumat Banjir di satu desa di Pinrang Sulsel Hasrul Nawir detikcom Andi Irwan menjelaskan lokasi tersebut memang telah menjadi langganan banjir sejak dahulu dnu dnu banjir sulawesi selatan sungai meluap 
