title,content
"Bentrok Massa di Makassar Usai Sahur, Seorang Warga Kena Tebasan Parang", Makassar Dua kelompok massa di Kota Makassar Sulawasi Selatan terlibat keributan usai sahur Seorang warga terkena tebasan parang akibat keributan itu Keributan tersebut terjadi di Jalan Maccini Pasar Malam pada Sabtu sekitar pukul WITA Kelompok massa yang bentrok yakni warga Maccini Pasar Malam melawan warga Maccini Parang Memang ada keributan mendapati informasi masyarakat anggota SPKT regu tiga mendatangi lokasi dan sementara terjadi keributan Kami melerai hingga akhirnya aman ujar Kepala SPKT regu Polsek Makasssar Aiptu Andi Fahruddin saat dikonfirmasi pada Sabtu isa isa makassar biromakassar bentrok tawuran 
Polisi: Bentrok Ormas di Bekasi Terjadi Gara-gara Pos PP Diduduki, Jakarta Bentrokan terjadi antara organisasi kemasyarakatan ormas Pemuda Pancasila dan Persaudaraan Setia Hati Terate PSHT di Bekasi Bentrokan diduga terjadi karena pos ormas PP diduduki Bentrok keduanya gara gara posnya PP itu diduduki oleh ormas itu PSHT kata Erna ketika dihubungi Jumat Ternyata setiap malam anggota PP yang di pos selalu pesan kopi lebih dari gelas tapi tidak mau membayar Karena situasi lagi sepi dampak Corona ini saudara Toto minta uang kopi dan terjadi adu mulut sehingga saudara Iwan marah dan menendang saudara Toto Kemudian saudara Toto membanting saudara Iwan yang mengakibatkan kepalanya luka katanya Selanjutnya sekitar orang PP mengeroyok saudara Toto Pada saat pengeroyokan tersebut PP mengeluarkan kalimat menantang organisasi silat Setia Hati Terate jelasnya Selanjutnya Halaman bentrok ormas pemuda pancasila bentrok polres bekasi bekasi tawuran 
"Bentrok Ormas di Bekasi Terjadi 2 kali, Diduga Berlanjut Karena Ada Provokator", Jakarta Dua organisasi masyarakat ormas di Bekasi bersitegang Bentrok terjadi kali diduga karena provokator Kasubag Humas Polres Metro Bekasi Kota Kompol Erna Ruswing menjelaskan bentrok ormas Pemuda Pancasila dan Persaudaraan Setia Hati Terate PSHT terjadi di sekitar Jalan Ngurah Rai Bintara Bekasi Barat Kota Bekasi Kamis kemarin Awal kejadian diduga dipicu tagihan pembayaran uang kopi hingga menyebabkan penganiayaan ke salah satu anggota PSHT Bentrok keduanya gara gara posnya PP itu diduduki oleh ormas itu Persaudaraan Setia Hati Terate PSHT Nah ormas PP nya nggak terima karena kan mungkin sudah emosi dari awal kemarin bentrok di warung kopi kata Erna Ruswing ketika dihubungi Jumat Tapi karena emosi yang tersulut dari siang pada saat tagihan kopi itu yang ribut di warung yauda bertambah lagi bentrok Jadi diduga bentrok susulan karena ada provokasinya lanjutnya Selanjutnya Halaman bentrok bentrokan bekasi polres bekasi tawuran 
Duduk Perkara Bentrokan Mencekam 2 Ormas di Bekasi Dipicu Tagihan Uang Kopi, Jakarta Organisasi Masyarakat Ormas Pemuda Pancasila dan Persaudaraan Setia Hati Terate PSHT terlibat bentrokan di kawasan Jalan Ngurah Rai Bintara Bekasi Barat Polisi turun tangan memediasi Polisi kemudian meminta keterangan kedua pimpinan Ormas tersebut Polisi mengumpulkan sejumlah fakta Polisi menyebut bentrokan diduga dipicu tagihan pembayaran uang kopi Akibat bentrokan dua orang luka dan motor dibakar Selanjutnya Halaman round up bentrok tawuran bekasi polres metro bekasi kota bentrokan 
Polisi Tangkap Sejumlah Orang Terkait Bentrok Ormas di Bekasi, Bekasi Bentrok antarkelompok ormas terjadi di Kelurahan Bintara Kecamatan Bekasi Barat Kota Bekasi Kelompok ormas tersebut merusak dan membakar sejumlah motor dan juga warung milik warga Kasat Reskrim Polres Metro Bekasi Kota Kompol Arman membenarkan adanya kejadian itu Arman menyebut pihaknya telah mengamankan sejumlah orang terkait bentrokan tersebut Selanjutnya Halaman bentrokan bentrok ormas bekasi 
Polisi Ungkap Penyebab Bentrok Massa Dua Ormas di Bintara Bekasi, Jakarta Polisi mengungkap penyebab terjadinya tawuran antara dua massa ormas di Bintara Bekasi Barat Polisi menyebut bentrok itu dipicu karena salah satu ormas tidak terima rekannya dikeroyok Kasubag Humas Polres Metro Bekasi Kota Kompol Erna Ruswing mengungkap bentrok terjadi akibat adanya pengeroyokan di warung salah satu anggota ormas pada Kamis dini hari Peristiwa itu terjadi di warung kopi yang berlokasi di Bintara Bekasi Barat Pada hari Kamis tanggal Mei pukul WIB telah terjadi Pengeroyokan Saudara Totok pemilik warung yang dilakukan oleh Saudara Iwan cs Pemuda Pancasila kata Erna dalam keterangannya Kamis Selanjutnya Halaman bentrok tawuran ormas bekasi polres bekasi 
"Bentrok Massa 2 Ormas di Bintara Bekasi, 2 Orang Luka dan 4 Motor Terbakar", Jakarta Tawuran terjadi antara dua kelompok organisasi masyarakat ormas di kawasan Jalan Ngurah Rai Bintara Bekasi Barat malam ini Akibat tawuran itu orang mengalami luka dan unit sepeda motor terbakar pada bentrok tersebut Kasubag Humas Polres Metro Bekasi Kota Kompol Erna Ruswing menjelaskan bentrokan antara kedua kelompok ormas itu diawali karena adanya pengeroyokan di warung kopi yang dilakukan oleh salah satu kelompok ormas pada Kamis pukul WIB Menurutnya kelompok ormas itu tak terima karena ditagih uang untuk membayar kopi Saudara Toto buka warung kopi di Bintara Bekasi dekat posnya Pemuda Pancasila Ternyata setiap malam anggota Pemuda Pacasila yang di pos selalu pesan kopi lebih dari gelas tapi tidak mau membayar Karena situasi lagi sepi dampak Corona ini saudara Toto minta uang kopi dan terjadi adu mulut sehingga saudara Iwan marah dan menendang saudara Toto Kemudian saudara Toto membanting saudara Iwan yang mengakibatkan kepalanya luka ujar Erma dalam keterangannya Kamis Selanjutnya Halaman tawuran ormas bekasi jawa barat polres bekasi kota 
OKP Ribut-ribut di Depan Polres Minta Oknum Pemeras Dilepas, Medan Sejumlah massa dari sebuah organisasi kemasyarakatan pemuda OKP mendatangi Polres Binjai Mereka datang untuk memaksa rekan mereka dilepaskan Peristiwa itu terjadi pada Selasa malam Polisi terpaksa melepaskan tembakan untuk memberi peringatan kepada massa untuk tidak berbuat onar Usut punya usut massa datang karena ada anggota mereka yang diamankan karena diduga terlibat pemerasan Mereka kemudian meminta rekannya untuk dilepaskan Kan ada dari mereka dilaporkan karena kasus pemerasan Jadi rekannya datang untuk meminta melepaskan kata Kasubbid Penmas Polda Sumut AKBP MP Nainggolan Rabu Selanjutnya Halaman round up biromedan pemerasan polda sumut polres binjai 
Pengacara Habib Bahar Mengaku Dobrak Gerbang Lapas Sindur untuk Bertemu Kliennya, Jakarta Lapas Gunung Sindur Kabupaten Bogor didatangi banyak santri hari ini Mereka hendak memastikan kondisi Habib Bahar bin Smith kembali mendekam di lapas karena dinilai melanggar pembatasan sosial berskala besar PSBB dan melakukan ceramah provokatif Iya saya di lapas dari tadi dari pukul WIB pagi saya Nggak bisa masuk untuk dapat menemui beliau Ini luar biasa ini kejahatan mereka Saya advokat dilindungi Undang Undang UU saya wajib dampingi klien saya Kenapa saya nggak boleh masuk kata salah satu kuasa hukum Bahar Smith Ichwan Tuankotta ketika dihubungi Selasa Ichwan mengungkapkan dia bersama para santri sudah datang ke Lapas Gunung Sindur sejak pukul WIB Namun lanjutnya sampai sekarang petugas lapas tidak memberikan izin untuk menemui Bahar Selanjutnya Halaman bahar bin smith ditangkap lagi habib bahar bin smith terbaru habib bahar bin smit kembali ditangkap polisi 
"Diingatkan Ridwan Kamil, Pemkab Garut Pantau Ketat Kedatangan Pemudik", Bandung Garut jadi sorotan Gubernur Jawa Barat Ridwan Kamil karena jumlah pemudik paling banyak se Jabar Pemda memprediksi arus mudik akan terjadi mulai Rabu besok Dalam akun Instagram pribadinya pria yang akrab disapa Kang Emil itu mengunggah data pemudik di Jawa Barat Dalam data itu terlihat Garut menjadi nomor satu Berdasarkan data tersebut total ada pemudik asal Garut dengan rincian pemudik yang sudah pulang TKI dan pemudik lain yang diprediksi akan segera datang Dalam unggahannya Kang Emil minta Garut lebih waspada Kab Garut Kab Garut harus paling waspada karena potensi pemudiknya paling besar se Jawa Barat kata Kang Emil dalam data yang diunggah di IG pada Selasa itu Tonton juga video Di Tengah PSBB Dua Geng Motor di Garut Malah Bentrok mso mso bandung ridwan kamil bupati garut pemudik 
