title,content
Begini Kronologi Pembunuhan Fashion Stylist di Jember, Jember Seorang Fashion Stylist Jember Yohanes Leonardo Gery tewas dibunuh tiga orang yang menyatroni rumahnya Korban tewas setelah kepalanya dipukul tabung gas elpiji kg dan punggungnya ditusuk pisau Korban meninggal akibat pukulan benda tumpul yakni tabung gas elpiji kg dan tusukan pisau kata Kapolres Jember AKBP Aris Supriyono Senin Peristiwa pembunuhan itu terjadi pada Rabu sekitar pukul WIB Para pelakunya adalah Muhadir Muhammad Anggi Cahyo dan Dwi Cahyo Tonton juga video Kerangka Manusia Korban Pembunuhan Gegerkan Warga Jambi Selanjutnya Halaman birojatim pembunuhan pembunuhan di jember fashion stylist penemuan mayat 
Jabar Hari Ini: Pria Reaktif Corona Santuy Motoran-Penemuan Mayat Perempuan Bugil, Bandung Beragam peristiwa terjadi di Jawa Barat Senin Dari mulai pasien reaktif Corona di Garut naik motor ke tempat isolasi hingga penemuan jasad perempuan bugil di Sukabumi Berikut rangkuman beritanya Aksi Santuy Pasien Reaktif Corona di GarutWarga Garut geger dengan aksi pria reaktif Corona yang santuy menggunakan sepeda motor ke tempat isolasi lantaran enggan dijemput ambulans Pemkab Garut memastikan lelaki tersebut sudah diisolasi di Klinik Medina Klinik Medina yang merupakan tempat isolasi para OTG dan warga Garut yang hasil rapid test nya reaktif Sudah Sudah dilakukan isolasi di Klinik Medina kata Wakil Bupati Garut Helmi Budiman kepada wartawan Ulah pria dewasa yang menolak ambulans itu berlangsung Rabu Saat itu Pemkab Garut mengadakan rapid test massal di kawasan Pasar Karangpawitan Rapid test diikuti ratusan orang yang salah satunya ialah pria tersebut Jadi itu pasien diperiksa Rapid nya ternyata reaktif Tapi memang pasien ini memang tidak ada gejala ucap Helmi Selanjutnya Halaman bandung jabar hari ini pandemi corona virus corona 
"Pria Reaktif Corona Santuy Motoran, Pemkab Garut: Sudah Diisolasi", Garut Warga Garut geger dengan aksi pria reaktif Corona yang santuy menggunakan sepeda motor ke tempat isolasi lantaran enggan dijemput ambulans Pemkab Garut memastikan lelaki tersebut sudah diisolasi di Klinik Medina Klinik Medina yang merupakan tempat isolasi para OTG dan warga Garut yang hasil rapid test nya reaktif Sudah Sudah dilakukan isolasi di Klinik Medina kata Wakil Bupati Garut Helmi Budiman kepada wartawan Senin bbn bbn virus corona covid corona di garut pemkab garut garut 
26 Penghuni Rutan Pondok Bambu dan 28 di Lapas Gorontalo Reaktif Corona, Jakarta Direktorat Jenderal Pemasyarakatan Ditjen PAS Kementerian Hukum dan HAM mengatakan ada sejumlah penghuni di Rutan Pondok Bambu Jakarta dan Lapas Gorontalo terindikasi terpapar virus Corona COVID berdasarkan hasil rapid test Penghuni yang terindikasi terpapar COVID itu langsung dikarantina dan dites swab Warga binaan dengan hasil reaktif terhadap rapid test akan dikarantina di dalam rutan lapas yang telah disiapkan di setiap wilayah dan dilanjutkan dengan swab dan tes polymerase chain reaction PCR kata Direktur Jenderal Pemasyarakatan Dirjen PAS Reynhard Silitonga dalam keterangannya Selasa Rapid test merupakan metode screening awal untuk mendeteksi virus Corona Jika seseorang dinyatakan reaktif saat rapid test selanjutnya harus dilakukan tes metode PCR untuk memastikan positif COVID atau tidak Selanjutnya Halaman virus corona dirjen pas covid 
"Dirjen PAS: 1 Warga Binaan Positif Corona, Dirawat di RS", Jakarta Kementerian Hukum dan HAM Kemenkum HAM mengungkapkan seorang warga binaan di Lapas Bojonegoro Jawa Timur terkonfirmasi positif virus Corona COVID per tanggal Mei Warga binaan tersebut telah dirujuk ke rumah sakit sebelum dinyatakan positif virus Corona Kami laporkan penyebaran COVID di lapas rutan LPKA per tanggal Mei sebagai berikut penyebaran pada narapidana tahanan anak terjadi pada kategori OTG sebanyak orang ODP sebanyak orang PDP sebanyak orang dan terkonfirmasi positif COVID orang kata Dirjen PAS Kemenkum HAM Reynhard Silitonga dalam rapat dengar pendapat dengan Komisi III DPR RI Senin Yang perlu kami jelaskan di sini yang terkonfirmasi positif adalah kira kira pada tanggal April bulan yang lalu ada salah satu warga binaan kemudian mengeluh sakit jantung kemudian mengeluh sakit gula Sehingga dirujuk ke rumah sakit itu bulan lalu ujar Reynhard Kemudian dalam perjalanannya hari lalu dinyatakan positif berarti dia sudah kurang lebih bulan di rumah sakit Untuk pada bulan ini tentu bisa dikatakan positif setelah berada di rumah sakit sambungnya rfs zak kemenkum ham kementerian hukum dan ham dirjen pas positif corona virus corona covid 
Viral Kakek Berstatus PDP Ngamuk Tak Mau Dimasukkan Ruang Isolasi, Probolinggo Seorang kakek berstatus PDP ngamuk dan berontak saat hendak dievakuasi ke ruang isolasi RSUD Tongas Video ngamuknya kakek tersebut viral di medsos Video berdurasi detik ini memperlihatkan dua petugas medis yang mengenakan baju APD Alat Pelindung Diri berusaha mempertahankan pintu yang terus ditarik si kakek Kuatnya tenaga kakek membuat petugas kewalahan dan membiarkan sang kakek keluar ruangan meski hanya mengenakan celana dalam Si kakek terus saja mengomel menggunakan bahasa Madura Pedalungan khas Probolinggo iwd iwd viral viral kakek pdp menolak diisolasi corona probolinggo corona jatim corona di jatim birojatim 
"Bila Tak Ada Asimilasi, Napi Dinilai Bisa Berontak Cemas Tertular Corona", Jakarta Pemerhati pemasyarakatan Dindin Sudirman mendukung kebijakan asimilasi narapidana napi di tengah pandemi virus Corona COVID Menurutnya pemberian asimilasi bertujuan mencegah kecemasan pada napi karena khawatir tertular virus Dindin mengatakan lembaga pemasyarakatan lapas di Indonesia bisa saja menjadi tempat pembunuhan massal apabila pengurangan tahanan tidak dilakukan Sebab lapas di Indonesia kondisinya sudah melebihi kapasitas Benar apa yang dikatakan kemungkinan lapas rutan itu jadi killing field pembunuhan massal seandainya kebijakan ini asimilasi napi tidak diambil ujar Dindin dalam acara Opini Pandemi COVID dan Asimilasi Narapidana yang disiarkan secara online Rabu Menurutnya apabila asimilasi narapidana ini tidak diambil akan timbul rasa cemas pada diri napi Dari kecemasan itu dikhawatirkan akan menimbulkan pemberontakan sehingga terjadi kerusuhan di dalam lapas Selanjutnya Halaman asimilasi narapidana virus corona kemenkumham napi asimilasi 
Petaka Gadis 17 Tahun yang Dicabuli 4 Pemuda di Kebun Jagung, Situbondo Empat pemuda di Situbondo harus berurusan dengan polisi Mereka diamankan setelah mencabuli beramai ramai seorang gadis tahun yang masih duduk di bangku sebuah SMA di Situbondo Korban dicabuli di sebuah area persawahan di Kecamatan Panarukan Ada pelaku yang sudah diamankan dalam kasus pencabulan anak di bawah umur ini Mereka masih dalam pemeriksaan penyidik Unit PPA kata Kasubbag Humas Polres Situbondo Iptu Nuri H kepada wartawan di Mapolres Kamis Dari keempat pelaku dua di antaranya masih di bawah umur Mereka berusia dan tahun Namun keduanya tetap menjalani proses penyidikan meski hanya dikenakan wajib lapor Sementara dua pelaku lainnya berinisial SW dan NV kini diamankan di Mapolres Situbondo iwd iwd pemerkosaan pemerkosaan di situbondo birojatim 
Janji Susah-Senang Bersama Berujung Penyekapan Gadis Jakarta di Garut, Garut Seorang gadis asal Jakarta PM disekap hampir dua bulan lamanya di rumah sang kekasih Aditya Mbula di Garut Adit nekat menyekap PM lantaran PM hendak mengkhianati janji susah senang bersama Kisah cinta Adit dan PM bermula saat mereka berkenalan di Jakarta beberapa bulan lalu Hingga akhirnya mereka berpacaran Saat itu Adit bekerja di Jakarta Maret Adit yang sudah tak kerja di Jakarta lagi berniat pulang ke Garut Dia mengajak PM untuk ikut ke Garut Gayung bersambut PM mengiyakan ajakan Adit Selanjutnya Halaman garut penyekapan polres garut 
Bidan di Luwu Sulsel Jadi Korban Pelecehan Seksual Siswa SMA, Luwu Pelajar SMA di Kabupaten Luwu Sulawesi Selatan Sulsel MI hendak memerkosa seorang bidan desa NE Remaja tersebut mencongkel jendela tempat tinggal NE dan menggerayangi tubuh korban Saat hujan deras pelaku mendatangi pustu puskesmas pembantu tempat tinggal bidan NE Ia masuk dengan mencungkil jendela Agar tak dikenali pelaku menggunakan topeng kata Kapolsek Lamasi Iptu Idul saat dikonfirmasi Selasa Saat berada di dalam pelaku melihat korban tengah tertidur lelap Pelaku pun menggerayangi tubuh korban Merasa tubuhnya diraba korban kaget dan terbangun Namun hanya bisa pasrah karena diancam ucapnya Selanjutnya Halaman biromakassar sulsel luwu pemerkosaan 
"Bejat, Kakek di Bondowoso Perkosa Siswi SD di Persawahan Hingga Hamil", Bondowoso Aksi bejat dilakukan seorang kakek di Bondowoso Dia tega memperkosa siswi SD di persawahan hingga hamil Pelaku yakni Suwarno warga Desa Dawuhan Grujugan Bondowoso Kakek cucu ini sehari hari berprofesi sebagai ulu ulu atau perangkat desa setempat Informasi diperoleh detikcom kasus tersebut bermula saat pelaku bertemu dengan korban yang masih berusia tahun di persawahan desa setempat beberapa bulan lalu Pelaku lalu melancarkan tipu muslihatnya dan membujuk si anak agar mau melakukan persetubuhan Mendapat perlakuan seperti itu korban menolak dan berontak Namun karena situasi di lokasi tersebut memang sedang sepi pelaku dengan leluasa melampiaskan aksi bejatnya pada korban Setelah kejadian tersebut korban hanya menangis Tiba di rumahnya pun korban hanya bisa diam dan meratapi kejadian yang baru menimpanya Namun tidak berani melaporkedua orang tuanya fat fat birojatim pemerkosan di bondowoso polres bondowoso asusila di bondowoso 
"Kepergok Curi Kotak Amal di Masjid, ABG Ini Mengaku Mau Beli Vape", Polewali Mandar FA ditangkap warga setelah kepergok mencoba mencuri uang dalam kotak amal di Masjid Babul Ilmi Kecamatan Campalagian Kabupaten Polewali Mandar Sulawesi Barat Sulbar Pengurus Masjid H Darsam mengatakan aksi pencurian terungkap ketika imam masjid melihat kedatangan remaja ini melalui layar kamera pengawas CCTV Saat menunggu salat Asar imam melihat pelaku kembali datang ke masjid melalui kamera CCTV Wajahnya langsung dikenali apalagi sebelumnya tepatnya pada tanggal April lalu dia pelaku juga terekam kamera CCTV melakukan perbuatan serupa ungkapnya kepada wartawan Selasa Darsam menjelaskan peristiwa itu terjadi pada Senin kemarin Dia menceritakan sebelum melakukan aksi pencurian pelaku terlebih dahulu berkeliling di dalam masjid kemudian berwudu Setelah masuk dan keliling di dalam masjid dia sempat untuk berwudu Setelah itu dia kembali masuk dan mengambil celengan di luar dia sempat naik ke atas mimbar mencari kunci lalu dia buka celengan dan mengambil uang di dalamnya cerita Darsam aud aud biromakassar polewali mandar pencurian kotak amal 
Asmara Terpendam Oknum Pembina Pramuka Jahanam, Palembang Seorang pria di Sumatera Selatan Sumsel AS ditetapkan sebagai tersangka karena diduga melakukan pemerkosaan dan pembunuhan terhadap siswi SMP Aksi jahanam AS itu diduga dipicu asmara terpendam Peristiwa keji itu diduga terjadi di hutan yang ada di Ogan Komering Ulu OKU Sumsel pada Jumat AS disebut awalnya mengajak siswi tersebut bertemu di sekolah untuk latihan pramuka Ada seorang siswi ditemukan meninggal di hutan dekat lapangan olahraga Korban RN berusia tahun kata Kasat Reskrim Polres OKU AKP Wahyu Selanjutnya Halaman biromedan sumsel pembunuhan pemerkosaan pemerkosaan siswi 
Keji! Pembina Pramuka Kembali Memperkosa Usai Siswi SMP Tewas Dicekik, Palembang Pria berinisial AS ditangkap polisi terkait kasus pemerkosaan dan pembunuhan seorang siswi SMP berumur tahun di Ogan Komering Ulu OKU Sumatera Selatan Sumsel Pelaku merupakan pembina Pramuka di SMP tempat korban bersekolah Pelaku memperkosa korban di hutan Malam sebelum peristiwa tersangka AS awalnya meminta korban mengikuti latihan Pramuka Latihan rencananya digelar di lapangan dekat sekolah Tak lama setelah korban tiba pelaku pun datang dan keduanya bertemu di sekolah Korban langsung diajak pelaku menuju ke lapangan olahraga dan di situlah korban dipukul kata Kasat Reskrim Polres OKU AKP Wahyu saat dimintai konfirmasi Senin Selanjutnya Halaman siswi smp dibunuh pelatih pramuka siswi smp diperkosa pelatih pramuka polres oku sumsel biromedan 
"Perkosa-Bunuh Siswi SMP, Pelatih Pramuka di Sumsel Berdalih Memendam Asmara", Palembang Polisi menangkap AS pelatih pramuka yang memperkosa hingga membunuh siswi RN di Ogan Komering Ulu OKU Sumatera Selatan Sumsel Lalu apa motif pelaku Motifnya pelaku ini suka dengan korban Tetapi itu tidak pernah diutarakan pelaku pada korban jadi terpendam kata Kasat Reskrim Polres OKU AKP Wahyu kepada detikcom Senin Malam dia chatting korban minta untuk datang besoknya latihan pramuka Lokasi latihan di lapangan olahraga yang berada dekat dengan sekolah kata Wahyu Keesokan harinya korban datang ke sekolah dengan diantar oleh kedua orang tuanya Setalah tiba di gerbang orang tua korban menunggu di kantin dan korban langsung masuk ke sekolah Tonton juga video Bocah yang Tewas di Gorong gorong Tasikmalaya Dibunuh Ayah Kandung Selanjutnya Halaman polres oku sumsel siswi smp diperkosa pelatih pramuka siswi smp dibunuh pelatih pramuka biromedan pencabulan 
"Bak Film Action, Polisi Kejar dan Adang Mobil Dikendarai Perempuan Depresi", Blitar Bak film action polisi mengejar pengendara mobil Grand Livina warna putih dari Bakung di Blitar selatan sampai wilayah perbatasan Kediri Mobil itu terkejar dan diketahui pengemudinya depresi Informasi yang dihimpun detikcom Grand Livina dengan nomor polisi AG FH itu berhasil diadang dan dihentikan di wilayah perbatasan kota atau sekitar Kecamatan Sanankulon Namun karena pengendara tidak mau membuka pintu mobil akhirnya kepala desa setempat memecah kaca mobil bagian belakang dengan alat congkel ban Pengadangan ini sempat menarik perhatian warga sekitar dan beberapa pengendara yang melintas di jalur Blitar Kediri Apalagi tampak dari video yang dibuat aparat keamanan pengendara wanita itu berontak dan melawan petugas ketika keluar dari mobil dan diamankan Sang pengendara kemudian diamankan dan dibawa ke polsek terdekat Yakni Mapolsek Sukorejo Kota Blitar Beberapa barang lain milik pengendara wanita itu juga diamankan Seperti tas dan sebuah handphone iwd iwd pengejaran mobil birojatim polres blitar kota 
Wajah Perawat Ini Digigit Pasien yang Ingin Kabur dari Ruang Isolasi, Jakarta Wabah virus corona ditetapkan Organisasi Kesehatan Dunia WHO sebagai pandemi Banyak profesi yang rela mempertaruhkan nyawanya untuk menghadapi pandemi corona salah satunya perawat Namun nasib buruk terjadi pada perawat asal China Ia terluka karena perilaku seorang pasien yang tidak kooperatif saat melakukan perawatan Mengutip World of Buzz berdasarkan laporan ZaoBao seorang pasien berumur tahun menolak saat dirinya harus melakukan perawatan di ruang isolasi Pasien bernama Okonkwonwoye Chika Patrick lelaki asal Nigeria ini menggigit perawatnya saat hendak melakukan tes darah Gambas Video detik naf up perawat virus corona covid coronavirus pandemi virus corona 
"Curi Duit-Puluhan Bungkus Rokok dari Toko, 3 Remaja di Bima Ditangkap", Mataram Tiga remaja asal Nusa Tenggara Timur NTT ditangkap anggota Polsek Woha Ketiganya ditangkap karena membobol toko dan mencuri sejumlah barang Para pelaku ini masing masing berumur tahun Inisialnya OM SN dan JK Ada satu yang masih kabur inisialnya DL Ketiga yang ditangkap ini sama sama berasal dari Sumba Barat Daya NTT ungkap Kasubag Humas Polres Bima AKP Hanafi kepada detikcom Rabu Setelah berhasil masuk mereka mengambil puluhan bungkus rokok dan uang tunai Rp juta Mereka sempat dipergoki dan ditangkap warga jbr jbr pencurian kapolres bima biromakassar 
"Polisi Tangkap Sapi, Ratusan Warga Kepung Polsek Bantaran Probolinggo", Probolinggo Ratusan warga Dusun Macan Desa Karanganyar Kecamatan Bantaran Kabupaten Probolinggo mengepung mapolsek setempat Mereka menilai polisi salah tangkap Warga tak terima dengan langkah polisi yang menangkap seorang warga Dusun Macan Sapi Petani itu ditangkap polisi karena diduga sebagai pelaku pencurian sapi Selanjutnya Halaman birojatim pencurian pencuri sapi pencurian di probolinggo 
Pasien Positif Corona yang Kabur dari RS Persahabatan Domisili Jakarta, Jakarta Seorang pasien positif virus Corona COVID kabur dari RS Persahabatan Jakarta Timur Pasien itu diketahui berdomisili di DKI Jakarta Hal itu dikonfirmasi oleh juru bicara penanganan Corona Rumah Sakit Umum Pusat RSUP Persahabatan dr Erlina Burhan saat konferensi pers di kantornya Erlina menyebut pasien positif Corona itu berdomisili di Jakarta Kami dapat informasi dari Dinkes begitu positif domisili di Jakarta iya ujar Erlina di kantornya Jumat Selanjutnya Halaman corona corona indonesia pasien corona kabur pasien corona rsup persahabatan 
"Batuk ke Pramugari, Penumpang dari China Diringkus", Shanghai Seorang penumpang wanita dari China dengan sengaja batuk ke pramugari pada sebuah penerbangan Akibatnya dia harus diamankan karena takut positif terinfeksi virus Corona Seorang penumpang yang tidak disebutkan identitasnya terekam kamera terlibat keributan dengan kru kabin yang bertugas Wanita ini diketahui dengan sengaja batuk ke arah pramugari padahal situasi tengah gawat virus Corona Dikumpulkan detikTravel dari beberapa sumber Selasa peristiwa tersebut terjadi di penerbangan Thai Airways yang terbang dari Bangkok menuju ke Shanghai pada Jumat lalu Insiden ini bermula ketika pesawat tersebut sudah mendarat di Bandara Internasional Pudong di Shanghai Namun karena sedang darurat virus Corona penumpang tidak diizinkan meninggalkan pesawat Simak Video Dievakuasi Petugas Pasien Corona di Mamuju Disemangati Warga Gambas Video detik wsw fem virus corona thai airways pramugari turis china penumpang pesawat corona 
"Diancam akan Dibunuh, Anak di Bawah Umur Jadi Pemuas Nafsu Kakak Ipar", Situbondo Kasus asusila menimpa anak di bawah umur kembali terjadi di Situbondo Kali ini nasib malang itu dialami seorang anak berusia tahun Bukannya dilindungi korban malah dijadikan sansak birahi kakak iparnya Di bawah ancaman akan dibunuh korban yang berstatus pelajar itu ketakutan Dia pun memilih pasrah setiap kali pelaku berinisial JM meminta jatah Bukan hanya sekali saja perbuatan bejat pelaku dilakukan berulang kali sejak Agustus lalu Belakangan korban tak betah selalu diperlakukan tak senonoh hingga akhirnya buka suara Korban menceritakan nasib yang dialami kepada keluarganya Tak terima pihak keluarga pun langsung melaporkan si JM ke Mapolres Situbondo Laporan dugaan pencabulan anak di bawah umur itu sudah kami terima Sekarang sudah dalam penanganan penyidik Unit PPA kata Kasubbag Humas Polres Situbondo Iptu Ali Nuri Rabu Keterangan yang diperoleh detikcom menyebutkan perbuatan bejat pelaku terhadap korban awalnya terjadi pada pertengahan Agustus lalu Saat itu kondisi rumah pelaku sedang sepi Pelaku memanggil korban dan memintanya untuk menjaga anaknya di kamar rumahnya fat fat birojatim pencabulan di situbondo polres situbondo pemerkosaan di situbondo 
