title,content
"Hasil Liga Jerman: Timo Werner Hat-trick, RB Leipzig Libas Mainz 5-0", Mainz RB Leipzig mengamuk di kandang Mainz usai menang lima gol tanpa balas Pahlawan kemenangan Die Rotten Bullen adalah Timo Werner yang bikin hat trick Setelah diimbangi Freiburg pekan lalu Leipzig berupaya mencuri tiga poin dalam lawatannya ke OPEL Arena Minggu malam WIB Turun dengan kekuatan penuh Leipzig bermain aktraktif sejak menit awal Baru sebelas menit laga berjalan Leipzig sudah unggul lewat gol Werner Konrda Lainmer menusuk dari sisi kanan lalu mengecoh satu pemain sebelum mengirim umpan tarik yang dituntaskan sontekan Werner Foto Kai Pfaffenbach pool via AP Gol itu membuat Leipzig makin bernafsu mencetak gol tambahan yang didapat pada menit ke Lagi lagi serangan dari sisi kanan mampu merobek pertahanan Mainz dan crossing yang dilepaskan Marcel Sabitzer disundul Yussuf Poulsen Leipzig benar benar tak memberikan napas untuk Mainz karena terus menekan pertahanan tuan rumah Pada menit ke serbuan Leipzig membuat gawang Mainz bobol setelah Sabitzer mencocor bola muntah sepakan Christopher Nkunku yang ditepis Florian Muller Gambas Video detik mrp yna mainz vs rb leipzig mainz rb leipzig liga jerman liga jerman bundesliga hasil liga jerman 
"Mau Bulan Madu, Pasangan Turis Malah Terjebak di Fiji", Fiji Pasangan turis dari Inggris berniat bulan madu di Fiji Namun apa daya mereka malah terjebak berminggu minggu tak bisa pulang gara gara virus Corona Beruntung pasangan Abdulla Mohsin dan Catherine David diizinkan untuk masuk ke Selandia Baru negara yang mereka tinggali bulan terakhir Pasangan suami istri ini diizinkan masuk Selandia Baru setelah ditolak sebanyak kali Dihimpun detikTravel dari beberapa sumber Sabtu awalnya pasangan tersebut bertolak ke Fiji untuk berbulan madu Mereka pergi saat Corona belum begitu mewabah dan Selandia Baru belum menetapkan lockdown Sayang situasi memburuk dan Selandia Baru pun menetapkan lockdown Pasangan Mohsin dan Catherine pun tidak bisa pulang Pihak Imigrasi Selandia Baru INZ tercatat kali menolak aplikasi izin masuk pasangan tersebut Simak Video Selandia Baru Berhasil Tekan Penyebaran Virus Corona Gambas Video detik wsw fem fiji selandia baru pasangan suami istri wisatawan bulan madu wisata fiji 
"Kasus Hacker yang Heboh di Indonesia, Terbaru Data KPU", Jakarta Era globalisasi dengan kemajuan teknologi yang semakin canggih bagaikan pisau bermata dua bisa berguna atau justru disalahgunakan untuk melakukan hack atau kejahatan di dunia cyber Berikut ini adalah beberapa kasus hacker yang sempat bikin geger di Indonesia Hacker Situs SBYPada tahun Jember Hacker meretas situs presidensby info selama dua jam Ialah Wildan dalang di balik kejadian tersebut Ia hanya lulusan SMK Teknologi Pembangunan namun kelebihan yang didapatkan Wildan ini berkembang semakin kuat secara otodidak Menkominfo yang saat itu menjabat Tifatul Sembiring menuturkan situs tersebut sebenarnya tidak di hack oleh pelaku Sebetulnya yang terjadi bukan hacking atau peretasan dalam situs presiden tapi mengalihkan IP address yang ada di DNS yang ada di soft layer di Texas Itu pun pulih dalam beberapa jam kemudian karena masih dalam tanggung jawabnya DNS server itu ujar Tifatul sebelum rapat terbatas di Istana Negara Jakarta Kamis Selanjutnya Halaman hack hacker data kpu tokopedia situs sby keamanan data pribadi 
"Nekat Bobol Museum, Ternyata Pria Ini Mau Selfie dengan Dinosaurus", Jakarta Seorang mahasiswa asal Jerman ditangkap Polisi New South Wales setelah kedapatan menerobos masuk Museum Australia yang sedang ditutup Alasannya enggak banget Peristiwa yang terjadi pada Mei pukul malam itu tertangkap CCTV Dari rekaman CCTV itu diketahui bahwa pria bernama Paul Kuhn yang berusia tahun itu berjalan menjelajahi seisi museum dengan santainya Seolah sedang berwisata ia kemudian terlihat asyik berfoto di dalam museum Ia juga melakukan selfie dengan memasukkan kepalanya ke dalam tengkorak T Rex seolah ia sedang dimakan dinosaurus itu Setelah itu ia juga ketahuan mengambil topi koboi yang diduga merupakan milik petugas museum dan sebuah karya seni yang dipamerkan di museum tersebut Akibat perbuatannya ini Kuhn sempat menjadi buronan polisi selama seminggu Dia menghabiskan waktu sekitar menit di sana Dia berjalan melalui beberapa area internal dan memeriksa beberapa loker dan pintu Dia tentu menikmati malamnya di museum ujar Inspektur Kepala Kepolisian New South Wales Sean Heaney Gambas Video detik pin fem museum museum australia australia dinosaurus virus corona wisata australia 
"Pandemi Corona, Bupati Sumedang Imbau Warga Laksanakan Salat Id di Rumah", Sumedang Bupati Sumedang Dony Ahmad Munir mengimbau warganya agar melaksanakan salat Idul Fitri di rumah masing masing Hal itu sebagai upaya mencegah penyebaran COVID Seluruh ormas islam dan MUI di Sumedang sepakat lebih baik untuk untuk mencegah penyebaran COVID ini Karena pemudik tidak bisa terpantau takut ada penyebaran meluas kita sepakat untuk melaksanakan salat Id di rumah kata Dony saat di hubungi Selasa Berdasarkan fakta di lapangan Dony melihat jumlah kasus positif Corona di wilayahanya masih mengalami peningkatan Sehingga pihaknya perlu mempertimbangkan sekaligus mewaspadai terkait kegiatan yang dapat menimbulkan terjadinya kerumunan banyak orang MUI Jelaskan Soal Salat Idul Fitri Jika Dilaksanakan di Luar Rumah mso mso sumedang bupati sumedang dony ahmad munir salat id di rumah pandemi corona 
"Gerebek Gudang Tepung Oplosan di NTB, Polisi Sita 6 Ton Terigu", Mataram Sebuah gudang di kompleks pertokoan Jalan Gora Kelurahan Selagalas Kota Mataram Nusa Tenggara Barat NTB digerebek polisi Sebanyak ton tepung terigu disita Penggerebekan dilakukan pada Senin Gudang tersebut digerebek karena diduga digunakan sebagai praktik pengemasan ulang atau oplosan bahan makanan berupa tepung terigu tanpa disertai izin standar kesehatan Penggerebekan kita laksanakan hari Senin sekitar pukul Wita Ada sebuah gudang yang diduga mengemas ulang bahan makan tanpa disertai izin standar Dia juga membuka kemasan akhir pangan untuk dikemas lagi dan dijual ungkap Kasat Reskrim Polresta Mataram AKP Kadek Adi Budi Astawa dalam keterangannya Jumat mae mae ntb mataram biromakassar polresta mataram 
"Polres Musi Banyuasin Bekuk 7 Pengedar Sabu, Uang Tunai Rp 120 Juta Disita", Palembang Polisi mengungkap peredaran sabu di Musi Banyuasin Sumatera Selatan Ada pengedar yang ditangkap berikut ratusan gram sabu dan uang tunai Rp juta Dini hari tadi kami mengungkap pengedar narkotika Ada orang diamankan dengan barang bukti sabu gram lebih dan juga uang sekitar Rp juta terang Kapolres Musi Banyuasin AKBP Yudhi Surya Pinem Kamis Adapun para pelaku ialah JH SH FB dan HS yang merupakan warga Batang Hari Leko dan Kota Sekayu Musi Banyuasin Selanjutnya tiga pelaku lainnya adalah IS PU dan IDI Mereka warga Sekayu yang ditangkap dini hari tadi ras elz pengedar sabu sabu polres musi banyuasin sumsel biromedan 
"Di Tengah Pandemi Corona, Pentingnya Ahli IT Tangkis Serangan Hacker", Jakarta Di tengah pandemi Corona saat ini serangan siber dari hacker justru beringas Dalam situasi tersebut peran Ahli IT tentunya sangat dibutuhkan Seperti diketahui sejumlah daerah menerapkan aturan Pembatasan Sosial Berskala Besar PSBB untuk memutus penyebaran virus Corona Agar operasional tetap berjalan perusahaan pun menerapkan work from home untuk para pegawainya Akan tetapi kondisi itu yang dimanfaatkan peretas atau hacker untuk melancarkan serangannya Badan Siber dan Sandi Negara BSSN mengungkapkan ada juta serangan siber yang berlangsung dari Januari hingga April Chairman Lembaga Riset Siber Indonesia CISSReC Communication Information System Security Research Center Pratama Persadha mengatakan banyaknya orang berkegiatan online dari rumah meningkatkan resiko Simak Video Twitter akan Izinkan Karyawan WFH Selamanya Gambas Video detik agt fay pandemi corona virus corona hacker work from home psbb tokopedia bukalapak bhinneka com ahli it akun tokopedia bocor 
"Baru Aja Bebas Gegara Corona, Pemuda Ini Dibui Lagi Karena Curi Kotak Amal", Banyuwangi Tak kapok narapidana yang baru saja bebas dari program asimilasi beberapa waktu lalu ini kembali ditangkap polisi Agus Wahyu Permana kembali melakukan aksi kejahatan mencuri kotak amal sebuah musala Warga Kelurahan Polean Kecamatan Blimbing Kota Malang ini membobol kotak amal di Musala Babussalam Lingkungan Cungking Kelurahan Mojopanggung Kecamatan Giri Banyuwangi Kejadian pada Kamis kemarin tanggal Mei Ketua Takmir melaporkan adanya pencurian kotak amal ujar Kapolresta Banyuwangi Kombes Arman Asmara Syarifudin kepada detikcom Selasa Dari laporan tersebut kata Arman polisi langsung melakukan penyelidikan Bersama dengan takmir musala polisi menemukan kotak amal di ruang salat jemaah perempuan Padahal biasanya kotak amal itu ditempatkan di dekat pintu masuk musala iwd iwd kotak amal napi napi dibebaskan karena corona birojatim corona jatim corona di jatim 
"Curi Motor Saat Sahur, Pemuda di Dompu NTB Ditembak Polisi", Dompu Seorang pemuda di Kabupaten Dompu Nusa Tenggara Barat NTB kedapatan mencuri sepeda motor Pemuda itu ditembak di kaki saat berusaha kabur dari kejaran polisi Pemuda bernama Bambang itu kedapatan sedang mencuri sepeda motor bersama dua orang rekannya saat warga tengah bersiap siap untuk sahur pada Senin dini hari dan dikejar oleh warga Polisi yang mendapat laporan pun ikut mengejar para pelaku yang menggunakan dua sepeda motor TKP nya itu di lingkungan Kota Baru Kelurahan Bada Kecamatan Dompu Motor yang dicuri adalah motor matic merk Mio kata Paur Humas Polres Dompu Aiptu Hujaifah kepada detikcom Selasa azr azr pencurian pencurian motor dompu ntb biromakassar 
