title,content
10 Tempat di Mana yang Paling Tua Berada (Bagian II), Jakarta Di tempat ini Anda akan melihat makhluk hidup tertua di Bumi Di sini ada hewan hingga tumbuhan tertua Diberitakan CNN apa apa yang paling tua ini terdiri dari burung hewan bercangkang pepohonan hingga hutan laut Apa saja berikut daftar bagian keduanya Burung tertua tahunBurung tertua yang dikonfirmasi di dunia dan berada di alam liar berusia tahun Burung ini sudah diberi label pada tahun yakni burung albatros bernama Laysan Burung ini telah terbang di jarak tiga juta mil jauhnya Itu setara enam kali perjalanan PP ke bulan Tiap musim gugur ia akan terbang ke Suaka Margasatwa Nasional Midway Atoll untuk membesarkan anak anaknya Dia selamat dari tsunami dan menetaskan sekitar hingga telur di pulau itu Jonathan kura kura di Pulau St Helena Foto CNN Kura kura tahunJonathan kura kura yang tinggal di Pulau St Helena sebuah pulau kecil di Atlantik Selatan lahir sekitar tahun lima tahun sebelum penobatan Ratu Victoria Reptil raksasa ini telah hidup dalam periode presiden AS Reptil itu berasal dari Seychelles di Samudra Hindia Ia pindah ke Atlantik sebagai hadiah bagi gubernur St Helena pada tahun Sejak saat itu dia berkeliaran di sana ditemani tiga kura kura raksasa lainnya Mawar Seribu Tahun di Gereja St Mary Hildesheim Foto CNN Bunga Mawar tahunPunya perayaan Mawar Seribu Tahun semak bunga mawar yang menjulang tinggi di Jerman ini diperkirakan telah ditanam oleh Raja Louis the Pious pada tahun Tumbuh ini ada didedikasikan untuk Gereja St Mary di Hildesheim Desa abad pertengahan yang indah ini terkenal karena gereja gereja kunonya Meski ada bom sekutu selama Perang Dunia II yang meruntuhkan gereja tapi pohon bunga mawar yang dikenal Canina Rosa juga Dog Rose selamat berkembang hingga sekarang tumbuh hingga lebih dari sembilan meter Anda dapat mengunjunginya kapan pun Tapi akhir Mei dan awal Juni adalah waktu terbaik untuk melihat mekarnya bunga berwarna pink Pohon tin atau ara atau Jaya Sri Maha Bodhi Foto CNN Pohon Tin atau Ara tahunPohon tin atau ara yang jadi tempat Siddhartha Gautama mendapat pencerahan sudah lama hilang Tapi potongannya yang dibawa oleh seorang pemuja kerajaan ke Sri Lanka sekitar SM telah tumbuh menjadi salah satu pohon paling dihormati di umat Buddha India Pohon tertua ini dikenal karena penanamannya tercatat dalam sejarah Pohon Jaya Sri Maha Bodhi Ficus religiosa jadi magnet para umatnya selama berabad abad Gajah pernah merusaknya dan kelompok separatis Tamil mengepungnya namun pohon itu masih ada Kini pezirarah terus berdatangan duduk di dalam taman berhias kanal pagar emas stupa dan pohon Bodhi muda di Taman Mahamewna Anuradhapura Sri Lanka Pohon zaitun di Pulau Crete Foto CNN Pohon Zaitun tahunTidak diketahui apakah pohon zaitun ini ditanam atau tumbuh sendiri antara tahun lalu Pohon ini ada di Pulau Crete Mediterania Hingga hari ini pohon zaitun itu masih menghasilkan buah tahunan meski batang utama sudah begitu keriput Lokasinya ada di Desa Vouves Pohon zaitun di Vouves kini memiliki museum yang menyoroti teknik panen zaitun tradisional Crete Dulunya pulau ini jadi pusat peradaban Minoa yang berkembang di zaman kuno dari perdagangan minyak zaitunnya Gambas Video detik msl ddn burung albatros kura kura bunga mawar pohon zaitun pohon bodhi 
"'Jun Bintang' Ngancam di FB Mau Bom Bali, Ujungnya Dicokok Polisi", Denpasar Ditreskrimsus Polda Bali menanggapi serius komentar sebuah akun Facebook yang isinya candaan kasar mengandung unsur ancaman akan mengebom Bali Pemilik akun dicokok Subdit V Siber Ditreskrimsus Polda Bali telah melakukan penangkapan terhadap orang yang diduga melakukan tindak pidana pengancaman dan menyebarkan informasi yang ditujukan untuk menimbulkan rasa kebencian atau permusuhan individu dan atau kelompok masyarakat tertentu berdasarkan atas suku agama ras dan antargolongan kata Kasubdit V Dirkrimsus Polda Bali AKBP I Gusti Ayu Putu Suinaci kepada detikcom Jumat Simak video Geger Teror Bom Masjid di Kalteng Polisi Bekuk Seorang Pemuda tor tor biromakassar bali bom bali 
Berdamai dengan Corona Alternatif Terbaik?, Jakarta Setelah pemerintah Indonesia mengambil beberapa langkah dalam penanganan virus corona selama masa pandemi mulai dari pembatasan sosial pembatasan fisik sampai pembatasan sosial berskala besar PSBB akhirnya Presiden Joko Widodo menyuarakan wacana berdamai dengan corona Seruan ini ia sampaikan dalam banyak kesempatan tidak lain sebagai bentuk sikap bahwa pemerintah sedang mengajak masyarakat untuk hidup berdampingan dengan virus yang mematikan Pernyataan Presiden pun mendapat banyak kritik dari berbagai pihak Salah satunya datang dari Jusuf Kalla JK yang tidak lain Wakil Presiden Jokowi pada periode pertama kini Ketua PMI Dalam sebuah wawancara JK mengatakan berdamai dengan virus bukan langkah yang tepat karena virus tidak bisa diajak berunding Herd ImmunitySebetulnya wacana berdamai dengan corona sudah menjadi kebijakan yang diterapkan di beberapa negara dengan istilah herd immunity Perlindungan tidak langsung dari infeksi penyakit untuk membiarkan persentase besar penduduk terinfeksi dan menjadi kebal Lalu manakah yang lebih efektif herd immunity atau social distancing dengan gerakan stay at home Negara Bagian New York wilayah yang memiliki jumlah kasus virus corona terbanyak di AS adalah wilayah yang menerapkan tindakan isolasi paling ketat Jumlah kasus yang dikonfirmasikan sejauh ini telah melampaui sementara jumlah kematian telah melewati Tentu angka ini sangat mencengangkan Di atas semua statistik yang membingungkan ini berita menarik lainnya datang dari Gubernur New York Andrew M Cuomo Ia mengatakan kepada media bahwa pasien corona yang baru baru ini dirawat di rumah sakit berasal dari mereka yang sebelumnya tinggal di rumah kelompok yang mengikuti aturan stay at home Dalam sebuah laporan BBC Presiden Donald Trump mengatakan terkejut dengan hasil tersebut kemudian menambahkan bahwa tingkat kontaminasi di antara mereka yang bekerja di sektor sektor penting yang tetap bekerja selama lockdown jauh lebih rendah dibandingkan dengan populasi keseluruhan dan bahwa sebagian besar kasus baru terlihat pada mereka yang tidak pergi bekerja dan tinggal di rumah Tentu saja itu bukan satu satunya data yang membuat kita mempertanyakan dampak positif isolasi selama pandemi Selain itu tidak ada perbedaan signifikan dalam statistik yang dihimpun oleh negara negara yang telah menerapkan langkah langkah isolasi dan negara yang telah memilih herd immunity Klaim atas keberhasilan isolasi juga tidak menunjukkan hasil yang signifikan Misalnya di Brasil negara berpenduduk juta orang kasus pertama ditemukan pada Februari Sejauh ini kasus telah dicatat dan orang telah meninggal di negara itu yang belum mengambil tindakan isolasi apa pun Tetapi jumlah pemulihan telah mencapai sekitar Selain itu ada Swedia dengan kasus positif sejauh ini Swedia telah menerapkan herd immunity Di negara berpenduduk juta orang ini sekitar orang telah dinyatakan sembuh sementara jumlah korban meninggal telah melebihi orang Adapun negara negara yang menerapkan tindakan isolasi yang ketat jumlah kasusnya sangat tinggi Di Jerman jumlah kasus yang dilaporkan dengan pasien sembuh dan angka kematian Di sisi lain jumlah kasus di AS dengan populasi juta orang telah melebihi juta orang telah pulih dan lainnya telah meninggal Sementara itu jumlah kasus di Italia dengan jumlah penduduk lebih dari juta orang adalah dengan pasien sembuh dan kematian Alternatif Terbaik Wacana social distancing yang sekarang diterapkan di seluruh dunia mungkin melayang di atas kehidupan kita seperti pedang Damocles Pedang Damocles adalah ilustrasi dari Damocles yang duduk di tahta raja dengan segala kenikmatannya tetapi di atasnya tergantung sebuah pedang yang hanya diikat dengan sehelai rambut Kejatuhan pedang itu hanyalah bom waktu tinggal menunggu kapan waktu itu tiba Namun kita harus berani mendiskusikan semua jenis teori ilmiah dan kemungkinan untuk menghindari membayar harga yang lebih mahal dalam waktu dekat salah satunya dengan herd immunity Dalam kaidah agama ada satu ungkapan apa yang tidak bisa kita capai semua jangan kita tinggal semua Daripada tidak jelas mau apa pemerintah kita tempat ibadah ditutup tapi mall dan bandara dibuka Salat Jumat dikorbankan tapi penutupan sebuah gerai makanan dibiarkan dihadiri ratusan orang tanpa menjaga prosedur kesehatan memilih untuk mengambil langkah berdamai dengan corona adalah alternatif terbaik bagi negara kita Paling tidak kita bisa menyelamatkan ekonomi masyarakat menengah ke bawah yang paling terdampak Saya akan menutup tulisan ini dengan percakapan saya dengan seorang sahabat ojol di Karawang Bagaimana kabarmu Mas ada coronakah di sana tanya saya melalui telepon Coronanya nggak ada tapi kalau dampaknya ada Ahmad Munji Ketua Tanfidziyah PCIN Turki mahasiswa doktor Marmara university Turki mmu mmu herd immunity berdamai dengan corona 
Honda Recall Moge Sport Tercepatnya, Jakarta Honda menemukan adanya kecacatan material dari salah satu komponen di dapur pacu mesin motornya CBR RR R pun harus kena recall Teknologi otomotif merupakan karya tangan manusia yang tidak akan pernah sempurna Bahkan motor paling cepat dan canggih teranyar Honda CBR RR R pun tak luput dari kesalahan Saat ini Honda sedang dalam proses recall atau penarikan kembali moge baru tersebut Penarikkan ini dilakukan Honda setelah menemukan adanya masalah potensial pada batang piston Gambas Video detik rip din honda honda cbr rr recall 
Ilmuwan Temukan Cara Membuat Karang Lebih Tahan Panas, Jakarta Tim ilmuwan di Australia mengatakan berhasil menemukan cara untuk membantu terumbu karang mengatasi dampak pemutihan yang merusak dengan cara membuat karang lebih tahan panas Kenaikan suhu laut membuat terumbu karang mengeluarkan lumut kecil yang hidup di karang Hal itu membuat karang berubah warna menjadi putih dan pada hakikatnya membuat karang kelaparan Untuk mengatasi persoalan itu para peneliti mengembangkan strain lumut mikro yang dibuat di laboratorium yang lebih punya daya tahan terhadap panas Ketika disuntikkan ke dalam terumbu karang lumut tersebut dapat bertahan lebih baik di lingkungan air yang lebih hangat Sesudah ada larangan ekspor terumbu karang saya kehilangan segalanya Pulau Karang Bikini masih rusak akibat ledakan bom atom tahun laluDua pertiga terumbu karang Great Barrier Reef rusak akibat pemutihanTim peneliti yakin temuan mereka mungkin berguna dalam upaya melestarikan terumbu karang yang dikatakan mengalami kematian massal karena gelombang panas air laut Mereka membuat karang lebih tahan terhadap pemutihan yang terjadi karena kenaikan suhu dengan jalan meningkatkan ketahanan terhadap panas pada simbion mikroalga sel sel kecil lumut yang hidup di dalam jaringan karang Alga mikro itu kemudian dipaparkan ke suhu yang semakin hangat selama periode empat tahun Langkah ini membuat alga mikro beradaptasi dan bertahan dalam kondisi lebih panas Begitu alga mikro dikembalikan ke larva karang maka simbiosis alga karang yang baru terbentuk menjadi lebih tahan panas dibanding yang asli jelas penulis inti Dr Patrick Buerger dari Csiro lembaga ilmu pengetahuan nasional Australia Kami menemukan bahwa alga mikro yang tahan panas lebih baik dalam berfotosintesis dan meningkatkan respons panas hewan karang kata Profesor Madeleine van Oppen dari Australian Institute of Marine Science and the University of Melbourne Temuan menarik ini menunjukkan bahwa alga mikro dan karang saling berkomunikasi Langkah berikutnya adalah melakukan uji coba pada strain strain alga di berbagai spesies karang Seberapa buruk pemutihan karang Terumbu karang terus berkurang di seluruh dunia kata Dr Buerger Perubahan iklim telah menyusutkan bentangan karang dan karang yang bertahan hidup terus mendapat tekanan seiring dengan peningkatan suhu air dan peningkatan frekuensi serta skala kejadian pemutihan karang Awal tahun ini kawasan terumbu karang Great Barrier Reef di Australia mengalami pemutihan massal kejadian kelima dalam tempo lima tahun saja Suhu laut yang lebih hangat khususnya pada bulan Februari dikhawatirkan telah menyebabkan kerusakan besar Para ilmuwan mengatakan mereka mendeteksi pemutihan meluas termasuk petak petak luas yang rusak berat Namun mereka juga menemukan kantong kantong yang sehat Dua pertiga dari Great Barrier Reef yang merupakan gugusan terumbu karang terbesar di dunia rusak karena kejadian yang sama pada tahun dan ita ita bbc magazine terumbu karang australia 
Sepinya Osaka yang Mirip Kuburan, Osaka Osaka sudah menjadi denyut pariwisata Jepang Kini sepi itu bak kota hantu pemandangan Osaka benar benar berbeda Jika liburan ke Jepang pertama kali Osaka kerap jadi destinasi pilihan Ramai dan banyak tempat wisata wajar saja jika Osaka jadi pilihan favorit Namun adanya wabah pandemi Corona juga membuat Osaka ikut kehilangan wisatawan Bahkan turunnya jumlah pengunjung ke kota itu disebut sebut lebih parah dibandingkan saat Jepang terkena gempa bumi dan tsunami pada tahun lalu Jadi bisa dibayangkan betapa sepinya Osaka saat ini Turis yang biasanya lalu lalang kini hilang dan membuat perbedaan yang sangat mencolok Kawasan Dotonbori yang dulu hingar bingar sudah jadi senyap Gambas Video detik bnl ddn virus corona jepang osaka dotonbori 
Jejak Ratu Elizabeth I dan Perkembangan Islam di Inggris, Jakarta Kehadiran Islam di Inggris dapat ditelusuri sejak era Ratu Elizabeth I pada abad ke Sejak menyandang mahkota ratu pada dia menjalin kerja sama diplomatik baik secara militer maupun komersial dengan Sultan Murad III dari Ottoman Turki serta negara negara Islam lainnya seperti Iran dan Maroko Kisah tersebut tertuang dalam buku The Sultan and The Queen The Untold Story of Elizabeth and Islam karya Jerry Brotton profesor dalam studi tentang Renaisans di Queen Mary University of London Kala itu Inggris sedang berselisih dengan Spanyol dan perlu menjalin aliansi dengan Kesultanan Ottoman yang telah menguasai Afrika Utara Eropa Timur sampai Samudra Hindia Otomatis dari kerja sama itu terjadi pertukaran diplomasi yang pada akhirnya terjadi penyebaran Islam di Inggris kata Sekretaris PCNU di Inggris Munawir Aziz kepada tim Blak blakan detik com Selasa jat jat islam di inggris 
Dunia Kecam Serangan Bersenjata di RS Kabul yang Tewaskan 24 Orang, Kabul Dunia mengecam serangan bersenjata di ruangan bersalin sebuah rumah sakit di ibu kota Afghanistan Kabul yang menewaskan orang di antaranya bayi dan sejumlah ibu Serangan itu disebut sebagai kejahatan luar biasa Sejumlah ibu bayi bayi yang baru lahir dan beberapa perawat termasuk di antara korban meninggal Adapun korban luka luka mencapai orang kata Kementerian Kesehatan Afghanistan Serangan bersenjata pada Selasa di rumah sakit itu memicu kecaman luas Sejauh ini tidak ada kelompok yang bertanggung jawab atas serangan tersebut Dalam insiden kekerasan di hari yang sama seorang pengebom bunuh diri menewaskan sedikitnya orang di pemakaman umum di kota Nangarhar di wilayah timur negara itu Mereka menembak mati anjing peliharaan saya karena saya perempuan kisah perempuan Afghanistan dan anjing kesayangannyaFilm terbaru Angelina Jolie Breadwinner menyoroti penderitaan perempuan AfghanistanPara perempuan yang bertaruh nyawa bersihkan Afghanistan dari ranjau daratPresiden Afghanistan Ashraf Ghani telah memerintahkan dimulainya kembali operasi serangan terhadap Taliban dan kelompok lainnya Dia menuduh kelompok kelompok militan mengabaikan seruan berulang kali agar mengurangi aksi kekerasan Kelompok yang menyebut ISIS atau Negara Islam mengatakan berada di balik serangan pemakaman komandan polisi di Nangarhar di wilayah timur negara itu Namun demikian masih belum jelas siapa yang melakukan serangan di rumah sakit Dasht e Barchi di Kabul dan Taliban membantah terlibat Sebanyak bayi telah dilarikan ke tempat yang aman di sebuah rumah sakit anak anak di kota itu tetapi banyak dari ibu mereka dikhawatirkan meninggal Secara keseluruhan sekitar orang tewas dalam kekerasan di sekitar Afghanistan pada Selasa demikian dilaporkan New York Times Rentetan serangan itu menunjukkan bahwa upaya perdamaian di Afghanistan masih berjalan rapuh dan meredupkan harapan akan berakhirnya perang di wilayah itu yang sudah berjalan selama puluhan tahun Apa yang terjadi di rumah sakit Ruang bersalin di rumah sakit itu dijalankan oleh lembaga kesehatan internasional Medicins Sans Frontieres MSF Beberapa orang yang bekerja di sana adalah warga negara asing Serangan dimulai sekitar pukul waktu setempat dan warga setempat mengaku mendengar dua ledakan dan disusul bunyi tembakan Seorang dokter yang berhasil melarikan diri selama serangan itu mengatakan kepada BBC bahwa ada sekitar orang berada di rumah sakit saat orang orang bersenjata menyerang Ruang bersalin di rumah sakit itu dijalankan oleh yayasan kesehatan internasional Medicins Sans Frontieres MSF dan beberapa orang yang bekerja di sana adalah warga negara asing EPA Dokter lain mengatakan kepada kantor berita AFP terjadi kepanikan luar biasa ketika serangan itu terjadi Ramazan Ali seorang penjual yang melihat serangan itu mengatakan kepada kantor berita Reuters Para penyerang menembaki siapa pun di rumah sakit ini tanpa alasan Itu adalah rumah sakit pemerintah dan banyak anggota masyarakat membawa istri dan anak anaknya untuk perawatan Pasukan khusus Afghanistan menyelamatkan orang perempuan dan anak anak termasuk tiga orang asing kata seorang pejabat kepada BBC Para penyerang yang dilaporkan mengenakan seragam polisi semuanya dibunuh oleh petugas keamanan setelah terjadi baku tembak selama berjam jam Para penyerang yang dilaporkan mengenakan seragam polisi semuanya dibunuh oleh petugas keamanan setelah terjadi baku tembak selama berjam jam EPA Foto foto dari tempat kejadian memperlihatkan sejumlah tentara membawa seorang bayi yang baru lahir ke lokasi yang aman dalam kondisi terbungkus selimut yang bernoda darah Banyak staf asing tinggal di wisma di belakang Rumah Sakit Dasht e Barchi dan seorang dokter yang melarikan diri dari gedung itu mengatakan kepada BBC bahwa dia melihat sebuah ledakan di lokasi tersebut Bukan serangan bersenjata pertama ke rumah sakitDi masa lalu serangan serangan serupa yang sebagian besar terjadi di wilayah komunitas Syiah di ibu kota Kabul dikaitkan dengan kelompok ISIS Sebelumnya pemimpin kelompok ISIS untuk wilayah Asia Selatan dan Timur Jauh ditangkap di Kabul pada hari Selasa ungkap intelijen Afghanistan Dua orang pemimpin pentingnya juga ditangkap Sejumlah orang menolong korban yang terluka di lokasi pemakaman untuk menuju rumah sakit EPA Pada sejumlah pria bersenjata yang menyamar sebagai staf kesehatan menyerang sebuah rumah sakit militer di Kabul Serangan itu memicu kemarahan yang meluas terkait keamanan di tempat tempat umum Pihak berwenang kala itu kemudian mengonfirmasi ada sedikitnya orang terbunuh dalam serangan itu Namun kelompok Taliban juga menyerang rumah sakit Pada September lalu orang tewas setelah sebuah truk berisi bahan peledak diledakkan oleh kelompok militan tersebut di luar sebuah rumah sakit di provinsi Zabul di wilayah selatan Afghanistan Dalam keterangan resmi yang disiarkan stasiun televisi Presiden Afghanistan Ashraf Ghani mengatakan Demi memberikan keamanan di tempat tempat umum dan untuk menggagalkan serangan dan ancaman dari Taliban dan kelompok kelompok teroris lainnya saya memerintahkan pasukan keamanan Afghanistan untuk beralih dari metode pertahanan aktif ke metode ofensif serta melanjutkan operasinya dalam melawan musuh Apa yang terjadi di pemakaman Menurut korban yang selamat ribuan orang sudah berkumpul di lokasi pemakaman seorang komandan polisi setempat dan bom meledak ketika acara baru setengah jalan Ataullah Khogyani juru bicara gubernur setempat mengatakan sedikitnya orang terluka akibat serangan itu Dari orang yang meninggal di tempat pemakaman salah seorang di antaranya adalah seorang anggota DPR provinsi setempat Serangan bersenjata pada Selasa itu dikutuk oleh sejumlah negara di seluruh dunia dan kelompok kelompok hak asasi manusia Menteri Luar Negeri AS Mike Pompeo menyebut serangan di rumah sakit sebagai kejahatan luar biasa dan serangan tidak bermoral Dalam sebuah pernyataan dia mendesak pemerintah Afghanistan dan kelompok Taliban agar bekerja sama untuk menyeret pelaku serangan ke pengadilan Lembaga HAM internasional Amnesty International mengatakan Apa yang terjadi di Afghanistan hari ini merupakan kejahatan perang tidak bermoral Ini harus membangkitkan dunia atas kejadian horor yang terus menghantui masyarakat sipil Di Twitter Menteri Luar Negeri Inggris Dominic Raab mengatakan Saya merasa ngeri dengan serangan teroris yang menakutkan di Afghanistan hari ini termasuk yang terjadi di rumah sakit bersalin Mereka menargetkan para ibu bayi yang baru lahir serta staf medis Sementara itu di provinsi Balkh di wilayah utara Afghanistan sedikitnya orang meninggal dan banyak lainnya terluka dalam serangan udara oleh pasukan AS ungkap sejumlah laporan Warga setempat dan kelompok Taliban mengklaim semua korban meninggal merupakan masyarakat sipil namun Kementerian Pertahanan Afghanistan mengatakan semua yang tewas adalah anggota kelompok Taliban Bagaimana lanjutan upaya perundingan damai di Afghanistan Semenjak kesepakatan penarikan pasukan militer pada Februari lalu yang ditandatangani AS dan Taliban proses perundingan antara pemerintah Afghanistan dan Taliban mengalami jalan buntu karena masalah pertukaran tahanan dan kekerasan yang terus berlanjut Perjanjian itu bertujuan mengakhiri perang lebih dari tahun sejak pasukan pimpinan AS menggulingkan Taliban dari kursi kekuasaan setelah serangan di AS di mana otak pelaku serangannya yaitu Osama Bin Laden diberi perlindungan oleh kelompok militan di negara itu Puluhan ribu orang kebanyakan dari mereka adalah warga sipil terbunuh dalam konflik tersebut nvc nvc bbc world bbc afghanistan 
"'Kangen Bali', Bali Berharap Kegiatan Pariwisata Akan Kembali Mulai Juli", Jakarta Dengan tingkat kematian akibat COVID yang rendah dan sebagai destinasi wisata utama di Indonesia Bali berharap akan menjadi daerah pertama di Indonesia yang dibuka dan beradaptasi dengan situasi baru di tengah pandemi Inilah yang diharapkan dan sedang dilakukan berbagai pihak di Bali yang sama seperti banyak kawasan lain di dunia perekonomiannya terkena dampak pandemi virus corona Kita sedang merencanakan persiapan matang bagi pembukaan kembali Bali Mudah mudahan dengan kurva landai dan penurunan kasus Bali akan dibuka kembali bulan Juli lebih cepat dari daerah lain di Indonesia kata I Gusti Agung Ngurah Rai Suryawijaya Wakil Ketua Percepatan Pencegahan dan Pemulihan Dampak COVID di Bali Diperkirakan lebih dari sejuta warga di Bali merasakan dampak pandemi virus corona pada perekonomian mereka Foto Supplied Hasil ternak lele dan hasil kebun akan kami berikan kepada masyarakat yang membutuhkan Kami juga mendapat bantuan bibit bibit yang nantinya dibagikan kepada masyarakat Semua gratis kata Dedi lagi Menurut Dedi Kusuma dia dan teman temanya sudah selama tahun terakhir melakukan kegiatan sosial sebagai alumni SMA Denpasar Sebelumnya kami tidak mau diberitakan di media Hanya baru kali ini kami mau didatangi wartawan karena ingin menginspirasi memotivasi warga supaya lebih dini menyadari bahwa efek pandemi ini luar biasa kata Dedi Ini berbeda dengan ledakan Gunung Agung atau Bom Bali Kami bergerak mulai dari pembuatan hand sanitiser pada pandemi masuk ke Indonesia terus meyiapkan gizi dan APD untuk medis katanya Ikuti perkembangan terkini soal pandemi virus corona di dunia lewat situs ABC Indonesia ita ita abc australia virus corona bali 
"Terdengar Ledakan, Tim Jibom Datangi Rumah Ambruk di Cemara Asri Sumut", Jakarta Tim penjinak bom Jibom kepolisian mendatangi rumah yang ambruk di Komplek Cemara Asri Percut Sei Tuan Deli Serdang Tim Jibom datang untuk mengecek lokasi tersebut Pantauan detikcom di lokasi Jalan Jambu Kompleks Cemara Asri Percut Sei Tuan Rabu tim Jibom terlihat tiba sekitar pukul WIB Selain itu terlihat lokasi sekitar rumah yang ambruk itu dipasangi garis polisi Ada juga aparat bersenjata yang berjaga di lokasi haf idh biromedan ledakan di cemara asri ledakan rumah ambruk 
