title,content
"Cerita Warga Rasakan Gempa M 5,1 yang Guncang Pangandaran", Pangandaran Suasana hari raya Idul Fitri di Kabupaten Pangandaran dikejutkan oleh gempa bumi Gempa bumi tertonik berkekuatan M terjadi Minggu sekitar pukul WIB Berdasarkan rilis BMKG gempa berlokasi di laut pada jarak km arah Selatan Garut Jawa Barat pada kedalaman Km Hampir seluruh masyarakat Kabupaten Pangandaran merasakan getaran gempa tersebut Seperti yang diutarakan Muslih Suprianto warga Kecamatan Padaherang Kabupaten Pangandaran Di sini terasa cukup kuat Saya lagi santai di rumah sempat langsung berdiri untuk keluar rumah Tapi gempa sudah hilang kata Muslih Dia mengatakan beberapa tetangganya sempat berhamburan keluar rumah Lumayan besar getarannya hampir sama seperti gempa beberapa hari lalu kata Muslih Hal serupa diutarakan Agus Kusnadi warga Bojongjati Desa Pananjung Kecamatan Kabupaten Pangandaran Anak anak sempat berlarian keluar rumah Kalau saya diam saja karena durasinya singkat kata Agus mso mso pangandaran gempa pangandaran 
"Sempat Nihil, Kini Muncul 1 Lagi Kasus Corona di Rembang", Rembang Rembang sempat nihil kasus virus Corona atau COVID sejak awal Mei lalu Namun kini ada penambahan satu kasus baru di Rembang Pasien tersebut berjenis kelamin laki laki berusia tahun warga di Kecamatan Kaliori Rembang Kini pria itu dirawat isolasi di Rumah Sakit Umum Daerah RSUD dr R Soetrasno Rembang Hasil uji swab sudah keluar Minggu pagi dinyatakan positif terpapar COVID kata Kepala Dinas Kesehatan Kabupaten Rembang Ali Syofii saat dimintai konfirmasi via telepon Minggu Ali menuturkan pihaknya kini tengah melakukan tracing kontak pasien tersebut Saat ini kami sedang tracing siapa saja yang pernah bersinggungan langsung dengan yang bersangkutan ucap Ali Selanjutnya Halaman rembang corona di jateng virus corona birojatengdiy 
Benda Misterius di Langit Solo yang Jatuh di Sragen Diamankan Warga, Sragen Salah satu benda misterius bercahaya di langit Solo yang menghebohkan warga jatuh di Sragen Benda yang menyerupai lampion itu kini disimpan di rumah warga Dukuh Jebugan Desa Dawung Kecamatan Sambirejo Sragen Saya dapat info dari warga Setelah saya kroscek memang benar ada benda mirip lampion yang jatuh di wilayah Dukuh Jebugan Desa Dawung Saat ini barangnya sudah diamankan warga kata Sekretaris Desa Dawung Agung Raharjo saat dihubungi detikcom Minggu Benda menyerupai bintang di langit ternyata sejenis balon plastik dengan perapian kata Didik Purwanto Salah satunya jatuh di Dukuh Jebugan Desa Dawung Kecamatan Sambirejo sambungnya Selanjutnya Halaman sragen benda misterius di langit solo viral video viral birojatengdiy 
"Update Kasus Corona di DIY 24 Mei: 226 Positif, 123 Sembuh, 8 Meninggal", Yogyakarta Pemerintah Daerah Istimewa Yogyakarta Pemda DIY menyebut terjadi penambahan satu kasus positif sehingga total kasus positif virus Corona atau COVID di DIY menjadi kasus Penambahan satu kasus sembuh menjadi orang dan seorang pasien dalam pengawasan PDP yang meninggal dunia Untuk hari ini ada penambahan sebanyak satu kasus Sehingga jumlah kasus positif COVID di DIY menjadi kasus kata Juru Bicara Pemda DIY untuk Penanganan COVID Berty Murtiningsih Berty melalui keterangan tertulis Minggu Berty menjelaskan tambahan satu kasus itu adalah kasus laki laki tahun warga Sleman Pihaknya masih melakukan penelusuran terkait riwayat kontak pasien Riwayat kasus masih dalam penelusuran Dinkes Sleman ucapnya Selanjutnya Halaman yogyakarta corona di yogyakarta birojatengdiy virus corona 
"Gempa Darat M 2,5 Terjadi di Bantul", Yogyakarta Gempa darat bermagnitudo terjadi di Kabupaten Bantul Daerah Istimewa Yogyakarta DIY Gempa ini tidak berpotensi tsunami Pusat gempa di Km tenggara Bantul DIY tulis BMKG lewat akun Instagramnya Minggu Titik koordinat gempa ada di Lintang Selatan dan Bujur Timur Belum ada informasi lebih lanjut terkait dampak gempa ini ams ams gempa bumi gempa darat yogyakarta birojatengdiy 
"Klaster Pasar Antri Cimahi, Pengunjung Diminta Lapor-Isolasi Mandiri", Cimahi Dinas Kesehatan Kota Cimahi meminta agar pedagang dan pembeli yang sempat datang ke Pasar Antri selama sepekan terakhir untuk melakukan isolasi mandiri selama hari ke depan setelah dua pedagang terkonfirmasi positif Corona Virus Disease atau COVID Selain melakukan isolasi mandiri selama pekan mereka diwajibkan melapor ke Puskesmas di wilayah tempat tinggal masing masing jika merasakan ada gejala mengarah ke COVID Kami minta semua pengunjung Pasar Antri untuk isolasi mandiri dan melapor ke Puskesmas agar bisa segera ditangani dan dilakukan test COVID kata Sekretaris Dinas Kesehatan Kota Cimahi Chanifah Listyarini saat dihubungi Minggu mso mso cimahi klaster pasar antri pandemi corona 
"Gempa M 5 Guncang Garut-Pangandaran, Ini Analisis BMKG", Jakarta Gempa dengan magnitudo M mengguncang wilayah Garut hingga Pangandaran Jawa Barat Badan Meteorologi Klimatologi dan Geofisika BMKG menganalisis gempa bumi yang terjadi ini merupakan jenis gempa bumi menengah akibat aktivitas subduksi Kepala Pusat Gempabumi dan Tsunami BMKG Rahmat Triyono menjelaskan pukul WIB gempa tektonik mengguncang wilayah Samudra Hindia selatan Jawa Analisis BMKG menunjukkan gempa ini memiliki parameter awal dengan M yang kemudian dimutakhirkan menjadi M Dengan memperhatikan lokasi episenter dan kedalaman hiposenternya gempa bumi yang terjadi merupakan jenis gempa bumi menengah akibat aktivitas subduksi Hasil analisis mekanisme sumber menunjukkan bahwa gempa bumi memiliki mekanisme pergerakan naik thrust fault kata Rahmat dalam keterangannya Minggu Simak juga video saat Imbas Gempa M di Sukabumi Rumah rumah di Kecamatan Rusak Selanjutnya Halaman gempa bmkg gempa bumi pangandaran 
"2 Pedagang Positif Corona, Pasar Antri Cimahi Ditutup Selama 14 Hari", Cimahi Pemerintah Kota Cimahi menutup sementara operasional Pasar Antri di Jalan Sriwijaya Raya setelah dua pedagangnya positif terpapar Corona Virus Disease atau COVID Selain itu penyemprotan disinfektan juga dilakukan guna mencegah penyebaran Corona Berdasarkan pantauan di lokasi personel Pemadam Kebakaran dibantu BPBD Kota Cimahi melakukan penyemprotan disinfektan menggunakan truk damkar dan secara manual menyasar kios kios di lantai bawah dan atas pasar Kepala Dinas Perhubungan Kota Cimahi Yanuar Taufik mengatakan penutupan pasar merupakan arahan langsung dari Wali Kota Cimahi Ajay M Priatna sambil petugas melakukan sterilisasi area pasar Tonton juga video Imbas Corona Penjual Kembang Pusara Lesu mso mso cimahi pasar antri cimahi klaster pasar antri pandemi corona 
"Gempa M 5,1 Guncang Pangandaran, Tak Berpotensi Tsunami", Bandung Gempa bumi berkekuatan Magnetudo terjadi di Pangandaran Jawa Barat Minggu sekitar Pukul WIB Gempat tersebut tak berpotensi menimbulkan tsunami Gempa Mag May WIB Lok LS BT km BaratDaya KAB PANGANDARA Jabar Kedlmn Km tdk berpotensi tsunami tulis BMKG melalui akun twitter infoBMKG Minggu Gempa tersebut turut dirasakan oleh Wakil Gubernur Jawa Barat Uu Ruzhanul Ulum Saat terjadinya gempa dia sedang melakukan silaturahmi virtual bersama Gubernur Jawa Barat Ridwan Kamil bersama element masyarakat wip mso bandung gempa pangandaran wagub jabar 
"Gempa M 3,8 Terjadi di Keerom Papua", Jakarta Gempa bumi bermagnitudo M terjadi di Kabupaten Keerom Papua Gempa dirasakan hingga Jayapura Pusat gempa berada di laut Km barat laut Keerom tulis BMKG melalui akun Twitter infoBMKG Minggu Gempa terjadi pada pukul WIB Pusat gempa berada di laut dengan kedalaman kilometer rfs rfs papua jayapura gempa bmkg 
