title,content
Sedihnya Warga Samarinda Kebanjiran Saat Lebaran, Samarinda Ribuan warga Samarinda Kalimantan Timur merayakan hari raya Idul Fitri H di tengah banjir Sebagian ada yang merayakan Lebaran di tempat pengungsian akibat banjir yang melanda sejak Jumat malam Seorang warga Bengkuring Samarinda Aspian mengungkapkan kesedihannya di tengah banjir Ini menurutnya menambah duka setelah ada larangan mudik Lebaran akibat pandemi virus Corona COVID Kami hanya bisa pasrah COVID membuat kami tidak bisa keluar dari rumah karena tidak adanya posko dan adanya larangan berkumpul saat ini mungkin kami sekeluarga akan mengungsi ke rumah orang tua kata Aspian Minggu Aspian mengaku genangan air sudah masuk ke rumahnya sejak Sabtu sore Namun air sudah menggenangi jalan sejak Jumat malam elz elz lebaran hikmah ramadhan banjir virus corona samarinda biromakassar 
2 Daerah di Samarinda Kaltim Terendam Banjir Jelang Idul Fitri, Samarinda Rumah rumah warga di dua daerah di Samarinda Kalimantan Timur Kaltim terendam banjir Banjir disebabkan olah luapan Daerah Aliran Sungai DAS Karang Mumus Banjir terparah melanda lima RT di Perumnas Bengkuring Sempaja Utara Ketinggian air mencapai meter yang terjadi sejak Jumat malam hingga hari ini Meluapnya DAS Karang Mumus disebabkan tingginya debit tinggi muka air TMA Bendungan Benanga Lempake yang berada di level waspada Selain itu tingginya pasang air sungai Mahakam yang mencapai meter jadi faktor pendukung Selanjutnya Halaman banjir biromakassar samarinda kaltim kalimantan timur 
"Diguyur Hujan Lebat, Pria di Makassar Tak Sadar Rumahnya Kebanjiran", Jakarta Guyuran hujan sepanjang malam ini membuat sejumlah wilayah di Makassar Sulawesi Selatan Sulsel tergenang banjir Ketinggian air mencapai betis orang dewasa Namun Arfah Aksa seorang warga BTN Hamsi Jl Perintis Kemerdekaan Tamalanrea Makassar justru sempat tak sadar rumahnya kebanjiran Saat bangun genangan air sudah membasahi perabotan rumahnya Kronologisnya hujan dari malam Pukul Wita mau bangun solat eh ternyata air sudah segitu ujar Arfah kepada detikcom Jumat dwia dwia biromakassar banjir sulsel hujan 
"Hujan Semalaman, Samarinda Alami Banjir Terparah di Tahun 2020!", Samarinda Kota Samarinda Kalimantan Timur diguyur hujan sejak dini hari tadi Akibat hujan tersebut Samarinda disebut mengalami banjir terbesar sepanjang Hujan terjadi sejak Jumat pukul Wita hingga pukul Wita Sejumlah kawasan di kota Samarinda mengalami banjir bahkan genangan air membuat Jalan poros Samarinda Bontang lumpuh sejak pukul WITa Ketinggian air mencapai sentimeter membuat arus lalu lintas macet hingga Km Sebagian kendaraan terlihat memutar untuk mencari jalan alternatif Kapolsekta Sungai Pinang Kompol Ramadhanil mengatakan banjir diakibatkan tingginya intensitas hujan yang mengguyur kota Samarinda Ini Banjir terbesar di tahun karena selain luas wilayah yang tergenang air cukup banyak ketinggian air juga jauh dari biasanya kata Kompol Ramadhani yang ikut mengantur lalu lintas di lokasi banjir Jumat siang Berdasarkan pantauan anggota lanjut Ramadhani sejumlah kawasan di wilayah Sungai Pinang yang terendam banjir adalah perumahan Sentosa Jalan Gerilya Jalan Daman Huri Jalan Sukor Rejo Jalan Lempake Jaya Jalan Gunung Kapur dan Jalan Panjaitan Genangan air juga menyerang kawasan di perbatasan Samarinda dengan Kutai Kartanegara yakni di Jalan poros Tanah Datar bahkan akibat arus yang sangat deras sebuah mobil terseret ke parit kata Ramadhani Mengenai penyebab banjir Ramadhani mengatakan bahwa selain intensitas hujan yang cukup tinggi saluran drainase yang mengalami kebuntuan dan pasang air sungai Mahakam membuat air kemudian menggenang dan tidak bisa mengalir ke laut Samarinda Disebut Alami Banjir Terbesar di Tahun akibat Hujan Semalaman Foto Suriyatman detikcom Sementara itu Uje warga jalan DI Panjaitan mengaku genangan air sudah masuk ke dalam rumahnya sejak pukul WITA dengan ketinggian cm di dalam rumah Air terus naik dan hingga Jumat siang belum surut padahal biasanya jika selesai hujan air juga ikut turun kata Uje Ini bisa dikatakan banjir terparah di tahun bahkan genangan air bertahan cukup lama Menghadapi banjir adalah hal yang biasa bagi pemilik bengkel motor di Jalan DI Panjaitan ini bahkan sejak tahun bedanya saat itu air masuk ke dalam rumah jika saat musim hujan saja tapi saat ini hampir setiap datang hujan rumah warga kebanjiran Saya sudah dua kali menaikkan lantai rumah setinggi setengah meter pada tahun dan Tapi tetap kebanjiran juga apalagi saat ini badan jalan yang ada sudah naik hingga meter katanya Ia berharap Pemkot Samarinda dapat mengatasi banjir di Samarinda Kalau bangun jalan pemerintah seharusnya memprioritaskan sarana lainnya seperti saluran pembuangan air yang bagus dan lancar jelasnya Sementara itu data yang diperoleh dari Bagian Kedarutatan dan Bencana BPBD Samarinda menyebutkan kawasan yang dilanda banjir di Samarinda tidak hanya di kecamatan Sungai Pinang namun juta terjadi di wilayah Samarinda Utara Samarinda Ulu Sungai Kunjang dan Palaran tor tor biromakassar samarinda banjir 
"Sungai Meluap, Rumah dan Sawah di Polman Kembali Terendam Banjir", Polewali Mandar Puluhan rumah warga Desa Mammi Kecamatan Binuang Kabupaten Polewali Mandar kembali terendam banjir Banjir diakibatkan hujan yang terus mengguyur daerah tersebut sejak Kamis kemarin Salah seorang warga Buntu Karua mengatakan kondisi tersebut diperparah dengan pendangkalan Sungai Mammi dan buruknya drainase yang melewati permukiman Sehingga air lebih cepat meluap Ini karena hujan deras air sungai cepat meluap makanya pemukiman di daerah ini cepat tergenang kata salah seorang warga Buntu Karua kepada wartawan Jumat Selanjutnya Halaman polewali mandar biromakassar banjir banjir 
"Sempat Terendam 1 Meter, Banjir di Pondok Pinang Akibat Kali Meluap", Jakarta Kawasan Kampung Baru Pondok Pinang Kebayoran Lama Jakarta Selatan sempat terendam banjir hingga ketinggian meter Banjir terjadi akibat Kali Pesanggrahan meluap Penyebabnya luapan Kali Pesanggrahan Kali Pesanggrahan kan itu memang kiriman kali dari Depok ya kata Lurah Pondok Pinang Rizki Januar ketika dihubungi Kamis Banjir terjadi di kawasan RW dan Rizki mengatakan banjir telah terjadi sejak waktu subuh tadi Genangan mulai mencapai tinggi meter pada pukul WIB tadi Kawasan Kampung Baru Pondok Pinang Kebayoran Lama Jaksel sempat terendam banjir setinggi meter Dok Lurah Pondok Pinang jbr idh banjir jakarta kali pesanggrahan kebayoran lama 
"Banjir Melanda Michigan, 10 Ribu Warga AS Mengungsi di Tengah Pandemi", Michigan Lebih dari penduduk negara bagian Amerika Serikat AS Michigan mengungsi pada Rabu usai dua bendungan gagal menampung debit air hujan lebat Banjir ini membuat para pejabat memperingatkan akan banjir bersejarah Seperti dilansir AFP Gubernur Gretchen Whitmer menyatakan keadaan darurat di kota Midland tempat bendungan di kota Edenville dan Sanford Dinas Cuaca Nasional memperingatkan soal banjir bandang yang mengancam jiwa Mereka bersama gubernur mendesak orang orang di daerah itu untuk segera mencari tempat yang lebih tinggi Selanjutnya Halaman amerika serikat as bendungan tanggul jebol banjir michigan 
"Sungai Meluap, Banjir Setinggi 50 Cm Landa Satu Desa di Polewali Mandar", Polewali Mandar Banjir menggenangi puluhan rumah dan sejumlah ruas jalan di Desa Mammi Kecamatan Binuang Kabupaten Polewali Mandar Sulawesi Barat Sulbar Banjir terjadi akibat tingginya curah hujan yang membuat Sungai Mammi meluap Pokoknya kalau hujan lebat sampai dua jam pasti banjir kata salah satu warga Sapri kepada wartawan pada Selasa Ketinggian genangan mencapai cm diakui Sapri mengganggu aktifitas Dia menerangkan banyak sepeda motor warga mengalami mati mesin saat mencoba menerobos banjir aud aud biromakassar banjir polewali mandar 
"Banjir Setinggi 80 Cm, Akses Jalan Samarinda-Kukar Macet Hingga 3 Km", Samarinda Hujan lebat yang mengguyur Kota Samarinda Sabtu siang membuat sejumlah kawasan tergenang air Genangan air setinggi cm di Jalan Bung Tomo membuat akses jalan kota Samarinda Loa Janan Kutai Kartanegara dan Balikpapan terhambat hingga mengakibatkan kemacetan sepanjang Km Haryanto warga Loa Janan Ilir Kutai Kartanegara yang akan kembali ke rumahnya harus tertahan dilokasi banjir karena tidak bisa melintas akibat ketinggian air yang mencapai jok motornya Gak berani melintas mas genangan airnya tinggi sekali selain itu arus juga cukup deras jadi berat mendorongnya kata Haryanto kepada detikcom Sabtu lir lir biromakassar samarinda banjir macet hujan deras 
"Sungai Masamba Meluap, Bupati Lutra Instruksikan Data Warga Terdampak", Jakarta Imbas hujan deras yang mengguyur Kabupaten Luwu Utara Sungai Masamba meluap Kepala PDAM Luwu Utara Aris menuturkan wilayah yang terkena dampak paling besar dari meluapnya sungai tersebut adalah Kelurahan Baliase Ada kerusakan pada pipa distribusi utama kami Akibatnya hingga perbaikan selesai sebagian kawasan Kelurahan Baliase akan mengalami dampaknya ujar Aris dalam keterangan tertulis Jumat Menanggapi hal tersebut Bupati Luwu Utara Indah Putri Indriani IDP langsung menuju lokasi terdampak pada Kamis Sekitar pukul Waktu Indonesia Tengah WITA IDP langsung meninjau Desa Baloli yang beberapa akses jalannya terdampak akn ega pemkab luwu utara sungai meluap bupati luwu utara indah putri indriani 
Air di Mars Terlalu Dingin untuk Dukung Kehidupan, Jakarta Ilmuwan cukup yakin bahwa Mars saat ini tidak memiliki tanda tanda kehidupan Tapi jika di Mars memang ada kehidupan ilmuwan memperkirakan hal ini bisa ditemukan di genangan air asin yang ada di permukaan Mars Dikutip detikINET dari The Independent Rabu genangan air asin ini mungkin banyak ditemukan di Mars Permukaan Mars diketahui memiliki jenis garam kalsium perklorat yang bisa deliquesce atau berubah menjadi cairan dengan menyerap kelembaban di udara Penelitian terbaru yang diterbitkan di jurnal Nature Astronomy membuat model atmosfer Mars untuk memahami bagaimana genangan air asin bisa terbentuk dari garam tersebut dan apa bisa mendukung kehidupan Model yang dikembangkan ilmuwan menunjukkan permukaan Mars bisa menampung genangan air asin Keberadaannya memang belum terbukti tapi ini menunjukkan air asin merupakan sesuatu yang lebih umum daripada yang diyakini sebelumnya Sayangnya air asin tersebut harus bertahan di suhu yang sangat dingin yaitu derajat Celcius agar tetap bisa mempertahankan bentuknya Karena suhu yang terlalu dingin air asin di Mars diragukan bisa mendukung adanya kehidupan Selain itu air asin di permukaan Planet Merah hanya dapat bertahan dalam waktu yang sangat singkat yaitu hingga enam jam Air asin ini juga hanya bisa muncul dua minggu dalam setahun di Mars Bahkan kehidupan ekstrem di Bumi ada batasnya dan kami menemukan pembentukan air asin dari beberapa garam bisa berujung pada air di lebih dari permukaan Mars tapi hanya musiman selama dari satu tahun di Mars kata pemimpin studi dan Senior Research Scientist Southwest Research Institute Alejandro Soto Di sisi lain temuan ini merupakan berita bagus untuk ilmuwan yang ingin menjelajahi permukaan Mars lebih jauh Temuan ini mengindikasikan bahwa akan sulit bagi kehidupan di Bumi yang mengikuti misi ke Mars untuk bisa bertahan dan mengganggu ekosistem alami di sana Simak Video Tekad China ke Mars Didorong Puisi Penyair Besar Gambas Video detik vmp afr mars planet mars air di mars planet merah 
Menengok Uripah Janda yang Tak Dapat Bantuan Pemerintah Saat Pandemi, Pekalongan Masa pandemi virus Corona atau COVID banyak memukul penghasilan warga pekerja harian Tak terkecuali Uripah buruh colet batik ini kini dirumahkan tanpa upah maupun bantuan dari pemerintah Warga RT RW Kelurahan Tirto Kecamatan Pekalongan Barat masa pandemi ini membuatnya gigit jari Jangankan bantuan program keluarga harapan PKH bantuan pangan non tunai BPNT bahkan bantuan warga terdampak seperti bantuan sosial tunai BST dan jaring pengaman sosial JPS saja dirinya tidak menerima Setiap hari nyolet batik Iya buruh batik Ya dapat ribu ribu buat makan kata Uripah saat ditemui detikcom di rumahnya Senin Rumah Uripah juga cukup memprihatinan Beberapa kayu di rumahnya tampak lapuk bahkan sudah miring dimakan usia Tak hanya itu kondisi itu kian diperparah dengan meluapnya Sungai Bremi yang berada di timur rumahnya Baru akan masuk ke rumahnya sudah terlihat hijaunya lumut tepat di depan teras rumah Uripah Aroma tak sedap dari Sungai Bremi pun terasa menyengat karena jaraknya hanya terpisah jalan kecil dari rumah Masalah genangan Sungai Bremi ini memang menjadi PR yang tak kunjung diselesaikan Pemkot Pekalongan Sejak kondisinya seperti ini pandemi Corona tempat kerja tutup tambahnya Foto Teras rumah Uripah janda di Pekalongan Robby detikcom Ibu tiga anak itu menuturkan dua anaknya merantau ke Jakarta untuk mencari nafkah Dia pun maklum kedua buah hatinya itu tidak bisa mengiriminya uang karena juga harus berjuang di Ibu Kota Demikian pula seorang anaknya yang kini tinggal tak lagi serumah dengannya Ya sedikit bantuan dari anak untuk makan cukup tidak cukup Terkadang dari bantuan orang lain juga katanya Selanjutnya Halaman kota pekalongan corona di jateng virus corona birojatengdiy pekerja terdampak corona pandemi corona 
"Bupati: 4 Warga Batang Meninggal karena DBD, Lebih Tinggi dari Kasus Corona", Batang Kabupaten Batang Jawa Tengah mewaspadai penyakit demam berdarah dengue DBD di tengah pandemi virus Corona COVID Kurun waktu awal tahun ini hingga bulan April ada empat orang meninggal karena kasus DBD di Batang lebih tinggi jika dibandingkan angka kematian kasus Corona Di tahun ini jumlah kasus kematian karena DBD sudah empat orang kasus COVID hanya satu orang meninggal dunia kata Bupati Batang Wihaji saat ditemui detikcom di Posko Penanganan COVID Batang Senin Artinya kita harus waspada juga terhadap DBD Jangan sampai ini memperburuk COVID di Batang lanjutnya Selanjutnya Halaman batang dbd demam berdarah dengue virus corona covid birojatengdiy 
"Diguyur Hujan Deras Semalam, Jalan Ngumban Surbakti Medan Terendam Air", Medan Hujan deras yang mengguyur Kota Medan kemarin malam mengakibatkan ruas Jalan Ngumban Surbakti Medan kebanjiran Kemacetan pun terjadi karena kendaraan yang melambat akibat genangan air Pantauan detikcom di Jalan Ngumban Surbakti Medan Senin sekitar pukul WIB genangan air terlihat berada tepat di depan Pengadilan Tinggi Medan Abad mengatkaan genangan air terjadi karena saluran air yang kecil Dia menyebut ketinggian air sudah surut jika dibanding kemarin malam Agak kecil yang parit ke belakang sebut Abad Selain itu banjir juga sempat terjadi di titik lain di Kota Medan seperti di Jalan Dr Mansyur Air yang sempat menggenangi jalan sudah mulai surut haf haf biromedan kebanjiran banjir medan 
"Hujan Deras Melanda Klaten Hingga Semalam, Banjir Terjadi di 5 Kecamatan Ini", Klaten Hujan deras selama lebih dari tiga jam mengguyur Klaten hingga tadi malam menyebabkan banjir di sejumlah titik BPBD Klaten mencatat ada lima kecamatan yang terdampak banjir Di Kecamatan Trucuk banjir di Desa Kalikebo Planggu Sumber dan Karangpakel Penyebabnya karena luapan Sungai Kali Kebo dan Dengkeng sehingga masuk permukiman jelas Koordinator Pusdalops BPBD Pemkab Klaten Sri Yuwana Haris Yulianto Minggu Selain itu kata Sri ada empat kecamatan lain yang terdampak banjir yakni Kecamatan Cawas Klaten Utara Karangdowo dan Pedan Data ini tercatat hingga Sabtu pukul WIB Selanjutnya Halaman klaten banjir banjir di klaten bpbd klaten birojatengdiy 
"Hujan Deras, Sejumlah Titik di Kota Semarang Tergenang", Semarang Hujan deras yang mengguyur Kota Semarang sejak sekitar pukul WIB menyebabkan genangan air di beberapa lokasi Laporan longsor pun diterima oleh BPBD Kota Semarang Lokasi genangan antara lain ada di perempatan Taman Sampangan Kota Semarang yang memang jalannya lebih rendah dari sekitarnya Beberapa pengendara motor terpaksa menuntun motornya yang mogok akibat menerjang genangan Ketinggian air sekitar centimeter Banyak motor matic kecil yang mogok karena nekat menerobos Setelah beberapa menit saya akhirnya memutuskan menerobos dan biasa lewat Saya hapal betul jalan itu kata salah satu warga Afri saat berbincang dengan detikcom Sabtu alg ams semarang banjir di semarang genangan di semarang birojatengdiy hujan deras 
"Ruang Isolasi Banjir, 3 Pasien Corona di RSUZA Aceh Dievakuasi", Banda Aceh Ruang Outbreak Pinere Rumah Sakit Umum Zainal Abidin RSUZA Banda Aceh Aceh tempat pasien virus Corona diisolasi mengalami banjir Dua pasien positif COVID dan pasien dalam pengawasan PDP dievakuasi ke ruangan lain Pasien dipindahkan ke ruang Respiratory Intensive Care Unit RICU dan ruang thalassemia yang aman tinggi dan bebas banjir kata Direktur RSUZA dr Azharuddin saat dimintai konfirmasi detikcom Jumat Ada tiga pasien di ruangan Pinere Alhamdulillah sudah dipindahkan jelas Azharuddin agse idh biromedan aceh banjir corona 
"Hujan Deras, Sejumlah Desa hingga Jalan Protokol Banda Aceh Banjir", Banda Aceh Hujan deras yang mengguyur Banda Aceh sejak Kamis kemarin menyebabkan sejumlah kecamatan mengalami banjir genangan Hingga kini banjir belum surut Banjir menggenangi jalan protokol dan lorong lorong desa di Banda Aceh pada Jumat Sejumlah ruas jalan susah dilewati akibat tingginya genangan air agse idh biromedan banda aceh banjir 
RPTRA Taman Jangkrik Jaksel Banjir Sepaha Orang Dewasa, Jakarta Hujan deras melanda Jakarta Selatan sejak siang hingga sore ini Hujan yang belum berhenti ini menimbulkan genangan di Ruang Publik Terbuka Ramah Anak RPTRA Taman Jangkrik dan jalan sekitarnya Air setinggi paha orang dewasa terpantau menggenangi RPTRA yang terletak di Jalan Jangkrik Ciganjur Jagakarsa tersebut Air mulai menggenangi kawasan RPTRA Taman Jangkrik sekitar pukul WIB Daerah sini sudah langganan setiap hujan besar pasti banjir Pernah sampai sepinggang orang dewasa kata salah satu warga yang tinggal di dekat RPTRA kepada detikcom Selasa ang knv rptra hujan jakarta banjir jakarta banjir banjir 
