title,content
Matahari Lockdown Disebut Bisa Mengubah Bumi dan Bencana Alam, Jakarta Matahari yang sedang dalam fase lockdown pada saat ini diprediksi bisa memicu fenomena alam di bumi Ahli mengatakan penurunan aktivitas matahari berpotensi mengakibatkan kejadian bencana seperti periode Minimum Dalton pada abad Ahli menjelaskan fase lockdown menunjukkan aktivitas matahari berkurang drastis yang biasa disebut periode solar minimum Hal itu ditandai menghilangnya bintik bintik matahari Gambas Video detik ddn ddn matahari matahari lockdown 
Penjelasan Lengkap BMKG soal Dentuman di Jateng Bukan dari Gempa, Yogyakarta Sejumlah masyarakat di Jawa Tengah mendengar suara dentuman misterius pada dini hari tadi Badan Meterorologi Klimatologi dan Geofisika BMKG memastikan suara itu tak bersumber dari gempa tektonik Kami memastikan sumber suara dentuman tersebut tidak berasal dari gempa tektonik karena jika sebuah aktivitas gempa sampai mengeluarkan bunyi ledakan artinya kedalaman hiposenter gempa tersebut sangat dangkal dekat permukaan dan jika itu terjadi maka akan tercatat oleh sensor gempa jelas Kepala Bidang Mitigasi Gempabumi dan Tsunami BMKG Dr Daryono dalam keterangan tertulisnya kepada wartawan Senin Sehingga jika terjadi gempa di wilayah Jawa Tengah dan sekitarnya maka dipastikan gempa tersebut akan terekam selanjutnya diproses untuk kami tentukan magnitudo dan lokasi titik episenternya untuk diinformasikan kepada masyarakat urainya Selanjutnya Halaman dentuman di jateng dentuman misterius dentuman dini hari jawa tengah bmkg viral info viral birojatengdiy 
Viral Suara Dentuman Terdengar di Beberapa Daerah di Jateng, Yogyakarta Media sosial pagi ini diramaikan postingan sejumlah akun di Jateng yang mengaku mendengarkan suara semacam dentuman cukup keras pada dinihari tadi Di beberapa group Facebook cukup banyak akun yang mengunggah status mengaku mendengar kejadian serupa Tak sedikit pula yang kemudian merespon menanyakan sumber suara tersebut Pengguna akun di Facebook mengaku mengunggah pengakuan mendengar dentuman misterius tersebut Dari pengakuan itu diketahui dentuman itu didngar secara luas dri Pati di kawasan Pantura hingga Solo Sragen dan Boyolali Terdengar suara dentuman seperti gunung meletus Atau bom ya demikian ditulis akun Udyn Oepewe akun milik seorang warga Solo Postingan itu mendapat tanggapan dari teman temannya di Solo dan sekitarnya yang juga mengaku mendengar dentuman Simo boyolali ya krungu dengar tulis akun Joko Narimo Triyagan jaten Karanganyar juga denger tulis akun Woro Moglie Serupa ditulis akun bernama Putra Semar Springbed sekitar pukul WIB Langite maeng ketabrak opo lur Kok suorone ng ndi ndi krungu langitnya tadi tertabrak apa kok suaranya di mana mana terdengar akunya Akun Don s Created mengaku wilayah Gribig Kecamatan Gebog Kudus terdengar suara dentuman Namun di mempertanyakan suara tersebut berasal dari mana Gribig krungu lur Iki mau suara apa lur Moso tekan Purwodadi suarane tulisnya Dhiay Ratna juga mengaku mendengar suara tersebut Bahkan suara dentuman sampai berkali kali Kaliwungu krungu banter min tulisnya Salah seorang warga Desa Wedarijaksa Kecamatan Wedarijaksa Pati Ayu Wulandari mengaku mendengar sendiri fenomena suara semacam dentuman cukup keras tersebut Sekitar jam yang lalu kalau tidak salah dengar suara dung keras tapi nggak tahu suara apa itu Semoga saja aman aman semua kata Ayu kepada detikcom melalui pesan singkat mbr mbr viral suara dentuman dentuman misterius birojatengdiy 
Dongeng Senjakala, Jakarta Onggokan onggokan batu hitam dengan latar belakang langit merah seakan memandangku dengan wajah penuh amarah hingga aku ketakutan dan salah tingkah seperti anak lembu yang ditolak menyusu oleh induknya yang menggigil kedinginan dalam hawa senja yang berkabut Aku menengok ke belakang mencari Ayah Tampak ujung linggisnya yang bergerak gerak turun naik di belakang sebongkah batu besar di punukan ladang Ayah sedang menggali umbi gadung yang tumbuh liar di bawah pohon dadap Di atasnya Digo anjing kami yang gagah perkasa dan sering membuntingi anjing anjing betina di bawah umur berdiri pongah sambil menggerak gerakkan kuping di atas batu Namun tiba tiba Digo melolong dengan suara kencang ke arah langit merah bergaris garis mendatar mirip kain tenun tapo kemalo di sampiran atau mungkin mengutuk ratusan mata batu hitam yang juga menatapnya dengan penuh curiga Aku makin ketakutan dan merasa seperti melihat hantu di dunia nyata Kembali aku menengok ke Ayah di batas ladang dan hendak memanggilnya kendati urung Kau penakut sekali Tarro Batu pun kau takuti Begitu kira kira tanggapan ayahku sekiranya aku berteriak memanggilnya dan menceritakan ihwal rasa takutku yang tak beralasan di kepalanya yang sudah tua sehingga mengurungkan niatku untuk berteriak minta tolong Ayah terlalu kaku dalam mendidikku Ia menginginkan aku jadi anak laki laki pemberani dan jago berkelahi seperti mendiang kakekku yang konon pernah dikeroyok orang sepasar tapi ia berhasil menyingkirkan musuh musuhnya setelah melumpuhkan puluhan orang dari mereka sehingga yang lain lari kabur tunggang langgang keluar pasar dengan melompat tembok setelah melihat teman temannya jatuh terjengkang dan tergeletak di los pasar sambil meringis menahan sakit dengan tangan dan kaki patah serta kepala bocor Bagaimana kau akan melindungi adik adikmu kalau kau sendiri pengecut katanya suatu ketika sambil menoleh ke arah dua bocah perempuan tak berbaju yang tengah bermain tanah di halaman Kau anak laki laki Tarro harus jadi anak yang pemberani kata Ayah padaku yang tengah mengunyah daging biawak Laki laki pengecut hanya akan menjadi beban orangtua katanya Ayah memberi contoh Sokar seorang perjaka kotok di kampungku yang di usia tahun belum menikah dan masih minta makan pada orangtuanya Sokar memang pernah mencoba berbagai pekerjaan seperti bertani tebu beternak ayam bahkan berjualan sandal keliling tapi tak satu pun yang membuahkan hasil sebaliknya malah mendatangkan kerugian sehingga orang orang sekampung menilai Sokar sebagai laki laki sial bahkan ada yang menuduhnya sebagai manusia kutukan Orang kemudian akan mengaitkan nasib Sokar dengan latar belakang ayahnya sebagai pengikut partai komunis yang tewas dengan kepala terpenggal Jangan sampai kau seperti Sokar Sabung ayam selalu kalah Diajak merampok tidak berani Terus mau jadi apa ujar ayahku sambil memotong bambu untuk membuat kurungan ayam Ya jadi tukang batu atau kuli panggul saja jawabku dalam hati sambil melirik lenganku yang besar Karena mana berani aku menukas ucapan Ayah dengan suara keras Jangankan salah benar pun akan tetap kena damprat kalau sampai melawan Tekanan mental bertubi tubi yang dilontarkan Ayah padaku bukan membuatku bertambah tegar dan perkasa seperti Tarzan Sebaliknya malah membuatku semakin tak berdaya dan patah arang Padahal seharusnya Ayah memotivasiku dengan cara yang baik jika dia menginginkan aku menjadi anak yang tangguh dan bertanggung jawab melindungi adik adiknya Lagi pula apakah untuk menjadi orang kuat dan hebat itu harus selalu dengan cara cara kasar Di perkampungan yang dikepung puluhan bukit gersang ini pikiran manusia memang tak semaju pikiran orang di kota Mereka tidak mengetahui kalau orang orang kaya di kota adalah orang orang yang berkepribadian baik dan lembut Yang halus bukan hanya perasaannya tapi juga kulitnya karena tak pernah bekerja kasar mencangkul atau membelah kayu Lihat saja gubernur bupati dan para pengusaha tangannya halus halus karena hanya dipakai salaman dan mengusap layar ponsel Makan mereka pakai sendok Satu satunya sudut kehidupan modern yang dijadikan contoh oleh orang orang di kampung kami adalah suasana kehidupan di pelabuhan dengan kapal kapal barang yang berdatangan dari berbagai pelabuhan internasional Di situ di antara suara gemuruh mesin kapal dan raung sirine para preman dan makelar beradu muslihat untuk menyambung hidup mereka Setiap penumpang yang turun dari kapal akan diseret ke sana kemari untuk ditawari angkutan Pada saat yang sama copet copet juga akan menggerayangi saku mereka Tentu agak sulit membayangkan seorang bocah laki laki berperawakan gendut sepertiku harus jadi orang yang jago berkelahi Lagi pula harus berkelahi lawan siapa Di posisiku mencari musuh itu juga susah Karena dari puluhan bocah laki laki teman bermainku tak seorang pun yang pernah memusuhiku Jangankan berkelahi bertengkar pun tidak pernah Mungkin karena di antara mereka akulah satu satunya teman mereka yang gendut dengan tubuh yang tampak lucu sehingga tak seorang pun dari mereka yang menganggap aku layak untuk dijadikan musuh Yang terjadi malah sebaliknya mereka sering mentertawaiku terutama saat kami main bola di ladang Setiap aku mengejar atau menggiring bola mereka akan selalu tertawa terpingkal pingkal melihat tubuhku yang bulat berlari tertatih tatih seperti robot sampai mereka lupa kalau aku adalah tim lawan yang sedang mengarahkan bola ke gawang mereka meskipun tendanganku akan selalu nyasar ke luar lapangan Berkali kali aku dengar mereka berkelakar Ini bolanya yang mana Yang merah atau yang hitam kata mereka membandingkan bola plastik berwarna merah dengan tubuhku yang memakai celana hitam yang hampir serupa dengan warna tanah karena sejak dibeli dari pasar rombengan menjelang perayaan Hari Keramat Putih setahun lalu belum pernah dicuci sekali pun sampai sekarang Selain dipakai sekolah tiap hari celana itu juga akan kupakai menyembah batu Meskipun aturan agama mengharuskan orang memakai pakaian bersih saat menghadap Rumuhun Hampir semua teman menyukai keberadaanku yang terkesan lucu di mata mereka Sehingga tak menemukan alasan sekecil kuman pun untuk memusuhi mereka Akibatnya aku bingung sendiri ketika ayah menginginkan aku menjadi anak yang jago berkelahi seperti mendiang kakekku yang tewas terjatuh dari pohon kelapa Itulah alasan Ayah sehingga membiarkan aku bergulat sendiri melawan burung elang yang sedang memangsaku di ladang pada hari Keramat Putih itu hingga sebelah bola mataku hilang dimangsa burung elang Ayah jahat sekali kau Ayah Tega membiarkan mataku dipatuk burung elang hingga aku picek seperti sekarang ini teriakku di dalam hati karena takut didengar oleh ayah Anak laki laki jantan macam apa yang Ayah maksud kalau mata saja tak punya gerutuku sambil menahan sakit Masih terekam dengan jelas dalam ingatanku dan menjadi trauma mendalam hingga sekarang ketika aku berguling guling di rumput menghindari cakar dan paruh burung elang yang tajam dan melengkung seperti kawat berduri dan Ayah tega membiarkanku dicabik cabik oleh burung pemangsa itu Berkali kali cakar dan paruhnya mencoba mengangkat tubuhku ke udara untuk membawanya terbang seperti anak domba yang kerap kami saksikan di tanah yang terkutuk ini Tapi ukuran tubuhku yang gendut kilogram membuat burung itu tak mampu mengangkat tubuhku dan membawanya terbang ke lereng gunung Sehingga burung elang yang lapar itu hanya bisa mencabik cabik kulitku dan menarik setiap serat daging dan kulitku yang sobek dan nongol keluar Dan Ayah baru datang menolongku setelah mataku hilang dan kulitku tercabik cabik seperti bekas kawat berduri Kenapa tidak kau biarkan saja aku mati dicakar cakar burung itu Ayah kataku dalam hati ketika Ayah mengangkat tubuhku yang tergeletak bersimbah darah di bawah gerumbul semak semak tempat aku menyelusup masuk untuk menghindari burung ganas itu Adakah tempat yang lebih kejam di dunia ini selain dari dataran tandus yang namanya tak tertulis di dokumen negara kecuali sebuah titik cokelat mirip biji terong yang menodai peta Gopol adalah nama neraka di bumi itu dengan burung elang cokelatnya yang memangsa anak anak Kalau di tempatmu hanya ada elang elang kecil yang memangsa tikus dan anak ayam tapi di tempatku burung elangnya sebesar kurungan ayam dan biasa memangsa anak domba dan bocah bocah yang suka berkeliaran menangkap belalang di ladang Di tempatku hampir semua dongeng dan hikayat yang tersurat di daun lontar akan dikaitkan dengan keganasan burung elang yang biasa memangsa anak kecil secara turun temurun sejak jaman nenek moyang kami Jadi bukan harimau atau babi hutan yang menakutkan kami Harimau jarang turun gunung ke pemukiman penduduk kecuali saat Gunung Bayang meletus Begitu juga babi hutan tak terlalu mengkhawatirkan kami Babi hutan hanya akan menggasak ladang singkong sampai ludas dan pergi setelah kenyang Tetapi burung elang sebesar kurungan ayam yang jumlahnya sangat banyak itu telah menyebabkan ratusan anak yang lahir hanya sepuluh atau lima belas orang yang bisa selamat sampai dewasa selebihnya hilang atau tewas dimangsa burung elang yang dalam bahasa kami disebut kondongan karena suka menggondol bocah bocah itu Konon dari dua belas orang anak Pu Bakok leluhur kami hanya tiga orang yang bertahan hidup sampai dewasa Selebihnya dimangsa burung elang Di lereng pegunungan Kabana dan Megusang banyak sekali tengkorak tengkorak kepala balita korban keganasan burung elang Karena setelah berhasil menggondol seorang bocah burung burung elang raksasa itu akan membawanya terbang ke pohon pohon besar di sepanjang pegunungan Kabana dan Megusang Kondisi alam yang tak ramah dan kerontang membuat pertumbuhan fisik anak anak di Gopol kurang sempurna Kebanyakan mereka bertubuh kurus dan ringkih sehingga dengan mudah digondol burung elang Oleh karenanya setiap akan keluar rumah termasuk ke sekolah setiap anak akan diharuskan membawa arit untuk melindungi diri Alat penyabit rumput itu cocok untuk ukuran tangan anak anak yang masih kecil karena ringan sehingga mudah digerakkan untuk membela diri saat ada burung elang Tetapi sejak meletus peristiwa politik tahun kami tidak diperbolehkan lagi membawa arit saat keluar rumah karena bentuk arit yang melengkung itu dikaitkan dengan lambang partai politik yang memperjuangkan keadilan lewat pemberontakan Sehingga semakin banyak saja jumlah anak anak yang dimangsa burung elang Onggokan batu batu hitam di tengah ladang itu terus menatapku dengan sorot mata penuh kebencian Aku sangat ketakutan Karena terbayang kembali kejadian dua atau tiga tahun silam ketika cakar dan paruh burung elang menggerogoti bola mataku sampai copot Dan apa yang kukhawatirkan itu akhirnya benar benar menjadi kenyataan Mendadak terlihat puluhan ratusan bahkan ribuan ekor burung elang terbang melayang layang mengepungku dari semua arah Karena tak melihat lagi ayahku di belakang aku pun berlari tunggang langgang ke suatu arah yang aku lupa menghindari ribuan burung elang yang mendadak mengepungku dari langit Aku terus berlari dan berlari melintasi savana menembus kabut dan hutan Mataram April KeteranganKotok bujang lapukRumuhun nama Tuhan orang ladangAdam Gottar Parra lahir September di Praya Lombok Tengah Karyanya antara lain dimuat dalam buku kumpulan bersama Melabuh Kesumat Riau Pos Redaksi menerima kiriman naskah cerpen tema bebas disesuaikan dengan karakter detikcom sebagai media massa umum yang dibaca semua kalangan Panjang naskah sebaiknya tidak lebih dari karakter karya orisinal dan belum pernah diterbitkan di media lain Kirim ke email mumu detik com Simak Video Gerakan Relaksasi Beragama ala Penulis Feby Indirani Gambas Video detik mmu mmu cerpen 
Wisata Ekstrem di Danau Lava Abadi Tempat Tinggal Dewa, Honolulu Keindahan alam Hawaii memang sangat menggoda Tak cuma wisata yang cantik Hawaii juga punya danau lava yang merah membara Gunung Kilauea adalah obyek wisata populer di Hawaii Yang membuat gunung ini menarik adalah Kawah Halemaumau miliknya Kawah disebut juga sebagai danau lava karena terus menyala Lava terus mengalir tanpa henti sejak meletus pada Januari Setiap harinya Gunung Kilauea menghasilkan ribu kubik lava Para ahli pun memperkirakan kalau erupsi tersebut baru akan berakhir tahun mendatang Kawah gunung api di Hawaii Foto BBC Travel Karena aktivitasnya Gunung Kilauea dimasukkan menjadi salah satu Situs Biosphere Dunia dan Situs Warisan Dunia oleh UNESCO Gunung itu juga masuk dalam Taman Nasional Gunung Api Hawaii bersama dengan Gunung Maunaloa Kawah gunung api di Hawaii Foto BBC Travel Di sana traveler bisa melihat profil Gunung Kilauea melalui film serta bertemu langsung dengan ranger sekaligus pemandu taman nasional Nantinya Anda akan dipandu jika ingin melihat gunung dan danau lava tersebut Demi alasan keamanan traveler tentu tidak dapat mendekati Gunung Kilauea dan Kawah Halemaumau Hawaii secara langsung Untuk melihatnya traveler bisa datang ke Museum Jaggar yang juga menjadi lokasi pemantauan Dari jarak aman di lokasi pemantauan traveler bisa melihat lava panas yang bergejolak di Kawah Halemaumau Mungkin kamu berminat ke sini setelah wabah pandemi Corona Simak Video Ngeri Melihat Lava Gunung Kilauea di Hawaii dari Dekat Gambas Video detik bnl ddn kawah halemaumau gunung kilauea danau lava 
Inilah Kehidupan di Salah Satu Negara dengan 'Lockdown' Paling Ketat di Dunia, Manila Filipina menjadi salah satu negara yang menerapkan aturan paling ketat berkenaan dengan virus corona Saat ini jumlah kasus positif virus corona di Filipina telah mencapai kasus positif dengan lebih dari kematian Angka ini memang jauh lebih kecil dibandingkan di negara lain seperti Amerika Serikat Inggris Spanyol atau Italia namun Perserikatan Bangsa Bangsa PBB sudah menyampaikan keprihatinan terkait tindakan brutal polisi dalam mengamankan lockdown di Filipina Lebih dari ribu orang telah ditahan karena melanggar jam malam dan karantina yang masih akan berlangsung paling tidak selama dua minggu lagi Masalahnya menurut sebuah kelompok HAM beberapa petugas melakukan tindakan terlalu berlebihan ketika menerapkan aturan yang ada Organisasi Human Rights Watch mengecam hukuman yang diberikan kepada mereka yang melanggar aturan lockdown Presiden Filipina Roberto Duterte mengatakan bila warga tidak mematuhi aturan lockdown maka polisi dan militer akan mengambil alih ABC News Kimberly Dela Cruz Dia termasuk salah seorang yang ditahan walau kemudian dibebaskan Yang paling berat bagi kami adalah menjadi pengangguran kami betul betul butuh pekerjaan katanya Apa yang harus kami kerjakan sampai COVID berakhir bagaimana dengan anak anak saya Keluarga saya butuh makanan uang Gunung sosial yang bisa meletus Lian Buan wartawan bidang hukum di situs berita Filipina Rappler mengatakan menahan warga di fasilitas yang penuh sesak di tengah pandemi corona sangat mengkhawatirkan Tempat tahanan tingkat kepadatannya persen di atas normal jadi kalau ada orang baru yang masuk ke dalam sistem penjara mereka berisiko menyebarkan virus ke tahanan yang ada katanya kepada ABC Ini adalah krisis kesehatan dan saya kira solusinya harus lebih pada pendekatan kesehatan bukan solusi pendekatan keamanan Pelanggaran HAM sebelum pandemi sudah memprihatinkan dan sekarang lebih mengkhawatirkan lagi karena adanya pembatasan pergerakan dan terbatasnya perangkat hukum yang tersedia untuk menanganinya Menurut kelompok HAM penerapan lockdown dalam jangka waktu lama saat warga tidak punya penghasilan dan makanan menyebabkan terjadinya gejolak sosial Saya khawatir pandemi COVID ini berkelanjutan dan akan menambah keparahan situasi di mana gunung masalah sosial yang ada bisa meledak kapan saja kata Carlos Conde dari Human Rights Watch Dia mengatakan komunitas yang hidup berdesakan dan kelompok miskin akan semakin kesulitan dan Conde sudah melihat tanda tanda keresahan di beberapa bagian di Manila dan di tempat lainnya Lihat artikelnya dalam bahasa Inggris di sini ita ita abc australia virus corona filipina 
"Kalahkan Bom hingga Gunung Meletus, Corona Paling Seram Buat Bali", Jakarta Wabah virus Corona telah menghantam berbagai sektor di Indonesia salah satunya adalah pariwisata Wisatawan tak lagi bisa plesiran di Indonesia di tengah berbagai pembatasan sosial untuk menekan penyebaran Corona Bali sebagai destinasi wisata favorit turis domestik dan luar negeri pun terhantam habis virus Corona Wakil Gubernur Bali Tjokorda Oka Artha Ardana Sukawati menjelaskan hal itu didasari oleh fakta bahwa pendapatan daerah Bali setengahnya didapatkan dari pariwisata Bahwa COVID ini kalau dilihat paling memang yang paling terdampak adalah Bali PDB kita itu aja tergantung pariwisata lebih dari pariwisata ujar Tjokorda dalam diskusi online Industry Roundtable Markplus Jumat Gambas Video detik eds eds virus corona corona bom bali pariwisata 
Seniman Surabaya Klaim Temukan Obat Utama Penyembuh Virus Corona, Surabaya Seorang seniman di Surabaya mengklaim telah menemukan obat utama untuk menyembuhkan pasien COVID Obat tersebut ia dapatkan setelah melakukan berbagai ritual Seniman Taufik Monyong Hidayat mengatakan obat yang dia temukan yakni kunyit kunir Awalnya dirinya menilai kunir hanyalah penangkal kini ia yakin kunir merupakan obat utama Jadi obatnya kunir kita makan kunir Kalau tidak doyan nafsu cukup badan diluluri kunir Corona tidak mempan kata Taufik di Kantor Dewan Kesenian Jatim Selasa Selanjutnya Halaman birojatim virus corona corona jatim darurat corona obat corona seniman surabaya 
NASA Pajang Foto Gunung Anak Krakatau dari Jarak Dekat, Jakarta Tak hanya Lembaga Penerbangan dan Antariksa Nasional LAPAN Badan Antariksa Amerika Serikat NASA rupanya turut memotret pasca letusan Gunung Anak Krakatau akhir pekan kemarin NASA dan US Geological Survey menggunakan satelit Landsat untuk menangkap gunung yang berada di tengah selat Sunda tersebut Dari foto Gunung Anak Krakatau milik NASA itu terlihat ada gumpalan asap tebal berwana membumbung tinggi ke angkasa Ini penampakan Gunung Anak Krakatau pasca meletus pada akhir pekan kemarin hasil jepretan NASA Foto NASA Earth ObservatoryLandsat yang dibekali infrared menujukkan titik panas yang kemungkinan merupakan batuan cair seperti dikatakan NASA Verity Flower seorang Ahli Vulkanologi yang berbasis di Pusat Penerbangan Luar Angkasa Goddard NASA di Grenbelt Maryland mengatakan Gunung Anak Krakatau menunjukkan erupsi skala kecil selama beberapa tahun terakhir Simak Video Helikopter Pertama Akan Diterbangkan di Mars Gambas Video detik agt fay nasa lapan gunung anak krakatau gunung anak krakatau dari luar angkasa gunung anak krakatau meletus gunung anak krakatau erupsi 
Gemuruh dan Dentuman Misterius di Sleman yang Tak Terkuak Asal Suaranya, Sleman Sebagian warga di Kabupaten Sleman Daerah Istimewa Yogyakarta DIY mendengar suara gemuruh dan dentuman misterius Selasa dini hari Peristiwa itu lalu ramai dibahas di media sosial Patricia warga yang tinggal di Jalan Kaliurang KM Sleman mengaku terbangun sekitar pukul WIB karena mendengar suara gemuruh yang dia kira aktivitas Gunung Merapi Suara gemuruhnya cukup kencang dan sedikit ada getaran seperti gempa lokal Ini seperti yang saya rasakan saat Merapi meletus Juni lalu kata dia Suaranya keras Bahkan sampai sampai saya kaget dan bangun dari tidur Dentuman itu hanya sekali ujar Huda warga Sleman lainnya yang tinggal di Jalan Kaliurang Km Sleman mbr mbr round up sleman dentuman dini hari dentuman di sleman suara misterius dentuman misterius birojatengdiy 
