title,content
"Rombongan Babi Hutan Menyeberang Jalan, Polisi Sampai Harus Turun Tangan", Berlin Beberapa hari lalu sebuah ruas jalan di Kota Berlin ditutup singkat oleh kepolisian setempat Semua gara gara serombongan babi hutan yang mau menyeberang Dikutip dari DailyMail setidaknya ada ekor babi hutan yang menyeberang jalan raya di Distrik Zehlendorf pada Mei lalu Tak diketahui dari mana datangnya babi hutan tersebut atau ke mana meneraka akan menuju yang pasti babi hutan itu berjalan bergerombol dalam berbagai ukuran Dalam video singkat yang beredar di Twitter terlihat rombongan babi hutan itu menyeberangi jalanan yang tidak terlalu luas terlihat seperi sebuah wilayah pemukiman Sementara di seberang gambar terlihat mobil polisi berwarna biru berhenti melintang di tengah jalan menghalau kendaraan yang akan lewat saat babi babi itu menyeberang Schwein gehabt In Zehlendorf sperrt die polizeiberlin die StraÃ e fÃ¼r diese Familie ð pic twitter com wSFIJZZyâ Felix Hackenbruch FHackenbruch May Berlin bukan satu satunya kota yang kini punya wabah babi hutam Kebijakan physical distancing dan lockdown yang diberlakukan banyak negara dan kota membuat binatang liar itu banyak turun ke jalan Disebutkan kalau Barcelona Houston dan Hong Kong juga mendapati fenomena babi hutan berseliweran di jalan Gambas Video detik din rgr berlin babi hutan virus corona 
"Kemacetan Langka, Kawanan Burung Merak Turun ke Jalan", Jakarta Dampak dari pandemi virus Corona atau COVID membuat sebagian negara memutuskan lockdown Masyarakat pun diminta melakukan isolasi mandiri di rumah Di sisi lain momen ini dimanfaatkan oleh para hewan liar untuk menghirup udara bebas Seperti yang terjadi di sekitar wilayah Rajashtan India Terjadi kemacetan lalu lintas yang luar biasa sebab bukan disebabkan padatnya kendaraan tetapi gerombolan burung merak yang turun ke jalanan Gambas Twitter Tetapi ketika kendaraan mendekat kawanan burung merak itu segera pergi meninggalkan jalan Peristiwa itu memancing respon warganet mereka kagum atas kemacetan yang disebabkan oleh satwa liar tersebut Gambas Video detik riar lth catatan pengendara virus corona jalan macet 
"Jelang Lebaran, Stok Beras di Daerah Aman?", Jakarta Perum Bulog memastikan ketersediaan pangan menuju Lebaran dalam kondisi aman Bahkan beberapa provinsi yang sempat disebut Presiden Joko Widodo Jokowi mengalami defisit beras dinilai sudah terkendali Alhamdulillah saat ini sudah tersedia semua Jadi tidak perlu khawatir saudara saudara kita yang ada di provinsi Bulog sudah standby semua stok yang ada di gudang di seluruh Indonesia kata Direktur Operasional dan Pelayanan Publik Bulog Tri Wahyudi Saleh dikutip dari YouTube BNPB Minggu Tri Wahyudi mengatakan pihaknya sudah melakukan penyebaran stok di provinsi yang sempat mengalami defisit tersebut Kami sudah melakukan penyebaran stok dari Sulawesi Selatan karena di sana masih panen juga kemudian Nusa Tenggara Barat NTB dikirim juga ke Nusa Tenggara Timur NTT dan Bali kemudian dari Jawa kami juga kirim ke beberapa daerah di Sumatera dan Kalimantan ucapnya Sebelumnya Presiden Joko Widodo Jokowi sempat menyebut ada provinsi yang mengalami defisit beras Provinsi tersebut antara lain Riau Kepulauan Riau Kepri Bangka Belitung Maluku Maluku Utara hingga Kalimantan Utara Selanjutnya Halaman Simak Video Menko Airlangga Pastikan Stok Beras Aman Sampai Akhir Gambas Video detik beras stok beras virus corona bulog 
"Varosha, Mantan Kota Tajir yang Bikin Merinding", Famagusta Sebuah kota di Siprus pernah jadi destinasi mewah dunia Sempat ada perang kota ini tak lagi dihuni manusia Pamor Kota Varosha di Famagusta Siprus seakan hilang ditelan bumi Kota pesisir dengan garis pantai yang indah ini dulunya dipuja puja sebagai destinasi kelas dunia Layaknya kota makmur incaran turis tajir Varosha memiliki gedung gedung mewah sebagai penginapan Resor resor alam dengan pemandangan laut juga tertata rapih di bibir pantai Suguhan alamnya pun sangat indah dan eksotis Varosha sendiri memiliki penduduk yang mayoritas adalah orang Siprus yang keturunan Yunani dan Turki Rupanya sering terjadi perselisihan antar etnis di Varosha selama beberapa dekade Selanjutnya Halaman varosha siprus kota hantu 
Ketika 200 Kambing Invasi Satu Komplek Perumahan, San Jose Tak sedikit fenomena unik muncul di tengah pandemi COVID Di San Jose AS misalnya ada kambing yang kedapatan menginvasi satu perumahan di sana Dikumpulkan detikcom dari berbagai sumber Minggu peristiwa tak biasa itu sempat viral terekam video oleh warga setempat bernama Zach Roelands Diketahui momen itu terjadi pada Selasa pagi pekan lalu seperti diberitakan media The Guardian Sekitar kambing dikabarkan menerobos pagar di San Jose dan menginvasi satu komplek perumahan Mereka disebut jelas jelas melanggar social distancing di AS Gambas Twitter Biasanya kawanan kambing itu rutin menyantap rumput di bukit hijau yang ada di dekat kawasan perumahan itu selama tahun silam Hanya entah mengapa kali ini mereka menerobos pagar dan mencari makan di perumahan itu Berikutnya mereka sudah ada di depan halaman orang orang dan memakan apa pun di jalan ujar Zach Gambas Video detik rdy rdy san jose california amerika serikat rusa 
"Meludah Sembarangan, Pemotor Ini Kena Hukum Bersihkan Pakai Tangan", Jakarta Meludah sembarangan apalagi di tengah wabah virus Corona jadi satu hal yang dilarang Salah satunya negara India seorang pemotor di wilayah Chandigarh diberi hukuman lantaran meludah sembarangan di jalan Mengutip NDTV Jumat pemotor itu ketauan meludah sembarangan oleh seorang relawan lalu lintas yang ditunjuk pemerintah kota Chandigarh berjarak meter sebelum pos pemeriksaan Untuk memberi efek jera petugas lalu menghukumnya untuk membersihkan ludah tersebut dengan cara menyiramkan air dan pemotor itu menyeka dengan tangannya sendiri Hal ini terekam dalam video Polisi itu terdengar mengatakan kepada pria itu Anda bersama anak kecil Kok bisa melakukan hal seperti ini Gambas Video detik riar din catatan pengendara 
"Pemuda 19 Tahun Curi Mercy Ayahnya, Dibawa Ngebut 308 km/jam di Jalan Raya", Jakarta Pemuda berusia tahun nekat mengambil mobil Mercy Mercedes Benz ayahnya tanpa izin dan menggunakannya untuk kebut kebutan di jalan umum sampai kecepatan km jam Peristiwa ini terjadi di Provinsi Ontario Kanada beberapa hari lalu Dalam sebuah video yang dibagikan di Twitter Sersan Kerry Schmidt dari OPP Highway Safety Division mengatakan awalnya dirinya hanya diberi laporan bahwa ada sebuah mobil yang melaju kencang Tapi Schmidt tidak berpikir bahwa mobil itu melaju dengan kecepatan yang ugal ugalan Itu adalah kecepatan paling tinggi yang pernah saya temui Sulit dipercaya hingga km jam kata Schmidt Sementara di lokasi di mana pengemudi tersebut ditangkap kecepatan maksimum yang diizinkan adalah km jam Gambas Video detik lua din catatan pengendara mercedes benz ugal ugalan 
Fakta Menarik Tawon Pembunuh yang Invasi Amerika, Jakarta Tawon pembunuh begitu julukannya dengan nama ilmiah Vespa mandarinia Tawon ini sedang jadi bahan pembicaraan di Amerika Serikat karena mendadak ada penampakannya padahal hewan ini habitat utamanya di Jepang Tawon raksasa Asia ini cukup umum di beberapa bagian Asia Tubuhnya besar dengan karakteristik kepala orange dan tubuh hitam orange cetus Akito Y Kawahara ilmuwan dari Florida Museum of Natural History Tawon tersebut adalah yang terbesar di spesiesnya bisa tumbuh sampai sepanjang cm Meskipun tidak berbahaya jika tidak diganggu orang harus tetap waspada Selanjutnya Halaman tawon tawon pembunuh tawon raksasa 
Ratusan Monyet 'Invasi' Ruas Jalan Alas Roban Batang, Jakarta Fenomena binatang liar turun ke jalan terjadi juga di Indonesia Ratusan monyet terlihat memadati jalanan Alas Roban Batang Jawa Tengah Diberitakan sebelumnya gara gara lockdown banyak binatang liar turun ke jalan di berbagai penjuru dunia Namun invasi ratusan monyet yang terjadi Alas Roban Batang Jawa Tengah tidak ada kaitannya dengan pandemi virus Corona Menurut keterangan tukang ojek pangkalan di sekitar lokasi monyet monyet tersebut rutin turun ke jalan untuk santai santai saat musim panas Ada banyak ratusan Mereka keluar saat musim panas terus duduk duduk di aspal Leyeh leyeh kata Sutirman warga setempat pada detikCom Simak Video Akibat Serangan Kera Liar Seorang Bayi Alami Luka di Kepala Gambas Video detik din din monyet alas roban catatan pengendara birojatengdiy 
"Mudik, Polusi, Virus", Jakarta Terhitung April pemerintah mulai melarang warga untuk mudik Aturan ini demi mengurangi penyebaran wabah Covid yang semakin meluas Selain itu penurunan aktivitas transportasi darat secara langsung juga berdampak pada perbaikan lingkungan Di antara sekian dampak akibat penyebaran corona adalah penurunan polusi udara Aktivis lingkungan di Indonesia mencatat bahwa anjuran work from home WFH cukup efektif menekan kadar polutan di Jakarta dan Indonesia pada umumnya Apakah aturan angkutan umum dan pribadi dilarang keluar dari zona merah akan efektif menurunkan wabah Covid Tulisan ini akan sedikit mengupas pengaruh polusi udara akibat emisi tersembunyi roda roda kendaraan terhadap infeksi virus corona Kualitas Udara Kualitas udara yang tidak sehat jelas berpengaruh negatif bagi kesehatan Air pollution is a silence killer Infeksi pernapasan ringan gangguan kecerdasan peningkatan risiko sakit jantung gangguan kehamilan hingga kanker paru merupakan akibat jangka pendek dan panjang polusi udara Sebuah penelitian yang dipublikasikan dalam Jurnal Air Pollution and Respiratory Viral Infection menunjukkan bahwa polusi udara dapat menambah keparahan infeksi akibat virus influenza Tikus percobaan yang sudah diinfeksi virus influenza saat diberikan pajanan gas nitrogen dioksida NO ternyata lebih rentan mengalami infeksi paru dan saluran pernapasan serta memiliki angka morbiditas lebih tinggi Kadar ozon O di atas ambang normal juga berdampak pada risiko kerusakan paru yang lebih berat Selain itu makin tinggi konsentrasi particulate matter PM akan menyebabkan kemampuan imunitas sel makrofag alveoli dan lapisan surfaktan paru menurun Bisa dipastikan jika daya bunuh makrofag menjadi tumpul maka sistem pertahanan tubuh akan lebih rentan terhadap invasi patogen berbahaya Zat polutan PM juga memicu terbentuknya oksidatif stres dan radikal bebas yang berpotensi merusak sel parenkim paru dan juga organ lain Meski penelitian polusi udara terhadap virus korona belum dipublikasikan gambaran di atas bisa menjadi pembanding karena kedua jenis virus termasuk dalam kelompok yang sama Yang menarik negara negara Eropa dengan indeks kualitas udara Air Quality Index AQI bagus seperti Denmark dan Swedia menyumbang pasien positif Covid lebih sedikit dibanding raksasa industri Eropa seperti Italia Inggris dan Spanyol Kondisi Indonesia agak sulit dijadikan perbandingan karena indikator kualitas udara yang digunakan Indeks Standard Pencemar Udara ISPU memiliki ambang batas yang lebih longgar dibanding AQI Selain itu jumlah pasien dan angka kematian akibat Covid di Indonesia tidak terlalu akurat Meski demikian besarnya kasus Covid di Indonesia yang menempati peringkat tertinggi di Asia Tenggara bisa jadi cerminan bahwa kualitas udara yang jelek sangat mempengaruhi infeksi virus corona Lebih KompleksBerbeda dengan gas gas polutan seperti NO dan O PM lebih kompleks baik dari materi penyusun dan efek negatif bagi kesehatan PM adalah polutan yang terdiri dari berbagai partikel baik padat logam endotoksin karbon organik dan zat organik lain dan cair Proses kondensasi dan konversi kimiawi gas di atmosfer membentuk partikel partikel ini menjadi PM Selain asap cerobong pabrik emisi gas buang kendaraan exhaust emissions EE dari pembakaran tidak sempurna mesin adalah salah satu sumber PM Namun mungkin sedikit yang menyadari bahwa roda sistem rem dan percikan partikel jalan raya akibat gesekan dengan ban mobil dust road resuspension juga sangat berbahaya Partikel yang dihasilkan dari abrasi roda dan rem kendaraan serta serpihan debu jalanan akibat turbulensi oleh kendaraan adalah emisi non exhaust emissions NEE yang menyumbang sebagian besar polutan PM di jalan raya Dari data di beberapa negara didapatkan hasil bahwa polutan PM terkait transportasi disumbang oleh sekitar NEE dan EE Jika emisi gas buang dan pekatnya cerobong pabrik bisa diatur dengan aturan emisi serta teknologi ramah lingkungan maka persoalan NEE relatif lebih sulit dikendalikan Komponen utama roda mobil adalah karet yang diperkaya material lain termasuk logam tembaga dan zat zat organik lain Para ahli memperkirakan dari beragam materi ban merupakan penyumbang PM terutama PM Mari sekarang kita coba hitung polutan yang terbentuk dari roda roda yang berputar Dalam pemakaian normal ban mobil kecil akan kehilangan material penyusunnya sebesar mg km Dengan demikian mobil yang menempuh jarak km akan menghasilkan g partikel akibat abrasi karet ban dengan jalan Nilai ini akan dikonversi menjadi emisi faktor EF dengan satuan mg vkm vehicle km EF tiap kendaraan untuk PM dan PM berbeda Ini artinya mobil keluarga kecil mempunyai angka EF sebesar mg vkm PM Berat dan dimensi kendaraan serta cara mengemudi merupakan faktor penting penentu EF Kendaraan besar yang dikemudikan dengan ugal ugalan akan menjadikan abrasi ban semakin boros Hal serupa berlaku dengan pemakaian rem Berbagai logam penyusun peralatan rem kendaraan yang tergerus bisa setara dengan mg vkm PM Kita dapat membayangkan kondisi jalan macet dan banyak tikungan akan makin meningkatkan konsentrasi polutan PM Dust road resuspension adalah komponen terbesar NEE Tetapi untuk menentukan konsentrasi PM yang terbentuk cukup sulit Hal ini disebabkan oleh beberapa hal termasuk struktur jalan kelembaban permukaan aspal kecepatan dan berat kendaraan suhu curah hujan dan berbagai faktor alam lain Langkah yang bisa dilakukan untuk mengurangi polusi emisi non knalpot ini antara lain mengurangi kecepatan dan berat beban kendaraan serta lebih bijak dalam mengemudi Yang terjadi di Indonesia sebaliknya Bus dengan penumpang penuh sering memacu kecepatan dan tiba tiba berhenti mendadak Permukaan jalan nasional dan jalan di pedesaan sangat berbeda Kondisi aspal yang kasar dan genangan air semakin mempercepat proses terbentuknya resuspensi partikel dari abrasi roda dan jalanan Dua ManfaatTerlepas dari kontroversi istilah mudik dan pulang kampung atau anggapan bahwa aturan ini sudah terlambat larangan mudik ini setidaknya bisa memberi dua manfaat Keuntungan pertama meminimalkan persebaran virus corona yang makin hari makin meluas Mengurangi polusi udara merupakan hikmah berikutnya yang juga patut disyukuri Dengan menurunnya kadar polutan maka masyarakat dapat menghirup hawa segar Udara sehat dan sinar matahari pagi merupakan faktor penting bagi imunitas tubuh Sel sel pertahanan tubuh yang optimal lebih menjanjikan perlindungan optimal terhadap infeksi corona Wiwin Is Effendi staf pengajar FK Unair Dep Pulmonologi dan Ilmu Kedokteran Respirasi Divisi Penyakit Paru Kerja dan Lingkungan mmu mmu mudik larangan mudik polusi virus corona 
