title,content
"Kebakaran Rumah di Cilincing Jakut, Diduga Korsleting Listrik", Jakarta Kebakaran sebuah rumah terjadi di Cilincing Jakarta Utara Jakut Api diduga berasal dari korsleting listrik Yang terbakar rumah satu rumah kerugian Rp juta kata Operator SCC Damkar Jakut Subarlan saat dihubungi Minggu Pemadam sudah selesai mobil armada diterjunkan ujar Subarlan rfs maa kebakaran jakarta utara cilincing 
"Gelar Halalbihalal Virtual, Ini Pesan Menteri LHK ke Kalangan Dunia Usaha", Jakarta Menteri Lingkungan Hidup dan Kehutanan LHK Siti Nurbaya menggelar halal bi halal virtual dengan jajarannya dan sejumlah mitra kerja pada Hari Raya Idul Fitri H Di momen Lebaran yang diselimuti pandemi ini ia berpesan agar jajarannya tetap bekerja untuk Indonesia Saya bersama keluarga menyampaikan mohon maaf lahir dan batin kepada semua jajaran juga kepada para pihak yang selama ini selalu terlibat bekerja sama dengan KLHK untuk kepentingan bangsa ujar Siti dalam keterangan tertulis Minggu Di hari kemenangan ini Siti mengucapkan terima kasih kepada jajarannya dan keluarga yang telah mendedikasikan tenaga waktu dan pikirannya untuk kepentingan bangsa Ia meminta agar tetap konsisten dan berkesinambungan Dalam situasi sulit masa pandemi ini tetap dituntut melaksanakan tanggung jawab kerja dengan sebaik baiknya karena sudah menjadi tuntutan publik yang harus kita penuhi Pesan saya kita semua harus tetap bekerja secara konsisten dan berkesinambungan tambahnya akn ega klhk siti nurbaya halalbihalal 
"2 Pedagang Positif Corona, Pasar Antri Cimahi Ditutup Selama 14 Hari", Cimahi Pemerintah Kota Cimahi menutup sementara operasional Pasar Antri di Jalan Sriwijaya Raya setelah dua pedagangnya positif terpapar Corona Virus Disease atau COVID Selain itu penyemprotan disinfektan juga dilakukan guna mencegah penyebaran Corona Berdasarkan pantauan di lokasi personel Pemadam Kebakaran dibantu BPBD Kota Cimahi melakukan penyemprotan disinfektan menggunakan truk damkar dan secara manual menyasar kios kios di lantai bawah dan atas pasar Kepala Dinas Perhubungan Kota Cimahi Yanuar Taufik mengatakan penutupan pasar merupakan arahan langsung dari Wali Kota Cimahi Ajay M Priatna sambil petugas melakukan sterilisasi area pasar Tonton juga video Imbas Corona Penjual Kembang Pusara Lesu mso mso cimahi pasar antri cimahi klaster pasar antri pandemi corona 
Pengemudi Toyota Hilux Ini Ugal-ugalan di Tengah Bazaar, Selangor Viral di media sosial seorang pengemudi Toyota Hilux ugal ugalan di tengah bazaar Sang sopir menabrak lapak pedagang secara acak bahkan akibat aksi berbahaya itu melukai orang Kejadian ini terjadi pada Jumat di Bukit Sentosa Hulu Selangor Malaysia Namun pengemudi itu tidak berhenti dan membiarkan mobil terus melaju Kejadian ini pun membuat histeris masyarakat sekitar terdengar jeritan dan teriakan dari dalam video Panggil polisi telepon polisi ucap seorang wanita terdengar berteriak dalam video Dalam video lain pengemudi Hilux itu berkendara lebih membahayakan bahkan sempat menabrak mobil lain yang berada di sisi jalan Usut punya usut pengemudi itu di bawah pengaruh alkohol Gambas Video detik riar lth catatan pengendara sopir mabuk 
"Gudang di Koja Jakut Terbakar, Diduga Akibat Korsleting Listrik", Jakarta Sebuah gudang di Jakarta Utara Jakut terbakar Kebakaran diduga terjadi karena korsleting listrik Dugaan kebakaran sebab arus pendek listrik kata Kepala Suku Dinas Penanggulangan Kebakaran dan Penyelamatan Jakarta Utara Rahmat Kristantio dalam keterangannya Minggu Rahmat mengatakan sebanyak unit mobil damkar diturunkan untuk memadamkan api Api pun berhasil dipadamkan sekitar pukul WIB elz elz kebakaran kebakaran gudang jakarta utara 
Pemkot Bogor Siapkan Aplikasi Pantau Warga Nekat Mudik Saat Lebaran, Jakarta Wali Kota Bogor Bima Arya memimpin apel pengamanan dan pemantauan arus mudik Hari Raya Idul Fitri H Ratusan personel disiagakan di halaman Balaikota Bogor yang terdiri dari jajaran TNI Polri Satpol PP Dinas Perhubungan Pemadam Kebakaran hingga pasukan kebersihan dari Dinas Lingkungan Hidup Sejauh ini arus mudik kendaraan roda empat tidak terlalu mencolok Yang lebih banyak justru motor yang melintas dari arah Kabupaten Bogor Kemudian di checkpoint Jagorawi dilaporkan bahwa pengawasan dilakukan secara ketat bagi yang melanggar melebihi kapasitas diminta putar balik ujar Bima dalam keterangan tertulis Minggu Usai pelaksanaan apel malam Idul Fitri H pada Sabtu itu Forkopimda dan petugas gabungan langsung melakukan patroli keliling Kota Bogor untuk memastikan suasana kondusif Titik pertama yang dipantau adalah Pos Pengamanan gabungan di Jalan Soleh Iskandar atau dekat Tol BORR Hal serupa juga dilakukan di Pos Pengamanan exit Tol Jagorawi Baranangsiang Di pos tersebut Forkopimda diberikan penjelasan mengenai kondisi di lapangan termasuk tren mudik akn ega pemkot bogor bima arya idul fitri 
Tolong Jangan Eksploitasi Amazon untuk Pulihkan Ekonomi Usai Pandemi, Jakarta Pemimpin adat mewaspadai eksploitasi besar besaran kawasan tambang di hulu sungai sungai Amazon setelah pandemi virus Corona Mereka meminta agar hal itu tak terjadi karena berdampak kepada perubahan iklim Seluruh dunia sedang tertatih tatih melawan virus Corona Tak terkecuali negara negara di Amerika Selatan Ekonomi banyak negara pun keok terimbas langsung setelah COVID merajalela Setelah wabah melandai diperkirakan seluruh negara akan melakukan apapun untuk mengembalikan kondisi finansial Termasuk menggenjot sektor pertambangan Dikutip Reuters dari video pada Hari Internasional untuk Keanekaragaman Hayati pada Jumat masyarakat di Peru dan Ekuador memprediksi pemerintah bakal mengeksploitasi wilayah itu untuk menyalakan kembali ekonomi yang terhuyung huyung karena virus Corona itu Ekuador dan Peru memiliki rencana untuk mengeksploitasi setidaknya persen tambahan termasuk di hutan yang dipenuhi dengan satwa liar seperti Taman Nasional Yasuno Ekuador Hutan itu merupakan habitat jaguar lumba lumba sungai merah muda anaconda monyet melolong dan ribuan spesies lainnya Wilayah ini di banyak daerah yang hampir tidak tersentuh oleh dunia modern dinilai sebagai bagian integral hutan Amazon sebagai hutan hujan terbesar di dunia Selain itu kekhawatiran juga datang dengan potensi perubahan hutan menajdi ladang karena tuntutan tanaman pangan dan kebutuhan ekspor Dengan kebakaran besar tahun lalu hingga terjadi deforestasi di Brasil melestarikan hutan asli di bagian terpencil Peru dan Ekuador menjadi salah satu kesempatan untuk memelihara ketahanan bioma yang lebih luas Merawat hutan Amazon merawat hidup Anda dan generasi mendatang kata Rosa Cerda wakil presiden Konfederasi Kebangsaan Adat Amazon Ekuador Simak Video Dugaan di Balik Kebakaran Hutan Amazon Gambas Video detik fem ddn hutan amazon wisata ekuador wisata peru 
"Ruko Mainan di Jatinegara Jaktim Terbakar, 5 Unit Damkar Diterjunkan", Jakarta Sebuah rumah toko ruko yang menjual mainan di Jatinegara Jakarta Timur Jaktim terbakar dilalap api Petugas menerjunkan unit mobil pemadam ke lokasi Di Basurra Ruko mainan satu kata petugas damkar Jaktim Mahardika saat dihubungi Minggu Sudah selesai pemadaman ujar Mahardika Mahardika mengatakan tak ada korban jiwa dari peristiwa kebakaran ruko mainan ini Belum diketahui penyebab kebakaran rfs rfs jakarta timur jatinegara kebakaran 
Mobil Damkar Bubarkan Lautan Manusia di Pengkolan Garut, Garut Petugas membubarkan lautan manusia di kawasan Pengkolan Kabupaten Garut Jawa Barat Warga itu tumpah ke jalan dan menyemut untuk berburu baju lebaran Mobil Damkar menerobos untuk membubarkan massa Warga berkerumun di sepanjang pusat perkotaan Garut atau yang biasa disebut kawasan Pengkolan itu dibubarkan paksa petugas Sabtu malam sekitar pukul WIB Sebelumnya di kawasan itu sempat membentuk lautan manusia yang belanja keperluan Lebaran Pemkab Garut terpaksa membubarkan kerumunan massa lantaran mereka dianggap ngeyel Selain tak menerapkan protokol kesehatan di tengah ancaman COVID mereka juga melanggar jam malam yang khusus malam ini hingga pukul WIBSejumlah mobil pemadam kebakaran milik Pemkab Garut menembus kerumunan untuk membubarkan massa Sejumlah petugas gabungan terpantau memberikan penjelasan dan memohon masyarakat untuk kembali pulang Yang sebelah sana Ahmad Yani sudah tertib Kami mohon pulang kembali ke rumah ucap salah seorang petugas saat memberikan imbauan bbn bbn takbiran malam takbiran virus corona covid lebaran idul fitri garut 
"Usai Kebanjiran, Gen Halilintar Beres-beres Rumah Isolasi di Malaysia", Jakarta Usai banjir yang menerjang rumah isolasi di Malaysia surut Keluarga Gen Halilintar mulai berbenah dan mengumpulkan barang barang yang masih bisa diselamatkan dari bencana tersebut Dalam video yang diunggahnya di YouTube channel mereka keluarga tersebut terlihat kompak membersihkan rumah tersebut dari sisa sisa lumpur dan mengumpulkan barang barang yang masih bisa diselamatkan Simak Video Dear Gen Halilintar Nagaswara Mau Maafin Nih Asalkan Gambas Video detik ass wes gen halilintar rumah gen halilintar banjir rumah gen halilintar di malaysia Photo Gallery celeb Pembelaan Gen Halilintar soal Cover Lagi Syantik celeb Pembelaan Gen Halilintar soal Cover Lagi Syantik celeb Pembelaan Gen Halilintar soal Cover Lagi Syantik celeb Pembelaan Gen Halilintar soal Cover Lagi Syantik celeb Pembelaan Gen Halilintar soal Cover Lagi Syantik celeb Pembelaan Gen Halilintar soal Cover Lagi Syantik celeb Pembelaan Gen Halilintar soal Cover Lagi Syantik celeb Seleb Seleb yang Dituding Pakai Produk KW celeb Seleb Seleb yang Dituding Pakai Produk KW celeb Seleb Seleb yang Dituding Pakai Produk KW celeb Seleb Seleb yang Dituding Pakai Produk KW celeb Seleb Seleb yang Dituding Pakai Produk KW celeb Seleb Seleb yang Dituding Pakai Produk KW celeb Seleb Seleb yang Dituding Pakai Produk KW 
