title,content
"Tega Banget, Siapa yang Curi Duit Rp 45 Ribu Milik Mbah Hawati?", Surabaya Mbah Hawati kaget saat melihat uang Rp ribu yang ada di gerobak dagangnya hilang Yang tersisa hanyalah selembar uang Rp ribuan Padahal uang itu adalah hasil kerja kerasnya berjualan seharian Siapa yang mencurinya Tega banget Peristiwa itu dialami Mbah Hawati pada Selasa di halaman sebuah masjid di kawasan Dinoyo Saat itu nenek tahun tersebut sedang salat Zuhur Dalam rekaman CCTV masjid terlihat ada seseorang berbaju biru mendekati gerobak Mbah Hawati dan mengambil uang yang ada di atas gerobak Pas selesai salat tak cek di laci kok gak ada Tinggal dua ribuan Yo wis lah ujar Mbah Hawati kepada detikcom di rumahnya di Jalan Upajiwa Gang nomor Kamis Selanjutnya Halaman birojatim round up mbah hawati penjual gorengan viral 
"Jangan Sampai Salah, Ada 4 Tanaman Mirip Porang, Apa Saja?", Madiun Budidaya tanaman porang saat ini memang lagi diminati dan menjadi incaran para buyer Namun anda harus jeli untuk memilih bibit tanaman porang yang sebenarnya Ternyata ada empat jenis tanaman yang sangat menyerupai porang dari bentuk daun dan batang Ada empat jenis tanaman ini sangat menyerupai kalau tidak jeli bisa salah pilih jenis porang Jadi ini juga imbauan untuk petani pemula terang petani porang Karno kepada detikcom di perkebunan Porang Desa Sumberbendo Kecamatan Saradan Madiun Sabtu Keempat jenis tanaman lain yang sangat mirip dengan porang kata Karno yakni suweg iles iles walur dan blodor Keempat tanaman itu lanjut Karno sama dengan porang yakni tumbuhan liar di hutan iwd iwd porang tanaman porang gunung pandan birojatim 
"Bibit Porang Mahal, Tapi Petani di Gunung Pandan Tak Khawatir Kecurian", Madiun Meningkatnya popularitas tanaman porang membuat harga bibitnya melambung Meski porang tumbuh dengan pola liar namun petani di Gunung Pandan di Desa Sumberbendo Kecamatan Saradan mengaku aman dari pencurian Petani desa setempat telah membuat kesepakatan peraturan lewat kelompok tani dengan memberikan sanksi bagi pencuri yang terbukti Dalam sanksi yang disepakati oleh anggota kelompok tani yakni dikenakan denda Rp juta jika terbukti melakukan pencurian setiap kg Semenjak dibuat peraturan itu kata Karno petani tidak khawatir akan ada yang mencuri tanaman porang mereka Sehingga para petani leluasa tanpa harus menunggui kebun di hutan lahan perhutani iwd iwd porang tanaman porang gunung pandan birojatim 
"Bobol Kontrakan, Pencuri HP Bermodal Obeng di Depok Ditangkap Polisi", Jakarta Polisi menangkap seorang sopir angkot bernama Yogi pelaku pencurian handphone di Sukmajaya Depok Yogi melakukan pencurian dengan membobol kontrakan menggunakan obeng Kasubag Humas Polres Metro Depok AKP Firdaus mengatakan kejadian pencurian ini terjadi di sebuah rumah kontrakan di kawasan Sukmajaya Depok pada Kamis pukul WIB Pelaku sebut Firdaus melakukan aksinya dengan membobol engsel pintu kontrakan Pelaku masuk ke rumah korban dengan cara merusak pintu engsel bagian bawah menggunakan obeng kata Firdaus dalam keterangannya Jumat Firdaus menyebut korban baru sadar telah kecurian setelah diberitahu oleh saksi bahwa pintu kontrakan korban rusak Sebanyak dua handphone sebutnya juga hilang maa mea pencurian pencurian hp polresta depok depok 
"Viral Pencurian Lampu-Gagang Pintu di Medan, Polisi Turun Tangan", Medan Beredar dua video viral yang menunjukkan dugaan pencurian bola lampu dan gagang pintu di Medan Polisi menyatakan bakal turun tangan Video viral yang pertama menunjukkan aksi seorang pria yang diduga mencuri gagang pintu Dalam rekaman video berdurasi detik itu tampak ada pria yang berdiri di teras salah satu rumah Pria itu kemudian tampak mendekat ke pintu Dia terlihat membongkar gagang pintu dan kemudian pergi membawa gagang pintu tersebut Peristiwa itu disebut terjadi di Jalan Sutrisno Medan Kamis pukul WIB Selanjutnya Halaman medan biromedan sumut viral pencurian 
"Angka Kriminalitas di Lamongan Turun 33, 33 Persen", Lamongan Angka kriminalitas di wilayah hukum Polres Lamongan turun kasus atau persen jika dibandingkan Pada ada kasus yang ditangani tahun ini turun menjadi kasus Kapolres Lamongan AKBP Feby DP Hutagalung mengatakan realitas di lapangan memang menunjukkan kasus kriminalitas turun dari kasus menjadi kasus Turunnya angka kriminal itu dimungkinkan karena tindak pidana yang kecil kecil seperti kecurian HP yang tidak dilaporkan atau memang realitasnya kasus kriminal di Lamongan menurun Menurunnya angka kriminalitas di wilayah hukum Lamongan ini juga sebagai bukti anggota Polres Lamongan bekerja ekstra sehingga mampu menekan angka kriminalitas tandas Kapolres saat rilis akhir tahun kepada wartawan di Mapolres Lamongan Selasa Kapolres mengatakan jumlah kriminalitas pada yang dapat diselesaikan sebanyak perkara sedangkan pada sebanyak kasus dan yang bisa terselesaikan sebanyak perkara fat fat birojatim polres lamongan anev 
"Tas Fotografer NatGeo Hilang di Bandara Bali, Foto Ratusan Spesies Ikut Raib", Denpasar Seorang fotografer National Geographic Joel Sartore kecurian tas di Bandara I Gusti Ngurah Rai Bali Hard disk berisi ratusan spesies yang telah dipotret ikut hilang Joel Sartore adalah inisiator Photo Ark proyek foto yang mendokumentasikan spesies spesies Indonesia Selama di Indonesia Joel Sartore didampingi oleh tim dari ASA Film Dia lalu menunjuk ASA Film untuk memberi penjelasan Berdasarkan keterangan tertulis dari ASA Film Senin Joel Sartore sedang berada di Indonesia untuk memotret ratusan burung langka dan spesies lainnya Setelah berkeliling Indonesia dia transit di Bandara Internasional Ngurah Rai selama beberapa jam untuk kembali ke Amerika Serikat Dalam rentang waktu itu Joel Sartore dan rekannya makan di luar pintu masuk keberangkatan internasional Dia meletakkan tas di atas troli yang hanya berjarak langkah imk fdn joel sartore national geographic bandara i gusti ngurah rai pencurian 
"KUA Siman Ponorogo Dibobol Maling, 200 Pasang Buku Nikah Dicuri", Ponorogo KUA Siman Ponorogo dibobol maling Tak tanggung tanggung barang yang diambil adalah pasang buku nikah baru buku nikah duplikat dan buah laptop Kepala KUA Siman Rusmawardi mengatakan awalnya petugas kebersihan kaget melihat ruangannya berantakan Kemudian dicek di CCTV kejadiannya sekitar pukul hingga WIB ada satu pencuri masuk ke kantor Ada di rekaman CCTV yang dicuri ada buku nikah baru buku nikah duplikat dan buah laptop kata Rusmawardi kepada detikcom saat ditemui di kantornya Jalan Raya Siman Kecamatan Siman Kamis Rusmawardi menambahkan dilihat dari rekaman CCTV ada satu pencuri masuk lewat jendela di ruangan Kepala KUA Pencuri tersebut mencongkel laci meja kantor dan mengambil buku nikah Buku nikah memang ada di ruangan saya Kalau diletakkan di brangkas tidak muat ujar Rusmawardi fat fat birojatim kua siman ponorogo kemenag jatim 
Remaja di Bone Curi Duit Tetangga Rp 3 Juta buat Beli Sabu, Makassar Remaja tahun berinisial SM di Bone Sulsel ditangkap karena mencuri uang senilai Rp juta di rumah tetangganya Sebagian uang hasil curian digunakan SM untuk membeli narkoba Pengakuannya Rp ribu digunakan membeli narkoba jenis sabu sabu ujar juru bicara Polres Bone Brigadir Rosnaeni saat dimintai konfirmasi Rabu SM disebut polisi beraksi bersama dua orang rekannya AL dan FT yang hingga kini masih diburu polisi Ketiga pelaku datang ke rumah sekaligus toko barang campuran korban di Jl Urip Sumoharjo Selasa sekitar pukul Wita Selanjutnya Halaman narkoba biromakassar sabu 
Aturan IMEI Bikin Ponsel Curian Jadi 'Batu Bata', Jakarta Pemerintah melalui tiga kementerian telah menekan aturan validasi International Mobile Equipment Identity IMEI yang akan memblokir ponsel black market BM di Indonesia Tak hanya soal itu bagi kalian yang kehilangan ponsel atau dicuri bisa memanfaatkan regulasi ini Seperti yang tertera pada Peraturan Menteri Permen Kominfo nomor tahun tentang Pengendalian Alat Dan Atau Perangkat Telekomunikasi yang Tersambung ke Jaringan Bergerak Seluler Melalui Identifikasi International Mobile Equipment Identity tepatnya di dua ayat pada pasal Begini bunyi pasal tersebut Pengguna dapat mengajukan permohonan kepada pengelola Sistem Pengelolaan IMEI Nasional melalui Penyelenggara agar IMEI Alat dan atau Perangkat Telekomunikasi yang dilaporkan hilang dan atau dicuri untuk dimasukkan ke dalam Daftar Hitam Dalam hal Alat dan atau Perangkat Telekomunikasi yang dilaporkan hilang dan atau dicuri telah ditemukan kembali maka Pengguna dapat mengajukan permohonan kepada pengelola Sistem Pengelolaan IMEI Nasional melalui Penyelenggara untuk mengeluarkan IMEI dari Daftar Hitam Simak Video Begini Cara Beli HP di Luar Negeri Agar Tak Diblokir Gambas Video detik agt fay aturan imei imei ponsel ponsel bm ponsel dicuri ponsel hilang 
