title,content
"Kebakaran Rumah di Cilincing Jakut, Diduga Korsleting Listrik", Jakarta Kebakaran sebuah rumah terjadi di Cilincing Jakarta Utara Jakut Api diduga berasal dari korsleting listrik Yang terbakar rumah satu rumah kerugian Rp juta kata Operator SCC Damkar Jakut Subarlan saat dihubungi Minggu Pemadam sudah selesai mobil armada diterjunkan ujar Subarlan rfs maa kebakaran jakarta utara cilincing 
"Gudang di Koja Jakut Terbakar, Diduga Akibat Korsleting Listrik", Jakarta Sebuah gudang di Jakarta Utara Jakut terbakar Kebakaran diduga terjadi karena korsleting listrik Dugaan kebakaran sebab arus pendek listrik kata Kepala Suku Dinas Penanggulangan Kebakaran dan Penyelamatan Jakarta Utara Rahmat Kristantio dalam keterangannya Minggu Rahmat mengatakan sebanyak unit mobil damkar diturunkan untuk memadamkan api Api pun berhasil dipadamkan sekitar pukul WIB elz elz kebakaran kebakaran gudang jakarta utara 
Rumah Panggung di Surade Sukabumi Ludes Terbakar, Sukabumi Sebuah rumah panggung di Surade Kabupaten Sukabumi ludes dilalap api Jumat malam Seluruh penghuni berhasil menyelamatkan diri sebelum api membesar Informasi dihimpun peristiwa itu bermula saat salah seorang penghuni rumah terbangun setelah melihat api yang ternyata berasal dari tengah rumah Ia kemudian berteriak minta tolong Sekitar pukul WIB pada saat itu saksi terbangun tidur karena melihat api sudah membesar bersumber di bagian tengah rumah Kemudian saksi spontan berteriak meminta pertolongan warga sekitar kata Kepala Bidang Rehabilitasi dan Rekonstruksi BPBD Kabupaten Sukabumi Anita Mulyani Sabtu sya bbn kebakaran kebakaran di sukabumi sukabumi 
Cara Aman Simpan Hand Sanitizer Agar Tak Jadi Pemicu Kebakaran di Mobil, Jakarta Cairan pembersih tangan atau hand sanitizer bisa menjadi pemicu terjadinya kebakaran mobil Ini terjadi karena cairan hand sanitizer terbuat dari alkohol yang mudah terbakar Dijelaskan Service Manager Auto Cilandak Suparna ada cara aman menyimpan hand sanitizer dalam mobil agar tak jadi pemicu kebakaran Yang terpenting botol tertutup rapat dan tidak bocor Kalau kita menyimpan hand sanitizer dalam kondisi tertutup rapat dan isinya tidak terlalu penuh itu pasti sangat sangat aman kata Suparna melalui pesan singkat kepada detikOto Jumat Gambas Video detik lua din hand sanitizer kebakaran mobil tips mobil 
"Hati-hati, Tinggalkan Hand Sanitizer di dalam Mobil Bisa Picu Kebakaran", Jakarta Di masa pandemi virus Corona hand sanitizer jadi perlengkapan yang wajib dibawa Meski fungsinya penting untuk membunuh bakteri dan kuman di tangan hand sanitizer ternyata juga bisa menimbulkan bahaya Misalnya saat hand sanitizer ditinggalkan di dalam mobil itu bisa menyebabkan risiko kebakaran mobil Kok bisa Organisasi Pemadam Kebakaran Western Lake di Wisconsin Amerika Serikat AS memberi peringatan kepada banyak orang tentang bahaya meninggalkan hand sanitizer di dalam kendaraan ketika cuaca panas Dalam catatan di Facebook nya Kamis agensi keselamatan itu menampilkan gambar sebuah pintu mobil yang terbakar karena hand sanitizer Dijelaskan bahwa beberapa waktu lalu telah terjadi kebakaran karena pengendara meninggalkan hand sanitizer dalam kendaraan Disebutkan jika hand sanitizer sebagian besar terbuat dari cairan berbasis alkohol yang sangat mudah terbakar Gambas Video detik lua din hand sanitizer kebakaran mobil 
"2 Rumah di Leuwisadeng Bogor Terbakar, 1 Orang Terluka", Bogor Terjadi kebakaran di Leuwisadeng Kabupaten Bogor Jawa Barat Dua rumah hangus terbakar akibat kejadian ini Hanya dua rumah terbakar kata Kepala Damkar Sektor Leuwiliang Ade Sukmayadi saat dimintai konfirmasi Kamis Api kemudian membesar dan menyambar ke rumah tetangga Junaedi Ade mengungkapkan Junaedi mengalami luka bakar di tangan dan punggung akibat kejadian itu Korban pun dibawa ke RSUD Leuwiliang untuk diberikan pengobatan Sementara tetangga korban berhasil menyelamatkan diri Tapi luka bakarnya nggak terlalu parah sih hanya persenan Dugaan Junaedi terkena luka bakar karena mau coba menyelamatkan barangnya barang berharga lanjutnya mae mae kabupaten bogor kebakaran 
"SMP 7 Pekanbaru Kebakaran Semalam, 11 Ruangan Ludes Terbakar", Pekanbaru Kebakaran terjadi di SMP Negeri Pekanbaru diduga akibat korsleting listrik Tidak ada korban jiwa dalam peristiwa ini Diduga korsleting listrik ini berasal dari ruangan lobby bagian tengah di sekolah tersebut Api dengan cepat menyambar ke ruangan lainnya Tercatat ada ruangan sekolah yang hangus terbakar kata Humas Polresta Pekanbaru Ipda Budhia Dianda kepada wartawan Rabu Penjaga sekolah berusaha melakukan pemadaman dengan racun api sembari berusaha menghubungi pihak kepala sekolah Namun api terus menyambar ke ruangan lainnya kata Budhia cha elz kebakaran smpn pekanbaru pekanbaru biromedan 
Video Detik-detik Motor Terbakar Saat Isi Bensin di SPBU Polman, Jakarta Sebuah sepeda motor tiba tiba terbakar saat tengah mengisi BBM di SPBU Jalan Haji Andi Depu Polewali Mandar pada Selasa malam Insiden ini memicu kepanikan sejumlah pengendara lainnya Tidak ada korban jiwa dalam insiden ini Aktivitas di SPBU juga berangsur normal usai kejadian Diduga penyebabnya adalah korsleting listrik pada motor Gambas Video detik rhm rhm motor terbakar 
"Mobil Kamu Tiba-tiba Terbakar di Jalan? Jangan Panik, Ini yang Perlu Dilakukan", Jakarta Peristiwa mobil terbakar sering kali terjadi Banyak faktor yang menjadi penyebab mobil terbakar salah satunya korsleting seperti yang diduga menjadi penyebab terbakarnya Toyota Vellfire di Pondok Indah kemarin Saat mobil terbakar ada beberapa hal yang perlu dilakukan pengendara seperti dilansir Zing Yang pertama kenali tanda tanda mobil terbakar Nyala api sering tercetus di lokasi yang tidak dapat terlihat misalnya di bawah kap mesin Perhatikan beberapa tanda mobil terbakar seperti penurunan cepat sisa bahan bakar peningkatan suhu mesin sistem knalpot dengan suara aneh atau ada ledakan kabin berbau hangus tercium bau karet atau plastik terbakar atau terlihat asap Gambas Video detik rgr din tips mobil mobil terbakar 
Tragis! Lima Pasien COVID-19 Tewas Akibat Kebakaran di Rumah Sakit Rusia, Moskow Sebanyak lima pasien Covid meninggal dunia di St Petersburg Rusia setelah rumah sakit tempat mereka dirawat dilalap api Kebakaran yang menghanguskan ruang perawatan intensif tersebut tampaknya dipicu oleh korsleting pada unit ventilator sebagaimana dilaporkan sejumlah kantor berita Rusia Api telah dipadamkan dan sebanyak orang sudah dievakuasi dari rumah sakit sebut kementerian penanganan keadaan darurat Rusia Belum jelas berapa orang yang mengalami cedera Virus corona Perdana Menteri Rusia positif Covid Sempat bebas kasus lebih dari sebulan China laporkan kasus baru Covid Lonjakan puluhan kasus baru Covid muncul terkait kelab malam Seoul setelah Korsel catat penularan lokal nihil Sebelumnya Presiden Rusia Vladimir Putin mengatakan karantina wilayah atau lockdown akan dilonggarkan dan aktivitas bisnis akan kembali berfungsi mulai Selasa Dia mengatakan periode tidak bekerja di seluruh wilayah Rusia sudah diterapkan selama enam minggu demi mengekang penyebaran virus Pelonggaran pembatasan akan memengaruhi semua sektor ekonomi kata Putin tetapi beberapa daerah kemungkinan akan mempertahankan kontrol lebih ketat apabila diperlukan Rusia saat ini memiliki jumlah kasus virus corona yang terbanyak keempat di dunia Dalam jam terakhir Rusia mencatat rekor kenaikan harian tertinggi yaitu kasus sehingga total resmi kasus virus corona di negara menjadi Hal itu berarti Rusia sekarang memiliki lebih banyak kasus yang terkonfirmasi ketimbang Italia Hanya Amerika Serikat AS Spanyol dan Inggris yang melaporkan lebih banyak kasus infeksi Namun demikian perbandingan antar negara tidak selalu akurat karena berbagai faktor seperti tingkat pengujian yang tidak selalu sama Menurut angka resmi orang di Rusia telah meninggal akibat virus corona Tetapi sejumlah kalangan mempertanyakan angka itu terlalu rendah dan diyakini angka kematian jauh lebih tinggi Apa yang dikatakan Presiden Putin Dalam pidato yang disiarkan televisi pemimpin Rusia itu mengumumkan berakhirnya pembatasan selama enam minggu di seluruh negara yang disebutnya memungkinkan negara itu mempersiapkan sistem kesehatan dan mampu menyelamatkan ribuan jiwa Mulai besok Selasa Mei periode hari hari tidak bekerja secara nasional akan diakhiri untuk semua sektor ekonomi kata Putin Namun masing masing wilayah dapat mempertahankan kebijakan pengetatan apabila diperlukan Acara acara yang melibatkan banyak orang tetap dilarang dan masyarakat masih harus mengikuti aturan sanitasi yang ketat tetapi kepentingan semua orang agar kehidupan ekonomi kembali normal dengan cepat kata Putin seraya menambahkan bahwa sektor konstruksi dan pertanian harus menjadi salah satu sektor industri pertama yang kembali dibuka Namun demikian wabah itu masih jauh dari selesai demikian dia memperingatkan dengan mengatakan bahwa bahaya masih tetap mengintai Kita tidak boleh membiarkan gelombang baru epidemi dan tumbuh menjadi komplikasi yang serius katanya Keputusan itu diumumkan hanya beberapa hari setelah Wali Kota Moskow Sergei Sobyanin memperpanjang karantina wilayah ibu kota sampai Mei Kendati para pekerja konstruksi dan industri kini harus kembali bekerja di kota setiap orang harus mengenakan masker dan sarung tangan di toko toko dan angkutan umum Warga masih tidak dapat meninggalkan rumah kecuali untuk berbelanja bekerja atau berjalan jalan dengan anjing dan harus memiliki izin untuk bepergian Ibu kota Moskow merupakan pusat penyebaran wabah di Rusia di mana kasus di kota itu merupakan lebih dari setengah dari total jumlah kasus secara keseluruhan dan kematian resmi negara yang dikonfirmasi Namun Wali kota Moskow Sobyanin memperkirakan bahwa di wilayahnya kemungkinan memiliki lebih dari kasus infeksi sekitar tiga kali jumlah yang dikonfirmasi dari Selama akhir pekan Rusia terpaksa membatalkan Pawai Hari Kemenangan Dunia II yang digelar tiap tahun karena wabah virus corona ita ita bbc world virus corona rusia 
