title,content
Matahari Lockdown Disebut Bisa Mengubah Bumi dan Bencana Alam, Jakarta Matahari yang sedang dalam fase lockdown pada saat ini diprediksi bisa memicu fenomena alam di bumi Ahli mengatakan penurunan aktivitas matahari berpotensi mengakibatkan kejadian bencana seperti periode Minimum Dalton pada abad Ahli menjelaskan fase lockdown menunjukkan aktivitas matahari berkurang drastis yang biasa disebut periode solar minimum Hal itu ditandai menghilangnya bintik bintik matahari Gambas Video detik ddn ddn matahari matahari lockdown 
"Di Tengah Masa PSBB, Geng Motor Bentrok di Garut", Garut Di tengah masa PSBB dua berandalan bermotor di Garut diduga terlibat bentrok Sabtu malam kemarin Video bentrokan jadi perbincangan setelah tersebar via WhatsApp Berdasarkan penelusuran terdapat sejumlah video terkait bentrokan dua kelompok geng motor tersebut yang beredar Dalam salah satu video terlihat para berandalan yang menggunakan puluhan sepeda motor memadati sekitaran kawasan pusat kota Di tengah tengah video terlihat ada yang baku hantam Beberapa di antaranya terlihat memakai atribut seperti kaus dan jaket berwarna biru kuning yang identik dengan simbol salah satu geng motor Ada juga yang membawa bendera warna tersebut mud mud geng motor bentrok garut psbb garut pandemi corona 
"Bacok Polisi, 23 Pelaku Tawuran di Jakbar Ditangkap Polisi", Jakarta Polisi bergerak cepat menangkap pelaku tawuran di Kawasan Jakarta Barat yang sempat melukai seorang polisi Dua pelaku lainnya yang melukai polisi masih buron Pelaku yang diamankan total ada orang orang di antaranya warga Duri Selatan Tambora Jakarta Barat dan orang lainnya warga Duri Pulo Gambir Jakarta Pusat kata Kapolsek Tambora Kompol Iver son Monossoh dalam keterangannya Kamis Peristiwa tawuran tersebut terjadi di perbatasan Setia kawan Gambir Jakarta Pusat dengan Duri Selatan Tambora Jakarta Barat pada Selasa sekitar pukul WIB Saat itu Tim Buser Polsek Tambora bergerak dan berupaya membubarkan tawuran yang sudah terjadi tersebut Tiba di TKP benar sedang terjadi aksi tawuran antara kedua kelompok maka Tim Buser yang ada TKP berusaha membubarkan kedua kelompok pemuda yang saling lempar batu lempar botol dan panah terlihat juga saling mengarahkan letusan mercon di antara kedua kelompok ucap Iver Son Selanjutnya Halaman jakarta barat tawuran tambora 
Ini Bukti Mars Bukan Planet 'Mati', Jakarta Jika bicara soal Planet Mars yang dipikirkan kebanyakan orang adalah planet tandus dan mati Ternyata temuan terbaru menjadi bukti bahwa Mars masih aktif secara vulkanik dan geologis Ialah meteorit yang terbentuk jauh di dalam perut Mars baru saja memberikan bukti kimiawi yang kuat tentang konveksi magma di dalam mantel Mars demikian dilansir dari Science Alert Kristal Olivin dalam meteorit Tissint yang jatuh ke bumi pada tahun hanya bisa terbentuk dalam perubahan suhu dalam arus konveksi magma Itu menunjukkan Planet Merah ini aktif secara vulkanik ketika kristal terbentuk sekitar hingga juta tahun yang lalu dan masih jadi untuk saat ini Tidak ada bukti konveksi sebelumnya di Mars Ini adalah studi pertama yang membuktikan aktivitas di interior Mars dari sudut pandang kimia murni pada sampel Mars nyata jelas ahli geologi planet Nicola Mari dari University of Glasgow Olivin silikat besi magnesium tidaklah langka Itu adalah bentuk kristal dari magma yang mendingin dan itu sangat umum di mantel bumi bahkan kelompok olivin mendominasi mantel Bumi Di permukaan Bumi Olivin ditemukan di batuan beku Simak Video Helikopter Pertama Akan Diterbangkan di Mars Gambas Video detik ask afr planet mars penjelajahan planet mars aktivitas vulkanik nasa gempa di mars meteorit 
"Tembak Mati Pemuda Kulit Hitam, Eks Polisi AS dan Anaknya Ditahan", Georgia Ayah dan anak dari satu keluarga ditahan di negara bagian Georgia Amerika Serikat dengan tuduhan menembak sampai mati Ahmaud Arbery seorang pemuda Afrika Amerika tak bersenjata yang sedang berolahraga di sebuah kawasan perumahan Gregory McMichael dan Travis McMichael ditahan dan dibawa ke Biro Penyelidik Negara Bagian Georgia Mereka dituduh melakukan pembunuhan dan penyerangan demikian kata pihak berwenang setelah penahanan pada Kamis Peristiwanya terjadi tanggal Februari baru terungkap minggu ini lewat video yang menyiarkan kejadiannya Rekaman video ini menimbulkan gelombang protes menuntut keadilan terutama setelah diketahui bahwa tiada tindakan hukum apapun dilakukan terhadap para pelaku ayah dan anak berkulit putih itu Dua penembakan massal di Amerika Serikat tewaskan setidaknya orang Penembakan masjid di Norwegia dikategorikan sebagai kemungkinan aksi terorisme Egg Boy sumbang hampir Rp miliar untuk para penyintas penembakan masjid di Selandia BaruBagaimana ini bisa terjadi Kematian ArberyAhmaud Arbery tahun sedang joging di kawasan pemukiman kota pantai Brunswick ketika didekati oleh para tersangka sore tanggal Februari Dari laporan polisi Gregory McMichael seorang bekas polisi mengatakan ia melihat Arbery dan menyangkanya mirip dengan tersangka serangkaian perampokan rumah Gregory dan anaknya lalu mengambil senjata dan mengejarnya dengan mobil truk mereka Di laporan Gregory mengatakan ia dan anaknya meminta Arbery berhenti karena ingin bicara dengannya lalu anak muda itu menyerang Travis Masih menurut versi Gregory terjadi tembakan dan Arbery jatuh Ayah Arbery Wanda Cooper Jones menjelaskan bahwa polisi mengatakan kepadanya anaknya terlibat perampokan sebelum peristiwa itu Wanda dan keluarga tak percaya bahwa anaknya yang senang joging itu terlibat kejahatan Lagipula anaknya tak bersenjata Sebagaimana dilaporkan jaringan TV CBS saat konfrontasi terjadi beberapa telepon panggilan darurat dilaporkan terjadi Salah satunya seorang warga mengaku ia melihat seorang pria kulit hitam berada di dekat rumah yang sedang dibangun Ketika ditanya apa yang dilakukan si pria penelepon itu bilang ia berlari di jalan Video yang menentukan Gambar yang direkam oleh seorang warga lain memperlihatkan ayah dan anak McMichael menunggu Arbery yang berlari ke arah mereka di hari yang terang Dalam video detik yang direkam dari sebuah kendaraan yang berada di belakang mobil truk terlihat seorang pria joging mendekati truk dari belakang Pria ini berusaha memutar dan terlihat bersitegang dengan seorang pria yang membawa senapan Lalu terjadi teriakan dan suara letusan senapan terdengar Ada pria kedua berdiri di bak truk Pria ini lalu terlihat membawa senapan di sebelah pria pertama Lalu Arbery menghilang dari gambar Biro penyelidik menyatakan ayah dan anak ini mengkonfrontir Arbery dengan dua senapan terpisah dan si anak yang menembak Arbery Duka keluargaAyah korban mengatakan kepada program PBS Newshour bahwa anaknya biasanya berolahraga di daerah itu setiap hari dan ia tinggal di rumah ibunya di dekat situ Saya tak tahu kenapa mereka mengeluarkan prasangka rasial kepadanya dan membunuhnya seperti itu Yang ia lakukan hanya berolahraga untuk menyehatkan badannya sendiri karena ia punya cita cita yang ia kejar kata Marcus Arbery Kini mimpinya musnah Mereka membunuhnya dengan sia sia Sehubungan dengan sangkaan anaknya terlibat dalam perampokan Marcus Arbery mengatakan itu bohong Video itu bicara sendiri katanya Lihat eksekusi yang mereka lakukan Pengacara keluarga Benjamin Crump mengatakan rekaman video itu memperlihatkan eksekusi yang mengerikan Crump menyatakan bahwa Gregory McMichael tidak ditindak karena ia pernah bekerja sebagai polisi dan detektif di kejaksaan lebih dari tahun Kemurkaan dan protes Sebelum video itu disiarkan Kejaksaan Brunswick mengatakan tiada alasan untuk menahan ayah dan anak McMichael Mereka bersembunyi bahwa tindakan mereka itu sesuai dengan hukum yaitu penangkapan oleh warga negara yang berlaku di Georgia Menurut hukum ini warga negara bisa bertindak jika mereka menjadi saksi atau mengetahui dengan pasti sebuah kejahatan dilakukan oleh seseorang yang dicurigai Menurut pengacara sipil kasus Ahmaud Arbery tidak cocok dengan aturan ini Sesudah video ini disiarkan banyak suara yang menyerukan agar tindakan dilakukan kepada ayah dan anak ini Lebih dari orang ikut serta dalam protes di kota kecil itu Selasa malam dan puluhan ribu orang menandatangani petisi dalam beberapa jam menuntut keadilan untuk Ahmaud serta pengunduran diri Kepala Kejaksaan George Barnhill Bekas Wakil Presiden dan calon presiden Partai Demokrat Joe Biden bercuit di Twitter Video ini jelas Ahmaud Arbery dibunuh dengan darah dingin Hati saya bersama keluarga yang berhak atas keadilan saat ini juga Tiba saatnya untuk membuat penyelidikan yang transparan dan menyeluruh terhadap pembunuhan ini Sedangkan Gubernur Negara Bagian Georgia Brian Kemp bercuit bahwa warga Georgia berhak mendapat jawaban nvc nvc bbc world bbc penembakan di amerika amerika serikat 
Aksi Pembunuhan di Chicago Tetap Marak Meski Ada Lockdown Corona, Chicago Sejumlah negara bagian di Amerika Serikat AS memberlakukan lockdown untuk mengendalikan penyebaran virus Corona Namun lockdown tak membuat aksi kejahatan pembunuhan di kota Chicago Illinois mereda Seperti dilansir AFP Jumat jalan jalan di Chicago tampak sepi karena penduduk tetap di rumah selama wabah Corona Namun di beberapa lingkungan kota paling miskin masih bergema suara letusan senjata api Selanjutnya Halaman corona chicago illinois virus corona di amerika serikat covid lockdown 
BMKG Jelaskan Panduan Evakuasi Darurat Tsunami di Masa Pandemi COVID-19, Jakarta BMKG menjelaskan panduan evakuasi darurat peringatan dini tsunami di masa pandemi COVID BMKG meminta agar masyarakat tetap memperhatikan protokol kesehatan pencegahan penyebaran COVID misalnya dengan tetap menjaga jarak Dalam melakukan evakuasi mandiri sebisa mungkin masyarakat tetap memperhatikan jaga jarak fisik menggunakan masker dan harus mengikuti kebijakan Pembatasan Sosial Berskala Besar PSBB di daerah masing masing khususnya bagi daerah yang menerapkan PSBB kata Kepala Pusat Gempa Bumi dan Tsunami BMKG Rachmat Triyono dalam keterangannya yang disampaikan di Twitter infohumasBMKG Jumat Pada saat merespon bencana alam orang akan cenderung berada dalam jarak yang berdekatan baik dikarenakan tempat yang terbatas misalnya di tempat evakuasi Di masa pandemi COVID tentu akan menjadi tantangan tersendiri bila melakukan evakuasi di mana orang harus menjaga jarak Selanjutnya Halaman tsunami gempa bmkg cooronavirus covid 
Siapa Pelaku Penembakan 2 Warga di Sleman?, Sleman Dua orang warga Dusun Ngelo Desa Sukoharjo Kecamatan Ngaglik Sleman menjadi korban penembakan Diduga pelakunya merupakan pencuri yang sedang dikejar oleh warga Polisi pun mencari jenis senjata dan siapa pemiliknya Kapolsek Ngaglik Kompol Tri Adi Hari Sulistia membenarkan kejadian penembakan yang mengakibatkan dua warga terluka Diduga pelaku merupakan pencuri yang dikejar oleh warga Iya benar ada kejadian penembakan Dugaannya dilakukan oleh pencuri yang sedang dikejar warga ungkap Tri Adi saat dihubungi wartawan Senin Korban penembakan diketahui bernama Bimo Kurniawan dan Haryadi Keduanya mengalami luka tembak di bagian tangan dan kaki Keduanya mengalami luka tembak masing masing satu kali Satu korban terkena luka di sela sela jari tangan dan satu lagi luka tembak tembus di bagian kaki ungkapnya Selanjutnya Halaman sleman penembakan maling pencuri polsek ngaglik penembakan di sleman birojatengdiy round up 
Mega Insurance Jalin Kerja Sama dengan Hartono Elektronik, Jakarta Industri elektronik dan ponsel di Indonesia semakin berkembang dengan penggunaan barang elektronik dan ponsel di hampir seluruh kegiatan yang dilakukan sehari hari oleh masyarakat umum Mega Insurance melalui produk asuransi barang elektronik dan ponsel menjawab kebutuhan masyarakat untuk melindungi setiap barang elektronik dan ponsel Produk ini memiliki jaminan yang ditanggung yaitu sebagai berikut a Kebakaran ledakan petir kejatuhan pesawat terbang bahaya asap b Kerusuhan pemogokan huru hara c Gempa bumi letusan gurung berapi d Tsunami banjir topan dan badai e Kebongkaran pencurian yang disertai dengan kekerasan f Kejadian kecelakaan atau peristiwa yang tidak diharapkan dan tidak disengaja seperti terjatuh terbentur terlindas termasuk kerusakan karena air Mega Insurance bekerja sama dengan Hartono Elektronik sebagai salah satu perusahaan retail yang memasarkan produk elektronik dan ponsel terpercaya di Indonesia yang memiliki jalur pemasaran offline maupun online melalui aplikasi myhartono Kami ingin memastikan pelanggan Hartono hanya mendapatkan manfaat yang positif dari semua produk elektronik dan ponsel yang dibeli serta melepaskan segala kekhawatiran akan kualitas produk atau risiko dalam penggunaannya kepada Hartono dan Mega Insurance ungkap Presiden Direktur Hartono Elektronik Roy Soeprapto dalam keterangan tertulis Rabu Alternative Channel Division Head dari Mega Insurance Kurniawan menambahkan Mega Insurance sebagai mitra kerjasama dari Hartono Elektronik diharapkan mampu menjadi solusi atas resiko kerugian sesuai polis yang mungkin terjadi dan dialami oleh pelanggan Hartono Elektronik atas unit elektronik maupun ponselnya dengan proses klaim yang cepat dan memudahkan pelanggan Di tengah situasi saat ini pemerintah mengimbau masyarakat untuk tetap berada di rumah agar menghindari risiko penularan virus COVID maka belanja elektronik dan ponsel melalui aplikasi myhartono adalah solusi tepat Proses belanja elektronik dan ponsel dimudahkan juga dengan adanya personal assistant melalui WhatsApp myhartono Tidak perlu ragu membeli produk elektronik dan ponsel di hartono elektronik karena produk yang dijual bergaransi resmi dan Customer bisa mendapatkan proteksi tambahan dengan membeli asuransi elektronik dan ponsel untuk perlindungan dari Mega Insurance sehingga customer merasa aman dan nyaman Produk ini didaftarkan dengan nama Asuransi Risiko Barang Bergerak dan Asuransi Peralatan Elektronik PT Asuransi Umum Mega terdaftar dan diawasi oleh Otoritas Jasa Keuangan OJK UNtuk informasi lebih lanjut tentang Mega Insurance dapat dilihat di website resmi http www megainsurance co id prf ega mega insurance elektronik 
Sarajevo Punya Tradisi Menembak Meriam di Bulan Ramadhan, Sarajevo Memiliki mayoritas umat muslim Kota Sarajevo di Bosnia punya tradisi unik setiap bulan Ramadhan Ditandai dengan bunyi letusan meriam Setiap bulan Ramadhan negara negara yang memiliki mayoritas umat muslim punya tradisi menarik yang berbeda satu sama lain Salah satunya adalah di ibu kota Bosnia dan Herzegovina Sarajevo Seperti yang sudah sudah tradisi mulainya awal Ramadhan di Sarajevo kerap ditandai dengan dilepaskannya tembakan meriam di kota tersebut Dikumpulkan detikcom dari berbagai sumber Selasa tradisi itu pun kembali berkumandang pada hari Kamis malam pekan lalu seperti diberitakan Sarajevo Times Gambas Video detik rdy ddn sarajevo bosnia bosnia herzegovina traveler muslim ramadhan 
