title,content
BMKG Prediksi Medan dan Sekitarnya Diguyur Hujan Malam Ini, Medan Badan Meteorologi Klimatologi dan Geofisika BMKG memprediksi Kota Medan dan sekitarnya diguyur hujan nanti malam atau bertepatan dengan malam takbiran Idul Fitri H Hujan diperkirakan turun dengan intensitas sedang Berdasarkan data dari situs BMKG Sabtu hujan diperkirakan mengguyur Medan pada malam hingga dini hari nanti Suhu di Medan diperkirakan derajat Celsius Waspada hujan sedang hingga lebat yang disertai petir dan angin kencang di sebagian wilayah pegunungan lereng timur dan pantai timur Sumatera Utara yang dapat menyebabkan banjir longsor dan angin kencang tulis BMKG Sementara itu BMKG memperkirakan cuaca cerah bakal terjadi di seluruh wilayah Sumatera Utara pada Minggu pagi atau bertepatan dengan Idul Fitri H Namun hujan diperkirakan turun pada siang hingga malam hari haf haf biromedan prakiraan cuaca takbiran idul fitri idul fitri bmkg medan 
"OTT Pejabat UNJ, KPK Sita Uang USD 1.200 dan Rp 27,5 Juta", Jakarta KPK bersama Inspektorat Jenderal Itjen Kemendikbud melakukan operasi tangkap tangan OTT terhadap Kabag Kepegawaian UNJ Dwi Achmad Noor KPK mengamankan uang senilai USD dan Rp juta Kemudian diamankan Dwi Achmad Noor Kabag Kepegawaian UNJ beserta barang bukti berupa uang sebesar USD dan Rp kata Deputi Penindakan KPK Karyoto kepada wartawan Kamis Rektor UNJ sekitar tanggal Mei di duga telah meminta kepada Dekan Fakultas dan Lembaga di UNJ untuk mengumpulkan uang THR masing masing Rp juta melalui Dwi Achmad Noor sebutnya Pada tanggal Mei terkumpul uang sebesar Rp juta dari Fakultas Lembaga Penelitian dan Pascasarjana lanjutnya Selanjutnya Halaman ott kpk ott pejabat unj kemendikbud thr pungli 
KPK OTT Terkait Pungli di UNJ, Jakarta KPK bersama Inspektorat Jenderal Itjen Kemendikbud melakukan operasi tangkap tangan OTT di lingkungan Kemendikbud Dalam OTT itu KPK menangkap Kabag Kepegawaian UNJ Dwi Achmad Noor Benar pada hari Rabu tanggal Mei sekitar jam Wib KPK bekerjasama dengan Inspektorat Jenderal Itjen Kemendikbud telah melakukan kegiatan tangkap tangan di Kementerian Pendidikan dan Kebudayaan kata Deputi Penindakan KPK Karyoto kepada wartawan Kamis Kegiatan berawal dengan adanya bantuan dan informasi dari pihak Itjen Kemendikbud kepada KPK perihal dugaan akan adanya penyerahan sejumlah uang yang diduga dari pihak Rektor UNJ kepada pejabat di Kemendikbud ujarnya Selanjutnya tim KPK bersama dengan tim Itjen Kemendikbud menindaklanjuti informasi tersebut dan kemudian diamankan Dwi Achmad Noor Kabag Kepegawaian UNJ lanjut Karyoto Karyoto mengatakan KPK langsung melakukan pemeriksaan sejumlah pihak mulai dari Rektor UNJ Komarudin hingga sejumlah pejabat UNJ dan Kemendikbud Karyoto menyebut kini kasus itu dilimpahkan ke Polri Bahwa setelah dilakukan permintaan keterangan belum ditemukan unsur pelaku penyelenggara negara sehingga selanjutnya dengan mengingat kewenangan tugas pokok dan fungsi KPK maka KPK melalui unit Koordinasi dan Supervisi Penindakan menyerahkan kasus tersebut kepada Kepolisian RI untuk ditindaklanjuti sesuai ketentuan hukum tuturnya ibh lir ott kpk kemendikbud unj maladministrasi kepegawaian 
"Kali Ciliwung-Pesanggrahan Meluap, 16 RW di 5 Kelurahan DKI Terendam Banjir", Jakarta Banjir terjadi di sejumlah titik di Jakarta Akibatnya RW terkena dampak karena luapan Kali Ciliwung dan Pesanggrahan Update info banjir Mei pukul WIB RW tergenang kata Kapusdatin BPBD DKI M Insyaf melalui keterangannya Kamis Insyaf menuturkan beberapa orang telah mengevakuasi diri ke pos pengungsian Pos berada di kantor kelurahan Kampung Melayu Jakarta Timur Pos Pengungsian Kelurahan Kampung Melayu lokasi pengungsi di Kantor Kelurahan Kampung Melayu Pengungsi kartu keluarga KK jiwa tuturnya idn idn banjir jakarta kali ciliwung kali pesanggrahan 
"Geger 40 Orang di Pasar Antri Cimahi Positif Corona, Dinkes: Hoaks!", Cimahi Warga Kota Cimahi digegerkan dengan informasi yang menyebutkan ada orang yang positif terpapar COVID di Pasar Antri Pemkot sebut informasi tersebut hoaks Informasi tersebut tersebar melalui media sosial WhatsApp Group Dalam pesan yang tersebar itu menyebutkan ada sejumlah warga di yang dinyatakan positif Corona Ass ka rekan nu aya di group iyeu kepada rekan rekan yang ada di group ini hindari ke pasar antri ada hasil rapid test masal kepada orang dengan hasil orang positif tinggal menunggu hasil swab test nya mudah an hasil nya negatif ke orang yg positif skrang sdh di Rs Dustira jadi mohon hati hati tulis dalam pesan tersebut mso mso cimahi pandemi corona hoaks hoaks corona 
Tebing Tol Cipularang Km 118 yang Longsor Selesai Diperbaiki, Bandung Barat PT Jasa Marga akhirnya selesai memperbaiki tebing Tol Cipularang KM yang longsor Akses jalan Tol Cipularang sempat terancam putus akibat kejadian longsor tersebut Sebelumnya tebing di pinggir Jalan Tol Cipularang itu mengalami longsor dengan ketinggian meter dan lebar meter dengan jarak titik longsor ke badan jalan hanya meter pada Februari lalu General Manager GM PT Jasa Marga Cabang Purbaleunyi Pratomo Bimawan Putra mengungkapkan sampai dengan awal Mei progres penyelesaian telah mencapai persen mencakup sejumlah pengerjaan mso mso bandung barat tol cipularang cipularang longsor 
Lima Rumah Rusak Ringan hingga Berat Akibat Longsor di Bandung Barat, Bandung Barat Hujan deras yang mengguyur wilayah Kabupaten Bandung Barat KBB dan sekitarnya menyebabkan longsor di Kampung Cikancana RT RW Desa Cibenda Kecamatan Cipongkor KBB Longsor yang terjadi sekitar pukul WIB tersebut terjadi akibat hujan dengan intensitas tinggi yang mengguyur sejak Rabu sore hingga malam Betul kami terima laporan ada kejadian tanah longsor di Cipongkor Langsung kami tugaskan personel untuk melakukan pengecekan dan assessment ujar Kepala Pelaksana BPBD KBB Duddy Prabowo saat dihubungi Kamis mso mso bandung barat longsor di bandung barat 
"Tertimbun Longsor, Jalan Provinsi dan 2 Desa di Cianjur Lumpuh", Cianjur Hujan deras yang mengguyur Cianjur sejak sore hari membuat jalan provinsi dan jalan desa di dua kecamatan tertimbun longsor Rabu Akibatnya arus kendaraan lumpuh Sekadar diketahui hujan deras mulai mengguyur wilayah Cianjur sekitar pukul WIB Bahkan hingga pukul WIB pun sejumlah wilayah masih diguyur hujan Kondisi itu membuat tebing setinggi meter dan lebar meter menimbun Jalan Provinsi yang menghubungkan Kecamatan Cibinong Sindangbarang Kejadian sekitar pukul WIB Jalan tertutup total material longsoran setinggi meter kata Kapolsek Cibinong Ahmad Rifai saat dihubungi melalui telepon seluler Rabu mso mso cianjur longsor di cianjur 
Menaker Bagi-bagi 6.250 Paket Sembako untuk Serikat Pekerja & Buruh, Jakarta Menteri Ketenagakerjaan Menaker Ida Fauziyah membagikan bantuan paket sembako kepada perwakilan serikat pekerja serikat buruh SP SB Kegiatan pembagian sembako tahun tersebut merupakan pertama kalinya mengikutsertakan Pengusaha dan Serikat Pekerja Serikat Buruh SP SB untuk bersama sama saling berbagi di bulan Ramadhan Seperti kita ketahui bersama pandemi covid ini banyak menyebabkan permasalahan dalam berbagai tatanan kehidupan sosial manusia termasuk di bidang ketenagakerjaan ujar Ida dalam keterangan tertulis Rabu Tidak hanya diberikan kepada serikat pekerja buruh bantuan serupa diserahkan juga kepada pegawai di lingkungan Kementerian Ketenagakerjaan yang terdiri dari karyawan Office Boy Security dan Cleaning Service serta bantuan bagi warga korban bencana tanah longsor di Desa Cigobang Kabupaten Lebak Provinsi Banten Kegiatan membagi sembako jelang lebaran merupakan tradisi tahunan di Kementerian ini Namun pelaksanaan di tahun ini terasa berbeda karena lebaran tahun ini dibarengi dengan pandemi COVID yang dampaknya sudah kita rasakan bersama imbuhnya Kepada saudara kita korban banjir dan longsor di Lebak Banten semoga bantuan peralatan pertanian yang telah diberikan segera dimanfaatkan untuk menggarap lahan Sehingga saudara saudara kembali produktif Semoga pandemi segera berlalu lanjut Ida Ida juga mengimbau selama menjalankan puasa sebaiknya diisi juga dengan berbagai kegiatan positif baik untuk aspek beribadah maupun untuk bekerja Selain itu puasa merupakan momen belajar untuk memperbaiki diri dan berbagi dengan sesama ega ega kemnaker covid 
Longsor Putus Akses Dua Desa dan Gudang Pengolahan Kayu di Banyuwangi, Banyuwangi Akses dua desa di Kecamatan Licin Banyuwangi terputus akibat longsor Longsor terjadi setelah wilayah tersebut diguyur hujan sejak Minggu sore Longsor juga menimbun gudang pengolahan kayu di sekitar lokasi Hingga sore tadi BPBD Banyuwangi melakukan pembersihan jalan yang terputus longsor Tak hanya itu warga juga membersihkan bengkel bubut kayu yang tertimbun Tak ada korban jiwa dalam insiden ini Informasi yang kita terima longsor sekitar jam WIB saat waktu sahur tadi Alhamdulillah tidak ada korban jiwa Cuman material longsoran memutus akses jalan Desa Kluncing dan Desa Pakel kata Camat Licin Hartono saat berada di lokasi Senin Selanjutnya Halaman birojatim longsor longsor di banyuwangi 
