title,content
"Gugat ke MK, Aktivis Ini Minta Pasal Penyebaran Kabar Bohong Dihapus", Jakarta Nelly Rosa Yulhiana yang mengaku aktivis menggugat UU Nomor Tahun tentang Peraturan Hukum Pidana ke Mahkamah Konstitusi MK Pasal yang dia gugat yaitu Pasal dan Pasal atau yang lebih dikenal dengan Pasal Penyebaran Berita Bohong Pasal berbunyi Barang siapa dengan menyiarkan berita atau pemberitahuan bohong dengan sengaja menerbitkan keonaran di kalangan rakyat dihukum dengan hukuman penjara setinggi tingginya sepuluh tahun Barang siapa menyiarkan suatu berita atau mengeluarkan pemberitahuan yang dapat menerbitkan keonaran di kalangan rakyat sedangkan ia patut dapat menyangka bahwa berita atau pemberitahuan itu adalah bohong dihukum dengan penjara setinggi tingginya tiga tahun Selanjutnya Halaman mk mahkamah konstitusi kasus berita bohong pasal berita bohong berita bohong negara rakyat nusantara yudi syamhudi suyuti 
Kronologi Kasus Ancam Bunuh Jokowi Bikin Fahri Dibui 255 Hari, Jakarta Muhammad Fahri gigit jari setelah permohonan bandingnya ditolak Pengadilan Tinggi PT Jakarta Pria berserban hijau yang mengancam Presiden Joko Widodo Jokowi saat kerusuhan Mei di Petamburan Jakarta Barat divonis hukuman hari penjara Aksi Fahri saat itu terekam video dan viral di media sosial Menguatkan putusan Pengadilan Negeri Jakarta Pusat Nomor Pid B PN Jkt Pst tanggal Februari yang dimintakan banding tersebut demikian bunyi putusan banding PT Jakarta yang dilansir di website nya Senin Selanjutnya Halaman pria berserban hijau ancam jokowi jokowi pria ancam jokowi kerusuhan mei round up 
Pengancam 'Bunuh Jokowi' Saat Rusuh 22 Mei Dibui 255 Hari, Jakarta Permohonan banding Muhammad Fahri ditolak Pengadilan Tinggi PT Jakarta Alhasil pria berserban hijau yang mengancam Presiden Joko Widodo dan viral di media sosial saat kerusuhan Mei terjadi di Petamburan Jakarta Barat divonis dengan hukuman hari penjara Kasus bermula saat Fahri ikut aksi mendemo hasil Pemilu di Bawaslu Fahri bersama teman temannya ikut aksi menolak hasil Pilpres di depan Kantor Bawaslu Jalan MH Thamrin Jakarta pada Mei Hey Jokowi ketemu kau sama saya Saya bunuh kau Jokowi dan antek anteknya Wiranto jahanam bangsat kau penghianat kau Selanjutnya Halaman pria berserban hijau ancam jokowi pria ancam jokowi kerusuhan mei kerusuhan mei 
"Kibarkan Bendera di Polda Maluku, 3 Petinggi RMS Dijerat Pasal Makar", Jakarta Polisi menangkap tiga petinggi kelompok Republik Maluku Selatan RMS lantaran memasuki kompleks Mapolda Maluku sambil membentangkan bendera kelompoknya Polisi menerangkan semula pihaknya memang memanggil ketiga petinggi kelompok tersebut untuk mengklarifikasi video ajakan pengibaran bendera RMS yang mereka unggah di YouTube Mereka bertiga memasuki halaman Polda Maluku dengan membentangkan bendera RMS Tujuan kedatangan mereka ke Polda Maluku adalah untuk memenuhi panggilan Ditreskrimum sehubungan dengan kasus pembuatan video ajakan untuk mengibarkan bendera RMS yang mereka upload ke YouTube pada April kata Karo Penmas Divisi Humas Polri Brigjen Argo Yuwono ketika dimintai konfirmasi detikcom Selasa Argo menuturkan ketiganya membentang bendera RMS karena sengaja hendak menyerahkan diri Argo mengatakan ketiga tersangka mengaku bertanggung jawab atas pengibaran bendera oleh simpatisan RMS Serta menyerahkan diri dan menyatakan bertanggung jawab terhadap pengibaran bendera RMS yang dilakukan oleh simpatisan RMS saat HUT RMS tanggal April sambung Argo Selanjutnya Halaman polri polda maluku republik maluku selatan makar 
Surya Anta cs Divonis 9 Bulan Penjara Terkait Kasus Makar, Jakarta Lima terdakwa kasus makar yakni Paulus Surya Anta Ginting Charles Kossay Ambrosius Mulait Anes Tabuni dan Arina Elopere divonis hukuman bulan pidana penjara Kasus makar tersebut terkait pengibaran bendera Bintang Kejora saat aksi di depan Istana Negara pada Agustus Mengadili satu menyatakan terdakwa I Paulus Surya Anta Ginting terdakwa II Charles Kossay terdakwa III Ambrosius Mulait alias Ambo dan terdakwa IV Isay Wenda telah terbukti secara sah dan meyakinkan bersalah melalukan pidana makar secara bersama sama sebagaimana dakwaan kesatu kata hakim ketua Purwanto di PN Jakarta Pusat Jl Bungur Raya Jakarta Pusat Jumat Menjatuhkan pidana terhadap terdakwa I Paulus Surya Anta Ginting terdakwa II Charles Kossay terdakwa III Ambrosius Mulait alias Ambo masing masing dengan pidana penjara selama bulan dan terhadap terdakwa IV Isay Wenda selama bulan ujarnya Selanjutnya Halaman surya anta bendera bintang kejora tersangka pengibar bintang kejora pn jakpus 
6 Terdakwa Kasus Makar Surya Anta cs Hadapi Putusan Siang Ini, Jakarta Enam terdakwa kasus makar yakin Paulus Suryanta Ginting Charles Kossay Ambrosius Mulait Isay Wenda Anes Tabuni dan Arina Elopere akan menghadapi sidang putusan siang ini Keenam terdakwa disebut menuntut kemerdekaan Papua saat demo di depan Istana Negara dan Mabes TNI AD Sidang pembacaan putusan itu akan dilakukan pada pukul WIB di Pengadilan Negeri Jakarta Pusat Selain itu putusan tersebut akan disiarkan secara live di akun YouTube KontraS dan FRI WP Media serta akun IG lbh_jakarta Kuasa hukum para terdakwa Oky Wiratama Siagian berharap majelis hakim akan membebaskan para terdakwa Menurutnya para terdakwa tidak melakukan perbuatan makar seperti yang didakwakan melainkan hanya menyampaikan pendapat sebagai respons terkait peristiwa di Surabaya Harapannya semoga hakim membebaskan enam aktivis Papua Karena mereka tidak melakukan makar serangan terhadap negara Keenam aktivis hanya aksi secara damai sesuai UU merespons rasisme kata Oky dalam keterangannya Jumat Selanjutnya Halaman pn jakpus surya anta vonis 
"Perlu Ditiru Nih, Lelang Moge BMW Demi Bagi-bagi Masker dan Makan", Jakarta Di masa pandemi virus Corona seperti saat ini gotong royong dan saling membantu jadi langkah terbaik untuk bisa mengurangi penderitaan yang diakibatkan virus Corona Seperti yang dilakukan pemilik moge BMW R GS yang satu ini Dalam akun Facebook Lieus Sungkharisma seorang pemilik moge BMW R GS rela melelang motor kesayangannya untuk bisa membantu sesama dengan memberikan makan dan masker secara gratis selama masa pandemi virus Corona Bagi pencinta moge yang tertarik untuk ikut lelang dan memiliki BMW R GS ini dijamin tidak akan rugi Karena moge ini terbilang masih ciamik dan sangat terawat Hasil lelang untuk bagikan makan dan masker gratis dan ini sudah dilakukan sejak Maret Kami ingin terus bisa melakukan mengisi perutnya membahagiakan hatinya Bahagia melihat mereka bahagia ikut bantu mereka dengan menjadi peserta lelang Anda sudah beramal dan kesempatan mendapat motor tulis dalam akun video youtube Gambas Video detik lth din corona virus corona virus corona bmw motorrad bmw motorrad indonesia 
Lieus Sungkharisma Lelang Moge BMW untuk Donasi COVID-19, Jakarta Masyarakat terus bergotong royong saling membantu mengatasi pandemi Corona Salah satu yang menggalang dana adalah aktivis sosial Lieus Sungkharisma Dia melelang moge nya Melalui akun Youtubenya Lieus membuka lelang online motor BMW R GS Motor petualang milik Lieus ini baru ia gunakan sejauh km Dalam video pengumuman lelang itu dijelaskan hasil lelangnya akan disalurkan untuk makan dan masker gratis Lieus pun juga mengatakan akan terus melakukan donasi hingga pandemi ini berlalu Gambas Video detik rip lth corona covid lieus sungkharisma bmw r gs 
Pimpinan MPR Ingatkan Gangguan Keamanan Saat Wabah COVID-19, Jakarta Wakil Ketua MPR Ahmad Basarah mengimbau seluruh komponen bangsa agar menjaga dan mewaspadai aksi aksi yang mengganggu keamanan nasional ketika Indonesia sedang berupaya mengatasi pandemi COVID Basarah memberikan apresiasi tinggi kepada jajaran Polri yang dengan sigap mengungkap rencana penjarahan dan pembakaran di pulau Jawa oleh kelompok Anarko baru baru ini serta upaya terorisme yang dilakukan kelompok Mujahidin Indonesia Timur MIT pimpinan Ali Kalora Saya memberi apresiasi tinggi kepada jajaran Polri yang sejak dini mengungkap aksi yang bakal mengganggu stabilitas sosial ini baik di Ibu kota Jakarta maupun di Poso beberapa hari lalu jelas Basarah dalam keterangannya Senin Kemudian pada kasus kedua adalah ditemukannya bom di badan dua terduga teroris yang tewas dalam kontak bersenjata di Poso Sulawesi Tengah pada hari Rabu lalu Baku tembak itu menewaskan Ali alias Darwin Gobel dan Muis Fahron alias Abdullah anggota kelompok MIT pimpinan Ali Kalora Mereka masuk dalam daftar pencarian orang DPO Polda Sulteng Menurut Basarah ia terus mencermati situasi dan kondisi tanah air selama pandemi COVID berlangsung termasuk ketika jajaran Polri berhasil mengungkap rencana penjarahan dan pembakaran di pulau Jawa oleh kelompok Anarko Vandalis dan menghentikan langkah para teroris di Poso Basarah menilai Polri telah bergerak cepat ketika melihat fenomena kejahatan baru di Jakarta dan tindakan makar terorisme itu Dalam situasi seperti sekarang ini di tengah terjadinya penurunan daya beli peningkatan Pemutusan Hubungan Kerja PHK dan terganggunya roda ekonomi masyarakat bukan tidak mungkin semua itu dapat memicu dan memacu meningkatnya aksi aksi kriminalitas konflik dan kerusuhan sosial baik yang sifatnya spontan maupun yang dimobilisasi jelas Basarah Basarah mengingatkan bahwa prioritas paling penting yang harus dilakukan saat ini adalah upaya mencegah orang orang yang tidak bertanggung jawab memanfaatkan situasi ini untuk kepentingan pribadi kelompok dan golongan prf ega mpr keamanan 
Ahli Forensik Ungkap Grup WA Kasus Pengibaran Bendera Bintang Kejora, Jakarta Jaksa penuntut umum JPU menghadirkan ahli digital forensik Purwanto ke sidang kasus pengibaran bendera Bintang Kejora Dalam sidang itu Purwanto menjelaskan hasil identifikasi grup WhatsApp yang diikuti para terdakwa Purwanto merupakan ahli Laboratorium Forensik Dittipid Siber Bareskrim Polri Dia dilibatkan oleh penyidik saat menelusuri dua kata kunci yakni referendum dan bintang kejora dalam grup WhatsApp Monyet Papua Jakarta Kedua keyword itu ada atau tidak dalam grup itu tanya hakim kepada Purwanto saat sidang di Pengadilan Negeri Jakarta Pusat Jalan Bungur Raya Jakpus Jumat Ada Yang Mulia jawab Purwanto abw idn bendera bintang kejora kasus makar 
