title,content
Dhuuuaar! Mobil Ini Meledak Karena Dipakai Jualan Tahu Bulat, Jakarta Niat hati ingin tampil beda penjual tahu bulat dengan mobil penumpang ini malah jadi viral Mobilnya malah meledak dan terbakar habis Umumnya tahu bulat dijajakan menggunakan mobil pick up atau bak terbuka Para pedagang biasa melengkapi alat jualannya dengan kompor tabung gas dan alat masak Area yang luas menjadikan jenis mobil ini cukup aman menampung berbagai alat masak selain itu tipe mobil ini juga didesain dengan atap terbuka Menggoreng tahu bulat pastinya lebih santai Foto istimewa twitter akulukaBaca juga Keren Tukang Sayur Keliling Ini Jualan Pakai Mobil Mewah Rp Juta Tapi tampaknya penjual tahu bulat yang satu ini merasa jualan dengan mobil bak terbuka terlalu mainstream Ia pun memilih mobil penumpang sebagai lapak jualanya Tapi nahas usahanya ini malah berujung tragis Cuitan pemilik akun twitter akuluka ini langsung menghebohkan jagad dunia maya Dengan caption tahu bulat dibakar di mobil dadakan lima ratusan gurih gurih enyoy unggahan ini juga dilengkapi dua foto sebuah mobil yang terbakar Setelah diusut ternyata penyebab timbulnya api berasal dari kompor yang diletakkan di dalam kabin mobil Mobil merek Toyota Avanza ini termasuk mobil penumpang yang pastinya akan membahayakan jika dipakai untuk berjualan tahu bulat Mobil ini memiliki interior yang banyak terbuat dari kain dan kulit Jelas bahan ini sangat mudah terbakar jika tersulut api Apalagi mobil juga memiliki desain tertutup yang membuat sirkulasi udara cukup terbatas Alhasil sedikit tersulut api maka habislah seluruh bagian dalam mobil Di foto ini terlihat bagian dalam mobil diisi dengan alat masak tahu bulat lengkap dengan gas kilogram Hampir seluruh bagian mobil hangus terbakar Bisa dilihat juga lapisan kulit pada jok ikut dilalap api Terlihat juga beberapa butir tahu bulat yang sudah digoreng Tampaknya penjual tahu bulat ini langsung sadar kalau ada api yang tersulut sehingga kebakaran hanya menghabiskan bagian dalam mobil saja Tampak eksterior mobil masih terlihat utuh Foto istimewa twitter akulukaBaca juga Jualan di Tempat Nyleneh Para Penjual Makanan Ini Sukses Bikin NgakakBelum jelas lokasi kejadian kebakaran ini namun banyak netizen langsung memberikan komentar Cuitan ini pun sudah dibagikan ulang lebih dari kali Kemarin jualan sayur pake Xpander ini jualan tahu bulat pake Avanza Orang yang jualan pada hobi doang atau gimana sih kata satu netizen Lah kan harusnya pake bak terbuka malih kenapa pake mini bus Ya jelas overheat dalemnya meleduk deh an cuit netizen Simak Video Jelajahi Sumatera Gordon Ramsay Ditantang Masak Rendang Gambas Video detik dvs odi mobil terbakar tahu bulat jualan tahu bulat pakai mobil mobil tahu bulat mobil tahu bulat terbakar 
Warga: Kabel yang Terbakar di Cikini Sering Keluarkan Suara Ledakan, Jakarta Kabel bawah tanah di Cikini Jakarta Pusat meledak pagi hari tadi Warga menyebut kabel itu sudah mengeluarkan tanda tanda bahaya akan muncul ledakan api sejak satu bulan lalu Salah seorang karyawan sekitar lokasi bernama Imron mengatakan kabel itu beberapa hari terakhir ini sering meledak Ia menyebut ledakan kabel itu juga menimbulkan bunyi Sebelum kejadian pagi ini berapa hari memang udah meledak meledak mulu itu kebel kata Imron di Jalan Cikini Raya Menteng Jakarta Pusat Minggu Iya bunyi pletak pletak Ada api kecil tapi mati lagi tambah Imron Selain Imron Bimbim mengatakan kabel itu sudah mengeluarkan tanda tanda akan meledak sejak bulan lalu Bimbim mengaku Sabtu malam kemarin kabel juga sudah mengeluarkan suara seperti ledakan api Nah waktu bulan kemarin udah ada rasa meledak meledak gitu udah ada Pas paginya ada api malamnya nggak ada api Cuma meleduk meleduk doang Pas paginya jam baru tuh keluar api Meleduk dulu dug baru keluarin api jelas Bimbim zap zap proyek trotoar cikini kabel terbakar cikini 
Kakek Nekat Jualan Pisang di Tengah 'Ganasnya' Demo, Jakarta Rezeki bisa dicari di mana saja bahkan di medan perang sekalipun Begitulah ibaratnya menggambarkan sosok Samin kakek berusia tahun asal Ciputat Di tengah maraknya aksi demo mahasiswa Samin tetap menjual barang dagangannya yakni pisang dan sukun Ia menjualnya di bawah tangga penyeberangan Stasiun Palmerah yang menempel pagar DPR Itu adalah lokasi yang kerap ricuh Samin telah kali berjualan di lokasi tersebut Tiga tiganya saat demo berujung kerusuhan Demo pertama saya di sini aja Sudah kali rusuh katanya kepada detikcom di sela kesibukannya di Palmerah Jakarta Selasa Gambas Video detik dna dna 
"Kebakaran Rumah di Grobogan, Pria Penderita Stroke Tewas Terbakar", Grobogan Kebakaran sebuah rumah warga di Kabupaten Grobogan menewaskan pemiliknya Diduga api berasal dari ledakan korek api Kebakaran rumah di Jalan Raden Patah Gang Cemara Dusun Pucang RT Kelurahan Grobogan di rumah Wandi ujar Kepala Badan Penanggulangan Bencana Daerah Kabupaten Grobogan Endang Sulistyaningsih kepada detikcom melalui pesan singkat Selasa Korban yang bernama lengkap Wandi bin Surawin Peristiwa ini terjadi pada sekitar pukul WIB pagi tadi sip sip grobogan kebakaran tewas terbakar birojatengdiy 
"Rumah Kontrakan Habis Terbakar, Nenek Ratini Jatuh Pingsan", Depok Rumah kontrakan tiga pintu di Pancoranmas Depok habis terbakar Seorang nenek bernama Ratini yang tinggal di salah satu kontrakan sempat pingsan setelah mengetahui rumahnya terbakar Meterannya itu yang meleduk itu kontrakan punyaku bawahnya pakaian pakaian kebakar kata Ratini di lokasi Jalan Duren I Rangkapan Jaya Pancoranmas Depok Selasa Kebakaran terjadi sekitar pukul WIB siang tadi Tujuh unit mobil damkar diturunkan ke lokasi dan api padam sekitar pukul WIB Ratini saat itu sedang duduk di depan rumahnya Dia sempat mendengar bunyi ledakan sebelum kebakaran terjadi Ratini lalu berlari minta tolong tapi api terus membesar Melihat api semakin membara Ratini kemudian jatuh pingsan maa mea kebakaran kebakaran di depok depok 
Tukang Tambal Ban di Nganjuk Tewas Saat Kompresornya Meledak, Nganjuk Seorang tukang tambal ban di Nganjuk tewas terkena ledakan tabung kompresor Korban bernama Romlan warga Desa Selo Kecamatan Bagor Jadi korban terkena ledakan tabung kompresor tempat dia bekerja di jasa tambal ban truk ujar Kasat Reskrim Polres Nganjuk AKP Nikolas Bagas saat dihubungi detikcom Selasa Tabung kompresor itu kata Nikolas meledak sekitar pukul WIB Sedangkan Romlan menghembuskan napas terakhir satu jam setelah kejadian yakni saat dirawat di RS Bhayangkara Nganjuk Simak Video Video Kiai Pacitan Tahun Berdakwah Tanpa Jemaah Gambas Video detik sun bdh birojatim kompresor meledak tukang tambal ban 
"Apple Siap Rilis Perangkat Layar Lipat, Tapi Bukan iPhone", Jakarta Tren ponsel layar lipat tengah menjangkiti para vendor global Apple tak mau ketinggalan soal itu namun yang ditawarkan bukan iPhone yang merupakan produk andalannya Awal tahun ini memang tersiar kabar Apple mendaftarkan paten iPhone layar lipat Namun nyatanya produk yang ditawarkan justru hadir dari lini iPad Menurut analis yang mengetahui project ini seperti dikutip dari GSMArena Minggu Apple sedang mengerjakan iPad dengan layar fleksibel Simak Video Produksi iPhone Akan Pindah ke India Gambas Video detik rns rns apple iphone ipad 
Powerbank Terbakar Bikin Pesawat Ini Mendarat Darurat, Jakarta Pesawat milik Virgin Atlantic terpaksa mendarat darurat Kamis lalu karena ada sebuah kursi yang terbakar yang disebabkan oleh battery pack portabel atau powerbank Pesawat itu sebenarnya berada dalam perjalanannya dari bandara JFK di New York menuju bandara Heathrow di London Namun terpaksa mendarat darurat di bandara Logan di Boston setelah ada api dan asap yang muncul dari kursi seorang penumpang Untungnya semua penumpangnya yang berjumlah orang berhasil dievakuasi dengan selamat demikian dikutip detikINET dari The Verge Jumat Simak Video Dulu Dikira Jualan Powerbank Siapa Sangka Vivo Kini Laris Manis Gambas Video detik asj krs powerbank powerbank terbakar aturan powerbank di pesawat 
Apple Hapus Ratusan Aplikasi Judi dan Pornografi, Jakarta Untuk pertama kalinya Apple mengungkap ke publik jumlah aplikasi yang dihapus di App Store berdasarkan permintaan dari pemerintah di berbagai negara China paling banyak melobi Apple untuk menyingkirkan Aplikasi dari App Store Berdasarkan laporan transparansi tersebut Apple mengatakan ada permintaan dari negara untuk menghapus aplikasi lokal di mana aplikasi di antaranya untuk dihapus berasal dari pemerintah China Dilansir dari Tech Crunch China mengklaim permintaan itu berdasarkan aplikasi yang dimaksud dinilai melanggar hukum tentang perjudian dan pornografi Apple tidak membeberkan aplikasi mana saja yang telah dienyahkan dari toko aplikasi miliknya itu Namun yang pasti penghapusan tersebut dilakukan sejak Juli sampai Desember Lalu ada Vietnam dan Austria yang juga mengajukan penghapusan beberapa aplikasi lokal yang melanggar peraturan perjudian Adapun Kuwait yang beralasan permintaan penghapusan aplikasi karena bertentangan undang undang privasi agt krs apple app store aplikasi 
"Heboh Gas Bocor di Pabrik Krakatau Steel, Begini Penjelasannya", Cilegon Warga di sekitar pabrik PT Krakatau Steel dihebohkan dengan informasi gas bocor Dugaan gas bocor itu disertai keluarnya api dari cerobong blast furnace Foto kepulan asap gas disertai api tersebar di media sosial dengan imbauan agar orang orang khususnya karyawan pabrik memakai masker sebagai pelindung Senior External Communication PT Krakatau Steel Vicky Fadillah mengatakan peristiwa itu biasa terjadi saat ada kendala di bagian blast furnace Kendala itu disebut seperti pipa yang tersumbat Namanya produksi kan ada lancar ada tidak yang tadi itu adalah ada trouble di ujungnya sehingga itu terpaksa harus di flaring dibuang Kalau nggak di flaring meleduk pabriknya malah jadi masalah di situ katanya kepada wartawan di Cilegon Rabu zak zak gas bocor krakatau steel cilegon 
"Diduga Kompor Meleduk, Sebuah Rumah di Surabaya Ludes Terbakar", Surabaya Sebuah rumah semi permanen padat penduduk di Jalan Gembong Gang VI nomor ludes dilalap api Tidak ada korban jiwa dalam kebakaran tersebut Api diduga berasal dari kompor yang meleduk Salah seorang saksi sekaligus tetangga rumah Suhariyono mengatakan saat kebakaran dirinya tengah beristirahat di dalam rumahnya Namun ia dikagetkan dua anak yang berteriak meminta tolong karena ada kebakaran Saya sedang leyeh leyeh Sekitar pukul WIB kok tiba tiba ada dua anak yang berteriak minta tolong ada kebakaran Saya pikir bergurau Terus saya lihat ke belakang api sudah membakar rumah kata Suhariyono kepada detikcom Senin sun iwd kebakaran di surabaya kompor meleduk birojatim 
"Api Mengamuk Pascadebat, Dumai-Bengkalis Siaga Asap", Pekanbaru Joko Widodo menyatakan dalam tiga tahun terakhir tidak ada kebakaran hutan Hal itu disampaikan dalam debat capres pada Minggu lalu Faktanya kini asap semakin mengamuk Kita ingin kebakaran hutan lahan gambut tidak terjadi lagi Ini bisa kita atasi Dalam tiga tahun tidak terjadi kebakaran hutan lahan gambut ujar Jokowi di lokasi debat The Sultan Hotel Jakarta Minggu Menurut Jokowi keberhasilan mengurangi kebakaran hutan dan lahan merupakan kerja sama semua pihak asp rvk kebakaran hutan 
"Fahri Curiga Ada yang Bakar Lahan Pascadebat, TKN: Ngomporin!", Jakarta Tim Kampanye Nasional TKN Joko Widodo Jokowi Ma ruf Amin meminta Wakil Ketua DPR Fahri Hamzah tidak membuat isu yang menyesatkan TKN mengingatkan Fahri tidak menyebar rumor yang tidak benar terkait kebakaran lahan Jangan jangan Fahri lagi pengin ngomporin sesuatu deh asalkan jangan sampai kompornya meleduk di tangan sendiri Nanti malah dirinya yang terbakar isu kata anggota TKN Inas Nasrullah Zubir saat dimintai konfirmasi detikcom Rabu malam Soal masih adanya kebakaran seperti data yang disampaikan BNPB tentu kita harus akui karena itu faktanya Di negara negara maju sekalipun kebakaran hutan seperti itu kerap kali terjadi Namun yang paling penting sebetulnya adalah ada upaya pemerintah jelasnya Ace mengatakan Jokowi telah bertindak tegas terhadap pelaku pembakaran lahan Tindakan tegas tidak hanya dilakukan kepada perorangan tapi juga pihak korporasi Pemerintahan Jokowi bersikap tegas kepada siapa pun pihak baik perorangan maupun korporasi yang melakukan pembakaran hutan untuk membuka lahan tuturnya fdu mae tkn jokowi ma ruf amin pemilu kebakaran lahan kebakaran hutan dan lahan pilpres 
