title,content
Pengemudi Toyota Hilux Ini Ugal-ugalan di Tengah Bazaar, Selangor Viral di media sosial seorang pengemudi Toyota Hilux ugal ugalan di tengah bazaar Sang sopir menabrak lapak pedagang secara acak bahkan akibat aksi berbahaya itu melukai orang Kejadian ini terjadi pada Jumat di Bukit Sentosa Hulu Selangor Malaysia Namun pengemudi itu tidak berhenti dan membiarkan mobil terus melaju Kejadian ini pun membuat histeris masyarakat sekitar terdengar jeritan dan teriakan dari dalam video Panggil polisi telepon polisi ucap seorang wanita terdengar berteriak dalam video Dalam video lain pengemudi Hilux itu berkendara lebih membahayakan bahkan sempat menabrak mobil lain yang berada di sisi jalan Usut punya usut pengemudi itu di bawah pengaruh alkohol Gambas Video detik riar lth catatan pengendara sopir mabuk 
Mario Balotelli Jadi Rebutan Klub-klub Brasil?, Brescia Mario Balotelli mendapat lampu hijau buat meninggalkan Brescia di akhir musim ini Sejumlah klub Brasil kabarnya berebut mendatangkan dirinya Siapa saja Super Mario baru bergabung dengan Brescia sejak awal musim Kendati demikian ia sudah mendapat restu dari presiden klub Massimo Cellino andai mau meninggalkan Rondinelle di bursa pemain mendatang Lampu hijau dari Brescia tersebut diberikan lantaran Balotelli dianggap gagal menampilkan permainan terbaiknya Striker keturunan Ghana itu baru mencatatkan gol dari laga Liga Italia di musim ini Selain itu tingkah laku nyeleneh Balotelli juga menjadi pertimbangan Cellino buat mempertahankan eks pemain Manchester City tersebut Penyerang tahun itu pernah terlibat perselisihan di saat latihan menabrak toko kue di awal hingga mau nge chat bareng bintang porno di Instagram Live Gambas Video detik bay krs mario balotelli brescia liga italia 
Cal Crutchlow: Gaya Berkendara Marquez Berbahaya Kalau Ditiru, Jakarta Marc Marquez menguasai ajang MotoGP sejak melakukan debut di Salah satu hal unik dari pebalap asal Spanyol ini adalah gaya berkendaranya saat memacu adrenalin di lintasan Cal Crutchlow dari tim Honda Racing Corporation HRC menganalisa gaya berkendara Marquez dan menurutnya tidak ada pebalap lain yang dapat menirunya Sebagai pembalap HRC Crutchlow memiliki hak istimewa untuk dapat mengakses telemetri Marquez Data itu menunjukkan bagaimana Marquez bisa lebih cepat memacu motor balap Honda RC V dibanding pebalap lainnya Meski motor tersebut memang sudah mengantar memenangi enam juara dunia MotoGP tetap saja itu adalah motor yang tidak mudah dikendalikan Crutchlow mengatakan Marquez memiliki bakat luar biasa ketika sebagian besar pebalap lain mengalami kecelakaan apabila menggunakan metode yang sama Gambas Video detik rip din marc marquez honda motogp cal crutchlow 
Jalan Rusak di Sukabumi Ini Rawan Kecelakaan, Sukabumi Kerusakan jalan akibat bencana alam pergerakan tanah nyaris memakan korban jiwa Seorang pemotor terlindas pikap dan mengalami patah tulang saat melintas ruas Jalan Penghubung Nyalindung Sagaranten Kabupaten Sukabumi Foto foto kecelakaan itu viral di media sosial korban seorang pemotor dikabarkan patah tulang kaki setelah pikap yang berada di depannya tidak kuat melintasi jalan menanjak lalu mundur dan melindas pemotor di belakangnya Saya belum dapat informasi lengkap terkait identitas tapi memang kejadiannya di wilayah desa kami Kondisi jalannya memang rusak dan ada tanjakan curam tidak sedikit yang kecelakaan di sana kata Kades Kertaangsana Ence Ruswandi kepada detikcom Sabtu Selanjutnya Halaman jalan rusak jalan rusak di sukabumi sukabumi 
The Lovebirds: Tontonan Lebaran Yang Lumayan Menggemaskan, Jakarta Jibran Kumail Nanjiani seorang pembuat film dokumenter bertemu dengan Leilani Issa Rae seorang pekerja kreatif di sebuah advertising agency dan akhirnya jatuh cinta One night stand berubah menjadi real relationship Pertama kali mereka bertemu Jibran dan Leilani saling berbagi ciuman dan tawa Empat tahun kemudian yang mereka bagi adalah argumen Jibran muak dengan Leilani begitu pula sebaliknya Pertengkaran mereka yang tadinya gemas berubah menjadi serius Dalam sebuah pertikaian mereka mengucapkan sesuatu yang tidak bisa mereka tarik Dalam perjalanan menuju pesta teman mereka mereka memutuskan untuk berpisah Empat tahun dibuang begitu saja Tapi ini bukan film tentang cinta cintaan serius The Lovebirds adalah sebuah komedi dengan sutradara komedi kenamaan Michael Showalter Setelah mereka memutuskan untuk putus tanpa sengaja Jibran menabrak seseorang Yang aneh korban yang ditabrak Jibran bukannya menuntut yang aneh aneh tapi malah kabur Tak lama kemudian seorang laki laki berkumis Paul Sparks yang mengaku sebagai polisi mengatakan bahwa laki laki yang baru mereka tabrak adalah seorang kriminal Leilani dan Jibran pun tak punya pilihan lain selain membiarkan laki laki berkumis untuk menggunakan mobil mereka dan mengejar si laki laki tadi Tapi rupanya ada twist menarik Si laki laki berkumis menabrak laki laki tersebut melindasnya sampai tewas Membuat Jibran dan Leilani kaget Mereka tentu saja ketakutan bahwa mereka menjadi tersangka pembunuhan ini Apalagi mereka adalah minoritas di Amerika Mereka bisa langsung dijadikan tersangka dalam sekejap Malam itu mereka berlarian menghindari dari kejaran polisi sambil mencari tahu misteri yang mereka alami The Lovebirds adalah salah satu contoh film yang menjadi korban pandemi covid Tadinya film ini akan dirilis di bioskop Maret silam Tapi karena pandemi covid Paramount memutuskan untuk melempar film ini ke Netflix Melihat hasil akhir The Lovebirds Netflix ternyata menjadi rumah yang pas bagi The Lovebirds Simak Video Awal Mula Kedekatan Dian Sastro dan Dita Karang Secret Number Gambas Video detik dal dal the lovebirds 
97 Orang Tewas dan 2 Selamat dalam Insiden Pesawat Maskapai Pakistan Jatuh, Islamabad Sedikitnya orang tewas dalam insiden jatuhnya pesawat maskapai Pakistan International Airlines PIA di Karachi Pakistan Dua orang lainnya berhasil selamat dari insiden tragis ini Seperti dilansir AFP Sabtu pesawat penumpang jenis Airbus A milik maskapai PIA ini berupaya melakukan sejumlah pendekatan untuk mendarat di Bandara Internasional Jinnah Karachi saat kecelakaan terjadi pada Jumat waktu setempat Pesawat dengan nomor penerbangan ini tiba tiba menabrak area permukiman dan merusak sejumlah gedung Laporan AFP menyebut pesawat ini membawa awak dan penumpang Informasi ini mengkoreksi laporan sebelumnya yang menyebut pesawat penumpang ini membawa orang saat kecelakaan terjadi nvc idh pakistan pesawat jatuh di pakistan pesawat jatuh pakistan international airlines 
"Sebuah MPV Terbalik di Tol Ngawi, 8 Orang Selamat", Ngawi Kecelakaan tunggal terjadi di ruas Tol Solo Ngawi KM Sebuah mobil Xenia bernopol B UFW berisi orang terguling saat menabrak guadril Meski semua penumpang selamat namun mereka dibawa ke RS At Tin Husada Ngawi untuk perawatan Betul mobil Xenia warna putih kecelakaan tunggal tadi malam dari arah Jakarta Semua penumpang kita evakuasi ke RS At Tin Husada ujar Kasatlantas Polres Ngawi AKP Bobby Mochammad Zulfikar saat dihubungi detikcom Sabtu Kecelakaan tersebut kata Bobby terjadi sekitar pukul WIB Jumat Diduga pengemudi kurang berhati hati saat melaju dengan kecepatan tinggi Pengemudi menabrak rambu penyempitan jalan water barrier hingga oleng Jadi mobil melaju kencang saat melewati rambu batas kecepatan Km jam hingga mobil oleng ke kiri menabrak guadril sebelah kiri hingga akhirnya kendaraan terguling tambahnya fat fat birojatim kecelakaan di tol kecelakaan di ngawi kecelakaan di jatim 
"Viral Video Pemobil di Bekasi Hantam Motor-Mobil, Korban Patah Kaki", Kabupaten Bekasi Sebuah video yang menampilkan mobil berwarna hitam melaju kencang hingga menabrak pengendara sepeda motor viral di media sosial Selain menabrak motor pengendara mobil itu juga menghantam sebuah mobil yang terparkir di bahu jalan Peristiwa itu diketahui terjadi di Jatimulya Tambun Selatan Kabupaten Bekasi Jumat pagi Kapolsek Tambun AKP Gana Yuda Pratama menjelaskan pengemudi mobil berwarna hitam si penabrak sedang terburu buru karena ingin secepatnya menuju rumah sakit tempat istrinya dirawat Diketahui istri si penabrak hendak melahirkan Istrinya mau melahirkan kemudian mungkin nggak tahu apa yang terjadi di dalam mobil dia seperti lagi ngambil terlalu kanan atau oleng atau bagaimana saya kurang paham dia nabrak ujar Kapolsek Tambun AKP Gana Yuda Pratama ketika dihubungi detikcom Jumat Setelahnya polisi tiba di lokasi kejadian Gana menyebut pengendara mobil yang menabrak dan yang ditabrak tak mengalami luka Namun pengendara motor harus dirawat di rumah sakit karena mengalami luka yang cukup parah Dia patah kaki ujar Gana isa isa bekasi tabrakan video viral media sosial polres metro bekasi 
Jabar Hari Ini: Tabrakan Maut di Majalengka-Dentuman Misterius di Bandung, Bandung Beragam peristiwa terjadi di Jawa Barat hari ini Jumat dari mulai tabrakan maut di Majalengka dan Sura dentuman misterius kembali terjadi di Bandung Mikrobus Vs Motor di Majalengka Orang TewasKecelakaan lalu lintas antara mikrobus dan sepeda motor terjadi di Jalan Raya Cigasong Kabupaten Majalengka Jawa Barat Akibat kecelakaan itu satu orang tewas Kasat Lantas Polres Majalengka AKP Endang Sujana membenarkan adanya kejadian tersebut Kecelakaan maut yang menewaskan pengendara motor itu terjadi pada Jumat pukul WIB Endang menjelaskan kronologi kecelakaan maut Awalnya mikrobus bernomor polisi E VB yang dikemudikan Pepep melaju di Jalan Cigasong tiba tiba menyerempet pengendara motor yang melaju searah Mikrobus menyerempet pengendara motor kemudian oleng ke kanan dan menabrak pengendara motor lainnya yang berlawanan arah kata Endang kepada detikcom Lebih lanjut Endang mengatakan pengendara motor yang tertabrak mikrobus tengah membonceng dua orang Salah seorang di antaranya tewas akibat kejadian tersebut Total tiga orang yang luka luka dua pengendara dan satunya yang dibonceng Meninggal satu orang yang dibonceng ujar Endang Menurut Endang ketiga korban luka langsung dievakuasi di RSUD Majalengka Pihaknya saat ini masih menyelidiki penyebab kejadian Kalau untuk sebab sebab kecelakaan masih dalam penyelidikan ucap Endang Video kecelakaan maut di Jalan Raya Cigasong itu beredar di media sosial dan sejumlah grup di aplikasi perpesanan Dalam video singkat itu perekam video menyebutkan enam orang meninggal dunia akibat kecelakaan Endang memastikan keterangan adanya enam orang meninggal akibat kejadian tersebut adalah berita bohong Itu hoaks yang meninggal satu orang Tiga luka luka tutur Endang Selanjutnya Halaman jabar hari ini 
"Mikrobus Vs Motor di Majalengka, 1 Orang Tewas", Majalengka Kecelakaan lalu lintas antara mikrobus dan sepeda motor terjadi di Jalan Raya Cigasong Kabupaten Majalengka Jawa Barat Akibat kecelakaan itu satu orang tewas Kasat Lantas Polres Majalengka AKP Endang Sujana membenarkan adanya kejadian tersebut Kecelakaan maut yang menewaskan pengendara motor itu terjadi pada Jumat pukul WIB Mikrobus menyerempet pengendara motor kemudian oleng ke kanan dan menabrak pengendara motor lainnya yang berlawanan arah kata Endang kepada detikcom Lebih lanjut Endang mengatakan pengendara motor yang tertabrak mikrobus tengah membonceng dua orang Salah seorang di antaranya tewas akibat kejadian tersebut Total tiga orang yang luka luka dua pengendara dan satunya yang dibonceng Meninggal satu orang yang dibonceng ujar Endang Selanjutnya Halaman kecelakaan kecelakaan di majalengka majalengka 
