title,content
Microsoft Bikin Komputer Super untuk Lawan Corona, Jakarta Microsoft membangun superkomputer yang sangat besar untuk melakukan segala macam tugas artificial intelligence AI alias kecerdasan buatan Ini merupakan arah baru untuk layanan cloud miliknya Azure Dikutip dari Cnet mesin ini memiliki core prosesor yang didorong oleh chip grafis untuk OpenAI sebuah perusahaan yang mengembangkan teknologi AI untuk membantu manusia Microsoft mengumumkan mesin super ini pada konferensi para developer Build pekan ini Untuk diketahui superkomputer mesin komputasi paling kuat di planet ini biasanya digunakan untuk berbagai masalah paling berat Simak Video Dihajar Corona Saham Microsoft Bonyok Gambas Video detik rns afr microsoft virus corona ai artificial inteligence kecerdasan buatan azure 
Marvel Tulis Asal Usul Hulk yang Lebih Kuat dari Sebelumnya, Jakarta Kembali ke awal dekade an Marvel menelisik asal usul dari salah satu karakternya Hulk Marvel Comics merilis komik terbaru yang rencananya bakal terbit pada Agustus Ditulis oleh David dan George Perez seri terbaru Future Imperfect menjawab pertanyaan yang menghantui penggemar Hulk selama bertahun tahun Saya tidak tahu ketika saya pertama kali menciptakan komik Maestro untuk seri Future Imperfect bahwa ia Hulk akan punya popularitas dan daya tahan sampai sekarang tutur David dilansir dari Comicbook Senin Simak Video Kenalkan Ario Anindito Komikus Marvel Asli Bandung Gambas Video detik tia tia marvel comics komik marvel hulk Photo Gallery culture Intip Keseruan Marvel Creative Day Out culture Intip Keseruan Marvel Creative Day Out culture Intip Keseruan Marvel Creative Day Out culture Intip Keseruan Marvel Creative Day Out culture Intip Keseruan Marvel Creative Day Out culture Intip Keseruan Marvel Creative Day Out culture Intip Keseruan Marvel Creative Day Out culture Intip Keseruan Marvel Creative Day Out culture Intip Keseruan Marvel Creative Day Out 
"Lebih dari 1,4 Juta Orang Positif Corona di AS, Total Kematian 87.493", Washington Korban jiwa terus berjatuhan akibat virus Corona di Amerika Serikat Negeri adikuasa itu mencatat kematian terkait infeksi virus Corona dalam waktu jam terakhir Dengan demikian hingga Jumat waktu setempat total kematian akibat Corona di AS telah mencapai kematian Demikian menurut data penghitungan harian yang dilakukan Johns Hopkins University seperti dilansir kantor berita AFP Sabtu AS menjadi negara yang paling terdampak parah pandemi Corona dalam hal jumlah kasus infeksi dan jumlah kematian Menurut data Johns Hopkins University sejauh ini AS telah mencatat total kasus Corona sebanyak kasus dengan negara bagian New York mencatat jumlah kasus terbanyak Selanjutnya Halaman virus corona amerika serikat covid 
Trump Ingin Buka Kembali Ekonomi AS dengan Vaksin Atau Tanpa Vaksin Corona, Washington Presiden Donald Trump berjanji akan membuka kembali perekonomian AS dengan atau tanpa vaksin Hal itu ia sampaikan saat mengumumkan target untuk menyediakan vaksin virus corona pada akhir tahun Ia menyamakan proyek vaksin yang diberi nama Operation Warp Speed dengan upaya menghasilkan senjata nuklir pertama di dunia pada masa Perang Dunia II Namun Trump menjelaskan bahwa tanpa vaksin pun warga Amerika harus mulai kembali ke kehidupan seperti biasa Di sisi lain banyak ahli meragukan vaksin virus corona bisa dikembangkan dalam waktu satu tahun Foto viral dokter di pesawat Lebih takut naik pesawat daripada masuk ke rumah sakit Baunya menyengat puluhan jenazah pasien Covid di truk mayat New York Kematian pertama akibat Covid di AS terjadi lebih awal dari yang semula diperkirakan Apa itu Operation Warp Speed Awal pekan ini Dr Anthony Fauci yang bertugas di gugus tugas virus corona bersaksi di hadapan Senat bahwa terlalu jauh dari harapan untuk membuka kembali sekolah pada musim gugur Getty Images Berbicara dalam jumpa pers di Gedung Putih pada hari Jumat Trump mengatakan proyek ini akan dimulai dengan studi pada kandidat vaksin yang menjanjikan untuk mempercepat penelitian dan persetujuan Itu berarti besar dan berarti cepat katanya tentang Operation Warp Speed Satu upaya saintifik industri dan logistik besar besaran yang belum pernah kita lakukan sejak Proyek Manhattan Trump menunjuk seorang jenderal Angkatan Darat dan mantan eksekutif kesehatan untuk memimpin operasi tersebut sebagai bentuk kemitraan antara pemerintah dan sektor swasta untuk menemukan dan mendistribusikan vaksin Trump mengatakan Operation Warp Speed akan dimulai dengan studi pada kandidat vaksin yang menjanjikan Getty Images Moncef Slaoui yang sebelumnya memimpin divisi vaksin di perusahaan farmasi GlaxoSmithKline akan memimpin misi sedangkan Jenderal Gustave Perna yang mengawasi distribusi untuk Angkatan Darat AS akan berperan sebagai chief operating officer Berbicara setelah Trump Slaoui mengatakan ia yakin bahwa beberapa ratus juta dosis vaksin akan bisa dibagikan pada masyarakat umum pada akhir tahun Ia mengakui dalam wawancara sebelumnya dengan New York Times bahwa target itu ambisius namun mengatakan ia tidak akan berkomitmen kecuali saya pikir itu bisa dicapai Banyak pakar mengatakan vaksin adalah satu satunya hal yang akan memberi warga Amerika kepercayaan diri untuk sepenuhnya membuka kembali perekonomian tanpa adanya pengujian secara luas Apa lagi yang dikatakan Presiden Trump Saya tidak mau orang berpikir ini semua tergantung pada vaksin katanya Vaksin atau tanpa vaksin kita kembali Dan kita sedang memulai prosesnya Dalam banyak kasus mereka tidak punya vaksin dan virus atau flu muncul dan Anda berjuang melewatinya imbuhnya Hal hal lain tidak pernah ada vaksinnya dan mereka pergi begitu saja Saya pikir sekolah harus kembali dibuka pada musim gugur lanjut Trump Awal pekan ini Dr Anthony Fauci yang bertugas di gugus tugas virus corona dan muncul mengenakan masker dalam jumpa pers di Gedung Putih bersaksi di hadapan Senat bahwa terlalu jauh dari harapan untuk membuka kembali sekolah pada musim gugur Ketika Trump berbicara pada hari Jumat sekelompok pengemudi truk yang telah parkir di sekitar Gedung Putih selama beberapa pekan membunyikan klakson sebagai protes terhadap upah rendah Itu sopir sopir truk yang ramah Mereka di pihak kita kata Trump Ini hampir seperti perayaan Sang presiden yang tidak mengenakan masker sempat meminta seorang wartawan untuk melepaskan maskernya sehingga ia bisa didengar lebih jelas di tengah kebisingan suara klakson Apakah akhir tahun target yang realistis Dr Fauci dan para pakar lainnya sangat yakin bahwa pengembangan vaksin akan membutuhkan waktu sedikitnya satu tahun Ketika wabah Ebola melanda antara baru pada Desember Badan Pengawas Makanan dan Obat obatan AS menyetujui vaksin pertamanya Para pakar kesehatan di AS ragu bahwa vaksin virus corona bisa tersedia pada akhir tahun Getty Images Beberapa pakar kesehatan tetap skeptis tentang target pengembangan dan distribusi yang disampaikan Gedung Putih Saya tidak mengerti bagaimana itu terjadi kata Dr Peter Hotez direktur Medicine Coronavirus Vaccine Team di Baylor College dalam wawancara di CNN usai pengumuman Trump Saya tidak melihat ada jalan untuk vaksin apa pun mendapat lisensi untuk penggunaan darurat atau sebaliknya hingga kuartal ketiga tambahnya Dr Rick Bright seorang direktur vaksin AS yang dicopot dari jabatannya setelah menuding Gedung Putih memberikan tekanan politik seputar perawatan virus corona bersaksi di hadapan Kongres pada hari Kamis bahwa pengembangan vaksin biasanya membutuhkan waktu satu dekade Apa lagi upaya AS untuk melawan virus corona Warp Speed adalah yang terbaru dari beberapa proyek respon Covid yang telah dilakukan Washington Pada bulan Maret Gedung Putih meluncurkan prakarsa tes meminta pengecer farmasi besar seperti CVS Walgreens dan Rite Aid untuk mendirikan tempat tes tanpa turun drive through di seluruh negeri Namun kemitraan itu mandek dan AS terus dikritik karena lambat dalam melakukan tes Dalam beberapa pekan terakhir Gedung Putih mengumumkan upaya lebih lanjut dan telah membantu meningkatkan jumlah tes hingga hampir juta pada Mei menurut basis data Our World in Data Selain prakarsa vaksin terbaru dari Gedung Putih Badan Pengawas Makanan dan Obat obatan juga mengevaluasi kandidat vaksin untuk uji coba pada manusia Pada Jumat malam Dewan Perwakilan Rakyat AS yang dikontrol Partai Demokrat meloloskan lewat jajak pendapat RUU untuk mengeluarkan paket bantuan virus corona senilai lebih dari US triliun termasuk dana stimulus bagi pemerintah daerah dan bantuan langsung tunai bagi warga Amerika Namun paket itu yang bahkan ditolak oleh beberapa anggota Demokrat dinilai tidak berpeluang lolos di Senat yang dikuasai Partai Republik ita ita bbc world donald trump amerika serikat 
"Kawah Misterius di Rusia, Isinya Ribuan Ton Logam Mulia", Siberia Ada satu kawah misterius di pedalaman Siberia Rusia Kawah ini dipercaya mengandung ribuan ton logam mulia Seperti apa penampakannya Nun jauh di pedalaman Siberia Rusia ada sebuah kawah raksasa yang disebabkan oleh tumbukan meteor atau sisa gunung berapi purba Kondyor Massif begitu nama kawah ini Selanjutnya Halaman rusia pegunungan siberia kawah kondyor massif kawah asteroid plutonium 
"Penyesalan Bill Gates, Gagal Ingatkan Donald Trump Soal Pandemi", Jakarta Bill Gates sejak jauh hari sudah memperingatkan bahaya pandemi Pada Desember dia mengemukakan hal tersebut pada Presiden AS Donald Trump Selama pertemuan yang berlangsung di Trump Tower bersama Trump yang baru terpilih sebagai Presiden AS kala itu Gates mendiskusikan bahaya penyakit menular dan mendorong Trump memprioritaskan upaya kesiapsiagaan negara untuk menanggulanginya Dikutip detikINET dari Business Insider saran tersebut ternyata juga diberikan Gates secara personal kepada setiap kandidat Presiden AS lainnya Simak Video Bill Gates Buka Suara soal Pembuatan Vaksin Corona Gambas Video detik rns fay bill gates donald trump pandemi covid virus corona 
"Kim Jong Un Muncul Lagi, Mengapa Isu Kesehatannya Begitu Penting?", Jakarta Hampir tiga pekan sejak ketidakhadiran pemimpin tertinggi Korea Utara Kim Jong Un di acara penting memicu desas desus ia sakit parah bahkan meninggal dunia Hingga akhirnya pada Sabtu media pemerintah Korea Utara menerbitkan foto kemunculan Kim Jong Un di depan umum Ini bukan pertama kalinya Kim menghilang dari hadapan publik Di tahun Kim Jong Un sempat tak muncul selama enam pekan sebelum hadir kembali menggunakan tongkat Beberapa hari kemudian agen mata mata Korea Selatan mengatakan Kim telah menjalani operasi pengangkatan kista dari pergelangan kakinya Dikutip dari AFP Kim Jong Un telah berkuasa di Korea Utara selama hampir satu dekade dan kematiannya jika kabar itu benar akan membuat Pyongyang menghadapi suksesi yang tidak direncanakan untuk pertama kali dalam sejarah Salah satu alasan isu kesehatan Kim begitu penting adalah kepemimpinan selalu menjadi urusan keluarga anggota garis keturunan Paektu istilah di Korea Utara untuk pendiri negara Kim Il Sung dan keturunannya Tiga anak Kim dikenal masih sangat muda dan tak ada dari mereka yang ditunjuk untuk menjadi penerusnya Sejauh ini hanya adik perempuannya Yo Jung yang dianggap pesaing utama untuk menggantikannya Hanya saja Korea Utara adalah negara yang dikenal sangat patriartikal yang membuat senioritas dan gender sangat berpengaruh terhadap keputusan apapun yang diambil Kim dikenal di Utara sebagai Pemimpin Tertinggi dan otoritasnya mencakup Partai Buruh yang berkuasa dan juga militer sehingga semua keputusan besar membutuhkan persetujuannya Gambas Video detik kna up kim jong un kim jong un dikabarkan meninggal dunia kim jong un diisukan meninggal kim jong un masih hidup kim jong un korea utara 
Epidemiolog UI Kritik Penyiapan Lab Hadapi Virus Corona di Indonesia, Jakarta Epidemiolog dari Fakultas Kesehatan Masyarakat Universitas Indonesia FKM UI Pandu Riono menyoroti lamanya deteksi pasien yang diduga terjangkit virus Corona COVID Menurut Pandu seharusnya jejaring laboratorium sudah disiapkan sejak terjadinya wabah Corona di Wuhan dan di beberapa negara sebelum masuk ke Indonesia Apalagi berdasarkan Inpres Nomor Tahun tentang Peningkatan Kemampuan Dalam Mencegah Mendeteksi dan Merespons Wabah Penyakit Pandemi Global dan Kedaruratan Nuklir Biologi dan Kimia menurut Pandu secara tegas mengatur peran Kementerian Kesehatan dalam menyiapkan laboratorium jejaring untuk penanganan wabah Selanjutnya Halaman virus corona covid pandu riono pakar epidemiologi laboratorium 
"Siapa Calon Kuat Pengganti Kim Jong-Un, Adik Perempuan Atau Komandan Bayangan?", Pyongyang Spekulasi dan rumor tentang kesehatan Kim Jong un mungkin tidak berarti apa apa tetapi pertanyaan tentang siapa yang mungkin menggantikannya dalam jangka pendek atau jangka panjang akan selalu ada di sana BBC berbicara kepada para analis tentang para calon kuat pengganti Kim Jong un dan masa depan mereka Semua pria dalam keluarga Kim bertanggung jawab atas Korea Utara sejak negara itu dibentuk Kim Il sung pada tahun dan mitos keluarga ini berlaku luas di seluruh masyarakat Propaganda tentang kehebatannya dimulai bahkan sebelum warga negaranya dapat membaca anak anak prasekolah menyanyikan sebuah lagu berjudul Saya ingin melihat pemimpin kita Kim Jong un Mengapa muncul spekulasi pemimpin Korea Utara Kim Jong un sakit keras Bibi Kim Jong un muncul kembali setelah enam tahun menghilang Kekuasaan Kim Jong un di Korea Utara makin besar peran militer makin kecil Jadi bagaimana Anda bisa membayangkan Korea Utara tanpa figur simbolis dan politis tersebut Bagaimana para elit mengatur diri mereka sendiri serta masyarakat secara keseluruhan Jawaban yang mudah adalah kita tidak tahu Lebih menarik lagi mereka juga tidak tahu Mereka tidak pernah harus melakukannya Selalu ada seorang Kim Ketika Kim Jong un sedang dipersiapkan untuk memegang kekuasaan mereka bahkan mulai menggunakan istilah Garis Darah Paektu untuk melegitimasi pemerintahannya Paektu adalah gunung suci dan mitologis di mana Kim Il sung dikatakan telah mengobarkan perang gerilya dan di mana Kim Jong il dilaporkan lahir Kim Jong un selalu pergi ke sana ketika dia ingin menekankan keputusan kebijakan yang penting Selalu ada seorang Kim di jantung ideologis negara itu BBCApa yang akan terjadi pada Korea Utara tanpa adanya penerus takhta Kim Jon un yang berusia tahun diyakini telah memiliki anak namun usia mereka dianggap masih terlalu muda Diperkirakan dia memiliki tiga anak dengan yang tertua berusia tahun dan termuda berusia tiga tahun Kim Jong un sendiri terbilang sangat muda ketika dia mengambil alih kekuasaan pada saat itu dia berusia tahun Sangat mungkin bahwa semacam kepemimpinan kelompok akan muncul mungkin seperti di Vietnam yang sangat bergantung pada ajaran dan legitimasi pendiri untuk meningkatkan posisi mereka sendiri Pengamat dapat melacak siapa yang memegang posisi kunci tertentu dan dapat mengikuti berita dan intelijen sumber terbuka tentang lembaga lembaga penting tetapi tidak dapat benar benar mengetahui bagaimana faksi berkembang atau siapa yang memegang kekuasaan melalui ikatan pribadi daripada ikatan kelembagaan Selain itu kadang kadang wakil atau wakil direktur memiliki kekuatan yang lebih nyata daripada kepala lembaga Ini membuat semua prediksi menjadi sangat sulit Tiga Kim lain yang tersisaTerdapat tiga Kim yang berpotensi terlibat dalam politik Korea Utara jika Kim Jong un benar benar menghilang Mereka semua menghadapi keterbatasan dalam menjalankan aturan keluarga Yang pertama adalah Kim Yo jong adik perempuan Kim Jong un Dia dikatakan menjadi favorit ayahnya yang berkomentar tentang minatnya dalam politik sejak usia muda Sikapnya efisien ringan dan cenderung mencurigakan Banyak orang menganggap dia cukup dekat dengan kakaknya Pada pertemuan puncak Trump Kim di Singapura publik mengenalnya sebagai perempuan yang menyerahkan pena kepada Kim Jong un untuk menandatangani perjanjian dan pada pertemuan puncak berikutnya di Hanoi digambarkan mengintip dari balik sudut ketika saudara lelakinya berpose bersama pada pemimpin negara lain Dia tidak duduk di badan pembuat kebijakan teratas Komisi Urusan Negara tetapi merupakan anggota pengganti Politbiro dan wakil direktur Departemen Propaganda dan Agitasi PAD dari Partai Buruh Korea Ini mungkin tampak seperti akronim yang tidak dapat dipahami tetapi PAD adalah organisasi yang kuat yang memastikan loyalitas ideologis dalam sistem Dia seorang perempuan dan ini membuatnya sulit membayangkan dia menduduki posisi teratas di negara yang sangat patriarkal Korea Utara adalah negara yang sangat patriarki di mana kesetaraan gender membawa harapan yang kaku Menjadi pemimpin tertinggi dan tentu saja menjalankan militer tidak cocok dengan berbagai tugas perempuan Yang kedua adalah Kim Jong chul Dia adalah kakak laki laki Kim Jong un tetapi tidak pernah tampak tertarik dengan politik atau kekuasaan Dia dikenal tertarik pada Eric Clapton Paling paling dia bisa menjadi penghubung simbolis dengan keluarga Kim mungkin menjadi kepala sebuah yayasan Yang terakhir adalah Kim Pyong il saudara tiri Kim Jong il Ibunya ibu tiri Kim Jong il sangat ingin membuatnya menjadi penerus Kim Il sung Namun dia gagal dan dikesampingkan oleh Kim Jong il saat pengaruhnya mulai kuat Kim Pyong il dikirim ke Eropa pada tahun di mana ia menjadi duta besar di berbagai negara dan baru tahun lalu kembali ke Korea Utara Ini berarti sangat tidak mungkin dia memiliki jaringan untuk menjadi pemain sentral dalam politik elit di Pyongyang Orang orang kuat di Korea Utara saat iniAda individu individu lain yang menjadi pusat dalam era Kim Jong un tetapi sulit untuk mengetahui siapa di antara mereka yang akan membentuk hubungan kerja sama dan siapa yang akan bersaing satu sama lain Salah satunya adalah Choe Ryong hae Karirnya mengalami pasang surut di bawah Kim Jong un tetapi setelah melewati beberapa badai saat ini duduk di presidium politbiro dan juga wakil ketua pertama Komisi Urusan Negara Tahun lalu dia menjadi presiden baru pertama dalam tahun menggantikan Kim Yong nam yang sudah tua jadi dia adalah orang yang mewakili Korea Utara dalam keterlibatan internasional Choe juga memegang posisi tinggi di militer dan Departemen Organisasi dan Bimbingan OGD Partai Buruh Korea yang bertanggung jawab menegakkan kesetiaan di seluruh rezim Ini adalah organisasi yang sangat kuat ini menegakkan kepatuhan semua warga negara terhadap ideologi Korea Utara Dia mungkin orang paling kuat kedua di Korea Utara Komandan bayangan lama dan tokoh politik yang sedang naik daunLainnya adalah Kim Yong chol Jenderal ini adalah orang yang berperan dalam pertemuan Trump Kim bertemu dengan Menteri Luar Negeri Amerika Serikat Mike Pompeo beberapa kali Dia menjabat sebagai kepala Departemen Front Bersatu bertanggung jawab untuk hubungan dengan Korea Selatan dan Biro Umum Pengintaian dinas intelijen utama negara itu Dia tampaknya telah mengalami penurunan pangkat setelah perundingan dengan Amerika Serikat tetapi tidak mungkin komandan bayangan ini tidak dikenal Yang lainnya adalah Kim Jae ryong Selain berada di Komisi Urusan Negara ia adalah Perdana Menteri Kabinet posisi yang cukup berpengaruh Relatif sedikit yang diketahui tentang dia tetapi karirnya menanjak dalam beberapa tahun terakhir karena yang lain telah jatuh Dia dikenal mengelola industri dan menjalankan provinsi yang paling terpencil rumah bagi industri militer utama selama beberapa tahun Ini mungkin berarti dia telah terlibat erat dalam program nuklir Jong Kyong taek bertanggungjawab dalam Departemen Keamanan Negara yang menginvestigasi dan menghukum kriminal politik Lembaga itu juga secara fisik melindungi para pemimpin Korea Utara Tanggungjawab yang penting itu menjaga stabilitas sistem di Korea Utara Hwang Pyong so adalah pejabat lain yang memegang jabatan militer tertinggi dan memimpin Departemen Organisasi dan Bimbingan OGD pada masa era Kim Jong un Seperti Choe dan yang lainnya ia telah didisiplinkan Namun dia tampaknya tidak direhabilitasi dengan cara yang sama Pendukung kebijakan luar negeri lainnya Ri Yong ho dan Ri Su yong juga melihat peran berkurang baru baru ini Mereka telah digantikan oleh Ri Son gwon dan Kim Hyung jun Yang pertama disebut sebagai sekutu Kim Yong chol Pejabat militer lainnyaSejumlah jenderal top Angkatan Darat Korea utara juga pasti akan memberikan pengaruh dalam setiap periode transisi Saat ini dua pria duduk di atas Biro Politik Umum Angkatan Darat Kim Su gil dan Kim Won hong Biro ini menegakkan kesetiaan politik dalam militer sesuatu yang akan sangat penting selama periode ketidakpastian Kim Won hong membantu mengilustrasikan betapa sulitnya memprediksi bagaimana kekuatan akan dibagikan jika Kim Jong un tidak ada lagi Kim Won hong dan Hwang Pyong so dianggap bersaing untuk mempengaruhi Kim Jong un dengan biaya yang lain Di antara elit teratas siapa yang akan bentrok dan siapa yang akan bersekutu Apakah akan ada faksi pro dan anti Kim Yo jong Apakah ketakutan akan ketidakstabilan bakal menghentikan persaingan Lagi pula bukanlah kepentingan politisi elit untuk melihat negara itu runtuh membuka pintu bagi semacam pengambilalihan oleh Korea Selatan atau bahkan China Saat ini tidak ada pesaing yang sempurna saudara perempuannya harus mengatasi seksisme dan pemisahan dari tradisi pewaris laki laki Orang lain tidak secara langsung diturunkan dari garis keturunan Paektu yang sangat penting itu tetapi pada akhirnya mereka semua harus memikirkan kesatuan negara yang telah melanggar setiap norma internasional untuk dilestarikan ita ita bbc world kim jong un korea utara 
"Covid, Konspirasi-Sains, Fir'aun vs Musa", Jakarta Organisasi Kesehatan dunia WHO mengganti nama penyakit yang disebabkan oleh SARS Cov dari Corona Wuhan menjadi Covid disingkat Covid atau Covid Alasan singkatnya adalah supaya tidak menjadikan bangsa atau negara asal merebaknya penyakit tersebut sebagai sebuah stigma yang mengarah kepada merebaknya kebencian berdasarkan ras Celakanya kejadian pertama di Wuhan menjadi kesempatan bagi sebagian pemrakarsa teori konspirasi untuk segera memberi label made in virus itu Serentetan analisis yang sepintas logis disusun supaya rasional Alur pikir awam atau alur pikir emosional segera menganggukkan kepala tanda setuju lalu menjadikannya keyakinan yang dibenarkan dalam pikiran Sempat timbul rasis anti Cina di seluruh pelosok bumi Di media sosial ramai diberitakan bahwa seorang Guru Besar Fisiologi Kedokteran berkebangsaan Jepang Profesor Dr Tasuku Honjo menciptakan sensasi di depan media dengan mengatakan bahwa virus korona itu tidak alami Scientist Jepang penerima Nobel itu beralasan jika alami SARS Cov itu tidak akan mempengaruhi seluruh dunia seperti ini Karena sesuai sifat virus ia tidak akan mampu hidup dengan aman di beberapa suhu yang berbeda di berbagai negara Jika ia alami ia akan berdampak buruk hanya pada negara negara yang memiliki suhu yang sama dengan Wuhan Ia pasti sudah menyebar di tempat dingin tetapi mati di tempat panas Sebaliknya jika SARS Cov mampu menyebar di negara seperti Swiss dengan cara yang sama menyebar di daerah gurun maka inilah alasan utama yang menandakan bahwa ia dibuat Honjo telah melakukan tahun penelitian tentang hewan dan virus SARS Cov sepenuhnya buatan Honjo telah bekerja selama tahun di laboratorium Wuhan di Cina Honjo sepenuhnya kenal dengan semua staf laboratorium di Wuhan Dia mengaku telah menelepon mereka semua setelah merebaknya Covid tapi semua ponsel mereka mati selama bulan terakhir Sekarang dipahami bahwa semua teknisi laboratorium ini telah meninggal Berdasarkan semua pengetahuan dan penelitiannya sampai saat ini Hanjo dapat mengatakan dengan keyakinan bahwa korona tidak alami Ia bukan berasal dari kelelawar Cina telah membuatnya Hanjo berani menggaransi pernyataannya dengan mengatakan bahwa jika yang ia katakan terbukti salah saat ini atau bahkan setelah kematiannya pemerintah Jepang boleh membatalkan penghargaan Nobel yang ia peroleh Ia melanjutkan tapi Cina berbohong dan kebenaran ini suatu hari akan bisa diungkapkan kepada semua orang Sejarah TahuDean Koontz penulis yang membesut novel terkenal The Eyes of Darkness pada Mei di USA Dipublikasikan oleh Pocket Books berjumlah halaman Tak terlalu tebal Namun sudah cukup untuk menggambarkan apa yang akan di video kan pada sekarang Terlebih ketika Contagion pada tahu sudah difilmkan Sutradara Steven Soderbergh membesut film yang persis seperti kondisi sekarang Ditambah novel Koontz yang berkisah tentang virus dari Wuhan Apa yang dibayangkan orang Mungkinkah sekedar kebetulan Atau kegiatan yang sudah lama dirancang Lalu dari mana asalnya Covid yang diinfokan berasal dari Wuhan Media membicarakan bahwa virus itu memang berasal dari Paman Sam Dari informasi para pakar biologi molekuler ditemukan bahwa struktur sekuen Ribonucleic acid RNA Covid ternyata prosen identik dengan virus corona di kelelawar Namun prosen identik dengan virus corona Severe Acute Respiratory Syndrome SARS yang mematikan Apa artinya Covid adalah Novel Corona Virus Ia mahluk hidup baru yang muncul atau dimunculkan Covid memiliki kedua kemampuan genetik daya adaptasi yg kuat seperti yang terdapat pada virus corona kelelawar namun sangat mematikan seperti virus corona SARS Lima tahun yang lalu Bill Gates mengingatkan ulang Pada waktu itu dia menjelaskan lebar dan panjang Sambil mengingatkan ulang film Contagion Ia ulas balik Perang Dunia I tahun dan flu Spanyol yang menelan jutaan korban Lengkap dengan kisah Ebola dan jumlah jutaan manusia yang menjadi korban Lebih dari jutaan orang Titik pentingnya dia ingatkan Akan yang bakal dunia hadapi di masa datang Bukan perang nuklir seperti yang semula sangat ditakutkan Tetapi perang biologi yang sejatinya seluruh dunia belum siap mengadang Belum siap tenaga peralatan dan segala prasarana yang seharusnya disediakan Bisa jadi novel The Eyes of Darkness dan film Contagion di atas mengisyaratkan egoisme terpendam Hasrat untuk menjadi penguasa dunia di abad sekarang Kita semua terang benderang dengan kisah Fir aun yang sangat melegenda Dahulu raja Fi aun merupakan raja di atas awan Ia berkonspirasi dengan Hamam perdana menterinya yang juga memiliki sifat sangat sealiran Didukung Qorun yang kekayaannya melampaui kekayaan seluruh penduduk alam Fir aun sampai menganggap dirinya sebagai Tuhan karena merasa tak ada satu pun raja atau siapa pun yang bakal mengalahkan Berulang al Quran menyebut Fir aun sebagai orang yang sangat melampaui batas Menindas Bani Isra il qaum Nabi Musa as Fir aun merasa menjadi bangsa di atas siapa pun dia benar benar merasa Tuhan Nabi Musa berulangkali mengingatkan kekeliruan Fir aun Nabi Musa meminta Bani Isra il dibebaskan dari penganiayaan tak berperikemanusiaan Bayi bayi lelaki mereka dibinasakan sedangkan yang perempuan dibiarkan hidup Kebiadaban yang tak perlu diulang Mungkin saat ini ada juga negara yang memiripkan dirinya dengan negara Fir aun Hanya saja tidak berani terang terangan menginformasikan ke dunia internasional Tak pelak Tuhan menimpakan bencana kepada negeri Fir aun Nabi Musa sambil terus menerus mengingatkan untuk segera kembali ke jalan Tuhan namun tak pernah dihiraukan Setiap kali Fir aun dan para pendukungnya tidak mampu menghindarkan bencana berulang ia memohon kepada Nabi Musa untuk menghalau segala pandemi di masanya melalui berdoa kepada Tuhannya Nabi Musa Banjir darah pandemi katak pandemi belalang yang tidak meninggalkan satu pun biji gandum tersisa di batang batangnya Setiap kali Nabi Musa memohonkan doa dan setiap kali diselamatkan Tuhan Fir aun selalu kembali melampaui batas Akhirnya ia dan seluruh qaumnya dibinasakan Tuhan Apa pun yang dituju oleh si pembuat Covid tampa ijin Tuhan pasti tidak akan terjadi Berarti Covid dibuat atau buatan semuanya telah diijinkan Nya untuk menimpa penduduk bumi Hukum ketertarikan The Law of Attraction mengatakan bahwa prilaku positif menarik peristiwa positif sebaliknya perilaku negatif menarik peristiwa negatif Pasti Tuhan tidak akan menimpakan peristiwa negatif kepada sekelompok orang yang perilakunya menjadikan bumi ini aman Mengapakah Tuhanmu akan menyiksamu jika kamu bersyukur memanfaatkan nikmat sesuai petunjukNya dan kamu beriman yakin kepadaNya terbukti dengan menjalankan petunjukNya itu QS an Nisaa Bila perbuatan negatif keangkuhan yang merajalela berbuat sewenang wenang atas orang orang atau bangsa lain diterus teruskan sedangkan tidak ada bangsa yang mengingatkan dan mencegah maka orang orang atau negara yang tidak mencegahnya bisa turut menikmati bencana yang ditimpakan Dan peliharalah dirimu dari fitnah yang tidak hanya menimpa qaum yang dzalim saja diantara kamu QS al Anfal tetapi juga menimpa orang orang yang tidak mau mengingatkan atau tidak mau berusaha menggagalkan upaya buruknya itu Entah Covid ini buatan atau sengaja dibuat yang jelas pandemi ini harus segera padam Bagi kita sangat penting mengevaluasi perbuatan kita selama ini hendak bermitra dengan semua penduduk bumi atau mau menjadi paling digdaya mengganti posisi Fira aun yang jelas binasa Mari kita belajar jumawa bergandeng tangan mendiami bumi ini dengan kasih sayang karena Nya Shiyam puasa di bulan ramadlan ini merupakan kesempatan untuk menghempas ke aku an egoisme mengoptimalkan altruisme melejitkan kasih sayang kepada semesta Sehingga menjadi kesempatan memohon curahan rahmat dan kasih sayang Tuhan untuk menghempas pandemi agar segera hilang Bukankah Nabi Musa pernah membuktikan AbdurachmanGuru Besar FK Unair Takmir Masjid FK Unair Tulisan ini adalah kiriman pembaca sehingga seluruh isi artikel menjadi tanggung jawab pembaca Redaksi tidak bertanggung jawab atas isi artikel baik sebagian maupun seluruhnya erd erd virus corona kolom hikmah hikmah 
