title,content
6 ABK Termasuk 3 WNI Diculik Perompak di Perairan Afrika Barat, Libreville Sejumlah perompak menyerang dua kapal pencari ikan di perairan dekat Gabon Afrika Barat dan menculik enam anak buah kapal ABK di dalamnya Terdapat sedikitnya tiga warga Indonesia WNI di antara ABK yang diculik Seperti dilansir AFP Selasa tindak penyerangan dan penculikan ABK ini dilaporkan seorang sumber yang dekat dengan pemerintah Gabon Penyerangan kapal ini terjadi pada Minggu waktu setempat Para perompak menculik tiga warga Indonesia dua warga Senegal dan seorang warga Korea Selatan sebut sumber tersebut nvc ita gabon perompak wni 
Krisis Finansial Akibat Corona Berisiko Sebabkan Gejolak Sosial, Jakarta Kepala Pusat Penerangan TNI Mayjen Sisriadi mengatakan dalam sebuah diskusi pada Selasa bahwa TNI menyiapkan pasukan untuk menghadapi kemungkinan gejolak sosial di tengah pandemi COVID TNI selalu berfikiran situasi terburuk yang harus disiapkan terutama dalam kondisi krisis seperti sekarang ini kata Sisriadi seperti dilansir dari Tempo Sisriadi menambahkan ia melihat ada sedikit pelambatan kurva perkembangan kasus COVID di Indonesia meski TNI belum yakin akan terjadi penurunan dalam jangka pendek Menurutnya kondisi terburuk di bidang keamanan masalah pandemi ini tidak semata mata hanya masalah kesehatan tetapi juga ekonomi Ketika masalah ekonomi menyentuh masyarakat pada akar rumput ini berkaitan erat dengan masalah perut Ketika masalah perut maka bisa menjadi penyulut masalah keamanan yang lebih besar ujarnya Pengangguran diprediksi meningkat dua kali lipatEkonom Institute For Development of Economics and Finance INDEF Bhima Yudhistira membenarkan ancaman gejolak sosial tersebut Menurutnya indikator pertama adalah tingkat pengangguran terbuka yang diprediksi akan naik cukup tinggi pada tahun ini yaitu di atas persen sebagai perbandingan tahun angkanya lima persen Ia menambahkan keadaan sulit ketika banyak karyawan dirumahkan tanpa digaji dan tunjangan juga bisa diperparah dengan krisis pangan Jadi kalau orang menganggur kemudian ada krisis pangan di mana sekarang juga sudah terlihat harga beberapa komoditas pangan seperti bawang putih bawang merah gula pasir juga sudah mulai langka di beberapa toko ritel misalnya ini jadi salah satu indikasi memang kita harus bersiap menghadapi krisis pangan dan itu juga bisa memacu orang orang melakukan social unrest penjarahan kemudian kriminalitas juga naik jelasnya Krisis ekonomi paling sulit di era Indonesia merdekaBhima mengatakan krisis krisis ekonomi saat ini kemungkinan adalah krisis tersulit yang pernah terjadi sepanjang sejarah Indonesia merdeka Menurutnya pada krisis finansial tahun sektor UMKM masih kuat Sedangkan di tahun UMKM yang seharusnya menjadi penopang untuk orang orang yang di PHK tidak mampu menyerap tenaga tersebut Tahun ini bahkan UMKM ini juga kesulitan karena adanya PSBB dan physical distancing jadi mereka dilarang untuk berjualan juga Menurut saya memang dalam sejarah mungkin ini adalah krisis yang paling dalam sejak Indonesia merdeka ujarnya Ia menambahkan indikator lain yang mungkin menyebabkan keresahan sosial social unrest yakni tingkat kemiskinan karena ada juta masyarakat kelas menengah yang rentan miskin Bhima merujuk pada laporan Bank Dunia berjudul Aspiring Indonesia Expanding the Middle Class yang menyatakan masyarakat Indonesia yang sudah keluar dari garis kemiskinan masih rentan untuk kembali miskin Nah ini dalam beberapa bulan terjadi pandemi banyak dari mereka yang sudah masuk di bawah garis kemiskinan Ini berisiko juga di daerah daerah sebutnya Menurutnya bantuan langsung tunai BLT dan sembako masih belum mencukupi kebutuhan masyarakat saat ini Rasio antara stimulus terhadap PDB hanya persen sedangkan di Malaysia hampir persen dan Singapura di atas persen Bhima mengkhawatirkan bahwa masyarakat kelas menengah rentan miskin belum mendapat social safety net yang cukup Benarkah Indonesia hadapi gejolak sosial akibat pandemi Pengamat sosial Universitas Indonesia UI Devie Rahmawati mengatakan sejauh ini masyarakat Indonesia cukup kooperatif bila dibandingkan dengan negara negara lain dalam menghadapi situasi sulit di tengah pandemi ini Misalnya ada beberapa kasus besar mulai dari panic buying lalu kemudian aksi aksi kejahatan untuk menjarah misalnya lalu kemudian ketidaktaatan lain itu jauh lebih kuat di banyak negara dibanding Indonesia ujar Devie Ia menambahkan situasi di Indonesia sejauh ini masih lebih terkendali meski tak menampik ada satu atau dua aksi personal yang dilakukan oleh sekelompok kecil masyarakat Ia juga memperingatkan agar masyarakat tidak menerjemahkan secara personal pemberitahuan pemberitahuan yang dikeluarkan pemerintah agar persepsi tidak menjadi liar Jadi persepsi ini jangan sampai kemudian mempengaruhi alam mental masyarakat yang akhirnya mendorong mereka untuk mengambil jalan pintas jelasnya kepada DW Indonesia Masyarakat Indonesia sangat kooperatif sejauh iniDevie mengatakan langkah antisipasi TNI menghadapi gejolak sosial sudah tepat Langkah tersebut bisa diartikan bahwa pemerintah memberi sinyal tidak akan menolerir apapun terkait upaya upaya yang berpotensi kerusuhan Ia menyebut aksi sosial bisa dibedakan dalam dua hal yakni aksi sosial akibat dorongan dan aksi sosial yang sistematis Kita perlu antisipasi dalam konteks pemerintah tentu saja antisipasi dua kemungkinan itu Kalau yang dalam konteks terjadi secara alamiah berarti motif motif alamiahnya harus diatasi seperti tadi bantuan sosial pendampingan masyarakat memastikan pemberian tersebut tepat sasaran dan sebagainya jelasnya Pemerintah perlu memastikan bahwa tidak ada masyarakat yang kekurangan dan kesulitan dalam situasi ini karena bukan tidak mungkin mereka secara sosial akan menggunakan pendekatan emosional Ia mengatakan hal yang paling emosional secara kultural bagi masyarakat Indonesia adalah hal terkait isu agama Tetapi selama hampir dua bulan tidak timbul gejolak sosial akibat hal tersebut Artinya persoalan ini masih bisa dikelola dengan baik Lihat bagaimana ketika ritual ritual mingguan yang biasa dilakukan kemudian sudah satu setengah bulan hampir dua bulan ini tidak dilakukan dan itu tidak menimbulkan gejolak sosial yang berarti di masyarakat ungkapnya pk hp ita ita dw news virus corona covid 
Laporan Aktivis Ravio Patra soal Peretasan WA Diselidiki Polisi, Jakarta Aktivis Ravio Patra melaporkan adanya dugaan peretasan akun WhatsApp WA miliknya ke Polda Metro Jaya Saat ini polisi masih menyelidiki laporan tersebut Iya kita selidiki dahulu kata Kabid Humas Polda Mero Jaya Kombes Yusri Yunus saat dihubungi detikcom Sabtu Hanya saja Yusri tidak menjelaskan lebih lanjut kapan polisi akan memanggil Ravio untuk dimintai keterangan Selanjutnya Halaman ravio patra ravio patra ditangkap peretasan polda metro jaya 
"Total 12 Buruh Ditangkap terkait Demo Ricuh di Malut, Provokator-Penjarah", Jakarta Polisi menangkap orang terkait demo ricuh yang berujung pembakaran di Halmahera Tengah Maluku Utara Malut Sebanyak orang itu memiliki tiga peran mulai dugaan provokator hingga penjarahan Jadi ada tambahan satu jadi orang mereka ini akan dilakukan pemeriksaan dan penyidikan di Polda Maluku Utara di Reskrimum Akan didalami lagi peran masing masing yang diduga dari ini punya peran ada provokatornya penjarahan dan perusakan kata Kabid Humas Polda Malut AKBP Adip Rojikan saat dihubungi Sabtu Simak juga video Petani Kecil di Ukraina Gelar Aksi Protes Selanjutnya Halaman biromakassar maluku utara demo buruh demo ricuh 
Giliran Ravio Patra yang Lapor Polisi, Jakarta Kasus yang melibatkan aktivis Ravio Patra terus berlanjut Kali ini giliran Ravio yang melaporkan kasus dugaan peretasan akun WhatsApp WA miliknya ke Polda Metro Jaya Kuasa hukum Ravio Patra Era Purnamasari mengatakan Ravio didampingi tim kuasa hukum melaporkan kasus dugaan peretasan ke Polda Metro Jaya pada hari Senin sekitar pukul WIB Laporan tersebut diterima dengan bukti lapor bernomor TBL IV YAN SPKT PMJ tertanggal April Simak video Senang Ravio Patra Dibebaskan Ini Pesan Mahfud MD Selanjutnya Halaman round up ravio patra ravio patra ditangkap polda metro jaya peretasan whatsapp 
"Dapat Pesan dari Ravio Patra, Bupati Taput: Kalau Kenal Saya Nasihati", Tapanuli Utara Bupati Tapanuli Utara Taput Nikson Nababan mengatakan dirinya mendapat pesan lewat WhatsApp dari nomor Ravio Patra Nikson mengatakan tak tahu siapa pengirim pesan tersebut sebelum akhirnya nomor yang mengirim pesan dicek polisi Nikson mengatakan dirinya langsung meng capture pesan tersebut dan mengirim ke Kapolres Taput AKBP Horas Marisi Silaen Nikson mengaku awalnya menduga nomor tersebut milik salah satu warga Taput Iya terkirim ke saya kemudian saya capture forward ke Pak Kapolres Tujuan saya agar Pak Kapolres mengambil langkah langkah preventif Dugaan saya awalnya itu mungkin saja warga saya di Taput ujar Nikson Selasa Selanjutnya Halaman biromedan tapanuli utara ravio patra 
"Kasus Ravio Patra, Aduan Info ke Polda Metro Berasal dari Kapolres Tapanuli Utara", Medan Aktivis Ravio Patra sempat diamankan karena diduga mengirim pesan bernada provokasi Informasi soal keberadaan pesan dari nomor Ravio itu disampaikan ke Polda Metro Jaya salah satunya oleh Kapolres Tapanuli Utara Taput AKBP Horas Marisi Silaen Horas mengatakan dirinya mengetahui pesan bernada provokasi itu dari Bupati Taput Nikson Nababan Menurutnya Nikson mendapat pesan dari nomor yang belakangan diketahui terdaftar atas nama Ravio Patra Iya saya dapat kiriman pertama dari Bupati Saya cek setelah saya cek saya kan nggak tahu Ravio Patra itu siapa nah setelah saya cek terus karena Bupati merasa resah dan saya cek ini berita dari mana apakah orang Taput karena di daerah saya nah pas dicek namanya ini saya bilang Bupati saya nggak kenal kata Horas Selasa Selanjutnya Halaman biromedan tapanuli utara ravio patra 
Keuangan Negara Meredam Covid-19, Jakarta Pemerintah telah melakukan perubahan APBN Hal ini diawali keluarnya Perpu tentang kebijakan keuangan negara dan stabilitas sistem keuangan dalam menghadapi Covid dan ditindaklanjuti dengan Perpres tentang perubahan postur APBN Perubahan terjadi pada pendapatan negara turun sebesar Rp triliun atau Hal ini karena target penerimaan pajak yang turun sebesar dan penerimaan negara bukan pajak PNBP turun sebesar Sementara itu belanja pemerintah pusat naik sebesar Rp triliun atau dan pembiayaan dengan utang naik sebesar Rp triliun atau Hal ini membuat defisit anggaran melebar dari menjadi Hantaman pandemi Covid membuat keuangan negara tidak bebas bergerak Realistis Pemerintah telah melakukan keputusan yang sigap dan cermat dalam menghadapi situasi saat ini Keluarnya Perpu dianggap sebagai jurus ampuh dalam menyikapi situasi ekonomi yang serba tidak pasti Jika dilihat postur APBN P kita harus akui memang kurang sehat dengan tingginya keseimbangan primer defisit anggaran dan naiknya pembiayaan utang Tetapi ini tidak buruk Kita harus realistis bahwa target APBN yang dicanangkan sebelumnya mustahil akan tercapai Hal ini karena nadi perekonomian lumpuh dan ini terjadi secara bersamaan di ratusan negara Untuk sementara waktu kita perlu mengabaikan dulu target pertumbuhan ekonomi dan fokus menyelamatkan ekonomi masyarakat Defisit anggaran perlu diperlebar untuk memberikan ruang mencari pembiayaan Hal ini bisa dibenarkan sepanjang untuk keadilan dan pemerataan bagi rakyat Hari ini saatnya negara melayani rakyat secara nyata Dua indikator utama yang perlu dijaga pemerintah ke depan adalah daya beli masyarakat lewat konsumsi rumah tangga dan belanja pemerintah yang optimal Hal ini juga terlihat dari outlook pemerintah dari konsumsi rumah tangga dari menjadi dan belanja pemerintah dari menjadi Artinya ke depan pemerintah mengandalkan dua komponen ini InsentifPemerintah telah menganggarkan dana sekitar Rp triliun dengan rincian insentif bidang kesehatan sebesar Rp triliun insentif perlindungan sosial sebesar Rp triliun insentif perpajakan dan stimulus KUR sebesar Rp triliun insentif pembiayaan program pemulihan ekonomi nasional termasuk restrukturisasi kredit dan pembiayaan UMKM sebesar Rp triliun Program jaringan pengamanan sosial diyakini mampu menjaga daya beli masyarakat seperti PKH kartu sembako bantuan langsung tunai dan lainnya Ditambah lagi dengan program dana desa membina ekonomi keluarga sejahtera mekaar bank mikro nelayan dan bank wakaf mikro Sejalan dengan laporan Oxfam International bahwa Indonesia dipuji upayanya mengurangi jurang ketimpangan antara si kaya dan si miskin lewat berbagai kebijakan seperti pajak pemenuhan hak hak buruh dan anggaran belanja sosial Jika program ini dieksekusi dengan benar dan tepat sasaran Indonesia akan mampu bertahan menghadapi kondisi yang serba sulit ini Patut kita syukuri penerimaan negara kuartal baru saja diumumkan oleh Menteri Keuangan Penerimaan sampai Maret sebesar Rp triliun atau dari APBN Jika berdasarkan APBP P berarti penerimaan sudah mencapai Hal ini ditopang dari penerimaan perpajakan sebesar Rp triliun atau dan PNBP sebesar RP triliun atau Salah satu penopang penerimaan negara adalah dari setoran BUMN yang naik kali lipat dari tahun lalu yakni sebesar Rp trilin dari triliun Beberapa BUMN mempercepat rapat umum pemegang saham RUPS Tantangan Realisasi penerimaan negara hingga Maret belum terpengaruh Covid sehingga masih cukup tinggi Namun kita perlu khawatir pada kuartal karena efeknya baru terasa Diperkirakan pendapatan negara akan terjun bebas pada Juni mendatang karena penerimaan yang rendah sementara belanja yang tinggi Langkah dan antisipasi pada kuartal amat menentukan bagaimana kondisi perekonomian kita Jika kita salah kebijakan maka keuangan negara akan memburuk Hal mendasar pemerintah dan daerah perlu segera menyelesaikan refocusing dan realokasi APBN APBD Jangan terjabak dengan hal hal administratif Kebijakan seperti pembebasan sosial skala besar harus diiringi dengan stimulus yang tepat waktunya Saat ini kebijakan telah diterapkan tetapi pendataan baru berjalan Keterlambatan akan berbiaya mahal dengan terjadinya penjarahan begal perampokan dan lainnya karena orang butuh makan Hal ini sudah kian nyata seperti adanya begal di Jalan Raya Bekasi dan pencurian minimarket di Depok Selanjutnya Kementerian Keuangan perlu terus berkoordinasi dengan Bank Indonesia Otoritas Jasa Keuangan dan Lembaga Penjamin Simpanan untuk menghasilkan kebijakan fiskal yang responsif dan progresif Kementerian teknis dan daerah harus segera mengeksekusi program yang berhubungan langsung dengan masyarakat Tantangan lainnya meyakinkan semua pihak bahwa ini kejadian yang genting sehingga butuh penanganan luar biasa salah satunya segera membahas dan mengesahkan Perpu Keterlibatan dan rasa tanggung jawab semua pihak adalah kunci menghadapi kasus wabah dan menyelamat perekonomian kita Dwinda Rahman peneliti Center for Indonesia Taxation Analysis CITA mmu mmu perppu covid keuangan negara apbn 
Kepanikan di Jalan Mississauga, Jakarta Anak laki laki berusia sekitar sepuluh tahun lari terbirit birit dari arah barat sementara dari arah timur sekitar sepuluh orang sedang menunggui kehadirannya Tampak sedikit aneh sepuluh orang yang berada hampir di ujung jalan itu Hanya ada dua perempuan dan sisanya beberapa pemuda dan laki laki dewasa Dua perempuan itu tampak memasang raut muka cemas dan para lelaki itu juga sama menakutkannya Seorang lelaki dewasa sedang memegang stik baseball seorang lagi lebih tua dengan senapan laras panjang yang dipegangnya menggantung dan seorang pemuda tampak dengan tongkat sepanjang dua kali dari tinggi badannya Sekitar tujuh puluh meter jarak antara anak laki laki itu dan mereka masih dalam posisi yang sama di sebelah timur Tiba tiba suara tangisan terpecah dari anak laki laki itu lalu mereka membalasnya serentak dengan teriakan panik terdengar berisik seperti ketika pembalap idola memimpin pada putaran terakhir MotoGp Entah apa yang sedang terjadi Ketika anak laki laki itu lebih dekat dengan mereka satu dari dua perempuan itu berlari dan menjemputnya Hingga akhirnya anak laki laki itu sampai di pelukannya Ia memeluk dengan erat tubuhnya anak itu juga tak kalah membalasnya dengan pelukan erat tampak ia sangat ingin melindunginya Mississauga masih mencekam Selepas kejadian World Trade Center WTC pada banyak masyarakat muslim di Amerika semakin was was Meski kejadian di New York jauh dari Mississauga dampak yang ditimbulkan terasa sampai sana bahkan seluruh masyarakat muslim di dunia menaruh simpati yang amat mendalam atas kejadian itu Dampak itu sangat terasa di beberapa titik kota di Mississauga beberapa dari mereka bahkan tak mau keluar rumah dan seorang suami hendak mencari bahan makan di celananya selalu tergantung revolver Beberapa kejadian di depan Hotel Monte Carlo semakin menambah ketakutan masyarakat muslim di Mississauga Perempuan berhijab ditanggalkan hijabnya secara paksa oleh sekelompok orang dan beberapa masjid juga diblokade oleh mereka Bahkan mobil Fort Crown Victoria yang bertuliskan POLICE tak henti hentinya berlalu lalang di jalanan Mississauga saat itu Namun kejadian itu tak berlangsung lama setelah Syafiq Qaadri sebagai perwakilan muslim di Mississauga meminta pengamanan kepada pemerintah Toronto Pada saya mendapat panggilan untuk bekerja di sebuah perusahaan di Toronto atau lebih tepatnya tempat tinggal saya sekarang adalah di Mississauga Saya turut membawa anak dan istri tinggal di sana Saat pertama kali mendengar panggilan pekerjaan itu tentu saya merasa khawatir Setelah mendengar beberapa kejadian dampak dari WTC bahkan saya hampir mengurungkan niat untuk menerima panggilan itu Namun setelah saya ketahui dari seorang teman yang sudah lebih dahulu singgah di Toronto membesarkan hati saya untuk tetap berangkat ke sana Dia menceritakan kondisi sekarang ini di sana dan saya menambah informasi tersebut dari beberapa artikel yang di share di blog pribadi atau media massa Toronto Banyak sekali yang saya dapat dari penelusuran saya di internet salah satunya adalah informasi bahwa banyak warga asli Kanada yang menjadi muhtadin dan singgah di Toronto dan Islam di Toronto kini sudah semakin berkembang pesat Demikian semakin membuat saya dan keluarga menjadi lebih tenang Seorang lelaki mendatangi saya ketika saya sedang mengunjungi salah satu rumah di perumahan Victoria Street di Mississauga Ia menyodorkan tangan dan menyebutkan namanya Sadie Samant Kemudian saya sambut tangannya Jusuf dari Indonesia Tampak ia tersenyum Kemudian saya balik bertanya kepadanya Dari namamu sepertinya Anda seorang muslim Ya Saya satu satunya keluarga muslim di sini Senang jika Anda mengambil rumah ini dari Pak Bourassa dan menjadi tetangga saya Perbincangan kami berlanjut lama Sadie menceritakan asalnya dari negara bagian Italia dan singgah di Mississauga sebagai pendatang pada Pada awalnya ia juga sangat ketakutan untuk memutuskan pergi ke Toronto Pada saat itu berita tentang hilangnya beberapa laki laki Toronto menjadi perbincangan hangat masyarakat dunia Bahkan beberapa kejadian pembunuhan dilakukan di gereja dan ketika kukaitkan dengan kejadian di WTC Sadie menyahut dengan pemikiran yang sama beranggapan bahwa pelakunya adalah seorang muslim Namun setelah penangkapan Bruce McArthur sebagai pelaku pembunuhan itu pada Sadie menjadi lebih lega singgah di Mississauga sebab si pelaku bukan dari kalangan muslim Kemudian kami tertawa setelah saya katakan kepadanya bahwa Bruce McArthur adalah seorang gay bukan teroris atau semacam anggota kelompok ekstremisme Tawa itu mengakhiri perjumpaan kami dan pula sebagai awal persahabatan kami Tentu pada akhirnya saya mengambil rumah milik seorang pengusaha di Mississauga yang bernama Bourassa itu Setelah satu minggu tinggal di Perumahan Victoria Street saya dan keluarga berangsur angsur merasa lebih betah tinggal di sini Beberapa tetangga juga menerima kami dengan baik Begitu memang cerita dari Sadie kala itu seluruh warga di Victoria Street adalah non muslim selain dirinya dan benar saja tetangga saya ada yang Kristen dan juga Yahudi Abhishek tetangga saya yang berusia sekitar dua puluh lima tahun sering berkunjung ke rumah saya pada malam hari Berbeda dengan Sadie saya mungkin hanya menemuinya beberapa kali pada pagi hari atau pada akhir pekan jika saya sedang ingin berkunjung ke rumahnya Abhishek menjadi orang Perumahan Victoria Street yang saya kenal lebih dekat selanjutnya Meski dia beragama Kristen namun tak memandang saya yang muslim sebagai musuh Saya berteman dengan Abhishek layaknya teman saya yang non muslim di Indonesia Mereka tak membeda bedakan seseorang karena keyakinannya Termasuk tetangga yang lain saya merasa mereka tak jauh berbeda dengan tetangga orangtua saya di Indonesia Satu tahun kemudian Toronto kembali mencekam dan bahkan bukan hanya di Toronto seluruh masyarakat dunia merasakan dampak yang sama Virus mematikan dari kota Wuhan di Tiongkok itu pertama kali ditemukan di salah satu pasien di Rumah Sakit Pusat Wuhan Dan kemudian menyebar luas ke seluruh warganya hingga kota tersebut mirip dengan kota yang pernah difilmkan sebagai kota zombie Seluruh warga kota tak keluar sama sekali bahkan beberapa warganya ditemukan terkapar di tengah jalanan kota Pertengahan Januari virus tersebut sampai di Amerika Beberapa orang telah dinyatakan positif terjangkit virus mematikan itu Sampai akhir Januari sudah sekitar dua ratus orang di Toronto dinyatakan positif terjangkit virus itu Salah seorang anggota keluarga Sadie Samant juga terkena virus itu hingga rumahnya tertutup sangat rapat bahkan sekalipun saya tak lagi menemui dia dan istrinya keluar dari rumah Sementara Abhishek masih bisa saya hubungi Beberapa kali saya mampir ke rumahnya dan memintanya agar menemani saya pergi untuk mencari bahan makanan Kau tak ke masjid hari ini tanya Abhishek ketika itu sedang menemani saya ke Pasar Mississauga di hari Jumat Ia bekerja di sebuah restoran dekat masjid yang biasa saya melakukan ibadah Salat Jumat di sana maka tak heran jika ia menanyakan demikian itu pada saya Tidak kemarin kawan saya dari Indonesia mengabarkan untuk meliburkan seluruh kegiatan keagamaan yang menimbulkan banyak kerumunan orang Imam Masjid Jamia Riyadhul Jannah juga mengumumkan hal yang sama terang saya kepadanya Bagaimana agamamu memandang kejadian ini tanya Abhishek kembali Ada beberapa pendapat Jika di agama saya seluruh hukum sumbernya ada dua Quran dan Hadis dan ada beberapa Hadis yang melarang seseorang beribadah karena sebuah wilayah itu sedang terkena wabah Bagaimana dengan agamamu Maka berseru serulah mereka kepada Tuhan dalam kesesakan mereka dan di selamatkannya mereka dari kecemasan mereka Disampaikan firman Nya dan disembuhkan Nya mereka Diluputkan Nya mereka dari liang kubur Mazmur Pendetaku hanya membawa ayat demikian dan semua gereja di Toronto ditutup jelasnya Tiba tiba anak laki laki berlari di depan kami dari arah barat Ia terbirit birit menuju ke arah timur Jalanan yang sepi membikin suara langkahnya menggema seperti seekor kuda sedang menarik kereta di aspal tengah kota Ia berlari amat tergesa hingga saya dan Abhishek berhenti berjalan dan menontoni bocah itu Di ujung jalan sepuluh orang telah menungguinya dua di antara mereka adalah perempuan Sebelumnya saya telah tak sengaja berpapasan dengan sepuluh orang it mereka beberapa kali tampak mengumpat dan hanya terlihat mata mereka yang saling berbinar Seluruh dari mereka menggunakan masker hingga tak saya ketahui persis bagaimana bentuk wajah mereka Dan benar saja ketika bocah itu menangis dan berteriak mereka benar benar membalasnya dengan teriakan ketakutan Tanya saya kemudian apa yang sedang terjadi Ditambah lagi dengan beberapa senjata yang sedang mereka bawa Dua kendaraan berjenis Suburban Chevrolet dari arah barat tampak tergesa gesa Kendaraan putih bertuliskan POLICE itu tampak sedang mengejar sesuatu Saya mencoba untuk tidak mengaitkannya dengan bocah berusia sepuluh tahun itu Hingga akhirnya kami berdua sampai di Pasar Mississauga Di sana tampak banyak orang telah berkerumun dengan muka yang sama sama cemas Setelah saya telusuri dan hampir semua orang yang berkerumun itu saya tanyai mereka tak menjawab apa apa bahkan sama bingungnya dengan saya dan Abhishek Lalu saya dan Abhishek masuk ke pasar Kerumunan orang semakin banyak dan beberapa orang tampak terluka dan terkucur darah di tubuhnya Dua hari kemudian media massa Toronto mengabarkan telah terjadi sebuah penjarahan di sebuah toko di dalam Pasar Mississauga yang mengakibatkan beberapa orang terluka Dan setelah ditelusuri secara mendalam oleh pihak kepolisian penyebabnya adalah kepanikan atas wabah yang sampai kini sedang membikin gopoh dunia mmu mmu toronto kanada wabah corona virus corona 
Ravio Patra Dipulangkan Usai 24 Jam Pemeriksaan, Jakarta Aktivis Ravio Patra sempat ditangkap polisi atas dugaan penghasutan kekerasan dan keonaran Dia sempat diperiksa selama jam hingga akhirnya dipulangkan dengan status sebagai saksi Dirangkum detikcom Ravio Patra dipulangkan oleh polisi pada Kamis April malam Selain Ravio Patra staf Kedutaan Belanda yang sempat ikut diamankan sudah dipulangkan Ya sudah dipulangkan kata Karo Penmas Divisi Humas Polri Brigjen Argo Yuwono dalam keterangannya kepada detikcom Jumat Selanjutnya Halaman ravio patra ravio patra ditangkap round up polda metro jaya penghasutan ujaran kebencian provokasi penjarahan 
