title,content
"'Jun Bintang' Ngancam di FB Mau Bom Bali, Ujungnya Dicokok Polisi", Denpasar Ditreskrimsus Polda Bali menanggapi serius komentar sebuah akun Facebook yang isinya candaan kasar mengandung unsur ancaman akan mengebom Bali Pemilik akun dicokok Subdit V Siber Ditreskrimsus Polda Bali telah melakukan penangkapan terhadap orang yang diduga melakukan tindak pidana pengancaman dan menyebarkan informasi yang ditujukan untuk menimbulkan rasa kebencian atau permusuhan individu dan atau kelompok masyarakat tertentu berdasarkan atas suku agama ras dan antargolongan kata Kasubdit V Dirkrimsus Polda Bali AKBP I Gusti Ayu Putu Suinaci kepada detikcom Jumat Simak video Geger Teror Bom Masjid di Kalteng Polisi Bekuk Seorang Pemuda tor tor biromakassar bali bom bali 
"Jaga Daya Tahan Tubuh, Ini 3 Tips Cegah Stres Saat Puasa", Jakarta Pandemi COVID membuat masyarakat harus menjalani kegiatan di rumah saja termasuk WFH selama Ramadhan Meski bisa mengurangi risiko paparan virus Corona namun WFH yang tidak diperhatikan akan menyebabkan timbulnya masalah lain WFH yang berlebihan dengan mengesampingkan istirahat dan bekerja terlalu keras dapat membuat pikiran menjadi stres dan ketika stres tiba daya tahan tubuh pun berkurang Sebab stres yang berkelanjutan membuat rentan terhadap penyakit Dilansir dari Psychology Today stres dan penyakit memiliki kaitan Sebab sistem endokrin dan kekebalan saling berkaitan gangguan pada satu sisi karena tekanan fisik atau emosional biasanya menyebabkan kerusakan pada sisi yang lain Oleh karena itu penting untuk menghindari stres selama Ramadhan agar daya tahan tubuh terjaga Sebab dengan daya tahan tubuh yang tidak baik maka aktivitas Ramadhan pun akan terganggu Perlu upaya menghilangkan stres saat berpuasa seperti dilansir dari sumber yang sama berikut Gambas Video detik ega ega ramadhan stres kalbehealthcorner 
"3 Hari Hirup Udara Bebas, Habib Bahar Diseret ke Nusakambangan", Bandung Habib Bahar bin Smith hanya hari bisa menghirup udara bebas Dia dijebloskan lagi ke bui gegara ceramah provokatif serta melanggar pembatasan sosial berskala besar PSBB karena mengumpulkan massa Bahar bebas dari penjara pada Sabtu sore Dia bebas karena mendapatkan program asimilasi sesuai Permenkum HAM nomor tahun Usai bebas Bahar nyatanya disambut oleh massa pendukungnya Bahkan Bahar sempat melalukan ceramah di hadapan kerumunan Kegiatan itulah yang kemudian menjadi masalah Bahar dianggap telah melanggar asimilasi sehingga Kementerian Hukum dan HAM Kemenkum HAM menjebloskan lagi Bahar ke dalam bui Selanjutnya Halaman habib bahar pandemi corona psbb kemenkum ham jabar 
Jabar Hari Ini: Habib Bahar Kembali Dibui-Gempa Guncang Pangandaran, Bandung Habib Bahar bin Smith kembali jadi sorotan Usai bebas karena asimilasi Bahar kembali masuk bui karena dianggap melanggar aturan asimilasi dan ceramah provokatif Selain itu ada juga gempa bumi bermagnitudo di Kabupaten Pangandaran Dua berita tersebut menjadi topik menarik yang muncul dari Jawa Barat Selain kedua berita itu ada berita lain yang tak kalah menarik Apa saja Berikut rangkumannya Habib Bahar Kembali di Bui Gegara Ceramah Provokatif Usai Bebas Asimilasi Habib Bahar bin Smith kembali dijebloskan ke bui Bahar dianggap telah melanggar proses asimilasi yang diberikan Kementerian Hukum dan HAM Kemenkum HAM kepadanya Ya kembali ke lapas Yang bersangkutan dikembalikan ke Lapas Gunung Sindur ucap Kepala Divisi Pemasyarakatan Kemenkum HAM Jabar Abdul Aris saat dikonfirmasi wartawan Selasa Aris mengatakan Bahar dijebloskan lagi ke bui gegara asimilasinya dicabut Sebab kata Aris Bahar dianggap melanggar ketentuan asimilasi Program asimilasinya dicabut karena melanggar ketentuan asimilasi tuturnya Ditjen Pemasyarakatan Pas Kemenkum HAM menjelaskan kesalahan Bahar hingga akhirnya mencabut proses asimilasi dan kembali memenjarakan habib Bahar bin Smith Alasannya Bahar melanggar syarat asimilasi sehingga ia harus melanjutkan proses pemidanaan di penjara karena kasus penganiayaan Izin asimilasi di rumah dicabut berdasarkan penilaian dari Petugas Kemasyarakatan Bapas Bogor PK Bapas Bogor yang melakukan pengawasan dan pembimbingan kata Dirjen Pemasyarakatan Reynhard Silitonga dalam siaran pers yang diterima detikcom Selasa Kesalahan Bahar bin Smith adalah pertama tidak mengindahkan dan mengikuti bimbingan yang dilakukan oleh PK Bapas Bogor yang memiliki kewenangan melakukan pembimbingan dan pengawasan pelaksanaan asimilasi di rumah Selain itu Bahar dinilai telah melakukan pelanggaran khusus saat menjalani masa asimilasi Melakukan beberapa tindakan yang dianggap telah menimbulkan keresahan di masyarakat yaitu menghadiri kegiatan dan memberikan ceramah yang provokatif dan menyebarkan rasa permusuhan dan kebencian kepada pemerintah Ceramahnya telah beredar berupa video yang menjadi viral yang dapat menimbulkan keresahan di masyarakat ujar Reynhard Bahar juga dinyatakan melanggar aturan pembatasan sosial berskala besar PSBB dalam kondisi darurat COVID di Indonesia dengan mengumpulkan massa orang banyak dalam pelaksanaan ceramahnya Atas perbuatan tersebut maka kepada yang bersangkutan dinyatakan telah melanggar syarat khusus asimilasi sebagaimana diatur dalam Pasal ayat huruf e Permenkumham Nomor Tahun dan kepadanya dicabut asimilasinya dan selanjutnya diperintahkan untuk dimasukkan kembali ke dalam Lembaga pemasyarakatan untuk menjalani sisa pidananya dan sanksi lainnya sesuai ketentuan ujar Reynhard Selanjutnya Halaman jabar hari ini 
"Dipenjara Lagi Usai Terima Asimilasi, Ini Aturan yang Dilanggar Habib Bahar", Jakarta Sejatinya Bahar bin Smith bisa lebaran di rumah karena mendapatkan proses asimilasi dari Kemenkumham Namun asimililasi bukan berarti bebas seutuhnya karena masih berstatus narapidana dan warga binaan Sehingga Bahar harus tetap tunduk dengan peraturan pemidanaan dari rumah Peraturan apa yang dilanggar Bahar Bahar mendapatkan asimilasi karena sudah memenuhi syarat seperti sudah menjalani setengah dari masa hukuman dan bulan berturut turut berkelakuan baik di dalam penjara Namun Bahar melanggar beberapa syarat untuk tetap mendapatkan asimilasi Kepada yang bersangkutan dinyatakan telah melanggar syarat khusus asimilasi sebagaimana diatur dalam pasal ayat huruf e Permenkumham Nomor tahun kata Dirjen Pemasyarakatan Reynhard Silitonga dalam siaran pers yang diterima detikcom Selasa asp jbr habib bahar bin smith habib bahar ditjen pas habib bahar bebas birojabar 
Habib Bahar Kembali Dipenjara karena Ceramah Provokatif dan Langgar PSBB, Jakarta Ditjen Pemasyarakatan Pas Kemenkum HAM mencabut proses asimilasi dan kembali memenjarakan Habib Bahar bin Smith Alasannya Bahar melanggar syarat asimilasi sehingga ia harus melanjutkan proses pemidanaan di penjara karena kasus penganiayaan Izin asimilasi di rumah dicabut berdasarkan penilaian dari Petugas Kemasyarakatan Bapas Bogor PK Bapas Bogor yang melakukan pengawasan dan pembimbingan kata Dirjen Pemasyarakatan Reynhard Silitonga dalam siaran pers yang diterima detikcom Selasa Melakukan beberapa tindakan yang dianggap telah menimbulkan keresahan di masyarakat yaitu menghadiri kegiatan dan memberikan ceramah yang provokatif dan menyebarkan rasa permusuhan dan kebencian kepada pemerintah Ceramahnya telah beredar berupa video yang menjadi viral yang dapat menimbulkan keresahan di masyarakat ujar Reynhard asp tor habib bahar dipenjara lagi habib bahar birojabar 
"Kawan, Reuni di Akhirat Yuk!", Jakarta Entah karena jarang berinteraksi dengan Tuhan atau tak memiliki ilmu agama yang cukup serta pengalaman ruhani yang minim pernah dalam kilatan pikiran khawathir kita menghayal soal masa depan Masa depan setelah kehidupan di dunia dan mampir sebentar di alam barzakh sebelum memasuki alam akhirat Disebut sebentar karena Alquran menyitir Ù Ù Ø Ù Ù Ù Ø Ù Ù Ø Ù Ø Ù Ù Ù Ø Ù Ù Ù Ù Ù Ù Ø Ø Ù Ù Ù Ø Ù Ø¹Ù Ø Ù Ù Ù Ù Ù Ù Ù Mereka menjawab Kami tinggal di bumi sehari atau setengah hari QS Al Mukminun Dengan ilmu agama yang jauh dari memadai kita menetapkan sendiri standar dan kiat kiat agar bisa lulus pada tiap stadium sebelum sampai di terminal terakhir surga atau neraka Kita bermujahadah Ber khalwat dan ber uzlah Demikian intens kadang mengabaikan hak hak anak Adam termasuk keluarga Kita sibuk sendiri hingga lupa sekitar Walhasil dengan kriteria dan keyakinan subjektif diri sampailah kita dengan selamat ke dalam surga Sendirian Pasangan Dunia AkhiratNah anggota keluarga yang lain ke mana Orang tua anak isteri saudara dan handai taulan di mana Para sahabat teman pergaulan kita di dunia sekarang di mana Masuk surga sendirian Tak disertai orang orang yang kita cinta Duh Gusti Apa enaknya masuk surga sendirian Tiada lagi kebersamaan Rupanya kita berhasil selamat dari sergapan api neraka tapi tak berdaya membantu orang orang tercinta kita dari ancaman Allah Dengan menggunakan standar paling awam karunia kebersamaan adalah harapan dan dambaan semua makhluk hidup Kita ingin selalu bersama dengan orang yang kita sayang Ingin bersama sama selamat dari janji dan ancaman Allah SWT Ingin masuk ke dalam keridhaan Nya bersama kedua orang tua anak anak dan isteri suami kita Bahkan kalau bisa bertetangga di surga dengan para sahabat saat di dunia dulu Mungkinkah kita melakukan itu Bisakah setelah biasa reuni dan silaturrahim di dunia juga bisa reuni di akhirat Bersama sama di dunia dan bersama sama di akhirat Kalau kita ber azam dan bertawakkal disertai kehendak dan taufiq Nya insyaallah kita bisa hidup bersama lagi di akhirat Tak ada istilah kita akan terus bersama hingga maut memisahkan kita Kalau Allah berkehendak bahkan maut pun tak akan sampai hati memisahkan mereka Isyarat terbukanya pintu reuni di akhirat disampaikan Allah lewat salah satu firman Nya Siapa yang bisa dapat kesempatan itu Semua kita muslimin muslimat mukminin mukminat Asal mau Mau mematuhi sejumlah amar Allah salah satunya menyambung silaturrahim Yang dijanjikan bisa melakukan reuni di akhirat adalah mereka yang gemar silaturrahim dan mempertahankannya agar tidak putus Mereka masuk Surga Aden bersama orang tuanya suami isteri dan anak anaknya Inilah keluarga yang saleh Orang tua melahirkan anak anak yang saleh dan anak anaknya melahirkan anak anak yang juga saleh Allah menunjuk respsionis khusus yang terdiri diri para malaikat yang mulia Mereka berdiri berjejer pada semua pintu di surga dengan wajah berkilau Senyum mengembang Kedua tangan terbuka Menyambut kedatangan keluarga paling berbahagia Ù Ù Ø Ù Ù Ù Ø Ù Ù Û Ù Ù Ù Ù ØµÙ Ù Ù Ù Û Ù Ù Ù Ù Ø Û Ø Ù Ù Ù Ø Ù Ø Ù Ù Ù Ù Ù Ù Ø Ù Ù Ù Û Ø Ù Ù Û Ù Ù Ù Ù Û ØµÙ Ù Ù dan mereka yang menghubungkan apa yang diperintah Allah agar dihubungkan Ø Ù Ù Ù Ù ØªÙ Ø¹Ù Ø Û Ù Ù Ù Ù Ù Ø Û Ø Ù Ù Ù Ù Û Ù Ù Ù Ù Ø Ù Ù Ù Ù Ù Û ØµÙ Ù Ù Ø Ù Ù Ù Ù Û Ø Ù Ø Ù Ø Ù Ù Ù Ù Ù Ù Ù Û Ù Ù Ø Ù Ø²Û Ù Ù Ø Ø Ù Ù Ù Ù Û Ù Ù Ø Ù Ø Ù Ù Ù Ù Ù ØªÙ Ù Ù Ù Û Û Ù Ù Ø Ù Û Ù Ù Ù Ù Ù Ù Ù Ù Ù Ù Ø Ù Ù Ù Ø Û Ø Ù Ù Ù Ù Û Ù Ù Ø¹Ù Ù Ù Ù Û Ù Ù Ù Û Ù Ù Ù Ù Û Ù Ù Ù Ù Ù Ø Ù Ø Ø Ù Û yaitu surga surga Adn mereka masuk ke dalamnya bersama dengan orang yang saleh dari nenek moyangnya pasangan pasangannya dan anak cucunya sedang para malaikat masuk ke tempat tempat mereka dari semua pintu sambil berucap Selamat sejahtera atasmu karena kesabaranmu Maka alangkah nikmatnya tempat kesudahan itu Gambaran tentang keluarga berbahagia ini bisa kita temukan dalam Alquran di surah Ar Ra du dari ayat hingga Demikian bermaknanya ibadah silaturrahim hingga Allah SWT menamakan diri Nya dengan Ar Rahim Allah mengancam dengan kemurkaan bagi yang mengabaikan apalagi sengaja memutus tali silaturrahim Sebab silaturrahim bisa menjadi wasilah terciptanya keluarga yang saleh Sebaliknya kesalehan bisa diperoleh lewat silaturrahim Kawan Dunia AkhiratLantas bagaimana dengan kawan dan sehabat dekat yang ketika di dunia kita saling jaga saling mengingatkan untuk beramal saleh dan taat kepada Allah Di mana teman teman akrab yang dulu jadi ladang kita beramal Apakah kita bisa bergabung dengan mereka atau mereka bisa menjadi sahabat karib kembali di akhirat Jawabannya sudah disiapkan Allah dalam Alquran surah Az Zukhruf ayat Ø Ù Ù Ø Ù Ø Ù Ù Ù Ù Ø Ø Ù Ù Ù Ù Ù Ù Ù Ø Ù Ø Ù Ø Ù Ø¹Ù Ø Ù Ù Ù Ù Ù Ù Ù Ø Ù Ø¹Ù Ø Ù Ø¹Ù Ø Ù Ù Ù Ù Ø Ù Ù Ù Ù Ø Ø Ù Ù Ù Ù ØªÙ Ù Ù Ù Ù Ù Ù Teman teman akrab pada hari itu sebagiannya menjadi musuh bagi sebagian yang lain kecuali orang orang yang bertaqwa Semua persahabatan yang didasari bukan karena Allah di hari kiamat akan berbalik menjadi permusuhan Pasangan sahabat karib tanpa ketaatan kepada Allah di dunia akan jadi pasangan yang saling menggugat dan menyalahkan di akhirat Kecuali apa yang berdasarkan karena Allah maka sesungguhnya hal itu akan tetap kekal berkat kekekalan Allah Syaratnya TAQWA Para sahabat karib di dunia dan kekaribannya dibangun di atas dasar taqwallah akan jadi sahabat hingga akhirat Dalam Tafsir Ibnu Katsir dijelaskan Abdur Razzaq mengatakan telah menceritakan kepada kami Israil dari Abu Ishaq dari Al Haris dari Ali Bin Abi Tholib RA sehubungan dengan firman Nya di surah Az Zukhruf Yang dimaksud adalah dua orang mukmin yang berteman karib Salah seorang dari kedua orang mukmin yang berteman itu diwafatkan dan ia diberi kabar gembira akan masuk surga lalu ia teringat temannya Ia berdoa Ya Allah sungguh si Fulan adalah teman dekatku Dia selalu minta aku taat kepada MU dan kepada rasulÂ Mu Ya Allah janganlah Engkau sesatkan dia sesudahku hingga Engkau perlihatkan kepadanya seperti apa yang Engkau perlihatkan kepadaku sekarang dan Engkau ridhai dia sebagaimana Engkau ridai diriku Maka dikatakan kepadanya Pergilah sekiranya kamu mengetahui apa yang disediakan untuknya di sisi Ku tentulah engkau banyak tertawa dan sedikit menangis Kemudian temannya itu diwafatkan lalu keduanya bersua di alam arwah maka dikatakan kepada keduanya Hendaklah salah seorang dari kamu berdua saling memuji kepada temannya Maka masing masing dari keduanya berkata kepada temannya Engkau adalah sebaik baik saudara engkau adalah sebaik baik teman dan engkau adalah sebaik baik kekasih Demikianlah menurut apa yang diriwayatkan oleh Ibnu Abu Hatim Allaahu A lamu Bishshowaab Ishaq Zubaedi Raqib Pengasuh Pengajian Bayt Abyadh Griya Alam Sentosa Cileungsi Bogor Artikel ini merupakan kiriman pembaca detikcom Seluruh isi artikel menjadi tanggung jawab pengirim erd erd kolom hikmah kolom ramadhan hikmah ramadhan ramadhan 
11 Ucapan Selamat Hari Waisak 2020 yang Penuh Harapan dan Menggugah Hati, Jakarta Hari raya Waisak BE jatuh pada Kamis besok Umat Budha pun akan merayakan dengan penuh khidmat walaupun di tengah pandemi COVID Perayaan Waisak juga dikenal dengan nama Tri Suci Waisak Nama itu diambil karena memperingati tiga peristiwa penting yang terjadi yakni lahirnya Pangeran Siddharta pencapaian Pangeran Siddharta menjadi Buddha dan wafatnya Buddha Gautama Pangeran Siddharta Biasanya perayaan umat Buddha di Indonesia akan merayakan puncak Waisak di Candi Borobudur Mereka akan menyalakan lilin dan memasukkannya ke dalam lentera pay erd waisak hari raya waisak waisak buddha 
Kisah Ayah Angkat Mengasuh dan Mengajari 10 Anak Korut Selama Lockdown, Jakarta Keluarga angkat Kim di Korea Selatan Kim Tae hoon Krisis virus corona membuat jutaan orang tua di seluruh dunia bergulat dengan tantangan sekolah di rumah homeschooling Tetapi seorang pria di Seoul menghadapi tugas yang sangat sulit Kim Tae hoon menampung anak laki laki Korea Utara yang membelot dari negara mereka tanpa orang tua Yang termuda baru berumur tahun yang tertua berumur tahun Kim Jong un muncul di depan umum di tengah spekulasi tentang kesehatannya ungkap media KorutAS belum melihat Kim Jong un lagi kata Menlu AS Kim Jong un raja bintang pagi yang terpilih menjadi pemimpin Korea UtaraBiasanya mereka akan berada di sekolah atau universitas dalam hal ini Gun yang berusia tahun tetapi bulan lalu siswa Korea Selatan memulai sistem belajar daring selama pandemi Pada pagi pertama sekolah jarak jauh Kim yang berbicara dengan BBC melalui video menggiring anak anak lelaki itu ke sebuah meja besar di lantai dua di mana layanan wi fi paling kuat Saya pikir kalian sebaiknya memakai earphone karena suaranya mungkin akan tercampur aduk katanya kepada mereka Seperti dugaan mereka menghadapi masalah teknis Mereka bergulat dengan sistem daring di perangkat teknologi yang disewa dari pusat pendidikan setempat Dua anak laki laki yang berada di kelas yang sama kesulitan masuk ke sistem Geum seong yang berusia tahun yang baru membelot dari Korea Utara setahun yang lalu membutuhkan lebih banyak bantuan daripada anak yang lain Dia tidak terbiasa mengirimkan tugas secara daring Sementara itu Jun seong yang termuda dari keluarga itu dimarahi karena menonton YouTube di tabletnya Anak asuhan Kim yang paling muda berusia tahun yang tertua tahun Kim Tae hoon Tetapi dua hari kemudian Kim mengatakan anak anak itu mulai terbiasa menjalani rutinitas mereka di bawah pengawasannya Delapan anak anak Kim membelot tanpa orang dewasa baik sendirian atau dengan saudara kandung dan mereka tidak memiliki keluarga di Korea Selatan Ada berbagai alasan mengapa anak anak itu meninggalkan Korea Utara Salah satunya mereka tinggal bersama kakek nenek yang terlalu tua untuk mengurus mereka atau mereka memiliki orang tua yang hidup terpisah dan tidak dapat mengurus perjalanan menantang yang harus dilewati keluarga Mereka mengirim anak mereka ke Korea Selatan agar mereka memiliki kehidupan yang lebih baik Jika anak anak itu terlalu muda mereka melarikan diri dari Korea Utara dengan bantuan penyelundup ujar Kim Menurut Kementerian Unifikasi ada pembelot Korea Utara di Korea Selatan pada Maret di mana sekitar berusia tahun ke bawah Kim Tae hoonPada pemerintah Korea Selatan melaporkan anak anak dari Korea Utara tiba di negara itu tanpa orang tua mereka menurut laporan media setempat Kim tidak pernah membayangkan bahwa dia akan menjadi pengasuh untuk anak anak laki laki itu Pengasuh permanenLima belas tahun yang lalu Kim bekerja di bidang penerbitan Dia menghabiskan waktu luangnya menjadi sukarelawan untuk Hanawon sebuah fasilitas pemukiman kembali yang dikelola pemerintah Korea Selatan di Seoul di mana semua pembelot Korea Utara harus tinggal di sana selama tiga bulan Di fasilitas itu para pembelot diberi kursus untuk mempersiapkan integrasikan mereka dengan masyarakat Korea Selatan Dia bertemu dengan seorang bocah lelaki bernama Ha ryong yang baru saja meninggalkan fasilitas pelatihan bersama ibunya Ibu itu berhasil mendapatkan pekerjaan tetapi letaknya jauh dari rumahnya sehingga dia harus meninggalkan putranya sendirian di rumah Ha ryong tahun pada waktu itu meminta Kim menjadi pengasuhnya sebuah peran yang akhirnya dia laksanakan secara permanen Orang tua Kim sepenuhnya tidak setuju dan tidak mau bicara dengannya selama beberapa tahun Namun Kim berkukuh mengasuh lebih banyak anak anak Korea Utara Bocah yang paling lama tinggal dengannya adalah Cheol gwang Cheol gwang tiba di Korea Selatan pada Malam Natal saat ia berusia tahun Dia dan saudara perempuannya mencoba melarikan diri dengan ibu mereka dari Korea Utara tetapi mereka tertangkap dan ditahan petugas keamanan Dia dibebaskan sendirian dan saudara perempuannya dibebaskan tiga bulan kemudian Tetapi ibunya tidak pernah muncul kembali Akhirnya Cheol gwang dan saudara perempuannya berhasil melarikan diri ke Korea Selatan Cheol gwang meninggalkan Korea utara dengan saudara perempuannya delapan tahun lalu BBC Ketika anggota keluarganya semakin banyak Kim mendaftarkan apa yang dijalankannya ke Kementerian Kesehatan dan Kesejahteraan Korea Selatan untuk membentuk apa yang dikenal sebagai rumah kelompok Rumah kelompok adalah unit terkecil dari lembaga di negara itu yang dapat mengasuh anak anak tanpa orangtua atau wali dalam sebuah keluarga alternatif Tapi anak anak saya menganggapnya sebagai rumah yang nyata bukan fasilitas khusus kata Kim Dan orang tua Kim akhirnya menerima keputusannya dan sekarang mendukung apa yang dijalankannya Mereka bahkan memperlakukan anak anak yang diasuh Kim sebagai cucu angkat mereka Belanja dan mencuciGeum seong mengakui bahwa pada awalnya dia takut dengan Kim Ketika saya pertama kali melihatnya saya pikir dia adalah orang jahat karena seorang pria dengan perut besar di Korea Utara biasanya seorang pejabat tinggi katanya malu malu aksen Korea Utara nya masih sangat kental Kim mengatakan urusan logistik memang menantang tetapi dia mengerjakan semua pekerjaannya sendiri Bagian tersulit adalah belanja bahan makanan Ketika mereka tumbuh anak laki laki makan seperti kuda Saya mengisi troli belanja dengan makanan dalam jumlah besar tetapi itu membuat saya frustrasi karena semuanya akan habis hanya dalam sehari katanya Makanan itu disimpan dalam enam lemari es Dua mesin cuci beroperasi tanpa henti setiap hari Kim membersihkan debu rumah terus menerus Namun dia berkata dia tidak meminta bantuan anak anak laki laki itu karena katanya yang paling penting adalah bahwa mereka diasuh dengan baik Saya tidak meminta apa pun selain mereka bisa tumbuh menjadi orang yang berperilaku baik Dengan cara itulah saya dibesarkan orang tua saya Pekerjaan itu sangat banyak sehingga Kim harus melepaskan pekerjaan tetapnya Tetapi ia memenuhi syarat untuk mendapat beberapa tunjangan pemerintah dan bantuan perusahaan swasta Dia mengatakan tidak merasa nyaman menerima bantuan keuangan dan baru baru ini telah membuka sebuah kafe kecil agar dapat mandiri secara ekonomi Tetapi bukan hanya masalah keuangan yang dihadapi Kim dan keluarga angkatnya Di Korea Selatan ada banyak prasangka terhadap orang Korea Utara yang membelot Awalnya Kim harus pindah rumah beberapa kali karena harga sewa yang meningkat Selain itu ia juga membutuhkan ruangan yang lebih besar seiring dengan bertambahnya jumlah anak laki laki yang dia urus Dia mengatakan setiap kali pindah rumah ada perhatian dari tetangga sekitar yang tidak diinginkan Setiap kali kami pindah tetangga entah bagaimana mereka tahu Beberapa mengirimi saya pesan yang memperingatkan saya bahwa para pembelot harus hidup diam diam Mata mata Korea Utara Pada satu kesempatan rumah Kim dikunjungi oleh polisi Seorang teman sekolah dari salah satu anak asuh Kim menuding teman sekelasnya itu adalah mata mata Korea Utara Ketika orang Korea Selatan mendengar bahwa seseorang berasal dari Korea Utara mereka cenderung memandang rendah mereka dan beberapa bahkan menunjukkan permusuhan Itu sangat menyedihkan karena anak anak saya masih remaja Mereka seharusnya tidak dilihat secara politis kata Kim Bahkan banyak pembelot muda Korea Utara keluar dari sekolah umum Saya tidak mengatakan sekolah alternatif itu buruk Kami hanya tidak memerlukannya karena saya dapat sepenuhnya mendukung anak anak saya dari rumah Saya percaya memiliki teman asli Korea Selatan dan menciptakan kenangan di sekolah umum akan menjadi aset besar bagi anak anak ini kata Kim Jin beom maju sebagai presiden siswa dan menang BBC Tujuh tahun lalu salah satu anak asuh Kim Jin beom memutuskan untuk mencalonkan diri sebagai presiden mahasiswa Gurunya menelepon Kim untuk mengatakan bahwa dia khawatir pengalaman itu akan membuat Jin beom trauma Kim mengatakan Jin beom akan lebih terluka lagi jika dia tahu gurunya menelepon Ternyata Jin Beom kemudian dipilih sebagai presiden siswa oleh teman temannya Proyek keluargaSetiap tahun keluarga angkat itu memilih proyek untuk dilakukan bersama Kadang kadang pameran seni atau pertunjukan musikal Baru baru ini adalah pembuatan sebuah buku perjalanan yang menampilkan foto foto pemandangan Korea Selatan yang diambil anak anak itu Anak anak lelaki saya mengatakan mereka ingin tahu tentang dua hal sebelum memasuki masyarakat Korea kata Kim Salah satunya seperti apa Korea Selatan dan yang lainnya adalah bagaimana jika Korea Selatan tidak menyukai saya Jadi kami memutuskan untuk mendokumentasikan pemandangan Korea Selatan saat bepergian Mereka berencana memberi salinan buku itu kepada anak anak di Hanawon untuk membantu menghilangkan rasa takut terhadap hal yang tidak diketahui Karya seni anak anak asuh Kim yang menggambarkan Korea Utara Kim Tae hoon Anak anak itu sekarang antusias menatap masa depan mereka di Korea Selatan Bidang yang mereka sukai saat ini termasuk penulisan buku komik arsitektur dan atletik Ha ryong bocah laki laki yang pertama kali diasuh Kim telah pergi dan kini tengah menyelesaikan tahun terakhirnya belajar sosiologi di sebuah universitas di Korea Selatan Apa pun yang terjadi di masa depan Kim mengatakan pintunya akan selalu terbuka Kami akan tetap menjadi keluarga katanya Kim Tae hoon ita ita bbc magazine virus corona korea selatan 
"Polda Metro Ungkap 14 Kasus Hoax soal Corona, 10 Orang Jadi Tersangka", Jakarta Polda Metro Jaya telah mengungkap total kasus hoax terkait virus COVID selama periode Maret hingga Mei Total sebanyak orang ditetapkan sebagai tersangka penyebaran hoax Mulai akhir Maret sampai April sampai sekarang ini ada kasus yang kita ungkap dari yang kita lidik berdasarkan laporan informasi kata Kabid Humas Polda Metro Jaya Kombes Yusri Yunus saat memberikan keterangan pers secara live melalui akun Instagram Humas PMJ Senin Yusri menyebutkan dari kasus hoax yang terungkap ditetapkan orang sebagai tersangka Motif para tersangka menyebarkan hoax tersebut adalah membuat keresahan di masyarakat di tengah pandemi Corona Kasus yang terungkap sekitar LP dengan penetapan tersangka sebanyak orang selama kurun waktu pandemi ini ucap Yusri Selanjutnya Halaman pandemi corona hoax polda metro jaya 
