title,content
"Buntut Heboh Banyak Balon Udara di Langit, Airnav Terbitkan Notam", Solo Airnav Indonesia akhirnya menerbitkan peringatan atau notice to airmen Notam terkait kemunculan benda misterius di langit yang ternyata balon udara Pesawat diminta berhati hati saat melintas di beberapa kawasan di Jawa Tengah Tadi siang setelah ramai ada sesuatu di langit Solo kita keluarkan Notam agar pilot juga berhati hati saat melintas di Pekalongan dan Wonosobo kata General Manager Airnav Indonesia cabang Solo Dheny Purbo Hariyanto saat dihubungi detikcom Minggu Dia mengaku tidak dapat mengecek secara langsung benda apa yang terbang di langit Solo Namun berdasarkan laporan masyarakat diduga benda itu adalah balon udara Soalnya kebetulan ini sedang tidak ada pesawat yang terbang jadi tidak ada laporan ke kami Daripada ambil risiko kita keluarkan Notam saja ujarnya Selanjutnya Halaman solo benda misterius di langit solo airnav indonesia birojatengdiy viral 
97 Orang Tewas dan 2 Selamat dalam Insiden Pesawat Maskapai Pakistan Jatuh, Islamabad Sedikitnya orang tewas dalam insiden jatuhnya pesawat maskapai Pakistan International Airlines PIA di Karachi Pakistan Dua orang lainnya berhasil selamat dari insiden tragis ini Seperti dilansir AFP Sabtu pesawat penumpang jenis Airbus A milik maskapai PIA ini berupaya melakukan sejumlah pendekatan untuk mendarat di Bandara Internasional Jinnah Karachi saat kecelakaan terjadi pada Jumat waktu setempat Pesawat dengan nomor penerbangan ini tiba tiba menabrak area permukiman dan merusak sejumlah gedung Laporan AFP menyebut pesawat ini membawa awak dan penumpang Informasi ini mengkoreksi laporan sebelumnya yang menyebut pesawat penumpang ini membawa orang saat kecelakaan terjadi nvc idh pakistan pesawat jatuh di pakistan pesawat jatuh pakistan international airlines 
"Sebelum Jatuh, Pilot Pakistan Airlines Laporkan Gangguan Mesin: Mayday!", Karachi Pesawat Pakistan International Airlines bernomor penerbangan PK yang terbang dari Lahore jatuh sebelum mendarat di Bandara Internasional Jinnah di Karachi Pesawat sempat berputar putar di udara sebelum akhirnya jatuh Kami lanjut langsung Pak kami kehilangan mesin kata pilot pesawat nahas itu sebelum jatuh di permukiman kumuh kawasan selatan Karachi Jumat Selanjutnya Halaman pesawat pakistan jatuh pesawat jatuh di pakistan karachi pakistan 
"Pesawat Pakistan Angkut 107 Orang Jatuh, 2 Orang Dikabarkan Selamat", Karachi Pesawat Pakistan International Airlines bernomor penerbangan PK jatuh di kawasan permukiman di selatan Karachi Otoritas setempat menyatakan orang di dalam pesawat tewas namun ada kabar mengatakan orang selamat Dilansir Associated Press AP Jumat Wali Kota Karachi Wasim Akhtar mengatakan semua orang di dalam pesawat telah tewas akibat kecelakaan itu dnu knv pakistan pesawat jatuh di pakistan pakistan airlines karachi pesawat pakistan jatuh 
Video Pesawat Jatuh di Permukiman Karachi Tewaskan 107 Orang, Jakarta Pesawat komersial yang mengangkut penumpang dan kru jatuh di permukiman dekat Bandara Internasional Jinnah Karachi Pakistan Jumat Pesawat yang terbang dari Lahore ini tinggal puing Seluruh penumpang dan kru tewas Gambas Video detik trw trw pesawat jatuh 
Pesawat Berpenumpang Seratusan Orang Jatuh di Permukiman Pakistan, Karachi Pesawat penumpang jatuh di di Pakistan Pesawat itu membawa lebih dari orang mengalami kecelakaan di kawasan selatan Karachi Dilansir AFP Jumat pesawat itu jatuh di permukiman asap hitam tebal dnu dhn pakistan kecelakaan pesawat karachi pesawat jatuh pesawat jatuh di pakistan kecelakaan pesawat di pakistan 
"2Â Pesawat Aerobatik Kanada Jatuh, Pilot Alami Cedera", Kanada Tim aerobatik angkatan udara elit Kanada mengalami kecelakaan pesawat saat melakukan aksi penghormatan atas penanganan virus Corona di British Columbia Kanada Akibat kecelakaan pesawat ini seorang pilot alami patah tulang leher dan punggung Seperti dilansir AFP Senin insiden kecelakaan pesawat tersebut terjadi di halaman depan sebuah rumah tak lama setelah lepas landas dari Bandara Kamloops Pesawat itu dan satu pesawat lainnya menabrak halaman depan rumah Pesawat Snowbirds pasukan Kanada jatuh di sekitar Bandara Kamloops cuit akun twitter Angkatan Udara Kanada Prioritas kami saat ini adalah memantau status personel kami dan personel darurat pendukung sambungnya maa dkp kanada kecelakaan pesawat pilot 
Misteri Dentuman Senin Dini Hari di Jateng yang Belum Terpecahkan, Yogyakarta Dentuman yang didengar secara luas di Jawa Tengah pada Senin dini hari lalu hingga saat ini masih menjadi misteri Beragam pendapat muncul terkait penyebab dentuman tersebut Fenomena dentuman itu terdengar secara luas di Jawa Tengah Meliputi Boyolali Solo Karanganyar Sragen Grobogan Blora Kudus hingga Pati Suaranya keras sekali sekitar pukul WIB Arahnya dari atas Setelah itu saya rasakan getaran cukup kencang dua buah genting saya sampai melorot ujar Huriyanto warga Desa Gading Kecamatan Tanon Sragen saat dihubungi detikcom Senin Huriyanto melanjutkan usai mendengar suara kencang seluruh anggota keluarganya langsung berlari keluar rumah Namun setelah diperiksa tidak ada apa apa di luar Hanya tersisa suara ternak yang turut resah merespons dentuman keras tersebut Selanjutnya Halaman yogyakarta dentuman dentuman di jateng dentuman dini hari dentuman misterius jateng jawa tengah birojatengdiy 
Saat Tentara Langit Menyelam Evakuasi Pilot Tenggelam di Sentani, Jayapura Pesawat yang mengangkut logistik dan alat kesehatan jatuh di Danau Sentani Jayapura Papua Pesawat tersebut kemudian tenggelam ke dasar danau Pilot pesawat milik Mission Aviation Fellowship MAF Joyce Chaisin Lin tewas dan ikut tenggelam Jenazah Joyce terperangkap di dalam kokpit Pesawat jatuh tepat di tengah tengah danau antara Kampung Yoboi dan Kamyagha Dua anggota TNI AU melakukan proses evakuasi pilot Mereka adalah Peltu Absent Tinus Simbiring dan Sertu Elisa Womsiwor Selanjutnya Halaman round up biromakassar pesawat jatuh danau sentani pesawat jatuh tni au 
Fakta-fakta Terbaru Jatuhnya Pesawat MAF di Danau Sentani Papua, Jakarta Pesawat milik Mission Aviation Fellowship MAF jatuh di Danau Sentani Papua Pesawat itu ternyata membawa alat kesehatan penanganan wabah virus Corona Pesawat MAF PK MEC tipe Kodiak ini dipiloti Joyce Lin take off pada Selasa Mei pukul WIT dari Bandara Sentani menuju Mamit Kabupaten Tolikara WAJJ WAVS Sekira pukul WIT pesawat hilang kontak Pesawat lalu jatuh di tengah tengah danau di atas permukaan air dan tenggelam Pesawat kargo tersebut membawa logistik bahan makanan dan tidak berpenumpang Berikut fakta fakta terbaru jatuhnya pesawat MAF di Danau Sentani Papua Bawa Alat Kesehatan CoronaJuru bicara Satgas COVID Provinsi Papua dr Silwanus Sumule menyampaikan rasa dukacita yang mendalam atas jatuhnya pesawat milik MAF di Danau Sentani Pesawat itu ternyata membawa alat kesehatan penanganan wabah virus Corona Kami Satgas COVID Provinsi Papua ingin menyampaikan duka yang sangat mendalam kepada keluarga besar Mission Aviation Fellowship MAF dan pilot Capt Joyce Lin atas accident pesawat yang jatuh di Danau Sentani ujar Silwanus kepada wartawan Selasa malam Silwanus mengatakan pesawat MAF kode PK MEC yang jatuh di Danau Sentani Kabupaten Jayapura pada Selasa pagi itu membawa sejumlah alat kesehatan yang akan digunakan tenaga medis di Distrik Mamit Kabupaten Tolikara Selanjutnya Halaman round up pesawat jatuh danau sentani kecelakaan pesawat danau sentani pesawat jatuh biromakassar 
