title,content
"Ricuh di Masjid Buol Sulteng Usai Salat Id, 16 Warga Diamankan Polisi", Buol Sebanyak orang warga di Kecamatan Gadung Kabupaten Buol Sulawesi Tengah Sulteng diamankan pihak kepolisian di Polres Buol Mereka diduga melakukan kekerasan terhadap perangkat dan aparat desa Diketahui bahwa korban Kades Lripobogu Hamzah Husein mengalami luka lebam pada bagian kiri kanan tulang rusuk sementara seorang hansip bernama Nawir mengalami luka di bagian telinga sebelah kiri Sampai malam ini kami masih melakukan pemeriksaan di Polres Buol Ada orang diamankan tadi pagi yang diduga terlibat dalam pengeroyokan aparat Desa Lripobogu kata Kapolres Buol AKBP Wawan Sunarwirawan kepada detikcom saat dihubungi Minggu Selanjutnya Halaman buol salat id ricuh polisi sulawesi tengah biromakassar 
"Ricuh di Masjid Buol Sulteng Usai Salat Id, Polisi Tangkap Provokator", Jakarta Polisi mengamankan orang warga Kecamatan Gadung Kabupaten Buol Sulawesi Tengah Sulteng yang diduga melakukan kekerasan terhadap perangkat dan aparat desa Di antara warga yang diamankan ada seorang pria bernama Manap yang terekam jelas memukul seorang hansip Ada orang kita bawa ke polsek termasuk yang di video yang pakai baju putih itu kan yang beri pukul linmas sampai jatuh Atas nama Manap kata Kapolsek Bunobogu AKP Muhammad Hasby kepada detikcom pada Minggu Hasby menyebut Manap sebagai salah satu provokator yang membuat suasana memanas Dia juga menerangkan Manap tak termasuk dalam orang jemaah yang melaksanakan salat Id Dia diduga ikut memprovokasi Padahal dia tidak salat Id ucap Hasby Selanjutnya Halaman biromakassar viral kabupaten buol salat id 
Beda Cerita 2 Penghina Nabi di Bulan Suci, Jakarta Ada dua cerita penghina Nabi Muhammad di bulan suci Ramadhan Keduanya sama sama menyampaikan hinaan ke Nabi saat mengomentari isu Habib Bahar bin Smith Bedanya yang pelaku nomor satu mendatangi kantor polisi dan pelaku yang nomor dua ditangkap polisi Kasus pertama adalah soal perempuan bernama Meilin asal Jonggol Kabupaten Bogor Jawa Barat Dia menghina Nabi lewat media sosial seraya mengomentari pemberitaan mengenai Habib Bahar bin Smith Sebagaimana diketahui Bahar kembali dimasukkan ke bui usai sempat bebas dalam masa asimiliasi Di berita mengenai Bahar itulah Meilin menuliskan komentar sambil memberi emoji tertawa Selanjutnya Halaman menghina nabi muhammad penistaan agama habib bahar bin smith round up sumatera utara simalungun jonggol kabupaten bogor 
Ini Posting-an Hina Nabi Muhammad-Habib Bahar yang Bikin Pria Sumut Ditangkap, Simalungun Polisi menangkap seorang pria di Simalungun Sumatera Utara Sumut bernama Gernal Lundu Nainggolan karena diduga menghina Nabi Muhammad hingga Habib Bahar Penghinaan itu diduga disampaikan Gernal lewat posting an dari akun Facebook nya Ada beberapa posting an di kolom komentar Facebook diduga ditulis oleh Gernal Antara lain Nabi Muhammad tukang s i Apalah yang kalian banggakan dari Muhammad si itu dan Habib Bahar itu adalah ustad sampah tikus Kabid Humas Polda Sumut Kombes Tatan Dirsan Atmaja membenarkan penangkapan Gernal dilakukan terkait posting an tersebut Gernal ditangkap setelah adalah laporan ke polisi Terjadi penistaan terhadap salah satu agama yang diakui yaitu agama Islam melalui medsos FB ucap Tatan saat dimintai konfirmasi Jumat haf tor biromedan simalungun penistaan agama penghinaan nabi nabi muhammad habib bahar polisi 
"Hina Nabi Muhammad hingga Habib Bahar, Pria di Simalungun Ditangkap Polisi", Simalungun Polisi menangkap seorang pria di Simalungun bernama Gernal Lundu Nainggolan Gernal ditangkap karena diduga menghina Nabi Muhammad hingga Habib Bahar Kabid Humas Polda Sumut Kombes Tatan Dirsan Atmaja mengatakan Gernal diamankan berdasarkan laporan bernomor LP V SU Simal Dagang yang dibuat pada Mei Gernal diduga melakukan penistaan terhadap agama Islam lewat akun Facebook nya Telah terjadi penistaan terhadap salah satu agama yang diakui yaitu agama Islam melalui medsos FB yang diketahui bernama GN pekerjaan pendamping desa Bosar Maligas dan diketahui penduduk Bandar Pulau Kecamatan Bandar Kabupaten Simalungun kata Tatan Jumat haf tor biromedan polda sumut nabi muhammad habib bahar penistaan agama 
Sidang Vonis 5 Mahasiswa Kasus Terbakar-Tewasnya Polisi Cianjur Ditunda, Cianjur Sidang putusan lima mahasiswa yang menjadi terdakwa dalam kasus terbunuhnya Ipda Erwin dan terbakarnya tiga anggota polisi saat mengamankan aksi unjuk rasa berujung ricuh ditunda Rencananya sidang putusan digelar setelah lebaran Majelis hakim dengan Ketua Glorious Anggundoro Anggota Patti Arimbi Dicky Wahyudi menunda putusan hingga Mei lantaran berkas putusan masih belum rampung Hakim juga sempat mengucapkan selamat merayakan Idul Fitri kepada RS HR AB MF dan RSa para terdakwa kasus terbakar serta meninggalnya polisi mso mso cianjur ipda erwin meninggal ipda erwin sidang kasus kematian ipda erwin 
"Yang Nekat Sholat di Masjid saat Pandemi, Lihat Rasulullah SAW Ketika Hijrah", Jakarta Virus corona tengah mewabah hampir di seluruh dunia Pemerintah pun memutuskan agar masyarakat beribadah dari dalam rumah guna mencegah penyebaran Walaupun begitu masih ada beberapa orang yang nekat melaksanakan salat di masjid Terkait hal itu Imam Besar Masjid Istiqlal Prof Nasaruddin Umar mengatakan pada dasarnya hal itu perlu diapresiasi Sebab artinya orang tersebut memiliki rasa cinta kepada Allah SWT yang sangat tinggi Pertama kita menghargai ada spirit yang kuat bersangkutan bahwa sangat mencintai agama Spirit itu perlu kita beri penghargaan tetapi penempatannya yang perlu diberi wawasan ungkap dia dalam acara Assalamualaikum detikers Senin malam Ia memaparkan penjelasan yang dimaksud adalah contoh dari Rasulullah melakukan hijrah ke Madinah di saat kondisi di Mekkah tidak kondusif Padahal bisa saja Rasulullah dan umatnya bertahan di Mekkah dan mati syahid tetapi hal itu urung dilakukan guna hal yang lebih baik Analoginya gini kalau berpikir perasaan kenapa Rasulullah hijrah menelantarkan umat di Mekkah cari keselamatan sendiri dengan Abu Bakar di Madinah Kalau memang seorang pemimpin bertanggung jawab konsisten umatnya ya mati bareng saja di Mekkah syahid tapi mundur selangkah untuk meraih kemenangan itu cara Nabi Kalau nekat mati bersama di Mekkah bukan cara Nabi ungkap dia Selain itu ia juga memaparkan contoh lain di mana Rasulullah sedang tidak melaksanakan salat malam Hal itu karena kebutuhannya untuk tidur sebab Nabi Muhammad juga mementingkan kepentingan tubuhnya pay erd corona ramadhan hikmah virus corona pandemi 
Tentang Laut Mati dan Keistimewaannya, Jakarta Laut Mati jadi salah satu destinasi eksotis di Timur Tengah Berikut ini ulasan tentang destinasi itu dan keistimewaan yang menyertainya Sebelum menulis reportase ini saya sempat mengintip sebentar di Google lokasi lokasi resort Laut Mati yang sempat kami singgahi maupun yang sekadar lewat Sebagian besar tempat itu tutup karena alasan COVID Banyak kafe dan restoran tidak beroperasi Siapa yang menyangka bahwa tempat yang baru kami kunjungi di akhir Januari itu sekarang sama kondisinya dengan banyak tempat di belahan dunia lain dan bahkan di tanah air Kegiatan ekonomi dunia di manapun seolah berhenti Saya dengar sekarang perlahan Israel mulai melonggarkan lockdown nya tapi apakah akan segera membuka perbatasannya belum terdengar beritanya Entah kapan belum seorangpun bisa memprediksi wabah yang melanda dunia ini akan berakhir Arab Saudi belum mengumumkan akan membuka Mekah kembali untuk ibadah umrah setelah ditutup di awal Maret Israel masih menutup pintu perbatasannya dari negara negara yang berbatasan dengannya sejak Maret Hampir sama dengan Arab Saudi industri pariwisata Israel berkembang karena kunjungan turis mancanegara yang mengunjungi kota kota seperti Jerussalem Bethlehem Jericho dan Hebron Hakikatnya manusia hidup dari sejak sejarah peradaban manusia mulai dikenal adalah menjelajahi dunia Mari berpikir positif jika wabah COVID berlalu interaksi manusia akan kembali normal Semoga dengan cara memandang dunia yang lebih baik manusia penghuni bumi ini memiliki masa depan yang cerah Petunjuk ke Laut Mati Foto Maria Karsia Cara ke Laut MatiBaiklah kembali ke tujuan awal mari sekarang kita mulai melongok dan menjelajahi Laut Mati Memasuki Jordan dan setelah mengunjungi Petra perjalanan kami lanjutkan untuk memasuki Israel lewat darat menuju perbatasan Allenby Bridge perbatasan Jordan dan Israel Sebelum menuju ke perbatasan kami melewati wilayah pinggir Laut Mati yang letaknya membujur dari Timur ke Barat negara Jordan Laut Mati juga dapat dikunjungi dari tiga negara yaitu Yordania Palestina dan Israel Pertama kami melintas area Laut Mati dari sisi Yordania Di sini kami hanya mengabadikan foto sebentar lokasi itu di KM sebelah barat dari Amman menuju Allenby Bridge Laut Mati permukaannya lebih rendah dari permukaan laut Kurang lebih meter di bawah permukaan laut Apa yang kita rasakan ketika berada di wilayah seperti ini Saya hanya sedikit merasa ada tekanan di telinga Setelah memasuki wilayah ini kami dibawa berkunjung ke toko souvenir yang menjual semua produk yang dihasilkan dari mineral Laut Mati Toko souvenir ini masih ada di wilayah Yordania Kami dihimbau untuk tidak membeli produk Laut Mati yang dihasilkan oleh perusahaan Israel karena solidaritas protes pendudukan Palestina oleh Israel Kami tidak mengunjungi pantai Laut Mati dari sisi Yordania Kami mengunjungi Pantai Neve yang terletak di bagian Israel Pantai ini dapat dijangkau setelah melewati perbatasan Allenby Bridge Kami sempat mampir di Jericho tempat mesjid Nabi Musa Pantai Neve adalah salah satu lokasi pantai dan resort Laut Mati Setelahnya kami baru melanjutkan perjalanan masuk ke Jerussalem Resor di Laut Mati Foto Maria Karsia Keistimewaan Laut MatiLaut Mati bisa dikatakan sebagai salah satu fenomena alam yang belum tentu dapat ditemukan di tempat lain di dunia Sebenarnya Laut Mati merupakan sebuah danau Laut Mati adalah tempat terendah di dunia Berada di meter di bawah permukaan laut dan ini adalah titik terendah di Bumi Laut Mati mendapatkan sumber airnya dari Sungai Yordan yang memiliki panjang km Diperkirakan volume air yang terdapat di Laut Mati mencapai km Itulah sebabnya danau ini tidak dinamai danau karena terlalu luas lebih menyerupai laut luasnya kurang lebih sekitar km Menurut penelitian geologi Laut Mati terbentuk sejak juta tahun lalu saat terjadi retakan kecil yang terdapat pada lembah Sungai Yordan atau juga dikenal dengan nama Jordan Riff Valley Di saat bersamaan air yang berasal dari laut masuk melalui celah tersebut berkumpul membentuk danau Kondisi iklim yang kering ditambah evaporasi yang tinggi menyebabkan mineral yang terdapat di dalam air berubah Ditambah kandungan garam gipsum dan kapur yang terdapat di sekitar retakan membentuk danau dengan konsentrasi garam yang sangat tinggi Dinamai Laut Mati karena kandungan garamnya yang sangat tinggi tidak ada makhluk yang dapat hidup di dalam airnya Kandungan garam yang terdapat di dalam air Laut Mati bisa mencapai sedangkan kandungan rata rata garam yang ada di laut seluruh dunia hanya Untuk itu pengunjung yang ingin berenang di Laut Mati selalu diperingatkan untuk berhati hati Agar air tidak mengenai mata karena dapat merusak kornea mata Jika tak sengaja kena harus cepat cepat dibilas Tidak seperti namanya yang menyeramkan ternyata Laut Mati menyuguhkan pemandangan yang indah Banyak resor dan hotel bertebaran di sepanjang pinggir Laut Mati Kebanyakan lokasi resort itu berada di bagian negara Israel Lumpur dan khasiat garam Laut Mati Foto Maria Karsia Khasiat garam dari Laut MatiKandungan mineral lumpur Laut Mati terbukti dapat mempercantik kulit Tidak hanya untuk kecantikan saja kandungan garam mineralnya juga banyak dimanfaatkan untuk kesehatan seperti memperbaiki tekstur kulit serta memperlancar peredaran darah Saya sendiri mencoba sedikit mencungkil lumpur Laut Mati langsung dari sumbernya dan mengoleskannya pada wajah sebagai masker Setelah menit saya membilasnya terasa kulit lebih segar dan jadi kencang Memang sejak zaman dahulu Cleopatra sang ratu Mesir yang cantik Raja Salomo hingga Herodes Agung dikisahkan pernah mengunjungi Laut Mati karena manfaat dari lumpur tersebut Di zaman modern ini banyak perusahaan mengolah lumpur untuk bahan komersial terutama lumpur dan garam Laut Mati Oleh karenanya industri kosmetik sangat berkembang pesat di sana Dikarenakan konsentrasi garam yang terdapat pada Laut Mati sangat tinggi wisatawan yang tak dapat berenang pun akan mengapung secara otomatis Air Laut Mati terasa lebih kental dibandingkan dengan air laut pada umumnya dan udara di sekitar Laut Mati terbilang bersih Kami berhenti dua kali untuk melihat pemandangan indah pinggir pantai Laut Mati pertama ketika masuk Israel dan kedua kalinya ketika perjalanan menuju Mesir keluar dari Israel Kali kedua kunjungan di tempat resort yang berbeda kami mampir untuk makan siang di sebuah kafe Lokasi resort itu terletak di Ein Bokek di selatan Israel menuju Mesir Hanya saya lupa nama kafenya Hidangannya lumayan enak khas masakan Timur Tengah dan juga makanan ala Barat Salad buah zaitun dan ayam panggangnya sungguh lezat Ada jus buah granit delima yang kaya vitamin C Setelah makan siang kami bisa berjalan jalan menikmati pantai Laut Mati Jika di Pantai Neve kami lihat pantainya seperti normal pantai berpasir dan memegang lumpur pantai di Ein Bokek kami bisa merasakan bermain dengan butiran butiran kristal garam di pinggir pantai yang bercampur pasir Laut Mati kian menyusutAda fakta yang mengkhawatirkan tentang eksistensi Laut Mati Air di Laut Mati mulai menyusut tiap tahunnya Berdasarkan majalah lingkungan yang dikutip oleh tour guide kami penyusutannya mencapai meter setiap tahun Selain penyusutan masalah lain yang dihadapi oleh Laut Mati adalah kekeringan Hal ini disebabkan karena proses penguapan yang cukup tinggi Ditambah lagi pemerintah Palestina Yordania dan Israel mengambil sumber air yang berasal dari Sungai Yordan untuk pertanian dan kebutuhan lainnya Padahal Sungai Yordan adalah satu satunya sungai yang bermuara ke Laut Mati Jadi bukan tidak mungkin suatu hari nanti Laut Mati semakin menyusut dan hanya meninggalkan garam dan mineral saja Untuk itu sejak tahun pemerintah Yordania dan Israel bekerjasama untuk mengatasi masalah penyusutan tersebut Mereka membuat sebuah kanal untuk mengalirkan air ke Laut Mati Menurut beberapa tautan berita setelah lockdown kondisi Laut Mati dan sekitarnya udaranya lebih bersih dan sejuk Itulah beberapa fakta dan berkah Laut Mati bagi tiga negara yang mengelilinginya Selain dari banyak dibangunnya industri pariwisata berupa resort resort hotel hasil dari industri kosmetik juga sangat besar di sana Butiran kristal di pantai di Ein Bokek Laut Mati Foto Maria Karsia Miliaran dolar dari Laut MatiDari data yang dilansir oleh tour leader kami dan hasil penelusuran saya data menyebut bahwa setiap negara dapat menghasilkan jutaan bahkan miliaran dolar dari Laut Mati Israel mendapatkan USD miliar per tahun dari penjualan mineral saja Yordania menghasilkan USD miliar per tahun Palestina menghasilkan USD juta per tahun Itu data pada tahun Jadi bisa diasumsikan bahwa pasti ada peningkatan pemasukan setiap tahunnya Apa lagi ada peningkatan wisatawan mancanegara yang berkunjung ke sana tiap tahun dan semakin banyak orang yang membeli produk kosmetik Laut Mati juga sisi ekspornya Kembali ke situasi saat ini jika wabah Corona memakan waktu lama maka negara di dunia dan juga termasuk Timur Tengah seperti Arab Saudi Yordania Israel Palestina Mesir yang saya kunjungi sudah dapat dipastikan kehilangan pemasukan dari turis Karena mereka menerapkan pembatasan yang sangat ketat dari jalur manapun darat laut dan udara Harapannya dengan aksi menutup pintu pintu masuk dan keluar ke negara mereka dapat menghentikan penularan impor virus Yordania sempat ricuh karena kebijakan lockdown total karena tidak diikuti dengan ketersediaan bahan makanan Sekarang kebijakan itu dilonggarkan oleh pemerintahnya Meski jumlah positif Corona di negara tersebut masih dapat dikontrol pemerintah Yordania menutup akses udara ke dan dari negaranya sejak awal Maret Israel dan Palestina memutuskan untuk bekerjasama membatasi pergerakan warganya Pada tanggal Maret Israel mengunci akses ke Kota Bethlehem sedangkan otoritas Palestina menutup Gereja Bethlehem selama minggu Penulis Maria Karsia Traveler wartawan lepas penulis buku dan pemerhati masalah sosial budaya Simak Video Sensasi Mengambang di Kolam Renang Jakarta Gambas Video detik msl ddn laut mati palestina yordania israel wisatawan 
Usulan Uang Tunai Demi Cegah Ricuh Bansos Sembako di DKI, Jakarta Di tengah ricuh pembagian bantuan sosial bansos sembako antara pemerintah pusat dan Pemprov DKI Jakarta muncul usul baru agar ada jalan tengah Usul tersebut adalah memberikan uang tunai kepada warga Hal ini agar kisruh pemerintah pusat dan Pemprov DKI soal bansos berakhir dan masyarakat tak bingung Kita butuh persatuan dalam mengatasi agar wabah ini segera berakhir dan masyarakat tidak bingung Soal bansos ini sebenarnya bisa ditekan permasalahannya jika dilakukan penyaluran tunai bukan lewat barang kata Ketua KADIN DKI Jakarta Diana Dewi dalam keterangan tertulis Selasa Diana turut menyoroti permasalahan data penerima bansos bisa salah satunya pemberian bantuan dalam bentuk sembako Ia menilai jika bantuan diberikan dalam bentuk tunai akan jauh lebih efektif dari sisi data penerima dan manfaat yang didapatkan oleh penerima bantuan Ia berujar bantuan sembako atau nontunai akan memakan waktu dari proses penyiapan hingga proses pengiriman ke alamat yang sesuai Selanjutnya Halaman bansos dki bantuan sosial bansos virus corona pandemi corona kadin dki gubernur dki jakarta anies baswedan dki jakarta round up 
Polres Gorontalo Kota Amankan 3 Remaja Pelesetkan Lagu Aisyah Diduga Hina Nabi, Gorontalo Polres Gorontalo Kota berhasil mengamankan tiga remaja yang berada dalam video viral memelesetkan lagu Aisyah yang liriknya diubah Ketiganya kini diamankan di Polres Gorontalo Kota Ketiga remaja yang diamankan adalah perempuan berinisial AAR yang menyanyikan sepenggal syair perempuan berinisial FYA yang juga berada dalam video serta laki laki berinisial RA yang berjoget sambil menggunakan handuk Ketiga remaja berdomisili di Kelurahan Leato Utara Kecamatan Dumbo Raya Kota Gorontalo sudah diamankan dan diserahkan di Polres Gorontalo Kota ujar Kepala SPK I Polres Gorontalo Kota Aipda Liwan Modeong Kamis azr azr lagu aisyah istri rasulullah viral gorontalo biromakassar 
