title,content
Bali Lawan Virus Corona dan Turis Nakal, Denpasar Bali yang eksotis memang jadi destinasi populer khususnya untuk turis Australia Tak cuma ramai turis Australia juga sering bikin pusing Sebelum Corona Bali penuh dengan turis Australia Ada sekitar turis yang datang di masa masa awal pandemi Namun seiring merebaknya Corona turis di Bali anjlok hingga persen pada bulan Maret Belum lagi kebijakan lockdown yang dilakukan oleh Australia Penurunan turis Australia mencapai persen Bali hanya memiliki penerbangan internasional yang masih beroperasi hingga April lalu Bali Indonesia Foto iStock Gerak cepat Bali pun melakukan karantina wilayah Kerja keras ini cukup membuahkan hasil Bali hanya memiliki kasus infeksi Corona dan kematian Memang pariwisata Bali terjun payung Tapi ternyata ini juga berbanding lurus dengan angka kriminal di Bali Bisa dibilang turis Australia sering jadi biang kerok di Bali Kami selalu sibuk dengan turis Australia yang rusuh mabuk dan menggunakan narkoba ujar Kepala polisi Kuta Detektif Bagus Baranacita Adanya pandemi Corona juga menurunkan angka kriminalitas di Bali Polisi sendiri sudah sampai frustasi mengahadapi turis turis pembuat onar Silakan datang ke kantor saya dan lihat sel sel kosong Tidak ada orang Australia ungkapnya Yang ada hanyalah para napi lokal dan seorang turis asal Adelaide yang dipenjara karena membuat onar Tak ada warga Australia yang melakukan pelanggaran sejak lockdown jelas Detektif Kepala Polisi Kuta Utara Androyuan Elim Selain tak ada turis kepolisian juga menggunakan metode terbaru untuk memantau pergerakan orang di jalanan Pengendara motor yang tertangkap tanpa masker akan diberikan hukuman Hanoman Rahwana Goda Masyrakat yang Tidak Pakai Masker di Tabanan Bali Foto Istimewa Simak Video China Jemput Warganya dari Bali Awak Pesawat Tidak Turun Gambas Video detik bnl bnl bali virus corona australia turis nakal 
"Kontak dengan Pasien Corona, Separuh Senat Chile dan 4 Menteri Dikarantina", Chile Sekitar separuh dari anggota senat Chile dan empat menteri dikarantina usai kontak dengan tiga rekannya yang terinfeksi virus Corona Mereka dikarantina meskipun ada yang sudah menjalani satu kali tes Corona dan hasilnya negatif Seperti dilansir AFP Selasa Menteri Keuangan Ignacio Briones dan Kepala Staf Felipe Ward keduanya menulis di akun Twitter masing masing bahwa mereka telah dites negatif Corona Namun mereka harus menjalani karantina sampai tes kedua dilakukan Selanjutnya Halaman chile corona karantina corona di chile 
"Bule Spanyol Ngutil Makanan di Supermarket Bali, Sempat Kabur Usai Diperiksa", Badung Seorang turis warga negara Spanyol diamankan karena nekat mencuri makanan atau ngutil di supermarket di Seminyak Badung Bali Bule tersebut berbelanja tanpa membayar dengan jumlah tagihan Rp Seorang tamu asing laki laki asal Spanyol masuk ke Supermarket Bintang kemudian mengambil beberapa item barang yaitu botol Bertoli minyak olive buah Sweet Tomat botol Asparagus pack Jamur Sitaki dengan total harga Rp kata Kabag Ops Polresta Denpasar Kompol Nyoman Gatra Selasa Bule itu sempat diamankan oleh karyawan supermarket Dia lalu diajak ke gudang untuk dimintai keterangan Selanjutnya bule tersebut diamankan oleh karyawan Bintang Supermarket diajak ke gudang dan dimintai keterangan setelah selesai diinterogasi bule tersebut langsung lari barang barang yang diambil ditinggal ujar Gatra idh idh biromakassar bule ngutil bali bule rusuh 
"Sempat Kabur Pakai Speed Boat, Penyelundup 2 Kg Sabu dari Malaysia Ditangkap", Jakarta Bea Cukai Tarakan bersama Tim Brantas Badan Narkotika Nasional Kalimantan Utara BNNP Kaltara menggagalkan upaya penyelundupan narkotika ke Indonesia Seorang tersangka berinisial A ditangkap dengan barang bukti sabu seberat kg Kepala Kantor Pengawasan dan Pelayanan Bea dan Cukai Tipe Madya Pabean KPPBC TMP B Tarakan Minhajuddin Napsah mengatakan penindakan dilakukan pada Sabtu di perairan Selumit Pantai Bea Cukai Tarakan dan BNNP Kaltara melakukan pengintaian selama pekan Tim gabungan lalu mengejar target yang menggunakan speed boat warna hijau bermesin PK di wilayah perairan Selumit Pantai Tersangka A sempat berhasil melarikan diri dan mencoba menghilangkan narkoba yang dibawanya Penangkapan di rumah yang bersangkutan Tersangka berusaha membuang barang bukti yang dibawanya dengan menyembunyikan di rumah pada saat kabur Barang bukti berupa narkotika jenis methamphetamine sebesar gram berhasil ditemukan saat dilakukan penggeledahan ujar dia jbr tor penyelundupan sabu sabu malaysia tarakan biromakassar 
Kemenkum: Ada 95 Kasus Pelanggaran Napi Asimilasi di Tengah Pandemi, Jakarta Kementerian Hukum dan HAM Kemenkum HAM memberikan asimilasi kepada puluhan ribu warga binaan di tengah pandemi virus Corona Per tanggal Mei ribu lebih warga binaan mendapatkan asimilasi dari Kemenkum HAM Data per tanggal Mei asimilasi di rumah dan integrasi narapidana dan anak sebanyak orang dalam rincian sebagai berikut asimilasi narapidana dan anak orang integrasi narapidana dan anak orang kata Dirjen PAS Kemenkum HAM Reynhard Silitonga dalam rapat dengar pendapat dengan Komisi III DPR RI Senin Dari puluhan ribu warga binaan yang diberi asimilasi terdapat sejumlah pelanggaran Reynhard menjelaskan terdapat pelanggaran asimilasi di mana sebagian besar pelanggaran syarat umum rfs elz kementerian hukum dan ham kemenkum ham asimilasi corona asimilasi narapidana 
"Ditemukan Linglung, WN Belarus Mengamuk di Kantor Satpol PP Bali", Denpasar Seorang warga negara asing WNA asal Republik Of Belarus Victor Lazovski mengamuk di ruang binaan Satpol PP Denpasar Bali Turis itu diduga depresi atau ada gangguan kejiwaan Mengamuk di ruang binaan Satpol PP kata Ketua Satpol PP Denpasar I Dewa Gede Anom Sayoga kepada detikcom Senin Sedang diperiksa ini menunggu tim evakuasi kita bawa ke RSJ ajalah ada gangguan kejiwaan mereka itu tadinya sudah pernah dirawat di RS Sanglah ya kita sudah koordinasikan dengan petugas kan dubesnya ada di Jakarta kita sedang mengumpulkan riwayat perjalanannya itu memang pernah dirawat di Sanglah tapi karena sempat keluar paksa dia kita masih menunggu tim medis yang pernah rawatnya serta tim evakuasi untuk pemberangkatan ke RSJ ujar Sayoga Selanjutnya Halaman biromakassar bule ngamuk bule bikin rusuh denpasar bali 
Polisi Tetapkan 19 Orang Tersangka yang Rusuh Saat Tagih Utang di Samarinda, Samarinda Polisi menetapkan orang pelaku perusakan dan penyerangan kantor PT Putra Tanjung sebagai tersangka Sebanyak orang menerima pasal berlapis karena terbukti menggunakan narkoba Kasat Reskrim Polresta Samarinda Kompol Damus Asa mengatakan dari orang anggota organisasi kemasyarakatan ormas yang dilakukan pemeriksaan orang di antaranya ditetapkan menjadi tersangka Berdasarkan hasil pemeriksaan orang ini memiliki peran cukup signifikan dalam aksi perusakan yang dilakukan di kantor PT Putra Tanjung selain itu mereka juga tertangkap tangan membawa senjata tajam jenis Mandau atas dasar itu mereka kita tetapkan menjadi tersangka kata Damus Minggu sore eva eva samarinda biromakassar 
"Kemenkum: Berkaca dari Negara Lain, Tidak Asimilasi Napi Rusuh", Jakarta Kemenkum HAM mengatakan kebijakan asimilasi narapidana di tengah pandemi tidak hanya terjadi di Indonesia Menurutnya sejumlah negara juga memberikan asimilasi salah satunya Amerika Serikat Kalau kita melihat pengalaman pengalaman negara di luar Amerika dalam kondisi pandemi ini mengeluarkan orang napi Iran napi Polandia napi Kanada Afganistan Jerman ujar Direktur Pembinaan Narapidana dan Latihan Kerja Produksi Direktorat Jenderal Pemasyarakatan Kemenkum HAM Yunaedi dalam diskusi online bertajuk Opini Pandemi COVID dan Asimilasi Narapidana Rabu Tentu dampak pelonggaran ini di overkapasitas isi ribu sekian napi maka menurun menjadi ribu sekian napi dari overcrowded persen menjadi persen ucapnya Lebih lanjut Yunaedi menyebut ada juga negara yang tidak memberikan asimilasi kepada narapidana di tengah pandemi Namun kerusuhan terjadi di dalam penjara Kemudian negara negara yang tidak mengeluarkan tapi terjadi kerusuhan Thailand Italia juga Kolombia Sri Lanka Oleh karena itu berkaca dari pengalaman kepada negara lain kemudian secara normatif kita bisa melakukan satu terobosan yang di mana pelaksanaan daripada asimilasi dan integrasi itu bisa dilaksanakan katanya idh idh asimilasi napi asimilasi 
"Lockdown Dilonggarkan, Warga India Kalap Belanja Miras", New Delhi India melonggarkan lockdown atau penguncian wilayah setelah hari Warga merespons dengan antre membeli minuman keras hingga terjadi bentrokan Polisi memukul warga yang berdesakan untuk membeli alkohol pada Selasa Padahal petugas yang berjaga telah memberikan tanda dengan kapur tempat antrean untuk pembeli miras agat tetap jaga jarak karena pandemi virus Corona belum reda Kami telah terkurung lebih dari satu bulan Alkohol memberikan kami energi untuk menjalani social distancing selama pandemi kata Asit Banerjee tahun kepada AFP Pemerintah India memang mendorong agar toko minuman keras dibuka lebih awal dengan harapan ada pemasukan dari penjualan alkohol sebagai sumber utama pendapatan pajak Ya pemerintah India bilang bakal memberikan harga khusus corona persen untuk mengejar pendapatan wisata india virus corona di india wisata new delhi virus corona 
Kata WNI Mengenai Cara Peru Berjuang Lawan Corona, Lima Peru termasuk salah satu negara sedang berjuang melawan wabah Corona Salah seorang warga negara Indonesia WNI di sana membagikan cerita soal bagaimana cara Peru Melawan Corona Salah satu respons yang dilakukan pemerintah Peru atas wabah Corona ialah dengan menerbitkan status darurat nasional Lewat status ini sejumlah bandara dan perbatasan ditutup Pada tanggal Maret Pemerintah Peru mengumumkan status darurat nasional dan mulai pukul Maret Peru langsung menutup seluruh perbatasannya termasuk bandara pelabuhan dan perbatasan darat kecuali untuk kargo pasokan pangan dan kemanusiaan kata Rangga Yudha Nagara salah seorang WNI yang tinggal di Lima Peru dalam keterangan tertulisnya Selasa Selanjutnya Halaman peru corona di peru corona di amerika latin corona covid 
Kronologi Kasus Ancam Bunuh Jokowi Bikin Fahri Dibui 255 Hari, Jakarta Muhammad Fahri gigit jari setelah permohonan bandingnya ditolak Pengadilan Tinggi PT Jakarta Pria berserban hijau yang mengancam Presiden Joko Widodo Jokowi saat kerusuhan Mei di Petamburan Jakarta Barat divonis hukuman hari penjara Aksi Fahri saat itu terekam video dan viral di media sosial Menguatkan putusan Pengadilan Negeri Jakarta Pusat Nomor Pid B PN Jkt Pst tanggal Februari yang dimintakan banding tersebut demikian bunyi putusan banding PT Jakarta yang dilansir di website nya Senin Selanjutnya Halaman pria berserban hijau ancam jokowi jokowi pria ancam jokowi kerusuhan mei round up 
Pengancam 'Bunuh Jokowi' Saat Rusuh 22 Mei Dibui 255 Hari, Jakarta Permohonan banding Muhammad Fahri ditolak Pengadilan Tinggi PT Jakarta Alhasil pria berserban hijau yang mengancam Presiden Joko Widodo dan viral di media sosial saat kerusuhan Mei terjadi di Petamburan Jakarta Barat divonis dengan hukuman hari penjara Kasus bermula saat Fahri ikut aksi mendemo hasil Pemilu di Bawaslu Fahri bersama teman temannya ikut aksi menolak hasil Pilpres di depan Kantor Bawaslu Jalan MH Thamrin Jakarta pada Mei Hey Jokowi ketemu kau sama saya Saya bunuh kau Jokowi dan antek anteknya Wiranto jahanam bangsat kau penghianat kau Selanjutnya Halaman pria berserban hijau ancam jokowi pria ancam jokowi kerusuhan mei kerusuhan mei 
"Rusuh di Lapas Peru Usai 2 Napi Positif Corona, 9 Tahanan Tewas", Lima Kerusuhan terjadi di dalam lapas di Kota Lima Peru usai dua tahanan terinfeksi virus Corona COVID Akibatnya narapidana tewas Dilansir AFP kerusuhan itu pecah pada Selasa malam waktu setempat Selain orang tewas penjaga lapas dan polisi terluka Otoritas Peru mencatat narapidana yang tewas karena virus Corona mencapai orang dan sekitar tahanan terinfeksi Corona Kerusuhan itu terjadi diduga karena para narapidana merasa khawatir akan penyebaran virus Corona di lapas isa isa peru rusuh corona narapidana 
