title,content
RPerpres Tugas TNI dalam Penanganan Terorisme Dinilai Ancam Kebebasan Sipil, Jakarta Pemerintah melalui Kementerian Hukum dan HAM mengirimkan draft Rancangan Peraturan Presiden RPerpres tentang tugas TNI dalam mengatasi aksi terorisme ke DPR RPerpres pelibatan TNI dalam penanganan terorisme tersebut dinilai mengancam kebebasan sipil Ketua SETARA Institute Hendardi menyebut RPerpres itu dikirim oleh KemenkumHAM ke DPR pada Senin Dia mengatakan isi draf RPerpres yang beredar tersebut dinilai melampaui substansi norma sejumlah pasal yang mendasari RPerpres tersebut Selanjutnya Halaman rancangan perpres terorisme terorisme polri setara institute 
"Pahlawan Perang Dunia II, Dari Rasuna Said Hingga Ratu Kematian Uni Soviet", Jakarta Davies Surya BBCCoba bayangkan sebuah aksi heroik pada masa peperangan Siapa sosok pemberani yang muncul dalam benak Anda Apakah dia laki laki atau perempuan Peran perempuan dalam konflik kerap kali tidak diakui publik Pada peringatan tahun berakhirnya Perang Dunia II yang jatuh Mei kami mengingat kembali delapan perempuan yang keberaniannya melampaui jutaan orang lainnya saat menghadapi konflik berdarah Rasuna Said Sang Singa BetinaRasuna adalah salah satu sosok kunci dalam perjuangan Indonesia merebut kemerdekaan Musuhnya bukan hanya Jepang tapi juga pemerintah kolonial Belanda Rasuna mulai terlibat politik pada usia muda Dia turut mendirikan Persatuan Muslimin Indonesia PERMI pada usia an tahun Perempuan Minangkabau ini dikenal sebagai orator yang pidatonya ibarat petir di siang bolong Ia dijuluki Singa Betina karena keberaniannya melontarkan kritik kepada Belanda Pemerintah kolonial saat itu kerap menghentikan orasinya Salah satunya terjadi pada Rapat Umum PERMI di Payakumbuh Sumatera Barat tahun Saat Rasuna berpidato pada forum itu aparat pemerintah kolonial datang dan memaksanya berhenti Ia ditangkap diajukan ke pengadilan lalu dipenjara selama bulan dengan dakwaan ujaran kebencian Pada masa penjajahan Jepang Rasuna turut menggagas perkumpulan Nippon Raya untuk membentuk kader kader perjuangan Kepada pejabat tinggi Jepang menurut studi literatur seorang sejarawan Rasuna pernah berkata Boleh Tuan menyebut Asia Raya karena Tuan menang perang tetapi Indonesia Raya pasti ada di sini Setelah Indonesia merdeka Rasuna menduduki sejumlah jabatan pemerintahan dari Komite Nasional Indonesia DPR Indonesia Serikat hingga Dewan Pertimbangan Agung Rasuna adalah satu dari sedikit perempuan Indonesia yang dianugerahi gelar pahlawan nasional Namanya kini terpatri di salah satu jalan utama Jakarta Kisah Rasuna Said sang Singa Betina dan Martha Christina Tiahahu sang remaja pemberaniKomandan perang Revolusi Amerika kemungkinan seorang perempuan atau berkelamin gandaSebanyak orang bias terhadap perempuan menurut studi PBBCheng Benhua Menyambut kematian dengan senyumanBenhua adalah perempuan asal China yang menentang penjajahan Jepang di negaranya tahun Sebuah foto yang mengabadikan peristiwa saat ia ditusuk bayonet hingga tewas menjadi potret ikonik tentang perlawanan tanpa rasa takut Yang memotret kejadian itu adalah fotografer asal Jepang Ia mengabadikan momen terakhir kehidupan Benhua setelah dia tangkap dan dipenjara pasukan kolonial Berbagai literatur menyebut Benhua diperkosa berulang kali oleh pasukan yang menawannya Namun ia tetap menolak tunduk pada pemerintah kolonial Dalam foto ikonik itu Benhua terlihat tersenyum Ia menyilangkan tangan ke dadanya mengangkat muka serta menatap tajam ke arah kamera seolah memperlihatkan jiwanya yang tanpa rasa takut Pose Benhua dalam foto itu baru baru ini diabadikan dalam patung setinggi lima meter di Nanjing Kota itu adalah salah satu titik terparah dalam perang China melawan pendudukan Jepang Sekitar penduduk Nanjing diyakini tewas dalam perang tersebut Benhua berusia tahun ketika ia meninggal tahun Dia memiiki personalitas yang mencengangkan membuat impresi terhebat dan sosok yang paling pantas mendapatkan rasa hormat kata sejarawan China Fan Jianchuan kepada koran People s Daily tahun Noor Inayat Khan Sang Ratu Mata Mata Davies Surya BBCRatu sekaligus mata mata Inggris Noor Inayat Khan adalah keturunan langsung Sultan Tipu penguasa kerajaan Muslim Mysore pada abad ke Ayahnya merupakan seorang guru sufi sementara ibunya berkebangsaan Amerika Serikat Inayat Khan lahir di Moskow Soviet dan menempuh pendidikan tinggi di Sorbonne Prancis Keterampilan berbahasa Inggris memberinya peluang terlibat dalam Satuan Operasi Khusus Inggris SOE Organisasi ini berisi para agen telik sandi yang terjun payung untuk masuk ke Perancis selama pendudukan Nazi Mereka melakukan sabotase hingga memata matai pergerakan pasukan musuh Inayat Khan bekerja sebagai operator radio Dia menjadi perempuan pertama yang menjalan peran tersebut di organisasi rahasia itu Dia kerap berpindah lokasi untuk menghindari penangkapan Namun akhirnya ia diciduk kepolisian Nazi Gestapo Dia melalui sesi interogasi yang disertai kekerasan Inayat Khan beberapa kali berusaha kabur Suatu kali ia nyaris berhasil membuat jalan rahasia di atap gedung penyekapan Setiap kali tertangkap hendak melarikan diri proses pemenjaraan dan interogasi terhadapnya semakin kejam Namun sejumlah sumber menyebut dia tak pernah memberi informasi berharga apapun kepada Nazi Nazi disebut hanya mengetahui nama samarannya Madeleine Mereka juga tak tahu bahwa dia sebenarnya seorang warga India Pada September Inayat Khan dan tiga agen perempuan SOE lainnya dikirim ke kamp konsentrasi Dachau Tanggal September mereka dieksekusi mati Atas keberaniannya Inayat Khan dianugerahi George Cross oleh Kerajaan Inggris Ia juga mendapat penghargaan Croix de Guerre dari pemerintah Perancis Sebuah patung Inayat Khan kini berdiri di Gordon Square Gardens London untuk menghargai keberaniannya Noor Inayat Khan terus menginspirasi bahkan hingga saat ini bukan hanya keberaniannya tapi juga prinsip yang dia pegang teguh kata Shrabani Basu penulis buku Spy Princess The Life of Noor Inayat Khan Walau dia penganut Sufi dan meyakini jalan tanpa kekerasan dia memberi pengorbanan terbesar yaitu nyawanya untuk melawan fasisme ujar Basu Lyudmila Pavlichenko Wanita Pembawa Kematian Davies Surya BBCLyudmila Pavlichenko adalah salah satu sniper paling gemilang sepanjang sejarah Sebanyak tentara Jerman terkonfirmasi tewas ia tembak selama pendudukan Nazi di Uni Soviet tahun Puluhan korbannya adalah spiner yang kalah dalam pertarungan kucing tikus Keberhasilan Lyudmila membunuh musuh selama pengepungan Kota Sevastopol dan Odessa diganjar julukan wanita pembawa kematian Para penembak jitu Nazi tidak dapat menemukannya walau ia terluka akibat ledakan mortar Sempat pulih dia akhirnya ditarik dari garis depan Lyudmila belakangan diserahi tugas menggunakan ketenarannya untuk menarik dukungan terhadap upaya Soviet berperang melawan Nazi Sebagai representasi citra Tentara Merah Soviet ia pergi ke banyak negara termasuk bertemu Presiden Amerika Serikat kala itu Franklin Roosevelt Maski dianugerahi Bintang Emas Pahlawan Uni Soviet kisahnya dihilangkan dari sejarah Mengejutkan bahwa sniper perempuan dengan kemampuan luar biasa tidak diingat dan dihargai setelah ia meninggal kata aktivis gender Iryna Slavinska Namun narasi Soviet tentang Perang Dunia II berpusat pada citra tentara laki laki yang berani Lihat saja monumen untuk pahlawan perang dan tentara yang tewas tanpa diketahui identitasnya Perempuan bukan bagian dari narasi tersebut kata Slavinska Nancy Wake Si Tikus Putih Davies Surya BBCSosok yang menarik perhatian banyak orang Nancy Wake memiliki reputasi sebagai pejuang mematikan Ia dikenal sebagai sosok dengan rayuan hebat peminum alkohol juga musuh Nazi yang berkepala batu Wake lahir di Selandia Baru tapi tumbuh dewasa di Australia Dia berhenti sekolah pada usia tahun Wake kemudian bekerja sebagai jurnalis di Prancis Menurut sejumlah sumber pekerjaan itu dia dapatkan setelah berbohong bahwa mampu menulis aksara Mesir kuno Di Prancis dia bertemu dan menikah dengan pengusaha Henri Fiocca Mereka tinggal di Marseille saat Nazi menginvasi negara itu tahun Wake lalu bergabung dengan kelompok perlawanan Prancis dan membantu sejumlah pilot Sekutu kabur dari Pyrenees menuju Spanyol Ketika jaringan yang dibangunnya membelot ke Jerman tahun Wake melarikan diri ke Inggris Suaminya Fiocca yang tidak ikut kabur akhirnya ditangkap dan dibunuh tentara Nazi Wake lantas kembali ke Prancis dalam operasi terjun payung dan bekerja untuk Satuan Operasi Khusus Inggris SOE Wake terlibat dalam sejumlah misi mematikan Dia mengklaim pernah membunuh prajurit Nazi dengan tangan kosong SOE mengajarkan teknik judi dan saya terus berlatih kemampuan itu Namun itulah satu satu peristiwa saya menggunakannya dan dia terbunuh kata Wake dalam sebuah wawancara televisi dekade an Saat kode radio berharga Sekutu hilang dalam pertempuran Wake secara sukarela bersepeda sejauh kilometer menuju area musuh Dia berkata hanya perlu tiga hari untuk memasang ulangnya Wake bersedia berdandan dan berkencan dengan orang Jerman untuk mendapatkan informasi Sedikit bedak dan alkohol saya bisa melewati pos Jerman berkedip lalu berkata Anda ingin mencari saya Oh Tuhan saya benar benar perayu ulung ujarnya kepada koran Australia Wake mendapat banyak panggilan dari Jerman selama perang tapi dia selalu berhasil menghindari mereka kata Peter FitzSimons penulis biografinya Karena kemampuannya mengelak dari Jerman Wake dijuluki Si Tikus Putih Julukan itu juga menjadi judul buku autobiografinya Wake menerima banyak penghargaan setelah perang Dia wafat Agustus pada usia tahun di London Dalam wasiatnya dia meminta abu kremasinya disebar di Prancis Jane Vialle Reporter mata mata politikusJane Vialle lahir di Republik Kongo Dia pindah ke Prancis saat kanak kanak dan bekerja sebagai jurnalis saat Perang Dunia II pecah Vialle meninggalkan Paris dan menjadi agen rahasia untuk Prancis di kawasan selatan negara tersebut Walau tidak secara resmi diduduki Jerman saat itu wilayah selatan Perancis dikuasai rezim Vichy Nazi menangkap Vialle pada Januari Dia didakwa melakukan pengkhiatanan Walau begitu rahasia yang dibawa Vialle tetap terjaga Dia memberi kode tertentu untuk data datanya sehingga musuh tidak dapat mengurainya Vialle pertama kali dikirim ke kamp konsentrasi sebelum ditahan di penjara perempuan Namun dia mampu bertahan saat perang berakhir Pada tahun Vialle terpilih menjadi anggota Senat Prancis Hedy Lamarr perempuan atraktif paling cerdas dari Hollywood Getty ImagesLammar adalah bintang film kelahiran Austria berkarier gemerlap yang membawanya pada ketenaran Perempuan yang enam kali menikah itu terpatri di Walk of Fame Hollywood Lammar lahir dengan nama Hedwig Maria Kiesler di keluarga keturunan Yahudi kaya raya yang tinggal di Wina Dia pertama kali menikah dengan pengusaha senjata yang tidak menyukai karier aktingnya Lammar justru diminta menjadi ibu rumah tangga yang menjamu kawan kawan suaminya termasuk Nazi Lammar tidak bisa menerima hal permintaan itu dan kabur ke Paris lalu ke London Di sana dia bertemu dengan Louis Mayer pimpinan perusahaan film terkenal MGM Studios Mayer menawari Lammer kontrak kerja di Hollywood Sejak saat itu dia mempromosikan Lammar sebagai perempuan paling cantik di dunia Kesuksesannya tampil dalam lebih film membuatnya masyhur Yang membuatnya masuk dalam daftar ini adalah pekerjaan sampingannya penemu Lammer mengembangkan sistem pemandu torpedo milik Sekutu yang bisa membalas ancaman musuh dengan mengubah frekuensi radio Angkatan Laut Amerika Serikat tidak mematenkan temuannya tapi temuannya itu hingga kini kita rasakan dalam teknologi bluetooth dan WiFI Mya Mi perempuan dengan pedang dan racunLudu collectionPerjuangan Mya Mi dimulai bahkan sebelum Jepang menduduki Myanmar pada Perang Dunia II Dia giat mengkampanyekan kemerdekaan bagi negaranya melawan keinginan pemerintah kolonial Inggris Mya Mi bergabung ke kelompok perlawanan pada Perang Dunia II Dia selalu membawa pedang dan botol berisi racun untuk melindungi diri dari musuh Tahun dia berpergian jalan kaki melewati wilayah musuh dan mendaki pegunungan yang dikontrol pasukan Inggris Tujuannya melawan pasukan Jepang Dia dikenal pernah membalut lukanya dengan sarung dan menolak tawaran kawan kawan lelakinya untuk membopongnya Di India Mya Mi berkontribusi dengan menyebar pamflet berisi betapa buruknya perlakuan Jepang terhadap penduduk Myanmar Walau berencana kembali ke Myanmar dengan suami setelah melahirkan anak pertama mereka dia memberi jatah kursinya untuk seorang prajurit Dia baru bisa kembali ke negaranya pada Oktober setelah perang berakhir Perjuangannya tidak berakhir di situ karena dia terus menggelorakan tuntutan kemerdekaan dan setelahnya pembebasan Myanmar dari rezim militer yang otoriter ita ita bbc world perang dunia ii 
Khawatirnya Pakar Hukum hingga Anggota DPR terhadap Perppu Corona, Jakarta Guru Besar Universitas Padjadjaran Bandung Prof Susi Dwi Harijanti tidak bisa menyembunyikan kekhawatirannya atas Perppu Corona Sebab Perppu itu dinilai membuat pejabat negara kebal hukum dan mengatur yudikatif secara sepihak Ternyata bukan Susi semata yang khawatir Perppu yang dimaksud yaitu Perppu Nomor Tahun tentang Kebijakan Keuangan Negara dan Stabilitas Sistem Keuangan untuk Penanganan Pandemi Corona Virus Disease COVID dan atau Dalam Rangka Menghadapi Ancaman yang Membahayakan Perekonomian Nasional dan atau Stabilitas Sistem Keuangan Selanjutnya Halaman perppu corona gugatan terhadap perppu corona mahkamah konstitusi judicial review kebal hukum mahfud md 
Sidang Gugatan MAKI cs soal Perppu Corona Akan Digelar 28 April, Jakarta Mahkamah Konstitusi MK akan menggelar sidang gugatan yang diajukan MAKI cs terhadap Perppu Corona pada April mendatang Sidang tersebut beragendakan pemeriksaan pendahuluan Mahkamah Konstitusi telah mengirimkan surat panggilan kepada kuasa hukum MAKI Yayasan Mega Bintang KEMAKI LP HI dan LBH PEKA selaku Pemohon Uji Materi Perppu No tahun Corona yang berisi sidang akan dilaksanakan pada hari Selasa tanggal April kata Koordinator MAKI Boyamin Saiman dalam keterangan tertulis Selasa Boyamin mengaku pihaknya sudah siap menghadapi sidang uji materi Perppu Corona yang bernama resmi Perppu Nomor Tahun tentang Kebijakan Keuangan Negara dan Stabilitas Sistem Keuangan untuk Penanganan Pandemi Corona Virus Disease COVID dan atau Dalam Rangka Menghadapi Ancaman yang Membahayakan Perekonomian Nasional dan atau Stabilitas Sistem Keuangan Selanjutnya Halaman mahkamah konstitusi perppu corona gugatan terhadap perppu corona maki 
Mahfud Md Jelaskan Alasan Pemerintah Keluarkan Perppu Corona, Jakarta Menko Polhukam Mahfud Md menjelaskan alasan pemerintah mengeluarkan Peraturan Perundang Undangan Perppu Nomor Tahun Mahfud menyebut Perppu itu adalah salah satu upaya pemerintah bertindak di masa pandemi Corona Pemerintah harus melakukan tindakakan tindakan yang sangat penting dan perlu dana banyak sementara perangkat hukumnya tidak ada Sehingga kalau langsung bertindak itu salah Maka dibuat Perppu yang nantinya akan dibahas di DPR akan disetujui atau tidak kata Mahfud dalam akun YouTube Frans Membahas seperti yang dilihat Senin Kalau tidak disetujui kan perlu ada solusinya karena DPR pun pada substansinya untuk membantu rakyat itu setuju Mekanismenya bagaimana Nanti kita lihat saja Jadi memang Pemerintah harus melakukan tindakan yang belum ada landasan hukumnya tuturnya Misalnya mengeluarkan uang yang begitu banyak khusus safety net itu anggarannya nggak ada nah kalau langsung dikeluarkan itu langsung melanggar melanggar UU Oleh sebab itu Perppu untuk memberi jalan itu Nanti DPR tinggal pertimbangkan begitu lanjutnya Selanjutnya Halaman menko polhukam mahfud md mahfud md perppu corona corona corona indonesia 
"Masinton: Perppu Corona Kepentingan Oligarki, Sabotase Konstitusi", Jakarta Anggota DPR RI dari Fraksi PDIP Masinton Pasaribu mengkritik Peraturan Perundang Undangan Perppu Nomor Tahun yang dibuat untuk menjaga masyarakat dari keterpurukan sosial dan ekonomi akibat COVID Masinton menilai penerbitan itu Perppu sebagai sabotase konstitusi Perpu No Tahun kepentingan nyata kaum Oligarki Toean Ini bukan Perppu ini sabotase Konstitusi tulis Masinton dalam akun Twitter nya Masinton Sabtu Masinton yang dimintai konfirmasi membenarkan cuitannya itu Masinton menjelaskan penerbitan Perppu hak prerogatif Presiden yang artinya tergantung kepada penilaian subjektif Presiden Pasal ayat Undang Undang Dasar Dalam hal ihwal kegentingan yang memaksa Presiden berhak menetapkan peraturan pemerintah pengganti undang undang ujarnya idh hri masinton pasaribu perppu corona virus corona 
"Persiapan Heboh India Sambut Kedatangan Trump, Telan Biaya Rp 182 Miliar", New Delhi India akan menyambut kedatangan Presiden AS Donald Trump pada hari Senin Kunjungan dua hari ini telah dipersiapkan secara matang berminggu minggu sebelumnya dan mendapat kritik dari masyarakat karena dianggap berlebihan Trump dijadwalkan tiba di kampung halaman Perdana Menteri Narendra Modi di Ahmedabad Negara Bagian Gujarat India setelah menghabiskan waktu jam perjalanan dengan singgah terlebih dahulu di pangkalan militer Ramstein Jerman untuk mengisi bahan bakar Setibanya di India Trump dan Modi akan mengunjungi stadion kriket yang baru dibangun dan diklaim sebagai stadion kriket terbesar di dunia dengan kapasitas diperkirakan mencapai orang Papan papan baliho besar akan dipasang sepanjang kilometer dengan menampilkan Modi Trump dan istrinya Melania Ribuan orang yang sebagian besar adalah pendukung dan pekerja Partai Nasionalis Hindu Bhartiya Janata BJP juga akan berdiri di sepanjang jalan ketika iring iringan kendaraan Trump lewat Rp milyar untuk kunjungan tiga jam TrumpKunjungan Trump selama tiga jam ke Ahmedabad diperkirakan menelan biaya juta atau setara dengan Rp miliar Biaya tersebut mencakup pembangunan tembok untuk menyembunyikan salah satu daerah kumuh yang berdekatan dengan jalan yang dilewati Trump Kami telah tinggal di sini selama tiga generasi tetapi tidak ada yang membuat fasilitas untuk kami di sini Keshi Saraniya salah seorang penduduk daerah kumuh mengatakan kepada DW Orang orang penting melewati jalan ini tetapi kami disembunyikan Karena mereka menghabiskan begitu banyak uang di tembok mengapa tidak menggunakannya untuk membantu masyarakat di sini dan menyediakan fasilitas yang lebih baik untuk kami Perlindungan keamanan oleh militerSejumlah badan keamanan India telah bekerja sama dengan Dinas Rahasia AS untuk menyediakan perlindungan keamanan yang berlapis ITC Maurya hotel bintang lima tempat Trump dan rombongannya akan tinggal telah diubah menjadi sebuah benteng Terletak di Enklave Diplomatik kota yang sangat aman hotel ini tidak akan dapat diakses oleh masyarakat umum dan seluruh kamarnya telah dipesan Tim anti sabotase dari pasukan militer akan berpatroli detasemen anti drone dan penembak jitu juga telah dikerahkan di dalam dan sekitar area hotel Suite Grand Presidential yang merupakan kamar Trump tidak akan dapat diakses oleh sebagian besar staf hotel Area ini akan dilindungi oleh penjagaan dalam yang dipimpin oleh Dinas Rahasia dan satuan khusus Kepolisian Delhi Lapisan keamanan kedua akan dikerahkan di sekitar area lobi parkir dan kolam renang hotel sedangkan lapisan ketiga akan ditempatkan di area di luar kompleks hotel ha rap Reuters AP ita ita dw news india donald trump 
Tumpukan Batu Besar di Tengah Rel Lumajang Baru Pertama Kali Terjadi, Lumajang Petugas PT KAI menemukan tumpukan batu besar di atas rel kereta api di Desa Kalidilem Kecamatan Randuagung Kejadian ini merupakan peristiwa pertama terjadi di jalur kereta api wilayah Daops Jember Wilayah kerja Daops Jember ini mulai dari Pasuruan hingga Banyuwangi Setahu saya tumpukan batu besar yang susunannya memblok seperti itu baru kali ini terjadi ujar manajer humas PT KAI Daops Jember Mahendro Trang Bawono kepada detikcom Minggu Mahendro mengatakan yang sering ditemui pihaknya adalah batu kerikil yang ditaruh berjajar di atas besi baja yang jadi jalur roda kereta api Dan biasanya dilakukan anak kecil yang iseng Sebenarnya tetap bahaya sih tapi tak sebahaya yang kami temukan kemarin sore itu Selain susunannya berbentuk blok hampir mirip dinding juga batu yang ditumpuk merupakan batu yang sangat besar terang Mahendro iwd iwd viral video viral viral tumpukan batu di rel kereta pt kai daop birojatim 
"Viral Tumpukan Batu Besar di Tengah Rel, PT KAI: yang Numpuk Orang Dewasa", Lumajang Tumpukan batu besar ditemukan petugas PT KAI tersusun di atas rel kereta api jalur Lumajang Jember tepatnya di Desa Kalidilem Kecamatan Randuagung Video nya pun viral Kuat dugaan batu tersebut disusun untuk sabotase atau mengganggu perjalanan kereta api Diketahui kemarin sekitar pukul WIB di KM kata manajer humas PT KAI Daops Jember Mahendro Trang Bawono kepada detikcom Minggu iwd iwd viral video viral viral tumpukan batu di rel kereta birojatim pt kai daop 
Viral Tumpukan Batu Besar Diduga Sabotase di Tengah Rel Lumajang, Lumajang Batu besar ditemukan tertumpuk di tengah rel kereta api Videonya viral di medsos Di mana kejadian itu Akun Instagram duniadalamkereta memposting video tersebut Video otu memperlihatkan seoran petugas kereta api berseragam oranye mendatangi tumpukan batu di tengah rel Petugas itu lalu menyingkirkan tumpukan batu tersebut Caption pada video tersebut sebagai berikut iwd iwd viral viral tumpukan batu di rel kereta birojatim pt kai daop video viral 
