title,content
Dua Pencari Pakan Ternak Tewas Tersambar Petir di Sawah Jombang, Jombang Hujan deras disertai petir menelan korban jiwa di Kabupaten Jombang Dua warga Kota Santri tewas tersambar petir saat mencari pakan ternak di sawah Korban pertama sambaran petir pertama yaitu Anang Djuwaheni warga Jalan Bali Kelurahan Jombatan Kecamatan Kabupaten Jombang Korban tersambar petir saat mencari rumput di tanah kavling Kelurahan Jombatan sore tadi sekitar pukul WIB Saat kejadian lokasi sedang diguyur hujan deras disertai petir Saksi Sujarwan mendengar bunyi petir tepat di samping rumahnya seperti menyambar sesuatu Kemudian saksi melihat korban sudah tergeletak di kavling kosong dekat pohon jati dalam keadaan meninggal Pohon jati di samping korban terbelah kena petir kata Kapolsek Jombang AKP Wilono saat dikonfirmasi detikcom Minggu Melihat kejadian ini lanjut Wilono Sujarwan melapor ke Polsek Jombang Polisi melakukan olah TKP dan meminta keterangan saksi Sedangkan petugas medis memeriksa tubuh korban yang sudah tak bernyawa Jenazah kami serahkan ke keluarganya karena pihak keluarga menyadari ini sebagai musibah ujarnya fat fat birojatim tersambar petir tewas tersambar petir 
"Warga Sidoarjo Asyik Cangkrukan Tersambar Petir, 1 Tewas, Empat Luka", Sidoarjo Warga Desa Prasung Kecamatan Buduran Sidoarjo tewas tersambar petir saat nongkrong cangkrukan bersama dengan teman temannya M Rokhim tewas seketika sementara temannya luka Informasi yang dihimpun menyebutkan bahwa kejadian tersebut terjadi sekitar pukul WIB Minggu Kanit Reskrim Polsekta Buduran Ipda Nanang Mulyono membenarkan adanya musibah warga disambar petir Saat itu korban bersama empat temannya yang sedang cangkruan Memang benar ada warga yang meninggal dunia lantaran di sambar petir kata Nanang kepada detikcom saat dihubungi Senin fat fat birojatim tersambar petir tewas tersambar petir 
"Kisah Keliling Dunia Pakai Helikopter Mini, Nyaris Tersambar Petir", Inggris Petualang asal Inggris keliling dunia seorang diri dengan menggunakan pesawat mini gyrocopter Dalam bulan ia menyaksikan ragam keindahan dunia walaupun juga sempat hampir kena sambar petir James Ketchell demikian nama pria tersebut Seperti diberitakan oleh CNN Travel ia baru saja mendarat di Bandara Hampshire Inggris dan mendapat sambutan dari para simpatisan yang menyambutnya dengan gembira Saya hampir tersambar petir dan melakukan pendaratan darurat kata Ketchell mengisahkan salah satu kejadian dalam petualangannya Gambas Video detik krs bnl inggris keliling dunia gyrocopter 
"Gembala dan 19 Kerbau Tewas Seketika, Begini Efek Mematikan Petir", Tapanuli Tengah Petir bisa membunuh makhluk hidup dalam waktu seketika Kasus terbaru seorang gembala kerbau di Bondar Sihudon Desa Uratan Tapanuli Tengah Tapteng Sumatera Utara dan ekor kerbaunya tewas tersambar petir Petir mematikan karena bisa menciptakan suhu panas yang luar biasa Sebagaimana diketahui kejadian yang menimpa Sitor dan kerbaunya itu terjadi pada pukul WIB Senin lalu Peristiwa berawal dari Sitor yang menghidupkan api untuk mengasapi kerbau kerbau di dalam kandang agar tak diganggu nyamuk Tiba tiba petir pun menyambar Kejadiannya bermula saat korban menghidupkan api seperti setiap harinya mengasapi kelompok kerbau di dalam kandang agar tidak diganggu nyamuk Di saat itulah Sitor Habeahan disambar petir kata warga setempat Parulian Simatupang Selasa rdp imk sambaran petir petir tewas tersambar petir tersambar petir tapanuli tengah 
"Jelang Lawan India, Latihan Timnas U-16 Diguyur Hujan Deras", Kuala Lumpur Timnas Indonesia U tak bisa berlatih maksimal menjelang laga dengan India di Piala Asia Guyuran hujan deras menjadi sebabnya Latihan timnas U berlangsung di lapangan B UM Arena Rabu pukul WIB Sejak awal para pemain sudah berlatih di bawah hujan Timnas U pun cuma bisa melakukan latihan ringan Rencana mengasah taktik pun harus batal karena lapangan tergenang piala asia u piala asia u piala afc u timnas indonesia u fakhri husaini 
Menanyakan Rasa Sakit pada Daun dan Batang-Batang Singkong, Jakarta Konon rasa sakit tidak dibawa air hujan Jatuh dari langit Tidak juga ditiupkan angin dari penjuru penjuru yang entah Ia pun bukan sesuatu yang dibawa gemericik air selokan atau air kali yang berkilau kilau itu Rasa sakit seperti tumbuhan parasit Tiba tiba menggeliat di saat yang sama sekali tidak tepat Tumbuh seperti tunas dan serta merta mengandaskan harapan harapan Perempuan itu hingga sekarang masih saja bertanya tanya dari mana datangnya rasa sakit Kadang kadang ia menghibur diri dengan tidak memikirkan hal konyol itu dengan mengelus daun singkong atau batang singkong di ladang yang tidak seberapa luas miliknya Singkong singkong itu ia besarkan dengan segenap kasih sayang miliknya Daun dan batang singkong yang dielusnya tentu tidak bisa menjawab pertanyaan hatinya Kamu tahu dari mana datangnya rasa sakit Daun dan batang itu bergoyang tapi bukan berarti berusaha ingin memberi isyarat atau jawaban akurat Tumbuhan itu hanya menerima tiupan angin sekenanya Tidak ada maksud memberi jawaban apa apa Tetapi perempuan itu tidak keberatan Sama sekali tidak Perempuan itu juga tidak mugkin mendapat jawaban dari anak laki laki satu satunya yang baru mau masuk umur lima pada tengah tahun ini Tiap ibunya mengelus daun dan batang singkong anak itu hanya menirukannya Sama persis Tidak ada kata kata dari mulut kecilnya Tetapi sekali lagi anak seusia dirinya tidak akan memberi jawaban apa apa atas pertanyaan berat ibunya Perempuan itu pun juga tidak berkeberatan Sama sekali tidak Apalagi jika pertanyaan itu ditujukan kepada sebidang tanah yang tidak lebih dari dua kali seratus meter tempat singkong singkong itu tumbuh Apa mungkin tanah itu akan menjawab Dengan cara apa Perempuan itu merasa dirinya makin kelewat batas dalam mencari jawaban atas pertanyaannya sendiri Yang paling tidak mungkin ditanyai adalah suaminya yang sudah lima tahun ini terbaring di tempat tidur Sampai sampai tubuhnya gepeng segepeng kasur kapuk yang ditindihnya Laki laki yang disayanginya itu tidak boleh tahu apa yang ingin ia tanyakan Sama sekali tidak Laki laki itu harus tahu bahwa hidup itu hanyalah kebahagiaan Dan kebahagiaan adalah senyuman yang melimpah limpah Perempuan itu akan dengan senang hati memberi senyuman pada laki lakinya yang mungkin umurnya tinggal separuh jalan itu Walaupun jika mau jujur itu pun separuh dari kepura puraan Apakah ada pura pura yang paling rapi dan rahasia selain dalam cinta dan kasih sayang Jika perempuan itu selalu berusaha mencari jawaban dari mana datangnya rasa sakit tidak demikian dengan bahagia Ia yakin bahagia bisa ia ciptakan sendiri Tidak peduli seberapa besar kepura puraan yang membayanginya tetapi ia yakin bahagia lebih mudah diciptakan Semudah menarik tiap ujung otot bibir dan membuatnya terbuka Dengan menunjukkan barisan barisan gigi di dalamnya Kalau perlu sampai membuat mata menyipit sedikit Setidaknya dengan begitu bahagia lahir dengan mudahnya Namun jika suami dan anaknya terlelap sedih itu datang lagi Ia seperti membentuk gumpalan gumpalan padat di dada Entah di mana tepatnya Tetapi rasanya tiba tiba dada terasa sesak Napas tidak lancar Seperti mendorong angin dan cairan cairan bening menuju rongga mata Dan pada saat yang bersamaan air itu membasahi segalanya Dada pun terguncang hebat Itulah rasa sedih yang amat menyakitkan Perempuan itu pun sempat menyimpulkan bahwa sakit terbuat dan berasal dari sunyi Meskipun ia belum yakin soal itu Sambil berusaha memendam pertanyaan itu dalam dalam juga belum tahu di dalam apa menyimpannya dan sedalam apa harus disimpan perempuan itu tetap menciptakan bentuk bentuk kebahagiaan Tak lain demi kebahagiaan anak dan suaminya Ya tak ada lain selain itu Ia sudah tahu hampir semua jurus menciptakan kebahagiaan Dan selama ini tidak ada satu pun dari jurusnya meleset atau tidak mempan Walau sehebat apapun ia menciptakan kebahagiaan itu tetap saja kedatangan rasa sedih tidak bisa ia hadapi sendiri Terutama ketika ia menyadari kesehatan suaminya tidaklah segera membaik Tiap tahun makin menurun dan memburuk Ditambah lagi kakak laki laki dari suaminya belakangan ini sudah rutin mengunjungi rumahnya Sedikit sekali rasa simpati dari Si Kakak terhadap adiknya yang sekarat begitu pun dengan perempuan itu Tiap kali datang ia hanya berkata Apa adikku masih hidup Mendengar pertanyaan itu sejujurnya perempuan itu sangatlah murka Ingin ia menyiramkan air kencing suaminya dari baskom di bawah kolong tempat tidur ke muka laki laki tanpa perasaan itu Biar sesekali ia merasakan anyir dan asinnya memelihara kebahagiaan Namun perempuan itu tidak melakukannya Pun tidak menjawab dengan kata kata Kadang ia sangat benci kata karena dengan kata kata pula kalimat pertanyaan Si Kakak begitu runcing menujah gendang telinga dan menembus hatinya Perih sekali Jika tidak ada jawab dari perempuan itu Si Kakak langsung berlalu dengan meninggalkan kata kata kasar Ingat jika waktunya tiba kamu tinggallah sampah Perempuan itu tetap diam Tetapi hatinya semakin perih Dadanya tak karuan lagi rasanya Dalam saat itu ia seolah menemukan jawaban dari mana datangnya rasa sakit Mungkinkah rasa itu datang dari kata kata kasar dari mulut seseorang Entahlah dia juga tak yakin itu Tetapi ia benar benar merasakan itu Apakah rasa sakit itu ciptaan orang lain lalu ditujukan untuk orang lainnya lagi Dan berharap orang yang menerima rasa sakit itu mengalami kesakitan yang luar biasa Lalu manusia macam apa itu Mungkin hanya manusia perkasa digdaya yang bisa menciptakan rasa sakit untuk orang lain Atau bisa jadi diri sendiri yang terlalu lemah untuk melawan rasa sakit yang datang dari orang lain itu Ah perempuan itu kian berkecamuk batinnya Alih alih menemukan jawaban ia masih harus tersenyum untuk suaminya sambil mengurusi kotoran kotoran laki laki tak berdaya itu Setelah itu masih dengan keamisan dan keanyiran tangannya ia juga harus menyuapi anak laki lakinya dengan makanan seadanya Barulah ia pun menyuapkan beberapa sendok nasi ke mulutnya sendiri Jika kedua laki laki kesayangan itu sudah terlelap berjalanlah ia ke ladang singkong Di ladang itu ia pun tidak melakukan apa apa Tak ada rumput yang harus dicabuti Di tanah yang teramat tandus itu hanya pohon singkong yang bisa bertahan hidup Lagi lagi ia melakukan hal yang sama mengelus daun dan batang singkong bak anak sendiri Tujuannya juga tidak terlalu jelas karena daun dan batang itu juga tidak menanggapi apa apa Yang jelas dengan mengelus satu per satu perempuan itu bisa tahu apakah daun daun itu sedang dimangsa serangga atau apakah batang batang singkong itu patah tertiup angin kencang Setelah semua dielusnya ia akan terduduk di tanah tandus itu Batinnya mulai bertanya tanya seperti biasa dari mana datangnya rasa sakit Tanah daun dan batang singkong itu tentu saja tidak menyediakan jawaban Daun dan batang singkong itu hanya bergerak searah tiupan angin Dan perempuan itu yakin bahwa mereka tidak sedang menjawab pertanyaan batinnya Kecuali ia sudah gila Tetapi dibandingkan dengan daun dan singkong di ladang sebelah tumbuhan itu memang kelihatan paling subur dan gemuk Batangnya kekar daunnya licin menghijau sempurna Perempuan itu yakin jika daun dan batang singkong itu bisa bicara pastilah keluar kata kata membahagiakan dari mulut mereka Ya pasti Batinnya sangat yakin Setiap dari ladang singkong keyakinan perempuan itu selalu gemuk Penuh harapan harapan Walaupun ketika melihat keadaan suaminya harapan harapan itu pelan pelan rumpil secuil demi secuil Dalam keadaan itu sangat sulit menerbitkan bahagia Ketakutan ketakutan akan kenyataan pada suatu saat nanti suaminya itu tak lagi mengeluarkan air kencing atau tidak lagi memproduksi kotoran Ketakutan yang teramat membayangkan pun sudah memunahkan semangatnya Dan kenyataan itu benar benar terjadi pada suatu pagi yang beku Tak ada air kencing dalam kantong seperti biasanya Tak ada kotoran pula di celana Wajah suaminya itu bersih tanpa aliran darah Putih macam tepung kanji Tak ada bagian hangat dari tubuhnya Tubuh itu kaku dan sedingin pantat kendi Tak sempat lagi ia bertanya dari mana datangnya rasa sakit Kesadarannya sudah punah Ia limbung Sejenak ia merasakan betapa kerasnya lantai pada tubuh dan kepalanya Setelah itu ia lupa apa yang kemudian terjadi Malam setelah pemakaman suaminya Si Kakak datang dengan muka penuh kemenangan Ia bilang Sudah saatnya Perempuan itu benar benar hilang akal bagaimana mungkin seseorang yang baru saja kehilangan adiknya tidak menunjukkan wajah sedih sama sekali Bahkan ketika bau air sabun dan kapur barus bekas pemandian jasad masih membubung bubung tak karuan di udara Apakah laki laki itu memang sumber dari rasa sakit yang ia alami dan cari jawabannya selama ini Entahlah sekali lagi perempuan itu tidak berani memastikannya Si Kakak itu lalu melanjutkan kata katanya Setelah ini kamu harus segera menentukan pilihan Kamu mau ikut aku atau enyah jauh jauh dari sini Perempuan itu tidak menjawab apa apa Sertifikat rumah tanah ladang itu harus kamu persiapkan minimal besok pagi Jangan sampai lewat esok pagi lanjut Si Kakak Perempuan itu masih belum mengeluarkan kata kata Ingat tak boleh secuil pun dari isi rumah ini berkurang atau hilang Bahkan sebuah jarum jahit pun tak boleh Perempuan itu membatin rumah ini tidak ada isinya kecuali satu kompor minyak tua satu ketel nasi dari perunggu satu wajan penuh angus selusin piring dan gelas kekuningan kursi dari bambu dua amben yang sama peyotnya Tak ada isi lainnya Dan ia belum menanggapi Si Kakak itu Kepalanya menunduk menahan gumpalan gumpalan rasa sakit yang memadat di dadanya Dan kamu sebaiknya kamu lebih sering berdandan jika jadi istriku nanti Sambar petir Perempuan itu menengadahkan wajahnya ke laki laki itu dengan spontan Ditatapnya wajah laki laki tua itu lekat lekat Meski saudara kandung laki laki itu memiliki gurat wajah yang berbeda dari suaminya Wajahnya kelihatan lebih rumit dan penuh gurat gurat kasar Dan baru kali ini perempuan itu berani menatap laki laki itu dengan tajam Tidak jawab perempuan itu keras Mungkin sebagian gumpalan gumpalan padat di dadanya berubah menjadi suara lantang yang menendang gendang telinga siapa saja yang mendengarnya Tidak Kamu menolak menjadi istriku Ya Laki laki itu menggaruk selangkangannya berkali kali sambil mondar mandir Perempuan ini berani juga batinnya sambil mengisap rokok linting di jarinya Kamu melanggar adat Kamu istri adikku dan jika adikku mati maka otomatis kamu akan jadi istriku anakmu akan jadi anakku semua harta adikku akan jadi punyaku Bukankah kamu paham soal itu Paham Tetapi tidak paham Maksudmu Saya paham ada aturan adat itu Tetapi tidak paham mengapa aturan itu harus ada Kamu menantang leluhur Tidak Sama sekali tidak Aku tidak menyinggung leluhur Aku hanya ingin menawar saja Apakah adat itu berlaku untuk semuanya Jelas iya Ya jawabanku tetap sama tidak Si Kakak itu kembali menggaruk selangkangannya Mungkin celana dalamnya sudah tidak diganti dalam beberapa hari Atau ia memang punya kebiasaan merogoh dan menggaruk selangkangannya sendiri Kamu tidak akan menang melawan adat Jika perlu besok pagi akan kupanggil kepala adat Kamu akan tahu bagaimana ruginya melawan adat Perempuan itu diam Matanya tertuju pada cara Si Kakak itu menggaruk selangkangannya Mungkin ada panu kadas kurap atau penyakit jamur semacamnya di dalam celana kumal itu Perempuan itu tidak bisa membayangkan apa jadinya dirinya jika harus menjadi istri ketiga dari laki laki yang selangkangannya jamuran itu Tidak Batinnya tetap menolak keras Setelah laki laki jamuran itu pergi perempuan itu meraih anak laki lakinya berlari Larinya hampir tak tentu Sempat berhenti berkali kali di tengah jalan Kakinya sepertinya menginjak batu lancip hingga berdarah Sambil terpincang ia belokkan langkah kakinya ke ladang singkong Anaknya masih bingung tetapi tidak sekali pun meronta Perempuan itu mengelus kepala anak laki lakinya Lalu satu per satu ia elus juga daun dan batang batang singkong yang sebentar lagi mungkin bisa dipanen itu Ia abaikan darah di kakinya yang sudah dibungkus gumpalan tanah tanpa sengaja Setelah semua dielus perempuan itu duduk Anak laki lakinya ikut mengelus daun dan batang singkong menirukan ibunya Dari jauh si ibu membiarkan apa yang dilakukan anak laki laki itu Perempuan itu sadar bahwa esok hari tidak mudah mempertahankan kata tidak di hadapan adat Ia pasti akan tumbang juga Bila hari ini adalah hari terakhirnya mengelus anak laki laki daun dan batang singkong itu ia pun siap Setelah itu ia tidak tahu harus ke mana dan melakukan apa Dan hari ini ia pun tidak akan kecewa bila pertanyaannya dari mana datangnya rasa sakit tidak pernah terjawab oleh daun dan batang singkong itu Mungkin jawabannya tidak dari tumbuhan itu Mungkin datang dari hal hal lain yang ia belum tahu persis itu apa Ketika ia melihat anaknya berlari menuju arahnya buru buru ia seka matanya sampai sekering mungkin Ia harus menerbitkan bahagia untuk anaknya itu Meskipun sulit tersenyum dengan mata merah bibir menebal dan hidung yang disesaki ingus Yogyakarta Joko Gesang Santoso lahir pada Mei di Gunung Kidul Puisi cerpen dan esainya dimuat di beberapa media massa Novel pertamanya Senapan Tak Berpeluru Cerpen cerpennya terhimpun dalam buku Kolak Selain menulis ia mengajar sastra di Program Studi Pendidikan Bahasa dan Sastra Indonesia FKIP Universitas Sarjanawiyata Tamansiswa YogyakartaRedaksi menerima kiriman naskah cerpen tema bebas disesuaikan dengan karakter detikcom sebagai media massa umum yang dibaca semua kalangan Panjang naskah sebaiknya tidak lebih dari karakter karya orisinal dan belum pernah diterbitkan di media lain Kirim ke email mumu detik com mmu mmu cerpen 
Polisi Belum Periksa Sipir Terkait Kaburnya Napi dari LP Pekanbaru, Pekanbaru Polresta Pekanbaru mengendus keanehan kaburnya dua orang napi dari Lapas Pekanbaru Pun demikian pihak kepolisian belum melakukan pemeriksaan terhadap petugas sipir Sejauh ini kita belum melakukan pemeriksaan kepada petugas yang ada di sana Walau kita menilai ada kejanggalan atas kaburnya dua napi tersebut kata Kapolresta Pekanbaru Kombes Susanto kepada detikcom Jumat Santo menyebutkan walau demikian pihaknya tetap berkoordinasi dengan Kanwil Kemenkum HAM Riau Untuk sementara ini pemeriksaan petugas Lapas dilakukan secara internal di Kanwil Menkum HAM Riau kata Santo Sebagaimana diketahui dua Napi yang kabur dengan gampangnya setelah menodongkan pistol kepada petugas Lapas Kedua napi itu adalah Satriandi eks anggota Polri dalam kasus pembunuhan Satu lagi rekan satu selnya Nugroho alias Kecuk kasus pencurian Keduanya diketahui kabur dari Lpas pada November sore hari Sebelum mereka kabur terlebih dahulu menerima tamu dua orang atas nama Resti dan Hasbi Saat dibesuk dua orang tersebut polisi menduga ketika itu pistol diselundupkan ke dalam Lapas Dan anehnya kedatangan kedua pengunjung itu lepas dari pantauan petugas jika mereka membawa senjata api Padahal selama ini standarnya setiap pembesuk yang datang selalu diperiksa barang bawaan dan pemeriksaan badan Keanehan lain saat kedua napi kabur CCTV yang ada dalam kondisi rusak dengan alasan ke sambar petir Satriandi eks polisi ini memang licin seperti belut Dia dipecat jadi anggota polisi karena terlibat kasus narkoba Setelah dipecat bukannya tobat Pria itu malah menjadi bandar narkoba Dia pernah digerebek tim di sebuah hotel berbintang di Pekanbaru Ketika digerebek dia malah nekat lompat dari lantai Dia tidak mati saat melompat dari ketinggian itu Ini karena di kamar hotelnya posisi di belakang di mana di bagian belakang kamar hotel masih ada gedung penyanggah lainnya Sehingga dia tak terjatuh langsung ke tanah melainkan di atap gedung penyanggah Kakinya pun cacat karena melompat dari kamar hotel Walau dia ditangkap dengan barang bukti narkoba Satriandi tetap bisa lolos dari jeratan hukum Di persidangan dia menunjukan surat sakti yaitu surat keterangan gila Akhirnya diapun divonis bebas Kabarnya rekayasa semua itu juga melibatkan oknum oknum di kepolisian sendiri yang turut serta membantu mengurus surat keterangan gila Maklum saja Satriandi bandar narkoba Dia membunuh dan divonis tahun penjara juga karena persaingan narkoba asp asp napi kabur 
Kader Sebut Golkar Tumbang Melawan Dua Pucuk Surat Novanto, Jakarta Kader Golkar yang juga inisiator Generasi Muda Partai Golkar Mirwan Bz Vauly menyesalkan hasil pleno DPP yang belum mencopot Setya Novanto dari kursi Ketua Umum Golkar Mirwan mengatakan Golkar dikalahkan Novanto melalui dua pucuk surat Hasil pleno DPP PG siang kemarin itu menunjukkan Partai Golkar lemah dan kalah di hadapan Setya Novanto Bisa dibayangkan dua pucuk surat Novanto dari tahanan membuat rapat tertinggi di Partai Golkar itu harus berakhir tidak berdaya dan tetap berdiri melawan akumulasi aspirasi publik ujar Mirwan kepada wartawan Rabu Dua surat yang dimaksud Mirwan ialah surat Novanto berisi permintaan tak dicopot dari kursi Ketua DPR dan statusnya sebagai wakil rakyat dipertahankan Surat kedua ditujukan kepada DPP Partai Golkar yang isinya menegaskan Novanto masih sebagai Ketum Golkar Novanto juga menunjuk Idrus Marham sebagai Plt Ketum Golkar Tak hanya itu Novanto juga menunjuk dua Plt sekjen yaitu Yahya Zaini dan Azis Syamsuddin Kedua surat itu bertanggal November Menurut Mirwan dua surat itu bak jurus Novanto untuk menekuk Golkar meski saat ini berada di Rutan KPK Mirwan menganggap akal sehat politik Golkar telah diperdayai Novanto Untuk kesekian kalinya Golkar kalah melawan Setya Novanto dan sekali lagi Partai Golkar sukses diperdayai dengan dalil dalil kepastian hukum Sementara ketajaman mata akal sehat politik itu jauh melampaui dalil dalil hukum kata dia Mirwan menganggap hasil pleno Golkar kemarin seperti musibah yang tragis Dia pun mengaku terkejut atas hasil pleno Golkar Rapat pleno itu kita semua seperti kena sambar petir mendengar hasilnya Menunggu sampai hasil praperadilan sama saja menyediakan muka dipukul terus menerus Sama saja menjadikan badan jadi samsak tinju untuk dipukul lawan ucap Mirwan Hanya untuk memberikan kesempatan kepada Setya Novanto dan kepentingan partai menjadi prioritas kedua pungkasnya Salah satu hasil pleno DPP Golkar memutuskan Sekjen Golkar Idrus Marham sebagai Plt ketum Berikut ini poin poin hasil rapat pleno Golkar seperti disampaikan Wasekjen Golkar Ace Hasan Mempertimbangkan suasana batin Setya Novanto suasana batin kader suasana batin konstituen Menyetujui Idrus Marham menjadi Plt Ketum sampai praperadilan Kalau Setya Novanto menang praperadilan maka Plt berakhir Kalau Setya Novanto kalah meminta Setya Novanto mengundurkan diri sebagai ketum Kalau Setya Novanto tidak mengundurkan diri pleno memutuskan munaslub Keputusan strategis harus melibatkan ketua harian sekjen bendahara dan ketua korbid Keputusan soal posisi Setya Novanto sebagai Ketua DPR menunggu praperadilan gbr fdn golkar ketum golkar setya novanto 
Nelayan Situbondo ini Nyaris Tewas Tersambar Petir saat Melaut, Situbondo Seorang nelayan hampir saja menjadi korban sambaran petir Sunjoto nelayan asal Desa Tanjung Kamal Kecamatan Mangaran nyaris terkena sambaran petir saat sedang memancing ikan di tengah laut Beruntung petir yang menyambar hanya mengenai tiang layar perahu yang ditumpangi Sunjoto Akibatnya tiang bambu itu langsung patah Sunjoto yang berada tak jauh dari tiang layar pun ikut terlempar hingga sempat tak sadarkan diri di dalam papan tempat duduknya Korban selamat hanya tiang perahunya yang patah kena sambar petir Korban terlempar dan sempat tak sadarkan diri di bawah papan tempat duduk Dia sangat bersyukur bisa selamat kata staf Trantib Kecamatan Mangaran Hendra kepada detikcom Selasa Dari informasi yang diterima detikcom insiden perahu terkena sambaran petir di laut Kecamatan Mangaran itu terjadi siang tadi Saat itu Sunjoto pergi memancing ke tengah laut dengan jarak sekitar mil dari bibir pantai Tanjung Kamal Menggunakan perahu jenis kateran Sunjoto menjalankan aktivitasnya seorang diri Sunjoto masih selamat meski nyaris tersambar petir Foto Ghazali Dasuqi Saat asyik memancing itulah kondisi cuaca di tengah laut mendadak turun hujan deras Bahkan petir menggelegar juga ikut mengiringi turunnya hujan Tiba tiba sambaran petir itu mengenai perahu kateran yang ditumpangi Sunjoto hingga kayu layarnya patah Sunjoto yang terpental ke bawah papan tempat duduk dalam perahu sempat tak sadarkan diri Tapi tak lama korban kembali siuman Untung tak jauh dari tempat korban ada nelayan lain hingga korban langsung dievakuasi ke tepi pantai papar Hendra Koordinator Pusdalops BPBD Situbondo Puriyono mengatakan tidak ada korban jiwa dalam insiden tersebut Hanya kayu pada layar perahu korban mengalami patah akibat terkena sambaran petir iwd iwd tersambar petir nelayan situbondo 
"Saksi Mata: Saat Badai, Petir Sambar Crane Sebelum Jatuh", Makkah jemaah haji tewas dan lainnya terluka akibat jatuhnya crane di Masjidil Haram Jatuhnya crane karena disambar petir saat badai terjadi Dikutip dari arabnews Sabtu Sheikh Abdul Raheem yang berada di Makkah pada saat kejadian mengatakan ia dan rekan rekannya baru saja selesai salat Ashar mereka ketika insiden itu terjadi Ada badai pasir besar diikuti oleh guntur petir dan hujan kemudian berat Kami masuk ke dalam Masjidil Haram baru dan tiba tiba petir menyambar salah satu crane Itu jatuh dengan semua baja dan memukul salah satu pilar dari Masjidil Haram baru dan jatuh ke mataf kata dia Malam itu memang angin bertiup kencang dan hujan turun sangat lebat Crane yang sedang dioperasikan oleh pekerja langsung tersambar petir sebelum jatuh Sementara itu Gubernur Makkah Pangeran Khaled Al Faisal memerintahkan penyelidikan langsung terkait peristiwa itu Dia juga mendesak pemerintah untuk memberikan pengobatan terbaik untuk korban luka Korban tewas tercatat orang Sementara korban luka orang ega yds 
