title,content
"Pernyataan Lengkap Pemerintah 22.271 Positif Corona, Pekerjaan Masih Berat", Jakarta Pemerintah pusat memperbaharui data kasus Corona COVID di provinsi Indonesia Pada hari ini ada tambahan orang positif Corona sehingga total kasus Selain itu ada tambahan sembuh sehingga total sembuh dari Corona Hari ini konfirmasi positif COVID sebanyak orang sehingga totalnya menjadi orang Kasus sembuh orang pada hari ini sehingga totalnya menjadi orang kemudian kasus meninggal orang sehingga totalnya menjadi orang kata Juru Bicara Percepatan Penanganan COVID Achmad Yurianto dalam jumpa pers yang disiarkan langsung di akun YouTube BNPB Sabtu Oleh karena itu pekerjaan kita masih cukup berat karena kami masih melakukan pemantauan di seluruh wilayah Tanah Air ini kepada orang orang yang perlu kita pantau sebanyak orang sementara pasien dalam pengawasan yang masih tetap kita awasi orang ucapnya Dalam kesempatan itu Yuri pun menyebut data itu sebagai gambaran saat ini bukan saatnya saling menyalahkan Dia juga meminta masyarakat tidak berperilaku seperti tidak terjadi apa apa saat ini di Indonesia Oleh karena itu Saudara sekalian tidak ada ruang bagi kita untuk mengeluh untuk saling menyalahkan untuk kemudian tidak berperan serta secara konstruktif di dalam penanganan pandemi COVID ini Kita masih lalui tahapan tahapan yang cukup berat Situasi yang kita hadapi saat ini masih belum normal karena itu kita pun juga tidak boleh berpikir dan berperilaku seperti keadaan sebelum adanya pandemi COVID ini ujar Yuri Selanjutnya Halaman corona virus corona covid pemerintah 
"Sri Mulyani Naikkan BLT Desa, Pasar Ramai Jelang Lebaran", Jakarta Berita terpopuler detikFinance Sabtu tentang BLT desa yang dinaikkan menjadi Rp juta per keluarga Selain itu ada juga skenario untuk PNS bekerja di tengah kondisi new normal Berita terpopuler lainnya adalah pengusaha yang mendukung langkah Menteri BUMN Erick Thohir dalam memprioritaskan UKM untuk proyek di bawah Rp miliar Ada juga pasar yang ramai jelang Lebaran Nah kemudian pemerintah membatalkan cuti bersama tersebut Pengin tahu informasi selengkapnya Baca berita terpopuler detikFinance berikut ini Selanjutnya Halaman blt desa pns new normal erick thohir 
Ingar Bingar di Pasar Meski Ada Pembatasan Sosial Berskala Besar, Jakarta Lautan manusia mewarnai wajah pasar tradisional di Jakarta saat H Lebaran Warga yang menyemut di pasar saat masa Pembatasan Sosial Skala Besar PSBB menjadi sorotan Warga berbondong bondong pergi ke pasar untuk berbelanja kebutuhan bahan pokok hingga membeli baju Lebaran Ramainya warga membuat lalu lintas di sekitar area pasar menjadi macet Kondisi ini disesalkan terlebih terjadi saat penerapan PSBB di Ibu Kota masih berlaku Petugas Satpol PP terus berupaya melakukan penertiban pengunjung pasar Berikut kisah hiruk pikuk lautan manusia di pasar Jakarta jelang Lebaran saat PSBB Pasar Tanah AbangPada H Lebaran Idul Fitri H Pasar Tanah Abang masih ramai dikunjungi meski ada PSBB Satpol PP bergerak cepat mengurai keramaian Sudah dijaga di sana ada penjagaan anggota saya kurang lebih orang di sana ujar Kasatpol PP DKI Arifin saat dihubungi Jumat sekitar pukul WIB Selanjutnya Halaman psbb round up corona covid dilarang berkerumun kerumunan massa pasar lebaran 
Satpol PP Urai Keramaian di Tanah Abang H-2 Lebaran, Jakarta Pada H Lebaran Idul Fitri H Pasar Tanah Abang masih ramai dikunjungi meski ada PSBB Satpol PP bergerak cepat mengurai keramaian Sudah dijaga di sana ada penjagaan anggota saya kurang lebih orang di sana ujar Kasatpol PP DKI Arifin saat dihubungi Jumat sekitar pukul WIB dwia tor psbb satpol pp dki tanah abang corona 
"Ramainya Pasar saat PSBB Tak Terelakkan, Panduan 'New Normal' Digalakkan", Jakarta Ramainya pasar saat pelaksanaan pembatasan sosial berskala besar PSBB terutama di hari hari menjelang Hari Raya Idul Fitri semakin tak terelakkan Kini Gugus Tugas Percepatan Penanganan COVID bersiap menerjunkan sejumlah relawan untuk memberikan edukasi terkait new normal di tengah pandemi Corona Pernyataan itu disampaikan oleh Koordinator Relawan Gugus Tugas Percepatan Penanganan COVID Andre Rahadian melalui siaran langsung di YouTube BNPB Rabu Andre menyebut saat inu sudah ada ribu lebih relawan yang terbung dalam penanganan COVID Kita semua mengumpulkan data dan menyiapkan protokol bagaimana kita mulai membuka pasar Hari ini relawan bergerak di pasar untuk memberikan edukasi kepada teman teman di pasar kepada masyarakat yang belanja maupun menjual kata Andre Selanjutnya Halaman corona virus corona new normal gugus tugas psbb covid round up 
Kemenparekraf Bagikan 10 Ribu Masker Kain ke PPSU Jakarta, Jakarta Kementerian Pariwisata dan Ekonomi Kreatif Badan Pariwisata dan Ekonomi Kreatif Kemenparekraf Baparekraf bersama PT Delamibrands Kharisma Busana membagikan ribu masker kain Masker tersebut dibagikan kepada Pekerja Penanganan Sarana dan Prasarana Umum PPSU DKI Jakarta yang terpaksa harus bekerja di luar rumah di tengah pandemi COVID Plt Deputi Bidang Ekonomi Digital dan Produk Kreatif Kemenparekraf Baparekraf Josua Simanjuntak menjelaskan pihaknya dalam hal ini sebagai fasilitator bagi para stakeholder pariwisata dan ekonomi kreatif yang ingin menyalurkan bantuan kepada para pekerja harian Utamanya mereka yang bergerak di sektor parekraf yang terdampak COVID ega ega kemenparekraf kemenpar covid 
Ramainya Pasar Jelang Idul Fitri yang Jadi Sorotan Khusus Jokowi, Jakarta Kerumunan di pasar tradisional di sejumlah daerah menjelang Hari Raya Idul Fitri menjadi sorotan khusus Presiden Joko Widodo Jokowi Dia kembali mengingatkan mengenai protokol kesehatan Arahan Jokowi terkait hal tersebut disampaikan dalam rapat terbatas persiapan Idul Fitri H yang disiarkan saluran YouTube Setpres Selasa Jokowi meminta masyarakat untuk tetap menjaga jarak Saya melihat pasar pasar tradisional saat ini mulai ramai karena banyak masyarakat yang belanja dalam rangka persiapan hari raya Saya ingin ini dipastikan ada pengaturan jarak yang baik pakai masker petugas di lapangan betul betul bertugas untuk mengingatkan mengenai protokol kesehatan secara terus menerus ujar Jokowi Selanjutnya Halaman jokowi corona pandemi corona pasar round up 
Wejangan Jokowi Soroti Lautan Manusia di Pasar Tradisional Saat PSBB, Jakarta Menjelang Idul Fitri kerumunan warga yang menyemut di sejumlah pasar tradisional menyedot perhatian Presiden Joko Widodo Jokowi Jokowi mengingatkan penerapan protokol kesehatan di tengah pandemi virus Corona COVID Jokowi meminta petugas mengingatkan warga menjalankan protokol kesehatan pencegahan virus Corona Saya melihat pasar pasar tradisional saat ini mulai ramai karena banyak masyarakat yang belanja dalam rangka persiapan hari raya Saya ingin ini dipastikan ada pengaturan jarak yang baik pakai masker petugas di lapangan betul betul bertugas untuk mengingatkan mengenai protokol kesehatan secara terus menerus ujar Jokowi dalam rapat terbatas persiapan Idul Fitri H yang disiarkan saluran YouTube Setpres Selasa Selanjutnya Halaman round up presiden jokowi jokowi pasar psbb 
Skenario Menyedihkan Ekonomi RI Kena Hantam Corona, Jakarta Pertumbuhan ekonomi masuk masa masa menyedihkan lantaran terus terusan dihantam Corona Virus yang belum ada vaksinya ini berdampak besar terhadap perputaran bisnis di tanah air sehingga mempengaruhi tingkat pengangguran terbuka TPT dan angka kemiskinan nasional Hal itu menyusul realisasi pertumbuhan ekonomi nasional di kuartal I yang melambat ke Kepala Badan Kebijakan Fiskal BKF Kementerian Keuangan Febrio Kacaribu mengatakan pemerintah masih memegang skenario pertumbuhan ekonomi di kisaran minus sampai hingga akhir Kita lihat pertumbuhan ekonomi kita lihat antara ini yang akan kita lakukan Dampak pada kemiskinan dan pengangguran ini skenario yang tidak menyenangkan sama sekali ini skenario yang sedih kata Febrio dalam paparannya saat video conference Jakarta Rabu Febrio menjelaskan dampak Pandemi Corona terhadap ekonomi Indonesia akan berlanjut di kuartal berikutnya yang pasti pemerintah hanya bisa menekan dampak tersebut agar tidak meluas lebih jauh lagi Harapannya ekonomi tertekan pasti tapi bagaimana tekanan itu diredam semaksimal mungkin kalau bisa meredam kita berusaha supaya tingkat pengangguran tidak melonjak tajam kemiskinan juga jelasnya Menteri Perencanaan Pembangunan Nasional PPN Kepala Bappenas Suharso Monoarfa menyebut pertumbuhan ekonomi nasional sepanjang tahun bisa di bawah Selanjutnya Halaman Simak Video Manufaktur Babak Belur Jokowi Minta Stimulus Ekonomi Tetap Sassaran Gambas Video detik ekonomi pertumbuhan ekonomi ekonomi indonesia corona virus corona 
"Selama Lockdown, Masyarakat Adat Rentan Kehilangan Tanah", Jakarta Lebih dari juta orang di dunia telah dilaporkan terinfeksi oleh virus COVID dan sekitar orang terenggut nyawanya akibat pandemi tersebut sampai saat ini Di seluruh dunia banyak petani tidak mampu lagi merawat ladang mereka dan beberapa kelompok masyarakat adat dijauhkan dari hutan karena pembatasan pergerakan atau lockdown Situasi ini memudahkan para penebang liar dan perusahaan perusahaan nakal untuk merambah tanah mereka demikian disampaikan para analis Pandemi telah membuka peluang untuk kegiatan semacam itu seperti penebangan liar dan perampasan tanah di seluruh Asia Pasifik karena kurangnya pengawasan dan akuntabilitas ujar David Ganz direktur eksekutif kelompok advokasi Center for People and Forests Banyak konflik yang timbul karena masalah warisan hak tenurial yang lemah dan tata kelola hutan yang buruk kini makin diperburuk oleh situasi pandemi saat ini Tapi juga ada perusahaan perusahaan yang bergerak maju dalam operasi kontroversial katanya kepada Reuters hari Jumat Sengketa lahan berbayar nyawaDi Indonesia dua petani tewas pada bulan Maret dalam bentrokan sengketa tanah yang sudah sekian lama terjadi dengan perusahaan kelapa sawit di Sumatera Selatan demikian menurut organisasi lingkungan hidup Walhi Di Filipina lima petani tewas di Sorsogon selatan Manila awal bulan ini gara gara sengketa wilayah demikian menurut kelompok hak asasi manusia Karapatan Pihak berwenang Filipina menuding orang orang itu adalah pemberontak bersenjata Tahun Filipina tercatat sebagai negara paling berbahaya di dunia untuk para aktivis hak tanah demikian menurut kelompok hak asasi manusia Global Witness yang bermarkas di Inggris Aktivis hak tanah di seluruh dunia kini berisiko tinggi dengan akses mereka untuk mendapatkan keadilan juga terhalang karena lockdown ujar Michel Forst mantan pelapor khusus PBB untuk pembela hak asasi manusia Para pembela hak tanah masyarakat adat dan lingkungan tak bisa bergerak tandasnya dalam sebuah pernyataan Jika hidup mereka sudah berisiko di masa sebelumnya pandemi saat ini hanya memperburuk situasi yang sudah sulit Di India pihak berwenang telah melonggarkan aturan proyek pertambangan dan industri Dengan diberlakukannya lockdown maka mustahil bagi warga bahkan untuk menolak ancaman perampasan terhadap tanah mereka kata Tushar Dash seorang juru kampanye hak atas hutan di India Keberpihakan pemerintahDi tempat lain saat polisi dan pasukan keamanan terlibat dalam upaya menertibkan pembatasan atau lockdown kasus kasus penebangan liar telah dilaporkan di Nepal Myanmar dan Kamboja ujar David Ganz Menurutnya pemerintah dapat meningkatkan pemantauan lahan dan hutan lewat teknologi monitor jauh sekarang ini Ada alat yang menggunakan data geospasial untuk memetakan komunitas dan daerah yang berisiko konflik karena corona Sistem pemantauan data terpisah yang dipimpin oleh Internasional Land Coalition ILC merupakan upaya crowd sourcing untuk menangani kasus konflik pertanahan yang dilakukan oleh banyak orang terkait dengan pandemi corona Puluhan kasus seperti itu sedang diperiksa saat ini demikian menurut ILC Lebih penting lagi pemerintah perlu mengakui hak hak kepemilikan komunitas lokal dan masyarakat adat dan menciptakan saluran bagi masyarakat untuk melaporkan keluhan pungkas Ganz rzn hp Reuters ita ita dw news virus corona lockdown 
