title,content
"Tawuran Dekat Polres Jaktim di Malam Takbiran, Sejumlah Orang Diamankan", Jakarta Polisi mengamankan sejumlah orang yang terlibat tawuran di dekat Mapolres Metro Jakarta Timur Jaktim tepatnya di depan Pasar Ikan Jatinegara Mereka saling melempar petasan dan batu Bukan di depan polres tapi di depan Pasar Jatinegara Massa lempar lemparan batu kata Kapolres Metro Jakarta Timur Kombes Arie Ardian Rishadi saat dihubungi Minggu Arie mengatakan berlangsung sekitar menit Tawuran berakhir saat polisi tiba di lokasi Selanjutnya Halaman polres jakarta timur tawuran malam takbiran lebaran ramadhan 
"Konvoi Bawa Sajam-Miras di Malam Takbiran, 12 ABG di Depok Ditangkap", Depok Polres Metro Depok mengamankan ABG saat konvoi malam takbiran di wilayah Depok Ketika diperiksa para ABG tersebut terbukti membawa senjata tajam hingga minuman keras Iya betul diamankan anak muda kata Paur Humas Polrestro Depok Iptu Made Budi saat dikonfirmasi Minggu Made menyebut sebanyak ABG tersebut diberhentikan pihak kepolisian saat sedang berkonvoi malam takbiran di sekitar wilayah Depok Sabtu sekitar pukul WIB Awalnya sebut Made para ABG itu mengaku hanya hendak muter muter Kota Depok Mereka ngakunya ikut takbiran muter muter ketika diperiksa ada yang bawa sajam petasan dan minuman keras katanya Made menyebut para ABG yang diamankan tersebut tidak mengaku ketika ditanya apakah hendak melakukan tawuran Karena itu saat ini seluruhnya dibawa ke kantor polisi Mereka pada bandel nggak ngaku ditanya alasan bawa sajam makanya dibawa ke Polsek semua ucapnya Saat ini para pemuda tersebut sudah diamankan di Polsek Cimanggis Pihak kepolisian saat ini masih memintai keterangan para ABG tersebut Tonton juga video Bubarkan Tawuran Polisi di Makassar Diserang Petasan Dipanah maa aud depok senjata tajam takbiran jawa barat polres metro depok 
"Bentrok Massa di Makassar Usai Sahur, Seorang Warga Kena Tebasan Parang", Makassar Dua kelompok massa di Kota Makassar Sulawasi Selatan terlibat keributan usai sahur Seorang warga terkena tebasan parang akibat keributan itu Keributan tersebut terjadi di Jalan Maccini Pasar Malam pada Sabtu sekitar pukul WITA Kelompok massa yang bentrok yakni warga Maccini Pasar Malam melawan warga Maccini Parang Memang ada keributan mendapati informasi masyarakat anggota SPKT regu tiga mendatangi lokasi dan sementara terjadi keributan Kami melerai hingga akhirnya aman ujar Kepala SPKT regu Polsek Makasssar Aiptu Andi Fahruddin saat dikonfirmasi pada Sabtu isa isa makassar biromakassar bentrok tawuran 
Polisi: Bentrok Ormas di Bekasi Terjadi Gara-gara Pos PP Diduduki, Jakarta Bentrokan terjadi antara organisasi kemasyarakatan ormas Pemuda Pancasila dan Persaudaraan Setia Hati Terate PSHT di Bekasi Bentrokan diduga terjadi karena pos ormas PP diduduki Bentrok keduanya gara gara posnya PP itu diduduki oleh ormas itu PSHT kata Erna ketika dihubungi Jumat Ternyata setiap malam anggota PP yang di pos selalu pesan kopi lebih dari gelas tapi tidak mau membayar Karena situasi lagi sepi dampak Corona ini saudara Toto minta uang kopi dan terjadi adu mulut sehingga saudara Iwan marah dan menendang saudara Toto Kemudian saudara Toto membanting saudara Iwan yang mengakibatkan kepalanya luka katanya Selanjutnya sekitar orang PP mengeroyok saudara Toto Pada saat pengeroyokan tersebut PP mengeluarkan kalimat menantang organisasi silat Setia Hati Terate jelasnya Selanjutnya Halaman bentrok ormas pemuda pancasila bentrok polres bekasi bekasi tawuran 
"Bentrok Ormas di Bekasi Terjadi 2 kali, Diduga Berlanjut Karena Ada Provokator", Jakarta Dua organisasi masyarakat ormas di Bekasi bersitegang Bentrok terjadi kali diduga karena provokator Kasubag Humas Polres Metro Bekasi Kota Kompol Erna Ruswing menjelaskan bentrok ormas Pemuda Pancasila dan Persaudaraan Setia Hati Terate PSHT terjadi di sekitar Jalan Ngurah Rai Bintara Bekasi Barat Kota Bekasi Kamis kemarin Awal kejadian diduga dipicu tagihan pembayaran uang kopi hingga menyebabkan penganiayaan ke salah satu anggota PSHT Bentrok keduanya gara gara posnya PP itu diduduki oleh ormas itu Persaudaraan Setia Hati Terate PSHT Nah ormas PP nya nggak terima karena kan mungkin sudah emosi dari awal kemarin bentrok di warung kopi kata Erna Ruswing ketika dihubungi Jumat Tapi karena emosi yang tersulut dari siang pada saat tagihan kopi itu yang ribut di warung yauda bertambah lagi bentrok Jadi diduga bentrok susulan karena ada provokasinya lanjutnya Selanjutnya Halaman bentrok bentrokan bekasi polres bekasi tawuran 
Duduk Perkara Bentrokan Mencekam 2 Ormas di Bekasi Dipicu Tagihan Uang Kopi, Jakarta Organisasi Masyarakat Ormas Pemuda Pancasila dan Persaudaraan Setia Hati Terate PSHT terlibat bentrokan di kawasan Jalan Ngurah Rai Bintara Bekasi Barat Polisi turun tangan memediasi Polisi kemudian meminta keterangan kedua pimpinan Ormas tersebut Polisi mengumpulkan sejumlah fakta Polisi menyebut bentrokan diduga dipicu tagihan pembayaran uang kopi Akibat bentrokan dua orang luka dan motor dibakar Selanjutnya Halaman round up bentrok tawuran bekasi polres metro bekasi kota bentrokan 
Polisi Ungkap Penyebab Bentrok Massa Dua Ormas di Bintara Bekasi, Jakarta Polisi mengungkap penyebab terjadinya tawuran antara dua massa ormas di Bintara Bekasi Barat Polisi menyebut bentrok itu dipicu karena salah satu ormas tidak terima rekannya dikeroyok Kasubag Humas Polres Metro Bekasi Kota Kompol Erna Ruswing mengungkap bentrok terjadi akibat adanya pengeroyokan di warung salah satu anggota ormas pada Kamis dini hari Peristiwa itu terjadi di warung kopi yang berlokasi di Bintara Bekasi Barat Pada hari Kamis tanggal Mei pukul WIB telah terjadi Pengeroyokan Saudara Totok pemilik warung yang dilakukan oleh Saudara Iwan cs Pemuda Pancasila kata Erna dalam keterangannya Kamis Selanjutnya Halaman bentrok tawuran ormas bekasi polres bekasi 
"Bentrok Massa 2 Ormas di Bintara Bekasi, 2 Orang Luka dan 4 Motor Terbakar", Jakarta Tawuran terjadi antara dua kelompok organisasi masyarakat ormas di kawasan Jalan Ngurah Rai Bintara Bekasi Barat malam ini Akibat tawuran itu orang mengalami luka dan unit sepeda motor terbakar pada bentrok tersebut Kasubag Humas Polres Metro Bekasi Kota Kompol Erna Ruswing menjelaskan bentrokan antara kedua kelompok ormas itu diawali karena adanya pengeroyokan di warung kopi yang dilakukan oleh salah satu kelompok ormas pada Kamis pukul WIB Menurutnya kelompok ormas itu tak terima karena ditagih uang untuk membayar kopi Saudara Toto buka warung kopi di Bintara Bekasi dekat posnya Pemuda Pancasila Ternyata setiap malam anggota Pemuda Pacasila yang di pos selalu pesan kopi lebih dari gelas tapi tidak mau membayar Karena situasi lagi sepi dampak Corona ini saudara Toto minta uang kopi dan terjadi adu mulut sehingga saudara Iwan marah dan menendang saudara Toto Kemudian saudara Toto membanting saudara Iwan yang mengakibatkan kepalanya luka ujar Erma dalam keterangannya Kamis Selanjutnya Halaman tawuran ormas bekasi jawa barat polres bekasi kota 
"Tawuran Terjadi di Bintara Bekasi Jelang Buka Puasa, Polisi Amankan Pelaku", Jakarta Tawuran antara dua kelompok Pemuda Pancasila dan Persaudaraan Setia Hati Terate PSHT terjadi di kawasan Jalan Ngurah Rai Bintara Bekasi Barat Saat ini pihak kedua belah kelompok telah dibawa ke Polsek Bekasi Kota untuk dimintai keterangan Ini lagi klarifikasi Tadi di lokasi mereka sudah selesai tapi yang di bawahnya kan belum Pada ngumpul ngumpulin massa Nah jadi ini pimpinan pimpinannya ada di Polsek ini lagi diklarifikasi kata Pejabat Sementara PS Kasi Humas Polsek Bekasi Kota Aiptu Jajat Sudrajat ketika dihubungi Kamis Pemicunya biasalah namanya tongkrongan tempat tempat tongkrongan Ini lagi diklarifikasi ujar Jajat Kedua belah pihak telah diamankan jajaran Polsek Bekasi Kota Proses pemeriksaan masih berlanjut Sudah sudah diamankan kata Jajat lir lir bekasi tawuran polsek debat tongkrongan jawa barat 
"Lokalisasi Gang Royal Beroperasi Saat PSBB, 56 Orang Diamankan", Jakarta Polres Metro Jakarta Utara menindak sejumlah kafe remang remang di lokalisasi Gang Royal Penjaringan yang beroperasi di masa pembatasan sosial berskala besar PSBB Sebanyak orang diamankan dari lokalisasi tersebut Sebanyak orang dibawa ke Polres Metro Jakarta Utara ujar Kapolres Jakarta Utara Kombes Budhi Herdi Susianto dalam keterangannya Rabu Mereka diringkus di kafe di Jalan Rawa Bebek Gang Royal Penjaringan Jakarta Utara pada Rabu dini hari Ke orang tersebut terdiri dari pengunjung kafe orang orang pekerja seks komersial PSK pekerja kafe orang dan tukang parkir liar orang Polisi menindak kafe tersebut setelah menerima laporan warga tentang dugaan terjadinya pelanggaran PSBB di lokalisasi Gang Royal Setelah diselidiki petugas menemukan kafe remang remang yang beroperasi dan mengabaikan Peraturan Gubernur DKI Jakarta Nomor tentang PSBB isa mei gang royal prostitusi psk psbb polres metro jakarta utara 
