title,content
Gayus Tambunan dan Abu Bakar Ba'asyir Dapat Remisi Lebaran 2020, Jakarta Sebanyak warga binaan Lapas Gunung Sindur Kabupaten Bogor mendapat remisi khusus Lebaran tahun ini Dua dari penerima remisi itu adalah Gayus Tambunan dan Abu Bakar Ba asyir WBP warga binaan pemasyarakatan atas nama Gayus Tambunan mendapat remisi khusus bulan kata Kalapas Gunung Sindur Mulyadi dalam keterangannya Minggu WBP atas nama Abu Bakar Ba asyir mendapat remisi khusus bulan hari lanjutnya elz elz remisi khusus remisi lebaran gayus tambunan abu bakar ba asyir lebaran ramadhan hikmah 
Kebebasan Habib Bahar Malah Berujung di Nusakambangan, Jakarta Habib Bahar bin Smith sempat bebas karena program asimilasi Namun kebebasan itu kini berujung di Nusakambangan Bahar bebas dari penjara pada Sabtu sore Dia bebas karena mendapatkan program asimilasi sesuai Permenkum HAM nomor tahun Habib Bahar Dipindahkan ke Nusakambangan Selanjutnya Halaman round up habib bahar nusakambangan habib bahar bin smith gunung sindur 
"Habib Bahar Huni Nusakambangan, Pengacara: Ahok Dipindahin Nggak?", Bandung Habib Bahar bin Smith dipindahkan ke Lapas Nusakambangan Pengacara pihak Bahar membandingkan dengan penahanan Basuki Tjahaja Purnama alias Ahok Apa alasannya dipindah ke sana Kalau alasannya itu karena keamanan Ahok waktu itu dipindahin nggak ke Nusakambangan Tapi ke Mako Brimob yang enak malah ucap Azis Yanuar salah satu kuasa hukum Bahar saat dihubungi Rabu Terus memindahkan dari Gunung Sindur ke LP Batu di Nusakambangan itu dengan LP yang super maksimum security itu tanpa pemberitahuan ke keluarga dan kuasa hukum Ini penculikan atau apa ujarnya Pemindahan Bahar sendiri diketahui karena adanya aksi massa simpatisan di Lapas Gunung Sindur Bogor Menurut Azis kedatangan massa lantaran sulitnya akses keluarga dan pengacara menemui Bahar kemarin Sebenarnya kemarin sudah kita kemukakan ini mengada ada Membuat sesuatu tapi memancing pihak pihak dari habib Bahar Massa itu sebenarnya tuntutannya sederhana pertemukan habib Bahar dengan kuasa hukumnya dan keluarganya ucap Azis dir bbn habib bahar habib bahar bin smith lapas nusakambangan nusakambangan ahok 
Pengacara Curigai Kepentingan Politik di Balik Pemindahan Habib Bahar, Bandung Habib Bahar bin Smith dipindahkan ke Lapas Nusakambangan Pengacara menyebut perlakuan Kementerian Hukum dan HAM Kemenkum HAM berlebihan dan mengarah ke politik Treatment terhadap habib Bahar bin Smith sangat berlebihan dan subjektif Bahkan sudah menjurus ke arah memanfaatkan untuk kepentingan politik dan menjadi alat untuk mengalihkan isu ucap Azis Yanuar salah satu kuasa hukum Bahar kepada detikcom Rabu Jika alasannya massa pendukungnya kemarin melakukan aksi di depan Lapas Gunung Sindur dipahami dan didengar sebenarnya sederhana kok Mereka hanya ingin habib Bahar mendapat perlakuan baik yang dibuktikan dengan dapat dilihat sejenak oleh keluarga dan pengacara sederhana tuturnya Butuh hanya dua menit pagi kemarin Saya jamin tidak akan ada massa aksi apalagi itu kan hak seseorang untuk didampingi kuasa hukum dan mendapat perlakuan baik meski selama di tahanan Azis menambahkan dir bbn habib bahar habib bahar bin smith lapas nusakambangan lapas gunung sindur 
Pengacara Bahas Teroris-Gembong Narkoba di Area Sel Habib Bahar, Bandung Pengacara Habib Bahar bin Smith protes soal pemindahan Bahar ke Lapas Nusakambangan Apalagi Bahar kini ditempatkan di sel superketat Kita juga protes keras dan mempertanyakan kenapa klien kami dibawa ke Lapas Batu Nusakambangan tempat para terpidana mati gembong narkoba kelas kakap dan teroris kelas berat Apa klien kami masuk kriteria itu Apa kesalahan sebesar itu Hingga masuk LP super maximum security ucap Azis Yanuar salah satu kuasa hukum Bahar kepada detikcom Rabu Sangat konyol arogan dan menunjukkan mental tiran dan mental sultan antikritik Bukan sebaliknya mental melayani dan pengayoman sebagaimana slogannya dan buruk bagi perkembangan demokrasi di Indonesia Pengayom hanya pemanis dan slogan belaka tutur Azis menambahkan dir bbn habib bahar habib bahar bin smith lapas nusakambangan 
Alasan Ditjen Pindah Habib Bahar ke Nusakambangan: Massa Rusak Pagar LP, Jakarta Ditjen Pemasyarakatan Kemenkumham memindah penganiaya anak Habib Bahar bin Smith ke Pulau Nusakambangan Cilacap Jawa Tengah Sebab massa simpatisan Bahar membuat keributan di LP Gunung Sindur Simpatisan yang memaksa ingin mengunjungi Habib Bahar berkerumun berteriak teriak dan melakukan tindakan provokatif yang menyebabkan perusakan fasilitas negara berupa pagar lembaga pemasyarakatan kata Kepala Bagian Humas dan Protokol Direktorat Jenderal Pemasyarakatan Rika Aprianti kepada wartawan Rabu Massa simpatisan dalam jumlah besar yang berkeruman sangat rentan terjadinya penyebaran COVID dan telah melanggar protokol Kesehatan Penanganan COVID ujar Rika Selanjutnya Halaman habib bahar bin smith bahar bin smith nusakambangan ditjen pemasyarakatan asimilasi narapidana penganiayaan anak 
"Dipindah ke Nusakambangan, Habib Bahar Huni LP Batu yang Superketat", Jakarta Terpidana kasus penganiayaan anak Bahar bin Smith dipindah ke Pulau Nusakambangan Cilacap Jawa Tengah Di pulau penjara itu Bahar akan menempati Lembaga Pemasyarakatan LP Batu Bahar dipindahkan dari LP Gunung Sindur karena pendukungnya membuat keamanan terganggu Selasa malam Bahar akhirnya dipindah ke Pulau Nusakambangan Diharapkan yang bersangkutan dapat mengikuti semua ketentuan dan SOP yang berlaku di Lembaga Pemasyarakatan Kelas I Batu Nusakambangan kata Kepala Bagian Humas dan Protokol Direktorat Jenderal Pemasyarakatan Rika Aprianti kepada wartawan Rabu Selanjutnya Halaman bahar bin smith habib bahar bin smith bahar bin smith ditangkap lagi nusakambangan 
"Alhamdulillah, Pasien Pertama COVID-19 di Kabupaten Tasikmalaya Sembuh", Tasikmalaya Pasien positif COVID pertama di Kabupaten Tasikmalaya dinyatakan sembuh usai hari jalani perawatan medis Pasien sudah diperbolehkan pulang dari Rumah Sakit Umum Daerah SMC Tasikmalaya Selain dijemput pihak kecamatan kepulangan pasien diantar sejumlah perawat ruang isolasi tanpa mengenakan alat pelindung diri Mereka membawa poster Indonesia terserah Alhamdulillah pasien pertama positif COVID Kabupaten Tasikmalaya sembuh dan hari ini sudah boleh pulang ke rumahnya untuk Isolasi mandiri hari ucap Iman Firmansyah Direktur RSUD SMC Tasikmalaya saat pelepasan Selasa Pihak RSUD SMC Kabupaten Tasikmalaya menjalankan protokol dari Kementerian Kesehatan Pasien positif COVID harus jalani empat kali uji swab sebelum dinyatakan sembuh Berdasarkan aturan dan protap dari Kemenkes RI jelas berturut turut selama hari negatif dan hari negatif empat kali negatif COVID dan betul betul dinyatakan sehat dan sembuh jelas Iman mud mud pandemi corona pasien corona sembuh tasikmalaya 
"Tangkap Terduga Teroris, Densus 88 Geledah Arena Futsal di Tasikmalaya", Jakarta Densus Antiteror menangkap seorang terduga teroris berinisial MR di Kota Tasikmalaya Jawa Barat Jabar Usai melakukan penangkapan aparat bergerak ke sebuah arena futsal Berdasarkan hasil dari pengembangan dan pemeriksaan terhadap MR Densus melakukan penggeledahan di CK Futsal kata Kabag Penum Divisi Humas Polri Kombes Ahmad Ramadhan dalam konferensi pers yang ditayangkan akun YouTube Tribrata TV Senin Polisi menangkap MR di SPBU Ciawi Kota Tasikmalaya pada Mei lalu Penggeledahan arena futsal tersebut dilakukan pada Jumat Tempat tersebut digunakan sebagai tempat penyimpanan barang milik terduga teroris MR imbuhnya abw aud polri densus teroris 
"Bangsal Bersalin Diserang, Proses Damai di Afghanistan Alami Kemunduran", Kabul Setelah serangan terhadap sebuah klinik di Kabul Afghanistan dan bagian persalinan di rumah sakit itu organisasi Dokter Lintas Batas MSF terpaksa menghentikan sementara pekerjaannya Keputusan yang sulit tetapi perlu dilakukan ujar Larissa Alles Manajer Advokasi MSF di Kabul kepada DW Departemen ini didirikan untuk memenuhi kebutuhan perempuan dengan tingkat kelahiran rumit dan bayi berkebutuhan khusus yang baru lahir Distrik Dascht e Barchi tempat rumah sakit dengan departemen kelahiran yang dioperasikan oleh MSF adalah salah satu distrik yang paling padat penduduknya di Kabul demikian kata Larissa Alles Dia menunjuk angka kematian ibu dan bayi yang tinggi di Afghanistan Yang pertama adalah per kelahiran yang terakhir per ribu kelahiran Sebagai perbandingan Di Eropa Barat angkanya berada dalam kisaran satu digit untuk per seratus ribu kelahiran Ini menunjukkan pentingnya departemen kelahiran karena MSF beroperasi di Kabul Solidaritas dengan Afghanistan Kami kehilangan sejumlah pasien dalam serangan itu ujar Larissa Alles dalam wawancara dengan DW Seorang bidan yang pernah bekerja di departemen persalinan itu juga meninggal dalam serangan tersebut Pasien yang selamat dibawa ke rumah sakit tetangga dan karyawan dibawa ke tempat yang aman Tim medis MSF sekarang memprioritaskan bayi baru lahir para ibu melahirkan serta dukungan psikologis bagi karyawan dan kerabat korban serangan Larissa Alles juga menjelaskan Kami melanjutkan kegiatan kami di seluruh negeri Kami mempertahankan solidaritas kami dengan rakyat Afghanistan meski setelah kekejaman ini terjadi Juru bicara MSF mengatakan organisasi itu tetap akan melakukan proyek lebih lanjut di provinsi provinsi lain Di Kandahar kami merawat pasien tuberkulosis multiresisten Di Herat kami mengoperasikan rumah sakit Di sana orang orang terlantar yang kekurangan gizi terutama anak anak dirawat Di Chost kami menjalankan klinik bersalin besar lainnya serta memberikan bantuan di rumah sakit negara milik Departemen Kesehatan di Helmand Kami menguburkan istriku Seorang pria bernama Kazem dari Distrik Dascht Barchi kehilangan istrinya karena serangan itu Dia melahirkan di klinik nahas itu DW menghubungi Kazem melalui telepon Dia harus menginterupsi wawancara berulang kali karena air mata terus berlinang Saya berada di rumah sakit ketika serangan itu terjadi Saya datang untuk menjenguk istri saya Ketika orang orang menyerbu gedung polisi tidak melakukan apa pun kecuali melarikan diri katanya Unit khusus tidak sampai satu atau dua jam kemudian tiba Kemudian para ibu dan anak anak dibawa ke klinik lain Saya kemudian mencari istri saya ke semua penjuru rumah sakit karena saya tidak tahu di mana ia berada Kemudian saya akhirnya mengetahui bahwa dia sudah meninggal dunia Kami menguburkan istri saya dan sekarang saya di sini bersama bayi yang selamat dari serangan itu Kami memiliki keluarga dan teman yang sekarang merawatnya Kakak perempuan saya juga merawatnya Presiden Afghanistan Ashraf Ghani segera menuding Taliban sebagai pelaku serangan dan mengumumkan operasi militer merespon tindakan itu Namun pakar politik Andrew Watkins dari International Crisis Group meyakini bahwa pernyataan ini harus disikapi dengan hati hati Itu adalah pernyataan politik Masyarakat meminta respons Faktanya tentara Afghanistan secara bertahap meningkatkan operasi militernya bahkan sebelum serangan hari Selasa lalu Adapun klaim pemerintah Afghanistan terkait hubungan dalam dan dekat antara Taliban atau jaringan Haqqani dan jaringan teroris lainnya seperti Negara Islam ISIS harus dicerna dengan skepsisme yang besar kata Watkins Pada fase awal ekspansi kekhalifahan antara ISIS mungkin masih menarik bagi sebagian gerilyawan Taliban Tetapi pemimpin Taliban memerangi ISIS dengan manusia dan sumber daya yang luar biasa untuk mempertahankan supremasi dalam perlawanan terhadap pemerintah Kabul Kendati demikian masih terlampau dini untuk mendeklarasikan kematian perundingan damai kata Watkins Analisa mendalam terhadap pernyataan Presiden Ghani dan ungkapan berbagai tokoh Taliban setelah terjadinya serangan menunjukkan tidak satu pihak pun menentang perundingan di kemudian hari Amerika Serikat menekan kedua belah pihak sedemikian rupa sehingga tidak ada yang ingin memberi kesan seakan menutup pintu perdamaian rzn hp ita ita dw news afghanistan taliban 
